"","Word","CelS","Fdif","Vf","Dent","Ient","NsyS","NsyC","Len","Ncou","Bigr","InBi","spelV","spelN","phonV","phonN","friendsV","friendsN","ffV","ffN","fbV","fbN","ffNonzero","NVratio"
"587","floe",1.9459101,0.6649763,1.0986123,0.469,0.9183,0.6931472,0.6931472,4,3,7.760869,10.59918,10,3.7376696,41,8.8378264,9,3.3322045,0.6931472,2.7080502,3.4965076,8.8338999,1,2.302585093
"588","craft",5.572154,1.155726,3.2958369,2.21409,0.92465,1.9459101,1.7917595,5,3,8.444548,11.27694,9,4.2341065,9,4.2484952,8,4.2341065,0.6931472,0,0.6931472,0.6931472,0,3.218875825
"589","sheen",3.8286414,0.7559481,0.6931472,0,0,0.6931472,0,5,3,9.582525,12.41582,12,7.9990072,25,6.8895913,11,6.2265367,0.6931472,7.8131873,2.7080502,6.1675165,1,3.828641396
"590","folk",5.7300998,1.047969,2.7080502,1.26778,0.79521,1.6094379,2.5649494,4,2,8.112114,12.95779,2,3.5835189,19,5.8141305,2,3.5835189,0,0,2.8903718,5.7037825,0,5.641907071
"591","ranch",4.634729,1.274354,1.0986123,0.73551,0.50903,0.6931472,1.6094379,5,1,9.180497,12.61695,4,4.1271344,3,4.1108739,3,4.1108739,0.6931472,0.6931472,0,0,1,4.753590191
"592","sheep",6.5778614,0.7430506,2.6390573,1.29147,0,1.3862944,3.6109179,5,7,9.262354,12.41582,14,6.2878586,19,6.3851944,14,6.2878586,0,0,1.7917595,4.0253517,0,6.577861358
"593","fuzz",3.8066625,2.525729,1.6094379,0.99964,0,1.6094379,0,4,2,6.570982,10.97013,2,2.8332133,4,9.2425171,2,2.8332133,0,0,1.0986123,9.2409666,0,3.80666249
"594","fire",7.9153482,0.3596523,4.1743873,1.54763,1.26513,2.8903718,4.7004804,4,12,8.585405,11.91551,12,5.6312118,14,5.6347896,12,5.6312118,0,0,1.0986123,0.6931472,0,1.21643834
"595","fine",7.8493238,-0.076701,2.7725887,0.70445,1.03919,3.0445224,1.3862944,4,15,8.76885,11.91551,20,6.5820251,23,6.7262334,20,6.5820251,0,0,1.3862944,4.7273878,0,0.67756245
"596","spear",5.0369526,1.810109,1.7917595,0.82899,1.31318,1.6094379,1.7917595,5,4,9.18171,11.50982,21,7.4342574,36,7.8248457,17,7.3677086,1.6094379,4.7004804,2.9957323,6.8232861,1,2.030866872
"597","booth",5.0434251,2.663879,1.3862944,0.12562,0.76421,1.3862944,1.9459101,5,1,9.260064,11.85622,4,4.2484952,6,5.4638318,3,3.3322045,0.6931472,3.7612001,1.3862944,5.3423343,1,5.293304825
"598","sheet",6.424869,0.2460954,2.7080502,0.48405,0.97434,2.3978953,3.2580965,5,6,9.419489,12.41582,11,6.7093043,28,7.1276937,11,6.7093043,0,0,2.8903718,6.056784,0,6.945051064
"599","fret",3.6109179,0.5382246,2.1972246,1.2719,1.75615,2.6390573,0,4,0,8.599641,11.69309,13,7.7169061,18,7.7523352,13,7.7169061,0,0,1.7917595,4.4067192,0,-2.890371758
"600","fink",1.7917595,-1.098612,0.6931472,0,0.13923,0.6931472,0,4,9,8.42806,11.91551,19,6.4661447,21,6.4815771,19,6.4661447,0,0,1.0986123,2.3978953,0,1.791759469
"601","heart",7.8624972,1.457599,4.3567088,1.44708,0.51706,2.3025851,3.7135721,5,0,9.541104,14.561,1,5.1590553,12,7.0085052,1,5.1590553,0,0,2.4849066,6.8384052,0,7.985484357
"602","firm",7.1708885,1.11927,2.7725887,1.49483,1.00775,2.7080502,2.944439,4,3,8.148083,11.91551,2,4.7004804,6,5.2781147,2,4.7004804,0,0,1.6094379,4.4659081,0,4.303025052
"603","surf",4.7361984,1.663505,1.7917595,0.74543,0.38055,1.3862944,1.3862944,4,2,8.021425,11.91646,3,1.6094379,4,1.6094379,3,1.6094379,0,0,0.6931472,0,0,2.656756907
"604","grub",3.9512437,-0.2741291,1.6094379,1.04161,1.60666,1.7917595,1.0986123,4,2,7.638534,11.50271,16,5.2832037,16,5.2832037,16,5.2832037,0,0,0,0,0,0.646627165
"605","trump",3.2580965,0.8785504,2.1972246,0.68429,0.79992,1.7917595,1.3862944,5,3,8.691616,12.29809,14,4.3694479,14,4.3694479,14,4.3694479,0,0,0,0,0,2.268683541
"606","flute",3.8066625,0.1278334,1.7917595,0.63881,1.6618,1.6094379,2.1972246,5,1,8.72129,10.59918,7,2.944439,22,5.4806389,7,2.944439,0,0,2.7725887,5.4026774,0,0.414433778
"607","cheek",6.0935698,0.3818191,1.9459101,0.5829,1.05477,1.7917595,1.0986123,5,3,8.977824,12.67433,10,6.1180972,32,6.496775,10,6.1180972,0,0,3.1354942,5.3471075,0,3.987748716
"608","stave",3.5263605,1.552279,0.6931472,0,0.19143,1.6094379,1.6094379,5,8,9.265355,13.30069,17,8.3990851,17,6.2205902,16,6.2186001,0.6931472,8.2794435,0.6931472,0.6931472,1,3.555348061
"609","grid",4.4067192,0.4867281,1.0986123,0.14373,0.62526,1.6094379,1.6094379,4,4,8.189827,11.50271,13,7.0909098,13,7.0909098,13,7.0909098,0,0,0,0,0,4.574710979
"610","hymn",4.7449321,1.384557,1.3862944,0.11515,1.04873,1.3862944,0,4,0,6.898008,10.09274,1,2.3025851,19,7.914983,1,2.3025851,0,0,2.944439,7.9116905,0,4.148411783
"611","gold",7.3626453,1.057831,2.7725887,1.37386,0,1.9459101,3.3672958,4,7,8.093449,11.57069,11,7.3696007,15,7.4006206,11,7.3696007,0,0,1.6094379,3.9318256,0,7.36264527
"612","freak",4.5538769,0.970358,2.1972246,0.88635,1.38697,1.0986123,1.0986123,5,3,9.065358,11.69309,16,5.6629605,32,6.496775,14,5.2470241,1.0986123,4.5951199,2.944439,6.1612073,1,1.395863812
"613","troop",4.3820266,-0.3328944,2.0794415,1.14287,1.63327,1.9459101,1.0986123,5,1,9.132797,12.29809,12,4.0775374,17,6.1484683,12,4.0775374,0,0,1.7917595,6.0161572,0,0.507044901
"614","staff",7.6453977,1.228665,2.1972246,0.08232,0.53017,1.9459101,2.944439,5,2,8.829292,13.30069,4,4.7361984,8,6.0980743,3,4.7361984,0.6931472,0,1.7917595,5.805135,0,3.196147574
"615","sole",5.7714411,1.782457,1.9459101,1.05372,0.76374,1.7917595,2.7080502,4,11,8.598048,12.41231,13,6.2672005,30,6.637258,13,6.2672005,0,0,2.8903718,5.4680601,0,4.283586562
"616","slob",2.4849066,-1.360977,0.6931472,0,0.99836,0.6931472,0,4,7,7.954545,10.60569,16,5.7651911,18,5.7651911,16,5.7651911,0,0,1.0986123,0,0,3.091042453
"617","golf",6.3044488,0.3506861,2.1972246,0.85431,0.43518,1.0986123,3.1780538,4,3,7.812543,11.57069,2,3.7135721,2,4.0430513,1,3.5553481,0.6931472,1.9459101,0.6931472,3.1354942,1,2.353205084
"618","splurge",2.0794415,-0.5877867,1.0986123,0,1.35051,1.0986123,0,7,0,9.336336,11.50982,5,3.5263605,10,4.0073332,4,3.4965076,0,0,1.7917595,3.0910425,0,-1.011600912
"619","sloe",2.7080502,1.427116,1.0986123,0.22229,0.99901,1.3862944,0.6931472,4,2,7.82628,10.60569,10,3.7376696,41,8.8378264,9,3.3322045,0.6931472,2.7080502,3.4965076,8.8338999,1,3.33220451
"620","cleat",3.1354942,1.85456,0.6931472,0,0.89604,1.7917595,0,5,5,9.224882,11.29955,18,7.024649,28,7.1276937,14,5.9763509,1.6094379,6.5944135,2.7080502,6.7487595,1,3.496507561
"621","size",7.6088706,0.1667295,2.944439,0.60093,0.57426,2.3025851,1.6094379,4,4,7.845239,12.51689,2,5.1179938,25,6.776507,2,5.1179938,0,0,3.1780538,6.5666724,0,3.763932358
"622","price",7.4442486,0.1065308,2.4849066,0.19889,1.19033,2.1972246,3.4339872,5,4,9.091595,12.19724,15,6.0450053,17,6.0473722,15,6.0450053,0,0,1.0986123,0.6931472,0,3.329426731
"623","gram",3.9512437,0.8785504,2.7725887,2.28928,0.95239,0.6931472,2.0794415,4,7,8.087744,11.50271,19,5.6594822,23,5.7899602,18,5.6559918,0.6931472,0.6931472,1.7917595,3.7376696,1,4.927253685
"624","pub",5.9188939,-1.088888,1.6094379,0.01926,0.90494,0.6931472,0.6931472,3,13,6.97888,10.97119,16,5.2832037,16,5.2832037,15,5.2781147,0,0,0,0,0,6.304448802
"625","skull",5.7235851,2.245427,1.3862944,0.3483,0.67053,0.6931472,1.3862944,5,3,8.005104,10.3889,12,5.8721178,9,4.0943446,9,4.0943446,1.3862944,5.6903595,0,0,1,5.916202063
"626","kind",8.9879465,1.51465,2.8332133,0.67921,0.62438,2.4849066,0,4,8,8.418619,11.28078,9,7.0561753,16,7.0613344,8,7.0003345,0.6931472,4.1588831,2.1972246,4.2484952,1,9.091894617
"627","sine",3.912023,2.631089,1.0986123,0.13304,0.38602,0.6931472,1.6094379,4,16,8.933406,12.51689,20,6.5820251,23,6.7262334,20,6.5820251,0,0,1.3862944,4.7273878,0,3.988984047
"628","score",5.9610053,-0.05612695,2.6390573,0.54579,1.86304,2.944439,2.3025851,5,7,9.354389,11.1627,20,7.8709296,38,9.7758246,20,7.8709296,0,0,2.944439,9.6147382,0,0.252377128
"629","pea",3.4339872,-0.8426789,2.1972246,1.11821,0.65874,1.3862944,4.6151205,3,4,7.756446,12.47506,7,4.9416424,38,10.132812,5,4.9199809,0.6931472,1.3862944,3.4965076,10.1273908,1,5.176149733
"630","camp",7.1308988,1.675578,2.7080502,0.59555,1.1493,2.3978953,2.944439,4,7,8.251941,12.5702,13,4.9052748,12,4.8675345,12,4.8675345,0.6931472,1.7917595,0,0,1,1.564612481
"631","king",7.3771337,0.6114029,2.4849066,0.95387,0.48236,1.7917595,3.3672958,4,9,8.380726,11.28078,19,6.7742239,19,6.7742239,19,6.7742239,0,0,0,0,0,7.487173694
"632","grit",4.0943446,0.8675006,1.3862944,0.9573,0,1.6094379,0,4,6,8.39342,11.50271,23,9.1323788,25,9.1323788,23,9.1323788,0,0,1.0986123,0,0,1.514127733
"633","prick",4.0943446,-0.7129498,2.1972246,1.41555,1.52928,2.3025851,0.6931472,5,4,8.932289,12.19724,21,5.9914645,22,5.9914645,21,5.9914645,0,0,0.6931472,0,0,-0.752336052
"634","gibe",2.4849066,1.203973,1.0986123,0,1.25598,1.3862944,0,4,1,7.907556,11.28942,5,2.3978953,5,2.3978953,4,2.3025851,0,0,0,0,0,2.397895273
"635","pie",5.420535,-0.9902976,2.1972246,0.77459,0.83019,0.6931472,3.1780538,3,7,7.324539,11.17479,7,5.1357984,42,9.5161325,6,5.049856,0,0,3.5835189,9.5036068,0,5.723585102
"636","pad",5.3327188,0.3882233,2.0794415,0.17129,1.70594,2.3978953,3.3672958,3,19,7.563981,12.00343,19,8.6050209,18,8.6179431,15,8.6002467,1.3862944,2.944439,1.0986123,4.4998097,1,0.56691509
"637","slop",3.2958369,0.2231436,2.1972246,1.15154,1.86827,1.7917595,1.7917595,4,11,8.110287,10.60569,19,6.2344107,21,6.2499752,19,6.2344107,0,0,1.0986123,2.1972246,0,-0.987386654
"638","pig",5.7714411,0.09605812,3.4011974,1.62122,0.97664,2.3025851,2.5649494,3,13,7.277243,11.17479,16,6.1903154,15,6.1882641,14,6.1717006,0.6931472,0.6931472,0,0,1,6.66057515
"639","girl",8.5061322,0.09590085,3.0445224,0.30607,0.95119,1.7917595,3.4339872,4,2,7.827026,11.28942,4,5.420535,11,5.5294291,4,5.420535,0,0,2.0794415,3.2958369,0,8.969160133
"640","peg",4.5432948,0.2178385,1.6094379,0.26503,1.6246,2.3025851,1.9459101,3,11,7.326565,12.47506,5,4.3307333,5,4.3307333,4,4.2766661,0,0,0,0,0,0.931558204
"641","lure",4.6051702,3.324236,1.0986123,0,1.6336,1.6094379,0,4,7,8.390834,10.9183,4,5.8749307,6,5.9889614,4,5.8749307,0,0,1.0986123,3.7841896,0,-0.042559614
"642","turf",4.5325995,0.6126083,1.0986123,0,0.58208,1.6094379,1.0986123,4,3,8.136147,11.72115,3,1.6094379,4,1.6094379,2,0.6931472,0,0,0.6931472,0,0,2.240709689
"643","tune",5.590987,0.2325157,2.3025851,0.28029,1.62747,1.3862944,1.6094379,4,6,8.645402,11.72115,5,4.6634391,16,6.0137152,5,4.6634391,0,0,2.4849066,5.7170277,0,0.329119262
"644","nurse",6.3851944,0.4598697,2.0794415,1.07006,1.45129,2.0794415,2.5649494,5,2,8.80404,10.54136,3,3.7612001,7,4.8202816,3,3.7612001,0,0,1.6094379,4.4067192,0,1.750619705
"645","source",7.2276625,2.950996,1.7917595,0.98635,0.97105,2.0794415,2.4849066,6,0,9.505268,12.41231,1,4.5538769,9,6.8265452,1,4.5538769,0,0,2.1972246,6.7190132,0,7.738488122
"646","job",8.3832046,-0.09366652,2.0794415,0.02138,0.84348,2.7080502,2.4849066,3,14,6.381545,10.09712,16,5.7651911,18,5.7651911,15,4.3944492,0,0,1.0986123,0,0,7.307705206
"647","slot",4.4998097,0.3285041,1.3862944,0.05943,1.43678,2.1972246,1.7917595,4,14,8.243572,10.60569,23,8.6383483,28,8.9311554,22,8.6381711,0.6931472,0.6931472,1.9459101,7.5611216,1,0.873528873
"648","lung",5.1357984,1.456969,1.6094379,0.32526,0.96843,0.6931472,2.1972246,4,5,8.268149,10.9183,14,5.2832037,16,6.424869,14,5.2832037,0,0,1.0986123,6.0426328,0,6.059123196
"649","house",9.05975,-0.00898071,4.6443909,1.58705,0.89376,2.6390573,4.6443909,5,4,9.385128,12.69734,9,6.415097,6,6.40688,6,6.40688,1.3862944,1.7917595,0,0,1,3.783913556
"650","vow",4.5325995,3.251666,1.9459101,0.58535,1.72507,1.3862944,0,3,12,6.870888,10.40408,28,8.2271082,17,7.7052625,11,7.6971213,2.8332133,7.3382382,1.7917595,2.8332133,1,0.438254931
"651","tube",5.5797298,0.3285041,2.1972246,0.55975,0.98468,1.9459101,4.060443,4,3,8.34615,11.72115,3,3.5263605,4,3.5263605,3,3.5263605,0,0,0.6931472,0,0,5.368309738
"652","dross",2.6390573,1.358123,0.6931472,0,0,1.0986123,0,5,4,8.746542,11.03329,10,5.5294291,2,1.7917595,2,1.7917595,2.1972246,5.5093883,0,0,1,2.63905733
"653","pup",2.8332133,-0.3936307,1.3862944,0.58387,0.80482,1.3862944,1.0986123,3,12,7.148345,10.97119,4,7.572503,4,7.572503,3,7.5714736,0,0,0,0,0,3.044522438
"654","pin",5.4889377,0.06486915,3.4965076,1.82449,1.79062,2.7725887,3.4965076,3,15,7.727262,11.17479,17,9.9884259,20,10.0963781,16,9.9876908,0,0,1.3862944,7.8172228,0,0.09129142
"655","pal",4.4067192,0.1300531,0.6931472,0,0.93115,1.0986123,1.0986123,3,9,7.703947,12.00343,2,2.0794415,3,5.6167711,1,1.7917595,0,0,0.6931472,5.590987,0,4.828313737
"656","punk",4.1271344,0.766759,1.0986123,0,0.88286,1.9459101,1.0986123,4,8,7.917491,10.97119,18,4.5108595,18,4.6634391,17,4.4998097,0.6931472,0.6931472,0.6931472,2.8332133,1,3.931825633
"657","pen",5.8579332,-1.013988,2.5649494,0.85692,1.18478,1.9459101,2.4849066,3,17,7.870114,12.47506,15,8.4673725,16,8.4759544,14,8.4635814,0,0,0.6931472,3.7376696,0,2.26436388
"658","tree",7.1654935,0.1131185,3.1354942,0.13109,0.97058,1.3862944,6.1114673,4,4,8.925312,12.29809,15,7.5137092,38,10.132812,14,7.5137092,0.6931472,0,3.2188758,10.0571953,0,6.349430324
"659","pus",3.6635616,0.9963334,1.6094379,0.17204,0,0.6931472,0,3,8,7.355558,10.97119,5,6.99485,9,6.9994225,4,6.99485,0,0,1.6094379,1.7917595,0,3.663561646
"660","pan",5.986452,0.100348,3.3322045,1.72796,0.70978,1.7917595,2.6390573,3,19,7.850091,12.00343,18,9.1018639,15,9.1010834,14,9.0992971,1.3862944,2.0794415,0,0,1,5.095793102
"661","zest",3.7841896,1.810109,0.6931472,0,0,1.3862944,1.0986123,4,9,7.428671,10.23322,15,6.9127428,18,6.973543,15,6.9127428,0,0,1.3862944,4.1588831,0,3.784189634
"662","vest",4.4659081,-0.07312226,2.0794415,1.07069,1.48299,1.6094379,1.3862944,4,11,8.569241,13.19376,15,6.9127428,18,6.973543,15,6.9127428,0,0,1.3862944,4.1588831,0,1.712295298
"663","tote",2.8903718,1.609438,1.0986123,0,1.69379,1.0986123,0.6931472,4,8,9.026524,13.45478,10,5.9964521,23,6.3733198,10,5.9964521,0,0,2.6390573,5.2203558,0,-0.559615788
"664","wreck",5.0304379,0.4914075,2.0794415,1.02366,1.7391,1.7917595,0,5,1,8.802717,9.85619,10,5.3752784,14,5.3844951,10,5.3752784,0,0,1.6094379,1.0986123,0,-0.224503171
"665","pope",4.4659081,1.239064,2.1972246,1.15173,0.6987,0.6931472,0,4,13,8.263746,12.07807,13,5.7235851,15,5.7930136,13,5.7235851,0,0,1.0986123,3.1354942,0,4.672828834
"666","pap",2.5649494,-0.507744,0.6931472,0,0,1.3862944,0,3,22,7.37285,12.00343,22,5.0998664,23,5.0875963,20,5.0814044,0.6931472,1.0986123,1.0986123,0,1,2.564949357
"667","gift",6.3297209,1.335215,1.3862944,0.58987,0.94933,1.7917595,2.3025851,4,5,7.767144,11.28942,9,5.0369526,9,5.0369526,9,5.0369526,0,0,0,0,0,6.782192056
"668","dame",3.3322045,-0.3466246,0.6931472,0,0.99976,1.0986123,0.6931472,4,13,8.226616,11.32815,12,7.5522373,15,7.6207051,12,7.5522373,0,0,1.3862944,4.9126549,0,4.025351691
"669","skill",6.5323343,2.032525,1.7917595,1.16967,0.9976,1.0986123,0.6931472,5,5,8.715746,10.3889,28,8.1928471,31,8.1942293,28,8.1928471,0,0,1.3862944,1.7917595,0,7.284134806
"670","pole",5.2832037,0.5682827,3.1354942,1.36626,1.24321,2.5649494,3.4011974,4,16,8.427487,12.07807,13,6.2672005,30,6.637258,13,6.2672005,0,0,2.8903718,5.4680601,0,3.096375799
"671","lathe",2.9957323,1.021651,0.6931472,0,0.87672,0.6931472,0,5,3,9.744745,12.44231,3,1.7917595,2,1.7917595,2,1.7917595,0.6931472,0,0,0,0,3.33220451
"672","pit",5.433722,1.208349,2.7725887,2.08436,1.42049,2.3978953,2.3025851,3,16,7.586103,11.17479,23,9.1323788,25,9.1323788,22,9.1308642,0,0,1.0986123,0,0,1.669656772
"673","par",5.0689042,0.954757,1.6094379,0.95679,0.38007,1.3862944,0.6931472,3,16,7.714343,12.00343,14,7.1959372,15,8.571492,12,6.7534379,0.6931472,6.1420374,1.0986123,8.39163,1,2.125251078
"674","dud",2.7725887,-0.7055697,1.0986123,0,0.05746,1.6094379,0,3,8,6.959053,11.00965,8,3.988984,10,5.2678582,7,3.9702919,0,0,1.0986123,4.9487599,0,2.079441542
"675","pet",5.4930614,-0.1053605,1.7917595,0.06678,1.31765,1.6094379,1.0986123,3,18,7.641864,12.47506,13,7.7169061,18,7.7523352,12,7.7133379,0,0,1.7917595,4.4067192,0,1.948945053
"676","stream",6.5132301,1.936459,2.7080502,1.16262,1.47898,2.3978953,2.3025851,6,2,9.784406,13.30069,11,5.6454469,15,6.3985949,10,5.6454469,0.6931472,0,1.7917595,5.7651911,0,1.443452775
"677","pat",4.4188406,-2.145297,2.1972246,0.51157,1.75958,1.9459101,0.6931472,3,22,7.783115,12.00343,24,9.8164034,20,9.7060727,19,9.7039385,1.6094379,7.557995,0,0,1,-1.95253269
"678","dug",5.6204009,0.9054798,1.0986123,0.51409,0.06174,0.6931472,0,3,14,7.132112,11.00965,17,4.7621739,17,4.7621739,16,4.6249728,0,0,0,0,0,2.079441542
"679","punt",3.6888795,1.714798,1.3862944,0.65002,1.05686,1.9459101,0,4,7,8.297863,10.97119,9,3.3672958,10,5.5214609,9,3.3672958,0,0,0.6931472,5.4026774,0,1.860752341
"680","pew",3.7841896,1.404643,1.0986123,0.10216,0.98095,0.6931472,0,3,12,7.386772,12.47506,29,7.9905769,66,10.5997549,26,7.988543,1.0986123,1.9459101,3.6888795,10.5234994,1,4.317488114
"681","paw",4.0775374,0.02401488,1.3862944,0.06268,1.54678,1.6094379,1.0986123,3,16,7.19144,12.00343,19,6.6846117,20,6.6908423,18,6.6808547,0,0,0.6931472,1.7917595,0,1.359143372
"682","axe",4.8520303,1.373872,2.0794415,1.00557,0.81914,1.3862944,2.1972246,3,6,6.539839,8.88489,1,1.9459101,17,5.6454469,0,0,0,0,2.8332133,5.6240175,0,3.42751469
"683","dad",6.3297209,-2.783624,1.7917595,1.09653,0.09597,0.6931472,0.6931472,3,12,7.395662,11.32815,19,8.6050209,18,8.6179431,15,8.5989575,1.3862944,2.944439,1.0986123,4.4998097,1,6.342121419
"684","hail",4.5951199,1.927892,1.9459101,0.58466,1.37862,2.0794415,0,4,12,8.67753,13.49254,19,5.4553211,40,6.1882641,19,5.4553211,0,0,3.0910425,5.5373343,0,-0.662841831
"685","prep",3.5263605,-1.251081,0.6931472,0,0.02964,0.6931472,0.6931472,4,1,8.449812,12.19724,4,4.8978398,5,4.8978398,4,4.8978398,0,0,0.6931472,0,0,3.526360525
"686","ape",4.5108595,1.438166,1.7917595,0.04207,1.25608,1.7917595,1.6094379,3,6,7.749192,11.58333,12,5.0434251,13,5.049856,11,5.0238805,0,0,0.6931472,0.6931472,0,2.147709513
"687","trap",5.9687076,1.286576,2.8903718,0.73706,1.62265,2.5649494,2.3978953,4,5,8.558104,12.29809,22,5.0998664,23,5.0875963,21,5.0875963,0.6931472,1.0986123,1.0986123,0,1,-0.08442868
"688","street",8.422223,1.038731,1.9459101,0.0415,0.74346,1.7917595,3.1354942,6,0,9.803212,13.30069,11,6.7093043,28,7.1276937,11,6.7093043,0,0,2.8903718,6.056784,0,8.659213451
"689","shore",6.0282785,2.44476,2.6390573,1.46496,0.94652,1.6094379,2.1972246,5,9,9.509494,12.41582,20,7.8709296,38,9.7758246,20,7.8709296,0,0,2.944439,9.6147382,0,3.189353386
"690","pine",5.3844951,0.4659751,2.1972246,1.06289,1.19959,1.3862944,5.0434251,4,16,8.594867,11.17479,20,6.5820251,23,6.7262334,20,6.5820251,0,0,1.3862944,4.7273878,0,2.511223958
"691","line",8.274102,0.8554411,4.3040651,1.82267,1.15212,3.5835189,5.5134287,4,18,8.804131,12.78698,20,6.5820251,23,6.7262334,20,6.5820251,0,0,1.3862944,4.7273878,0,2.309397771
"692","jot",3.3322045,-0.3466246,1.3862944,0.13111,1.5247,1.3862944,0.6931472,3,12,6.728378,10.09712,23,8.6383483,28,8.9311554,21,8.6379939,0.6931472,0.6931472,1.9459101,7.5611216,1,-1.791759469
"693","damp",6.2106001,0.6121781,2.4849066,0.89655,0.47988,1.7917595,0,4,8,7.977374,11.32815,13,4.9052748,12,4.8675345,12,4.8675345,0.6931472,1.7917595,0,0,1,-0.887303195
"694","life",9.4865317,1.543743,3.4339872,0.56651,0.52216,2.6390573,4.060443,4,7,8.210057,12.78698,6,6.9343972,6,6.9343972,6,6.9343972,0,0,0,0,0,9.611529685
"695","hair",8.1376882,0.01513886,3.6109179,1.06807,0.25867,1.7917595,3.5263605,4,5,8.625332,13.49254,8,6.4118183,40,8.9438978,8,6.4118183,0,0,3.4965076,8.8612083,0,8.182279739
"696","joy",6.5847914,0.3912027,2.7725887,1.06975,0.42286,1.6094379,1.6094379,3,5,6.236059,10.09712,8,5.6869754,8,5.6869754,7,5.5412635,0,0,0,0,0,6.674561392
"697","creed",4.4188406,2.44476,0.6931472,0,0.74441,1.0986123,0,5,5,9.236797,11.27694,16,6.5191473,24,6.7604147,16,6.5191473,0,0,2.1972246,5.2257467,0,4.65396035
"698","link",6.2461068,1.563976,2.0794415,0.27089,1.83904,2.5649494,1.3862944,4,11,8.46334,12.78698,19,6.4661447,21,6.4815771,19,6.4661447,0,0,1.0986123,2.3978953,0,-0.065255624
"699","den",5.0937502,1.173759,1.3862944,0.09872,0.45285,1.3862944,1.3862944,3,14,7.907716,12.82938,15,8.4673725,16,8.4759544,14,8.466952,0,0,0.6931472,3.7376696,0,5.192956851
"700","dam",4.7621739,0.9162907,1.6094379,0.10776,1.19699,1.6094379,1.0986123,3,9,7.250436,11.32815,19,5.6594822,23,5.7899602,17,5.6383547,0.6931472,0.6931472,1.7917595,3.7376696,1,1.967112357
"701","prey",5.6629605,2.590267,1.0986123,0,0.66472,1.6094379,0.6931472,4,2,8.517257,12.19724,8,8.2252353,49,10.3547542,7,8.201386,0.6931472,4.4886364,3.7612001,10.2313874,1,1.481604541
"702","chute",3.2188758,1.244795,1.0986123,0.20559,0.72193,1.0986123,1.3862944,5,0,8.968417,12.67433,7,2.944439,22,5.4806389,7,2.944439,0,0,2.7725887,5.4026774,0,3.433987204
"703","whiff",3.8501476,0.7774543,1.6094379,0.2779,0.37314,1.3862944,1.0986123,5,0,8.976075,12.5978,7,3.8066625,8,7.7160153,7,3.8066625,0,0,0.6931472,7.6962126,0,3.912023005
"704","tray",5.880533,0.282111,1.9459101,0.93391,0.76421,0.6931472,1.7917595,4,4,8.641928,12.29809,32,8.4144958,49,10.3547542,31,8.4144958,0.6931472,0,2.944439,10.1996957,0,6.131226489
"705","feast",5.3844951,2.717267,2.3025851,1.00198,1.30475,2.0794415,1.7917595,5,2,9.286922,11.81574,6,6.3117348,6,6.3207683,5,6.2915691,0.6931472,2.4849066,0.6931472,2.8332133,1,1.323774004
"706","plot",5.913503,1.374473,1.9459101,0.19024,1.46777,2.0794415,1.0986123,4,5,8.348898,11.92678,23,8.6383483,28,8.9311554,22,8.6381711,0.6931472,0.6931472,1.9459101,7.5611216,1,1.050159905
"707","plane",6.7044144,1.066772,2.9957323,1.06117,0.98812,2.1972246,3.871201,5,3,9.221286,11.92678,13,5.164786,43,6.7934661,13,5.164786,0,0,3.4339872,6.5764696,0,3.992505177
"708","blouse",5.0562458,0.6842695,0.6931472,0,0.75295,0.6931472,0.6931472,6,0,9.627222,11.84506,9,6.415097,6,6.40688,6,6.40688,1.3862944,1.7917595,0,0,1,5.298317367
"709","creek",5.4971682,3.117622,0.6931472,0,0.57976,0.6931472,0.6931472,5,6,8.679098,11.27694,10,6.1180972,32,6.496775,10,6.1180972,0,0,3.1354942,5.3471075,0,5.645446898
"710","wreath",3.5263605,0.8591323,1.3862944,0.88033,0.99836,1.0986123,2.0794415,6,1,9.878191,9.85619,5,5.8377304,4,4.7535902,3,2.5649494,1.0986123,5.8021184,0.6931472,4.6443909,1,4.158883083
"711","tint",3.2580965,0.1854032,1.7917595,0.37254,1.65856,1.0986123,0,4,8,9.242678,13.2514,14,4.3438054,13,4.1588831,13,4.1588831,0.6931472,2.6390573,0,0,1,-0.295464213
"712","sport",6.3526294,0.6408788,2.5649494,0.77388,1.07386,2.0794415,2.0794415,5,3,9.04524,11.50982,8,6.1590954,12,6.5806391,7,6.1590954,0.6931472,0,1.7917595,5.5174529,0,2.705268558
"713","pint",5.2257467,-1.111433,1.3862944,0.09797,0.89283,1.3862944,0.6931472,4,9,8.634449,11.17479,14,4.3438054,1,2.6390573,1,2.6390573,2.6390573,4.1588831,0,0,1,5.59471138
"714","lint",2.4849066,1.203973,0.6931472,0,0,1.0986123,0,4,10,8.843712,12.78698,14,4.3438054,13,4.1588831,13,4.1588831,0.6931472,2.6390573,0,0,1,2.48490665
"715","cream",6.3767269,-0.7477513,2.3025851,0.96106,0.56578,2.0794415,3.5553481,5,3,9.071901,11.27694,11,5.6454469,15,6.3985949,10,5.6454469,0.6931472,0,1.7917595,5.7651911,0,2.030739402
"716","west",6.7968237,0.4660339,3.7841896,1.28396,0,1.0986123,2.5649494,4,11,8.868026,12.52566,15,6.9127428,18,6.973543,15,6.9127428,0,0,1.3862944,4.1588831,0,6.429719478
