"","Corpus","Word","Count","Country","Register"
"516","nrc","vreselijk",32,"Netherlands","Quality"
"517","stand","vreselijk",9,"Flanders","Quality"
"518","tele","vreselijk",26,"Netherlands","National"
"519","belang","vriendelijk",45,"Flanders","Regional"
"520","gazet","vriendelijk",26,"Flanders","Regional"
"521","laatnieu","vriendelijk",11,"Flanders","National"
"522","limburg","vriendelijk",29,"Netherlands","Regional"
"523","nrc","vriendelijk",23,"Netherlands","Quality"
"524","stand","vriendelijk",18,"Flanders","Quality"
"525","tele","vriendelijk",17,"Netherlands","National"
"526","belang","vrolijk",14,"Flanders","Regional"
"527","gazet","vrolijk",18,"Flanders","Regional"
"528","laatnieu","vrolijk",12,"Flanders","National"
"529","limburg","vrolijk",27,"Netherlands","Regional"
"530","nrc","vrolijk",28,"Netherlands","Quality"
"531","stand","vrolijk",19,"Flanders","Quality"
"532","tele","vrolijk",33,"Netherlands","National"
"533","belang","waarschijnlijk",185,"Flanders","Regional"
"534","gazet","waarschijnlijk",163,"Flanders","Regional"
"535","laatnieu","waarschijnlijk",135,"Flanders","National"
"536","limburg","waarschijnlijk",216,"Netherlands","Regional"
"537","nrc","waarschijnlijk",233,"Netherlands","Quality"
"538","stand","waarschijnlijk",123,"Flanders","Quality"
"539","tele","waarschijnlijk",221,"Netherlands","National"
"540","belang","werkelijk",41,"Flanders","Regional"
"541","gazet","werkelijk",53,"Flanders","Regional"
"542","laatnieu","werkelijk",37,"Flanders","National"
"543","limburg","werkelijk",42,"Netherlands","Regional"
"544","nrc","werkelijk",106,"Netherlands","Quality"
"545","stand","werkelijk",42,"Flanders","Quality"
"546","tele","werkelijk",49,"Netherlands","National"
"547","belang","wetenschappelijk",39,"Flanders","Regional"
"548","gazet","wetenschappelijk",36,"Flanders","Regional"
"549","laatnieu","wetenschappelijk",8,"Flanders","National"
"550","limburg","wetenschappelijk",37,"Netherlands","Regional"
"551","nrc","wetenschappelijk",43,"Netherlands","Quality"
"552","stand","wetenschappelijk",52,"Flanders","Quality"
"553","tele","wetenschappelijk",26,"Netherlands","National"
"554","belang","wettelijk",40,"Flanders","Regional"
"555","gazet","wettelijk",44,"Flanders","Regional"
"556","laatnieu","wettelijk",28,"Flanders","National"
"557","limburg","wettelijk",37,"Netherlands","Regional"
"558","nrc","wettelijk",47,"Netherlands","Quality"
"559","stand","wettelijk",44,"Flanders","Quality"
"560","tele","wettelijk",40,"Netherlands","National"
