"","Verb","WrittenFrequency","NcountStem","MeanBigramFrequency","InflectionalEntropy","Auxiliary","Regularity","LengthInLetters","Denominative","FamilySize","EtymAge","Valency","NVratio","WrittenSpokenRatio"
"200","wrijven",7.612337,1,12.76,2.12214,"hebben","irregular",5,"N",2.6390573,"DutchGerman",6,-7.61233683716775,3.13549421592915
"201","horen",10.409522,16,14.37,2.3972,"hebben","regular",4,"N",3.4965076,"Germanic",11,-10.409521715566,-1.30802253555522
"202","zwerven",6.54103,3,13.04,2.67649,"hebben","irregular",5,"N",2.8903718,"Germanic",4,-6.5410299991899,1.94591014905531
"203","stemmen",7.615298,10,14,2.28528,"hebben","regular",4,"Den",4.6913479,"Germanic",6,1.85686769005692,-2.20104867377462
"204","wegen",7.192182,16,14.24,2.25608,"hebben","irregular",4,"N",3.0910425,"Germanic",3,-3.34203445700319,-0.22314355131421
"205","leunen",7.642044,7,13.82,1.9803,"hebben","regular",4,"N",2.1972246,"Germanic",2,-7.64204440287326,1.44691898293633
"206","noemen",9.817494,7,13.57,2.57313,"hebben","regular",4,"N",2.9957323,"Germanic",3,-9.81749383936915,0.153011727540128
"207","leggen",9.801953,16,13.84,2.27766,"hebben","regular",3,"N",4.6539604,"Germanic",10,-6.40075566004968,0.721136090462178
"208","glijden",8.069029,0,13.45,2.04841,"zijnheb","irregular",5,"N",2.4849066,"WestGermanic",4,-8.06902932877496,0.693147180559946
"209","drijven",8.119994,1,13.42,2.49451,"zijnheb","irregular",5,"N",4.0943446,"Germanic",11,-8.1199938277251,1.15267950993839
"210","zingen",8.351139,12,14.3,2.50444,"hebben","irregular",4,"N",3.0910425,"Germanic",4,-8.35113860708615,-0.169076330043934
"211","schuilen",7.038784,5,13.45,2.27651,"hebben","irregular",6,"N",2.8332133,"Germanic",3,-7.03878354138854,2.07944154167984
"212","helpen",9.371609,11,13.65,2.0293,"hebben","irregular",4,"N",2.5649494,"Germanic",8,-9.3716085195723,1.19392246847243
"213","kloppen",8.378161,12,13.21,2.42892,"hebben","regular",4,"N",3.2958369,"WestGermanic",10,-4.30062353881496,0.475423696715075
"214","trekken",9.910761,9,13.83,2.08944,"zijnheb","irregular",4,"N",4.8441871,"DutchGerman",14,-2.10977896524489,0.136040804229949
"215","vegen",7.473637,13,14.38,2.03527,"hebben","regular",4,"N",2.8332133,"Germanic",9,-2.45635727168128,0.538996500732687
"216","zinken",6.668228,13,14.01,2.34321,"zijn","irregular",4,"N",2.9957323,"DutchGerman",2,-2.66089506318493,0.22314355131421
"217","prijzen",4.158883,3,13.34,1.47303,"hebben","regular",5,"N",4.5643482,"WestGermanic",4,4.22751781780654,-6.83625927727707
"218","schrijden",5.402677,2,13.52,2.09183,"zijnheb","irregular",7,"N",2.0794415,"Germanic",1,-5.40267738187228,0.693147180559945
"219","sturen",8.362876,1,13.38,2.41983,"hebben","regular",5,"N",4.0430513,"Germanic",7,-0.827579128587792,-0.153025187305524
"220","vangen",8.142063,13,14.48,2.30255,"hebben","irregular",4,"N",3.4339872,"Germanic",2,-8.14206328310415,1.6376087894008
"221","splijten",5.517453,0,13.24,2.24948,"zijnheb","irregular",6,"N",2.1972246,"Germanic",2,-5.51745289646471,1.38629436111989
"222","praten",9.586789,6,14.02,1.75802,"hebben","regular",5,"N",3.9702919,"WestGermanic",7,-5.57945534578138,-0.0267702410646047
"223","willen",11.247631,20,13.53,2.15648,"hebben","irregular",3,"N",3.9318256,"IndoEuropean",4,-3.27482012727467,0.0362533976267088
"224","wachten",9.605082,9,14.11,1.95365,"hebben","regular",5,"N",4.4308168,"Germanic",7,-2.41139569832626,-0.416001307219407
"225","staan",11.284983,2,13.48,2.17872,"hebben","irregular",3,"N",3.8501476,"Germanic",24,-11.2849829168693,0.917800925969384
"226","zweven",7.095064,6,13.41,2.45805,"zijnheb","regular",5,"N",2.3978953,"Germanic",5,-7.09506437728713,1.79175946922805
"227","zuchten",7.791936,7,13.33,1.39182,"hebben","regular",5,"N",4.2195077,"DutchGerman",2,-0.626442481877213,-1.2110902720948
"228","schatten",7.266129,5,14.19,2.23679,"hebben","regular",5,"Den",3.4339872,"Germanic",5,-0.187787199998779,-0.260076806359891
"229","scheren",6.577861,7,14.53,1.84403,"hebben","irregular",6,"N",3.1354942,"IndoEuropean",6,-2.8466966943935,-0.117783035656384
"230","vloeien",7.177019,6,13.12,2.47872,"zijnheb","regular",5,"N",3.5553481,"WestGermanic",5,-4.34380542185368,-1.50407739677627
"231","slijpen",5.438079,4,13.13,1.93009,"zijnheb","irregular",5,"N",2.7725887,"Germanic",5,-5.4380793089232,1.38629436111989
"232","leiden",9.301643,4,13.75,2.30002,"hebben","regular",4,"N",5.0689042,"Germanic",8,-9.30164253038297,1.03407376753054
"233","brullen",7.018402,7,13,2.19846,"hebben","regular",4,"N",1.7917595,"DutchGerman",3,-7.0184017990692,1.01160091167848
"234","krijgen",10.734874,4,13.26,2.32582,"hebben","irregular",5,"N",4.0253517,"DutchGerman",10,-7.43903691131551,-0.0414371898641734
"235","roepen",9.623244,15,13.33,1.93275,"hebben","irregular",4,"N",3.9702919,"Germanic",8,-3.03569439435655,0.828321958928198
"236","werven",5.123964,7,13.41,2.06245,"hebben","irregular",4,"N",2.8903718,"Germanic",1,-0.387765531008763,-2.01490302054226
"237","stralen",7.226936,1,13.94,2.52288,"zijnheb","regular",6,"Den",3.8918203,"Germanic",3,-0.296441252541663,-1.6094379124341
"238","komen",11.813297,18,13.52,2.37257,"zijn","irregular",3,"N",5.123964,"Germanic",26,-4.53328843565381,0.469446681305969
"239","kussen",7.768956,15,13.27,1.77798,"hebben","regular",3,"N",2.3978953,"Germanic",3,-1.10327232675592,0.262364264467491
"240","graven",6.483107,8,13.46,2.32757,"hebben","irregular",5,"N",3.9512437,"Germanic",3,0.43855083269393,-1.42711635564015
"241","duwen",8.098339,8,12.93,2.08834,"hebben","regular",3,"N",3.0910425,"Dutch",4,-2.58895050956108,0.735706794978741
"242","splitsen",6.059123,1,13.39,2.28501,"hebben","regular",6,"N",2.1972246,"Dutch",2,-4.96051090691369,1.6094379124341
"243","durven",8.582419,4,12.67,2.35589,"hebben","regular",4,"N",1.3862944,"Germanic",1,-3.07303063970597,0.55467750629484
"244","vrezen",7.731931,6,14.16,2.62651,"hebben","regular",5,"N",2.9957323,"Germanic",3,-0.458144404103591,0.153334019920702
"245","staren",8.322151,8,14.29,1.92318,"hebben","regular",5,"N",1.9459101,"IndoEuropean",1,-4.73863213175679,1.76358859226136
"246","strelen",7.58172,4,14.14,2.18288,"hebben","regular",6,"N",1.6094379,"DutchGerman",3,-7.58171964012531,2.30258509299405
"247","strijden",6.740519,1,13.77,2.67383,"hebben","irregular",6,"Den",4.5951199,"Germanic",4,1.80351048576357,-2.19310086015236
"248","slaan",9.529012,3,13.07,2.21627,"zijnheb","irregular",3,"N",3.9702919,"Germanic",24,-4.88462136197334,1.05236127101735
"249","dienen",9.343997,13,15.25,1.95305,"hebben","regular",4,"N",5.7004436,"Germanic",12,-9.34399675678886,-1.36330484289519
"250","breken",8.468633,9,13.92,2.40392,"zijnheb","irregular",5,"N",4.0430513,"WestGermanic",9,-8.46863300080086,2.06142303617716
"251","moeten",11.722959,20,14.41,1.68185,"hebben","regular",4,"N",0,"WestGermanic",4,-11.7229594603307,-0.250698974784166
"252","wreken",6.068426,6,13.46,1.93159,"hebben","irregular",5,"N",1.3862944,"Germanic",2,-6.06842558824411,1.6094379124341
"253","vergen",6.974479,6,14.23,2.06851,"hebben","regular",4,"N",0,"DutchGerman",1,-6.97447891102505,0.693147180559945
"254","halen",9.784084,20,14.31,2.13548,"hebben","regular",4,"N",4.3307333,"Germanic",8,-4.52658908326056,0.873528872536074
"255","bellen",8.364741,26,14.22,2.25145,"hebben","regular",3,"Den",3.4657359,"Germanic",4,-1.08749334159308,-0.198097519388122
"256","porren",5.198497,17,13.6,2.26077,"hebben","regular",3,"N",1.3862944,"Germanic",3,-0.687637524748976,-0.810930216216329
"257","zenden",7.469084,4,14.67,2.27046,"hebben","irregular",4,"N",4.3307333,"Germanic",2,-7.46908388492123,1.43508452528932
"258","stellen",10.206514,12,14.37,2.34588,"hebben","regular",4,"N",5.4722707,"Germanic",14,-3.13578969146223,0.58548516791384
"259","vliegen",8.350666,3,13.77,2.33217,"zijnheb","irregular",5,"N",4.8751973,"Germanic",7,-1.69393971634253,0.310154928303839
"260","slepen",7.224025,4,13.54,2.59255,"hebben","regular",5,"N",2.9957323,"Germanic",6,-3.64050586982972,0.965080896043587
"261","varen",7.844241,19,14.7,2.2421,"zijnheb","irregular",4,"N",4.3040651,"Germanic",14,-0.287682072451781,-1.38629436111989
"262","hangen",9.371353,13,14.38,2.24103,"hebben","irregular",4,"N",4.3567088,"Germanic",15,-4.32792805090464,0.269332933783584
"263","wensen",8.29854,12,14.53,2.62214,"hebben","regular",4,"N",2.8903718,"Germanic",5,-0.377366823787865,-0.814508037564212
"264","menen",8.830543,16,15.21,2.28639,"hebben","regular",4,"N",2.1972246,"WestGermanic",3,-8.8305430106166,0.810930216216328
"265","zoeken",9.542948,14,13.95,2.30172,"hebben","irregular",4,"N",4.0073332,"Germanic",5,-9.54294800778096,-0.0910838293011436
"266","schroeven",5.42495,2,13.31,2.08967,"hebben","regular",7,"Den",2.8903718,"DutchGerman",5,0.224024220679803,-1.20397280432594
"267","heten",8.961109,19,15.02,1.70946,"hebben","regular",4,"N",2.4849066,"Germanic",7,0,-7.26262860097424
"268","wagen",7.837554,17,14.08,1.69342,"hebben","regular",4,"N",2.0794415,"DutchGerman",4,-4.84182208732709,1.28519824424852
"269","hoeven",9.229947,17,13.61,2.03986,"hebben","regular",4,"N",2.8332133,"Germanic",4,-4.61482638477384,0.0933671740116973
"270","fluiten",7.001246,4,12.89,2.38186,"hebben","irregular",5,"Den",3.2188758,"Germanic",3,-1.55450825040317,-0.55431073570573
"271","spijten",7.797291,5,13.02,0.658493,"hebben","irregular",5,"Den",1.6094379,"IndoEuropean",1,-1.62768054105602,1.04901534752874
"272","kennen",9.976506,23,15.06,2.43056,"hebben","regular",3,"N",3.8501476,"Germanic",3,-9.9765056452727,0.292099143448326
"273","barsten",7.379632,7,14,2.21649,"zijn","regular",5,"N",2.1972246,"DutchGerman",3,-1.45537635519502,0.649344557901552
"274","zweren",4.521789,7,14.18,2.01527,"hebben","irregular",5,"N",2.944439,"Germanic",5,-1.05386798301822,1.90759128475318
"275","eten",9.022081,19,15.08,1.95434,"hebben","irregular",3,"N",4.0253517,"IndoEuropean",6,-9.02208122251547,0.104978763410396
"276","spruiten",4.418841,0,13.48,2.18559,"zijn","irregular",6,"N",2.1972246,"WestGermanic",2,-0.156160730755283,1.25276296849537
"277","spotten",7.130899,6,13.34,1.93528,"hebben","regular",4,"N",3.2580965,"Germanic",4,-0.942634707213757,-0.356674943938732
"278","zweten",6.46925,8,14.19,2.35883,"hebben","regular",5,"N",2.944439,"IndoEuropean",6,0.87933721413182,-1.91364928683709
"279","gillen",7.340187,17,13.29,2.54328,"hebben","regular",3,"N",1.7917595,"Germanic",3,-1.56563528977571,0.826678573184468
"280","zorgen",8.937087,4,13.74,1.97154,"hebben","regular",4,"Den",4.4543473,"Germanic",3,-0.397154357790797,-0.916290731874155
"281","schenken",8.228444,1,14.16,2.24546,"hebben","irregular",6,"N",3.2958369,"Germanic",3,-8.22844388300403,1.88273124743378
"282","missen",8.317278,22,14.05,2.3081,"hebben","regular",3,"N",4.5217886,"WestGermanic",4,-2.42012389858449,-1.69548263879263
"283","volgen",9.986035,4,13.44,2.6101,"zijnheb","regular",4,"N",4.0430513,"Germanic",5,-9.9860348135037,0.543615446588982
"284","stelen",7.391415,9,14.47,1.77808,"hebben","irregular",5,"N",2.5649494,"Germanic",3,4.36691299686383,-2.30258509299405
"285","jagen",7.682022,11,13.32,2.57416,"hebben","irregular",4,"N",4.0073332,"DutchGerman",7,-7.68202151082687,1.73460105538811
