"","Word","Onset1Type","Onset2Type","VowelType","ConsonantType","Obstruent","Nsyll","Stress","Voice"
"408","gleuf","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"409","weet","None","Sonorant","long","None","T",1,"F","voiceless"
"410","paap","None","Obstruent","long","None","P",1,"F","voiceless"
"411","paus","None","Obstruent","long","None","S",1,"F","voiceless"
"412","tijg","None","Obstruent","long","None","X",1,"F","voiced"
"413","bits","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"414","faas","None","Obstruent","long","None","S",1,"F","voiced"
"415","staaf","Obstruent","Obstruent","long","None","F",1,"F","voiced"
"416","kog","None","Obstruent","short","None","X",1,"F","voiced"
"417","heup","None","Obstruent","long","None","P",1,"F","voiceless"
"418","spits","Obstruent","Obstruent","short","Obstruent","S",1,"F","voiceless"
"419","koos","None","Obstruent","long","None","S",1,"F","voiced"
"420","vaart","None","Obstruent","long","Sonorant","T",1,"F","voiceless"
"421","vilt","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"422","kwaad","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"423","kluit","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"424","schrijd","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"425","doop","None","Obstruent","long","None","P",1,"F","voiceless"
"426","dop","None","Obstruent","short","None","P",1,"F","voiceless"
"427","stuit","Obstruent","Obstruent","long","None","T",1,"F","voiceless"
"428","alf","None","None","short","Sonorant","F",1,"F","voiced"
"429","bloos","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"430","macht","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"431","fors","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"432","spreid","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"433","lus","None","Sonorant","short","None","S",1,"F","voiceless"
"434","dreig","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"435","teut","None","Obstruent","long","None","T",1,"F","voiceless"
"436","kwijt","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"437","kruis","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"438","volg","None","Obstruent","short","Sonorant","X",1,"F","voiced"
"439","kastijd","None","Obstruent","long","None","T",2,"F","voiced"
"440","staart","Obstruent","Obstruent","long","Sonorant","T",1,"F","voiceless"
"441","eminent","None","Sonorant","short","Sonorant","T",3,"F","voiceless"
"442","laf","None","Sonorant","short","None","F",1,"F","voiceless"
"443","praat","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"444","blijf","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"445","preuts","Obstruent","Sonorant","long","Obstruent","S",1,"F","voiceless"
"446","mats","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"447","beug","None","Obstruent","long","None","X",1,"F","voiced"
"448","lucht","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"449","wreef","Sonorant","Sonorant","long","None","F",1,"F","voiced"
"450","berd","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"451","prop","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"452","vuig","None","Obstruent","long","None","X",1,"F","voiced"
"453","wroeg","Sonorant","Sonorant","iuy","None","X",1,"F","voiced"
"454","dot","None","Obstruent","short","None","T",1,"F","voiceless"
"455","zit","None","Obstruent","short","None","T",1,"F","voiceless"
"456","broos","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"457","fazant","None","Obstruent","short","Sonorant","T",2,"F","voiceless"
"458","siroop","None","Sonorant","long","None","P",2,"F","voiceless"
"459","opulent","None","Sonorant","short","Sonorant","T",3,"F","voiceless"
"460","bruid","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"461","speculaas","None","Sonorant","long","None","S",3,"F","voiced"
"462","bonnet","None","Sonorant","short","None","T",2,"F","voiceless"
"463","nood","None","Sonorant","long","None","T",1,"F","voiced"
"464","last","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"465","bluts","Obstruent","Sonorant","short","Obstruent","S",1,"F","voiceless"
"466","advies","None","Obstruent","iuy","None","S",2,"F","voiced"
"467","blus","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"468","foef","None","Obstruent","iuy","None","F",1,"F","voiceless"
"469","vit","None","Obstruent","short","None","T",1,"F","voiceless"
"470","gors","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"471","krimp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"472","slaag","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"473","barst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"474","sleuf","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"475","pels","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"476","klif","Obstruent","Sonorant","short","None","F",1,"F","voiceless"
"477","heug","None","Obstruent","long","None","X",1,"F","voiced"
"478","buig","None","Obstruent","long","None","X",1,"F","voiced"
"479","links","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"480","gat","None","Obstruent","short","None","T",1,"F","voiceless"
"481","kompas","None","Obstruent","short","None","S",2,"F","voiceless"
"482","zwijg","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"483","vlaag","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"484","klap","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"485","luis","None","Sonorant","long","None","S",1,"F","voiced"
"486","buis","None","Obstruent","long","None","S",1,"F","voiced"
"487","stomp","Obstruent","Obstruent","short","Sonorant","P",1,"F","voiceless"
"488","spet","Obstruent","Obstruent","short","None","T",1,"F","voiceless"
"489","plus","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"490","strikt","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"491","zweep","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"492","mild","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"493","saus","None","Obstruent","long","None","S",1,"F","voiceless"
"494","limiet","None","Sonorant","iuy","None","T",2,"F","voiceless"
"495","schamp","Obstruent","Obstruent","short","Sonorant","P",1,"F","voiceless"
"496","olijf","None","Sonorant","long","None","F",2,"F","voiced"
"497","kolf","None","Obstruent","short","Sonorant","F",1,"F","voiced"
"498","pas","None","Obstruent","short","None","S",1,"F","voiceless"
"499","sjees","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"500","rest","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"501","floep","Obstruent","Sonorant","iuy","None","P",1,"F","voiceless"
"502","blief","Obstruent","Sonorant","iuy","None","F",1,"F","voiced"
"503","ras","None","Sonorant","short","None","S",1,"F","voiceless"
"504","hint","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"505","kwant","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"506","hagedis","None","Obstruent","short","None","S",3,"F","voiceless"
"507","poch","None","Obstruent","short","None","X",1,"F","voiceless"
"508","succulent","None","Sonorant","short","Sonorant","T",3,"F","voiceless"
"509","hoog","None","Obstruent","long","None","X",1,"F","voiced"
"510","dof","None","Obstruent","short","None","F",1,"F","voiceless"
"511","hoop","None","Obstruent","long","None","P",1,"F","voiceless"
"512","skelet","None","Sonorant","short","None","T",2,"F","voiceless"
"513","klarinet","None","Sonorant","short","None","T",3,"F","voiceless"
"514","gerant","None","Sonorant","short","Sonorant","T",2,"F","voiceless"
"515","wolf","None","Sonorant","short","Sonorant","F",1,"F","voiced"
"516","diep","None","Obstruent","iuy","None","P",1,"F","voiceless"
"517","deeg","None","Obstruent","long","None","X",1,"F","voiced"
"518","bigot","None","Obstruent","short","None","T",2,"F","voiceless"
"519","worst","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"520","schimp","Obstruent","Obstruent","short","Sonorant","P",1,"F","voiceless"
"521","wout","None","Sonorant","long","None","T",1,"F","voiceless"
"522","nipt","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"523","arbeid","None","Obstruent","long","None","T",2,"P","voiced"
"524","biecht","None","Obstruent","iuy","Obstruent","T",1,"F","voiceless"
"525","zwart","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"526","fop","None","Obstruent","short","None","P",1,"F","voiceless"
"527","boord","None","Obstruent","long","Sonorant","T",1,"F","voiced"
"528","laars","None","Sonorant","long","Sonorant","S",1,"F","voiced"
"529","schacht","Obstruent","Obstruent","short","Obstruent","T",1,"F","voiceless"
"530","beet","None","Obstruent","long","None","T",1,"F","voiceless"
"531","bus","None","Obstruent","short","None","S",1,"F","voiceless"
"532","hals","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"533","bof","None","Obstruent","short","None","F",1,"F","voiceless"
"534","pad","None","Obstruent","short","None","T",1,"F","voiced"
"535","teug","None","Obstruent","long","None","X",1,"F","voiced"
"536","plas","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"537","traag","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"538","goog","None","Obstruent","long","None","X",1,"F","voiced"
"539","geep","None","Obstruent","long","None","P",1,"F","voiceless"
"540","kont","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"541","pers","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"542","hees","None","Obstruent","long","None","S",1,"F","voiceless"
"543","bied","None","Obstruent","iuy","None","T",1,"F","voiced"
"544","riet","None","Sonorant","iuy","None","T",1,"F","voiceless"
"545","harnas","None","Sonorant","short","None","S",2,"P","voiceless"
"546","raad","None","Sonorant","long","None","T",1,"F","voiced"
"547","straat","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"548","heg","None","Obstruent","short","None","X",1,"F","voiced"
"549","jood","None","Sonorant","long","None","T",1,"F","voiced"
"550","zwerf","Obstruent","Sonorant","short","Sonorant","F",1,"F","voiced"
"551","proest","Obstruent","Sonorant","iuy","Obstruent","T",1,"F","voiceless"
"552","biets","None","Obstruent","iuy","Obstruent","S",1,"F","voiceless"
"553","kust","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"554","rat","None","Sonorant","short","None","T",1,"F","voiceless"
"555","kaard","None","Obstruent","long","Sonorant","T",1,"F","voiced"
"556","mals","None","Sonorant","short","Sonorant","S",1,"F","voiceless"
"557","traaf","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"558","kuis","None","Obstruent","long","None","S",1,"F","voiceless"
"559","naaf","None","Sonorant","long","None","F",1,"F","voiced"
"560","grijs","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"561","brug","Obstruent","Sonorant","short","None","X",1,"F","voiced"
"562","hecht","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"563","stamp","Obstruent","Obstruent","short","Sonorant","P",1,"F","voiceless"
"564","blind","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiced"
"565","vracht","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"566","cis","None","Obstruent","iuy","None","S",1,"F","voiceless"
"567","eins","None","None","long","Sonorant","S",1,"F","voiced"
"568","rats","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"569","lijst","None","Sonorant","long","Obstruent","T",1,"F","voiceless"
"570","spons","Obstruent","Obstruent","short","Sonorant","S",1,"F","voiceless"
"571","raap","None","Sonorant","long","None","P",1,"F","voiceless"
"572","labyrint","None","Sonorant","short","Sonorant","T",3,"F","voiceless"
"573","gris","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"574","fielt","None","Obstruent","iuy","Sonorant","T",1,"F","voiceless"
"575","veeg","None","Obstruent","long","None","X",1,"F","voiced"
"576","tocht","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"577","muit","None","Sonorant","long","None","T",1,"F","voiceless"
"578","tijd","None","Obstruent","long","None","T",1,"F","voiced"
"579","spint","Obstruent","Obstruent","short","Sonorant","T",1,"F","voiceless"
"580","vat","None","Obstruent","short","None","T",1,"F","voiceless"
"581","aspect","None","Obstruent","short","Obstruent","T",2,"F","voiceless"
"582","pamflet","Obstruent","Sonorant","short","None","T",2,"F","voiceless"
"583","naad","None","Sonorant","long","None","T",1,"F","voiced"
"584","sluit","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"585","domp","None","Obstruent","short","Sonorant","P",1,"F","voiceless"
"586","mijt","None","Sonorant","long","None","T",1,"F","voiceless"
"587","meet","None","Sonorant","long","None","T",1,"F","voiceless"
"588","rijg","None","Sonorant","long","None","X",1,"F","voiced"
"589","heft","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"590","nies","None","Sonorant","iuy","None","S",1,"F","voiceless"
"591","vacht","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"592","struif","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"593","element","None","Sonorant","short","Sonorant","T",3,"F","voiceless"
"594","klad","Obstruent","Sonorant","short","None","T",1,"F","voiced"
"595","termiet","None","Sonorant","iuy","None","T",2,"F","voiceless"
"596","krib","Obstruent","Sonorant","short","None","P",1,"F","voiced"
"597","vlucht","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"598","mors","None","Sonorant","short","Sonorant","S",1,"F","voiceless"
"599","knerp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"600","wulf","None","Sonorant","short","Sonorant","F",1,"F","voiced"
"601","voed","None","Obstruent","iuy","None","T",1,"F","voiced"
"602","zoog","None","Obstruent","long","None","X",1,"F","voiced"
"603","pit","None","Obstruent","short","None","T",1,"F","voiceless"
"604","grond","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiced"
"605","bes","None","Obstruent","short","None","S",1,"F","voiceless"
"606","snit","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"607","zat","None","Obstruent","short","None","T",1,"F","voiceless"
"608","puf","None","Obstruent","short","None","F",1,"F","voiceless"
"609","laaf","None","Sonorant","long","None","F",1,"F","voiced"
"610","stuif","Obstruent","Obstruent","long","None","F",1,"F","voiced"
"611","kneed","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"612","knaag","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"613","rist","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"614","dweep","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"615","toog","None","Obstruent","long","None","X",1,"F","voiced"
"616","hoef","None","Obstruent","iuy","None","F",1,"F","voiced"
"617","mes","None","Sonorant","short","None","S",1,"F","voiceless"
"618","roef","None","Sonorant","iuy","None","F",1,"F","voiced"
"619","guit","None","Obstruent","long","None","T",1,"F","voiceless"
"620","stelt","Obstruent","Obstruent","short","Sonorant","T",1,"F","voiceless"
"621","argument","None","Sonorant","short","Sonorant","T",3,"F","voiceless"
"622","bros","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"623","burg","None","Obstruent","short","Sonorant","X",1,"F","voiced"
"624","rog","None","Sonorant","short","None","X",1,"F","voiced"
"625","snoep","Obstruent","Sonorant","iuy","None","P",1,"F","voiceless"
"626","instrument","None","Sonorant","short","Sonorant","T",3,"F","voiceless"
"627","beef","None","Obstruent","long","None","F",1,"F","voiced"
"628","blaat","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"629","graf","Obstruent","Sonorant","short","None","F",1,"F","voiced"
"630","mug","None","Sonorant","short","None","X",1,"F","voiced"
"631","jas","None","Sonorant","short","None","S",1,"F","voiceless"
"632","planeet","None","Sonorant","long","None","T",2,"F","voiceless"
"633","schab","Obstruent","Obstruent","short","None","P",1,"F","voiced"
"634","dwerg","Obstruent","Sonorant","short","Sonorant","X",1,"F","voiced"
"635","kalebas","None","Obstruent","short","None","S",3,"F","voiceless"
"636","werf","None","Sonorant","short","Sonorant","F",1,"F","voiced"
"637","sterf","Obstruent","Obstruent","short","Sonorant","F",1,"F","voiced"
"638","hop","None","Obstruent","short","None","P",1,"F","voiceless"
"639","hots","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"640","baas","None","Obstruent","long","None","S",1,"F","voiced"
"641","fjord","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiced"
"642","wulp","None","Sonorant","short","Sonorant","P",1,"F","voiceless"
"643","os","None","None","short","None","S",1,"F","voiceless"
"644","sjalot","None","Sonorant","short","None","T",2,"F","voiceless"
"645","boot","None","Obstruent","long","None","T",1,"F","voiceless"
"646","triomf","None","Sonorant","short","Sonorant","F",2,"F","voiceless"
"647","kolos","None","Sonorant","short","None","S",2,"F","voiceless"
"648","kaap","None","Obstruent","long","None","P",1,"F","voiceless"
"649","surf","None","Obstruent","short","Sonorant","F",1,"F","voiceless"
"650","fuut","None","Obstruent","iuy","None","T",1,"F","voiceless"
"651","leef","None","Sonorant","long","None","F",1,"F","voiced"
"652","wind","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"653","gift","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"654","lens","None","Sonorant","short","Sonorant","S",1,"F","voiced"
"655","lijf","None","Sonorant","long","None","F",1,"F","voiced"
"656","broes","Obstruent","Sonorant","iuy","None","S",1,"F","voiced"
"657","zeelt","None","Obstruent","long","Sonorant","T",1,"F","voiceless"
"658","vernuft","None","Sonorant","short","Obstruent","T",2,"F","voiceless"
"659","daag","None","Obstruent","long","None","X",1,"F","voiced"
"660","dorp","None","Obstruent","short","Sonorant","P",1,"F","voiceless"
"661","kwets","Obstruent","Sonorant","short","Obstruent","S",1,"F","voiceless"
"662","word","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"663","wied","None","Sonorant","iuy","None","T",1,"F","voiced"
"664","oord","None","None","long","Sonorant","T",1,"F","voiced"
"665","barkas","None","Obstruent","short","None","S",2,"F","voiceless"
"666","lach","None","Sonorant","short","None","X",1,"F","voiceless"
"667","stug","Obstruent","Obstruent","short","None","X",1,"F","voiced"
"668","berg","None","Obstruent","short","Sonorant","X",1,"F","voiced"
"669","hoos","None","Obstruent","long","None","S",1,"F","voiced"
"670","mest","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"671","want","None","Sonorant","short","Sonorant","T",1,"F","voiceless"
"672","gis","None","Obstruent","short","None","S",1,"F","voiceless"
"673","hes","None","Obstruent","short","None","S",1,"F","voiceless"
"674","reeks","None","Sonorant","long","Obstruent","S",1,"F","voiceless"
"675","kous","None","Obstruent","long","None","S",1,"F","voiceless"
"676","flop","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"677","zwoerd","Obstruent","Sonorant","iuy","Sonorant","T",1,"F","voiced"
"678","nep","None","Sonorant","short","None","P",1,"F","voiceless"
"679","hort","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"680","wieg","None","Sonorant","iuy","None","X",1,"F","voiced"
"681","plaat","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"682","zoef","None","Obstruent","iuy","None","F",1,"F","voiced"
"683","hit","None","Obstruent","short","None","T",1,"F","voiceless"
"684","klas","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"685","pres","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"686","loog","None","Sonorant","long","None","X",1,"F","voiced"
"687","slurp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"688","hoofs","None","Obstruent","long","Obstruent","S",1,"F","voiceless"
"689","stront","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"690","paleis","None","Sonorant","long","None","S",2,"F","voiced"
"691","csardas","None","Obstruent","short","None","S",2,"F","voiceless"
"692","wants","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"693","lust","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"694","dep","None","Obstruent","short","None","P",1,"F","voiceless"
"695","gons","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"696","vleug","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"697","erwt","None","None","short","Sonorant","T",1,"F","voiceless"
"698","mirt","None","Sonorant","short","Sonorant","T",1,"F","voiceless"
"699","deis","None","Obstruent","long","None","S",1,"F","voiced"
"700","tof","None","Obstruent","short","None","F",1,"F","voiceless"
"701","stulp","Obstruent","Obstruent","short","Sonorant","P",1,"F","voiceless"
"702","juf","None","Sonorant","short","None","F",1,"F","voiceless"
"703","tos","None","Obstruent","short","None","S",1,"F","voiceless"
"704","wrat","Sonorant","Sonorant","short","None","T",1,"F","voiceless"
"705","krans","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiceless"
"706","mond","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"707","consult","None","Obstruent","short","Sonorant","T",2,"F","voiceless"
"708","vriend","Obstruent","Sonorant","iuy","Sonorant","T",1,"F","voiced"
"709","step","Obstruent","Obstruent","short","None","P",1,"F","voiceless"
"710","straf","Obstruent","Sonorant","short","None","F",1,"F","voiceless"
"711","wip","None","Sonorant","short","None","P",1,"F","voiceless"
"712","spuit","Obstruent","Obstruent","long","None","T",1,"F","voiceless"
"713","ijs","None","None","long","None","S",1,"F","voiced"
"714","sloop","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"715","schijt","Obstruent","Obstruent","long","None","T",1,"F","voiceless"
"716","maas","None","Sonorant","long","None","S",1,"F","voiced"
"717","adjudant","None","Obstruent","short","Sonorant","T",3,"F","voiceless"
"718","puist","None","Obstruent","long","Obstruent","T",1,"F","voiceless"
"719","nis","None","Sonorant","short","None","S",1,"F","voiceless"
"720","bruis","Obstruent","Sonorant","long","None","S",1,"F","voiceless"
"721","baard","None","Obstruent","long","Sonorant","T",1,"F","voiced"
"722","bars","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"723","neef","None","Sonorant","long","None","F",1,"F","voiced"
"724","fox","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"725","dans","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"726","grimas","None","Sonorant","short","None","S",2,"P","voiceless"
"727","rammenas","None","Sonorant","short","None","S",3,"F","voiceless"
"728","klit","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"729","ramp","None","Sonorant","short","Sonorant","P",1,"F","voiceless"
"730","licht","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"731","tas","None","Obstruent","short","None","S",1,"F","voiceless"
"732","triest","Obstruent","Sonorant","iuy","Obstruent","T",1,"F","voiceless"
"733","hulst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"734","vind","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"735","toot","None","Obstruent","long","None","T",1,"F","voiceless"
"736","glimp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"737","maag","None","Sonorant","long","None","X",1,"F","voiced"
"738","map","None","Sonorant","short","None","P",1,"F","voiceless"
"739","inkt","None","None","short","Obstruent","T",1,"F","voiceless"
"740","laat","None","Sonorant","long","None","T",1,"F","voiceless"
"741","maf","None","Sonorant","short","None","F",1,"F","voiceless"
"742","trits","Obstruent","Sonorant","short","Obstruent","S",1,"F","voiceless"
"743","kiep","None","Obstruent","iuy","None","P",1,"F","voiceless"
"744","zied","None","Obstruent","iuy","None","T",1,"F","voiced"
"745","flut","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"746","plens","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"747","gap","None","Obstruent","short","None","P",1,"F","voiceless"
"748","klef","Obstruent","Sonorant","short","None","F",1,"F","voiceless"
"749","griet","Obstruent","Sonorant","iuy","None","T",1,"F","voiceless"
"750","pint","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"751","schans","Obstruent","Obstruent","short","Sonorant","S",1,"F","voiceless"
"752","kermis","None","Sonorant","short","None","S",2,"P","voiceless"
"753","rif","None","Sonorant","short","None","F",1,"F","voiceless"
"754","pancreas","None","Sonorant","short","None","S",3,"A","voiceless"
"755","eis","None","None","long","None","S",1,"F","voiceless"
"756","pees","None","Obstruent","long","None","S",1,"F","voiced"
"757","piraat","None","Sonorant","long","None","T",2,"F","voiceless"
"758","gracht","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"759","schelp","Obstruent","Obstruent","short","Sonorant","P",1,"F","voiceless"
"760","slet","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"761","berst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"762","trap","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"763","druis","Obstruent","Sonorant","long","None","S",1,"F","voiceless"
"764","hof","None","Obstruent","short","None","F",1,"F","voiced"
"765","soes","None","Obstruent","iuy","None","S",1,"F","voiced"
"766","fiets","None","Obstruent","iuy","Obstruent","S",1,"F","voiceless"
"767","plons","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"768","nerts","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"769","quant","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"770","lip","None","Sonorant","short","None","P",1,"F","voiceless"
"771","welp","None","Sonorant","short","Sonorant","P",1,"F","voiceless"
"772","smid","Obstruent","Sonorant","short","None","T",1,"F","voiced"
"773","boernoes","None","Sonorant","iuy","None","S",2,"F","voiceless"
"774","naakt","None","Sonorant","long","Obstruent","T",1,"F","voiceless"
"775","trog","Obstruent","Sonorant","short","None","X",1,"F","voiced"
"776","glans","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"777","tref","Obstruent","Sonorant","short","None","F",1,"F","voiceless"
"778","gent","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"779","angst","None","None","short","Obstruent","T",1,"F","voiceless"
"780","smet","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"781","bad","None","Obstruent","short","None","T",1,"F","voiced"
"782","kers","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"783","bries","Obstruent","Sonorant","iuy","None","S",1,"F","voiceless"
"784","ledikant","None","Obstruent","short","Sonorant","T",3,"F","voiceless"
"785","prat","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"786","schrap","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"787","erg","None","None","short","Sonorant","X",1,"F","voiced"
"788","walg","None","Sonorant","short","Sonorant","X",1,"F","voiced"
"789","zes","None","Obstruent","short","None","S",1,"F","voiceless"
"790","rasp","None","Sonorant","short","Obstruent","P",1,"F","voiceless"
"791","spot","Obstruent","Obstruent","short","None","T",1,"F","voiceless"
"792","wrocht","Sonorant","Sonorant","short","Obstruent","T",1,"F","voiceless"
"793","zuig","None","Obstruent","long","None","X",1,"F","voiced"
"794","kwast","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"795","schot","Obstruent","Obstruent","short","None","T",1,"F","voiceless"
"796","ruis","None","Sonorant","long","None","S",1,"F","voiceless"
"797","pet","None","Obstruent","short","None","T",1,"F","voiceless"
"798","buurt","None","Obstruent","iuy","Sonorant","T",1,"F","voiceless"
"799","daas","None","Obstruent","long","None","S",1,"F","voiced"
"800","hef","None","Obstruent","short","None","F",1,"F","voiceless"
"801","knus","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"802","taboeret","None","Sonorant","short","None","T",3,"F","voiceless"
"803","kies","None","Obstruent","iuy","None","S",1,"F","voiceless"
"804","giet","None","Obstruent","iuy","None","T",1,"F","voiceless"
"805","schaap","Obstruent","Obstruent","long","None","P",1,"F","voiceless"
"806","gesp","None","Obstruent","short","Obstruent","P",1,"F","voiceless"
"807","grijns","Obstruent","Sonorant","long","Sonorant","S",1,"F","voiced"
"808","gems","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"809","plons","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiceless"
"810","fort","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"811","kabinet","None","Sonorant","short","None","T",3,"F","voiceless"
"812","tamp","None","Obstruent","short","Sonorant","P",1,"F","voiceless"
"813","koord","None","Obstruent","long","Sonorant","T",1,"F","voiced"
"814","rits","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"815","schub","Obstruent","Obstruent","short","None","P",1,"F","voiced"
"816","vies","None","Obstruent","iuy","None","S",1,"F","voiced"
