"","Speaker","Sentence","AgeGroup","CaseMarking","WordOrder","AnimacyOfSubject","OvertnessOfObject","AnimacyOfObject","Text"
"227","Sub1031","papa_ngku_luwa_rnu_puluku_yalyu_kurra_yard_wana_juku_","adult","ergative","subInitial","animate","overt","animate","textb"
"228","Sub1031","papardi_nyanu_ju_yarlku_rnu_warna_ng_","adult","ergative","subNotInitial","animate","overt","animate","textc"
"229","Sub1031","potulu_ng_ngana_pantu_rnu_taya_","adult","ergative","subInitial","inanimate","overt","inanimate","textc"
"230","Sub1031","potulu_ng_pantu_rnu_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"231","Sub1031","warna_ng_yarlku_rn_","adult","ergative","subNotInitial","animate","overt","animate","textc"
"232","Sub1031","wirriya_pardu_ju_yampi_nja_nu_","adult","other","subInitial","animate","notOvert","animate","textc"
"233","Sub1032","jarntu_jinta_kari_ka_www_marda_rni_wati_ngki_","adult","ergative","subNotInitial","animate","overt","animate","textc"
"234","Sub1032","jinta_wati_ngki_ka_marda_rni_makiti_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"235","Sub1032","kamina_jarra_rlu_ka_pala_wajilipi_nyi_kuuku_","adult","ergative","subInitial","animate","overt","animate","texta"
"236","Sub1032","kamina_rlu_jinta_ngku_ka_jarntu_ma_ni_yard_jangka_","adult","ergative","subInitial","animate","overt","animate","texta"
"237","Sub1032","karnta_ngku_ka_marda_rni_watiya_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"238","Sub1032","kuja_kanta_ngu_luwa_rnu_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"239","Sub1032","kuja_warna_ng_paju_rnu_wati_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"240","Sub1032","kuuku_ng_ka_jarntu_ma_ni_","adult","ergative","subInitial","animate","overt","animate","texta"
"241","Sub1032","kuuku_rlu_ka_jarntu_ka_nyi_watiya_kurra_","adult","ergative","subInitial","animate","overt","animate","texta"
"242","Sub1032","kuuku_rlu_ka_ka_nyi_jarntu_watiya_kurra_","adult","ergative","subInitial","animate","overt","animate","texta"
"243","Sub1032","namiji_rla_ka_marda_rni_uuju_kata_uuju_kurlangu_kata_kamina_rlu_karnta_ng_","adult","ergative","subNotInitial","animate","overt","animate","textb"
"244","Sub1032","nya_nyi_ka_lu_kanta_watiya_rla_karnta_ngku_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"245","Sub1032","uuju_ka_marda_rni_namiji_rla_karnta_ngu_","adult","ergative","subNotInitial","animate","overt","animate","textb"
"246","Sub1032","warna_ng_kuja_paju_rnu_wirliya_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"247","Sub1032","warna_ngku_ka_paji_rni_wirliya_wati_kirlangu_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"248","Sub1032","wati_ka_rdaka_marda_rni_yalyu_kurl_","adult","other","subInitial","animate","overt","inanimate","textc"
"249","Sub1032","wati_karnta_manu_kurdu_ka_lu_nya_nyi_nantuwu_manu_puluku_walya_ngka_","adult","other","subInitial","animate","overt","animate","textb"
"250","Sub1032","wati_ngi_luwa_rnu_puluku_","adult","ergative","subInitial","animate","overt","animate","textb"
"251","Sub1032","wati_ngi_manu_kurdu_ngu_ka_pala_ma_ni_fenci_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"252","Sub1032","wati_ngki_ka_wirliya_wapunypa_wilypi_ma_ni_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"253","Sub1032","wati_ngki_manu_karnta_ngku_manu_kurdu_ngku_ka_lu_watiya_ma_ni_rarralykaji_jangk_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"254","Sub1032","wirnpa_ngku_ka_luwa_rni_wati_","adult","ergative","subInitial","animate","overt","animate","textc"
"255","Sub1032","wirnpa_ngku_kuja_luwa_rnu_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"256","Sub1034","jamana_ju_paju_rnu_snak_i_ng_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"257","Sub1034","kata_k_luwa_rnu_kanta_ngu_ju_kurdu_pawu_ju_","adult","ergative","subNotInitial","animate","overt","animate","textc"
"258","Sub1034","kuuku_ng_ka_ngu_na_jarntu_ju_","adult","ergative","subInitial","animate","overt","animate","texta"
"259","Sub1034","kuuku_ngku_ma_nu_na_","adult","ergative","subInitial","animate","notOvert","inanimate","texta"
"260","Sub1034","ma_nu_nju_rnu_wiyarrpa_yapa_","adult","other","subNotInitial","animate","notOvert","inanimate","texta"
"261","Sub1034","manu_lk_na_ngati_nyanu_rlu_ju_","adult","ergative","subNotInitial","animate","notOvert","inanimate","texta"
"262","Sub1034","nyampu_wara_nga_rnu_jarntu_ngu_yalyu_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"263","Sub1034","pajurnu_jineiki_ngi_","adult","ergative","subNotInitial","animate","notOvert","animate","textc"
"264","Sub1034","puta_ma_nu_watiya_rla_lku_kurdu_pardu_ngu_karnta_pardu_ngu_nganayi_kanta_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"265","Sub1037","an_larra_luwa_rnu_rdaka_ju_lightning_","adult","other","subNotInitial","inanimate","overt","animate","textc"
"266","Sub1037","and_nganayi_kurdu_pawu_ngu_manu_maliki_ji_","adult","ergative","subInitial","animate","overt","animate","textc"
"267","Sub1037","botulu_pantu_rnu_","adult","other","subInitial","inanimate","notOvert","inanimate","textc"
"268","Sub1037","jarntu_ngu_nya_ngu_kuku_","adult","ergative","subInitial","animate","overt","animate","texta"
"269","Sub1037","karnta_ngu_manu_wirriya_","adult","ergative","subInitial","animate","overt","animate","texta"
"270","Sub1037","karnta_ngu_na_kurdu_wita_ngu_parlu_pungu_kanta_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"271","Sub1037","karnta_ngu_yirra_rnu_wirriya_swingswing_rla_","adult","ergative","subInitial","animate","overt","animate","texta"
"272","Sub1037","kuuku_ng_ka_ka_ngu_","adult","ergative","subInitial","animate","notOvert","animate","texta"
"273","Sub1037","manu_wiyi_rla_jarntu_lu_karnta_ngu_j_","adult","ergative","subNotInitial","animate","overt","animate","texta"
"274","Sub1037","ngati_nyanu_rlu_wajilipu_ngu_kuuku_manu_jarntu_wita_","adult","ergative","subInitial","animate","overt","animate","texta"
"275","Sub1037","ngula_janga_ju_wati_ngi_ma_car_ngurrju_ma_nu_www_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"276","Sub1037","paka_rnu_inya_karnta_ngu_","adult","ergative","subNotInitial","animate","notOvert","animate","textc"
"277","Sub1037","pushi_ma_nu_lku_karnta_ngu_j_","adult","ergative","subNotInitial","animate","notOvert","animate","texta"
"278","Sub1037","wati_ngi_watiya_ma_nu_rarralykaji_janga_ju_an_karnta_ngu_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"279","Sub1037","yapa_ng_ka_ngu_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"280","Sub1037","yapa_ngu_ma_nu_jarntu_ju[%_03:25]_","adult","ergative","subInitial","animate","overt","animate","texta"
"281","Sub1037","yapa_too_much_inya_nya_ngu_","adult","other","subInitial","animate","notOvert","animate","texta"
"282","Sub1037","yirra_rnu_nganayi_ngu_","adult","ergative","subNotInitial","animate","notOvert","animate","texta"
"283","Sub1040","junga_juk_wirriya_pardu_yirra_rnu_ladder_watiya_ngka_","adult","other","subInitial","animate","overt","inanimate","textb"
"284","Sub1040","junga_juku_ngati_nyanu_rlu_yard_janga_ju_ma_nu_jarntu_wita_maliki_pawu_","adult","ergative","subInitial","animate","overt","animate","texta"
"285","Sub1040","ka_ngu_lpa_kuuku_ngu_jarntu_","adult","ergative","subNotInitial","animate","overt","animate","texta"
"286","Sub1040","karnta_ngku_karnta_wita_ngu_ngati_nyanu_wajilipu_ngu_pala_kuuku_","adult","ergative","subInitial","animate","overt","animate","texta"
"287","Sub1040","karnta_ngku_puju_ma_nu_","adult","ergative","subInitial","animate","notOvert","inanimate","texta"
"288","Sub1040","kuuku_ngu_ka_pu_ma_nta_rla_jarntu_ku_","adult","ergative","subInitial","animate","overt","animate","texta"
"289","Sub1040","lightning_ing_i_m_striki_ma_nu_wirriya_rdaka_kurlu_murru_murru_","adult","ergative","subInitial","inanimate","overt","animate","textc"
"290","Sub1040","ma_nu_kuuku_ngu_jarntu_","adult","ergative","subNotInitial","animate","overt","animate","texta"
"291","Sub1040","manu_karnta_ngu_ma_nu_karlangu_kankarlarni_jimanta_wana_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"292","Sub1040","munga_ngku_yardi_ngka_yirra_rnu_kuuku_ngu_","adult","ergative","subNotInitial","animate","notOvert","inanimate","texta"
"293","Sub1040","warlu_ka_ngurrju_ma_ni_jaji_nyanu_rlu_jaji_nyanu_wirriya_jarra_jaji_nyanu_","adult","ergative","subNotInitial","animate","overt","inanimate","texta"
"294","Sub1040","warna_ngu_paju_rnu_","adult","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"295","Sub1040","watiya_lu_marnkurrpa_ngu_ju_kankarl_ma_nu_rarralykaji_jangka_","adult","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"296","Sub1040","watiya_nganta_rarralykaji_jangka_kankarl_ma_nu_lpa_watiya_marnkurrpa_ngku_karn_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"297","Sub1040","watiya_ngu_bumpi_ma_nu_www_rarralykaji_jinta_kari_www_","adult","ergative","subInitial","inanimate","overt","inanimate","textb"
"298","Sub1040","waya_ngu_nganta_wiyarrpa_yalyu_kurra_paju_rnu_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textb"
"299","Sub1040","wirriya_ngku_lpa_drivi_ma_nu_rarralykaji_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"300","Sub1040","wirriya_ngu_marda_rnu_rifle_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"301","Sub1040","wita_wirriya_pawu_manu_wati_ngi_yard_pala_kuju_rnu_uuju_ku_juk_","adult","ergative","subInitial","animate","notOvert","inanimate","textb"
"302","Sub1041","_jarntu_lpa_marda_rnu_ngamajina_nganayi_inya_ngku_wirriya_pardu_rlu_jarntu_mard_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"303","Sub1041","karri_nja_yirra_rnu_inya_rlu_marnkurrpa_rlu_","adult","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"304","Sub1041","kurdu_ngku_wita_pardu_wiri_jarlu_doldol_yirra_rnu_swing_rla_","adult","ergative","subInitial","animate","overt","inanimate","texta"
"305","Sub1041","kuuku_ngu_ju_wajilipu_nja_rla_ka_ngu_jarntu_ju_wita_ju_","adult","ergative","subInitial","animate","overt","animate","texta"
"306","Sub1041","kuuku_rlu_ka_ma_ni_jarntu_wita_","adult","ergative","subInitial","animate","overt","animate","texta"
"307","Sub1041","ngula_j_botulu_rdilyki_pantu_rnu_taya_ju_","adult","other","subInitial","inanimate","overt","inanimate","textc"
"308","Sub1041","ngula_janga_karnta_inya_wurnpa_ngu_luwa_rnu_","adult","ergative","subNotInitial","inanimate","overt","animate","textc"
"309","Sub1041","ngula_ngku_wirnyapu_ngu_lu_kuuku_ju_","adult","ergative","subInitial","animate","overt","animate","texta"
"310","Sub1041","puta_nganayi_karnta_ngku_an_kurdu_wita_ka_pala_puta_nganayi_ma_ni_","adult","ergative","subInitial","animate","notOvert","inanimate","textb"
"311","Sub1041","rurrunypu_ngu_lpa_taya_wirriya_pardu_","adult","other","subNotInitial","animate","overt","inanimate","textc"
"312","Sub1041","wajilipu_ngka_rla_jirrama_kari_rli_ji_wita_ngku_and_ngula_ng_kuuku_","adult","ergative","subNotInitial","animate","overt","animate","texta"
"313","Sub1041","warna_ngku_paju_rnu_","adult","ergative","subInitial","animate","notOvert","inanimate","textc"
"314","Sub1041","warnapari_rli_jampu_rnu_lpa_","adult","ergative","subInitial","animate","notOvert","inanimate","textc"
"315","Sub1041","wirriya_pardu_lpa_rurrunypu_ngu_","adult","other","subInitial","animate","notOvert","inanimate","textc"
"316","Sub1042","an_warna_ng_paju_rnu_","adult","ergative","subInitial","animate","notOvert","inanimate","textc"
"317","Sub1042","jarntu_ng_ka_yarlki_rni_yalyu_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"318","Sub1042","karnta_ngku_kurdu_pawu_rlu_an_wati_ng_ka_lu_nya_nyi_nantuwu_nguna_nja_kurra_","adult","ergative","subInitial","animate","overt","animate","textb"
"319","Sub1042","kurdu_jarra_rlu_ka_pala_wajilipi_nyi_na_","adult","ergative","subInitial","animate","notOvert","inanimate","texta"
"320","Sub1042","kurdu_ngku_ka_ma_ni_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"321","Sub1042","kuuku_ka_ma_ni_jarntu_","adult","other","subInitial","animate","overt","animate","texta"
"322","Sub1042","kuuku_rlu_ka_ka_nyi_rra_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"323","Sub1042","kuuku_rlu_ka_ka_nyi_rra_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"324","Sub1042","kuuku_rlu_ka_ka_nyi_rra_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"325","Sub1042","nantuwu_ju_paju_rnu_nganayi_rli_fence_ngi_","adult","ergative","subNotInitial","inanimate","overt","animate","textb"
"326","Sub1042","ngula_janga_jarntu_ngu_ka_yarlki_rni_","adult","ergative","subInitial","animate","notOvert","inanimate","textc"
"327","Sub1042","ngula_janga_wati_ngki_jinta_ngku_fixi_ma_nu_","adult","ergative","subInitial","animate","notOvert","inanimate","textc"
"328","Sub1042","ngula_ju_rdilyki_manu_potulu_rlu_","adult","ergative","subNotInitial","inanimate","notOvert","inanimate","textc"
"329","Sub1042","nya_nyi_ka_lu_jana_nganayi_marnkurrpa_rlu_","adult","ergative","subNotInitial","animate","overt","inanimate","textb"
"330","Sub1042","nya_nyi_ka_pala_karnta_ngku_","adult","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"331","Sub1042","swing_nganta_swingi_rla_ma_nta_jirrama_kurdu_ngu_","adult","ergative","subNotInitial","animate","notOvert","inanimate","texta"
"332","Sub1042","warna_ngku_ju_paju_rnu_","adult","ergative","subInitial","animate","notOvert","inanimate","textc"
"333","Sub1042","wati_ngki_kurdu_ngku_karnta_ngku_ka_lu_ma_ni_watiya_","adult","ergative","subInitial","animate","notOvert","inanimate","textb"
"334","Sub1042","wati_ngki_luwa_rnu_puluku_bangbang_kirli_","adult","ergative","subInitial","animate","overt","animate","textb"
"335","Sub1042","wirnpa_ngu_luwa_rnu_an_nganayi_jarntu_yuwayi_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"336","Sub1048","karnta_ngu_ka_pakarni_kanta_kankarlu_watiyanga_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"337","Sub1048","kuuku_ng_ka_kanyi_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"338","Sub1048","kuuku_ng_ka_mani_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"339","Sub1048","ngati_nyanu_ng_ka_mani_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"340","Sub1048","potulu_ng_pantu_rnu_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"341","Sub1048","potulu_ng_pantu_rnu_tyre_","adult","ergative","subInitial","inanimate","overt","inanimate","textc"
"342","Sub1048","warna_ng_ka_pajirni_kurdu_","adult","ergative","subInitial","animate","overt","animate","textc"
"343","Sub1048","warna_ngu_yalkurnu_","adult","ergative","subInitial","animate","notOvert","animate","textc"
"344","Sub1048","wati_ngi_ka_luwarni_puluku_manu_orse_","adult","ergative","subInitial","animate","overt","animate","textb"
"345","Sub1048","waya_ngu_pajurnu_uuju_yalyu_kurra_","adult","ergative","subInitial","inanimate","overt","animate","textb"
"346","Sub1048","wirriya_luwarnu_yalyu_kurra_lightning_ing_","adult","ergative","subNotInitial","inanimate","overt","animate","textc"
"347","Sub1048","yalyu_kurra_katurnu_jarntu_ku_leda_","adult","other","subNotInitial","inanimate","overt","animate","textc"
