"","PlateID","Test.Substance","Teratogenicity.in.vivo","Sample","Rep..","Label","Conc..ug.ml.","Detector","Avg.delta.Ct","delta.Ct.SD","delta.delta.Ct","RQ","X..RQ","X100..Custom..","X100...Custom..","Custom..","Custom...1","RQ.Min","RQ.Max","Threshold"
"367","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 1",-2.41,0.11,-0.18,1.13,113.26,22.35,18.66,0.22,0.19,0.95,1.36,0.51
"368","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 1",-2.48,0.07,-0.24,1.18,118.38,14.92,13.25,0.15,0.13,1.05,1.33,0.51
"369","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 2",-1.66,0.09,0,1,100,16.88,14.44,0.17,0.14,0.86,1.17,0.66
"370","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 2",-5.34,0.08,-3.68,12.85,1284.83,175.61,154.49,1.76,1.54,11.3,14.6,0.66
"371","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 2",-5.03,0.06,-3.37,10.36,1035.78,116.9,105.05,1.17,1.05,9.31,11.53,0.66
"372","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 2",-5.54,0.08,-3.88,14.76,1476.22,216.11,188.52,2.16,1.89,12.88,16.92,0.66
"373","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 2",-5.43,0.08,-3.77,13.68,1367.54,194.63,170.38,1.95,1.7,11.97,15.62,0.66
"374","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 2",-5.5,0.06,-3.84,14.29,1429.38,141.78,128.98,1.42,1.29,13,15.71,0.66
"375","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 2",-4.81,0.1,-3.15,8.89,889.26,155.84,132.6,1.56,1.33,7.57,10.45,0.66
"376","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 2",-5.69,0.06,-4.03,16.29,1628.9,185.11,166.22,1.85,1.66,14.63,18.14,0.66
"377","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 3",-2.41,0.05,0,1,100,9.36,8.56,0.09,0.09,0.91,1.09,0.78
"378","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 3",-1.02,0.05,1.39,0.38,38.1,3.7,3.37,0.04,0.03,0.35,0.42,0.78
"379","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 3",-1.55,0.08,0.85,0.55,55.3,7.98,6.98,0.08,0.07,0.48,0.63,0.78
"380","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 3",-1.43,0.08,0.98,0.51,50.69,7.1,6.23,0.07,0.06,0.44,0.58,0.78
"381","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 3",-1.07,0.08,1.34,0.4,39.61,5.82,5.08,0.06,0.05,0.35,0.45,0.78
"382","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 3",-1.4,0.04,1.01,0.5,49.56,3.74,3.48,0.04,0.03,0.46,0.53,0.78
"383","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 3",-1.62,0.09,0.79,0.58,57.65,9.75,8.34,0.1,0.08,0.49,0.67,0.78
"384","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 3",-0.88,0.07,1.53,0.35,34.58,4.21,3.75,0.04,0.04,0.31,0.39,0.78
"385","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 4",-4.85,0.08,0,1,100,14.39,12.58,0.14,0.13,0.87,1.14,0.53
"386","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 4",-4.13,0.07,0.73,0.6,60.47,7.27,6.49,0.07,0.06,0.54,0.68,0.53
"387","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 4",-4.31,0.07,0.55,0.68,68.45,8.23,7.35,0.08,0.07,0.61,0.77,0.53
"388","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 4",-4.23,0.07,0.63,0.65,64.72,8.04,7.15,0.08,0.07,0.58,0.73,0.53
"389","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 4",-4.14,0.08,0.72,0.61,60.91,8.44,7.41,0.08,0.07,0.53,0.69,0.53
"390","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 4",-4.36,0.05,0.5,0.71,70.88,5.95,5.49,0.06,0.05,0.65,0.77,0.53
"391","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 4",-4.37,0.1,0.48,0.71,71.47,12.51,10.64,0.13,0.11,0.61,0.84,0.53
"392","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 4",-4.29,0.06,0.56,0.68,67.72,7.56,6.8,0.08,0.07,0.61,0.75,0.53
"393","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 5",4.06,0.16,0,1,100,30.78,23.53,0.31,0.24,0.76,1.31,0.6
"394","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 5",0.49,0.09,-3.56,11.8,1180.45,190.44,163.98,1.9,1.64,10.16,13.71,0.6
"395","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 5",0.02,0.08,-4.04,16.45,1645.25,225.69,198.46,2.26,1.98,14.47,18.71,0.6
"396","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 5",0.07,0.07,-3.99,15.87,1587.03,203.52,180.39,2.04,1.8,14.07,17.91,0.6
"397","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 5",0.05,0.08,-4.01,16.11,1611.32,235.64,205.58,2.36,2.06,14.06,18.47,0.6
"398","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 5",0.11,0.04,-3.95,15.45,1545.27,120.46,111.75,1.2,1.12,14.34,16.66,0.6
"399","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 5",-0.95,0.1,-5,32.02,3202.04,591.89,499.55,5.92,5,27.02,37.94,0.6
"400","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 5",1.27,0.06,-2.78,6.89,688.65,75.35,67.92,0.75,0.68,6.21,7.64,0.6
"401","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 8",-1.81,0.05,0,1,100,8.93,8.19,0.09,0.08,0.92,1.09,0.77
"402","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 8",-2.88,0.09,-1.07,2.1,209.98,33.54,28.92,0.34,0.29,1.81,2.44,0.77
"403","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 8",-2.48,0.06,-0.67,1.59,159.22,18.29,16.4,0.18,0.16,1.43,1.78,0.77
"404","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 8",-1.5,0.08,0.32,0.8,80.22,11.11,9.76,0.11,0.1,0.7,0.91,0.77
"405","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 8",-2.39,0.08,-0.58,1.49,149.33,21.04,18.44,0.21,0.18,1.31,1.7,0.77
"406","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 8",-1.92,0.06,-0.11,1.08,107.87,12.54,11.24,0.13,0.11,0.97,1.2,0.77
"407","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 8",-1.56,0.09,0.26,0.84,83.62,14.44,12.32,0.14,0.12,0.71,0.98,0.77
"408","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 8",-1.61,0.06,0.2,0.87,87.01,9.69,8.72,0.1,0.09,0.78,0.97,0.77
"409","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 10",4.62,0.06,0,1,100,10.34,9.37,0.1,0.09,0.91,1.1,0.64
"410","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 10",5.19,0.08,0.57,0.67,67.46,9.58,8.39,0.1,0.08,0.59,0.77,0.64
"411","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 10",5.37,0.14,0.75,0.59,59.39,16.28,12.78,0.16,0.13,0.47,0.76,0.64
"412","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 10",5.24,0.08,0.62,0.65,65.11,9.38,8.2,0.09,0.08,0.57,0.74,0.64
"413","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 10",5.68,0.17,1.06,0.48,48.11,15.69,11.83,0.16,0.12,0.36,0.64,0.64
"414","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 10",5.76,0.45,1.14,0.45,45.26,51.06,23.99,0.51,0.24,0.21,0.96,0.64
"415","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 10",5.36,0.31,0.74,0.6,59.83,42.22,24.75,0.42,0.25,0.35,1.02,0.64
"416","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 10",5.69,0.1,1.07,0.48,47.64,8.89,7.49,0.09,0.07,0.4,0.57,0.64
"417","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 12",5.18,0.83,0,1,100,306.17,75.38,3.06,0.75,0.25,4.06,0.51
"418","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 12",2.03,0.07,-3.15,8.85,885.36,103.28,92.49,1.03,0.92,7.93,9.89,0.51
"419","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 12",2.89,0.15,-2.29,4.89,489.29,146.31,112.63,1.46,1.13,3.77,6.36,0.51
"420","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 12",2.91,0.13,-2.27,4.83,482.85,119.6,95.86,1.2,0.96,3.87,6.02,0.51
"421","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 12",2.61,0.1,-2.57,5.93,592.89,110.38,93.06,1.1,0.93,5,7.03,0.51
"422","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 12",2.36,0.05,-2.82,7.05,705.32,66.32,60.62,0.66,0.61,6.45,7.72,0.51
"423","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 12",2.77,0.1,-2.4,5.29,528.69,97,81.96,0.97,0.82,4.47,6.26,0.51
"424","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 12",2.37,0.08,-2.81,7.01,701.48,97.88,85.9,0.98,0.86,6.16,7.99,0.51
"425","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 13",-4.69,0.07,0,1,100,13.05,11.54,0.13,0.12,0.88,1.13,0.58
"426","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 13",-4.05,0.06,0.63,0.65,64.5,6.67,6.05,0.07,0.06,0.58,0.71,0.58
"427","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 13",-4.12,0.07,0.57,0.67,67.43,7.92,7.08,0.08,0.07,0.6,0.75,0.58
"428","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 13",-4.07,0.09,0.61,0.65,65.42,10.4,8.97,0.1,0.09,0.56,0.76,0.58
"429","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 13",-3.87,0.07,0.82,0.57,56.76,7.39,6.54,0.07,0.07,0.5,0.64,0.58
"430","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 13",-3.96,0.05,0.73,0.6,60.39,5.67,5.18,0.06,0.05,0.55,0.66,0.58
"431","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 13",-4.44,0.1,0.25,0.84,84.16,15.3,12.94,0.15,0.13,0.71,0.99,0.58
"432","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 13",-3.9,0.07,0.78,0.58,58.05,7.07,6.31,0.07,0.06,0.52,0.65,0.58
"433","A0046001","Compound H","Non","Sample 16","Rep 20","Ctrl",0,"ProbeType 15",-1.54,0.08,0,1,100,14.51,12.67,0.15,0.13,0.87,1.15,0.43
"434","A0046001","Compound H","Non","Sample 33","Rep 20","P9",183,"ProbeType 15",-0.32,0.06,1.23,0.43,42.75,4.41,4,0.04,0.04,0.39,0.47,0.43
"435","A0046001","Compound H","Non","Sample 51","Rep 20","P8",370,"ProbeType 15",-0.81,0.06,0.73,0.6,60.32,6.93,6.21,0.07,0.06,0.54,0.67,0.43
"436","A0046001","Compound H","Non","Sample 70","Rep 20","P7",396,"ProbeType 15",-0.81,0.07,0.73,0.6,60.15,7.87,6.96,0.08,0.07,0.53,0.68,0.43
"437","A0046001","Compound H","Non","Sample 89","Rep 20","P6",583,"ProbeType 15",-0.3,0.07,1.25,0.42,42.14,5.55,4.9,0.06,0.05,0.37,0.48,0.43
"438","A0046001","Compound H","Non","Sample 108","Rep 20","P5",856,"ProbeType 15",-0.47,0.04,1.08,0.47,47.36,3.61,3.36,0.04,0.03,0.44,0.51,0.43
"439","A0046001","Compound H","Non","Sample 126","Rep 20","P4",1259,"ProbeType 15",-0.71,0.1,0.84,0.56,56,10.21,8.64,0.1,0.09,0.47,0.66,0.43
"440","A0046001","Compound H","Non","Sample 143","Rep 20","P3",1851,"ProbeType 15",-0.17,0.08,1.38,0.38,38.49,5.35,4.7,0.05,0.05,0.34,0.44,0.43
"441","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"442","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"443","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"444","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"445","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"446","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"447","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"448","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"449","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 1",-3.47,0.06,0,1,100,10.58,9.56,0.11,0.1,0.9,1.11,0.5
"450","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 1",-2.22,0.1,1.25,0.42,42.01,7.47,6.34,0.07,0.06,0.36,0.49,0.5
"451","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 1",-3.38,0.07,0.09,0.94,93.65,11.53,10.27,0.12,0.1,0.83,1.05,0.5
"452","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 1",-3.02,0.1,0.46,0.73,72.91,13.16,11.15,0.13,0.11,0.62,0.86,0.5
"453","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 1",-2.57,0.09,0.9,0.54,53.51,8.52,7.35,0.09,0.07,0.46,0.62,0.5
"454","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 1",-2.25,0.19,1.23,0.43,42.71,15.76,11.51,0.16,0.12,0.31,0.58,0.5
"455","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 1",3.04,0.11,6.51,0.01,1.09,0.23,0.19,0,0,0.01,0.01,0.5
"456","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 1",-2.18,0.14,1.3,0.41,40.73,10.56,8.38,0.11,0.08,0.32,0.51,0.5
"457","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 2",-2.56,0.06,0,1,100,10.41,9.43,0.1,0.09,0.91,1.1,0.43
"458","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 2",-1.77,0.09,0.79,0.58,57.68,9.89,8.44,0.1,0.08,0.49,0.68,0.43
"459","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 2",-1.85,0.08,0.71,0.61,61,8.67,7.59,0.09,0.08,0.53,0.7,0.43
"460","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 2",-0.6,0.14,1.96,0.26,25.68,7.11,5.57,0.07,0.06,0.2,0.33,0.43
"461","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 2",0.05,0.11,2.61,0.16,16.35,3.45,2.85,0.03,0.03,0.14,0.2,0.43
"462","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 2",0.75,0.21,3.31,0.1,10.08,4.41,3.07,0.04,0.03,0.07,0.14,0.43
"463","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 2",5.03,0.6,7.59,0.01,0.52,0.91,0.33,0.01,0,0,0.01,0.43
"464","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 2",-2.03,0.13,0.53,0.69,69.45,16.74,13.49,0.17,0.13,0.56,0.86,0.43
"465","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 3",-0.43,0.08,0,1,100,14.09,12.35,0.14,0.12,0.88,1.14,0.79
"466","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 3",0.15,0.1,0.57,0.67,67.29,12.28,10.39,0.12,0.1,0.57,0.8,0.79
"467","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 3",-0.12,0.08,0.3,0.81,81.1,11.71,10.24,0.12,0.1,0.71,0.93,0.79
"468","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 3",-0.08,0.1,0.34,0.79,78.83,14.22,12.04,0.14,0.12,0.67,0.93,0.79
"469","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 3",0.53,0.1,0.95,0.52,51.71,9.09,7.73,0.09,0.08,0.44,0.61,0.79
"470","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 3",0.16,0.22,0.59,0.66,66.49,29.44,20.41,0.29,0.2,0.46,0.96,0.79
"471","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 3",2.49,0.1,2.92,0.13,13.24,2.57,2.15,0.03,0.02,0.11,0.16,0.79
"472","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 3",-0.04,0.11,0.38,0.77,76.78,16.43,13.53,0.16,0.14,0.63,0.93,0.79
"473","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 4",-4.36,0.07,0,1,100,11.92,10.65,0.12,0.11,0.89,1.12,0.51
"474","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 4",-3.65,0.08,0.71,0.61,61.03,9.1,7.92,0.09,0.08,0.53,0.7,0.51
"475","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 4",-4.13,0.07,0.23,0.85,85.36,10.25,9.15,0.1,0.09,0.76,0.96,0.51
"476","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 4",-4.15,0.1,0.21,0.86,86.42,15.35,13.03,0.15,0.13,0.73,1.02,0.51
"477","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 4",-3.86,0.08,0.5,0.71,70.56,9.91,8.69,0.1,0.09,0.62,0.8,0.51
"478","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 4",-3.92,0.17,0.44,0.74,73.71,24.86,18.59,0.25,0.19,0.55,0.99,0.51
"479","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 4",-0.91,0.07,3.44,0.09,9.18,1.2,1.06,0.01,0.01,0.08,0.1,0.51
"480","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 4",-3.66,0.11,0.7,0.61,61.41,12.89,10.65,0.13,0.11,0.51,0.74,0.51
"481","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 5",-2.63,0.07,0,1,100,13.01,11.51,0.13,0.12,0.88,1.13,0.58
"482","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 5",-0.46,0.11,2.17,0.22,22.29,4.39,3.67,0.04,0.04,0.19,0.27,0.58
"483","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 5",-1.61,0.06,1.02,0.49,49.37,5.58,5.01,0.06,0.05,0.44,0.55,0.58
"484","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 5",-3.66,0.1,-1.03,2.05,204.73,38.94,32.71,0.39,0.33,1.72,2.44,0.58
"485","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 5",-3.52,0.07,-0.89,1.86,185.65,24.52,21.66,0.25,0.22,1.64,2.1,0.58
"486","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 5",-2.89,0.17,-0.26,1.19,119.44,40.11,30.03,0.4,0.3,0.89,1.6,0.58
"487","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 5",0.11,0.09,2.74,0.15,14.93,2.4,2.07,0.02,0.02,0.13,0.17,0.58
"488","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 5",-0.56,0.11,2.07,0.24,23.77,4.68,3.91,0.05,0.04,0.2,0.28,0.58
"489","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 8",-1.9,0.07,0,1,100,12.8,11.35,0.13,0.11,0.89,1.13,0.81
"490","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 8",-0.35,0.12,1.55,0.34,34.19,7.52,6.17,0.08,0.06,0.28,0.42,0.81
"491","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 8",-1.31,0.09,0.59,0.66,66.27,11.14,9.54,0.11,0.1,0.57,0.77,0.81
"492","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 8",-1.2,0.11,0.7,0.61,61.43,12.71,10.53,0.13,0.11,0.51,0.74,0.81
"493","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 8",-0.1,0.13,1.8,0.29,28.73,7.06,5.66,0.07,0.06,0.23,0.36,0.81
"494","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 8",-0.1,0.24,1.8,0.29,28.71,14.4,9.59,0.14,0.1,0.19,0.43,0.81
"495","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 8",10.43,0.03,12.33,0,0.02,0,0,0,0,0,0,0.81
"496","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 8",-0.3,0.14,1.6,0.33,32.99,8.9,7.01,0.09,0.07,0.26,0.42,0.81
"497","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 10",5.81,0.13,0,1,100,29.66,22.87,0.3,0.23,0.77,1.3,0.4
"498","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 10",6.65,0.21,0.83,0.56,56.16,27.86,18.62,0.28,0.19,0.38,0.84,0.4
"499","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 10",10.91,0.06,5.1,0.03,2.91,0.31,0.28,0,0,0.03,0.03,0.4
"500","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 10",5.78,0.9,-0.03,1.02,102.14,472.19,83.98,4.72,0.84,0.18,5.74,0.4
"501","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 10",10.27,0.07,4.45,0.05,4.57,0.57,0.51,0.01,0.01,0.04,0.05,0.4
"502","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 10",7.58,0.16,1.77,0.29,29.39,8.93,6.85,0.09,0.07,0.23,0.38,0.4
"503","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 10",5.87,0.35,0.06,0.96,95.88,83.9,44.75,0.84,0.45,0.51,1.8,0.4
"504","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 10",9.52,0.1,3.71,0.08,7.66,1.49,1.25,0.01,0.01,0.06,0.09,0.4
"505","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 12",1.88,0.11,0,1,100,20.56,17.06,0.21,0.17,0.83,1.21,0.54
"506","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 12",1.5,0.11,-0.38,1.3,130.19,26.98,22.35,0.27,0.22,1.08,1.57,0.54
"507","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 12",1.42,0.14,-0.46,1.38,138,36.7,28.99,0.37,0.29,1.09,1.75,0.54
"508","A0046015","Compound B","Weak / Moderate","Sample 75","Rep 3","P6",147,"ProbeType 12",1.48,0.16,-0.4,1.32,132.31,40.99,31.29,0.41,0.31,1.01,1.73,0.54
"509","A0046015","Compound B","Weak / Moderate","Sample 94","Rep 3","P5",215,"ProbeType 12",1.06,0.12,-0.82,1.76,176.41,40.29,32.8,0.4,0.33,1.44,2.17,0.54
"510","A0046015","Compound B","Weak / Moderate","Sample 113","Rep 3","P4",316,"ProbeType 12",0.04,0.26,-1.85,3.6,359.54,201.4,129.09,2.01,1.29,2.3,5.61,0.54
"511","A0046015","Compound B","Weak / Moderate","Sample 131","Rep 3","P3",466,"ProbeType 12",0.29,0.04,-1.6,3.02,302.15,23.92,22.16,0.24,0.22,2.8,3.26,0.54
"512","A0046015","Compound B","Weak / Moderate","Sample 145","Rep 3","P2",681,"ProbeType 12",1.92,0.29,0.03,0.98,97.61,61.29,37.65,0.61,0.38,0.6,1.59,0.54
"513","A0046015","Compound B","Weak / Moderate","Sample 22","Rep 3","P9",46,"ProbeType 13",-4.98,0.1,0,1,100,18.59,15.68,0.19,0.16,0.84,1.19,0.51
"514","A0046015","Compound B","Weak / Moderate","Sample 38","Rep 3","P8",68.1,"ProbeType 13",-3.59,0.08,1.39,0.38,38.17,5.66,4.93,0.06,0.05,0.33,0.44,0.51
"515","A0046015","Compound B","Weak / Moderate","Sample 56","Rep 3","P7",100,"ProbeType 13",-4.3,0.06,0.68,0.62,62.29,7.1,6.38,0.07,0.06,0.56,0.69,0.51
