"","id","weight","male","catholic","Belfast","N.Eastern","Southern","S.Eastern","Western","Grammar","funemp","gcse5eq","fmpr","livboth","Jul.93","Aug.93","Sep.93","Oct.93","Nov.93","Dec.93","Jan.94","Feb.94","Mar.94","Apr.94","May.94","Jun.94","Jul.94","Aug.94","Sep.94","Oct.94","Nov.94","Dec.94","Jan.95","Feb.95","Mar.95","Apr.95","May.95","Jun.95","Jul.95","Aug.95","Sep.95","Oct.95","Nov.95","Dec.95","Jan.96","Feb.96","Mar.96","Apr.96","May.96","Jun.96","Jul.96","Aug.96","Sep.96","Oct.96","Nov.96","Dec.96","Jan.97","Feb.97","Mar.97","Apr.97","May.97","Jun.97","Jul.97","Aug.97","Sep.97","Oct.97","Nov.97","Dec.97","Jan.98","Feb.98","Mar.98","Apr.98","May.98","Jun.98","Jul.98","Aug.98","Sep.98","Oct.98","Nov.98","Dec.98","Jan.99","Feb.99","Mar.99","Apr.99","May.99","Jun.99"
"108",108,4.1,"no","no","yes","no","no","no","no","no","no","no","no","yes","joblessness","joblessness","school","school","school","school","school","school","school","school","school","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"109",109,0.4,"no","no","no","yes","no","no","no","no","no","no","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"110",110,0.71,"yes","no","yes","no","no","no","no","no","no","no","no","yes","training","training","training","training","training","training","training","joblessness","joblessness","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"111",111,0.45,"yes","yes","no","no","yes","no","no","no","yes","no","no","no","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training"
"112",112,0.45,"no","yes","no","no","yes","no","no","no","no","yes","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
"113",113,0.28,"no","yes","no","no","yes","no","no","no","yes","no","no","no","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
"114",114,0.45,"yes","yes","no","no","yes","no","no","no","no","no","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"115",115,0.45,"yes","no","no","no","yes","no","no","no","no","no","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
"116",116,0.28,"yes","yes","no","no","yes","no","no","no","yes","no","no","no","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"117",117,0.45,"no","yes","no","no","yes","no","no","no","no","no","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"118",118,0.98,"yes","no","no","no","yes","no","no","no","no","no","yes","no","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"119",119,0.4,"yes","yes","no","yes","no","no","no","no","no","no","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"120",120,0.23,"yes","no","no","yes","no","no","no","yes","no","no","no","yes","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"121",121,0.89,"yes","no","no","yes","no","no","no","no","no","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"122",122,0.5,"no","no","no","yes","no","no","no","yes","yes","yes","no","yes","joblessness","joblessness","joblessness","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"123",123,0.64,"yes","yes","no","yes","no","no","no","yes","no","yes","yes","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"124",124,0.4,"no","no","no","yes","no","no","no","no","no","yes","yes","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"125",125,0.4,"no","yes","no","yes","no","no","no","no","no","yes","no","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"126",126,0.89,"no","no","no","yes","no","no","no","no","no","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"127",127,0.89,"yes","no","no","yes","no","no","no","no","yes","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"128",128,0.89,"no","no","no","yes","no","no","no","no","no","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"129",129,0.64,"yes","no","no","yes","no","no","no","yes","no","yes","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
"130",130,0.4,"no","no","no","yes","no","no","no","no","no","yes","yes","no","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment"
"131",131,0.89,"yes","no","no","yes","no","no","no","no","no","no","no","no","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"132",132,0.5,"no","no","no","yes","no","no","no","yes","no","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"133",133,1.78,"yes","no","no","yes","no","no","no","yes","no","yes","yes","yes","joblessness","joblessness","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
"134",134,0.23,"yes","no","no","yes","no","no","no","no","no","yes","yes","no","employment","employment","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"135",135,0.89,"yes","no","no","yes","no","no","no","no","no","no","no","yes","employment","employment","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"136",136,0.89,"no","no","no","yes","no","no","no","no","no","yes","yes","yes","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"137",137,1.78,"yes","no","no","yes","no","no","no","yes","no","yes","no","no","employment","employment","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","employment","school","school","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","joblessness","joblessness","joblessness","joblessness"
"138",138,0.89,"no","no","no","yes","no","no","no","no","no","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
"139",139,0.5,"yes","no","no","yes","no","no","no","yes","no","no","yes","yes","joblessness","joblessness","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"140",140,0.89,"yes","no","no","yes","no","no","no","no","no","yes","yes","yes","joblessness","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"141",141,0.89,"no","no","no","yes","no","no","no","no","no","yes","no","no","employment","employment","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"142",142,0.64,"yes","no","no","yes","no","no","no","yes","no","yes","yes","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","joblessness","joblessness","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"143",143,1.78,"yes","no","no","yes","no","no","no","yes","no","yes","yes","yes","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","HE","HE","HE","HE","employment","employment","employment","employment","employment","employment","employment","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
"144",144,1.78,"yes","no","no","yes","no","no","no","yes","no","yes","no","yes","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness"
"145",145,0.4,"yes","no","no","yes","no","no","no","no","no","yes","no","no","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","HE","HE","HE","HE","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"146",146,0.4,"no","no","no","yes","no","no","no","no","no","no","yes","no","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"147",147,0.71,"no","yes","yes","no","no","no","no","no","yes","no","no","no","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"148",148,0.71,"no","yes","yes","no","no","no","no","no","no","yes","yes","yes","training","training","training","training","training","training","training","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"149",149,0.93,"no","yes","no","no","yes","no","no","no","no","no","no","yes","joblessness","joblessness","school","school","school","school","school","school","school","school","school","school","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"150",150,0.28,"yes","yes","no","no","yes","no","no","no","yes","no","no","yes","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"151",151,0.69,"yes","yes","no","no","yes","no","no","yes","no","no","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"152",152,0.45,"no","yes","no","no","yes","no","no","no","no","no","no","no","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"153",153,0.28,"no","yes","no","no","yes","no","no","yes","no","no","no","yes","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
"154",154,0.69,"no","yes","no","no","yes","no","no","yes","no","yes","no","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"155",155,0.23,"yes","no","no","yes","no","no","no","no","no","no","no","no","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"156",156,0.89,"yes","no","no","yes","no","no","no","no","no","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"157",157,0.64,"no","no","no","yes","no","no","no","yes","no","no","no","no","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"158",158,0.4,"no","no","no","yes","no","no","no","no","no","yes","no","no","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"159",159,0.4,"yes","no","no","yes","no","no","no","no","no","no","no","no","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
"160",160,0.89,"no","no","no","yes","no","no","no","no","no","no","no","yes","training","training","training","training","employment","employment","employment","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
