"","idhous","sex","birthyr","nat_1_02","plingu02","p02r01","p02r04","cspfaj","cspmoj","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","wp00tbgp","wp00tbgs"
"443",25621,"man",1945,"Switzerland","german","no denomination or religion","only for family ceremonies","other self-employed","qualified non-manual professions",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,832.077453613281,0.738455593585968
"2312",132191,"woman",1926,"Switzerland","german","other","once a week","intermediate professions",NA,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,1489.1728515625,1.32161736488342
"2227",NA,"man",1944,NA,NA,NA,NA,"qualified manual professions",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1028.05346679688,0.912381172180176
"1",2761,"woman",1922,"Switzerland","german","Roman Catholic","several times a week","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1888.52026367188,1.67603194713593
"2052",116381,"woman",1941,"Germany","french","Protestant or Reformed Church","only for family ceremonies",NA,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4264.533203125,3.78470587730408
"1763",101031,"woman",1950,"Switzerland","german","Protestant or Reformed Church","every two weeks","other self-employed",NA,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,682.553100585938,0.605755090713501
"2331",133401,"woman",1953,"Switzerland","german","Protestant or Reformed Church","religious celebrations and family events","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,6,670.014892578125,0.594627618789673
"588",33191,"woman",1932,"Itally","german","Roman Catholic","once a week","other self-employed",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1325.82287597656,1.17664682865143
"484",27671,"woman",1948,"Slovenia","german","Roman Catholic","a few times a year","top management",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.72924804688,1.81998980045319
"41",NA,"woman",1946,NA,NA,NA,NA,"other self-employed","qualified manual professions",0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,0,0
"969",55081,"man",1949,"Portugual","french","Roman Catholic","religious celebrations and family events","academic professions and senior management",NA,0,1,1,1,1,1,1,1,1,1,1,3,6,6,6,6,1546.72985839844,1.37269830703735
"236",15211,"man",1956,"Switzerland","german","Protestant or Reformed Church","religious celebrations and family events","academic professions and senior management",NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,592.756225585938,0.526061773300171
"937",53651,"man",1943,"Switzerland","french","no denomination or religion","religious celebrations and family events","academic professions and senior management",NA,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,1000.25317382812,0.887708902359009
"431",NA,"man",1937,NA,NA,NA,NA,"other self-employed",NA,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,894.205139160156,0.793592929840088
"1316",74801,"woman",1944,"Switzerland","german","Roman Catholic","only for family ceremonies","qualified manual professions","academic professions and senior management",0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,1210.42980957031,1.07423734664917
"2497",143701,"man",1923,"Switzerland","german",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1271.669921875,1.12858688831329
"373",22331,"man",1931,"Switzerland","german","Christian Catholic","every two weeks","intermediate professions",NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,854.1904296875,0.758080542087555
"1341",76451,"woman",1931,"Switzerland","german","Roman Catholic","about once a month","other self-employed",NA,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2205.998046875,1.95778846740723
"2142",122211,"man",1933,"Switzerland","french","no denomination or religion","never","unqualified non-manual and manual workers",NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1065.24938964844,0.94539201259613
"1706",98651,"woman",1938,"Switzerland","german","Protestant or Reformed Church","a few times a year","unqualified non-manual and manual workers",NA,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,1257.54956054688,1.11605536937714
"1155",66151,"man",1943,"Switzerland",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1866.78771972656,1.65674459934235
"1933",109291,"man",1936,"Switzerland","german","no denomination or religion","only for family ceremonies","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1016.04565429688,0.901724457740784
"199",13561,"woman",1930,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,6,1111.35717773438,0.986311912536621
"57",6021,"woman",1942,"Switzerland","french","Protestant or Reformed Church","only for family ceremonies","intermediate professions","intermediate professions",0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,7,1201.59716796875,1.06639850139618
"771",43981,"woman",1928,"Switzerland","german","Protestant or Reformed Church","a few times a year","qualified manual professions",NA,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,1137.88110351562,1.00985157489777
"694",39411,"woman",1947,"Switzerland","german","Roman Catholic","religious celebrations and family events","other self-employed","other self-employed",0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,6,1205.91027832031,1.07022631168365
"176",12352,"man",1955,"Switzerland","french","Protestant or Reformed Church","religious celebrations and family events","other self-employed",NA,0,0,0,0,1,1,1,1,1,1,1,3,6,6,6,6,735.561157226562,0.652798891067505
"575",32401,"woman",1919,"Switzerland","german","Protestant or Reformed Church","about once a month","unqualified non-manual and manual workers",NA,0,0,0,0,0,1,1,1,1,1,1,1,3,6,6,6,1248.59362792969,1.10810708999634
"691",38801,"woman",1953,"Switzerland","german","Protestant or Reformed Church","a few times a year","qualified manual professions",NA,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,936.315795898438,0.830965459346771
"1462",83041,"woman",1954,"Switzerland","german","no denomination or religion","only for family ceremonies","academic professions and senior management",NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,695.243347167969,0.617017507553101
"109",8751,"woman",1943,"Switzerland","french","Protestant or Reformed Church","only for family ceremonies",NA,"unqualified non-manual and manual workers",0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,6,1072.21997070312,0.951578259468079
"1898",NA,"woman",1931,NA,NA,NA,NA,"other self-employed",NA,0,0,0,0,0,0,3,3,6,6,6,6,6,6,6,6,1933.35314941406,1.71582043170929
"2263",129131,"man",1936,"Itally",NA,NA,NA,"academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5516.95166015625,4.89620733261108
"968",55051,"woman",1947,"Switzerland","french","Roman Catholic","about once a month",NA,"unqualified non-manual and manual workers",0,0,0,0,0,3,3,3,3,3,3,3,3,3,7,7,1528.10095214844,1.35616540908813
"1353",77251,"woman",1957,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,655.271667480469,0.581543207168579
"502",28261,"man",1939,"Itally",NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5244.0966796875,4.654052734375
"154",11392,"man",1943,"Switzerland","french","no denomination or religion","never","academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2128.79565429688,1.88927245140076
"1734",99561,"woman",1955,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","qualified manual professions",NA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1112.33605957031,0.987180650234222
"1363",NA,"man",1952,NA,NA,NA,NA,"other self-employed",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1076.55895996094,0.955429077148438
"477",26901,"woman",1946,"Switzerland","french","no denomination or religion","never","academic professions and senior management",NA,0,0,0,0,0,0,3,3,3,7,7,7,7,7,7,7,823.374755859375,0.730732083320618
"1413",81071,"man",1942,"Switzerland","german","no denomination or religion","about once a month","qualified manual professions",NA,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6,6,1393.97412109375,1.23712992668152
"291",18001,"man",1926,"Switzerland","german","Protestant or Reformed Church","never","intermediate professions",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.576782226562,0.880896210670471
"128",9731,"man",1935,"Switzerland","french","Jewish","never",NA,"unqualified non-manual and manual workers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1173.83129882812,1.04175674915314
"1118",63061,"woman",1946,"Switzerland","german","Protestant or Reformed Church","a few times a year",NA,"other self-employed",0,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,776.97705078125,0.689554870128632
"1890",107111,"woman",1925,"Switzerland","german","Protestant or Reformed Church","a few times a year","liberal professions",NA,0,0,0,0,0,0,0,3,3,3,6,6,6,6,6,6,1541.19580078125,1.36778688430786
"2304",131631,"man",1953,"Switzerland","german",NA,NA,"academic professions and senior management",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,756.465881347656,0.671351492404938
"2155",122941,"man",1916,"Switzerland","french","Roman Catholic","never",NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1904.46459960938,1.69018220901489
"1477",NA,"man",1953,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,3,6,6,6,6,6,0,0
"2216",125291,"woman",1940,"Switzerland","french","no denomination or religion","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,1,1,1,1,3,6,6,6,6,6,1946.90283203125,1.72784543037415
"1307",74391,"woman",1953,"Switzerland",NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,6,6,6,6,6,6,6,1609.45739746094,1.42836797237396
"1519",86501,"man",1936,"Switzerland","german","Roman Catholic","once a week","other self-employed","other self-employed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239.73364257812,1.10024392604828
"1951",109871,"man",1940,"Switzerland","german","Protestant or Reformed Church","every two weeks","academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1119.69750976562,0.993713855743408
"1164",66641,"man",1930,"Switzerland","german","Roman Catholic","every two weeks","qualified non-manual professions",NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,6,918.037475585938,0.814743757247925
"2020",114001,"man",1953,"Switzerland","german","Roman Catholic","religious celebrations and family events","other self-employed",NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6,1030.57983398438,0.914623320102692
"1020",NA,"woman",1933,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1997.6279296875,1.77286314964294
"464",26471,"man",1924,"Switzerland","german","no denomination or religion","only for family ceremonies","intermediate professions",NA,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1003.88037109375,0.890927970409393
"1679",96571,"man",1930,"Switzerland","italian","Roman Catholic","only for family ceremonies","unqualified non-manual and manual workers",NA,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1016.26586914062,0.901919901371002
"1606",91931,"woman",1955,"Switzerland",NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,6,1629.64697265625,1.44628596305847
"1448",82731,"woman",1951,"Switzerland","german","Muslim","never","qualified manual professions",NA,0,0,0,0,3,3,6,6,6,6,6,6,6,6,6,6,0,0
"1698",98382,"woman",1957,"Croatia",NA,NA,NA,NA,NA,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,3524.70825195312,3.12812280654907
"80",7131,"woman",1945,"Switzerland","french","Protestant or Reformed Church","only for family ceremonies",NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,3,6,6,6,1184.71740722656,1.05141794681549
"2267",129251,"man",1932,"Switzerland","german","Protestant or Reformed Church","once a week","qualified non-manual professions",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1060.59753417969,0.941263556480408
"1725",99201,"woman",1944,"Switzerland","german","Protestant or Reformed Church","once a week","intermediate professions",NA,0,0,0,0,0,0,0,0,0,3,3,3,6,6,6,6,1061.93579101562,0.942451238632202
"2292",130941,"woman",1952,"Switzerland","german","Roman Catholic","only for family ceremonies","other self-employed","other self-employed",0,0,0,0,0,0,0,0,3,3,3,3,6,6,6,6,705.609680175781,0.626217424869537
"1735",99571,"man",1938,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,894.423950195312,0.793787121772766
"377",22581,"man",1928,"Switzerland","german",NA,NA,"academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,850.717834472656,0.754998624324799
"1604",91911,"man",1938,"Switzerland","german","Roman Catholic","only for family ceremonies","other self-employed","other self-employed",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1062.22705078125,0.942709743976593
"1414",81201,"woman",1957,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","other self-employed",NA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1351.21435546875,1.19918131828308
"982",55921,"woman",1940,"Switzerland","french","Protestant or Reformed Church","a few times a year","other self-employed",NA,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,955.295593261719,0.847809731960297
"383",22751,"man",1923,"Switzerland","german","Protestant or Reformed Church","once a week","intermediate professions",NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,856.527038574219,0.760154187679291
"1418",81471,"woman",1938,"Switzerland","german","Protestant or Reformed Church","a few times a year","qualified manual professions","qualified non-manual professions",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1158.78527832031,1.02840352058411
"2461",141691,"woman",1943,"Switzerland","german","Protestant or Reformed Church","once a week","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,3,3,6,6,6,6,6,6,1015.21282958984,0.900985300540924
"2307",131911,"man",1930,"Switzerland","german","Protestant or Reformed Church","once a week","intermediate professions",NA,0,0,0,0,0,1,1,1,1,1,6,6,6,6,6,6,919.331604003906,0.815892279148102
"2080",117491,"woman",1935,"France and territories","french","other Christian denomination","once a week","intermediate professions",NA,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,2295.85375976562,2.0375337600708
"1715",NA,"woman",1938,NA,NA,NA,NA,"intermediate professions","other self-employed",0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,1188.79223632812,1.0550342798233
"2373",136411,"woman",1947,"Switzerland","german","Roman Catholic","once a week","qualified manual professions",NA,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,790.890258789062,0.701902627944946
"1853",105431,"man",1927,"Switzerland",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1759.78149414062,1.56177818775177
"1684",97751,"woman",1957,"Switzerland","german","Roman Catholic","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,675.150085449219,0.599185049533844
"1794",102431,"woman",1931,"Switzerland","german","Protestant or Reformed Church","once a week","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1754.26623535156,1.55688345432281
"992",56541,"woman",1938,"Switzerland","french","Roman Catholic","once a week","other self-employed",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1011.52770996094,0.897714853286743
"1250",71111,"woman",1934,"Switzerland","german",NA,NA,"other self-employed","other self-employed",0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1123.99951171875,0.997531771659851
"1637",93841,"woman",1952,"Switzerland","german","Roman Catholic","only for family ceremonies","academic professions and senior management",NA,0,0,0,0,0,0,0,3,3,3,3,3,6,6,6,6,1164.65173339844,1.03360998630524
"523",29301,"woman",1925,"Switzerland","german","Protestant or Reformed Church","once a week","liberal professions",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211.26708984375,1.07498049736023
"1222",69241,"man",1951,"Switzerland",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1936.35009765625,1.71848011016846
"1176",67291,"woman",1929,"Switzerland","german","Protestant or Reformed Church","a few times a year","unqualified non-manual and manual workers","qualified non-manual professions",0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,1111.35717773438,0.986311912536621
"1270",72271,"man",1955,"Switzerland","german","Roman Catholic","about once a month","academic professions and senior management",NA,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,661.639282226562,0.587194383144379
"111",9001,"man",1957,"Switzerland","french",NA,NA,"liberal professions",NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,1639.32421875,1.45487439632416
"1152",66141,"man",1954,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,1220.57568359375,1.0832417011261
"751",42961,"man",1939,"Switzerland","german",NA,NA,"qualified non-manual professions",NA,0,0,0,0,0,0,1,1,1,1,1,1,1,3,6,6,1059.79272460938,0.940549314022064
"1660",95501,"woman",1942,"Switzerland","italian","Roman Catholic","once a week","other self-employed",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276.60986328125,1.1329710483551
"749",42811,"woman",1954,"Switzerland","german","Roman Catholic","a few times a year","other self-employed","other self-employed",0,0,0,1,1,1,1,1,1,6,6,6,6,6,6,6,648.653198242188,0.575669467449188
"264",16781,"man",1950,"Switzerland","german","no denomination or religion","never",NA,NA,0,0,0,0,0,1,1,1,1,1,1,3,6,6,6,6,662.065368652344,0.587572515010834
"953",NA,"woman",1955,NA,NA,NA,NA,"other self-employed",NA,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,696.536743164062,0.61816531419754
"2348",134841,"woman",1931,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1099.66784667969,0.975937843322754
"1350",77071,"man",1947,"Switzerland","german","no denomination or religion","only for family ceremonies","academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,893.457580566406,0.792929470539093
"2114",119801,"woman",1951,"Switzerland","french","Roman Catholic","only for family ceremonies","top management",NA,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,609.424682617188,0.540854752063751
"1857",105551,"man",1926,"Switzerland","german","Protestant or Reformed Church","once a week","top management",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,921.400939941406,0.817728757858276
"2311",132121,"man",1957,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1005.26867675781,0.892160058021545
"3",2871,"woman",1919,"France and territories","french","no denomination or religion","religious celebrations and family events","liberal professions",NA,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,2944.70727539062,2.61338114738464
"2212",124971,"woman",1939,"Switzerland","french","no denomination or religion","religious celebrations and family events",NA,"other self-employed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075.74365234375,0.954705417156219
"1488",84891,"man",1955,"Switzerland","german","Roman Catholic","a few times a year","other self-employed",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,911.637329101562,0.809063732624054
"1981",NA,"woman",1936,NA,NA,NA,NA,"unqualified non-manual and manual workers",NA,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,1615.98010253906,1.43415689468384
"833",47071,"woman",1922,"Switzerland","german","Protestant or Reformed Church","no answer","other self-employed",NA,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1542.02368164062,1.36852169036865
"803",45581,"woman",1955,"Switzerland","italian","Protestant or Reformed Church","a few times a year","other self-employed",NA,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,673.100036621094,0.59736567735672
"2294",131091,"woman",1925,"Switzerland","german","Roman Catholic","only for family ceremonies",NA,NA,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1044.09411621094,0.926616966724396
"1191",67861,"woman",1953,"Switzerland",NA,NA,NA,NA,NA,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,1815.08898925781,1.61086285114288
"1598",91441,"man",1948,"Switzerland","german","Roman Catholic","every two weeks","academic professions and senior management",NA,0,0,0,0,0,1,1,1,1,1,1,3,6,6,6,6,791.785095214844,0.702696740627289
"1701",NA,"woman",1944,NA,NA,NA,NA,"other self-employed","other self-employed",0,0,0,0,0,0,0,4,4,5,5,5,5,5,5,5,1041.12670898438,0.923983514308929
"438",25401,"man",1950,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,721.12158203125,0.639984011650085
"930",53261,"woman",1945,"Switzerland","french","Protestant or Reformed Church","a few times a year","qualified non-manual professions",NA,0,0,0,0,1,1,1,1,1,3,6,6,6,6,6,6,824.068969726562,0.731348156929016
"823",46671,"woman",1952,"Switzerland","italian",NA,NA,"unqualified non-manual and manual workers",NA,0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,6,0,0
"2002",NA,"woman",1933,NA,NA,NA,NA,"other self-employed","other self-employed",0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1256.21862792969,1.11487412452698
"2325",133071,"man",1935,"Austria","german",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1710.69482421875,1.51821458339691
"479",27181,"man",1932,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","qualified manual professions","other self-employed",0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,1081.14880371094,0.959502458572388
"837",47371,"woman",1919,"Switzerland","french","Protestant or Reformed Church","once a week","academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,968.6865234375,0.859693944454193
"1842",105171,"man",1920,"France and territories","french","no denomination or religion","never","top management",NA,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,2039.03857421875,1.80961441993713
"2040",115451,"man",1948,"Switzerland","french","Protestant or Reformed Church","a few times a year","liberal professions","other self-employed",0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,638.912048339844,0.567024350166321
"1284",73191,"man",1952,"Switzerland","german","Roman Catholic","every two weeks",NA,NA,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,891.748718261719,0.791412889957428
"2405",138271,"woman",1949,"Switzerland","german","Protestant or Reformed Church","a few times a year","other self-employed","other self-employed",0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,801.230407714844,0.711079359054565
"2036",115201,"woman",1950,"Itally","french","Roman Catholic","only for family ceremonies",NA,"other self-employed",0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3683.4482421875,3.26900219917297
"2400",137911,"woman",1937,"Switzerland","german","Protestant or Reformed Church","a few times a year","top management",NA,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,6,1130.39050292969,1.00320363044739
"2435",140311,"woman",1951,"Switzerland","german","Protestant or Reformed Church","once a week","top management",NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1177.99536132812,1.04545223712921
"26",4131,"woman",1941,"Switzerland","french",NA,NA,"unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1684.60827636719,1.49506318569183
"2514",144321,"man",1949,"Switzerland","german","Roman Catholic","a few times a year",NA,"unqualified non-manual and manual workers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927.179809570312,0.822857439517975
"2126",120841,"woman",1949,"Switzerland","french","Roman Catholic","once a week","academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,572.034240722656,0.507671356201172
"2225",125971,"woman",1954,"Switzerland","french","Jewish","only for family ceremonies","other self-employed","other self-employed",0,0,1,1,1,1,1,1,6,6,6,6,6,6,6,6,733.87060546875,0.651298582553864
"1564",89211,"woman",1951,"Switzerland","german","Protestant or Reformed Church","a few times a year","other self-employed","other self-employed",0,0,0,0,0,3,3,3,3,6,6,6,6,6,6,6,895.19091796875,0.794467747211456
"2558",146631,"man",1956,"Switzerland","german","Protestant or Reformed Church","religious celebrations and family events","qualified non-manual professions",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,628.703674316406,0.557964563369751
"1521",86581,"man",1947,"Switzerland",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,6,1768.96105957031,1.56992495059967
"2494",143481,"man",1955,"Switzerland","german","no denomination or religion","only for family ceremonies","academic professions and senior management","qualified non-manual professions",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,785.581909179688,0.697191476821899
"396",23931,"man",1946,"Switzerland","german","no denomination or religion","religious celebrations and family events","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,1630.85974121094,1.44736218452454
"599",33491,"woman",1949,"Itally","italian","Roman Catholic","a few times a year","unqualified non-manual and manual workers","unqualified non-manual and manual workers",0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2242.15942382812,1.98988103866577
"17",3541,"man",1928,"Switzerland","french","Protestant or Reformed Church","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,3,3,6,6,6,6,6,6,6,6,828.819458007812,0.735564172267914
"2125",120841,"man",1946,"Switzerland","french","Roman Catholic","every two weeks","unqualified non-manual and manual workers",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,720.192626953125,0.639159560203552
"356",NA,"man",1952,NA,NA,NA,NA,"academic professions and senior management",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1407.31140136719,1.24896657466888
"382",22661,"woman",1956,"Switzerland","german","Protestant or Reformed Church","about once a month","intermediate professions",NA,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,6,548.013793945312,0.486353546380997
"908",51531,"woman",1938,"Switzerland","french","Roman Catholic","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1427.76916503906,1.26712250709534
"637",36041,"woman",1933,"Switzerland",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1871.57800292969,1.66099584102631
"2431",140071,"man",1941,"Switzerland","german","Protestant or Reformed Church","a few times a year","qualified manual professions",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,929.051635742188,0.824518620967865
"746",42541,"woman",1940,"Switzerland","german","Christian Catholic","only for family ceremonies","qualified non-manual professions",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1195.40209960938,1.06090044975281
"2034",NA,"woman",1913,NA,NA,NA,NA,"intermediate professions",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671.13745117188,1.48310816287994
"1085",60931,"woman",1940,"Switzerland","french","Protestant or Reformed Church","only for family ceremonies","unqualified non-manual and manual workers",NA,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,1297.48608398438,1.1514984369278
"2437",140441,"man",1950,"Switzerland","german","Protestant or Reformed Church","only for family ceremonies","other self-employed",NA,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,1741.60180664062,1.54564416408539
"108",8751,"man",1940,"Switzerland","french","Protestant or Reformed Church","only for family ceremonies","other self-employed","qualified manual professions",0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,6,847.1279296875,0.751812636852264
"1318",74821,"woman",1941,"Switzerland","german","Roman Catholic","religious celebrations and family events","other self-employed",NA,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,1018.24261474609,0.903674185276031
"476",26901,"man",1934,"Switzerland","french","Roman Catholic","only for family ceremonies","qualified manual professions","unqualified non-manual and manual workers",0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,955.826477050781,0.848280906677246
