"","idhous00","age00","educat00","civsta00","nbadul00","nbkid00","aoldki00","ayouki00","region00","com2.00","sex","birthy","jan00","feb00","mar00","apr00","may00","jun00","jul00","aug00","sep00","oct00","nov00","dec00"
"4660",98312,23,"maturity","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1977,"B","B","B","B","B","B","B","B","B","B","B","B"
"5278",109201,74,"apprenticeship","divorced",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","woman",1926,"D","D","D","D","D","D","D","D","D","D","D","D"
"4689",98661,28,"apprenticeship","married",2,1,1,1,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1972,"C","C","C","C","C","C","C","C","C","C","C","C"
"1001",20561,34,"apprenticeship","married",2,1,0,0,"North-west Switzerland  (BS, BL, AG)","Industrial and tertiary sector communes","woman",1966,"D","D","D","D","D","D","D","D","D","C","C","C"
"4337",90851,71,"compulsory school, elementary vocational training","widower/widow",1,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Mixed agricultural communes","woman",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"3854",80511,40,"full-time vocational school","married",2,4,7,5,"Zurich","Suburban communes","woman",1960,"B","B","B","B","B","B","B","B","B","B","B","B"
"2657",57231,34,"compulsory school, elementary vocational training","married",2,1,16,16,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
"1018",20931,52,"full-time vocational school","married",3,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","woman",1948,"B","B","B","B","B","B","B","B","B","B","D","D"
"3867",80891,48,"vocational high school","married",2,0,-3,-3,"Zurich","Suburban communes","man",1952,"A","A","A","A","A","A","A","A","A","A","A","A"
"4490",94481,48,"technical or vocational school","married",2,2,12,8,"Ticino","Suburban communes","man",1952,"A","A","A","A","A","A","A","A","A","A","A","A"
"2789",59451,32,"vocational high education","married",2,1,1,1,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","man",1968,"A","A","A","A","A","A","A","A","A","A","A","A"
"5671",117761,18,"compulsory school, elementary vocational training","single, never married",3,1,16,16,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","man",1982,"D","D","D","D","D","C","C","C","C","D","D","D"
"4648",98161,63,"full-time vocational school","divorced",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1937,"D","D","D","D","D","D","D","D","D","D","D","D"
"10",1571,32,"apprenticeship","married",2,2,5,5,"Lake Geneva (VD, VS, GE)","Centres","man",1968,"A","A","A","A","A","A","A","A","A","A","A","A"
"5029",104681,38,"maturity","married",2,2,10,8,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1962,"C","C","C","C","C","C","C","C","C","C","C","C"
"4562",96251,26,"apprenticeship","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1974,"B","B","B","B","B","B","B","B","B","B","B","B"
"4868",101561,38,"maturity","married",2,1,4,4,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","woman",1962,"C","C","C","C","C","C","C","C","C","C","C","C"
"2688",57721,55,"compulsory school, elementary vocational training","divorced",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1945,"D","D","D","D","D","D","D","D","D","D","D","D"
"6022",124511,35,"apprenticeship","widower/widow",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1965,"A","A","A","A","A","A","A","A","A","A","A","A"
"6922",144731,31,"apprenticeship","separated",2,2,13,11,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1969,"D","C","C","C","C","B","B","B","B","B","B","B"
"1388",28881,72,"university, higher specialized school","married",2,0,-3,-3,"Zurich","Centres","man",1928,"A","A","A","A","A","A","A","A","A","D","D","D"
"3360",70331,46,"full-time vocational school","married",2,2,12,11,"North-west Switzerland  (BS, BL, AG)","Wealthy communes","woman",1954,"C","C","C","C","C","C","C","C","D","D","D","D"
"3227",68031,15,"incomplete compulsory school","single, never married",2,2,17,15,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1985,"D","D","D","D","D","D","D","D","D","D","D","D"
"3493",73031,44,"technical or vocational school","married",2,3,14,9,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1956,"D","D","D","D","D","D","D","D","D","D","D","D"
"6028",124721,43,"full-time vocational school","married",2,2,6,4,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","woman",1957,"C","C","C","C","C","C","C","C","C","C","C","C"
"3158",66831,65,"maturity","married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1935,"A","A","A","A","A","A","A","A","A","A","A","A"
"2026",43661,55,"university, higher specialized school","married",3,0,-3,-3,"Ticino","Peripheral urban communes","woman",1945,"B","B","B","B","B","B","B","B","B","D","D","D"
"4513",94961,65,"incomplete compulsory school","married",2,0,-3,-3,"Ticino","Centres","man",1935,"D","D","D","D","D","D","D","D","D","D","D","D"
"6260",130281,37,"compulsory school, elementary vocational training","married",2,3,15,7,"Zurich","Centres","man",1963,"A","A","A","A","A","A","A","A","A","A","A","A"
"702",14861,38,"technical or vocational school","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Peripheral urban communes","man",1962,"A","A","A","A","A","A","A","A","A","A","A","A"
"2594",55751,40,"maturity","divorced",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1960,"B","B","B","B","B","B","D","D","C","C","C","C"
"2282",49181,63,"apprenticeship","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1937,"D","D","D","D","D","D","D","D","D","D","D","D"
"3711",77561,38,"full-time vocational school","married",2,2,14,12,"Zurich","Centres","woman",1962,"B","B","B","B","B","B","B","B","B","B","B","B"
"2025",43661,56,"apprenticeship","married",3,0,-3,-3,"Ticino","Peripheral urban communes","man",1944,"A","A","A","A","A","A","A","A","A","A","A","A"
"5062",105621,63,"apprenticeship","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1937,"D","D","D","D","D","D","D","D","D","D","D","D"
"1991",42911,38,"apprenticeship","married",2,1,10,10,"Ticino","Peripheral urban communes","man",1962,"A","A","A","A","A","A","A","A","A","A","A","A"
"8",1561,75,"apprenticeship","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Tourist communes","man",1925,"D","D","D","D","D","D","D","D","D","D","D","D"
"4971",103571,22,"university, higher specialized school","single, never married",4,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1978,"D","D","D","D","D","D","D","D","D","D","A","A"
"4070",85051,39,"apprenticeship","married",2,1,7,7,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Mixed agricultural communes","woman",1961,"C","C","C","C","C","C","C","C","C","C","C","C"
"5424",112441,57,"maturity","married",2,0,-3,-3,"Zurich","Suburban communes","man",1943,"A","A","A","A","A","A","A","A","A","A","A","A"
"2265",48811,24,"university, higher specialized school","single, never married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1976,"B","B","B","B","B","B","B","B","B","B","B","B"
"2174",46581,51,"university, higher specialized school","married",4,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1949,"B","B","B","B","B","B","B","B","B","B","B","B"
"267",7071,22,"apprenticeship","single, never married",3,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1978,"A","A","A","A","A","A","A","A","A","A","A","A"
"3293",69131,29,"university, higher specialized school","single, never married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","woman",1971,"A","A","B","B","B","B","B","B","B","B","B","B"
"4363",91541,45,"apprenticeship","single, never married",1,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Centres","woman",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"5841",121391,81,"full-time vocational school","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1919,"D","D","D","D","D","D","D","D","D","D","D","D"
"1176",24301,36,"apprenticeship","married",2,2,3,0,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1964,"D","D","D","D","D","D","D","D","D","D","D","D"
"2546",54961,28,"apprenticeship","married",2,2,3,0,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1972,"C","C","C","C","C","C","C","C","C","C","C","C"
"2244",48231,37,"university, higher specialized school","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1963,"A","A","A","A","A","A","A","A","A","A","A","A"
"5980",123761,35,"apprenticeship","married",2,2,6,4,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1965,"D","D","D","D","D","D","D","D","D","D","D","D"
"3093",65571,34,"full-time vocational school","married",2,2,11,8,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1966,"D","D","D","D","D","D","D","D","D","D","C","C"
"6224",129271,37,"university, higher specialized school","married",2,0,-3,-3,"Zurich","Centres","man",1963,"A","A","A","A","A","A","A","A","A","A","A","A"
"2285",49261,73,"domestic science course, 1 year school of commerce","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","woman",1927,"D","D","D","D","D","D","D","D","D","D","D","D"
"5050",105261,59,"university, higher specialized school","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Wealthy communes","man",1941,"B","B","B","B","B","B","B","B","B","B","B","B"
"5624",116851,41,"maturity","married",2,2,12,3,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1959,"D","D","D","D","D","D","D","D","D","D","D","D"
"3561",74401,36,"maturity","single, never married",1,0,-3,-3,"Zurich","Centres","woman",1964,"A","A","A","A","A","A","A","A","A","A","A","A"
"3219",67971,46,"apprenticeship","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Rural commuter communes","man",1954,"A","A","A","A","A","A","A","A","A","A","A","A"
"5616",116651,43,"full-time vocational school","married",2,2,17,13,"Lake Geneva (VD, VS, GE)","Centres","woman",1957,"D","D","D","D","D","D","D","D","D","D","D","D"
"240",6581,72,"compulsory school, elementary vocational training","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Wealthy communes","woman",1928,"D","D","D","D","D","D","D","D","D","D","D","D"
"3948",82381,71,"apprenticeship","widower/widow",1,0,-3,-3,"Zurich","Centres","woman",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"64",2461,49,"technical or vocational school","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Wealthy communes","woman",1951,"D","D","D","D","D","D","D","D","D","D","D","D"
"6193",128451,83,"full-time vocational school","widower/widow",1,0,-3,-3,"Zurich","Wealthy communes","woman",1917,"D","D","D","D","D","D","D","D","D","D","D","D"
"4932",102881,41,"apprenticeship","divorced",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1959,"D","D","D","D","D","D","D","D","D","B","B","B"
"4501",94741,52,"university, higher specialized school","married",4,0,-3,-3,"Ticino","Peripheral urban communes","woman",1948,"B","B","B","B","B","B","B","B","B","B","B","B"
"4299",90051,44,"apprenticeship","married",2,2,16,14,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Peripheral urban communes","woman",1956,"D","D","D","D","D","D","D","D","D","D","D","D"
"4765",99941,39,"apprenticeship","married",2,2,4,2,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","man",1961,"A","A","A","A","A","A","A","A","A","A","A","A"
"4186",87811,50,"university, higher specialized school","divorced",1,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","woman",1950,"C","C","C","C","C","C","C","C","C","C","C","C"
"4166",87362,21,"apprenticeship","single, never married",3,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","man",1979,"A","A","A","A","A","A","A","A","A","A","A","A"
"1073",22411,15,"incomplete compulsory school","single, never married",1,2,17,15,"North-west Switzerland  (BS, BL, AG)","Industrial and tertiary sector communes","woman",1985,"D","D","D","D","D","D","C","C","D","D","D","D"
"1637",34991,35,"apprenticeship","married",2,2,3,2,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Mixed agricultural communes","man",1965,"A","A","A","A","A","A","A","A","A","A","A","A"
"43",2051,38,"apprenticeship","married",2,3,10,1,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1962,"B","B","B","B","B","B","B","B","B","B","B","B"
"6039",124991,56,"apprenticeship","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1944,"A","A","A","A","A","A","A","A","A","A","A","A"
"956",19541,45,"apprenticeship","divorced",2,1,14,14,"North-west Switzerland  (BS, BL, AG)","Wealthy communes","woman",1955,"B","B","B","B","B","B","B","B","B","B","B","B"
"1032",21281,46,"apprenticeship","married",2,2,15,13,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1954,"A","A","A","A","A","A","A","A","A","A","A","A"
"2506",54071,55,"full-time vocational school","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1945,"A","A","A","A","A","A","A","A","A","A","A","A"
"1744",37261,21,"maturity","single, never married",6,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","man",1979,"C","C","C","C","C","C","C","C","C","C","C","C"
"2975",63461,47,"apprenticeship","married",2,2,8,7,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1953,"A","A","A","A","A","A","A","A","A","A","A","A"
"2039",43831,47,"apprenticeship","married",2,2,9,7,"Ticino","Wealthy communes","man",1953,"A","A","A","A","A","A","A","A","A","A","A","A"
"5645",117271,57,"university, higher specialized school","married",3,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1943,"A","A","A","A","A","A","A","A","B","B","B","B"
"3003",64021,66,"apprenticeship","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1934,"D","D","D","D","D","D","D","D","D","D","D","D"
"665",14181,42,"vocational high school","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"287",7321,58,"full-time vocational school","divorced",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1942,"A","A","A","A","A","A","A","A","A","A","A","A"
"3674",76711,58,"compulsory school, elementary vocational training","married",2,0,-3,-3,"Zurich","Mixed agricultural communes","woman",1942,"D","D","D","D","D","D","D","D","D","D","D","D"
"1288",26611,67,"university, higher specialized school","married",3,0,-3,-3,"Zurich","Suburban communes","woman",1933,"D","D","D","D","D","D","D","D","D","D","D","D"
"1898",40741,71,"maturity","married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","man",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"4937",103091,48,"university, higher specialized school","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Industrial and tertiary sector communes","man",1952,"B","B","B","B","B","B","B","B","B","B","B","B"
"5964",123471,30,"apprenticeship","married",2,2,3,3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1970,"D","D","D","D","D","D","D","D","D","D","D","D"
"795",16651,46,"university, higher specialized school","married",2,3,16,10,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1954,"B","B","B","B","B","B","B","B","B","B","B","B"
"6089",126151,37,"vocational high school","married",2,1,1,1,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","woman",1963,"D","D","D","D","D","D","D","D","D","D","D","D"
"1509",32042,23,"maturity","single, never married",3,0,-3,-3,"Zurich","Centres","man",1977,"C","C","C","C","C","C","C","C","C","C","C","C"
"5356",110861,25,"maturity","single, never married",1,0,-3,-3,"Zurich","Centres","man",1975,"D","D","D","D","D","D","D","D","D","D","D","D"
"5128",106951,45,"apprenticeship","married",2,2,13,10,"North-west Switzerland  (BS, BL, AG)","Industrial and tertiary sector communes","man",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"3807",79861,71,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"1472",31201,81,"maturity","married",2,0,-3,-3,"Zurich","Centres","woman",1919,"D","D","D","D","D","D","D","D","D","D","D","D"
"5788",120371,45,"apprenticeship","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"6277",130481,42,"apprenticeship","single, never married",2,0,-3,-3,"Zurich","Suburban communes","woman",1958,"C","C","C","C","C","C","C","C","C","C","C","B"
"5877",121901,53,"university, higher specialized school","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1947,"B","B","B","B","B","B","B","B","B","B","B","B"
"1735",37061,62,"vocational high education","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1938,"C","C","C","C","C","C","C","C","C","B","B","B"
"1674",35851,56,"compulsory school, elementary vocational training","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","woman",1944,"D","D","D","D","D","D","D","D","D","D","D","A"
"2472",53301,30,"compulsory school, elementary vocational training","married",2,1,0,0,"Lake Geneva (VD, VS, GE)","Centres","woman",1970,"A","A","A","A","A","A","A","A","A","A","A","A"
"1702",36401,51,"maturity","single, never married",1,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","woman",1949,"A","A","A","A","A","A","A","A","A","A","A","A"
"1408",29391,62,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1938,"A","A","A","A","A","A","D","D","D","D","D","D"
"5379",111461,71,"apprenticeship","married",2,0,-3,-3,"Zurich","Wealthy communes","man",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"1575",33561,35,"university, higher specialized school","married",2,2,7,5,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","man",1965,"A","A","A","A","A","A","A","A","A","A","A","A"
"5385",111581,46,"vocational high school","married",2,2,14,10,"Zurich","Peripheral urban communes","man",1954,"A","A","A","A","A","A","A","A","A","A","A","A"
"4193",88011,21,"apprenticeship","single, never married",3,1,15,15,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","woman",1979,"A","A","A","A","A","A","A","A","A","A","A","A"
"6385",133101,58,"compulsory school, elementary vocational training","separated",1,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","woman",1942,"C","C","C","C","C","C","C","C","C","C","C","C"
"4038",84491,56,"technical or vocational school","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Peripheral urban communes","man",1944,"A","A","A","A","A","A","A","A","A","A","A","A"
"4264",89521,54,"vocational high education","divorced",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Peripheral urban communes","man",1946,"A","A","A","A","A","A","A","A","A","A","A","A"
"4539",95502,28,"university, higher specialized school","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1972,"A","A","A","A","A","A","A","A","A","A","A","A"
"550",12191,33,"full-time vocational school","married",2,1,2,2,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1967,"C","C","C","C","C","C","C","C","C","C","C","C"
"1527",32431,51,"vocational high school","married",4,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1949,"A","A","A","A","A","A","A","A","A","A","A","A"
"3793",79481,42,"apprenticeship","married",2,2,16,15,"Zurich","Suburban communes","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"4523",95171,32,"apprenticeship","separated",2,2,7,4,"Ticino","Wealthy communes","man",1968,"A","A","A","A","A","A","A","A","A","A","A","A"
"1451",30681,49,"general training school","married",2,0,-3,-3,"Zurich","Centres","woman",1951,"B","B","B","B","B","B","B","B","B","B","B","B"
"479",11121,48,"full-time vocational school","married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1952,"D","D","D","D","B","B","D","D","C","C","C","C"
"5447",112771,33,"domestic science course, 1 year school of commerce","married",2,3,12,6,"Zurich","Peripheral urban communes","woman",1967,"C","C","C","C","C","C","C","C","C","D","D","D"
"4238",89021,38,"full-time vocational school","married",2,2,11,8,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Rural commuter communes","man",1962,"A","A","A","A","A","A","A","A","A","A","A","A"
"6891",143851,34,"technical or vocational school","single, never married",4,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Mixed agricultural communes","man",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
"2022",43581,47,"full-time vocational school","divorced",2,0,-3,-3,"Ticino","Wealthy communes","man",1953,"A","A","A","A","A","A","A","A","A","A","A","A"
"844",17661,57,"apprenticeship","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1943,"A","A","A","A","A","A","A","A","A","A","A","A"
"772",16361,57,"maturity","married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1943,"C","C","C","C","C","C","C","C","C","C","C","C"
"2925",62061,35,"maturity","married",2,1,0,0,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1965,"B","D","D","D","D","D","D","C","C","C","C","C"
"4491",94481,40,"full-time vocational school","married",2,2,12,8,"Ticino","Suburban communes","woman",1960,"D","D","D","D","D","D","D","D","D","D","B","B"
"1982",42751,66,"technical or vocational school","married",2,0,-3,-3,"Ticino","Industrial and tertiary sector communes","man",1934,"D","D","D","D","D","D","D","D","D","D","D","C"
"2934",62251,50,"vocational high education","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1950,"A","A","A","A","A","A","A","A","A","A","A","A"
"4635",97951,65,"apprenticeship","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Peripheral agricultural communes","woman",1935,"D","D","D","D","D","D","D","D","D","D","D","D"
"577",12511,39,"university, higher specialized school","married",2,2,11,6,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1961,"A","A","A","A","A","A","A","A","A","B","B","B"
"1775",38031,35,"apprenticeship","married",2,2,4,1,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","man",1965,"A","A","A","A","A","A","A","A","A","A","A","A"
"6714",140221,55,"university, higher specialized school","married",3,2,16,13,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Centres","man",1945,"A","A","A","A","A","A","A","A","A","A","A","A"
"2593",55701,40,"university, higher specialized school","married",2,1,11,11,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1960,"B","B","B","B","B","B","B","B","B","B","B","B"
"1967",42281,55,"university, higher specialized school","married",4,0,-3,-3,"Ticino","Centres","man",1945,"C","C","C","C","C","C","C","C","C","C","C","C"
"167",5001,35,"university, higher specialized school","married",2,2,4,2,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1965,"D","D","D","D","D","D","D","D","D","D","D","D"
"4446",93141,63,"university, higher specialized school","married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Centres","woman",1937,"D","D","D","D","D","D","D","D","D","D","D","D"
"3376",70561,46,"maturity","single, never married",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1954,"B","B","B","B","B","B","B","B","B","B","B","B"
"7056",147741,31,"apprenticeship","divorced",2,0,-3,-3,"Ticino","Suburban communes","man",1969,"A","A","A","A","A","A","A","A","A","A","A","A"
"500",11571,33,"apprenticeship","married",2,1,3,3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1967,"B","B","B","B","B","B","B","B","B","B","B","B"
"5506",114481,20,"compulsory school, elementary vocational training","single, never married",4,0,-3,-3,"Lake Geneva (VD, VS, GE)","Tourist communes","man",1980,"D","D","D","D","D","D","D","D","D","D","D","C"
"2041",43891,56,"maturity","married",4,0,-3,-3,"Ticino","Suburban communes","woman",1944,"B","B","B","B","B","B","B","B","B","B","B","B"
"804",16781,42,"vocational high school","married",2,2,6,3,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"3841",80361,16,"compulsory school, elementary vocational training","single, never married",3,1,16,16,"Zurich","Suburban communes","man",1984,"A","A","A","A","A","A","A","A","A","A","A","D"
"3687",77071,41,"university, higher specialized school","separated",2,3,15,8,"Zurich","Suburban communes","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
"33",1911,42,"vocational high education","married",2,2,17,13,"Lake Geneva (VD, VS, GE)","Centres","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"5052",105311,48,"full-time vocational school","married",2,1,14,14,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1952,"C","C","C","C","C","C","C","C","C","C","C","C"
"188",5441,44,"apprenticeship","married",3,1,14,14,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1956,"C","C","C","C","C","C","C","C","C","C","C","C"
"6096",126201,27,"university, higher specialized school","single, never married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1973,"B","B","B","A","A","A","A","A","A","A","A","A"
"2589",55641,48,"apprenticeship","married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1952,"D","D","D","D","D","D","D","D","D","D","D","D"
"4192",88011,49,"apprenticeship","married",3,1,15,15,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","woman",1951,"B","B","B","B","B","B","B","B","B","B","B","B"
"2672",57461,28,"maturity","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1972,"A","A","A","A","A","A","A","A","A","A","A","A"
"4985",103851,37,"compulsory school, elementary vocational training","single, never married",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","man",1963,"A","A","A","A","A","A","A","A","A","A","A","A"
"656",13941,69,"full-time vocational school","married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1931,"D","D","D","D","D","D","D","D","D","D","D","D"
"575",12441,20,"apprenticeship","single, never married",3,2,12,7,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1980,"B","B","B","B","B","B","B","B","B","B","B","A"
"4869",101561,38,"university, higher specialized school","married",2,1,4,4,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","man",1962,"A","A","A","A","A","A","A","A","A","A","A","A"
"3382",70711,34,"domestic science course, 1 year school of commerce","married",2,4,9,2,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1966,"D","D","D","D","D","D","D","D","D","D","D","D"
"4271",89611,53,"vocational high school","married",5,1,14,14,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","man",1947,"A","A","A","A","A","A","A","A","A","A","A","A"
"3902",81571,18,"compulsory school, elementary vocational training","single, never married",3,1,16,16,"Zurich","Suburban communes","man",1982,"A","A","A","A","A","A","A","A","A","A","A","A"
"260",6981,32,"apprenticeship","married",2,2,4,4,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1968,"D","D","D","D","D","D","D","D","D","D","D","D"
"5363",111001,41,"technical or vocational school","married",2,2,9,6,"Zurich","Suburban communes","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
