"","chemoLowerLinearAdjust.chemoUpperLinearAdjust.Velocity.Displacement"
"1648","0.04,0.2,2.47504982075195,48.3136494016235"
"1649","0.04,0.2,2.32102330679517,41.2204412583771"
"1650","0.04,0.2,2.31356408020745,41.4893823981041"
"1651","0.04,0.2,3.28572246726121,54.3341405935615"
"1652","0.04,0.2,2.67924479037125,44.1939566523429"
"1653","0.04,0.2,2.87175999562042,48.6888078478749"
"1654","0.04,0.2,3.24321570381596,55.7369817249664"
"1655","0.04,0.2,3.61991638716983,49.3891321824465"
"1656","0.04,0.2,2.62777929504543,44.5069975708906"
"1657","0.04,0.2,2.76679982156498,43.5230281763298"
"1658","0.04,0.2,5.08408381042408,53.5221906925708"
"1659","0.04,0.2,3.18151452099932,47.7717349643102"
"1660","0.04,0.2,3.01999309352186,46.0172661879909"
"1661","0.04,0.2,2.41808585745336,38.1123212979567"
"1662","0.04,0.2,2.32324038628348,45.6994499239016"
"1663","0.04,0.2,3.08474672694409,49.2476760115024"
"1664","0.04,0.2,3.15720333512206,46.2295275443417"
"1665","0.04,0.2,3.61802906520397,49.5842430448918"
"1666","0.04,0.2,2.41239547366576,39.0657021025386"
"1667","0.04,0.2,3.51668367638053,47.0023073354202"
"1668","0.04,0.2,3.29265169563292,48.4780296671319"
"1669","0.04,0.2,2.39287439496386,40.6016842394703"
"1670","0.04,0.2,4.46655000335343,55.9412671356722"
"1671","0.04,0.2,2.68107286251744,44.5413282000072"
"1672","0.04,0.2,2.70574156106012,42.3301193596345"
"1673","0.04,0.2,2.38940030311782,42.731604549106"
"1674","0.04,0.2,2.65941268601584,43.0894520068164"
"1675","0.04,0.2,3.07224133449312,50.8263983146444"
"1676","0.04,0.2,2.5526441688756,48.8465473999634"
"1677","0.04,0.2,2.70160523057401,44.3840855669791"
"1678","0.04,0.2,5.05638039300674,59.4508027928037"
"1679","0.04,0.2,2.24853607294773,41.3616471229313"
"1680","0.04,0.2,4.7346375165705,27.0821719962509"
"1681","0.04,0.2,4.95919483190828,59.7240735975032"
"1682","0.04,0.2,2.40211478109028,37.9210957259049"
"1683","0.04,0.2,2.3378807202928,43.593545764513"
"1684","0.04,0.2,3.51046213574748,53.7692956382905"
"1685","0.04,0.2,2.34721966391576,47.3971392025345"
"1686","0.04,0.2,4.80000000000001,58.8891088909233"
"1687","0.04,0.2,4.23715269536225,56.3180657261766"
"1688","0.04,0.2,2.32035948127743,34.8731870491825"
"1689","0.04,0.2,2.86527048811306,47.2480919008117"
"1690","0.04,0.2,2.86786804029809,49.2725010376141"
"1691","0.04,0.2,3.3588407290174,51.3435820164062"
"1692","0.04,0.2,2.90959020976016,43.9626772064303"
"1693","0.04,0.2,4.09683985332904,53.2962415948617"
"1694","0.04,0.2,3.33827285294642,53.3545939637095"
"1695","0.04,0.2,2.31614128839799,40.132067509653"
"1696","0.04,0.2,3.73822262004833,45.5709312519386"
"1697","0.04,0.2,2.82091724464253,49.0245442154946"
"1698","0.04,0.2,2.28881400553631,45.397861155507"
"1699","0.04,0.2,2.74913287164961,43.8753189980568"
"1700","0.04,0.2,5.41566270505503,54.5771185165118"
"1701","0.04,0.2,2.77386346515159,50.4200366535431"
"1702","0.04,0.2,4.00816467663405,58.4433110993091"
"1703","0.04,0.2,3.04395751036574,44.0469966100773"
"1704","0.04,0.2,5.19999999999999,56.0039829921871"
"1705","0.04,0.2,2.88444656434317,48.1727607071975"
"1706","0.04,0.2,2.88997921173557,48.4272629364268"
"1707","0.04,0.2,2.39743421627221,37.3334527134315"
"1708","0.04,0.2,4.80000000000001,52.2371743164513"
"1709","0.04,0.2,4.36475518336864,48.7382420040164"
"1710","0.04,0.2,2.80184864320621,44.1148099862062"
"1711","0.04,0.2,2.43601822301796,45.7419572912393"
"1712","0.04,0.2,2.2088481065343,44.6548352331879"
"1713","0.04,0.2,2.39244523962229,37.9697965212377"
"1714","0.04,0.2,2.98815426560881,48.7732234263116"
"1715","0.04,0.2,4.65388732733492,63.2749756636821"
"1716","0.04,0.2,2.47300624276568,36.5104224174835"
"1717","0.04,0.2,3.42330098389299,48.8246746793512"
"1718","0.04,0.2,2.69999234706505,42.7862884798292"
"1719","0.04,0.2,2.29177281885367,39.4133534812742"
"1720","0.04,0.2,2.82004778632371,46.3243490718703"
"1721","0.04,0.2,3.7491132495965,50.9582117406675"
"1722","0.04,0.2,2.41009342275019,42.7212052054575"
"1723","0.04,0.2,2.26812306495542,43.0586867810602"
"1724","0.04,0.2,2.94220901198816,41.5231658842327"
"1725","0.04,0.2,3.46230903228644,48.9468071344245"
"1726","0.04,0.2,4.40531590378334,52.8934193373364"
"1727","0.04,0.2,4.20664413037928,48.7350041471849"
"1728","0.04,0.2,2.92636458359417,44.420919997189"
"1729","0.04,0.2,4.38219335392888,51.8901430686136"
"1730","0.04,0.2,2.64284640395874,41.4267583679752"
"1731","0.04,0.2,5.25416080801134,60.6788040002949"
"1732","0.04,0.2,2.296369177562,36.0854309465436"
"1733","0.04,0.2,3.65680629052595,53.736024133749"
"1734","0.04,0.2,2.66994010424023,39.7590201206814"
"1735","0.04,0.2,2.31468701133873,44.1746391897482"
"1736","0.04,0.2,4.48941981732987,51.9696937724255"
"1737","0.04,0.2,2.96100758044391,47.8749747240611"
"1738","0.04,0.2,3.71379724151558,55.3140323790395"
"1739","0.04,0.2,4.40032816020878,51.1528763676991"
"1740","0.04,0.2,4.28558720125828,53.4637815493653"
"1741","0.04,0.2,4.26942209247289,55.2879108882024"
"1742","0.04,0.2,3.0432855408643,49.6211503805167"
"1743","0.04,0.2,2.99612794026797,51.4538319445312"
"1744","0.04,0.2,2.18730772488083,43.7543571396776"
"1745","0.04,0.2,3.91165618407283,52.8780654737812"
"1746","0.04,0.2,2.36267069887402,42.2653260284459"
"1747","0.04,0.2,3.54447926672457,51.8030091160731"
"1748","0.04,0.2,2.72453113328544,42.6347873797866"
"1749","0.04,0.2,2.9507663660394,49.1836129128012"
"1750","0.04,0.2,3.62049430524388,46.7008959854918"
"1751","0.04,0.2,3.05742340652113,44.8474237837547"
"1752","0.04,0.2,3.70353584218002,54.0700057561697"
"1753","0.04,0.2,2.77162797827704,43.3734141198433"
"1754","0.04,0.2,2.83596384496354,42.1621540735396"
"1755","0.04,0.2,2.45089057174888,38.491252432468"
"1756","0.04,0.2,2.43947135478303,45.6407460949323"
"1757","0.04,0.2,4.99628456439247,58.4256018207058"
"1758","0.04,0.2,4.38457799119337,52.7863452588582"
"1759","0.04,0.2,2.83900942852897,48.8475922671554"
"1760","0.04,0.2,2.70785734369021,41.6388193080139"
"1761","0.04,0.2,2.26600715218958,39.9662761823794"
"1762","0.04,0.2,3.36792628475077,48.7386486833982"
"1763","0.04,0.2,3.62761326079668,51.5417572320452"
"1764","0.04,0.2,2.69523393874212,43.813463168154"
"1765","0.04,0.2,2.59079798715181,45.6583830594394"
"1766","0.04,0.2,2.23208499072489,42.3933353415246"
"1767","0.04,0.2,5.26144010451099,61.0530558432934"
"1768","0.04,0.2,3.19261444161697,43.8283417879842"
"1769","0.04,0.2,4.52404373771602,55.9398456210614"
"1770","0.04,0.2,2.86111549169781,44.3085739007858"
"1771","0.04,0.2,3.19005141750853,51.9907722849101"
"1772","0.04,0.2,2.74294837955753,41.6623913873528"
"1773","0.04,0.2,2.48850633452347,48.378292555674"
"1774","0.04,0.2,2.25562310181549,39.611860201031"
"1775","0.04,0.2,4.39121765639734,53.5609997189809"
"1776","0.04,0.2,2.8693799549862,52.3001685011925"
"1777","0.04,0.2,2.51467280251285,41.3023617193723"
"1778","0.04,0.2,2.85211655535742,43.1999287903443"
"1779","0.04,0.2,2.60678817881106,41.7580895582226"
"1780","0.04,0.2,2.21551959540272,39.0237118591956"
"1781","0.04,0.2,2.76380023565279,47.7166567241418"
"1782","0.04,0.2,3.75670124424841,53.4093157576905"
"1783","0.04,0.2,3.97947901072356,49.5018297351288"
"1784","0.04,0.2,2.89623104625713,46.2469221084506"
"1785","0.04,0.2,2.75921860552289,45.1766463919205"
"1786","0.045,0.2,2.35418513942607,42.3592444450538"
"1787","0.045,0.2,3.32487151492218,48.2810245713091"
"1788","0.045,0.2,2.64195911715164,41.4804200389059"
"1789","0.045,0.2,3.05548208044628,40.9962315803518"
"1790","0.045,0.2,4.31836404575403,53.0058296881897"
"1791","0.045,0.2,2.23878967114538,43.8511311515666"
"1792","0.045,0.2,2.68663058554519,41.3957223673968"
"1793","0.045,0.2,3.48333160077344,49.1484822064831"
"1794","0.045,0.2,2.37549563724308,37.4271338292729"
"1795","0.045,0.2,4.98142601401888,59.1654918315201"
"1796","0.045,0.2,2.91906094684661,46.4994492288684"
"1797","0.045,0.2,2.35041106818287,37.6537528727239"
"1798","0.045,0.2,2.87195410565665,46.9655024974116"
"1799","0.045,0.2,2.73521995898572,44.4697579538438"
"1800","0.045,0.2,2.66439115795916,47.8240929082387"
"1801","0.045,0.2,2.35966214648473,41.4961854110104"
"1802","0.045,0.2,2.62484681445192,46.3871841565235"
"1803","0.045,0.2,2.33709893221573,43.8057495666161"
"1804","0.045,0.2,3.62854399365725,49.0986391092387"
"1805","0.045,0.2,2.88211800415931,48.6936679676132"
"1806","0.045,0.2,2.13249949805103,36.3682445007955"
"1807","0.045,0.2,3.04950155104845,49.3126006841732"
"1808","0.045,0.2,5.1537802123554,54.0813844830271"
"1809","0.045,0.2,4.32617460134792,45.9235213206723"
"1810","0.045,0.2,4.8764371817181,53.2082309169926"
"1811","0.045,0.2,4.81945773653807,64.6173607066423"
"1812","0.045,0.2,2.63636764263028,45.241919775778"
"1813","0.045,0.2,2.5685466679282,40.6077958385227"
"1814","0.045,0.2,4.059825835773,46.7242679908273"
"1815","0.045,0.2,3.96613664517615,39.5861771099389"
"1816","0.045,0.2,3.02180884986818,39.0857909721672"
"1817","0.045,0.2,2.88128532379298,40.2580411412079"
"1818","0.045,0.2,4.14071831110353,47.2800239535421"
"1819","0.045,0.2,2.665807036458,49.4225893159177"
"1820","0.045,0.2,3.47552644916222,46.1642961731956"
"1821","0.045,0.2,3.36144029688741,51.5618216792442"
"1822","0.045,0.2,2.61055567741214,43.454798540684"
"1823","0.045,0.2,4.39296783113527,55.0326118249911"
"1824","0.045,0.2,2.27269736431763,39.6635379238114"
"1825","0.045,0.2,2.48440777923406,43.3097111860253"
"1826","0.045,0.2,2.94550788797278,44.3857980256633"
"1827","0.045,0.2,5.21816395321254,49.9008997832862"
"1828","0.045,0.2,2.73097641797552,42.0151107202431"
"1829","0.045,0.2,2.25855368041004,40.1913151711736"
"1830","0.045,0.2,5.10949960440178,35.9549951892823"
"1831","0.045,0.2,3.50204896167019,51.5724376651985"
"1832","0.045,0.2,3.65199241439674,47.9020167350326"
"1833","0.045,0.2,2.63898692756822,44.4457867810442"
"1834","0.045,0.2,3.74472912914078,46.820512330845"
"1835","0.045,0.2,2.85693265647291,43.2850964680993"
"1836","0.045,0.2,2.70643315427135,41.2918456103168"
"1837","0.045,0.2,2.31557592121484,38.3298614679009"
"1838","0.045,0.2,2.26558291041384,38.7050979447058"
"1839","0.045,0.2,2.37763983339197,40.4562115756378"
"1840","0.045,0.2,2.38895962342486,40.2850105120491"
"1841","0.045,0.2,4.52149886331204,50.5358479924964"
"1842","0.045,0.2,2.42105467184511,42.1143337133565"
"1843","0.045,0.2,2.73504096997871,51.3956272974749"
"1844","0.045,0.2,3.14745742181878,43.5688935620708"
"1845","0.045,0.2,2.30301199419103,38.4903750375973"
"1846","0.045,0.2,2.67638105382278,42.9475957401261"
"1847","0.045,0.2,4.74445455298426,43.5332565895915"
"1848","0.045,0.2,2.34157640184896,34.8838786942398"
"1849","0.045,0.2,2.67876181454882,37.7136481432042"
"1850","0.045,0.2,2.64660629398035,42.8979962839173"
"1851","0.045,0.2,2.49642246724253,43.3850051065831"
"1852","0.045,0.2,2.86600780607453,42.9148629770991"
"1853","0.045,0.2,2.77380183896891,40.3885924378904"
"1854","0.045,0.2,2.25581795116741,44.4718649588035"
"1855","0.045,0.2,2.73541132573359,46.9755871666201"
"1856","0.045,0.2,4.87706526409372,52.7855621711293"
"1857","0.045,0.2,2.67159961105169,47.0081015871649"
"1858","0.045,0.2,4.05906944713462,48.5794561312882"
"1859","0.045,0.2,4.01178511326113,52.2687232631199"
"1860","0.045,0.2,3.41394555651692,41.7934629515557"
"1861","0.045,0.2,3.10363017887504,36.5359639815681"
"1862","0.045,0.2,4.80000000000001,57.1500561613308"
"1863","0.045,0.2,2.34710342737673,40.5136771755095"
"1864","0.045,0.2,2.74789439533001,44.7958852812854"
"1865","0.045,0.2,3.98703140425537,57.5256471953052"
"1866","0.045,0.2,3.30949391568175,47.1798555634246"
"1867","0.045,0.2,2.36780381963231,43.3257731618973"
"1868","0.045,0.2,3.45294001609994,50.5061065473402"
"1869","0.045,0.2,2.74703941757474,48.150469735815"
"1870","0.045,0.2,2.56759730472922,50.9649797177111"
"1871","0.045,0.2,5.20010617147899,60.6857745370953"
"1872","0.045,0.2,3.34911709103782,44.3812234684906"
"1873","0.045,0.2,3.52457387189871,51.518373402389"
"1874","0.045,0.2,3.48866040619418,46.6553687610153"
"1875","0.045,0.2,2.59327255561847,40.6416372411056"
"1876","0.045,0.2,2.16347483455164,39.2024789804252"
"1877","0.045,0.2,2.5302504506793,44.4575639093929"
"1878","0.045,0.2,2.97236348404719,44.0689007202104"
"1879","0.045,0.2,2.24373046289669,40.4029035155232"
"1880","0.045,0.2,3.53480586611141,40.568919936119"
"1881","0.045,0.2,5.26769112126747,50.9788081520609"
"1882","0.045,0.2,2.43746612146873,40.11198531761"
"1883","0.045,0.2,2.52940045913568,40.0906685164458"
"1884","0.045,0.2,3.13662857107273,48.1991075419965"
"1885","0.045,0.2,2.3022498999577,40.582158616411"
"1886","0.045,0.2,4.36226989618534,52.791834554686"
"1887","0.045,0.2,3.37778927426198,42.8761233879845"
"1888","0.045,0.2,2.31523045060204,42.2624222253248"
"1889","0.045,0.2,2.35298747044757,34.16206693689"
"1890","0.045,0.2,2.50736603818394,44.7055626969578"
"1891","0.045,0.2,4.77732783324082,52.5324724023458"
"1892","0.045,0.2,4.28057504172804,46.9624226454185"
"1893","0.045,0.2,3.48582314283786,52.5538534056538"
"1894","0.045,0.2,2.62288887892278,40.2893175785909"
"1895","0.045,0.2,2.8348887919091,44.3438787438102"
"1896","0.045,0.2,3.78265345694173,49.2333276473612"
"1897","0.045,0.2,2.63498910809323,41.9905568013311"
"1898","0.045,0.2,3.4671633879447,47.4598725369037"
"1899","0.045,0.2,2.2473786756307,42.6186928981189"
"1900","0.045,0.2,2.55216773501389,40.5287439473836"
"1901","0.045,0.2,3.74806492140665,44.9499202442531"
"1902","0.045,0.2,5.22379310418433,58.7507939140248"
"1903","0.045,0.2,4.17819600646078,48.9184566311569"
"1904","0.045,0.2,2.29928299146624,36.8223652913455"
"1905","0.045,0.2,2.40158620657618,41.6120132049277"
"1906","0.045,0.2,4.34147478555227,52.3066822190561"
"1907","0.045,0.2,2.98073185944459,46.4619744558196"
"1908","0.045,0.2,2.58001651899713,40.7945534995013"
"1909","0.045,0.2,2.68857786142373,46.5586940212159"
"1910","0.045,0.2,3.52988105444028,46.7435257863978"
"1911","0.045,0.2,2.36421885354814,35.4064500316733"
"1912","0.045,0.2,4.32806858620317,56.5978651253682"
"1913","0.045,0.2,3.32947186721536,44.2287716270851"
"1914","0.045,0.2,4.56965238845535,47.2168127213649"
"1915","0.045,0.2,2.5990152132317,45.5236929326318"
"1916","0.045,0.2,2.32356589422146,37.2809086167686"
"1917","0.045,0.2,2.09772049730857,37.9872243635119"
"1918","0.045,0.2,2.7760112329421,46.6339559484067"
"1919","0.045,0.2,2.71365405948356,46.9720131323179"
"1920","0.045,0.2,3.8363106589314,49.9218144718482"
"1921","0.045,0.2,4.21610526743412,53.676575632501"
"1922","0.045,0.2,2.85744847567744,45.4762798161637"
"1923","0.045,0.2,2.86681836099946,45.2639874065355"
"1924","0.045,0.2,2.73804762721152,40.8502135523396"
"1925","0.045,0.2,2.2361893637834,37.2653619609496"
"1926","0.045,0.2,2.13398686170712,40.2406778968529"
"1927","0.045,0.2,2.71171327051114,36.1297067443731"
"1928","0.045,0.2,2.34931313317702,38.4261207919093"
"1929","0.045,0.2,4.1468357251647,50.9975602163741"
"1930","0.045,0.2,2.31951739031452,40.7439892040306"
"1931","0.045,0.2,2.58624055122425,46.5380144425111"
"1932","0.045,0.2,3.40515078507707,45.6760162303987"
"1933","0.045,0.2,2.31597977131987,39.7006415233269"
"1934","0.045,0.2,3.83338573260358,49.0463694915393"
"1935","0.045,0.2,3.3122197761064,49.2618088648095"
"1936","0.045,0.2,4.2150763922052,49.6478493869584"
"1937","0.045,0.2,4.39756386932036,53.7204212715628"
"1938","0.045,0.2,2.35957066488394,42.668862345993"
"1939","0.045,0.2,2.33898615061553,39.3804854656606"
"1940","0.045,0.2,2.71050150085361,47.2007427867916"
"1941","0.045,0.2,3.21235778777628,46.5206597162903"
"1942","0.045,0.2,2.2811926413781,43.5577622814605"
"1943","0.045,0.2,2.27947598623331,38.3036256398238"
"1944","0.045,0.2,2.25550003486072,40.7140187512138"
"1945","0.045,0.2,3.83185891372149,48.1790742420729"
"1946","0.045,0.2,2.4810841808926,42.7462533007647"
"1947","0.045,0.2,4.11705846264845,47.8222050714241"
"1948","0.045,0.2,2.47927309483153,37.8873113027745"
"1949","0.045,0.2,2.44837994529227,36.6890408658537"
"1950","0.045,0.2,2.91020353734526,47.8338435841641"
"1951","0.045,0.2,2.65476469612537,42.6954311386514"
"1952","0.045,0.2,2.79330042269069,41.3605204477038"
"1953","0.045,0.2,4.12576594284602,47.9568810852175"
"1954","0.045,0.2,4.87251398376738,61.3735788604441"
"1955","0.045,0.2,2.74344860631265,45.742642361456"
"1956","0.045,0.2,2.64913169884192,41.2940567988749"
"1957","0.045,0.2,2.53690897980918,38.5852862112308"
"1958","0.045,0.2,2.70055916375517,46.7363123411601"
"1959","0.045,0.2,3.34573069762886,43.1860868647463"
"1960","0.045,0.2,3.1291866388287,39.6072037434387"
"1961","0.045,0.2,2.83435798486622,37.5685268998403"
"1962","0.045,0.2,2.61567781362226,43.6007996324962"
"1963","0.045,0.2,2.50809182910628,46.9377975155346"
"1964","0.045,0.2,4.65936805468924,43.5696261128038"
"1965","0.045,0.2,2.39662504421253,38.6445145856668"
"1966","0.045,0.2,2.77634364632653,45.8904535624272"
"1967","0.045,0.2,2.59981644619195,48.4969340765225"
"1968","0.045,0.2,2.42721345178763,40.4490839749269"
"1969","0.045,0.2,2.44098947446068,39.6669644770746"
"1970","0.045,0.2,3.35703449177436,49.7274229244345"
"1971","0.045,0.2,2.55023545751287,45.2976354653068"
"1972","0.045,0.2,4.50854321167108,40.7793143736572"
"1973","0.045,0.2,4.21168830551366,52.4169414847107"
"1974","0.045,0.2,3.05870309877846,44.5988075067709"
"1975","0.045,0.2,2.73178632749213,48.8161176755552"
"1976","0.045,0.2,3.2899791917332,52.591387914663"
"1977","0.045,0.2,2.78469561455347,49.1811419460483"
"1978","0.045,0.2,2.41140855535911,41.9256765359271"
"1979","0.045,0.2,3.39576892715132,48.484599774717"
"1980","0.045,0.2,2.91729776358231,46.2351299206066"
"1981","0.045,0.2,2.37005254894587,40.2562092313535"
"1982","0.045,0.2,2.24791638270205,40.6045075771905"
"1983","0.045,0.2,2.64971941050032,44.6268144149018"
"1984","0.045,0.2,2.45183595995623,43.3909970881718"
"1985","0.045,0.2,3.65408643917112,42.7323056072878"
"1986","0.045,0.2,3.24936274168691,46.9227086703646"
"1987","0.045,0.2,2.79571629839359,44.8447890537608"
"1988","0.045,0.2,2.77292799245043,38.3886999600574"
"1989","0.045,0.2,5.06977697039668,53.7170079181669"
"1990","0.045,0.2,3.48206167464298,51.5932266938183"
"1991","0.045,0.2,2.62497257947501,44.1349591204062"
"1992","0.045,0.2,2.37122270957485,38.8688689210534"
"1993","0.045,0.2,3.51066025242676,46.2958287093434"
"1994","0.045,0.2,2.77400280251609,52.4524420985151"
"1995","0.045,0.2,2.86559436464947,42.5659063758822"
"1996","0.045,0.2,2.52617563441753,46.6799407157716"
"1997","0.045,0.2,2.9507816498849,39.9014858644094"
"1998","0.045,0.2,2.72120447962013,41.3096427486246"
"1999","0.045,0.2,2.67882836236159,45.9459793552897"
"2000","0.045,0.2,2.37395915671472,38.4095460719476"
"2001","0.045,0.2,3.03863055793684,43.4340752367495"
"2002","0.045,0.2,2.19674150486799,38.7623457731006"
"2003","0.045,0.2,2.97243073123902,43.5928155316424"
"2004","0.045,0.2,2.27160808601857,36.4344125430566"
"2005","0.045,0.2,2.83042519778799,40.0350559035141"
"2006","0.045,0.2,2.39902570041746,41.0571046127597"
"2007","0.045,0.2,2.77195835757193,44.2404590713256"
"2008","0.045,0.2,2.76460742049391,42.1860387035637"
"2009","0.045,0.2,2.88290492168187,49.5632959781565"
"2010","0.045,0.2,3.3424222954273,57.1153082267817"
"2011","0.045,0.2,3.0829327126492,44.9240719978413"
"2012","0.045,0.2,2.26140548998873,28.0990262309602"
"2013","0.045,0.2,2.26450874242071,34.8863036055366"
"2014","0.045,0.2,2.36200053557995,37.0262916378973"
"2015","0.045,0.2,4.05526652010535,49.6962567694155"
"2016","0.045,0.2,2.49468590452916,44.8282622029213"
"2017","0.045,0.2,2.84025008974552,46.5885263528597"
"2018","0.045,0.2,3.50358856792977,49.9861722052894"
"2019","0.045,0.2,3.46560876757925,43.605355283128"
"2020","0.045,0.2,3.3316584205741,51.0469213287421"
"2021","0.045,0.2,2.8668931674634,42.5415800917312"
"2022","0.045,0.2,2.26940323974688,42.3186493761085"
"2023","0.045,0.2,3.49423434927086,50.5669117383233"
"2024","0.045,0.2,4.75838986092501,53.2986607585025"
"2025","0.045,0.2,2.8235228401176,39.3192689722013"
"2026","0.045,0.2,2.28252165784506,36.6429651027561"
"2027","0.045,0.2,3.56872020337658,45.6729227268965"
"2028","0.045,0.2,3.2359848788741,42.4130035034608"
"2029","0.045,0.2,2.73895890582752,46.773577677417"
"2030","0.045,0.2,2.11133738324035,39.1533672929656"
"2031","0.045,0.2,2.40208892684191,40.437537929993"
"2032","0.045,0.2,3.98658908768723,51.7352865415886"
"2033","0.045,0.2,2.58909151464,41.0770340894309"
"2034","0.045,0.2,2.6577283933285,49.5347287809685"
"2035","0.045,0.2,2.3180852832744,36.5243235109715"
"2036","0.045,0.2,2.23463738916885,41.5332429177777"
"2037","0.045,0.2,4.42757813801899,53.6182295407642"
"2038","0.045,0.2,2.60091877169152,43.8573017034213"
"2039","0.045,0.2,5.20509807609545,48.8860922511392"
"2040","0.045,0.2,4.75529658717471,49.6013450385285"
"2041","0.045,0.2,2.25947717628863,39.0208772030353"
"2042","0.045,0.2,2.50008653708212,47.9004643027867"
"2043","0.045,0.2,2.37930381662232,38.9858160403146"
"2044","0.045,0.2,3.49283498253386,51.9372324519453"
"2045","0.045,0.2,2.289210368871,34.5754136872354"
"2046","0.045,0.2,5.16497476050037,46.6445022021514"
"2047","0.045,0.2,2.77470485842462,43.557755202377"
"2048","0.045,0.2,2.19562972117674,41.2022862366702"
"2049","0.045,0.2,2.86766842115866,46.3050099973609"
"2050","0.045,0.2,2.59700968341382,40.4846096732878"
"2051","0.045,0.2,2.31991073578368,43.7436832875612"
"2052","0.045,0.2,2.30357876803783,42.9662352077422"
"2053","0.045,0.2,3.29271154996568,47.9059994817434"
"2054","0.045,0.2,3.43412787282673,49.97532506587"
"2055","0.045,0.2,4.89752196360398,52.1717263760239"
"2056","0.045,0.2,2.53685777350091,44.3472325579907"
"2057","0.045,0.2,2.76764129570261,45.8342563147217"
"2058","0.045,0.2,2.71692303270161,41.4312800956065"
"2059","0.045,0.2,3.6379348586365,51.0099139704385"
"2060","0.045,0.2,2.20753406632487,37.0737089799664"
"2061","0.045,0.2,2.70611515168798,45.8100862903731"
"2062","0.045,0.2,2.61869705753785,47.4068530056537"
"2063","0.045,0.2,3.21591415219765,46.6321308184365"
"2064","0.045,0.2,2.34425579334853,45.6971616033604"
"2065","0.045,0.2,2.22271742602764,42.4558957616441"
"2066","0.045,0.2,2.55154239011358,39.5862882433026"
"2067","0.045,0.2,2.95756230583828,49.5328711315377"
"2068","0.045,0.2,2.51391939744596,39.8195697088518"
"2069","0.045,0.2,2.30472547692024,40.4444277198826"
"2070","0.045,0.2,2.27099856512257,38.7372173259481"
"2071","0.045,0.2,2.93354379071361,47.4833650883869"
"2072","0.045,0.2,2.60184998764337,40.9182569391902"
"2073","0.045,0.2,5.21986563056361,53.479850973905"
"2074","0.045,0.2,2.58188628300893,43.7071765308067"
"2075","0.045,0.2,2.26315540542333,42.0377951286625"
"2076","0.045,0.2,2.88553309629309,46.9994680582918"
"2077","0.045,0.2,3.90053083566844,54.0834291945939"
"2078","0.045,0.2,2.722332179595,43.3324529772026"
"2079","0.045,0.2,2.72579033515509,48.1269652763754"
"2080","0.045,0.2,2.4068554606758,38.4210962127852"
"2081","0.045,0.2,4.89347174408586,66.3505699560799"
"2082","0.045,0.2,2.89743818623186,43.5616402984211"
"2083","0.045,0.2,3.19715383081324,43.1152245032983"
"2084","0.05,0.2,2.65114928322245,37.4690201767327"
"2085","0.05,0.2,2.40407708085103,39.3618127570376"
"2086","0.05,0.2,2.71016085277823,44.2825446924437"
"2087","0.05,0.2,2.26040916865048,34.4604996028652"
"2088","0.05,0.2,2.66546123934151,38.4475942616631"
"2089","0.05,0.2,2.33655050900324,38.5470339281426"
"2090","0.05,0.2,3.37683182999183,47.2976899163277"
"2091","0.05,0.2,2.43138032967406,39.8408738325787"
"2092","0.05,0.2,4.08150139850219,39.3820504782551"
"2093","0.05,0.2,2.51721356324047,38.6569568841822"
"2094","0.05,0.2,2.60482834130105,45.9079675306092"
"2095","0.05,0.2,2.77327873499141,44.0930703629926"
"2096","0.05,0.2,2.55479299536535,46.4989247649155"
"2097","0.05,0.2,3.11076399102145,42.8484917996682"
"2098","0.05,0.2,2.12247167749255,38.7678894089026"
"2099","0.05,0.2,2.25044107035698,39.8191103563166"
"2100","0.05,0.2,2.52540808924788,43.6717529113708"
"2101","0.05,0.2,2.48256169006273,36.3377751977976"
"2102","0.05,0.2,2.94026018014001,41.2587894622761"
"2103","0.05,0.2,2.17406177965277,37.837631458436"
"2104","0.05,0.2,2.55890683080441,40.5299294440684"
"2105","0.05,0.2,3.39382326675839,42.9794857669374"
"2106","0.05,0.2,4.84609829091262,52.3597183648295"
"2107","0.05,0.2,2.34541102037234,40.7670338184683"
"2108","0.05,0.2,2.2938441136915,36.7173520063646"
"2109","0.05,0.2,3.25667067339863,44.917657880263"
"2110","0.05,0.2,2.29793174136054,40.4420880399948"
"2111","0.05,0.2,2.87443253382944,46.2734268846068"
"2112","0.05,0.2,2.18879569152044,40.2627459548616"
"2113","0.05,0.2,2.68703429355091,44.6224348068091"
"2114","0.05,0.2,2.75392018697239,46.2700026433906"
"2115","0.05,0.2,2.72724722947121,40.6881871311472"
"2116","0.05,0.2,2.74111850425705,40.6074017336706"
"2117","0.05,0.2,2.74036550461485,36.8251854551774"
"2118","0.05,0.2,3.74474056179641,44.8091539850027"
"2119","0.05,0.2,2.32547340849337,42.6821482227895"
"2120","0.05,0.2,2.79489375549304,41.3083779499565"
"2121","0.05,0.2,2.65634277628727,43.0367386242612"
"2122","0.05,0.2,2.42241376854762,45.0917507355894"
"2123","0.05,0.2,3.2804835587195,44.6302488227134"
"2124","0.05,0.2,2.1897284251248,39.400545584106"
"2125","0.05,0.2,2.47010655163913,44.0792796962165"
"2126","0.05,0.2,2.21463496474649,37.2173416724238"
"2127","0.05,0.2,2.6216607165177,49.9366966011913"
"2128","0.05,0.2,2.46939485784911,41.9988082382379"
"2129","0.05,0.2,2.27546997409644,38.6897789671994"
