"","Source","Year","Anomaly1y","Anomaly5y","Anomaly10y","Unc10y"
"447","CRUTEM3",1959,0.0813,NA,-0.0038,NA
"448","CRUTEM3",1960,-0.00770000000000001,NA,-0.00330000000000001,NA
"449","CRUTEM3",1961,0.1353,NA,0.0278,NA
"450","CRUTEM3",1962,0.0933,NA,0.021,NA
"451","CRUTEM3",1963,0.0983,NA,-0.00790000000000001,NA
"452","CRUTEM3",1964,-0.1957,NA,-0.0127,NA
"453","CRUTEM3",1965,-0.1087,NA,-0.00480000000000001,NA
"454","CRUTEM3",1966,-0.0297,NA,-0.0295,NA
"455","CRUTEM3",1967,-0.0267,NA,-0.047,NA
"456","CRUTEM3",1968,-0.1187,NA,-0.0324,NA
"457","CRUTEM3",1969,0.0333,NA,-0.0339,NA
"458","CRUTEM3",1970,0.0713,NA,-0.0253,NA
"459","CRUTEM3",1971,-0.1117,NA,-0.0501,NA
"460","CRUTEM3",1972,-0.0817,NA,-0.0301,NA
"461","CRUTEM3",1973,0.2443,NA,-0.014,NA
"462","CRUTEM3",1974,-0.2107,NA,-0.00180000000000001,NA
"463","CRUTEM3",1975,-0.0227,NA,0.0146,NA
"464","CRUTEM3",1976,-0.2777,NA,0.0599,NA
"465","CRUTEM3",1977,0.1733,NA,0.079,NA
"466","CRUTEM3",1978,0.0423,NA,0.0954,NA
"467","CRUTEM3",1979,0.1553,NA,0.1199,NA
"468","CRUTEM3",1980,0.2353,NA,0.1306,NA
"469","CRUTEM3",1981,0.3413,NA,0.1793,NA
"470","CRUTEM3",1982,0.1093,NA,0.1999,NA
"471","CRUTEM3",1983,0.4083,NA,0.2397,NA
"472","CRUTEM3",1984,0.0343,NA,0.2533,NA
"473","CRUTEM3",1985,0.0843,NA,0.2821,NA
"474","CRUTEM3",1986,0.2093,NA,0.2915,NA
"475","CRUTEM3",1987,0.3793,NA,0.299,NA
"476","CRUTEM3",1988,0.4403,NA,0.2849,NA
"477","CRUTEM3",1989,0.2913,NA,0.324,NA
"478","CRUTEM3",1990,0.5233,NA,0.3716,NA
"479","CRUTEM3",1991,0.4353,NA,0.3803,NA
"480","CRUTEM3",1992,0.1843,NA,0.3979,NA
"481","CRUTEM3",1993,0.2673,NA,0.4451,NA
"482","CRUTEM3",1994,0.4253,NA,0.4741,NA
"483","CRUTEM3",1995,0.5603,NA,0.4671,NA
"484","CRUTEM3",1996,0.2963,NA,0.488,NA
"485","CRUTEM3",1997,0.5553,NA,0.5452,NA
"486","CRUTEM3",1998,0.9123,NA,0.5923,NA
"487","CRUTEM3",1999,0.5813,NA,0.6201,NA
"488","CRUTEM3",2000,0.4533,NA,0.648,NA
"489","CRUTEM3",2001,0.6443,NA,0.6945,NA
"490","CRUTEM3",2002,0.7563,NA,0.716,NA
"491","CRUTEM3",2003,0.7383,NA,0.6868,NA
"492","CRUTEM3",2004,0.7033,NA,0.7021,NA
"493","CRUTEM3",2005,0.8393,NA,0.737,NA
"494","CRUTEM3",2006,0.7613,NA,0.7345,NA
"495","CRUTEM3",2007,0.7703,NA,NA,NA
"496","CRUTEM3",2008,0.6203,NA,NA,NA
"497","CRUTEM3",2009,0.7343,NA,NA,NA
"498","CRUTEM3",2010,0.8023,NA,NA,NA
"499","CRUTEM3",2011,0.6193,NA,NA,NA
