"","Z1","Z2","Z3","E1","E2","E3","M1","M2","M3","M4","V1","V2","V3","V4","V5","V6","M5","M6","V7","V8","V9"
"169",1,1.06,6.21,9.04,9.21,12.27,6.31,15.29,9.79,22.8,15.98,9.23,19.93,9.86,16.38,13.17,0,0,0,1,"6"
"170",0,9.59,8.17,NA,-9.77,-12.87,-12.46,6.19,3.66,-12.2,1.71,7.62,7.66,3.86,8.17,7.77,0,1,0,1,"1"
"171",1,2.98,5.09,-9.16,-4.84,-11.89,-14.75,-40.03,-21.16,-12.3,0.31,-1.58,-10.03,-10.44,4.83,-0.79,0,0,0,4,"1"
"172",0,-2.02,8.5,10.07,2.37,4.2,12.32,13.52,2.16,28.71,25.59,18.83,29.05,14.29,21.28,19.57,1,1,1,4,"6"
"173",1,10.28,8.11,-0.06,0.16,-4.4,-4.27,8.6,NA,-32.35,6.27,17.17,17.37,NA,8.62,3.5,0,0,1,NA,"6"
"174",1,7.19,3.12,-13.31,-2.84,-16.61,18.57,31.68,12.93,-7.35,6.54,3.17,1.62,-0.86,3.81,1.48,1,1,0,1,"1"
"175",0,4.39,7.91,5.36,4.36,8.2,-4.53,0.36,-4.39,12.54,4.7,1.85,20.7,2.58,12.81,7.19,1,0,0,2,"1"
"176",0,6.01,11.96,-16.67,-7.57,-16.43,-6.92,-15.39,0.33,-11.57,-1.79,4.63,3.46,0.61,2.26,-8.01,0,0,0,4,"1"
"177",1,2.22,3.7,10.44,-2.01,-0.53,40.28,67.61,11.05,64.59,2.66,10.06,-4.83,1.54,4.55,4.88,1,1,1,1,"1"
"178",1,1.61,6.18,10.52,1.11,6.78,22.07,39.89,20.38,28.03,4.08,0.65,-2.65,1.79,3.46,2.75,1,1,0,1,"1"
"179",0,5.11,7.96,1.41,-1.6,0.11,8.6,21.13,17.04,5.68,-2.7,0.9,-11.64,1.51,3.57,-1.7,1,1,0,1,"1"
"180",0,-6.21,7.81,2.65,1.37,1.18,25.74,20.64,28.94,56.92,10.11,0.5,15.07,3.24,3.17,6.1,1,1,1,1,"6"
"181",1,2.17,5.74,2.97,4.74,9.46,-0.38,-18.87,-9.14,-12.04,9.69,4.25,18.31,6.13,16.45,13.6,0,0,1,4,"1"
"182",1,3.02,6.8,-5.92,-5.28,-3.39,20.92,45.51,32.4,37.06,12.33,22.78,13.37,14.09,14.17,11.58,1,1,1,4,"1"
"183",0,4.19,6.3,-13.65,-1.06,-3.64,19.32,19.1,26.98,29.11,-2.8,4.57,2.16,1.87,NA,2.01,1,1,1,1,"."
"184",0,5.77,9.02,10.42,-5.2,0,-6.81,-27.73,-5.38,8.95,-0.62,0.56,-11.05,-5.24,-2.33,-9.74,0,0,0,1,"1"
"185",1,2.14,7.63,2.45,1.68,3.92,1.17,-4.58,13.49,NA,0.4,3.62,-14.36,-2.28,-10.99,-11.72,1,0,0,1,"1"
"186",0,1.2,9.83,12.09,6.93,-0.12,-11.32,-15.69,-16.61,-45.79,0.89,-1.85,-9.6,-9.51,-13.47,-8.11,0,0,0,1,"1"
"187",1,-4.96,3.87,-3.88,2.1,-3.35,-15.11,1.97,-5.18,10.06,-8.57,-3.47,-1.63,-8.07,-4.91,-8.64,0,0,0,1,"1"
"188",1,0.49,7.35,-1.81,0.77,2.81,4.61,6.52,-7.47,0.3,1.53,0.12,16.47,7.43,5.91,-2.98,1,1,1,2,"1"
"189",0,0.93,6.34,-4.05,0.48,-7.06,20.44,33.47,4.34,27.23,-1.36,13.02,-6.24,2.95,4.73,-0.02,1,1,0,1,"1"
"190",1,7.1,7.52,-10.56,0.52,-3.09,7.03,11.79,14.83,24.14,8.63,3.63,3.2,13.46,6.82,10.46,1,1,0,4,"1"
"191",0,6.6,9.65,2.75,-2.74,0.72,3.22,17.13,15.31,24.41,8.36,15.64,15.47,7.93,14.69,7.45,1,1,1,4,"1"
"192",1,7.12,5.59,-20.52,-2.45,-9.14,25.8,56.12,34.6,55.71,23.44,34.1,43.59,13.14,19,17.19,1,1,1,4,"6"
"193",1,5.75,9.01,-4.9,3.1,4.58,-6.52,-6.14,0.33,-17.27,3.52,1.07,1.89,9.2,7.81,8.6,0,1,0,4,"1"
"194",0,10.63,7.39,-6.79,-4.86,-8.61,20.01,51.42,40.55,34.56,17.11,17.26,42.68,11.05,16.58,21.38,1,1,1,4,"6"
"195",0,7.87,11.26,-10.14,-7.92,-10.11,6.56,27.25,14.02,17.32,15.92,9.39,22.07,7.34,15.44,18.24,1,1,1,4,"6"
"196",0,0.33,6.2,-18.43,-11.56,0.68,22.37,42.59,-12.23,12.76,10.48,NA,34.11,8.02,12.04,10.02,1,1,1,4,"6"
"197",1,3.93,6.25,NA,-5.48,-1.91,-24.92,-49.96,-23.6,-46.35,-11.75,-9.75,-25.81,-7.08,-8.76,-11.25,0,0,0,1,"1"
"198",1,1.98,6.43,4.53,-0.77,4.87,-12.28,-30.01,-6.63,-32.66,-9.65,-8.72,-19.84,-8.55,-10.65,-12.95,0,0,0,1,"1"
"199",0,5.87,8.79,8.04,-1.98,-1.79,-6.7,-0.79,NA,-8.39,8.22,13.82,18.28,2.34,-2.3,7.51,0,1,1,4,"1"
"200",1,-0.94,7.9,11.58,6.54,0.45,7.47,26.47,6.66,-17.42,14.28,13.23,25.5,12.26,22.46,21.71,1,0,1,4,"6"
"201",1,4.53,5.64,-3.16,-3.15,-7.62,10.95,18.88,14.35,7.63,9.7,-5.01,18.85,6.64,-4.08,3.02,1,1,1,4,"1"
"202",1,3.59,5.89,11.82,-4.31,0.35,-4.19,2.41,3.57,23.93,-0.23,-3.24,-2.23,-9.09,-8.57,-7.27,0,1,0,1,"1"
"203",1,9.55,8.5,2.17,-9.89,NA,-1.99,-5.45,-1.59,-19.58,3.24,9.56,4.15,-3.17,-3.08,-8.26,0,0,1,4,"1"
"204",0,5.46,9.33,3.48,-2.93,-5.54,-8.62,4.62,-0.05,-20.78,5.85,0.35,-8.97,6.1,-3.13,3.45,0,0,0,1,"1"
"205",0,-3.58,6.41,7.88,6.5,3.82,30.82,18.75,17.57,37.37,-4.25,-1.49,-6.23,1.42,0.33,-1.01,1,1,0,1,"1"
"206",1,2.79,9.51,-0.69,-5.54,-8.37,8,21.77,11.83,-8.4,1.39,4.7,7.94,8.08,4.61,6.21,1,0,0,4,"1"
"207",1,12.74,8.76,-23.44,-7.5,-3.73,8.22,14.01,-17.41,2.12,16.42,11.82,41.56,9.18,16.66,16.81,0,1,1,4,"6"
"208",1,5.37,6.88,-25.57,-13.22,-18.69,33.87,42.57,44.87,59.01,19.53,23.26,36.09,7.46,23.75,23.54,1,1,1,1,"1"
"209",0,-2.66,6.34,16.61,6.14,3.28,-9.13,-0.32,-3.89,-30,-15.96,-15.43,-31.94,-6.9,-18.39,-13.76,0,0,0,1,"1"
"210",0,1.87,6.12,1.4,4.62,2.88,4.52,28.24,-8.88,2.9,10.26,15.78,23.55,4.59,25.24,21.55,1,1,1,4,"1"
"211",1,2.32,6.03,-11.81,-3.13,-2.17,-6.83,1.17,-9.81,-16.34,-8.25,-1.07,-7.05,-4.44,-10.94,-12.35,0,0,0,3,"1"
"212",1,2.83,4.75,-3.66,-2.7,-8.55,-11.61,-28.88,6.09,-4.59,-9.98,-8.29,-24.27,-2.68,-17.77,NA,0,0,0,1,"1"
"213",1,1.74,6.63,17.88,2.09,9.56,4.36,-1.39,-14.09,1.47,5.48,14.91,17.44,5.75,8.12,13.94,0,1,1,4,"1"
"214",1,6.22,7.97,-23.2,-4.87,0.69,6.14,3.5,17.58,22.7,13.17,10.73,24.5,10.07,16.11,8.69,1,0,1,4,"1"
"215",0,-2.85,7.94,-8.22,0.27,0.8,-9.96,-8.12,-2.97,-13.81,2.75,1.92,-5.58,5.91,12.96,2.87,1,0,0,2,"1"
"216",1,2.3,6.4,-0.51,-5.18,-2.82,13.63,19.5,17.5,-0.52,9.83,11.36,25.05,15.05,21.01,17.11,0,1,1,1,"6"
"217",0,1.15,6.78,9.78,-2.64,-5.23,12.94,2.11,9.16,19.86,5.33,-3.11,5.11,2.31,1.36,2.99,1,1,0,1,"1"
"218",1,13.03,11.58,-25.49,-8.52,-7.04,NA,27.81,17.67,26.54,8.01,14.97,25.81,4.78,18.67,2.23,NA,1,1,4,"1"
"219",0,0.15,6.46,-15.5,-6.32,-5.88,-13.58,-20.54,-1.4,-20.72,-5.91,-10.29,-14.51,-4.21,-8.55,-2.21,0,0,0,1,"1"
"220",0,-5.51,8.6,0.28,5.35,0.08,-24.21,-36.62,-30.09,-45.65,3.72,-4.02,-3.89,-3.44,-0.86,5.46,0,0,0,1,"1"
"221",1,5.25,9.78,4.29,-5.7,-0.94,7.04,17.03,11.61,4.95,-0.63,2.08,8.13,2.7,5.18,2.66,1,1,1,1,"1"
"222",0,3.15,6.26,-17.19,-9.86,-13.54,19.3,19.48,17.73,3.58,8.37,5.19,9.01,NA,8.4,3.07,1,1,1,NA,"1"
"223",1,13.43,10.13,-16.51,-5.41,-8.06,-3.11,-21.81,-7.07,-24.31,12.32,11.46,23.32,5.97,15.17,17.89,0,0,1,2,"1"
"224",0,-3.12,2.42,19.44,8.97,6.84,10.95,-2.66,12.69,26.44,-4.05,-1.3,-3.95,3.92,-2.55,3.76,0,1,0,1,"1"
"225",1,10.39,5.78,-3.62,-3.95,-6.1,10.99,NA,4.02,23.8,22.41,31.71,51.24,15.52,23.79,25.7,1,NA,1,4,"6"
"226",0,1.98,6.74,-3.03,1.34,-1.29,16.49,17.4,1.76,16.58,10.93,14.66,16,3.99,15.9,11.72,1,1,1,4,"1"
"227",1,8.62,10.24,-14.71,-7.98,-2.18,4.6,27.65,24.55,3.89,-4.44,-3.06,-9.7,-2.12,-15.43,-11.78,1,1,0,1,"1"
"228",0,-5.83,4.4,11.08,4.45,-3.54,-18.86,-40.6,-30.16,-23.2,-17.8,-3.85,-16.96,-0.42,-2.14,-6.11,0,0,0,1,"1"
"229",1,4.73,11.13,2.02,-4.67,0.44,-0.03,5.95,5.13,-5.59,-5.38,-0.46,-0.34,-6.72,-3.65,-7.36,0,0,0,2,"1"
"230",1,5.41,9.46,-8.66,-3.76,-11.86,2.59,0.66,1.93,6.28,11.74,4.4,12.66,1.8,15.58,10.56,0,0,1,4,"1"
"231",1,-1.02,5.21,3.02,7.14,0.5,-0.66,-8.99,-10.68,-15.96,-15.04,-17.02,-13.99,-11.24,-18.73,-15.44,0,0,0,1,"1"
"232",0,-4.26,3.79,4.82,-4.19,-1.9,-5.73,-4.93,-5.88,15.45,10.54,5.68,10.99,4.33,7.29,-0.42,1,0,1,1,"1"
"233",0,-6.93,5.52,5.02,7.51,4.87,-14.87,-22.31,-14.76,-16.83,-2.8,4,2.29,1.53,-2.95,1.44,0,0,1,3,"1"
"234",0,5.31,8.61,-5.24,-1.18,-0.58,21.08,24.27,10.34,30.74,14.26,14.9,32.37,4.71,10.86,10.02,1,1,1,3,"1"
"235",0,4.17,3.8,-14.01,-0.49,-3.37,5.32,NA,7.76,10.46,-0.01,3.42,-0.26,-1.59,4.02,-0.6,0,NA,0,1,"1"
"236",0,-8.28,7,24.24,16.67,10.78,-2.43,-8.64,-7.56,-10.75,2.53,-1.39,2.59,6.21,-5.9,8.33,0,0,0,1,"1"
"237",1,-2.54,4.73,-12.23,-3.12,-5.31,6.84,12.85,16.31,-15.21,0.77,14.26,17.24,8.6,10.74,15.01,0,0,1,2,"1"
"238",0,10.65,10.41,-10.97,-7.07,-6.61,14.8,26.89,20.66,18.89,6.81,11.84,3.12,0.47,0.94,6.74,1,1,1,4,"1"
"239",0,-3.5,5.38,2.73,-0.94,1.29,-16.99,-14.99,-13.02,-28.06,-7.32,-2.09,2.02,1.92,-12.65,-2.49,0,0,0,2,"1"
"240",0,1.85,9.13,11.43,4.85,2.77,-28.69,-31.56,-27.02,-53.03,-1.26,-9,-17.16,4.65,-8.67,-3.88,0,0,0,2,"1"
"241",0,2.73,7.12,3.68,-1.5,NA,13.45,28.67,9.79,13.23,12.28,17.92,36.68,14.29,17.33,30.06,1,1,1,4,"1"
"242",0,7.71,5.66,-5.43,-2.92,0.41,12.38,8.71,-3.52,-7.4,0.56,-2.43,-22.27,-5.63,-9.68,-5.29,1,1,0,1,"1"
"243",1,1.34,5.53,6.88,3.72,5.48,-1.2,NA,-14.3,-19.6,1.64,6.59,19.06,-4.6,1.26,4.44,0,NA,0,1,"1"
"244",1,1.72,9.89,14.8,2.63,8.28,10.7,-13.23,1.81,20.66,7.88,2.3,-1.67,5.79,19.93,18.47,0,1,1,4,"6"
"245",0,4.02,8.13,-8.41,-5.8,-5.12,-13.07,-11.16,-8.59,-0.23,-4.43,-11.04,-7.6,-5.96,-2.08,-3.72,0,0,0,1,"1"
"246",0,0.99,7.29,9.8,-0.44,5.95,11.58,-0.28,10.69,-13.89,-7.95,-1.84,-20.75,3.76,-3.39,-4.61,1,0,0,1,"1"
"247",1,-1.3,5.16,-2.17,0.85,4.46,8.95,27.17,8,36.64,6.78,6.18,5.27,1.2,NA,2.64,1,1,1,1,"."
"248",0,7.77,8.8,-9.46,-8.95,-14.84,1.76,25.92,3.45,11,NA,13.93,29.11,3.41,13.37,12.95,1,1,1,4,"6"
"249",0,-0.33,7.98,0.01,-0.32,-6.24,-3.3,-9.47,28.01,-1,16.95,17,35.34,18.08,23.66,16.16,1,1,1,4,"6"
"250",1,2.23,8.96,-10.42,5.22,-0.31,9.62,22.13,-3.28,33.26,-0.74,-1.85,-2.36,-1.18,-2.74,-1.74,1,1,0,2,"1"
"251",0,-3.04,8.11,-9.47,-0.19,-3.82,4.8,23.24,25.08,26.2,7.14,8.75,1.64,1.61,-3.36,-4.83,1,1,1,4,"1"
"252",1,2.13,6.47,6.1,3.45,-3.64,-0.12,1.52,20.41,-3.41,5.84,0.45,3.51,6.9,11.56,9.21,0,0,0,2,"1"
"253",0,7.31,7.84,0.69,-4.87,-8.03,5.39,1.84,9.15,35.93,12.44,17.87,28.28,10.4,16.24,20.02,0,1,1,2,"1"
"254",1,0.34,7.21,-12.38,-9.15,-3.76,18.73,10.05,0.39,31.29,14.95,20.01,37.82,17.25,23.33,15.74,1,1,1,4,"6"
"255",1,3.86,7.65,3.22,1.42,-4.59,-3.66,0.25,4.93,-4.93,-6.05,4.96,-10.34,5.18,-0.41,1.07,0,0,0,1,"1"
"256",0,1.43,1.2,-12.5,-9.54,-3.78,-1.23,-0.1,-9.4,25.59,-11.32,-11.08,-22.55,-7.54,-0.4,4.99,0,1,0,2,"1"
"257",1,7.05,5.95,-25.84,-10.14,-14.59,23.65,37.33,20.95,64.07,10.96,7.95,12.09,8.43,8.69,16.84,1,1,0,3,"1"
"258",1,11.04,8.49,-18.5,-3.64,-1.71,29.78,21.56,31.04,35.46,28.76,25.05,47.06,16.97,17.99,18.89,1,1,1,4,"6"
"259",0,-5.4,4.74,-3.11,-0.62,-2.11,12.27,14.34,11.7,23.19,-6.65,3.4,-13.65,-9.01,-9.06,-10.62,1,1,0,4,"1"
"260",1,3.02,7.7,7.54,-1.25,-1.11,-4.16,0.88,-3.05,-25.14,NA,7.76,5.49,7.19,19.67,9.01,0,0,0,1,"1"
"261",0,-5.26,4.3,17.37,11.83,13.25,-28.48,-23.81,-8.19,-55.73,-7.16,-5.53,-13.83,0.65,-1.44,-5.87,0,0,0,1,"1"
"262",0,3.61,8.97,-5,-5.87,-8.92,-14.52,-9.39,2.36,0.82,-1.81,5.36,-2.24,NA,-7.14,-2.3,0,0,1,NA,"1"
"263",1,-0.5,3.54,7.37,2.92,11.47,13.25,7.71,4.17,30.87,-3.28,-1.08,-10.43,-4.57,-7.4,-6.97,1,1,0,2,"1"
"264",1,7.25,10.52,-14.45,-10.78,-7.55,8.46,29.67,10.09,19.34,5.31,10.65,13.28,3.67,-3.88,7.9,1,0,1,3,"1"
"265",0,-1.24,9.38,-3.91,-0.09,1.97,-14.63,-2.06,-3.44,4.9,-3.73,-3.6,-3.55,1.36,26.58,7.59,0,0,0,1,"1"
"266",1,8.44,5.79,-5.84,-4.64,-7.57,18.59,36.99,8.6,39.28,29.82,26.33,54.48,21.29,20.84,27.76,1,1,1,4,"6"
"267",0,2.29,4.16,-14.08,-3.8,-0.91,14.63,4.33,7.81,27.21,2.27,-0.81,-6.46,-1.43,-6.93,0.83,1,1,0,1,"1"
"268",1,2.03,8.26,-2.02,-0.14,2.31,-14.79,-5.38,14.15,-23.15,5.55,2.69,4.84,-4.75,-7.61,-1.11,0,0,1,1,"1"
"269",1,5.78,5.09,19.34,0.31,-3.67,3.73,-5.58,3.54,0.06,1.4,3.94,3.86,-1.34,-6.75,-5.04,0,1,0,4,"1"
"270",0,1.97,7.65,2.17,-1.38,-2.83,-11.23,-32.94,-38.82,-49.36,9.17,8.92,-3.2,9.56,1.92,6.63,0,0,0,4,"1"
"271",1,1.79,7.18,-3.74,-1.31,5.36,16.36,21.37,15.99,32.03,2.38,13.12,-0.82,3.72,1.27,-4.41,1,1,0,3,"1"
"272",1,8.62,6.61,-6.56,-8.82,-8.8,-0.47,-10.8,NA,-18.65,7.42,14.45,18.89,5.6,-7.47,-1.51,1,0,1,4,"1"
"273",0,6.3,10.15,-25.18,-10.64,-19.05,12.37,-5.85,12.33,18.61,15.82,18.41,21.03,1.91,9.37,14.72,1,0,1,4,"6"
"274",0,-4.16,4.01,-15.81,-0.01,-3.81,-4.9,-38.54,-28.85,-40.21,-14.77,-13.74,-41.24,-6.12,-11.59,-20.07,0,0,0,1,"1"
"275",1,-10.49,6.42,14.3,2.7,1.16,-10.59,-30.18,3.52,-21.38,-5.67,-11.3,-26.97,-0.93,-21.42,-16.7,0,0,0,1,"1"
"276",0,-0.56,7.52,-3.12,-6.98,0.23,8.18,26.73,9.65,35.87,20.35,11.9,30.87,16.82,20.31,17.15,1,1,1,4,"6"
"277",1,9.29,10.23,-10.37,-6.05,NA,27.27,35.13,38.42,74,34.41,29.28,62.77,21.79,NA,30.1,1,1,1,4,"."
"278",0,2.74,4.36,6.31,3.18,6.11,3.63,-0.22,1.2,-4.14,2.97,-2.61,20.29,4.79,14.35,11.44,0,1,1,1,"1"
"279",0,0.29,4.82,-1.75,3.76,NA,8.26,-10.26,21.25,8.52,9.69,8.34,30.56,12.99,6.05,18.87,0,0,1,4,"6"
"280",1,9.93,9.11,-9.51,3.83,0.24,2.83,-9.66,1.73,14.98,2.39,8.72,20.59,1.07,7.53,5.7,0,1,1,1,"1"
"281",1,8.51,7.18,-6.86,-7.82,-6.8,31.41,37.63,34.37,25.81,23.7,27.74,55.67,19.84,27.12,24.55,1,1,1,4,"6"
"282",1,5.8,9.01,-4.67,1.26,-1.05,-4.42,-10.19,-11.13,4.11,2.39,3.53,NA,-3.08,0.29,-6.3,1,0,NA,1,"1"
"283",1,12.42,7.73,-12.29,-5.06,-9.66,3.45,12.32,-16.46,13.59,14.71,5.11,34.74,7.39,29.09,18.53,0,0,1,4,"6"
"284",1,7.05,6.62,4.02,4.34,-1.23,0.61,4.34,-0.88,-11.69,15.63,16.05,32.98,9.9,12.97,14.96,0,0,1,4,"6"
"285",1,4.12,6.84,-2.75,3.04,7.16,8.71,19.07,8.57,-5.9,-0.84,5.36,-2.69,-4.72,-1.71,-6.34,0,1,1,1,"1"
"286",0,2.76,8.44,25.13,11.2,0.1,7.35,14.73,14.59,7.26,14.82,23.27,38.67,12.13,10.97,15.89,1,1,1,4,"6"
"287",1,0.64,7.7,2.35,2.6,1.96,0.02,9.56,-1.65,11.44,7.7,7.36,16,4.79,10.91,0.14,1,1,0,4,"6"
"288",1,1.66,8.03,-8.43,-3.37,-4.98,1.13,7.2,-0.91,-1.8,3.54,6.11,-1.77,-2.98,-1.97,1.6,1,1,0,2,"1"
"289",1,5.51,4.21,-3.78,-6.81,-7.84,-19.72,-11.71,13.4,-39.46,-7.42,-18.84,-25.27,-4.92,-4.21,-4.09,0,0,0,1,"1"
"290",0,1.61,6.84,-9.36,-10.32,-10.67,-1.43,-2.67,-14.31,-28.57,2.85,-3.66,8.96,6.34,6.51,11.64,0,0,0,3,"1"
"291",0,1.57,6.24,3.55,2.83,-2.01,-1,-1.78,-2.92,-31.88,-7.43,0.12,3.33,-2.5,9.64,-0.06,0,0,0,1,"1"
"292",0,-0.94,5.94,-6.57,2.57,-1.29,1.66,15.89,16.32,1.04,5.53,10.53,-0.32,4.83,14.56,4.54,1,1,1,3,"1"
"293",1,2.02,5.3,-0.33,1.21,-7.77,-5.48,-17.99,11.41,-23.08,6.93,6.02,10.06,4.71,9.35,7.51,0,0,1,1,"1"
"294",0,-5.72,3.31,13.69,2.57,6.56,10.75,6.81,36.49,34.18,7.63,-0.64,6.05,4.36,8.34,7.89,1,1,1,3,"1"
"295",1,2.56,7.53,2.75,1.88,-7.18,10.02,-0.7,-23.33,-1.79,-1.41,-6.31,-7.53,9.56,11.13,0.92,1,1,0,2,"1"
"296",0,-1.42,9.24,4.58,4.64,9.36,-14.41,-27.03,NA,-51.96,-4.53,2.57,-0.38,-11.8,-7.27,-9.19,0,0,0,1,"1"
"297",0,0.64,6.28,-0.45,5.5,4.01,-1.8,-13.19,5.35,-5.81,5.27,13.71,10.95,-4.21,2.01,-2.29,1,0,1,3,"1"
"298",1,5.46,9.35,2.81,3.05,-2.22,-2.92,-16.12,-10.65,-11.85,-6.54,-2.48,0.5,-1.57,-7.98,-3.65,0,0,0,1,"1"
"299",1,4.7,5.85,-6.74,1.4,-2.76,10.98,51.25,35.96,32.38,10.7,NA,7.16,6.64,8.46,10.23,1,1,1,1,"1"
"300",0,0.91,6.19,-15.64,-12.29,-9.39,-1.22,-9.57,6.66,-23.64,0.48,0.5,-5.55,0.22,-1.92,3.56,0,0,0,1,"1"
"301",1,3.53,5.18,-11.68,-4.84,-9.81,-4.37,-16.41,0.22,-14.17,5.9,10.84,-4.81,3.6,-8.8,NA,1,0,1,1,"6"
"302",0,3.98,6.49,-12.01,-2.48,2.94,-24.68,-40.37,-49.23,-72.63,-13.3,-12.81,-22.76,-8.25,-13.62,-10.61,0,0,0,1,"1"
"303",1,10.3,5.24,-15.32,-8.15,-8.43,11.85,18.77,4.82,31.06,-3.26,0.12,5.29,4.8,6.46,3.8,1,1,0,3,"1"
"304",0,7.62,6.91,-1.88,-0.63,-1.3,-12.25,-33.38,-1.09,-47.07,-22.09,-26.3,-42.03,-4.54,-7.75,-10.28,0,0,0,1,"1"
"305",1,11,7.48,-31.97,-8.34,-14.89,26.59,13.15,28.54,24.01,-2.45,9.04,13.02,-5.37,-0.45,2.05,1,1,1,4,"1"
"306",0,0.27,10.84,15.19,-2.28,-8.9,-11.69,-28.02,-0.02,-15.74,-2.04,-0.34,-5.24,NA,-3.96,-7.23,0,0,0,NA,"1"
"307",0,-1.09,6.97,8.7,3.08,3.6,2.75,-1.88,-13.42,-10.75,2.83,7.77,14.93,3.47,8.49,9.4,0,1,1,1,"1"
"308",1,4.95,5.6,7.67,-5.43,0.83,18.55,9.85,2.96,21.22,16.64,10.71,22.82,7.36,8.04,21.88,1,1,1,4,"6"
"309",0,2.72,4.38,-11.69,-1.3,-1.62,-12.33,-16.31,-19.45,-13.99,8.69,7.66,12.33,11.79,24.54,8.49,0,0,1,3,"1"
"310",1,10.12,9.61,-8.32,-7.21,-4.03,NA,-15.25,-21.72,-27.01,10.85,2.05,12.99,6.19,-1.58,5.67,NA,0,1,4,"1"
"311",1,0.27,9.34,0.98,5.75,8.1,-6.93,-13.37,-7.53,-10.94,7.67,6.15,5.01,1.76,9.51,5.29,0,0,0,4,"1"
"312",0,-4.19,1.73,9.64,-2.81,7,10.43,27.44,14.45,-10.79,2.97,3.84,12.03,4.23,1.57,9.55,1,1,0,4,"1"
"313",0,-1.35,6.93,-5.09,-0.12,2.02,-32.19,-66.91,-23.27,-66.79,-7.01,-7.34,-11.27,-4.24,-10.82,-7.99,0,0,0,1,"1"
"314",0,-0.83,9.01,-1.03,-8.85,-9.85,-10.97,1.85,1.67,0.07,2.01,0.35,21.54,-2.39,-5.63,3.01,0,0,0,4,"1"
"315",0,3.62,6.53,4.93,-4.4,-3.27,-3.91,8.7,26.34,9.9,1.21,1.99,1.85,-8.79,-0.65,-9.44,1,1,0,1,"1"
"316",1,6.72,10.78,0.24,0.16,-4.96,12.81,40.95,10.3,28.89,8.82,1.97,19.37,8.85,8.91,13.28,1,1,1,1,"1"
"317",0,4.12,7.12,-11.49,-3.44,-10.82,18.21,32.71,9.61,42.05,7.4,20.67,20.62,12.16,16.49,NA,1,1,1,4,"6"
"318",0,1.72,8,2.81,3.91,2.81,18.89,26.88,NA,43.66,4.82,11.34,19.37,7.77,18.42,8.68,1,1,1,4,"1"
"319",0,2.23,5.59,-9.24,-5.58,-3.7,4.44,-1.52,13.76,3.64,8.84,2.57,10.52,-0.92,-2.68,1.88,1,1,1,3,"1"
"320",1,5.56,14.29,12.49,3.59,4.04,-14.18,-9.78,-20.83,-21.47,-7.9,-4.88,-13.95,-8,-12.55,-12.31,0,0,0,1,"1"
"321",0,-0.83,8.59,-17.64,-2.55,1.7,-1.51,3.81,-5.5,11.74,-3.44,-5.35,-1.68,1.04,7.46,1.43,0,0,0,1,"1"
"322",0,7,7.01,-21.29,-8.48,-15.05,19.32,16,41.32,34.74,13.5,27.82,46.23,6.15,19.72,12.73,1,1,1,4,"6"
"323",1,4.88,6.68,-8.96,-6.21,NA,17.25,18.84,32.39,49.9,16.64,13.17,29.11,15.49,NA,19.78,1,1,1,4,"."
"324",1,-0.61,6.57,-5.76,-1.04,-4.31,18.48,12.76,10.46,-2.13,-9.29,-13.09,-24.08,-8.5,-2.97,-0.22,1,1,0,1,"1"
"325",0,-4.39,3.29,9.98,2.93,2.81,-23.75,-25.25,-24.59,-53.19,-15.07,-19.26,-9.99,-5.78,-17.76,-8.47,0,0,0,1,"1"
"326",0,1.6,5.03,13.76,9.78,12.63,-19.01,-17.27,-15.93,3.3,-12.22,-9.9,-29.87,-12.31,-19.28,-16.98,0,0,0,1,"1"
"327",0,1.55,6.77,-3.7,-4.5,-9.53,-5.56,2.8,4,4.79,-1.58,4.71,7.54,-3.69,-11,-10.99,0,0,0,1,"1"
"328",0,-0.55,9.18,23.22,3.84,1.9,19.95,31.96,49.2,46.37,8.53,3.04,18.83,8.45,NA,14.56,1,1,1,4,"."
"329",1,-3.65,4.39,-4.64,0.76,2.93,6.28,-4.47,10.23,-6.25,10.85,5.61,7.74,6.42,14.13,16.83,0,1,1,4,"1"
"330",0,1.89,8.56,-16.18,-9.64,-10.05,6.87,19.12,6.31,16.85,4.19,8.21,-0.39,6.69,0.75,7.07,1,1,1,4,"1"
"331",1,3.72,8.29,-12.01,-8.9,-7.45,11.33,17.64,22.76,7.36,-3.75,3.18,-7.75,-3.95,-9.4,-15.13,1,1,1,1,"1"
"332",0,5.57,9.37,NA,1.22,3.38,-10.84,9.23,-4.18,14.93,-1.71,-7.33,-12.54,-0.78,0.2,-2.66,1,0,0,1,"1"
"333",0,4.2,9.01,2.71,-1.58,-0.1,6.46,17.61,4.91,8.39,-2.4,-8.89,9.9,NA,12.48,3.19,1,1,0,NA,"1"
"334",0,3.11,6.94,7.18,3.44,3.68,11.86,13.12,5.64,20.28,2.72,-7.2,-7.61,3.19,10.77,3.06,1,1,0,3,"1"
"335",0,-1.59,5.46,5.87,2.71,-2.57,-9.55,-8.63,-14.03,-22.75,4.56,7.59,12.96,0.59,7.55,10.05,0,0,0,1,"1"
"336",1,5.57,8.48,16.28,6.38,10.35,2.63,-17.87,22.19,44.69,17.33,11.75,29.86,11.75,13.6,17.76,1,1,1,4,"6"
"337",1,10.85,12.23,-10.48,-1.66,-3.79,17.59,NA,8.44,-19.36,NA,-1.47,15.82,12.5,11.15,17.07,1,NA,1,4,"1"
