"","day","month","year","hour","minute","second","latitude","longitude","depth","magnitude"
"450",29,3,1996,21,40,23,42.81,-7.23,5,3.1
"451",29,3,1996,21,45,46,42.84,-7.29,16,2.8
"452",29,3,1996,21,57,11,42.78,-7.26,NA,2.9
"453",29,3,1996,22,11,3,42.82,-7.27,4,2.9
"454",30,3,1996,1,4,56,42.8,-7.23,9,2.7
"455",4,4,1996,10,2,40,42.78,-7.22,3,2.9
"456",4,4,1996,10,5,21,42.8,-7.2,18,3.4
"457",4,4,1996,10,9,30,42.76,-7.24,9,2.9
"458",4,4,1996,10,12,13,42.81,-7.2,9,2.8
"459",4,4,1996,16,26,24,42.84,-7.25,9,3.5
"460",5,4,1996,0,1,53,42.16,-7.6,12,2.9
"461",9,4,1996,1,12,54,42.44,-7.87,13,3
"462",12,4,1996,4,27,39,42.81,-7.24,14,3
"463",13,4,1996,7,43,55,42.8,-7.29,5,3.2
"464",15,4,1996,20,28,8,42.8,-7.28,7,3.4
"465",16,4,1996,10,27,22,42.82,-7.25,6,3
"466",21,4,1996,3,53,14,42.81,-7.23,1,2.9
"467",25,4,1996,17,14,45,42.74,-7.66,9,3.5
"468",28,4,1996,21,12,34,42.81,-7.21,13,2.3
"469",28,4,1996,21,35,16,42.83,-7.22,7,2.9
"470",28,4,1996,21,45,36,42.8,-7.26,9,2.8
"471",28,4,1996,22,41,51,42.8,-7.25,8,3.3
"472",28,4,1996,22,44,7,42.8,-7.25,9,2.3
"473",28,4,1996,22,55,42,42.81,-7.28,9,2.7
"474",28,4,1996,22,58,49,42.79,-7.25,9,2.5
"475",5,5,1996,16,17,52,42.79,-7.23,NA,2.3
"476",8,5,1996,18,6,35,43.08,-8.39,9,2.9
"477",28,5,1996,16,47,28,42.82,-7.25,4,3.1
"478",1,6,1996,1,12,14,42.32,-8.07,16,3.3
"479",6,6,1996,22,24,3,42.82,-7.25,3,3.2
"480",8,6,1996,11,49,54,41.76,-8.3,12,3.4
"481",2,7,1996,3,10,39,42.83,-7.24,3,3.1
"482",2,7,1996,3,11,10,42.81,-7.27,NA,3.1
"483",2,7,1996,7,45,38,42.13,-7.82,2,3.6
"484",2,7,1996,13,10,39,42.8,-7.2,NA,2.3
"485",2,7,1996,13,11,9,42.82,-7.19,NA,2.3
"486",21,7,1996,6,46,9,42.81,-7.23,14,2.9
"487",26,7,1996,10,52,52,43.02,-8.46,10,2.4
"488",26,7,1996,15,5,41,42.84,-7.23,NA,2.5
"489",7,8,1996,15,57,4,42.82,-7.14,8,3
"490",7,8,1996,17,50,25,42.81,-7.18,17,2.9
"491",9,8,1996,18,3,3,42.26,-7.75,13,2.9
"492",9,8,1996,18,45,39,43.06,-8.35,2,3.5
"493",10,8,1996,19,11,44,43.1,-8.43,9,2.9
"494",11,8,1996,11,15,35,42.82,-7.22,3,2.9
"495",12,8,1996,15,3,26,42.84,-7.19,5,3.2
"496",20,8,1996,3,10,5,42.69,-7.68,3,2.8
"497",22,8,1996,2,58,46,42.82,-7.19,6,2.4
"498",29,8,1996,8,10,25,42.82,-7.32,NA,3.1
"499",1,9,1996,6,17,2,43.53,-7.36,22,2.9
"500",24,9,1996,8,6,19,42.81,-7.22,NA,2.7
"501",28,9,1996,17,7,31,42.42,-8.09,15,3
"502",29,9,1996,7,45,8,42.44,-8.09,NA,2.4
"503",29,9,1996,11,10,43,42.8,-7.17,NA,2.6
"504",2,10,1996,9,30,5,42.81,-7.2,10,2
"505",13,10,1996,3,51,2,43,-6.02,14,3.1
"506",18,10,1996,21,59,9,42.8,-7.18,7,2
"507",26,10,1996,14,53,13,42.79,-7.21,14,2.1
"508",29,10,1996,16,51,22,42.81,-7.24,NA,3.2
"509",29,10,1996,16,54,51,42.82,-7.2,9,3.2
"510",29,10,1996,19,38,4,42.83,-7.22,NA,4.1
"511",29,10,1996,19,43,57,42.81,-7.22,9,2.2
"512",29,10,1996,19,51,7,42.8,-7.23,13,2.5
"513",29,10,1996,19,53,36,42.81,-7.26,5,3.1
"514",29,10,1996,19,55,35,42.8,-7.27,1,2.8
"515",29,10,1996,20,13,29,42.79,-7.21,5,2.9
"516",29,10,1996,20,43,21,42.81,-7.24,6,2.1
"517",29,10,1996,21,34,50,42.84,-7.23,6,3.3
"518",29,10,1996,21,57,26,42.8,-7.23,7,2.6
"519",29,10,1996,22,0,37,42.84,-7.28,6,3
"520",29,10,1996,22,3,17,42.83,-7.19,7,2.1
"521",30,10,1996,0,33,36,42.8,-7.22,4,3.2
"522",30,10,1996,5,32,31,42.82,-7.23,5,2.5
"523",30,10,1996,6,56,26,42.83,-7.22,4,2.4
"524",30,10,1996,17,57,5,42.34,-6.85,3,2.6
"525",1,11,1996,15,46,20,42.8,-7.27,5,2.8
"526",4,11,1996,8,10,46,43.19,-7.3,3,3.2
"527",13,11,1996,0,37,41,42.8,-7.25,4,3
"528",13,11,1996,1,32,18,42.8,-7.23,6,3.2
"529",17,11,1996,0,8,7,42.78,-7.24,9,2.8
"530",24,11,1996,8,31,25,41.95,-7.54,13,2.9
"531",4,12,1996,3,59,36,42.82,-7.01,3,3
"532",9,12,1996,3,37,38,42.71,-7.67,2,2.9
"533",9,12,1996,4,5,19,42.7,-7.68,3,2.8
"534",11,12,1996,0,12,13,42.88,-8.34,NA,3.5
"535",12,12,1996,15,8,18,42.87,-6.31,NA,3
"536",28,12,1996,0,2,44,42.82,-7.22,2,3.1
"537",28,12,1996,0,6,37,42.85,-7.19,6,2.7
"538",6,1,1997,11,10,55,42.24,-8.07,6,2.9
"539",18,1,1997,12,38,44,42.62,-8.29,19,3.2
"540",18,1,1997,17,51,1,42.79,-7.21,2,2.2
"541",18,1,1997,18,39,6,42.84,-7.22,6,2.8
"542",18,1,1997,18,39,19,42.81,-7.19,NA,2.5
"543",18,1,1997,18,42,36,42.83,-7.22,NA,3
"544",18,1,1997,19,21,40,42.83,-7.18,NA,2.6
"545",20,1,1997,4,5,11,42.83,-7.18,5,2.8
"546",29,1,1997,1,58,35,42.8,-7.2,9,2.8
"547",29,1,1997,1,58,48,42.81,-7.24,17,3.2
"548",3,2,1997,22,9,56,42.83,-7.27,8,3.6
"549",3,2,1997,22,21,2,42.79,-7.24,7,3
"550",4,2,1997,11,16,8,42.79,-7.23,12,3.3
"551",4,2,1997,11,17,1,42.77,-7.23,12,3.2
"552",4,2,1997,13,45,9,42.85,-7.29,17,3.9
"553",4,2,1997,13,47,57,42.8,-7.25,3,3.6
"554",4,2,1997,13,49,50,42.8,-7.06,25,3.4
"555",4,2,1997,13,51,11,42.79,-7.22,8,3.2
"556",4,2,1997,13,55,40,42.79,-7.24,4,3.5
"557",8,2,1997,1,58,12,42.83,-7.25,4,3.3
"558",9,2,1997,7,8,18,42.92,-7.17,5,3.3
"559",23,2,1997,15,13,33,42.79,-6.78,9,3.3
"560",6,3,1997,18,16,5,42.22,-8.75,22,2.8
"561",11,3,1997,21,24,25,43.4,-8.46,8,3.2
"562",14,3,1997,22,43,2,42.8,-7.22,5,2.6
"563",15,3,1997,6,59,1,42.78,-7.27,15,2.8
"564",19,3,1997,4,12,5,42.83,-7.25,NA,2.5
"565",19,3,1997,4,13,14,42.83,-7.21,2,3
"566",19,3,1997,4,32,54,42.78,-7.25,2,2.7
"567",19,3,1997,4,34,21,42.8,-7.28,NA,2.8
"568",19,3,1997,4,35,1,42.81,-7.27,2,3.1
"569",19,3,1997,4,35,25,42.76,-7.28,NA,2.6
"570",19,3,1997,5,4,35,42.85,-7.23,4,3.2
"571",19,3,1997,6,27,17,42.73,-6.87,8,2.7
"572",19,3,1997,6,47,48,42.83,-7,18,2.5
"573",19,3,1997,6,57,15,42.81,-7.25,NA,2.5
"574",19,3,1997,6,57,58,42.82,-7.22,9,2.8
"575",19,3,1997,10,31,53,43.24,-8.69,17,2.3
"576",19,3,1997,16,40,44,42.18,-8.04,NA,2.6
"577",19,3,1997,18,23,29,42.06,-6.82,NA,2.9
"578",21,3,1997,13,28,39,42.26,-7.82,NA,2.6
"579",26,3,1997,11,42,33,42.51,-7,24,3
"580",7,4,1997,21,36,18,42.24,-7.43,5,3.3
"581",8,4,1997,17,10,44,42.7,-7.7,NA,2.8
"582",9,4,1997,5,50,26,42.84,-8.98,6,3.4
"583",10,4,1997,20,46,9,42.69,-7.68,9,3
"584",14,4,1997,18,14,47,42.26,-7.82,NA,2.5
"585",23,4,1997,9,7,59,41.2,-7.04,6,3.2
"586",11,5,1997,13,13,2,42.81,-7.22,9,3
"587",11,5,1997,13,13,29,42.81,-7.25,6,3
"588",13,5,1997,21,58,10,42.82,-9.07,3,2.8
"589",15,5,1997,20,26,21,42.77,-7.45,NA,2.6
"590",15,5,1997,20,26,43,42.83,-7.2,3,2.9
"591",15,5,1997,20,28,4,42.79,-7.24,14,3.4
"592",18,5,1997,6,8,41,42.05,-7.3,6,2.8
"593",21,5,1997,14,14,6,42.78,-7.24,9,2.7
"594",21,5,1997,14,17,20,42.81,-7.24,6,3.3
"595",21,5,1997,14,19,6,42.8,-7.27,4,3
"596",21,5,1997,23,49,45,42.81,-7.23,9,4.1
"597",21,5,1997,23,50,45,42.78,-7.25,13,5.1
"598",22,5,1997,0,2,37,42.85,-6.9,4,1.9
"599",22,5,1997,0,2,51,42.74,-7.3,2,4.3
"600",22,5,1997,0,7,30,42.77,-7.29,3,3.5
"601",22,5,1997,0,8,48,42.77,-7.14,3,3.3
"602",22,5,1997,0,10,6,42.8,-7.24,16,3.2
"603",22,5,1997,0,10,22,42.84,-7.22,9,3.8
"604",22,5,1997,0,10,41,42.78,-7.27,13,3.9
"605",22,5,1997,0,14,8,42.81,-7.18,17,3.3
"606",22,5,1997,0,16,24,42.76,-7.24,9,3.8
"607",22,5,1997,0,17,19,42.84,-7.29,17,4.9
"608",22,5,1997,0,22,27,42.79,-7.23,NA,3.3
"609",22,5,1997,0,23,14,42.83,-7.19,NA,3.2
"610",22,5,1997,0,24,16,42.82,-7.24,6,3.8
"611",22,5,1997,0,25,7,42.8,-7.27,NA,3.5
"612",22,5,1997,0,28,36,42.76,-7.23,9,3.2
"613",22,5,1997,0,31,23,42.76,-7.18,NA,3.6
"614",22,5,1997,0,31,59,42.77,-7.21,NA,2.8
"615",22,5,1997,0,32,22,42.76,-7.23,5,3.2
"616",22,5,1997,0,32,51,42.76,-7.22,3,3.8
"617",22,5,1997,0,33,46,42.81,-7.23,NA,3.8
"618",22,5,1997,0,34,14,42.79,-7.2,NA,3.5
"619",22,5,1997,0,35,33,42.77,-7.19,11,3.6
"620",22,5,1997,0,41,27,42.83,-7.25,13,3.6
"621",22,5,1997,0,42,34,42.78,-7.2,9,3.6
"622",22,5,1997,0,45,43,42.77,-7.3,9,3.6
"623",22,5,1997,0,54,7,42.81,-7.15,11,2.9
"624",22,5,1997,1,12,24,41.93,-7.61,NA,3.6
"625",22,5,1997,1,29,9,42.79,-7.18,16,3.1
"626",22,5,1997,1,32,35,42.9,-7.44,21,4.1
"627",22,5,1997,1,40,48,42.77,-7.18,11,2.7
"628",22,5,1997,1,41,14,42.82,-7.25,7,3.6
"629",22,5,1997,2,3,16,42.78,-7.2,10,2.9
"630",22,5,1997,2,3,58,42.77,-7.24,15,3.4
"631",22,5,1997,2,5,51,42.81,-7.27,5,3.2
"632",22,5,1997,2,13,41,42.77,-7.18,9,2.8
"633",22,5,1997,2,14,23,42.82,-7.19,9,3.2
"634",22,5,1997,2,23,36,42.74,-7.28,12,3.4
"635",22,5,1997,2,26,58,42.76,-7.19,11,3
"636",22,5,1997,2,34,29,42.82,-7.29,5,3.4
"637",22,5,1997,2,37,59,42.78,-7.23,14,3.7
"638",22,5,1997,2,40,11,42.82,-7.16,15,3.3
"639",22,5,1997,2,41,3,42.76,-7.29,NA,3.6
"640",22,5,1997,2,51,22,42.78,-7.24,9,3.3
"641",22,5,1997,3,2,59,42.76,-7.28,13,3.5
"642",22,5,1997,3,5,33,42.79,-7.22,9,3.1
"643",22,5,1997,3,8,34,42.79,-7.21,13,3.2
"644",22,5,1997,3,25,49,42.78,-7.21,9,3.5
"645",22,5,1997,3,26,21,42.8,-7.19,15,3.4
"646",22,5,1997,3,28,49,42.75,-7.27,7,3.9
"647",22,5,1997,3,51,54,42.82,-7.2,7,3
"648",22,5,1997,3,57,27,42.8,-7.23,7,2.7
"649",22,5,1997,3,58,55,42.81,-7.29,17,3.7
"650",22,5,1997,4,3,49,42.81,-7.22,9,3.5
"651",22,5,1997,4,17,45,42.8,-7.26,6,3
"652",22,5,1997,4,18,22,42.76,-7.14,12,2.9
"653",22,5,1997,4,20,3,42.78,-7.27,7,2.8
"654",22,5,1997,4,25,34,42.77,-7.23,NA,2.9
"655",22,5,1997,4,49,1,42.78,-7.23,16,2.9
"656",22,5,1997,4,50,53,42.82,-7.22,2,3.2
"657",22,5,1997,5,6,52,42.8,-7.23,9,4.3
"658",22,5,1997,5,40,54,42.77,-7.21,NA,2.5
"659",22,5,1997,5,54,38,42.74,-7.28,NA,3
"660",22,5,1997,6,10,33,42.78,-7.3,5,3
"661",22,5,1997,6,12,8,42.78,-7.24,3,2.9
"662",22,5,1997,6,13,19,42.81,-7.2,7,3.4
"663",22,5,1997,6,55,37,42.76,-7.25,NA,2.9
"664",22,5,1997,7,9,32,42.76,-7.17,11,2.9
"665",22,5,1997,7,12,38,42.77,-7.21,16,3.3
"666",22,5,1997,7,46,21,42.78,-7.26,11,3.3
"667",22,5,1997,8,4,17,42.9,-7.32,10,2.7
"668",22,5,1997,8,53,51,42.79,-7.25,9,3.3
"669",22,5,1997,10,31,52,42.8,-7.25,3,3.2
"670",22,5,1997,10,32,33,42.79,-7.3,NA,2.9
"671",22,5,1997,10,57,23,42.81,-7.23,14,3.2
"672",22,5,1997,12,13,6,42.79,-7.21,7,3.1
"673",22,5,1997,14,9,49,42.75,-7.28,13,3.7
"674",22,5,1997,14,41,15,42.78,-7.25,4,3.2
"675",22,5,1997,16,16,43,42.78,-7.23,14,3.5
"676",22,5,1997,16,39,18,42.8,-7.25,NA,3.1
"677",22,5,1997,16,52,58,42.77,-7.23,9,3.3
"678",22,5,1997,17,5,27,42.76,-7.22,4,3.6
"679",22,5,1997,17,42,50,42.81,-7.22,9,3
"680",22,5,1997,18,6,22,42.76,-7.23,17,3
"681",22,5,1997,18,17,40,42.79,-7.21,9,3.3
"682",22,5,1997,18,31,10,42.82,-7.2,9,3.6
"683",22,5,1997,19,3,44,42.8,-7.17,9,3.3
"684",22,5,1997,20,15,8,42.78,-7.18,12,3.2
"685",22,5,1997,20,41,43,42.78,-7.28,NA,3.5
"686",22,5,1997,21,57,22,42.78,-7.26,NA,3
"687",22,5,1997,22,54,2,42.75,-7.17,NA,2.8
"688",22,5,1997,22,56,27,42.84,-7.28,6,3.5
"689",23,5,1997,0,39,10,42.84,-7.25,8,3.9
"690",23,5,1997,0,57,39,42.82,-7.26,5,3.4
"691",23,5,1997,0,58,41,42.8,-7.17,21,3.6
"692",23,5,1997,4,6,36,42.78,-7.24,NA,2.9
"693",23,5,1997,5,18,41,42.79,-7.29,6,2.7
"694",23,5,1997,5,22,21,42.78,-7.23,14,3.5
"695",23,5,1997,5,24,16,42.8,-7.22,15,3.2
"696",23,5,1997,7,8,11,42.74,-7.23,NA,2.8
"697",23,5,1997,9,3,33,42.78,-7.27,NA,2.8
"698",23,5,1997,10,57,34,42.8,-7.06,9,2.5
"699",23,5,1997,13,3,35,42.81,-7.24,NA,3.4
"700",23,5,1997,13,30,43,42.79,-7.22,9,3.7
"701",23,5,1997,15,43,10,42.76,-7.17,NA,3.1
"702",23,5,1997,18,14,42,42.79,-7.24,9,4.4
"703",23,5,1997,20,3,36,42.8,-7.26,NA,3
"704",24,5,1997,1,15,2,42.8,-7.25,NA,2.7
"705",24,5,1997,8,46,5,42.81,-7.19,14,3.5
"706",24,5,1997,16,22,59,42.77,-7.22,12,2.7
"707",24,5,1997,18,33,32,42.81,-7.24,8,3.4
"708",24,5,1997,18,42,28,42.83,-7.24,12,3.4
"709",24,5,1997,19,44,47,42.78,-7.22,9,3
"710",24,5,1997,23,4,30,42.82,-7.27,10,2.7
"711",24,5,1997,23,20,32,42.78,-7.22,11,3
"712",24,5,1997,23,28,46,42.84,-7.26,NA,3.1
"713",24,5,1997,23,28,57,42.82,-7.24,6,2.7
"714",25,5,1997,0,36,56,42.79,-7.19,12,3.6
"715",25,5,1997,1,15,8,42.8,-7.25,9,2.4
"716",25,5,1997,2,30,31,42.76,-7.17,8,2.8
"717",25,5,1997,8,11,41,42.79,-7.23,12,3
"718",25,5,1997,17,21,54,42.82,-7.25,12,3.8
"719",25,5,1997,18,28,36,42.79,-7.2,10,2.8
"720",25,5,1997,23,53,52,42.77,-7.2,9,3.7
"721",26,5,1997,0,6,10,42.8,-7.26,14,2.8
"722",26,5,1997,4,28,37,42.76,-7.22,10,3
"723",26,5,1997,6,19,2,42.75,-7.22,9,3.2
"724",26,5,1997,6,43,34,42.79,-7.24,13,2.8
"725",26,5,1997,18,20,57,42.8,-7.23,10,2.9
"726",27,5,1997,0,8,43,42.76,-7.21,NA,2.8
"727",27,5,1997,0,9,41,42.76,-7.25,8,2.7
"728",27,5,1997,6,19,42,42.77,-7.21,5,3
"729",27,5,1997,23,15,22,42.79,-7.23,9,3.4
"730",28,5,1997,2,44,57,42.78,-7.24,11,3.3
"731",28,5,1997,12,0,38,42.8,-7.18,16,2.9
"732",28,5,1997,20,3,48,42.79,-7.18,9,3.2
"733",29,5,1997,0,37,4,42.73,-7.1,NA,2.6
"734",29,5,1997,3,18,5,42.79,-7.27,8,3
"735",29,5,1997,3,18,24,42.79,-7.24,12,2.9
"736",29,5,1997,21,56,19,42.82,-7.23,NA,3.1
"737",29,5,1997,22,22,57,42.76,-7.26,6,3.5
"738",30,5,1997,1,49,24,42.8,-7.21,14,3.4
"739",30,5,1997,7,49,22,42.82,-7.26,13,3.4
"740",30,5,1997,20,48,30,42.55,-7.43,7,3.3
"741",30,5,1997,20,49,5,42.56,-7.58,NA,3.9
"742",30,5,1997,20,51,9,42.53,-7.11,NA,3
"743",31,5,1997,4,21,31,42.71,-7.3,18,2.9
"744",31,5,1997,6,12,5,42.51,-7.42,13,2.9
"745",31,5,1997,16,32,8,42.71,-7.29,6,2.8
"746",3,6,1997,0,12,28,42.74,-7.28,14,3.2
"747",4,6,1997,20,28,10,42.82,-7.16,16,3.5
"748",5,6,1997,9,7,53,42.8,-7.22,9,3.3
"749",5,6,1997,9,58,45,42.76,-7.19,11,3.3
"750",5,6,1997,9,59,17,42.77,-7.21,9,3.3
"751",5,6,1997,22,22,23,42.79,-7.22,12,3.5
"752",8,6,1997,1,20,40,42.8,-7.23,15,3.2
"753",8,6,1997,23,55,38,42.8,-7.21,6,3.3
"754",10,6,1997,8,41,30,42.78,-7.16,4,3.2
"755",11,6,1997,12,49,39,42.77,-7.11,12,3.4
"756",13,6,1997,0,17,59,41.26,-7.5,6,3.2
"757",13,6,1997,14,21,56,42.74,-6.88,5,2.8
"758",13,6,1997,14,23,12,42.82,-7.22,11,3.4
"759",15,6,1997,7,4,41,42.79,-7.19,19,2.9
"760",16,6,1997,11,13,43,42.26,-7.94,13,3.1
"761",20,6,1997,3,20,13,42.44,-8.95,29,3.2
"762",20,6,1997,23,41,37,42.71,-7.33,15,3
"763",21,6,1997,6,30,34,42.78,-7.22,9,3.1
"764",26,6,1997,0,24,11,42.8,-7.21,10,3.1
"765",28,6,1997,4,52,7,42.78,-7.21,NA,2.9
"766",28,6,1997,4,53,8,42.83,-7.34,15,3.2
"767",28,6,1997,4,53,53,42.66,-7.19,NA,3.1
"768",28,6,1997,4,54,44,42.8,-7.3,17,3.4
"769",28,6,1997,4,54,56,42.84,-7.27,4,3.7
"770",28,6,1997,10,59,10,42.77,-7.31,3,3.6
"771",28,6,1997,15,20,17,42.79,-7.2,13,3.4
"772",2,7,1997,23,43,53,42.77,-7.15,10,3.3
"773",7,7,1997,20,49,47,42.76,-7.19,12,3.3
"774",8,7,1997,4,21,36,42.81,-7.22,5,3.1
"775",10,7,1997,4,16,32,42.8,-7.25,20,2.8
"776",12,7,1997,1,17,8,42.8,-7.21,12,2.8
"777",12,7,1997,9,53,26,43.14,-7.21,12,2.8
"778",13,7,1997,23,46,42,42.8,-7.17,16,2.7
"779",14,7,1997,0,18,42,42.77,-7.18,14,2.7
"780",19,7,1997,12,4,8,42.8,-7.2,16,3.3
"781",26,7,1997,11,11,53,41.49,-6.75,NA,2.9
"782",27,7,1997,2,35,40,42.82,-7.2,12,3
"783",5,8,1997,11,20,39,42.84,-7.21,3,3
"784",5,8,1997,13,52,12,42.77,-7.22,2,3.2
"785",5,8,1997,13,54,22,42.76,-7.2,9,2.9
"786",5,8,1997,19,28,0,42.75,-7.2,11,3
"787",5,8,1997,22,30,43,42.81,-7.21,12,3.1
"788",6,8,1997,14,14,54,42.21,-6.93,9,3.1
"789",6,8,1997,20,1,32,42.77,-7.2,11,2.7
"790",7,8,1997,5,52,37,42.78,-7.22,10,3.1
"791",7,8,1997,5,54,23,42.8,-7.22,13,3.6
"792",7,8,1997,5,54,48,42.78,-7.21,10,3.1
"793",8,8,1997,12,19,42,42.82,-7.19,26,2.4
"794",11,8,1997,17,12,16,42.79,-7.22,16,3.1
"795",11,8,1997,23,11,11,42.78,-7.22,12,3.2
"796",19,8,1997,17,0,38,42.23,-8.01,2,3.3
"797",22,8,1997,17,14,16,42.79,-7.22,12,2.7
"798",23,8,1997,5,7,9,42.8,-7.23,13,2.6
"799",23,8,1997,5,14,5,42.79,-7.21,12,2.7
"800",31,8,1997,15,57,55,43.05,-6.98,13,2.8
"801",10,9,1997,7,6,35,43.1,-6.48,3,2.9
"802",13,9,1997,1,37,17,42.78,-7.18,7,2.6
"803",15,9,1997,15,13,47,41.54,-8.79,4,2.8
"804",16,9,1997,0,23,54,41.47,-8.81,10,3.4
"805",16,9,1997,11,32,4,42.79,-6.75,NA,2.9
"806",18,9,1997,12,28,18,41.1,-7.21,8,2.5
"807",22,9,1997,16,29,16,41.53,-6.74,6,3.3
"808",28,9,1997,18,17,2,41.7,-7.73,4,2.8
"809",30,9,1997,0,35,49,42.78,-8.81,4,2.4
"810",30,9,1997,15,12,55,42.77,-7.2,9,3
"811",30,9,1997,15,13,21,42.79,-7.16,9,2.7
"812",30,9,1997,15,14,0,42.77,-7.22,9,2.9
"813",6,10,1997,14,26,33,42.74,-7.68,8,3.7
"814",21,10,1997,2,9,36,42.13,-6.98,3,2.8
"815",21,10,1997,16,21,40,42.78,-7.26,9,3
"816",11,11,1997,15,31,38,42.79,-7.2,6,2.7
"817",17,11,1997,7,38,7,42.79,-7.25,7,2.7
"818",18,11,1997,17,30,26,42.76,-7.21,3,2.1
"819",18,11,1997,17,33,58,42.78,-7.09,5,2
"820",18,11,1997,17,34,19,42.73,-7.21,8,2.1
"821",18,11,1997,17,35,56,42.76,-7.25,NA,1.9
"822",18,11,1997,17,36,13,42.75,-7.21,NA,3
"823",18,11,1997,17,36,50,42.75,-7.21,11,2.9
"824",18,11,1997,17,38,48,42.77,-7.2,5,2.2
"825",18,11,1997,17,39,9,42.74,-7.37,14,2
"826",18,11,1997,18,24,56,42.8,-7.21,9,3.5
"827",19,11,1997,12,13,8,42.77,-7.24,9,2.3
"828",19,11,1997,16,44,44,42.76,-7.22,3,2.4
"829",19,11,1997,16,45,47,42.78,-7.23,7,2.4
"830",21,11,1997,9,51,26,42.77,-7.26,10,2.2
"831",22,11,1997,2,18,52,42.45,-8.82,NA,1.9
"832",24,11,1997,11,2,44,42.81,-7.18,4,2.4
"833",2,12,1997,23,26,38,42.69,-7.68,NA,2.2
"834",9,12,1997,18,24,37,42.78,-7.2,21,2.4
"835",21,12,1997,23,38,43,41.3,-7.32,4,2.7
"836",23,12,1997,7,3,20,41.01,-7.89,8,2.7
"837",18,1,1998,6,9,14,42.97,-6.34,13,2.3
"838",26,1,1998,4,32,26,42.78,-7.19,18,2.4
"839",26,1,1998,4,33,38,42.79,-7.22,8,2.2
"840",10,2,1998,6,30,39,42.79,-7.21,6,2.5
"841",1,3,1998,18,24,54,43.11,-6.56,22,2.7
"842",3,3,1998,22,48,33,42.76,-7.23,6,2.9
"843",3,3,1998,23,15,7,42.76,-7.27,9,2.3
"844",10,3,1998,23,52,38,41.92,-7.43,NA,2.7
"845",14,3,1998,11,38,53,42.78,-7.23,NA,2.5
"846",14,3,1998,12,44,42,43.55,-6.69,NA,2.3
"847",21,3,1998,2,11,39,42.19,-8.05,21,2.9
"848",26,3,1998,0,16,22,41.78,-8.6,1,2.2
"849",30,3,1998,23,33,40,42.8,-7.17,2,2.6
"850",30,3,1998,23,34,33,42.79,-7.23,NA,2.5
"851",31,3,1998,0,0,15,42.8,-7.19,8,3.2
"852",31,3,1998,0,1,23,42.81,-7.27,6,3.9
"853",31,3,1998,0,11,48,42.8,-7.2,NA,2.5
"854",31,3,1998,3,26,40,42.79,-7.19,NA,2.6
"855",24,4,1998,7,22,45,42.77,-7.24,7,2.6
"856",24,4,1998,16,5,32,42.79,-7.26,11,2.6
"857",8,5,1998,9,42,38,43.4,-7.4,15,2.8
"858",15,5,1998,15,16,6,42.75,-7.3,NA,2.1
"859",15,5,1998,15,16,48,42.79,-7.25,10,3.2
"860",15,5,1998,17,47,59,42.79,-7.18,NA,2.6
"861",16,5,1998,11,52,17,42.08,-8.09,NA,3.2
"862",16,5,1998,12,10,1,42.13,-8.11,NA,1.8
"863",16,5,1998,12,11,27,42.13,-8.11,NA,2.4
"864",16,5,1998,12,51,8,42.09,-8.14,15,2.3
"865",16,5,1998,12,53,53,42.14,-8.12,NA,2.2
"866",16,5,1998,12,56,33,42.1,-8.08,6,2.7
"867",16,5,1998,15,28,15,42.14,-8.12,NA,2.4
"868",16,5,1998,19,32,7,42.13,-8.13,12,2.4
"869",17,5,1998,0,47,11,42.07,-8.17,4,2.6
"870",17,5,1998,14,46,28,42.18,-8.52,19,3.3
"871",18,5,1998,17,49,54,42.05,-8.13,10,2.9
"872",19,5,1998,18,27,8,42.11,-8.1,1,2.3
"873",20,5,1998,10,6,50,42.14,-8.11,NA,2.2
"874",21,5,1998,3,0,13,42.09,-8.11,14,2.9
"875",21,5,1998,4,44,23,42.14,-8.13,7,2.4
"876",21,5,1998,5,4,39,42.11,-8.1,11,2.3
"877",21,5,1998,11,54,38,42.1,-8.11,2,2.6
"878",21,5,1998,19,5,40,42.14,-8.06,NA,2
"879",22,5,1998,6,35,34,42.1,-8.13,19,2.2
"880",22,5,1998,6,46,2,42.16,-8.1,NA,2.2
"881",23,5,1998,5,43,33,42.17,-8.09,1,2.2
"882",24,5,1998,9,59,48,43.55,-9.47,18,2.3
"883",24,5,1998,13,3,11,42.05,-8.12,NA,2.7
"884",24,5,1998,17,38,17,42.08,-8.11,11,2.9
"885",25,5,1998,11,24,23,42.1,-8.12,10,3.1
"886",26,5,1998,2,29,50,42.12,-8.15,11,2.5
"887",26,5,1998,10,43,54,42.1,-8.12,12,3.2
"888",27,5,1998,18,24,42,42.79,-7.19,NA,2.8
"889",28,5,1998,21,42,17,42.06,-8.08,9,3.6
"890",28,5,1998,21,47,59,42.15,-8.13,NA,2
"891",28,5,1998,21,50,17,42.09,-8.12,8,2.1
"892",28,5,1998,22,2,17,42.13,-8.12,15,1.8
"893",28,5,1998,23,12,10,42.07,-8.1,7,2.3
"894",29,5,1998,0,49,48,42.14,-8.14,10,2.3
"895",29,5,1998,0,58,11,42.1,-8.1,NA,2.5
"896",29,5,1998,1,20,16,42.13,-8.11,NA,2.2
"897",29,5,1998,2,16,0,42.09,-8.13,20,2.6
"898",29,5,1998,2,43,40,42.09,-8.12,NA,2.3
"899",29,5,1998,2,55,23,42.14,-8.11,NA,2.5
