"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Si","Sr","Th","Tl","U","V","Zn"
"114",144,861133.4,7486776,0.038,159,0.103,0.52,18.2,0.014,2590,0.107,0.37,0.41,6.46,146,0.074,6390,1530,371,0.062,180,5.4,1740,3.16,21.6,855,0.036,72.8,18.4,0.02,0.014,0.009,2.08,46.7
"115",145,563024.3,7670800,0.03,149,0.279,1.49,16.6,0.016,2540,0.062,0.63,0.7,11.1,225,0.083,3440,825,606,0.057,38.1,13,1020,2.57,10.7,881,0.036,58.2,4.19,0.022,0.043,0.008,1.23,30.8
"116",146,803908.8,7433651,0.064,261,0.173,1.5,19.5,0.022,2880,0.116,0.61,0.68,13.4,282,0.046,4760,917,515,0.111,94.2,9.79,1380,4.52,17.4,959,0.044,245,9.67,0.023,0.072,0.017,2.79,34.7
"117",147,575169.3,7554898,0.024,103,0.143,0.64,17.3,0.014,2190,0.083,0.23,0.42,5.09,110,0.051,3190,694,650,0.055,29.8,2.88,663,3.11,9.26,673,0.035,78,7.33,0.015,0.022,0.007,1.25,28
"118",148,563474.1,7622520,0.027,103,0.191,1.67,16.2,0.016,2390,0.078,0.3,0.34,6.83,106,0.05,3770,1010,568,0.042,35.6,4.67,1330,2.01,8.8,842,0.032,24.9,6.14,0.014,0.04,0.006,0.85,22.3
"119",151,554127.9,7383969,0.027,220,0.134,0.8,13.4,0.021,2190,0.085,0.2,0.49,4.54,144,0.043,3640,810,614,0.072,44.4,1.73,1040,3.32,19.4,782,0.034,107,4.29,0.02,0.032,0.011,1.21,38.2
"120",152,824675.5,7447730,0.058,316,0.181,1.71,16.3,0.023,2790,0.123,0.74,0.76,18.2,291,0.049,5310,999,341,0.09,176,13.8,907,4.45,12,952,0.054,144,11.3,0.041,0.058,0.018,3.09,26.6
"121",153,491303.6,7582636,0.018,116,0.118,0.71,15.7,0.009,2430,0.069,0.18,0.4,4.61,107,0.037,3490,978,373,0.069,43.2,1.94,1220,2.8,11.9,777,0.026,92.6,6.84,0.01,0.019,0.007,1.05,29.6
"122",154,718043.9,7689345,0.05,173,0.293,2.85,16.7,0.019,2320,0.088,0.87,1.05,19.1,344,0.053,3950,1260,275,0.094,135,24.2,1430,2.55,6.89,928,0.051,119,10.3,0.04,0.015,0.014,3.15,29.9
"123",157,560960,7810912,0.039,4840,0.803,4.8,46.2,0.026,2200,0.046,2.19,6.54,5.85,5140,0.037,4720,1730,601,0.068,108,5.15,1180,3.5,11.2,686,0.014,673,14.4,1.14,0.058,0.21,7.57,35.5
"124",158,602760,7719740,0.045,185,0.371,1.56,24.4,0.028,2860,0.095,1.41,1.25,28.1,634,0.045,4560,934,714,0.07,44.5,40.2,1230,5.48,8.72,960,0.054,166,6.9,0.019,0.023,0.014,1.83,21.7
"125",159,722035.9,7713164,0.038,167,0.196,2.29,27.2,0.021,3130,0.111,0.75,0.94,15.9,304,0.064,5560,1590,215,0.06,116,20,1490,3.69,8.49,996,0.033,93,14.4,0.018,0.013,0.017,4.06,22.6
"126",160,533286.4,7393965,0.024,332,0.17,1.79,19.3,0.034,2520,0.087,0.28,1.04,5.31,353,0.046,3150,749,696,0.094,34,2.11,1040,4.47,14.2,823,0.048,166,4.9,0.061,0.076,0.031,1.92,25.7
"127",161,445850,7731780,0.019,107,0.093,0.53,22.5,0.03,2680,0.067,0.26,0.35,3.52,104,0.045,3950,1060,303,0.035,55.5,3.21,1090,2.47,12.5,765,0.03,31.3,5.07,0.009,0.008,0.009,0.74,22.8
"128",162,588050,7721050,0.021,129,0.205,1.34,20.8,0.022,3180,0.119,0.85,0.66,11.2,279,0.09,4730,1280,352,0.082,47.2,16.9,961,2.22,15.1,952,0.026,78.5,9.62,0.047,0.024,0.133,0.99,26
"129",163,797345.2,7538621,0.08,670,0.299,1.55,20.9,0.075,3060,0.186,1.06,0.74,20.2,441,0.04,4630,1070,308,0.208,90.7,24.9,1440,3.1,8.53,871,0.044,230,93.1,0.119,0.017,0.051,3.57,48.9
"130",166,507796.8,7753316,0.029,354,0.164,0.85,40.2,0.019,2390,0.066,0.34,0.5,5.29,285,0.052,4570,1050,208,0.053,32.5,4.32,1230,6.1,7.18,961,0.04,177,13.4,0.015,0.019,0.015,1.79,35.8
"131",167,676097,7542701,0.036,133,0.152,1.01,21.6,0.035,2860,0.098,0.33,0.31,6.94,139,0.035,4910,924,702,0.072,52.1,5.45,921,2.89,17.1,858,0.034,136,8.22,0.014,0.042,0.009,1.51,30.2
"132",168,457473,7786015,0.013,136,0.073,1.7,24.3,0.015,2720,0.035,0.15,0.37,3.37,134,0.059,4640,1510,274,0.041,99.7,1.74,1260,2.06,6.06,785,0.029,117,9.16,0.019,0.01,0.01,0.71,38.1
"133",169,429450,7827450,0.018,91.1,0.039,2.1,18.2,0.009,2860,0.043,0.18,0.29,3.15,91.8,0.044,5060,1920,198,0.033,162,1.28,1410,1.94,9.94,752,0.017,119,18.2,0.012,0.01,0.013,0.64,24.5
"134",170,742233.8,7588155,0.222,951,0.965,0.25,33.5,0.076,3110,0.195,5.18,1.33,49.5,1710,0.038,4690,1120,77.8,0.529,689,102,511,4.95,22.9,886,0.075,983,28,0.046,0.033,0.017,2.04,19.8
"135",171,658000.6,7684552,0.053,146,0.775,3.54,16.4,0.018,2890,0.136,3.65,2.29,65.1,899,0.049,5380,1330,212,0.115,224,111,1630,2.49,4.88,1350,0.084,277,9.67,0.01,0.021,0.01,2.22,38.8
"136",172,677085,7408128,0.041,182,0.217,2.46,47,0.035,3790,0.114,0.38,0.48,8.02,194,0.049,4400,1350,835,0.11,54.6,4.96,1730,3.07,19,1100,0.053,206,11.7,0.027,0.144,0.014,1.63,45.2
"137",173,667182.8,7559923,0.055,181,0.204,1.11,18,0.065,2420,0.167,0.34,0.57,8.15,202,0.038,3230,869,656,0.104,149,5.11,817,3.22,8.66,803,0.036,200,8.8,0.037,0.033,0.012,1.72,36.7
"138",174,779509.5,7486199,0.115,766,0.233,0.69,26,0.05,2930,0.23,1.59,0.77,33.3,562,0.038,5840,1080,565,0.152,63.5,29.9,1420,4.45,18.8,992,0.059,352,25.5,0.062,0.026,0.029,4.28,49.3
"139",175,389000,7630700,0.022,136,0.126,0.93,27.4,0.016,3170,0.086,0.2,0.36,4.7,175,0.043,4750,1130,346,0.065,39.7,2.43,1290,5.61,13.2,847,0.052,135,9.36,0.021,0.018,0.013,1.48,46.9
"140",176,582616.2,7396214,0.024,173,0.183,1.55,14.9,0.023,2280,0.076,0.21,0.56,5.37,166,0.039,3550,846,493,0.077,37.8,2.47,917,3.75,11.2,745,0.047,150,3.26,0.035,0.06,0.011,1.73,26.2
"141",177,742736.3,7694889,0.054,227,0.172,2.2,18.7,0.017,3140,0.188,0.71,1.41,13.2,384,0.042,5180,1310,257,0.086,171,14.8,1400,4.03,8.13,945,0.054,188,16.8,0.041,0.011,0.014,6.08,28
"142",178,610115,7728380,0.058,312,0.564,2.39,22.9,0.033,2750,0.117,1.62,1.96,31,1580,0.105,4380,837,619,0.083,86.4,44.4,1050,4.85,12.6,1060,0.055,281,4.7,0.047,0.045,0.018,2.38,18.7
"143",181,583715.8,7536006,0.022,165,0.127,1.15,13.4,0.011,2310,0.066,0.25,0.59,5.61,173,0.038,3930,811,721,0.052,41.8,2.85,1140,2.52,16.7,752,0.034,191,6.38,0.017,0.035,0.007,1.32,37.7
"144",182,476859.5,7496872,0.025,174,0.124,1.12,13.4,0.011,2170,0.083,0.33,1.15,4.24,179,0.055,3530,1120,434,0.071,34.6,3.03,1040,2.79,13,729,0.036,177,3.96,0.013,0.046,0.005,1.28,36.9
"145",183,381498.4,7553498,0.015,164,0.111,0.65,12,0.01,1880,0.063,0.24,0.48,4.44,220,0.036,3880,961,555,0.093,68.1,1.34,1370,2.43,22.1,714,0.023,203,4.65,0.029,0.016,0.014,1.39,32.5
"146",184,769055.1,7522392,0.223,686,0.712,2.42,28.3,0.121,3220,0.33,2.7,1.51,70.8,594,0.044,4940,867,647,0.423,135,66.7,1670,4.65,16.5,1050,0.099,314,72.7,0.072,0.026,0.027,5.54,43.8
"147",185,614000,7639400,0.033,125,0.358,1.48,13.3,0.017,2370,0.122,0.67,0.6,13.2,185,0.04,3950,1040,289,0.055,175,15.1,1250,2.32,5.11,911,0.227,105,6.01,0.008,0.029,0.002,1.13,25.7
"148",186,452369.5,7444194,0.037,160,0.148,1.24,23.7,0.009,2840,0.07,0.14,0.81,4.88,144,0.045,3550,870,485,0.096,30.8,1.61,1180,3.79,16.5,823,0.062,130,6.99,0.017,0.062,0.008,1.45,33.1
"149",187,429728.7,7630616,0.023,92.1,0.122,3.22,21.5,0.006,3620,0.053,0.18,0.37,4.82,93.4,0.061,4610,1420,650,0.048,47.6,1.77,1530,1.59,12.1,963,0.026,68.8,10.7,0.01,0.016,0.002,0.72,37.4
"150",188,509015,7768635,0.02,313,0.16,2.39,9.77,0.002,2370,0.038,0.39,0.85,5.87,403,0.079,3850,1510,166,0.055,153,3.61,1330,1.59,4.22,920,0.026,218,9.58,0.016,0.008,0.005,1.33,37.5
"151",189,637900,7722450,0.043,173,0.714,1.31,25.3,0.027,3120,0.157,3.99,2.64,70.3,955,0.087,6360,1100,608,0.068,51.1,117,1510,3.99,13.2,1170,0.049,270,9.29,0.017,0.025,0.011,1.98,32.7
"152",190,467320,7844450,0.013,139,0.176,2.51,13.8,0.007,3300,0.048,0.22,0.36,3.72,205,0.093,3130,1260,152,0.13,171,1.5,802,2.54,1.39,797,0.038,301,11.7,0.042,0.013,0.35,1.04,18.3
"153",191,733948.4,7653303,0.072,290,0.274,1.76,22.8,0.049,2660,0.17,1.04,1.23,20.2,403,0.066,3850,905,384,0.137,255,23.5,1290,3.56,10.1,898,0.077,214,16,0.031,0.022,0.012,7.33,24.9
"154",192,627170.2,7690466,0.071,265,1.56,1.85,21.5,0.069,2720,0.341,6.47,3.38,111,1260,0.048,6620,1110,716,0.094,284,182,1440,6.32,9.66,1350,0.164,336,8.75,0.018,0.039,0.009,2.25,32
"155",193,790154.6,7527763,0.073,883,0.199,0.81,26.3,0.043,2970,0.15,0.86,0.92,15.7,483,0.028,5720,851,243,0.141,201,18.4,1510,3.44,25.8,819,0.068,323,83.1,0.084,0.014,0.062,9.78,28.1
"156",196,543382.3,7585035,0.024,139,0.134,1,13.5,0.01,2150,0.094,0.27,0.34,5.12,98.5,0.03,3840,1010,456,0.058,67.2,2.92,714,2.18,7.48,704,0.029,93.4,9.01,0.008,0.027,0.005,0.86,25.9
"157",197,585600,7733500,0.018,83.2,0.146,0.74,10.2,0.009,2050,0.075,0.48,0.52,7.29,164,0.032,4560,1020,388,0.041,82.4,9.49,1060,1.91,14.1,789,0.029,90.8,5.58,0.016,0.014,0.007,0.78,23.8
"158",198,372602.1,7403611,0.028,275,0.168,2.09,20.1,0.015,2760,0.09,0.22,1.63,4.49,335,0.092,3820,743,728,0.164,34.1,1.46,1060,4.94,21.4,833,0.049,212,5.11,0.082,0.091,0.025,2.16,30
"159",199,755941.1,7599147,0.183,313,0.385,0.97,26.5,0.078,2850,0.389,2.75,1.22,55.5,722,0.026,5740,1040,404,0.322,142,60,1300,5.07,9.92,864,0.077,273,18.8,0.039,0.016,0.041,4.21,22.8
"160",200,735486.6,7504650,0.196,1030,0.637,3.62,43.3,0.132,6040,0.123,3.65,1.11,40.4,613,0.058,3790,839,172,0.289,109,77,829,3.61,10.4,1070,0.111,369,33.1,0.045,0.036,0.072,3.28,26
"161",201,701807.6,7714391,0.046,470,0.35,3.26,22.2,0.022,2950,0.063,1.33,1.87,23.9,689,0.062,3780,1200,120,0.139,258,38.5,1160,4.22,5.29,891,0.118,223,21.8,0.04,0.029,0.034,2.52,21.7
"162",202,817031.8,7638818,0.048,148,0.147,1.49,10.4,0.018,1910,0.118,0.61,0.38,14.6,150,0.035,4650,1230,397,0.094,102,11.7,1430,2.29,11.7,823,0.056,142,9.19,0.028,0.009,0.012,2.08,34.1
"163",203,634125.9,7714766,0.146,326,2.19,3.04,49.9,0.076,5140,0.42,13.2,6.79,214,2550,0.104,7900,1560,625,0.129,212,372,2020,7.77,22.5,1800,0.324,359,13.5,0.028,0.041,0.014,3.49,53.1
"164",204,507247,7609275,0.028,186,0.197,1.67,18,0.015,2840,0.102,0.33,0.61,6.37,194,0.042,3150,1230,497,0.09,27.6,3.3,798,3.92,7.52,760,0.04,158,14.4,0.039,0.037,0.012,1.72,39.9
"165",205,417033.9,7479529,0.019,191,0.133,0.71,18.6,0.017,2360,0.098,0.17,0.77,4.87,182,0.071,3340,715,646,0.134,33.8,1.57,1240,5.27,19.3,851,0.052,119,4.93,0.024,0.053,0.015,1.78,29.8
"166",206,540733.4,7517014,0.013,132,0.096,1,15.9,0.009,2680,0.065,0.16,0.43,3.88,120,0.053,3050,652,615,0.07,28.6,1.78,788,2.33,11.5,723,0.027,103,6.03,0.015,0.019,0.011,0.91,53.4
"167",207,552578.5,7599879,0.022,134,0.168,1.02,18.6,0.017,2220,0.098,0.31,0.42,5.03,133,0.036,3230,961,577,0.06,37.3,3.13,1080,2.43,6.04,723,0.027,118,7.99,0.02,0.019,0.008,0.95,44.7
"168",208,392650,7760650,0.019,115,0.072,1.53,33.4,0.005,2420,0.042,0.2,0.31,3.68,103,0.043,3830,1600,218,0.033,112,1.43,1070,3.38,6.18,771,0.039,90.2,12.1,0.01,0.008,0.009,0.8,31.6
"169",211,567072.6,7656606,0.036,237,0.313,1.03,19.6,0.023,2780,0.092,0.65,0.78,10.8,259,0.057,3660,950,285,0.083,56.1,11.4,1080,3.49,11.8,843,0.039,199,6.18,0.021,0.113,0.015,1.68,38.9
"170",212,530080,7803860,0.027,119,0.069,0.96,19,0.005,2340,0.046,0.23,0.35,4.74,114,0.029,5660,1310,658,0.04,107,3,1560,2.39,6.24,850,0.022,125,9,0.016,0.009,0.011,0.73,30.4
"171",213,405450,7751600,0.016,92.2,0.08,1.53,15.1,0.005,2690,0.035,0.2,0.29,3.57,104,0.052,4520,1270,381,0.035,50.3,1.96,1360,1.51,6.48,807,0.022,89.5,3.12,0.01,0.014,0.004,0.51,41.4
"172",214,590200,7665700,0.025,121,0.225,1.35,14.8,0.01,2630,0.095,0.51,0.53,8.66,202,0.058,4270,998,363,0.043,89.3,9.76,1280,1.6,6.2,851,0.02,121,8.2,0.016,0.014,0.006,0.79,27.5
"173",216,438600,7692850,0.024,94.6,0.081,0.7,12.8,0.008,2310,0.059,0.17,0.27,3.13,68.1,0.031,4950,956,421,0.029,49,1.78,1360,2.03,11.4,755,0.03,38.6,3,0.009,0.007,0.004,0.52,36.7
"174",217,525014.8,7382620,0.024,239,0.194,1.21,19.7,0.026,2570,0.072,0.21,0.75,5.1,242,0.053,3340,667,538,0.1,59.2,1.99,1060,3.94,12.5,813,0.042,199,5.61,0.038,0.075,0.022,1.61,32.5
"175",218,513394.5,7705885,0.026,308,0.639,0.55,22.9,0.01,2360,0.071,0.36,0.38,4.71,167,0.041,4630,886,282,0.04,55.3,4.91,1100,3.67,10.7,810,0.036,91,10.8,0.008,0.013,0.01,0.99,40.5
"176",219,598000,7430300,0.029,478,0.148,1.06,12.1,0.022,2250,0.083,0.57,3.55,5.92,766,0.04,4650,1290,400,0.057,66.1,3.78,1330,2.43,22.8,737,0.026,357,6.9,0.052,0.037,0.019,2.49,24
"177",220,639150,7739500,0.047,235,0.562,1.91,23.8,0.03,3120,0.118,2.17,2.26,42.7,790,0.049,5250,1250,599,0.065,104,58.9,1320,4.33,7.82,1080,0.044,211,10.3,0.024,0.02,0.014,2.13,22.7
"178",221,405250,7817600,0.021,73.8,0.065,1.77,14.3,0.002,2410,0.031,0.42,0.25,3.54,82.3,0.034,3760,1440,267,0.034,194,0.96,1400,1.08,6.42,773,0.015,62.4,12.7,0.009,0.008,0.007,0.45,18.9
"179",222,461765.6,7548800,0.018,106,0.092,0.56,9.4,0.007,2110,0.073,0.26,0.58,4.74,127,0.034,4180,1080,527,0.063,58.2,1.55,1370,1.93,17.1,716,0.029,91.4,6.06,0.01,0.013,0.008,0.82,33.5
"180",223,663863.4,7461718,0.066,173,0.283,1.67,28.6,0.031,3020,0.113,0.56,0.62,10.2,264,0.042,4220,1420,725,0.133,32.3,8.6,1400,2.83,13.3,941,0.044,242,13.1,0.022,0.022,0.012,2.61,46.9
"181",226,514044.3,7661804,0.024,149,0.2,1.36,17.3,0.01,2670,0.06,0.28,0.45,6.65,143,0.056,3130,794,611,0.07,25.2,4.52,1080,2.04,8.7,789,0.029,160,8.12,0.028,0.023,0.006,1.11,18.8
"182",227,570100,7621300,0.055,178,0.146,0.71,14.9,0.013,2070,0.303,0.27,0.42,6.86,110,0.071,4040,965,319,0.061,80.6,5.03,1070,1.84,9.62,688,0.028,144,6.66,0.011,0.028,0.005,0.98,30.5
"183",228,452569.4,7395764,0.022,212,0.168,0.65,22,0.022,2560,0.122,0.16,1.43,4.89,219,0.09,3660,779,569,0.142,5,1.68,1010,5.97,15.9,818,0.046,232,4.11,0.007,0.055,0.017,2.24,32.8
"184",229,439974.6,7388717,0.011,205,0.148,0.92,26.5,0.011,3030,0.093,0.25,1.46,4.17,264,0.039,4310,1330,551,0.105,32,1.52,1340,4.08,32.5,836,0.037,297,8.56,0.055,0.046,0.017,1.86,34.5
"185",230,679989.6,7531623,0.033,156,0.178,0.99,23.3,0.052,3130,0.121,0.41,0.46,9.44,215,0.038,4530,1110,784,0.101,21.5,7.29,1410,4,19.3,888,0.032,197,13.3,0.016,0.018,0.009,2.19,49.3
"186",231,706352.6,7654820,0.043,178,0.361,4.13,21.1,0.027,2890,0.093,0.95,0.88,18.9,255,0.063,4030,968,329,0.124,100,24.2,1290,2.32,5.68,919,0.052,366,14.9,0.02,0.019,0.009,2.63,25.4
"187",232,622774.5,7686116,0.079,456,1.22,0.78,15.6,0.057,1830,0.254,4.46,5.65,79.9,1630,0.051,5980,1050,425,0.107,102,119,1360,5.23,11.8,1270,0.061,488,5.08,0.047,0.034,0.022,3.06,42.1
"188",233,733318.3,7439896,0.05,438,0.311,3.02,33.8,0.036,3820,0.21,0.87,0.77,16.3,433,0.046,4530,1130,215,0.185,162,13.5,1350,4.3,6.26,1050,0.065,426,17.7,0.024,0.035,0.011,4.7,41.4
"189",234,695358.5,7462357,0.039,353,0.23,3.95,39.8,0.037,6310,0.081,0.63,0.69,9.51,410,0.03,2860,1380,110,0.266,38.5,9.38,855,2.39,5.64,697,0.06,245,37.1,0.029,0.025,0.152,2.24,20.3
"190",235,494700,7788450,0.005,111,0.077,0.96,35.5,0.002,3160,0.071,0.34,0.4,3.39,187,0.044,4670,1390,168,0.07,57.3,2.28,1000,2.46,8,687,0.021,137,16.9,0.006,0.006,0.005,0.87,25.2
"191",236,423789,7861272,0.005,126,0.099,1.94,17.1,0.002,2810,0.078,0.16,0.36,3.1,151,0.061,4320,1770,126,0.078,288,1.09,941,3.07,4.05,726,0.025,206,18.4,0.019,0.008,0.012,0.92,15.6
"192",237,844526.9,7613843,0.029,178,0.206,2.67,11.5,0.012,2580,0.077,0.51,0.32,11,126,0.04,4510,1130,601,0.092,131,10.1,1460,1.53,13.7,844,0.029,178,11.7,0.052,0.01,0.023,1.27,35.2
"193",238,583515.9,7524261,0.011,207,0.175,1.06,12.5,0.013,2220,0.078,0.26,0.48,4.9,127,0.048,3560,858,439,0.079,34.2,2.86,1040,2.81,15,731,0.024,197,7.47,0.015,0.029,0.007,1.27,44.9
"194",241,418400,7663900,0.005,88.3,0.088,2.18,13.7,0.004,1890,0.058,0.23,0.22,2.85,66.7,0.044,4450,1040,461,0.034,69.1,1.73,1300,1.54,10.1,682,0.026,130,4.4,0.004,0.005,0.002,0.59,30.4
"195",243,579570,7800100,0.014,311,0.146,1.79,24.2,0.011,2330,0.081,0.44,0.52,5.03,322,0.065,4360,990,688,0.04,96.4,5.44,1130,3.13,3.91,744,0.031,297,10,0.03,0.012,0.015,1.21,36.6
"196",244,563624,7579588,0.026,117,0.169,1.41,14.6,0.014,2820,0.105,0.27,0.43,5.65,128,0.041,3400,897,297,0.084,39.1,3.39,642,3.03,5.35,789,0.033,278,15.6,0.015,0.034,0.007,1.13,25.4
"197",245,561075.1,7522261,0.022,203,0.152,1.97,21.3,0.014,2740,0.083,0.27,0.6,5.97,145,0.05,3980,892,1020,0.086,27.9,2.43,1100,3.5,23.2,964,0.032,197,10.8,0.026,0.35,0.012,1.4,52.3
"198",246,796396.9,7549391,0.133,558,0.344,1.05,26.1,0.051,2690,0.222,1.57,0.78,46.7,435,0.055,4520,710,296,0.186,153,40.5,1070,3.89,19.5,846,0.069,270,52.7,0.049,0.029,0.034,4.4,23.7
"199",247,695642.8,7700414,0.034,179,0.276,2.84,11.4,0.016,2160,0.081,1.26,1.67,28.2,521,0.046,3780,1210,108,0.079,390,42.5,1140,2.68,4.74,890,0.073,224,7.71,0.029,0.013,0.009,2.55,25.2
"200",248,411950,7833100,0.011,184,0.067,2.2,15.8,0.002,2840,0.032,0.16,0.36,3.11,219,0.05,3260,1330,232,0.048,180,1.14,1060,1.69,5.69,685,0.022,175,15.6,0.054,0.012,0.018,0.71,14.3
"201",249,445372.3,7507867,0.032,196,0.16,0.72,12.6,0.009,2170,0.057,0.23,0.72,4.31,276,0.034,3640,747,900,0.077,12.2,1.37,1130,3.09,11,727,0.043,202,4.26,0.019,0.033,0.009,1.49,31.8
"202",250,800872.4,7685617,0.046,229,0.187,1.83,37.9,0.023,3100,0.056,0.55,0.89,13.6,266,0.048,4430,1280,465,0.072,114,11.4,1460,3.92,3.32,864,0.051,209,9.75,0.025,0.007,0.019,2.54,33.6
"203",251,787972.1,7427886,0.041,289,0.225,2.38,27.8,0.029,2980,0.083,0.41,0.68,10.3,293,0.059,4190,1170,335,0.134,191,7.57,1370,3.6,15.8,962,0.058,238,9.41,0.033,0.046,0.015,2.68,36.9
"204",252,789595.4,7673445,0.064,234,0.555,1.22,25.2,0.028,2560,0.083,0.71,0.84,15.9,326,0.047,5510,1340,205,0.088,168,15.6,1580,5.03,6.41,966,0.055,299,12.7,0.034,0.015,0.021,4.02,29.3
"205",253,398532,7661237,0.018,183,0.143,0.76,21.5,0.012,2520,0.084,0.21,0.48,3.52,84.6,0.044,4030,921,560,0.038,27.9,2.03,1210,1.98,12,829,0.033,133,4.42,0.009,0.008,0.005,0.66,46.3
"206",256,458716.8,7707984,0.013,52.5,0.069,1.03,13.1,0.006,2190,0.031,0.18,0.29,3.91,50,0.028,4510,1230,555,0.039,46.5,1.49,1560,0.96,13.8,722,0.016,75.7,4.42,0.007,0.002,0.002,0.29,21.9
"207",258,811453.3,7543515,0.119,1320,0.329,1.05,28.5,0.044,2260,0.111,0.75,0.91,19.7,472,0.031,4390,770,412,0.2,102,20.9,1360,5.36,16.3,856,0.093,427,65.9,0.054,0.027,0.111,11.7,26.6
"208",261,439250,7714700,0.005,122,0.108,1.93,14.8,0.007,2790,0.037,0.24,0.52,5.15,149,0.042,3680,1440,404,0.055,44.8,2.6,1440,1.52,10.1,875,0.023,234,3.67,0.022,0.008,0.007,0.81,34.5
"209",262,617701.9,7484227,0.031,251,0.237,1.78,33.6,0.02,3350,0.128,0.27,0.75,6.25,240,0.044,3830,913,654,0.088,19.7,3.59,1120,3.59,11.7,890,0.049,286,6.3,0.028,0.017,0.013,1.93,51.9
"210",263,775411.6,7662197,0.079,259,0.186,1.84,23.8,0.038,2760,0.122,0.96,0.99,22,415,0.083,5560,1370,175,0.106,90.2,21.2,1530,4.45,9.18,1010,0.05,241,14.5,0.034,0.014,0.017,7.92,34.7
"211",264,659503,7400804,0.03,216,0.166,2.65,19.4,0.023,3010,0.094,0.35,0.43,5.98,154,0.045,4260,1300,539,0.127,27.5,3.45,1520,2.06,9.06,934,0.034,280,6.43,0.018,0.017,0.008,1.38,33.4
"212",265,691342,7507901,0.06,826,0.259,1.44,26.4,0.041,3400,0.099,1.16,3.91,17.3,1460,0.041,4230,1230,341,0.166,68.5,13.9,1100,3.54,12.6,855,0.036,453,8.2,0.28,0.054,0.192,4.55,22.1
"213",266,861308.9,7455904,0.044,288,0.105,1.18,18.4,0.022,2420,0.133,0.41,0.47,7.53,205,0.059,4920,897,643,0.072,38.7,6.45,1040,4.22,18.3,816,0.041,233,9.22,0.029,0.055,0.017,2.06,34.8
"214",267,487450,7811550,0.013,88,0.084,5.24,14.3,0.004,2550,0.041,0.24,0.47,4.55,112,0.08,4110,1720,589,0.046,163,1.93,1430,1.68,6.78,734,0.013,159,15.6,0.014,0.013,0.018,0.63,34.4
"215",271,543182.4,7560945,0.028,183,0.119,0.65,31,0.013,2870,0.072,0.21,0.43,4,150,0.081,2590,1220,305,0.065,38.1,1.9,538,3.1,7.87,676,0.027,323,21.9,0.019,0.047,0.007,1.14,25.1
"216",272,454218.7,7511966,0.034,143,0.138,0.99,15,0.015,2450,0.099,0.26,0.58,4.55,160,0.068,3930,1010,593,0.106,47.1,1.95,1310,3.46,15.2,862,0.025,169,7.36,0.02,0.064,0.006,1.52,59
"217",273,569021.8,7683944,0.027,117,0.256,1.38,17.8,0.015,3060,0.071,0.49,0.6,9.63,171,0.048,3300,816,667,0.058,40.7,10.8,945,2.11,12.4,846,0.031,236,5.8,0.012,0.026,0.007,0.93,32.9
"218",274,722289,7703436,0.025,110,0.181,4.23,16,0.011,2960,0.059,0.55,0.76,11.4,213,0.042,3700,1210,241,0.067,263,14.9,1270,1.59,5.38,760,0.031,155,15.8,0.019,0.01,0.008,1.87,29.3
"219",275,577964,7752850,0.023,91.6,0.091,0.97,17.5,0.012,2720,0.065,0.34,0.43,6.68,118,0.031,5110,1170,325,0.04,68.1,6.64,1420,3.01,12.2,831,0.021,122,8.54,0.008,0.009,0.005,1.2,22.9
"220",276,664416.5,7441473,0.04,153,0.165,4.45,36,0.02,3140,0.119,0.36,0.51,7.05,153,0.055,4760,1380,514,0.157,34.4,4.2,1710,3.58,12.2,987,0.039,187,15.9,0.017,0.034,0.009,1.8,62.5
"221",277,451619.8,7653957,0.015,83.2,0.102,1.16,9.5,0.007,2130,0.084,0.22,0.33,4.28,85.1,0.042,3470,1030,528,0.057,59.6,2.24,1160,1.83,7.06,745,0.028,116,4.02,0.009,0.017,0.006,0.73,37.5
"222",278,725744.7,7664162,0.069,248,0.323,4.72,39.5,0.041,3280,0.226,1.07,1.03,21.7,333,0.07,4370,1230,281,0.14,145,25.7,1510,3.43,14,1050,0.068,264,30.2,0.035,0.015,0.016,5.88,53.9
"223",280,802100.7,7644396,0.052,174,0.212,3.55,14.3,0.025,2130,0.115,0.71,0.55,14.5,208,0.048,3870,1260,263,0.098,136,13.9,1460,2.68,6.9,832,0.035,185,10.4,0.022,0.015,0.009,2.34,31.5
"224",281,431278.1,7582386,0.023,124,0.077,0.55,17.4,0.007,2410,0.089,0.15,0.36,3.45,97.7,0.029,4610,1080,424,0.051,30.5,1.45,1200,3.45,18.4,727,0.021,111,7.84,0.011,0.015,0.004,0.99,38.1
"225",282,773277.8,7585354,0.158,360,0.545,2.86,16.7,0.06,2290,0.246,2.85,1.22,69.1,812,0.07,3560,1040,361,0.275,69.4,62.5,925,4.36,4.83,813,0.07,328,15.9,0.054,0.041,0.029,4.21,29.7
"226",283,823504.7,7623054,0.047,158,0.198,2.54,18,0.018,2750,0.103,0.69,0.51,11.6,194,0.04,3760,1140,299,0.131,134,11.9,1040,2.16,7.9,765,0.037,272,21.3,0.032,0.014,0.012,1.6,21.9
