"","ID","CNo","XCOO","YCOO","SiO2_B","TiO2_B","Al2O3_B","Fe2O3_B","MnO_B","MgO_B","CaO_B","Na2O_B","K2O_B","P2O5_B","SO3_B","Cl_B","F_B","LOI_B","As_B","Ba_B","Bi_B","Ce_B","Co_B","Cr_B","Cs_B","Cu_B","Ga_B","Hf_B","La_B","Mo_B","Nb_B","Ni_B","Pb_B","Rb_B","Sb_B","Sc_B","Sn_B","Sr_B","Ta_B","Th_B","U_B","V_B","W_B","Y_B","Zn_B","Zr_B"
"95",5100,92,337398.4,7766815.6,66.59,0.591,12.52,5.1,0.056,2.96,2.87,3.9,1.67,0.136,0.02,0.031,0.034,3.25,2,368,1.5,15,14,136,2.5,17,12,2.5,46,1,7,30,4,55,2.5,14,1,140,2.5,11,4,92,1.5,15,25,161
"96",5101,36,577869,6868753,33.79,0.178,5.38,1.58,0.024,0.42,1.6,1.17,0.6,0.183,0.02,0.011,0.01,54.88,8,199,1.5,95,1.5,17,2.5,27,6,2.5,57,1,6,1.5,2,24,2.5,8,1,130,2.5,7,7,23,4,17,11,56
"97",5102,127,477009,7526187,1.56,0.018,0.9,0.82,0.006,0.06,0.28,0.04,0.03,0.215,0.02,0.006,0.01,95.94,1,37,1.5,32,1.5,32,2.5,5,1.5,2.5,15,1,3,4,4,13,2.5,5,1,11,2.5,10,1.5,15,1.5,4,1.5,1.5
"98",5104,11,-227934.3,7238361.5,65.39,0.788,13.63,5.35,0.09,2.15,3.24,2.67,1.82,0.279,0.005,0.008,0.01,4.23,1,382,1.5,55,9,75,2.5,12,16,5,145,1,11,22,15,117,2.5,17,1,205,8,13,6,99,1.5,22,75,204
"99",5105,40,-464109.3,6925267.2,66.72,0.765,13.52,4.77,0.075,1.27,2.27,2.84,3.22,0.208,0.005,0.03,0.071,3.87,5,733,1.5,79,9,27,2.5,5,16,6,96,4,12,8,9,153,2.5,11,5,152,6,15,5,82,1.5,23,77,280
"100",5106,66,523191,7025789,72.39,0.51,12.34,3.45,0.052,1.13,2,2.77,2.41,0.115,0.005,0.017,0.059,2.46,4,605,1.5,15,11,50,2.5,5,14,2.5,15,1,8,9,9,95,2.5,9,7,194,2.5,12,4,53,7,13,44,205
"101",5108,45,-575284.1,6710942.8,71.4,0.953,6.88,3.21,0.052,1.03,1.69,0.75,1.26,0.161,0.005,0.011,0.025,12.33,4,273,1.5,43,1.5,18,6,5,8,2.5,27,1,7,1.5,8,78,5,10,1,98,2.5,12,5,51,1.5,16,45,222
"102",5109,68,-627350.1,6833586.3,59.97,1.206,13.42,6.41,0.132,1.82,3.31,2.95,2.68,0.632,0.005,0.019,0.042,7,1,778,1.5,93,19,35,2.5,5,21,10,111,3,10,12,26,201,7,17,3,187,2.5,16,8,82,6,42,153,300
"103",5110,12,423335.5,6479424.6,83.25,0.297,7.39,1.65,0.05,0.37,0.69,1,2.51,0.129,0.005,0.02,0.091,2.24,3,380,1.5,30,1.5,15,2.5,5,7,6,106,1,5,1.5,17,92,2.5,5,1,86,2.5,15,3,29,4,11,27,260
"104",5111,20,248851,6169135,72,0.417,8.49,3.04,0.059,1.55,4.02,0.55,2.41,0.091,0.01,0.016,0.094,6.97,4,356,1.5,47,4,42,2.5,5,7,2.5,43,1,6,11,6,125,2.5,7,1,65,2.5,15,5,42,8,13,39,204
"105",5112,94,572521,7224709,0.49,0.017,0.76,0.15,0.003,0.02,0.09,0.04,0.03,0.11,0.01,0.001,0.01,98.19,1,28,1.5,15,1.5,7,2.5,5,1.5,2.5,15,1,3,1.5,2,2,2.5,2,1,5,2.5,8,1.5,6,1.5,1.5,1.5,1.5
"106",5113,98,440680,7706710,70.59,0.472,12.23,4.18,0.069,2.25,3.15,3.37,1.71,0.102,0.005,0.012,0.01,1.54,1,496,1.5,34,16,116,2.5,12,12,2.5,15,2,5,42,10,75,2.5,11,1,229,2.5,11,3,82,1.5,8,40,115
"107",5114,16,164613,6228678,72.9,0.297,5.83,1.6,0.049,1.5,6.97,0.64,1.93,0.068,0.01,0.016,0.113,7.85,3,331,4,15,1.5,22,2.5,5,5,2.5,72,1,5,1.5,9,83,8,4,1,87,2.5,12,5,36,4,10,23,210
"108",5115,83,77439.6,7614400.4,46.33,0.536,8.79,4.03,0.167,8.17,10.35,0.84,1.48,0.13,0.13,0.017,0.095,18.7,6,292,1.5,56,8,54,2.5,17,10,6,67,1,12,15,10,80,7,12,1,103,5,14,8,58,1.5,17,39,130
"109",5116,105,617718.6,7779321,87.27,0.224,5.35,1.71,0.029,0.28,0.32,0.88,1.35,0.052,0.005,0.012,0.074,2.24,1,232,1.5,15,1.5,17,2.5,5,4,6,15,1,4,1.5,4,76,2.5,2,1,46,2.5,12,1.5,21,6,5,20,83
"110",5117,58,680978,6976259,0.23,0.003,0.13,0.05,0.001,0.04,0.27,0.01,0.01,0.039,0.03,0.003,0.01,99.07,1,19,1.5,15,1.5,1.5,2.5,5,1.5,2.5,15,1,1,1.5,2,5,2.5,1,1,13,2.5,6,1.5,2.5,1.5,1.5,1.5,1.5
"111",5118,27,-449525.9,6792808.8,64.76,0.896,13.26,5.56,0.087,1.64,2.65,2.53,2.58,0.212,0.02,0.016,0.01,5.4,4,652,1.5,50,6,38,5,5,18,7,132,1,11,14,12,129,6,14,2,166,2.5,12,6,85,1.5,35,71,254
"112",5119,109,141594.2,7715337.6,70.3,0.757,12.11,4.94,0.101,2.19,3.27,2.29,1.37,0.189,0.005,0.023,0.047,2.15,3,320,1.5,15,9,63,2.5,5,10,2.5,81,1,10,10,10,78,2.5,13,2,191,2.5,10,1.5,96,1.5,21,44,180
"113",5120,85,198660.6,7674695.2,62.78,0.989,13.86,6.8,0.101,2.92,3.45,2.08,1.45,0.18,0.005,0.018,0.073,5.01,1,334,1.5,74,16,88,2.5,13,18,6,89,3,13,15,13,92,2.5,19,1,198,2.5,14,5,114,7,21,87,246
"114",5121,111,582567,7369850,72.62,0.462,12.02,3.45,0.044,1.67,2.39,3.28,1.93,0.067,0.005,0.02,0.01,1.75,1,492,1.5,15,3,100,2.5,5,14,2.5,28,1,8,18,9,81,2.5,10,4,172,2.5,14,6,70,1.5,9,21,143
"115",5122,99,428540,7748100,65.93,0.708,12.02,6.38,0.079,3.62,3.24,3.17,1.05,0.088,0.005,0.023,0.01,3.42,1,343,1.5,47,27,237,2.5,38,16,2.5,49,1,7,88,2,72,2.5,18,2,142,2.5,9,4,133,4,8,41,168
"116",5123,121,512595,7459814,67.74,0.665,13.28,6.56,0.066,2.38,2.27,2.38,1.45,0.071,0.005,0.027,0.024,2.8,2,394,1.5,15,25,202,2.5,20,14,7,77,3,8,63,2,96,2.5,17,2,120,2.5,11,5,126,1.5,7,36,100
"117",5124,37,626549,6874851,22.32,0.106,2.92,2.92,0.043,0.27,1.48,0.51,0.35,0.163,0.25,0.003,0.067,68.45,1,177,1.5,28,1.5,14,2.5,28,1.5,2.5,28,1,5,17,2,11,2.5,4,1,78,2.5,9,4,26,1.5,11,22,33
"118",5125,73,-670826.9,6911557.9,45.52,1.888,14.46,11.1,0.144,3.38,4.51,3.16,1.59,0.571,0.005,0.02,0.03,13.14,3,1002,1.5,106,24,78,2.5,39,22,6,119,10,23,46,18,50,6,25,1,724,2.5,6,1.5,193,5,37,115,435
"119",5127,1,-329318.5,7117480.2,67.22,0.805,12.09,5.53,0.11,2.19,1.85,1.9,1.35,0.135,0.005,0.007,0.07,6.49,13,258,1.5,41,14,118,2.5,5,12,2.5,88,1,9,37,10,85,2.5,16,1,116,2.5,11,5,91,1.5,14,55,174
"120",5128,5,522860.7,6215409.8,89.12,0.183,5.17,1.06,0.026,0.17,0.34,0.61,1.79,0.051,0.005,0.005,0.01,1.26,1,291,1.5,15,1.5,8,2.5,5,1.5,2.5,43,1,2,1.5,7,88,2.5,3,1,53,2.5,15,1.5,20,6,1.5,13,160
"121",5131,106,590040,7753320,55.49,0.765,16.92,8.32,0.081,2.98,2.38,2.55,2.17,0.151,0.005,0.012,0.01,7.86,5,609,1.5,50,25,120,2.5,53,21,2.5,62,6,11,69,12,128,5,17,1,175,2.5,17,1.5,136,4,13,126,81
"122",5132,244,474110,6921132,33.6,0.341,7.64,1.67,0.041,0.44,1.36,1.19,1.13,0.195,0.005,0.003,0.01,52.15,3,385,1.5,105,1.5,32,2.5,24,9,2.5,76,3,9,10,11,46,2.5,10,3,118,2.5,12,8,46,6,27,14,49
"123",5133,51,-491752,6928788.8,56.66,0.8,15.7,6.31,0.191,1.91,4.22,3.42,2.53,0.478,0.005,0.01,0.042,7.28,2,1086,1.5,86,17,46,2.5,27,19,5,66,1,7,9,20,97,2.5,16,1,542,2.5,9,5,104,5,20,169,196
"124",5134,91,424230,7224010,71.57,0.496,13.03,3.39,0.047,1.4,2.31,3.29,2.45,0.117,0.005,0.018,0.01,1.57,1,649,1.5,38,1.5,53,2.5,5,15,5,57,1,5,8,10,111,2.5,9,1,210,2.5,14,4,65,5,11,36,162
"125",5135,24,326276,6010516,90.27,0.151,4.56,0.93,0.03,0.16,0.35,0.65,1.52,0.047,0.005,0.007,0.01,1.17,1,275,1.5,15,1.5,11,2.5,13,3,2.5,48,1,3,1.5,9,67,6,3,1,49,2.5,10,4,13,9,6,19,133
"126",5136,24,426429,6822173,59.01,0.863,15.93,7.44,0.195,2.65,2.27,2.8,3.23,0.176,0.005,0.003,0.01,5.08,7,786,1.5,95,31,83,2.5,26,20,2.5,51,2,18,43,13,157,2.5,16,1,193,2.5,15,7,119,7,27,116,159
"127",5137,25,474710,6820674,73.23,0.298,13.1,2.15,0.038,0.7,2.31,3.06,2.57,0.082,0.005,0.013,0.01,2.18,4,675,1.5,15,1.5,29,2.5,5,14,2.5,15,1,8,1.5,12,99,2.5,8,1,257,7,10,1.5,27,5,8,29,244
"128",5138,46,574770,6924830,0.34,0.007,0.19,0.37,0.003,0.07,0.5,0.03,0.02,0.035,0.15,0.003,0.021,98.18,1,40,1.5,15,1.5,1.5,2.5,5,1.5,2.5,15,1,2,1.5,2,1,2.5,1,1,31,2.5,2.5,1.5,2.5,1.5,1.5,1.5,1.5
"129",5139,12,225210,6771295,72.97,0.528,11.46,3.56,0.115,1.08,1.46,1.98,2.72,0.138,0.005,0.008,0.01,3.64,4,492,1.5,64,5,52,6,10,12,2.5,36,1,12,9,13,138,2.5,11,1,128,2.5,16,5,50,1.5,18,51,177
"130",5140,93,526989,7222110,73.35,0.436,12.49,2.75,0.041,1.13,2.15,3.32,2.27,0.066,0.005,0.016,0.085,1.66,1,613,1.5,15,4,50,2.5,5,12,2.5,15,1,8,7,12,94,2.5,8,1,214,2.5,9,1.5,48,1.5,10,24,188
"131",5141,8,368753,6721416,68.35,0.571,13.74,4.59,0.074,1.5,2.44,2.66,2.37,0.175,0.005,0.006,0.01,3.21,5,518,1.5,74,11,52,5,21,17,8,82,1,11,14,13,114,2.5,13,1,231,2.5,17,8,74,1.5,24,56,226
"132",5142,57,628249,6973910,67.51,0.619,13.43,4.96,0.073,2.11,2.47,3.09,2.35,0.137,0.005,0.013,0.01,2.94,4,602,1.5,72,11,71,2.5,22,17,6,56,1,9,24,11,106,2.5,14,2,194,2.5,13,5,78,4,17,69,180
"133",5144,53,-477159.2,7069069.6,64.44,0.484,15.28,3.98,0.08,1.48,3.46,3.46,2.44,0.194,0.005,0.005,0.01,4.37,1,834,1.5,59,7,45,2.5,18,12,2.5,44,1,9,16,14,94,2.5,10,1,439,2.5,7,1.5,64,1.5,17,49,172
"134",5145,18,275078,6248670,79.37,0.306,5.87,1.48,0.028,1.62,3.18,0.57,2.18,0.055,0.02,0.011,0.01,5.07,1,337,1.5,40,1.5,30,2.5,5,5,2.5,40,1,5,1.5,8,82,2.5,5,1,65,2.5,15,4,30,1.5,11,17,302
"135",5146,320,214714.1,7745546.6,62.86,1.005,15.57,6.23,0.092,2.73,3.43,2.43,1.86,0.214,0.005,0.013,0.137,3.14,6,425,1.5,33,11,99,2.5,5,21,2.5,15,4,16,20,18,107,2.5,21,1,177,2.5,13,7,113,1.5,24,72,238
"136",5147,10,332360.1,6496728.5,70.66,0.365,8.58,3,0.071,1.5,4.13,0.86,2.66,0.13,0.06,0.01,0.01,7.71,5,326,1.5,67,3,38,2.5,5,10,2.5,78,1,6,6,14,94,2.5,7,1,90,2.5,14,5,39,5,21,53,165
"137",5148,34,474610,6873251,75.8,0.281,12.26,1.76,0.035,0.49,2.11,2.86,2.43,0.084,0.005,0.014,0.01,1.55,5,645,1.5,33,5,21,2.5,5,10,2.5,35,1,8,1.5,8,98,2.5,9,1,236,2.5,10,4,27,4,9,20,234
"138",5149,55,524490,6972211,72.33,0.346,11.99,2.27,0.041,0.86,2.33,2.96,1.97,0.113,0.005,0.013,0.059,4.46,1,529,1.5,31,3,25,2.5,5,12,6,31,2,7,1.5,12,81,2.5,9,1,253,2.5,5,5,39,4,9,24,160
"139",5150,17,210941,6245068,79.75,0.462,8.62,2.89,0.058,0.77,0.42,0.59,2.79,0.075,0.005,0.011,0.069,3.21,1,388,1.5,52,11,43,2.5,5,11,2.5,44,1,6,11,17,98,2.5,9,1,60,2.5,18,5,35,1.5,16,37,267
"140",5151,88,528888,7172130,75.33,0.379,11.92,2.41,0.039,0.88,1.93,3.19,2.24,0.066,0.005,0.018,0.01,1.3,1,594,1.5,34,1.5,37,2.5,5,12,2.5,85,1,5,1.5,9,99,7,8,1,198,2.5,10,1.5,44,1.5,7,21,165
"141",5152,89,283631.9,7765246.5,66.02,0.858,12.47,6.39,0.118,2.41,3.08,2.16,1.28,0.161,0.005,0.012,0.01,4.81,2,291,1.5,34,14,77,2.5,11,14,2.5,106,1,10,26,13,74,2.5,17,1,147,8,11,4,95,1.5,24,58,227
"142",5154,41,327969,6921832,69.69,0.579,13.1,4.01,0.07,1.3,2.03,2.89,2.66,0.148,0.005,0.017,0.055,3.13,5,584,1.5,52,8,41,2.5,5,14,2.5,88,1,8,4,15,109,2.5,12,1,190,2.5,10,3,62,1.5,25,50,270
"143",5155,9,423830,6723115,50.08,0.902,18.04,10.28,0.109,3.4,1.44,1.71,3.41,0.164,0.005,0.008,0.01,10.09,13,697,1.5,153,20,124,8,58,30,7,75,5,21,66,20,205,2.5,23,4,133,2.5,29,12,147,3,38,159,139
"144",5156,49,233207,6973111,71.55,0.583,12.46,3.13,0.049,1.11,2.07,2.79,2.53,0.164,0.005,0.02,0.01,3.14,4,529,1.5,64,3,44,2.5,5,13,6,81,3,12,4,12,127,2.5,13,1,187,2.5,16,6,61,1.5,19,41,319
"145",5157,1,403970,6127905,86.98,0.263,5.92,1.5,0.052,0.29,0.41,0.72,1.93,0.056,0.005,0.013,0.048,1.57,2,321,1.5,41,1.5,19,5,5,6,6,80,1,5,1.5,7,94,2.5,6,1,58,2.5,14,5,22,5,6,24,227
"146",5158,22,235907.5,6374208.7,61.73,0.483,9.92,3.86,0.071,1.15,9.03,1.04,2.37,0.114,0.02,0.014,0.025,9.86,8,380,1.5,81,12,51,2.5,13,11,2.5,64,4,9,12,16,132,2.5,10,1,115,2.5,18,6,48,9,18,56,194
"147",5159,21,295453,6120445,48.88,0.411,7.63,2.7,0.047,4.54,14.66,0.45,2.17,0.081,0.04,0.013,0.096,18.08,5,306,1.5,51,1.5,37,5,17,6,2.5,63,3,8,8,2,97,2.5,8,1,86,2.5,12,6,40,1.5,12,31,152
"148",5160,2,387684.1,6569821.4,62.82,0.297,7.44,2.54,0.07,0.61,11.04,0.94,2.18,0.272,0.06,0.008,0.085,11.4,4,299,1.5,51,5,28,2.5,5,7,2.5,63,1,4,1.5,14,98,2.5,8,1,125,2.5,14,7,29,3,22,49,170
"149",5161,43,427829,6917333,72.01,0.5,12.88,3.36,0.057,1.1,1.89,2.8,2.63,0.113,0.005,0.016,0.01,2.33,4,592,1.5,63,10,35,2.5,25,11,2.5,34,1,9,1.5,12,115,2.5,11,1,183,2.5,13,6,59,1.5,14,58,207
"150",5162,116,521291,7418331,67.47,0.706,12.97,5.38,0.075,2.31,2.37,3.06,1.82,0.092,0.005,0.017,0.044,3.42,4,495,1.5,29,16,131,2.5,27,15,7,15,4,7,46,7,98,2.5,15,1,147,2.5,14,5,101,4,9,48,146
"151",5163,207,321072,6724415,70.92,0.5,12.64,4.34,0.063,1.24,1.88,2.32,2.2,0.081,0.005,0.007,0.01,3.53,9,495,1.5,59,8,56,2.5,20,12,2.5,29,1,7,11,15,98,2.5,13,1,164,2.5,16,4,66,10,20,58,197
"152",5164,70,-605666.2,6907962.9,52.05,1.672,14.51,9.65,0.228,3.18,3.9,2.62,1.51,0.684,0.005,0.007,0.01,9.6,9,689,4,74,28,49,6,42,19,2.5,35,6,14,44,24,112,2.5,20,6,281,2.5,6,8,153,6,30,182,275
"153",5165,71,324570,7077268,0.42,0.012,0.42,0.33,0.004,0.07,0.36,0.02,0.02,0.109,0.05,0.007,0.01,98.08,1,39,1.5,15,1.5,1.5,2.5,13,1.5,2.5,15,1,3,1.5,2,13,2.5,1,1,23,2.5,10,1.5,5,1.5,1.5,1.5,1.5
"154",5166,103,470312,7321970,32.86,0.31,7.5,2.13,0.025,0.64,1.53,2.07,0.9,0.335,0.005,0.008,0.01,51.48,1,421,1.5,38,1.5,17,2.5,37,7,2.5,38,1,5,1.5,9,38,2.5,8,1,268,2.5,2.5,4,46,1.5,5,38,65
"155",5167,83,619052,7120450,3.93,0.042,1.25,0.43,0.014,0.13,0.39,0.05,0.07,0.222,0.05,0.005,0.066,93.25,1,63,1.5,15,1.5,54,2.5,24,1.5,2.5,15,1,3,10,5,6,2.5,4,1,25,2.5,10,3,34,1.5,1.5,13,1.5
"156",5168,6,272591,6723015,48.11,0.95,18.2,10.96,0.102,3.26,1.06,1.34,3.17,0.149,0.005,0.001,0.01,12.37,14,722,1.5,144,30,129,9,59,28,2.5,80,7,22,56,27,195,2.5,22,5,101,2.5,29,11,139,1.5,41,168,141
"157",5169,95,620352,7225809,3.44,0.018,0.96,0.14,0.003,0.06,0.24,0.1,0.08,0.106,0.03,0.005,0.01,94.71,1,49,1.5,15,1.5,10,2.5,20,1.5,2.5,15,1,3,1.5,2,5,2.5,3,1,14,2.5,8,1.5,2.5,1.5,1.5,5,1.5
"158",5170,5,526586.1,6574414,77.4,0.382,9.86,2.77,0.051,0.56,0.86,1.13,2.76,0.13,0.005,0.011,0.035,3.75,4,416,1.5,63,5,24,2.5,14,11,2.5,35,1,6,8,15,108,2.5,7,1,87,2.5,16,1.5,35,5,17,43,200
"159",5173,54,-368408.2,7077043,58.96,0.738,16.03,6.17,0.119,2.7,4.07,3.06,2.53,0.262,0.005,0.013,0.073,4.88,4,809,4,98,20,69,2.5,43,18,2.5,119,3,11,39,13,99,2.5,15,1,409,2.5,9,3,99,1.5,25,102,171
"160",5174,22,-373423.6,6862907.6,71.32,0.597,10.43,3.42,0.124,0.79,1.1,1.61,2.04,0.275,0.01,0.009,0.01,7.9,3,639,1.5,80,1.5,34,2.5,15,11,2.5,32,1,9,5,24,121,2.5,9,1,123,2.5,14,1.5,44,8,22,92,270
"161",5175,13,484589.4,6476541.6,81.64,0.407,8.22,1.88,0.063,0.4,0.53,0.78,2.97,0.132,0.005,0.01,0.052,2.65,2,427,1.5,44,7,25,2.5,5,8,2.5,15,1,6,1.5,13,105,2.5,6,1,68,2.5,15,5,27,1.5,11,36,280
"162",5176,20,223810,6823972,59.66,0.888,16.07,7.37,0.111,2.63,1.82,2.22,3.54,0.211,0.005,0.001,0.045,5.12,8,665,1.5,97,14,88,8,37,21,2.5,49,1,18,36,21,163,2.5,19,1,146,8,18,6,98,6,34,129,169
"163",5177,2,-318564.7,6814610.3,81.08,0.656,8.15,2.85,0.049,0.69,0.89,1.35,2.45,0.093,0.005,0.012,0.049,1.36,1,417,1.5,57,1.5,32,2.5,13,7,5,29,1,12,6,13,101,2.5,9,1,75,2.5,17,6,31,4,15,34,381
"164",5178,112,-175130.6,7346028.5,64.95,0.743,15.14,9.24,0.362,1.55,2.02,2.12,1.31,0.207,0.005,0.01,0.064,2.04,4,303,1.5,53,16,70,2.5,5,19,2.5,41,9,18,22,13,97,9,24,1,154,2.5,10,5,77,1.5,33,193,140
"165",5179,110,523491,7370751,35.54,0.188,5.89,0.55,0.009,0.15,0.72,1.54,1.28,0.123,0.005,0.004,0.038,53.84,1,343,1.5,15,1.5,11,2.5,5,7,6,15,1,5,1.5,12,49,2.5,5,1,92,2.5,7,1.5,16,1.5,1.5,18,70
"166",5180,108,-281559.8,6877604.6,84.85,0.301,6.94,1.33,0.033,0.32,0.33,1.01,2.74,0.117,0.005,0.012,0.092,1.65,1,494,1.5,15,1.5,12,2.5,27,5,2.5,15,1,5,1.5,15,99,2.5,2,1,62,2.5,13,4,22,1.5,8,27,243
"167",5181,6,352318.2,6514922.2,78.25,0.244,7.14,1.63,0.037,1.43,3.29,1.22,2.03,0.118,0.01,0.024,0.04,4.25,1,338,1.5,52,1.5,18,2.5,23,6,2.5,37,2,4,1.5,9,72,2.5,7,1,104,2.5,16,6,22,1.5,22,19,290
"168",5182,2,420069.4,6269877.9,68.09,0.501,10.12,3.54,0.061,1.81,4.2,0.79,2.77,0.108,0.005,0.017,0.01,7.7,5,397,1.5,65,11,46,2.5,16,11,2.5,32,1,9,11,14,117,2.5,9,1,89,2.5,16,6,49,1.5,21,44,235
"169",5183,137,360556,7613849,67.23,0.496,13.55,4.37,0.051,2.88,3.29,4.05,2.23,0.159,0.005,0.028,0.04,1.32,1,663,1.5,15,8,85,2.5,11,16,2.5,25,1,7,34,10,88,2.5,13,4,288,2.5,12,3,79,1.5,8,36,127
"170",5184,6,530696.9,6278573,75.27,0.384,8.32,2.68,0.05,1.45,2.87,0.72,2.36,0.093,0.005,0.014,0.051,5.48,5,355,1.5,64,1.5,36,2.5,17,12,6,58,1,7,6,12,96,2.5,10,2,76,2.5,16,6,34,1.5,18,35,207
"171",5185,14,369946.6,6369678.8,84.3,0.271,7.36,1.76,0.051,0.39,0.69,0.89,2.34,0.089,0.005,0.012,0.031,1.56,1,362,1.5,46,1.5,19,2.5,5,7,6,32,1,1,1.5,19,89,2.5,6,1,74,2.5,16,1.5,25,3,14,27,207
"172",5186,13,271392,6771495,58.43,0.863,15.76,7.86,0.124,2.46,1.59,1.88,3.02,0.168,0.005,0.013,0.01,7.48,8,663,1.5,105,18,99,2.5,28,22,2.5,86,7,19,38,26,169,2.5,19,3,124,2.5,22,9,117,5,33,124,180
"173",5187,65,479908,7023989,69.36,0.578,13.19,4.37,0.072,1.51,2.32,2.89,2.52,0.124,0.005,0.018,0.01,2.75,5,626,1.5,43,14,52,2.5,16,13,2.5,66,1,10,15,13,100,5,13,1,212,2.5,15,6,67,3,20,56,195
"174",5188,12,-180873.2,7248286.5,59.47,1.004,12.88,8.2,0.214,2.37,3.19,2.11,0.94,0.141,0.005,0.013,0.01,9.23,6,222,1.5,15,15,173,2.5,16,12,8,28,5,13,28,9,64,2.5,23,3,133,2.5,8,4,119,1.5,29,78,182
"175",5190,67,574870,7025889,76.82,0.215,10.8,1.27,0.023,0.37,1.41,3.06,2.01,0.033,0.005,0.005,0.03,3.72,1,523,1.5,15,1.5,20,2.5,5,13,2.5,15,1,3,1.5,9,86,2.5,5,1,183,2.5,13,1.5,23,1.5,1.5,13,71
"176",5191,4,408097,6202632,77.7,0.412,8.65,2.83,0.051,1.02,1.4,0.69,2.45,0.072,0.005,0.011,0.01,4.41,2,365,1.5,63,3,35,5,11,9,2.5,43,1,6,7,13,105,2.5,8,1,64,2.5,18,3,46,6,19,33,264
"177",5192,18,-352860.2,7054884.8,60.3,0.691,11.36,5.14,0.129,2.21,3.16,1.64,1.12,0.281,0.005,0.003,0.01,13.7,3,219,1.5,62,6,105,5,16,11,2.5,59,3,11,36,11,68,2.5,15,1,155,2.5,16,5,82,5,25,75,173
"178",5193,43,-487198,6779281.7,73.49,0.58,10.71,3.31,0.071,0.78,1.71,2.36,2.82,0.209,0.005,0.007,0.056,3.6,3,543,1.5,48,5,15,2.5,5,16,7,36,1,9,1.5,22,118,6,8,3,136,2.5,13,1.5,40,13,29,62,271
"179",5194,260,-619656.5,6805304.1,44.85,1.576,14.55,15.87,0.151,3.64,2.14,0.85,2.42,0.324,0.005,0.007,0.046,13.21,30,649,1.5,73,23,49,8,21,26,5,15,22,10,25,83,201,2.5,19,3,118,2.5,17,10,163,12,34,255,223
"180",5195,88,277680.7,7780735,67.31,0.687,12.34,5.32,0.087,2.54,3.33,2.44,1.73,0.133,0.005,0.025,0.01,3.8,4,387,3,31,19,88,2.5,20,14,5,33,4,14,28,7,96,2.5,17,1,160,2.5,10,1.5,98,4,15,57,170
"181",5196,248,671331,6924030,65.71,0.453,11.81,4.05,0.041,1.61,1.28,2.31,1.77,0.077,0.005,0.012,0.026,10.56,6,424,1.5,44,4,78,2.5,20,15,2.5,15,1,2,16,12,81,2.5,13,4,142,2.5,16,4,82,1.5,11,50,106
"182",5197,245,-575284.1,6710942.8,71.05,0.954,6.71,3.21,0.053,1.07,1.69,0.74,1.21,0.167,0.005,0.009,0.01,12.85,2,270,1.5,52,7,16,2.5,5,8,6,15,4,8,1.5,10,64,2.5,10,1,102,2.5,10,3,52,1.5,20,43,235
"183",5198,25,-401772.5,6729888.4,60.42,0.839,16.11,6.62,0.084,1.94,1.03,1.82,3.48,0.136,0.005,0.011,0.01,7.16,9,715,1.5,98,18,80,2.5,10,20,6,61,4,31,38,20,171,2.5,16,1,129,2.5,18,6,151,3,26,95,208
"184",5199,30,274290,6872252,71.94,0.603,12.51,3.06,0.055,1.06,2.21,2.91,2.54,0.149,0.005,0.016,0.068,2.5,1,590,1.5,114,1.5,41,2.5,5,15,9,82,1,10,7,18,116,2.5,10,1,199,7,16,8,54,4,27,45,464
"185",5200,13,-147821.2,7221272.9,57.8,1.055,14.63,8.81,0.153,4.07,2.86,1.88,1.61,0.203,0.005,0.005,0.01,6.6,16,272,1.5,55,27,217,2.5,19,16,2.5,65,5,13,76,8,76,2.5,26,1,106,2.5,11,7,164,4,29,106,173
"186",5201,108,426030,7369551,0.78,0.014,0.26,0.61,0.027,0.47,2.8,0.08,0.05,0.107,0.86,0.013,0.01,93.83,1,214,1.5,15,1.5,13,2.5,30,1.5,2.5,15,3,6,28,2,2,2.5,1,1,53,2.5,5,10,12,1.5,17,1.5,1.5
"187",5202,29,-408068,6880445.4,66.65,0.701,11.08,4.89,0.088,1.43,2.6,1.99,2.26,0.155,0.03,0.01,0.01,7.75,3,681,4,65,9,38,2.5,5,12,2.5,47,2,13,9,13,90,2.5,12,3,334,2.5,7,5,81,6,23,47,240
"188",5203,114,426330,7422329,61.42,0.538,11.52,2.61,0.039,1.1,2.44,3.2,2.01,0.148,0.09,0.023,0.01,14.51,1,703,1.5,37,6,40,2.5,5,14,5,74,1,7,7,10,90,2.5,9,1,243,2.5,16,5,46,1.5,4,20,204
"189",5204,91,322852.8,7686479.7,68.07,0.534,13.4,4.32,0.056,1.83,3.14,3.84,1.72,0.08,0.005,0.034,0.01,2.68,1,470,1.5,33,11,58,2.5,16,14,2.5,26,1,7,18,5,73,2.5,15,1,227,2.5,11,4,80,5,11,29,145
"190",5205,32,376449,6873052,64.41,0.767,14.76,5.44,0.091,1.95,2.36,3,2.85,0.158,0.005,0.012,0.01,3.84,3,679,1.5,75,10,61,2.5,20,18,2.5,66,2,14,19,17,133,2.5,17,1,212,7,15,6,82,10,26,74,216
"191",5206,26,329497,6259605.9,60.95,0.432,7.6,2.06,0.051,3.93,8.98,0.75,2.43,0.097,0.03,0.012,0.06,12.35,2,383,1.5,59,1.5,36,2.5,5,7,2.5,29,1,6,1.5,6,89,8,6,3,94,2.5,17,5,40,1.5,20,26,250
