"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Sc","Si","Sr","Th","Tl","U","V","Y","Zn","C","H","N","LOI","pH","Cond"
"88",102,582916,7715030,0.163,928,1.34,3.22,50.4,0.02,0.115,2920,0.183,1.32,2,20.4,1480,0.235,1100,1.1,630,256,0.469,100,26.1,701,13.4,11.9,1480,0.161,0.3,560,18.6,0.607,0.159,0.12,4.17,0.4,60.9,43.8,6,1.2,88,3.7,141.7
"89",103,766616,7470870,0.328,914,1.59,2.63,31.6,0.02,0.169,4990,0.382,1.69,1.58,22.3,860,0.212,800,3.5,540,40.5,0.534,40,29.3,609,23.5,2.94,1470,0.317,0.2,610,40.5,0.146,0.078,0.055,4.27,0.6,29.2,46.7,5.9,1.3,96.3,3.8,115.9
"90",106,476610,7591680,0.511,6680,1.26,1.62,95.1,0.13,0.126,2290,0.807,5.12,3.23,17.2,4090,0.238,800,3.7,490,22.6,0.3,60,4.5,1090,15.8,5.24,1660,0.127,1.9,690,50.2,0.51,0.113,0.219,3.83,2.1,23.8,44.1,6.2,1.5,90.1,4.1,91.1
"91",107,713397,7642440,0.148,738,0.853,1.92,92.3,0.01,0.111,4100,0.4,1.86,2.29,23.1,1210,0.22,1200,0.9,820,139,0.303,70,29.1,1080,17.9,3.96,1770,0.295,0.3,650,36.3,0.12,0.064,0.036,3.97,0.5,72.3,44.7,6,1.5,90.3,3.8,158.2
"92",108,772550,7504030,0.469,4910,2.12,2.78,142,0.23,0.163,9690,0.558,7.27,7.31,74.9,11900,0.321,1100,29.1,990,108,0.844,250,111,1650,21.7,5.34,1660,0.181,1.3,670,235,0.943,0.11,0.332,15.6,5.7,67.5,44.3,5.7,1.3,83,4.4,113.9
"93",109,581617,7503320,0.299,1650,0.987,2.56,73.7,0.01,0.178,3070,0.229,0.66,3.4,7.51,1540,0.239,1400,1.6,710,483,0.212,40,6.2,942,19.8,12,1440,0.128,0.4,710,21.4,0.517,0.121,0.086,6.3,0.5,66.4,41.2,5.6,1.4,84,3.9,160.4
"94",110,606700,7599500,0.51,1590,0.874,2.15,127,0.03,0.147,3690,0.353,1.1,2.32,11.8,1290,0.261,1400,2.4,730,341,0.412,110,8.99,1110,19.7,6.48,1330,0.187,0.5,710,34,0.746,0.101,0.044,3.24,0.6,57.2,44.8,5.8,1.4,90.3,4,141.5
"95",111,707772,7446270,1.57,5390,1.44,2.44,137,0.13,0.185,3640,0.67,5.44,2.53,17.4,2740,0.289,1000,8.9,600,150,0.444,50,18.4,1270,21.5,5.38,1670,0.409,1,710,47.8,0.521,0.214,0.234,3.94,1.6,37.8,44.4,5.9,1.4,94.1,4.1,111.1
"96",113,798728,7617210,0.13,3420,0.93,1.78,77.7,0.05,0.081,1810,0.276,2.37,4.09,9.34,3440,0.262,800,4.6,620,46,0.184,50,17.6,878,11.1,3.98,1350,0.093,0.6,460,29.2,0.741,0.052,0.081,5.81,0.9,23.3,36.9,5.1,1.2,75.4,4,88.5
"97",114,524990,7721780,0.037,1840,0.484,1.56,234,0.01,0.029,5060,0.105,0.74,2.15,5.98,1600,0.194,400,1.6,1450,32.7,0.098,70,3.38,528,4.07,1.58,1940,0.044,0.6,530,108,0.543,0.02,0.061,3.3,0.7,53.1,42.2,5.2,1.4,86.5,3.9,70.7
"98",115,552778,7492720,0.194,1390,0.876,1.67,58,0.02,0.181,2350,0.326,0.76,3.37,8.4,1370,0.201,1400,4.6,700,400,0.332,50,6.04,1040,27.4,11.3,1390,0.276,0.4,620,16.9,1.12,0.197,0.223,5.09,0.8,53,43,5.9,1.3,87.4,3.8,156.8
"99",116,533486,7674650,0.252,2410,1.02,2.18,70.1,0.02,0.151,2300,0.198,0.79,4.27,7.99,2380,0.234,1000,4.6,970,144,0.377,70,7.39,1000,15.2,6.93,1460,0.167,0.9,610,20,1.82,0.087,0.159,5.39,1.4,31,43.3,5.9,1.4,87.3,3.8,130
"100",117,391630,7705420,0.069,3020,0.827,1.8,52.4,0.05,0.125,2390,0.201,0.8,4.09,5.52,3010,0.239,800,2.2,760,51.1,0.186,70,4.36,1170,15.9,6.27,1690,0.1,0.6,640,22.6,0.476,0.055,0.217,4.76,0.9,23.6,41.2,5.8,1.5,87.7,3.8,121.3
"101",118,512429,7781900,0.039,2550,0.637,3.53,60.3,0.04,0.074,2370,0.125,0.77,3.38,5.72,2780,0.184,1100,2.1,870,101,0.19,80,4.08,621,9.04,6.42,1080,0.06,0.7,580,21.1,0.821,0.054,0.185,6.73,0.9,51.7,31,4.3,0.9,65.3,4,86.8
"102",121,552020,7800220,0.03,718,0.625,2.79,37,0.01,0.084,2620,0.126,0.46,1.09,6.63,540,0.2,1000,0.35,1050,177,0.105,100,4.36,943,11.2,1.72,1860,0.164,0.2,460,23.1,0.094,0.028,0.027,1.62,0.2,41.7,45.2,6.3,1.4,96.9,3.4,128.6
"103",122,612200,7445700,0.157,898,1.11,1.13,71.5,0.01,0.185,2320,0.264,0.46,1.73,8.46,970,0.196,900,0.35,500,160,0.218,70,5.47,783,24.8,4.31,1430,0.327,0.2,590,17.4,0.137,0.104,0.042,2.92,0.3,58.9,45.8,6.1,1.3,91.7,3.5,146.5
"104",123,378650,7398560,0.33,1650,1.6,2.53,98.1,0.05,0.508,2650,0.506,0.86,3.39,6.51,1840,0.182,1000,2.2,450,452,0.38,60,3.09,801,46.9,8.96,1110,0.209,0.5,650,25.2,0.683,0.192,0.152,6.98,1,60.1,27,3.7,0.8,73.1,3.7,132.5
"105",124,425131,7503440,1.54,3720,1.65,2.51,90.6,0.11,0.259,3100,0.217,1.68,5.9,8.66,4990,0.297,900,2,650,132,0.304,60,6.31,1850,24.3,5.76,1640,0.095,2.5,730,25.7,0.482,0.106,0.303,9.67,1.4,39.3,40.6,5.6,1.7,82.6,4.1,119.8
"106",125,606500,7413900,0.235,3360,1.03,1.67,114,0.07,0.226,2550,0.255,2.38,15.7,11.1,5550,0.202,1000,4.1,1330,154,0.241,100,8.92,921,27.7,10,920,0.113,1.3,760,14.6,1.38,0.115,0.243,14.8,2,51,31.5,4.1,1,70,3.7,133.8
"107",126,517200,7870300,0.052,1250,0.569,4,58.2,0.02,0.081,3600,0.155,0.63,1.62,6.44,1760,0.175,1200,1.9,1470,67.9,0.236,280,2.44,1020,13.8,4.38,1900,0.161,0.3,540,49.3,0.532,0.066,0.245,2.79,1.4,33.3,44,6.2,1.4,89.8,3.9,116.4
"108",127,575619,7430200,0.318,1870,1.53,1.79,51.9,0.04,0.222,3170,0.267,1.38,5.28,6.78,2890,0.215,800,1.8,860,196,0.254,60,5.56,985,28,3.51,1550,0.199,0.9,660,14.6,0.406,0.089,0.129,5.59,0.9,41.9,40.7,5.4,1.5,87.1,3.7,128.9
"109",128,499550,7455990,0.276,1860,1.64,1.79,89.2,0.04,0.31,2620,0.329,1.16,3.49,5.6,1880,0.211,800,1.4,690,118,0.228,50,4.24,845,29.3,6.83,1250,0.3,0.7,600,19.4,0.326,0.135,0.101,6.39,0.8,43.6,42.9,5.9,1.2,88.5,3.7,120.9
"110",129,488655,7568040,0.39,5180,1.75,1.56,79.4,0.07,0.239,1380,0.392,2.16,2.97,6.11,4820,0.235,800,2,490,33.1,0.212,40,5.34,1400,23.3,5.52,1630,0.187,1.1,650,16.8,0.365,0.106,0.222,5.43,1.3,34.5,45.8,6.3,1.5,91.2,3.7,131.5
"111",130,504348,7422250,0.207,1010,1.5,2.71,85,0.02,0.419,2940,0.387,0.64,3.45,10.1,1060,0.247,1300,1,590,608,0.37,70,6.64,1160,38.7,11.7,1460,0.447,0.4,630,18,0.236,0.203,0.077,5.29,0.5,44.4,44.2,6,1.4,92.8,3.8,188.1
"112",131,529138,7480480,0.153,2160,1.35,1.86,58.9,0.04,0.343,3150,0.271,0.94,7.98,7.25,2300,0.167,900,2.8,560,350,0.325,100,6,904,43,8.02,1210,0.167,0.7,610,12.8,0.627,0.252,0.139,9.08,1,54.3,35.8,4.9,1.1,82,3.7,145.3
"113",132,700216,7721370,0.081,1190,1.37,4.23,60.3,0.02,0.109,3170,0.28,1.61,2.13,17.6,1270,0.203,800,1.3,1220,54.1,0.219,180,27.6,620,14.3,3.09,1720,0.17,0.4,470,44,0.332,0.055,0.092,3.66,0.4,63.6,45.8,6.1,1.5,93.4,3.9,90.6
"114",133,733585,7640600,1.1,6070,1.53,2.12,76.9,0.13,0.096,2160,0.267,4.71,6.42,18.5,9110,0.2,800,7.4,710,48.2,0.308,160,28.6,1230,14,4.26,1730,0.146,1.6,600,33.7,0.584,0.06,0.126,8.11,2.5,31.5,46.1,6,1.5,91.5,4,112.1
"115",136,737281,7530660,0.786,4210,7.12,3.22,118,0.08,0.468,5530,1.1,22.6,10.8,300,5000,0.185,1000,3.4,870,188,1.1,90,565,836,35,6.36,1590,0.299,1.3,660,47.4,0.431,0.176,0.15,14.7,1.8,51.9,37.4,5.2,1.3,78.2,4.2,89.7
"116",137,625743,7712130,0.455,2590,11.5,3.94,144,0.11,0.282,6780,0.792,20.5,22.2,370,10100,0.288,900,2,1780,64.1,1.65,100,401,831,195,3.34,2000,0.191,1.5,660,49.3,0.369,0.127,0.123,12.5,1.8,38.7,45.5,6.3,1.3,88.3,4.4,106.2
"117",138,716293,7657000,0.405,2670,1.07,3.56,148,0.12,0.133,3740,0.231,5.51,2.7,32.2,2260,0.194,1500,6.7,920,265,0.333,100,49.4,1420,17,7.27,1970,0.177,0.9,680,52.5,0.882,0.161,0.18,5.78,2,50.1,43.9,6,1.7,91.4,4,162.8
"118",139,590363,7470830,0.749,1920,1.08,1.88,106,0.06,0.311,2990,0.298,0.7,2.88,8.11,1310,0.183,1000,2,480,421,0.261,60,5.24,955,29.5,7.34,1380,0.299,0.6,590,25.8,0.478,0.19,0.156,4.77,0.7,60.7,40.2,5.4,1.3,82.1,3.9,119.1
"119",140,604000,7647100,0.325,898,0.893,1.64,69.9,0.01,0.143,2340,0.262,0.9,1.28,11,1000,0.197,1200,0.8,560,163,0.235,30,12.8,1040,16.4,5.53,1550,0.237,0.5,480,18.9,0.158,0.094,0.052,2.59,0.3,37.2,48.8,6.6,1.4,95.8,3.6,140.8
"120",141,676703,7690610,0.205,2670,2.01,2.1,74.3,0.06,0.158,2770,0.36,4.98,5.19,50.9,3510,0.209,900,2.1,980,73.5,0.307,80,102,858,18,4.04,1870,0.145,0.8,550,33.8,0.516,0.059,0.124,7.13,1,60.4,45.5,6.1,1.4,90.6,3.7,107.6
"121",142,657619,7580700,0.24,1420,1.25,2.08,67.7,0.04,0.163,3930,0.558,2.03,1.41,12.9,1450,0.132,1100,1.4,800,121,0.241,100,9.5,857,20.3,3.64,1670,0.262,0.5,570,29.7,0.119,0.096,0.047,3.67,0.8,43.6,45.9,6.1,1.5,96.5,3.9,134.6
"122",143,827897,7565740,0.308,2170,1.19,1.83,83.4,0.08,0.134,1780,0.197,1.62,3.3,17.5,1920,0.2,1000,6.2,490,101,0.262,120,31.2,816,17.4,7.84,1210,0.084,0.5,580,74.6,1.03,0.067,0.215,5.8,1.4,45.7,38.3,5.2,1.1,79.3,3.6,147.8
"123",144,861133,7486780,0.535,3320,1.17,2.36,110,0.1,0.154,3780,0.364,1.14,6.26,11.4,2240,0.241,1000,7.8,720,162,0.28,60,10.8,1050,25,6.86,1400,0.131,0.7,520,46.6,1.13,0.076,0.181,7.97,1.3,42.9,32.8,4.3,1.3,74.7,4.2,114.6
"124",145,563024,7670800,0.136,3320,1.04,2.2,50.9,0.04,0.105,2320,0.156,1.82,3.17,12.2,4370,0.199,900,3.4,720,126,0.268,80,13.1,896,12.4,7.3,1280,0.078,1.1,590,18.7,0.491,0.106,0.169,11.5,1.6,30.8,41.2,5.6,1,78.5,3.6,125.8
"125",146,803909,7433650,0.252,3960,0.702,1.12,43.6,0.06,0.151,2610,0.307,1.55,6.85,11.3,3220,0.094,500,2.3,720,116,0.159,150,14.4,454,25.2,6.5,517,0.119,0.8,440,19,0.394,0.099,0.073,7.67,1.5,40.8,34.6,3.8,0.9,39.5,4,70.6
"126",147,575169,7554900,0.164,3090,0.93,2.26,126,0.13,0.155,4500,0.693,4.47,4.42,4.46,3030,0.116,600,3.5,1570,65.8,0.167,50,5.24,698,18.6,3.54,1590,0.136,1.5,470,51.1,0.412,0.098,0.079,5.51,1.8,43.6,39.3,5.2,1.2,84.8,4.3,78
"127",148,563474,7622520,0.583,3320,1.35,1.52,175,0.1,0.168,3290,0.307,3.04,1.77,8.41,2590,0.246,800,4.3,1000,63.6,0.226,40,12,1030,19.4,3.04,1750,0.238,1.1,540,62.3,0.265,0.075,0.087,3.21,2.6,56.3,46.2,6.1,1.5,94.8,3.8,111.4
"128",151,554128,7383970,0.252,2590,1.2,1.78,116,0.08,0.302,2980,0.317,0.76,4.73,4.73,1960,0.201,800,6,460,377,0.216,70,3.87,1010,33.5,7.23,1180,0.085,0.7,630,18.5,2.4,0.145,0.35,8.06,1.8,55.9,37,5.2,1.2,71.7,3.9,105.6
"129",152,824676,7447730,0.371,1860,1.42,3.01,50.6,0.04,0.163,2990,0.363,1.3,2.83,11.8,1480,0.204,1000,1.7,580,82.9,0.31,80,17.6,730,22.9,6.08,1200,0.255,0.4,520,29.4,0.248,0.116,0.084,4.37,0.7,35,44.5,5.9,1,83.3,3.6,133.1
"130",153,491304,7582640,0.324,9120,1.55,1.64,67.3,0.11,0.206,920,0.306,2.49,3.11,5.66,4720,0.206,800,3.8,360,34.7,0.259,30,5.3,1660,25.7,6.63,1970,0.212,1.2,530,15.2,0.439,0.084,0.156,4.87,1.9,21.2,42.3,5.9,1.7,88.8,3.9,141.9
"131",154,718044,7689350,0.148,760,0.78,3.71,78.1,0.01,0.11,3640,0.218,1.04,1.25,14.5,790,0.185,800,0.8,1010,107,0.197,140,20.8,884,15.6,3.58,1840,0.278,0.2,370,37.3,0.159,0.05,0.061,3.09,0.3,38.6,49.8,6.4,1.4,96.5,3.8,109.7
"132",156,513495,7694790,0.106,1560,0.9,1.92,216,0.04,0.075,3100,0.219,0.82,2.43,7.02,1610,0.177,600,2.1,700,118,0.123,40,4.22,788,9.61,3.59,1610,0.098,0.5,510,38,0.74,0.048,0.067,4.51,0.7,77.3,42.5,5.6,1.4,87.7,3.7,119.4
"133",157,560960,7810910,0.092,17100,2.91,13,109,0.6,0.144,2060,0.086,4.74,20.5,11.5,17100,0.125,5700,10.6,2730,1090,0.158,100,11.2,959,13.8,33.1,807,0.017,3.4,690,23.6,4.46,0.195,0.654,25,7.4,62.3,19.3,3.1,0.9,44,4.5,96.9
"134",158,602760,7719740,0.129,842,1.31,2.01,66.7,0.01,0.098,3370,0.259,1.41,1.34,14.8,1000,0.184,600,1,930,43.6,0.292,90,23.4,695,12.1,3.47,1800,0.151,0.3,430,34.3,0.225,0.045,0.06,3.31,0.5,73.9,47.6,6.1,1.4,94.6,3.8,102.4
"135",159,722036,7713160,0.042,1790,0.7,4.5,43.1,0.04,0.175,2180,0.141,0.7,1.49,6.68,1620,0.194,700,2.6,750,25.8,0.166,200,7.89,663,388,3.08,1290,0.606,0.4,420,26.6,0.486,0.036,0.095,3.35,0.5,17.9,34.3,4.8,0.9,64.1,4,78.1
"136",160,533286,7393970,0.116,1170,1.24,2.37,47.7,0.01,0.246,3120,0.304,0.49,3.46,6.72,1570,0.161,1000,3.1,440,295,0.215,50,4.01,899,25.1,9.03,1110,0.26,0.3,520,30.9,0.596,0.174,0.105,5.16,0.9,44.6,42.7,5.6,1.3,82,3.7,158.1
"137",161,445850,7731780,0.09,1060,0.826,1.85,81.2,0.02,0.108,3970,0.204,1.36,1.71,7.17,1180,0.161,900,0.35,1150,66.9,0.149,60,7.79,910,15.4,6.36,1700,0.159,0.5,460,20.7,0.123,0.05,0.047,3.77,0.5,21.5,47.3,6.4,1.5,94.8,3.9,118.2
"138",162,588050,7721050,0.077,4640,1.07,2.05,101,0.23,0.115,2250,0.19,1.97,11.6,11.3,7330,0.151,1100,9.2,1170,71.8,0.525,80,13.8,884,17.2,13.7,909,0.021,1.4,500,25.4,3.65,0.12,1.69,16.2,2,35.9,28.3,3.7,1,52.2,4.1,72.7
"139",163,797345,7538620,0.286,10100,1.84,1.86,134,0.97,0.148,1800,0.436,1.21,3.36,13.4,2560,0.2,800,25,410,270,0.632,260,15.5,1060,26.6,12.8,1270,0.149,0.3,520,178,3.35,0.101,0.945,4.61,5.7,44.2,32.6,4.8,1,72.9,4.4,66.5
"140",166,507797,7753320,0.164,3970,0.898,1.79,99,0.07,0.123,2380,0.404,1.37,2.86,6.41,4160,0.184,800,3.6,820,51.7,0.209,80,5.14,1170,15.4,3.44,1540,0.091,1.9,500,34.4,0.451,0.08,0.244,5.94,3,31.9,41.5,5.4,1.5,87.6,3.9,113.2
"141",167,676097,7542700,0.236,3480,1.12,2.21,80.6,0.09,0.155,2870,0.398,2.9,1.4,10.8,1810,0.147,1100,2.7,630,157,0.194,50,11.4,846,23.1,8.22,1510,0.267,0.5,480,29,0.214,0.131,0.087,3.11,1.2,47.4,46.6,6.3,1.3,96.7,4,133.3
"142",168,457473,7786020,0.05,1660,0.757,3.51,53.4,0.03,0.096,3020,0.27,1.03,2.6,5.84,1690,0.2,800,1,1290,49.6,0.13,120,3.26,855,14.4,3.16,1880,0.134,0.5,590,34.6,0.303,0.043,0.066,3.36,0.7,50.7,44.4,6.2,1.5,91.9,3.9,106.1
"143",169,429450,7827450,0.098,509,0.413,4.36,47.4,0.01,0.067,3460,0.156,0.38,0.52,7.65,460,0.159,900,0.35,1340,65.4,0.149,260,2.73,928,11.7,3.39,1910,0.175,0.2,400,40,0.071,0.043,0.048,1.38,0.3,34.6,48.5,6.2,1.6,96.9,3.9,124.5
"144",170,742234,7588160,0.8,3460,2.8,2.16,187,0.06,0.344,3180,0.625,15.3,6.87,185,3930,0.222,900,3.9,700,1020,0.617,80,382,1140,31.7,6.42,1220,0.143,0.9,590,31.6,0.557,0.174,0.128,9.67,1.3,125,42.5,5,1.6,83.3,3.9,103.9
"145",171,658001,7684550,0.217,1060,2.31,2.91,61.5,0.01,0.19,2980,0.226,7.69,6.41,128,2890,0.274,1200,4,850,473,0.313,60,200,1130,18.6,4.4,1900,0.165,0.4,510,19.2,1.12,0.09,0.074,6.75,0.5,67.8,45.3,6.3,1.5,91.2,3.8,149.6
"146",172,677085,7408130,0.323,1850,1.2,2.13,111,0.05,0.192,3700,0.266,1.66,5,8.55,2280,0.261,1000,2.1,730,266,0.263,50,8.46,1080,22.9,7.82,1490,0.29,0.6,510,22.8,0.256,0.174,0.083,6.69,0.6,48.6,46.6,6.3,1.5,94.6,3.8,136.1
"147",173,667183,7559920,0.384,1090,0.949,1.93,57.2,0.02,0.138,3060,0.423,1.02,1.65,7.45,1190,0.153,900,1,590,177,0.167,40,7.76,616,17.8,5.31,1280,0.234,0.4,470,29.4,0.153,0.085,0.055,3.15,0.6,38.6,42.8,5.7,1.2,87.1,3.8,130.7
"148",174,779510,7486200,1.49,4540,1.33,2.08,122,0.2,0.162,3690,0.238,4.04,4.64,38.4,3040,0.151,1000,7.3,570,146,0.403,80,61.5,1310,23.8,6.89,1390,0.067,1,640,61.1,0.462,0.114,0.268,7.6,2.3,37.3,40.1,5.2,1.5,81.5,4.2,106.7
"149",175,389000,7630700,0.096,1110,0.849,2.34,66.5,0.01,0.167,3020,0.334,0.87,1.72,7.24,1220,0.154,1000,0.9,820,132,0.156,40,3.71,1130,21.5,5.82,1660,0.196,0.2,440,23.6,0.232,0.067,0.086,4.58,0.3,92.8,45.2,6.2,1.5,90.4,3.8,145.6
"150",176,582616,7396210,0.192,1040,1.47,1.71,93.4,0.02,0.246,2960,0.461,0.5,2.23,5.65,840,0.138,900,1.7,570,98.7,0.237,40,3.8,678,29.4,4.89,1210,0.286,0.2,490,16.4,0.515,0.123,0.077,3.88,0.4,50.2,45.3,6,1.1,89.3,3.6,121.6
"151",177,742736,7694890,0.465,1190,0.834,3.55,61.7,0.04,0.095,3910,0.401,3.19,2.74,13.4,1570,0.168,1100,3.4,1950,56.9,0.348,160,19,938,13.7,3.53,1760,0.196,0.4,520,71.3,0.218,0.063,0.062,6.32,0.8,67.5,47.7,6.3,1.4,94.6,4.1,118.7
"152",178,610115,7728380,0.071,724,1.68,4.57,58.1,0.01,0.141,3260,0.173,1.52,1.92,23.9,2320,0.19,1100,0.8,960,397,0.203,80,31.5,1050,15.7,8.74,1880,0.23,0.3,450,19.8,0.17,0.092,0.046,4.09,0.4,58.2,47.8,6.5,1.4,95.6,4,115.9
"153",181,583716,7536010,0.303,1580,1.34,1.84,71.2,0.01,0.301,2450,0.307,0.75,1.86,8.47,960,0.247,1000,0.9,510,287,0.238,40,6.23,957,31.9,9.15,1370,0.34,0.3,540,22.6,0.174,0.168,0.05,3.48,0.4,47.6,47.5,6.4,1.1,94.4,3.5,165.1
"154",182,476860,7496870,0.372,1880,1.84,1.73,87.6,0.02,0.269,2600,0.346,2.01,11.3,6.03,2200,0.194,600,1,900,129,0.2,50,12.8,846,25.9,5.63,1440,0.22,0.6,580,14.9,0.292,0.171,0.072,6.75,0.5,44.1,47.3,6.2,1.2,89.2,3.7,125.8
"155",183,381498,7553500,0.205,1520,1.37,1.81,93.8,0.05,0.336,3050,0.458,1.33,1.96,7.79,2460,0.157,800,0.35,680,166,0.389,50,5.75,1130,40.1,8.33,1620,0.299,0.4,600,23.9,0.177,0.124,0.1,4.81,0.5,41,45.7,6.2,1.3,94.1,3.7,134.9
"156",184,769055,7522390,0.504,4380,3.49,3.14,133,0.24,0.457,2620,0.552,9.51,7.32,106,4110,0.254,1500,11,630,625,1.13,110,209,1240,46.8,11,1610,0.273,0.8,630,162,0.733,0.237,0.287,11.4,2.5,66.7,44.7,6.1,1.6,88.7,3.9,150.1
"157",185,614000,7639400,0.313,1790,1.35,2.41,69.8,0.01,0.147,2540,0.32,1.21,1.51,13.8,1150,0.255,1000,1.4,590,95.5,0.277,40,17.1,1080,16.7,4.12,1580,0.189,0.2,440,20.6,0.38,0.083,0.041,2.59,0.3,39.5,47.5,6.3,1.3,95.1,3.7,129.4
"158",186,452370,7444190,0.111,2770,2.1,1.27,126,0.12,0.464,1900,0.326,0.83,2.52,4.88,1320,0.291,700,1.6,310,42.8,0.249,60,3.35,787,42.2,7.04,1210,0.288,0.5,580,25.7,0.431,0.146,0.135,4.3,0.8,42.4,41.8,5.5,1,82.5,3.6,129.1
"159",187,429729,7630620,0.624,4350,1.1,1.74,75.2,0.04,0.157,1910,0.234,1.04,2.68,5.12,3160,0.252,700,1.3,530,70,0.235,40,4.06,1650,19.9,4.05,1730,0.095,0.9,530,29.9,0.235,0.079,0.211,5.99,0.9,46.4,43.5,6.1,1.6,88.5,3.7,123.9
"160",188,509015,7768640,0.025,4340,0.5,1.62,34.4,0.05,0.046,1730,0.111,1.93,14.1,7.59,6610,0.102,800,4.5,1530,81.9,0.113,100,7.67,488,6.57,5.23,654,0.022,1.5,440,15,1.19,0.039,0.142,16.4,2.2,32.7,20.3,3,0.8,52.6,4.1,84
"161",189,637900,7722450,0.249,1500,4.54,3.35,95.7,0.03,0.28,3830,0.618,12.4,10.7,220,4200,0.288,1100,1.3,1210,301,0.797,80,315,1220,24.5,3.48,2240,0.194,0.6,490,31,0.197,0.109,0.086,8.16,0.7,103,45.4,6,1.7,92.8,3.8,143.1
"162",190,467320,7844450,0.141,992,0.783,4.71,42.2,0.01,0.064,2890,0.189,0.41,1.21,6.25,940,0.306,700,0.9,1300,28.3,0.254,210,1.74,670,10.5,3.18,1790,0.142,0.4,410,35.3,0.232,0.043,0.135,2,0.6,45.9,45.9,6.4,1.3,92.3,4,81.3
"163",191,733948,7653300,0.456,1810,1.45,2.51,102,0.06,0.143,3180,0.338,3.95,3.11,27.5,1870,0.303,1100,4.3,900,126,0.376,120,45.7,1010,21,6.53,1650,0.273,0.5,490,57.9,0.2,0.099,0.09,9.89,1.1,49.3,47,6.3,1.2,93.6,3.8,151.5
"164",192,627170,7690470,0.242,1940,5.48,3.43,160,0.07,0.297,4580,0.623,10.4,7.14,182,3120,0.237,1200,1.4,1040,261,0.588,60,246,1210,18.7,3.73,2100,0.22,0.8,520,58.6,0.199,0.131,0.092,5.85,1.2,75.2,47.3,6.6,1.4,93.1,4,139.7
"165",193,790155,7527760,0.223,5700,1.73,2.96,100,0.28,0.273,3130,0.663,2.89,4.85,27.5,3360,0.2,1100,32.2,470,80.2,0.824,80,43.7,1690,43,9.48,1890,0.391,0.6,560,209,0.61,0.138,0.457,14.2,5.8,53.1,45,6.1,1.5,91,4,101.7
"166",196,543382,7585040,0.355,5240,1,2.53,96.5,0.14,0.15,3950,0.369,3.02,4.25,9.65,3330,0.289,800,9,1690,71.4,0.264,50,10.9,688,19,7.09,1220,0.15,1.2,570,55.6,0.714,0.093,0.101,5.2,5.5,36.1,43.9,5.8,1.1,87.2,4.5,86.2
"167",197,585600,7733500,0.05,1700,1.05,2.19,55.4,0.05,0.124,2290,0.158,0.87,2.35,11.8,1960,0.302,700,1.9,600,87.2,0.177,70,13.9,651,16.8,5.93,1140,0.079,0.4,430,28,0.632,0.05,0.129,4.61,0.6,21.1,31.8,4.3,1,76.3,4,101.4
"168",198,372602,7403610,0.114,2400,1.48,1.58,79.3,0.06,0.236,3170,0.217,2.09,5.64,2.69,4150,0.132,700,7,670,657,0.196,90,1.98,403,20,10.6,400,0.019,0.9,390,28.2,1.32,0.145,0.277,12.5,3.5,23.1,15.3,2.2,0.5,47.6,4.2,89
"169",199,755941,7599150,0.275,2880,1.89,1.87,40.1,0.05,0.155,2200,0.324,4.99,6.16,51.4,4330,0.207,700,2.7,810,99.2,0.359,110,97.4,571,14.2,3.8,931,0.147,0.7,450,24,0.517,0.071,0.095,8.71,1,28.9,31.4,3.8,1,65.2,3.9,91.9
"170",200,735487,7504650,0.704,3010,2.64,3.33,115,0.09,0.384,4470,0.622,9.51,4.46,121,2570,0.224,900,6.8,520,255,0.675,60,226,965,37.6,5.99,1420,0.44,0.7,550,34,0.352,0.254,0.175,7.16,1.5,62.8,47.2,5.8,1.3,89.3,4,94.3
"171",201,701808,7714390,0.043,1970,1.15,2.32,29.2,0.04,0.089,1770,0.255,1.67,3.47,12.6,1940,0.146,700,4.8,780,59.4,0.215,160,22.9,629,9.5,3.08,1210,0.114,0.5,400,22.1,1.41,0.045,0.21,4.04,0.9,46.5,36.8,4.9,1.2,78.1,3.8,96.5
"172",202,817032,7638820,0.129,1270,0.981,2.47,80.3,0.03,0.101,2860,0.28,1.32,1.4,13,1130,0.252,800,1.1,980,52.6,0.171,100,14.8,938,14.5,4.03,1840,0.177,0.3,450,40.8,0.18,0.058,0.082,2.87,0.3,71.8,46.9,6.2,1.4,94.8,3.7,108.1
"173",203,634126,7714770,0.382,3700,10.3,4.54,290,0.07,0.375,6450,0.803,39.3,29,442,11900,0.334,1400,6.3,2000,5470,0.877,100,651,1290,26.5,10.6,1630,0.023,3,620,36.3,1.6,0.212,0.289,33.6,3.5,198,26.7,3.7,1.2,58.1,4.7,134.5
"174",204,507247,7609280,0.155,3720,1.38,2.46,139,0.18,0.209,2180,0.325,1.54,3.76,7.52,2300,0.186,900,4,620,188,0.187,50,6.39,646,26.5,6.38,1100,0.136,0.8,570,27.5,1.07,0.2,0.111,5.36,1.5,40.2,45.6,6,1,83.8,3.8,109
"175",205,417034,7479530,0.175,1460,1.67,1.76,107,0.03,0.438,2290,0.285,0.57,4.15,5.46,1890,0.279,1000,1.9,450,183,0.227,60,2.99,847,30,9.23,1230,0.237,0.5,570,21.1,0.768,0.112,0.14,6.74,0.8,75.7,40.2,5.4,1.1,84.5,3.6,147.5
