"","ID","XCOO","YCOO","Ag","Ag_INAA","Al","Al2O3","As","As_INAA","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br_IC","Br_INAA","Ca","Ca_INAA","CaO","Cd","Ce_INAA","Cl_IC","Co","Co_INAA","EC","Cr","Cr_INAA","Cs_INAA","Cu","Eu_INAA","F_IC","Fe","Fe_INAA","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K2O","La","La_INAA","Li","LOI","Lu_INAA","wt_INAA","Mg","MgO","Mn","MnO","Mo","Mo_INAA","Na","Na_INAA","Na2O","Nd_INAA","Ni","Ni_INAA","NO3_IC","P","P2O5","Pb","pH","PO4_IC","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","SiO2","Sm_INAA","Sn_INAA","SO4_IC","Sr","Sr_INAA","SUM_XRF","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA","ELEV","COUN","ASP","TOPC","LITO","Al_XRF","Ca_XRF","Fe_XRF","K_XRF","Mg_XRF","Mn_XRF","Na_XRF","P_XRF","Si_XRF","Ti_XRF"
"141",172,677085,7408130,0.004,2.5,8560,13.13,1.1,0.25,0.001,1.5,82.9,690,0.28,0.026,0.001,0.25,2760,40000,3.27,0.022,59,0.001,9.6,22,0.38,59.3,300,0.5,24.1,1.2,5e-04,15600,41800,4.98,5,0.01,0.5,0.0025,1200,1.17,17.8,32,10.3,0.99,0.17,34.85,5670,1.53,183,0.08,0.1,4,150,35800,3.12,25,34.4,47,5e-04,793,0.09,5.9,5.9,0.002,64,21,0.005,0.3,2,16,0.035,1.5,110,69.85,4.1,50,3,16.5,250,98.87,1.3,0.25,0.023,6,5.9,764,0.65,1.6,31.9,0.5,2.9,1.2,23.9,25,80,3,14,20,1,6.94,2.33,3.48,0.97,0.92,0.061,2.31,0.039,32.64,0.389
"142",173,667183,7559920,0.009,2.5,7950,13.63,0.5,0.25,0.006,1.5,25,610,0.14,0.018,0.001,4.9,1530,30000,3.1,0.026,21,0.001,3.8,9,0.29,20,110,0.5,6.3,0.7,5e-04,8060,24600,3.92,5,0.01,0.5,0.0025,800,1.6,7.9,13,5.4,1.49,0.22,38.04,2060,1.68,73.9,0.05,0.1,0.5,120,31600,3.41,11,10.7,10,5e-04,285,0.06,1.4,5.8,0.002,39,26,0.005,0.05,1.6,10,0.058,1.5,170,69.72,2.1,50,5,5.8,250,99.09,0.25,0.25,0.008,3,3.1,582,0.43,0.25,19,0.5,2.6,1.7,14.6,75,140,3,32,56,1,7.21,2.21,2.74,1.32,1.01,0.038,2.52,0.026,32.58,0.257
"143",174,779510,7486200,0.006,2.5,6110,13.05,0.5,2.6,0.001,1.5,22.1,420,0.19,0.031,0.001,5.9,2410,20000,3.34,0.028,32,0.001,5.4,11,0.44,24.4,120,0.5,14.1,0.7,5e-04,8970,23900,3.07,7,0.01,0.5,0.0025,700,1.48,7.8,12,6.8,1.64,0.19,31.75,2880,1.41,118,0.05,0.1,0.5,180,32600,3.68,2.5,19.7,10,0.0012,341,0.08,1.5,5.5,0.002,52,30,0.015,0.05,1.7,10,0.04,1.5,120,71.76,2.1,50,4,7.6,250,99.89,0.25,0.25,0.009,3,3.1,593,0.35,0.25,18.5,0.5,2.6,1.3,12.8,25,160,3,0,52,1,6.9,2.38,2.14,1.22,0.85,0.038,2.73,0.034,33.54,0.209
"144",175,389000,7630700,0.006,2.5,7490,11.91,0.7,0.25,0.001,1.5,43.7,1200,0.25,0.031,0.001,3.7,1870,20000,2.11,0.023,38,0.002,6.6,10,0.33,28.6,76,1,15.8,0.7,5e-04,21400,25200,3.44,3,0.01,0.5,0.0025,1300,3.12,13.5,20,10.1,1.84,0.13,34.58,2960,1.37,118,0.04,0.1,0.5,90,27600,3.07,11,16.6,10,5e-04,566,0.09,2.2,5.7,0.002,93,47,0.005,0.05,1.5,7.6,0.054,1.5,220,72.14,2.2,50,1,9,250,99.52,0.8,0.25,0.012,9,5.9,623,0.39,0.25,44.6,0.5,2.8,0.6,25.1,52,450,2,2,63,1,6.3,1.5,2.4,2.59,0.82,0.03,2.27,0.039,33.71,0.233
"145",176,582616,7396210,0.003,2.5,4360,11.23,0.8,0.25,0.001,1.5,10.9,320,0.14,0.021,0.001,0.25,1220,5000,2.73,0.016,30,0.001,3.8,11,0.27,49.1,170,0.5,4.6,0.8,5e-04,10900,32400,4.09,5,0.01,0.5,0.0025,500,1.46,7.9,17,4,1.16,0.3,35.16,2060,2.02,56.5,0.05,0.1,0.5,100,31500,3.42,14,13.2,10,5e-04,210,0.05,1.1,5.8,0.002,35,13,0.005,0.05,1.4,13,0.029,1.5,250,73.17,2.6,50,3,3.3,250,99.94,0.8,0.25,0.01,4,5.8,575,0.57,0.25,28.4,0.5,2.9,1.7,6.1,25,295,1,0,57,51,5.94,1.95,2.86,1.21,1.21,0.038,2.53,0.021,34.19,0.341
"146",177,742736,7694890,0.016,2.5,30100,16.51,1.4,0.25,0.001,4,216,700,0.56,0.133,0.001,0.25,6040,20000,3.39,0.057,81,0.003,20.4,26,0.57,105,190,3,43,1.5,0.0035,42600,54600,7.37,6,0.01,0.5,0.0025,8600,2.58,31.1,43,32.9,3.16,0.31,33.4,15700,3.35,402,0.09,0.1,0.5,780,28000,3.3,33,58.7,10,0.0017,651,0.16,5.9,6.3,0.002,97,36,0.019,0.05,9.4,20,0.029,1.5,190,59.32,6,50,3,27.9,250,100.03,1,0.6,0.029,14,10,2590,0.82,0.25,95.3,0.5,9.1,1.9,80.9,149,30,3,14,24,4,8.73,2.42,5.15,2.14,2.02,0.069,2.44,0.069,27.72,0.491
"147",178,610115,7728380,0.009,2.5,10400,14.68,1.6,0.25,0.001,1.5,27.1,410,0.42,0.057,0.001,0.25,2790,40000,3.9,0.022,79,0.003,8.9,17,0.31,22.7,59,0.5,60.5,0.9,5e-04,21400,46900,6.68,4,0.01,0.5,0.0025,1500,2.21,26.4,34,17.4,2.14,0.38,31.84,6280,2.55,213,0.1,0.1,0.5,100,31200,3.51,22,14.3,10,5e-04,575,0.12,2.1,5.7,0.002,97,30,0.012,0.05,3.1,18,0.039,1.5,180,62.58,4.5,50,3,5.4,250,99.26,0.25,0.25,0.014,13,12,999,0.78,0.25,44.3,0.5,6.5,2.5,35,62,85,2,1,55,20,7.77,2.78,4.67,1.83,1.53,0.077,2.6,0.052,29.24,0.467
"148",181,583716,7536010,0.008,2.5,17900,13.75,1,0.25,0.001,1.5,63,590,0.31,0.05,0.001,2.2,770,20000,2.19,0.023,46,0.005,30.3,13,0.45,37.9,130,2,15.8,0.9,5e-04,17700,35600,4.8,7,0.02,0.5,0.0025,2100,1.73,16.9,27,10.7,2.55,0.36,35.62,4630,1.92,184,0.06,0.1,0.5,80,23800,2.75,20,24.3,10,5e-04,185,0.04,1.2,5.7,0.002,65,37,0.022,0.05,2.9,14,0.108,1.5,180,68.88,3.6,50,9,6.7,250,99.28,0.25,0.25,0.004,10,7.8,1110,0.59,0.25,34.6,0.5,4.5,2.1,31,73,260,1,12,55,1,7.27,1.56,3.35,1.43,1.15,0.046,2.04,0.017,32.19,0.353
"149",182,476860,7496870,0.006,2.5,27400,11.51,3.3,0.25,0.003,3,36.1,420,0.49,0.049,0.001,0.25,1180,30000,3.25,0.022,37,0.004,32.6,38,0.71,471,760,1,55.6,0.8,5e-04,44100,58000,8.2,4,0.03,0.5,0.0025,200,1.25,7.3,13,9.3,4.44,0.28,31.11,17800,6,563,0.14,0.1,0.5,100,19900,2.13,10,194,250,5e-04,153,0.05,0.7,5.9,0.002,47,31,0.07,0.05,6.4,22,0.127,1.5,120,61.99,2.4,50,8,6.3,250,99.84,0.9,0.25,0.018,9,3.7,1830,0.9,0.25,103,0.5,4.1,1.5,40.6,117,200,1,0,46,51,6.09,2.32,5.73,1.03,3.61,0.108,1.58,0.021,28.97,0.539
"150",183,381498,7553500,0.002,2.5,5370,12.65,0.3,0.25,0.013,3,17.4,680,0.21,0.026,0.001,0.25,3040,30000,3.52,0.011,29,0.003,4.7,13,0.3,10.2,46,1,12.1,0.9,5e-04,9250,36100,4.94,4,0.01,0.5,0.0025,400,2.2,10.5,15,8.4,1.03,0.31,35.18,2010,1.68,122,0.08,0.1,0.5,280,31500,3.5,11,6.1,10,5e-04,379,0.09,1.4,5.5,0.002,79,17,0.015,0.05,2.1,15,0.032,1.5,170,69.21,2.6,50,4,6.3,250,99.57,0.25,0.25,0.005,6,6.1,727,0.67,2.9,23.6,0.5,4.8,2.2,11.1,65,197,1,0,40,1,6.69,2.51,3.45,1.82,1.01,0.061,2.59,0.039,32.34,0.401
"151",184,769055,7522390,0.027,2.5,56400,18.49,2,0.25,0.001,1.5,436,1200,6.15,0.045,0.001,25,2440,30000,2.27,0.114,370,0.005,9.5,13,0.57,38.6,86,3,26.6,4.8,5e-04,18100,44500,6.13,23,0.04,0.5,0.0025,2500,3.09,105,130,15.2,11.9,0.63,32.47,5040,1.77,508,0.18,0.1,4,1220,28300,3.28,91,25.1,10,0.0024,386,0.17,5.2,5.4,0.002,120,249,0.055,0.4,3.3,9.6,0.179,1.5,120,51.27,15,50,18,298,250,99.63,11,1.8,0.007,36,20,1930,1.08,6.6,34.9,0.5,27.1,4.3,105,173,340,3,3,20,82,9.78,1.62,4.28,2.56,1.06,0.139,2.43,0.074,23.96,0.647
"152",185,614000,7639400,0.009,2.5,7900,15.01,0.2,0.25,0.01,3,81.9,720,0.17,0.01,0.001,0.25,3180,40000,4.09,0.017,92,0.002,6.1,14,0.4,26,110,0.5,9,2,5e-04,14000,49800,5.84,9,0.01,0.5,0.0025,1600,1.52,20.3,47,3.6,1.19,0.62,34.3,3570,2.45,109,0.09,0.1,0.5,240,28300,3.08,40,14.2,10,5e-04,879,0.21,0.9,6,0.002,42,25,0.011,0.05,2.5,22,0.029,1.5,220,65.97,7.3,50,3,13.8,250,100.15,0.25,0.25,0.0015,7,9.4,865,0.7,0.25,36.9,0.5,6.4,3.8,16.6,90,190,3,0,42,31,7.94,2.92,4.08,1.26,1.47,0.069,2.28,0.091,30.83,0.419
"153",186,452370,7444190,0.004,2.5,9870,12.92,0.8,0.25,0.001,1.5,36.3,720,0.33,0.026,0.001,0.25,1470,30000,2.34,0.007,61,0.001,4.6,9,0.39,33,82,1,11.6,1.2,5e-04,13500,27200,3.46,6,0.01,0.5,0.0025,900,2.4,24,33,6,1.65,0.31,30.82,3130,1.43,86.4,0.04,0.1,4,120,31100,3.36,23,12.8,10,5e-04,309,0.07,1.4,5.7,0.002,84,18,0.025,0.3,3.5,13,0.042,1.5,150,70.69,4.3,50,11,6.8,250,98.94,0.7,0.25,0.0015,11,9.5,1100,0.57,2.9,36.3,0.5,7.8,1.8,12.4,61,210,1,14,40,7,6.83,1.67,2.41,1.99,0.86,0.03,2.49,0.03,33.04,0.341
"154",187,429729,7630620,0.01,2.5,12200,15.3,0.9,0.25,0.981,1.5,63.2,380,0.22,0.107,0.001,0.25,2950,30000,5.07,0.04,29,0.005,11.4,20,0.38,22,76,0.5,31.6,0.9,5e-04,17900,45500,6.67,4,0.01,0.5,0.0025,1100,0.94,13.2,17,6.5,1.98,0.22,36.84,4560,2.73,234,0.1,0.1,0.5,210,32900,3.82,14,15.8,50,5e-04,386,0.1,1.1,6,0.002,26,25,0.014,0.05,3.2,20,0.077,1.5,170,62.53,2.5,50,4,9.9,700,100.02,0.7,0.25,0.013,5,2.5,1160,0.78,2.1,40.5,0.5,3.8,1.6,29,65,300,1,12,40,51,8.09,3.62,4.66,0.78,1.64,0.077,2.83,0.043,29.22,0.467
"155",188,509015,7768640,0.004,2.5,6700,13.75,0.2,0.25,0.001,1.5,29.4,530,0.15,0.009,0.001,3.5,1650,20000,2.78,0.02,68,0.003,5.6,18,0.32,32.9,150,0.5,13.5,1.4,5e-04,15800,63100,6.94,11,0.01,0.5,0.0025,800,1.46,13.7,35,4.5,1.32,0.8,31.97,2690,2.77,110,0.09,0.1,0.5,130,23900,2.51,31,15.8,10,5e-04,418,0.08,0.9,5.7,0.002,35,28,0.005,0.3,2.2,27,0.048,1.5,180,67.69,5.9,50,4,5.7,250,100.1,0.7,0.25,0.005,8,9.7,505,0.72,0.25,43.6,0.5,4.1,5,17.1,148,210,2,0,30,51,7.27,1.98,4.85,1.21,1.67,0.069,1.86,0.034,31.63,0.431
"156",189,637900,7722450,0.01,2.5,10600,13.62,1.2,0.25,0.001,1.5,32.6,450,0.24,0.016,0.001,5.9,2330,30000,3.8,0.035,36,0.002,13.3,23,0.49,44.7,97,0.5,56.3,1.1,5e-04,23500,52600,7.32,4,0.01,0.5,0.0025,1000,1.05,6.3,18,7.1,2.33,0.31,31.51,6100,2.74,301,0.11,0.1,0.5,80,31600,3.25,18,22,10,5e-04,450,0.12,0.9,5.6,0.002,31,40,0.017,0.05,2.4,20,0.054,1.5,340,64.82,3.1,50,10,8,600,100.01,0.6,0.6,0.005,4,2.7,1180,0.85,0.25,47.8,0.5,3.1,2.1,38,80,170,2,2,43,20,7.2,2.71,5.11,0.87,1.65,0.085,2.41,0.052,30.29,0.509
"157",190,467320,7844450,0.049,2.5,9950,10.52,1.1,2.9,0.001,1.5,38.5,470,0.28,0.049,0.001,14,550,5000,0.94,0.017,98,0.007,6,7,0.68,13.6,30,2,11.8,0.9,5e-04,13000,18900,2.41,12,0.03,0.5,0.0025,1900,2.13,23.9,32,7.9,2.64,0.57,31.8,2350,0.55,154,0.05,0.1,0.5,50,19000,2.03,20,10.3,10,5e-04,187,0.04,4.7,5.3,0.002,76,44,0.04,0.3,2.1,7.6,0.1,1.5,220,77.34,3.9,50,8,3.9,250,99.14,0.25,0.25,0.005,14,11,1080,0.49,1.5,16.4,0.5,8.9,3.4,24.6,25,80,2,12,43,10,5.56,0.67,1.68,1.76,0.33,0.038,1.5,0.017,36.14,0.293
"158",191,733948,7653300,0.004,2.5,7430,14.14,0.2,0.25,0.001,3,51.6,610,0.19,0.038,0.001,7.5,2840,20000,3.39,0.026,49,0.006,6.5,11,0.42,31.2,85,1,18.4,1.2,5e-04,12900,29700,4.27,6,0.01,0.5,0.0025,1800,1.82,17.6,26,10.2,1.3,0.3,35.4,4080,1.69,135,0.07,0.1,0.5,230,35300,3.91,16,22.3,10,5e-04,670,0.16,1,5.5,0.002,60,31,0.015,0.05,2.4,11,0.032,1.5,180,68.5,3.9,50,9,12.6,250,99.72,0.25,0.25,0.0015,9,6.5,811,0.49,0.25,29.7,0.5,4.6,2,23.3,59,180,3,3,32,20,7.48,2.42,2.98,1.51,1.01,0.054,2.9,0.069,32.01,0.293
"159",192,627170,7690470,0.011,2.5,3820,13.99,0.3,0.25,0.002,1.5,15.8,470,0.1,0.014,0.001,5.9,2270,30000,3.84,0.015,38,0.005,2.9,10,0.42,11.6,65,0.5,6.5,1.2,5e-04,6770,32500,4.4,6,0.01,0.5,0.0025,300,1.13,8.7,20,1.8,0.89,0.39,38.16,1350,1.67,71.7,0.08,0.1,0.5,160,30800,3.62,19,7.1,10,5e-04,529,0.12,0.8,5.8,0.002,25,18,0.005,0.05,1.4,16,0.026,1.5,200,69.31,3.6,50,5,6.5,250,99.53,0.25,0.25,0.004,1.5,3.5,351,0.48,1.7,16.7,0.5,3.6,2.5,7.6,70,200,3,2,43,52,7.4,2.74,3.07,0.93,1,0.061,2.68,0.052,32.39,0.287
"160",193,790155,7527760,0.009,2.5,37100,15.86,0.5,0.25,0.002,1.5,106,630,1.45,0.018,0.001,23,5200,30000,3.79,0.039,130,0.007,4.8,13,0.73,17,130,2,18.8,2.1,5e-04,10500,39400,5.54,14,0.02,0.5,0.0025,3100,2.84,50.9,74,6.5,7.42,0.47,32.94,2490,1.85,316,0.15,0.1,8,4670,30600,3.49,40,10.1,10,0.0015,1850,0.42,1.5,5.4,0.002,100,193,0.02,0.3,1.4,11,0.091,1.5,260,57.33,6.6,50,20,360,700,99.66,8.6,0.8,0.004,10,9.5,757,0.95,0.25,20.6,0.5,9.6,3.1,36.7,89,250,3,12,45,82,8.39,2.7,3.87,2.35,1.11,0.116,2.58,0.183,26.79,0.569
"161",196,543382,7585040,0.007,2.5,9780,13.28,0.3,0.25,0.001,1.5,32.1,640,0.11,0.017,0.001,7.4,150,5000,0.58,0.012,82,0.002,5.3,17,0.42,18.4,160,0.5,22.2,1.1,5e-04,12500,82700,8.68,6,0.01,0.5,0.0025,900,1.93,14.4,44,3.7,1.3,1.28,35.17,2390,2.84,53,0.07,0.1,0.5,40,5600,0.58,34,25,10,5e-04,108,0.03,1.6,5.5,0.002,49,61,0.005,0.05,2,33,0.076,1.5,410,70.32,7.7,50,9,1.6,250,100.13,0.6,1.6,0.019,10,17,275,0.53,3.4,16.6,0.5,2.6,8.5,23.5,181,175,1,12,32,31,7.02,0.41,6.07,1.6,1.71,0.054,0.43,0.013,32.86,0.317
"162",197,585600,7733500,0.014,2.5,13300,14.29,0.4,0.25,0.001,1.5,88.2,920,0.66,0.063,0.001,0.25,4150,20000,3,0.016,140,0.002,8.5,15,0.55,29.1,68,2,33.8,1.7,5e-04,22700,39300,5.34,8,0.01,0.5,0.0025,2100,2.72,79.3,110,21.9,1.82,0.34,34.7,7610,2.12,213,0.07,0.5,0.5,180,28500,3.36,55,21.1,10,0.0015,925,0.19,2,5.9,0.002,120,16,0.005,0.3,4.3,14,0.018,1.5,100,65.93,7.7,50,8,18.5,250,99.49,1.1,0.25,0.006,26,23,1530,0.65,5.8,43.7,0.5,10,2.1,39,93,85,2,0,123,20,7.56,2.14,3.73,2.25,1.27,0.054,2.49,0.082,30.81,0.389
"163",198,372602,7403610,0.003,2.5,7900,13.98,0.6,0.25,0.001,1.5,30.8,780,0.28,0.021,0.001,3.7,2600,20000,2.75,0.008,57,0.002,5,9,0.67,27.9,67,1,12,1.3,5e-04,18600,30900,4.28,8,0.03,0.5,0.0025,900,2.73,22.3,36,6.3,1.7,0.35,39.46,3660,1.53,119,0.05,0.1,1,160,33800,3.86,26,9.8,10,5e-04,634,0.14,1.1,5.9,0.002,75,27,0.013,0.2,2.5,11,0.095,1.5,150,68.13,4.6,50,12,10.6,250,99.76,0.25,0.25,0.0015,10,8,1170,0.62,1.7,40.3,0.5,7,2.1,12.6,25,122,1,2,48,7,7.39,1.96,2.99,2.26,0.92,0.038,2.86,0.061,31.84,0.371
"164",199,755941,7599150,0.004,2.5,3540,14.09,0.05,0.25,0.001,1.5,17.4,420,0.07,0.011,0.001,0.25,1750,30000,4.18,0.01,21,0.001,3.8,11,0.33,13.2,94,0.5,6.1,0.7,5e-04,7310,26500,3.93,3,0.01,0.5,0.0025,600,1.01,7.3,11,2.5,0.59,0.24,32.79,1370,1.71,51.9,0.06,0.1,0.5,150,33800,3.68,10,10.1,10,5e-04,395,0.07,0.6,5.9,0.002,29,12,0.005,0.2,0.9,13,0.027,1.5,130,70.01,2.1,50,4,4.6,250,99.65,0.25,0.25,0.008,3,2.2,294,0.3,0.25,16.5,0.5,2.1,1.6,6.2,25,190,3,4,25,20,7.45,2.98,2.74,0.83,1.03,0.046,2.73,0.03,32.72,0.179
"165",200,735487,7504650,0.02,2.5,12600,13.1,0.3,0.25,0.002,3,19.4,350,0.28,0.03,0.001,5.1,1620,30000,2.84,0.012,42,0.002,4.2,9,0.68,21.3,110,0.5,22.2,0.7,5e-04,11500,25300,3.06,3,0.03,0.5,0.0025,600,1.73,17.1,17,10.1,3.37,0.19,30.15,2000,1.19,65.9,0.04,0.1,0.5,120,28600,3.38,12,19.3,10,0.0012,284,0.05,1.1,5.8,0.002,54,81,0.005,0.2,1.6,9.3,0.118,1.5,360,69.03,2.6,50,10,4.5,250,98.02,0.25,0.5,0.008,7,3.7,487,0.25,0.25,22,0.5,9.1,1.2,13.9,25,180,3,14,40,1,6.93,2.02,2.14,1.43,0.71,0.03,2.5,0.021,32.26,0.149
"166",201,701808,7714390,0.036,2.5,7520,13.76,1.3,0.25,0.002,1.5,39.6,610,0.25,0.065,0.001,4.6,1610,20000,1.94,0.016,58,0.001,5.1,6,0.51,25,48,0.5,17.6,1,5e-04,11600,20600,2.88,6,0.02,0.5,0.0025,1700,2.36,21.2,32,10.1,1.05,0.25,35.21,3400,0.96,92.6,0.04,0.3,0.5,160,29300,3.42,22,14.4,10,5e-04,364,0.09,1.7,5.8,0.002,91,24,0.005,0.05,2.6,9.4,0.1,1.5,140,72.54,3.9,50,5,5.5,250,99.36,0.25,0.25,0.014,11,9.7,715,0.33,0.25,27.8,0.5,4.5,1.5,18.4,25,140,3,0,39,21,7.28,1.38,2.01,1.95,0.57,0.03,2.53,0.039,33.9,0.197
"167",202,817032,7638820,0.008,2.5,7270,14.58,0.2,0.25,0.001,1.5,35.5,460,0.16,0.018,0.001,0.25,1190,20000,2.84,0.018,42,0.001,5.6,9,0.39,19,72,0.5,9.7,0.8,5e-04,11700,22700,2.93,5,0.01,0.5,0.0025,2100,1.74,11.2,25,13.6,1.15,0.19,37.15,2950,1.14,111,0.04,0.1,0.5,90,37300,4.14,16,13,45,5e-04,276,0.06,1,6.1,0.002,41,15,0.005,0.05,1.7,9.2,0.025,1.5,150,70.94,3.4,50,1,6.3,250,99.9,0.25,0.25,0.0015,5,7.8,780,0.34,1.8,23.5,0.5,2.8,1.1,23.9,50,250,3,0,50,4,7.71,2.02,2.04,1.44,0.68,0.03,3.07,0.026,33.15,0.203
"168",203,634126,7714770,0.01,2.5,19900,14.71,0.9,0.25,0.001,1.5,54.8,400,0.37,0.025,0.001,11,5000,30000,3.9,0.036,55,0.004,16.7,22,0.65,52.4,100,1,57.5,1.4,5e-04,37800,53800,7.65,6,0.03,0.5,0.0025,2200,1.45,16.1,27,10.7,2.8,0.44,32.41,13600,3.43,451,0.11,0.1,0.5,340,27500,3.24,27,28.9,10,0.0011,642,0.16,0.8,6,0.002,47,40,0.005,0.05,7.4,25,0.067,1.5,180,61.54,4.9,50,13,15.6,250,99.81,0.25,0.25,0.004,8,4.9,1910,0.81,0.25,82.3,0.5,8.1,2.8,41.9,102,100,3,3,48,52,7.78,2.78,5.35,1.2,2.06,0.085,2.4,0.069,28.76,0.485
"169",204,507247,7609280,0.015,2.5,23200,14.49,1.2,0.25,0.001,1.5,96.4,830,0.91,0.025,0.001,0.25,490,5000,1.27,0.027,79,0.003,8.7,13,0.66,37.1,96,0.5,24.8,1.4,5e-04,20300,38700,5.58,7,0.03,0.5,0.0025,1400,2.52,18,41,8,3.14,0.44,32.79,3810,1.67,121,0.05,0.3,0.5,90,13300,1.54,28,28.1,10,5e-04,156,0.06,1.7,5.9,0.002,67,47,0.005,0.05,5,16,0.195,1.5,140,68.76,5.1,50,16,6.9,250,99.74,0.8,0.25,0.021,11,11,900,0.66,0.25,44.6,0.5,5.8,2.5,30.2,99,210,1,2,32,31,7.66,0.9,3.9,2.09,1,0.038,1.14,0.026,32.13,0.395
"170",205,417034,7479530,0.004,2.5,10300,12.52,1.6,0.25,0.003,1.5,37.9,520,0.31,0.036,0.001,0.25,1620,30000,2.88,0.015,37,0.003,6.4,13,0.41,55.4,140,0.5,15.9,0.9,5e-04,17300,35900,4.99,5,0.02,0.5,0.0025,600,1.79,12.8,20,6.2,1.81,0.27,33.03,3920,2.03,110,0.06,0.1,0.5,130,28500,3.38,16,17.7,95,5e-04,296,0.07,1,6.1,0.002,66,15,0.03,0.3,3.2,16,0.064,1.5,140,69.2,2.9,50,5,7,250,99.46,0.7,0.25,0.007,8,6.5,1210,0.73,1.2,44,0.5,4.3,2.2,13.6,25,193,1,32,42,7,6.62,2.05,3.49,1.48,1.22,0.046,2.5,0.03,32.34,0.437
"171",206,540733,7517010,0.003,2.5,12900,12.35,0.6,1.8,0.004,1.5,57.1,530,0.4,0.041,0.001,2.8,970,30000,2.26,0.017,46,0.004,8.5,16,0.42,73.5,210,0.5,24.1,0.9,5e-04,20400,40700,5.7,5,0.01,0.5,0.0025,1400,1.86,16.4,25,6.8,2.23,0.31,36.25,3970,2.15,127,0.06,0.1,0.5,100,19200,2.32,18,26,10,5e-04,188,0.05,0.9,5.9,0.002,55,23,0.005,0.2,4.4,16,0.058,1.5,150,70.81,3.4,50,7,4.5,250,100.45,0.25,0.6,0.007,8,6.2,923,0.67,0.25,49.4,0.5,5.2,2,14.9,76,265,1,0,42,1,6.53,1.61,3.98,1.54,1.29,0.046,1.72,0.021,33.09,0.401
"172",207,552579,7599880,0.009,2.5,11500,16.11,0.5,0.25,0.013,1.5,79.3,760,0.21,0.014,0.001,7.8,630,5000,1.3,0.029,95,0.001,9,16,0.61,25.5,130,0.5,22.4,1.6,5e-04,16600,55500,7.19,8,0.01,0.5,0.0025,2000,2.28,19.2,53,5.4,1.29,0.71,32.23,4570,2.48,124,0.07,0.1,0.5,110,11900,1.33,34,24.5,10,5e-04,189,0.06,1.4,6.8,0.002,71,32,0.005,0.2,3.3,22,0.105,1.5,210,66.27,6.8,50,10,4.6,250,99.17,0.25,1.2,0.026,10,12,617,0.78,0.25,31.6,0.5,4,4.8,28.1,124,195,1,34,37,31,8.52,0.92,5.02,1.89,1.49,0.054,0.98,0.026,30.97,0.467
"173",208,392650,7760650,0.005,2.5,4370,11.27,0.4,0.25,0.001,1.5,19,530,0.16,0.02,0.001,2.5,1670,20000,2.25,0.007,34,0.001,3.9,8,0.23,29,79,0.5,10,0.9,5e-04,8730,21500,2.68,6,0.01,0.5,0.0025,600,1.65,10,17,5.4,0.92,0.19,33.14,2330,1,120,0.04,0.1,0.5,100,27700,3.39,15,8.1,10,5e-04,310,0.07,0.9,6.1,0.002,40,11,0.005,0.05,1.4,7.7,0.025,1.5,120,74.58,2.5,50,1,6.8,250,98.25,0.25,0.25,0.004,3,2.9,535,0.39,0.25,15.5,0.5,3.6,1.3,8.5,25,350,2,0,25,10,5.96,1.6,1.87,1.36,0.6,0.03,2.51,0.03,34.85,0.233
"174",211,567073,7656610,0.009,2.5,14600,14.94,0.4,0.25,0.005,1.5,81.4,760,0.35,0.025,0.001,0.25,4590,20000,3.97,0.025,65,0.001,11.4,21,0.35,44.9,120,0.5,66.4,1.5,5e-04,23800,53200,7.03,6,0.01,0.5,0.0025,1700,1.68,24.4,40,16.8,2.04,0.44,32.77,8670,3.05,279,0.1,0.1,0.5,300,24400,3.17,25,28.5,10,5e-04,514,0.13,1.7,6.7,0.002,50,20,0.005,0.05,5,18,0.041,1.5,130,63.32,4.7,50,1,18.8,250,100.21,0.25,0.25,0.008,8,6.4,1610,0.78,0.25,54,0.5,6.7,2.4,41.5,118,160,1,2,37,20,7.9,2.83,4.91,1.39,1.83,0.077,2.35,0.056,29.59,0.467
"175",212,530080,7803860,0.016,2.5,20900,17.16,1.8,4.4,0.006,3,29.8,660,0.72,0.15,0.001,11,1510,5000,0.8,0.046,110,0.001,22.9,25,0.44,55.5,130,3,30.5,1.9,5e-04,49000,58100,7.71,9,0.02,0.5,0.0025,700,3.24,30.5,60,42.1,4.45,0.67,34.66,13100,2.72,737,0.11,0.1,0.5,70,17700,2.16,46,55.2,73,5e-04,561,0.13,7.3,5.4,0.002,150,50,0.058,0.05,4.3,17,0.098,1.5,350,60.42,7.2,50,11,7.7,250,99.86,0.25,1.2,0.027,18,16,804,0.96,4.6,41.4,0.5,13,4.4,93.3,111,220,2,0,33,10,9.08,0.57,5.39,2.68,1.64,0.085,1.6,0.056,28.24,0.575
