"","year","pop","rgdppc","savrat","country","com","opec","name"
"468",1985,4987,712,4.6,19,0,0,"GUINEA"
"469",1960,540,503,24.5,20,0,0,"GUINEA-BISS"
"470",1961,537,489,23.3,20,0,0,"GUINEA-BISS"
"471",1962,534,498,24,20,0,0,"GUINEA-BISS"
"472",1963,531,580,19.3,20,0,0,"GUINEA-BISS"
"473",1964,528,606,19.1,20,0,0,"GUINEA-BISS"
"474",1965,525,612,16.3,20,0,0,"GUINEA-BISS"
"475",1966,525,553,17.8,20,0,0,"GUINEA-BISS"
"476",1967,525,624,17.9,20,0,0,"GUINEA-BISS"
"477",1968,526,646,16.9,20,0,0,"GUINEA-BISS"
"478",1969,526,743,17.4,20,0,0,"GUINEA-BISS"
"479",1970,526,699,31,20,0,0,"GUINEA-BISS"
"480",1971,536,749,24,20,0,0,"GUINEA-BISS"
"481",1972,551,831,18.1,20,0,0,"GUINEA-BISS"
"482",1973,572,856,13.8,20,0,0,"GUINEA-BISS"
"483",1974,597,872,10.2,20,0,0,"GUINEA-BISS"
"484",1975,627,770,10.4,20,0,0,"GUINEA-BISS"
"485",1976,661,749,11.2,20,0,0,"GUINEA-BISS"
"486",1977,701,595,15.3,20,0,0,"GUINEA-BISS"
"487",1978,742,619,18.4,20,0,0,"GUINEA-BISS"
"488",1979,779,556,24.3,20,0,0,"GUINEA-BISS"
"489",1980,809,471,19.4,20,0,0,"GUINEA-BISS"
"490",1981,824,573,13,20,0,0,"GUINEA-BISS"
"491",1982,839,633,14.9,20,0,0,"GUINEA-BISS"
"492",1983,854,606,14.8,20,0,0,"GUINEA-BISS"
"493",1984,870,627,14.8,20,0,0,"GUINEA-BISS"
"494",1985,886,650,15.5,20,0,0,"GUINEA-BISS"
"495",1960,3813,1120,9.3,21,0,0,"IVORY COAST"
"496",1961,3956,1155,11.2,21,0,0,"IVORY COAST"
"497",1962,4104,1181,7.8,21,0,0,"IVORY COAST"
"498",1963,4258,1281,9.8,21,0,0,"IVORY COAST"
"499",1964,4418,1422,12.1,21,0,0,"IVORY COAST"
"500",1965,4583,1400,11.6,21,0,0,"IVORY COAST"
"501",1966,4755,1407,12,21,0,0,"IVORY COAST"
"502",1967,4931,1400,10.9,21,0,0,"IVORY COAST"
"503",1968,5119,1515,10.9,21,0,0,"IVORY COAST"
"504",1969,5311,1497,12.5,21,0,0,"IVORY COAST"
"505",1970,5510,1615,14.1,21,0,0,"IVORY COAST"
"506",1971,5742,1658,13,21,0,0,"IVORY COAST"
"507",1972,5982,1655,12,21,0,0,"IVORY COAST"
"508",1973,6231,1694,14.1,21,0,0,"IVORY COAST"
"509",1974,6489,1721,13.1,21,0,0,"IVORY COAST"
"510",1975,6755,1816,12.3,21,0,0,"IVORY COAST"
"511",1976,7037,1970,13.7,21,0,0,"IVORY COAST"
"512",1977,7323,2060,18,21,0,0,"IVORY COAST"
"513",1978,7612,2237,18.5,21,0,0,"IVORY COAST"
"514",1979,7902,2228,16.7,21,0,0,"IVORY COAST"
"515",1980,8194,1790,14.5,21,0,0,"IVORY COAST"
"516",1981,8487,1790,13.4,21,0,0,"IVORY COAST"
"517",1982,8777,1697,12.4,21,0,0,"IVORY COAST"
"518",1983,9076,1618,9.4,21,0,0,"IVORY COAST"
"519",1984,9399,1539,3.8,21,0,0,"IVORY COAST"
"520",1985,9755,1545,6.7,21,0,0,"IVORY COAST"
"521",1960,8049,659,23.2,22,0,0,"KENYA"
"522",1961,8341,563,16.9,22,0,0,"KENYA"
"523",1962,8643,589,14.4,22,0,0,"KENYA"
"524",1963,8958,622,15.7,22,0,0,"KENYA"
"525",1964,9283,622,12.7,22,0,0,"KENYA"
"526",1965,9620,614,13.4,22,0,0,"KENYA"
"527",1966,9970,660,16.3,22,0,0,"KENYA"
"528",1967,10331,679,17.5,22,0,0,"KENYA"
"529",1968,10707,698,17.8,22,0,0,"KENYA"
"530",1969,11094,711,17.3,22,0,0,"KENYA"
"531",1970,11498,586,27.6,22,0,0,"KENYA"
"532",1971,11902,749,21.2,22,0,0,"KENYA"
"533",1972,12327,839,16.8,22,0,0,"KENYA"
"534",1973,12773,804,20.5,22,0,0,"KENYA"
"535",1974,13244,847,17.7,22,0,0,"KENYA"
"536",1975,13741,837,11.8,22,0,0,"KENYA"
"537",1976,14258,804,13.3,22,0,0,"KENYA"
"538",1977,14805,843,16.6,22,0,0,"KENYA"
"539",1978,15383,898,18.6,22,0,0,"KENYA"
"540",1979,15992,931,13,22,0,0,"KENYA"
"541",1980,16632,911,17.2,22,0,0,"KENYA"
"542",1981,17304,870,16.8,22,0,0,"KENYA"
"543",1982,18011,860,12.5,22,0,0,"KENYA"
"544",1983,18744,836,10.8,22,0,0,"KENYA"
"545",1984,19490,833,10.8,22,0,0,"KENYA"
"546",1985,20241,794,13.8,22,0,0,"KENYA"
"547",1960,871,313,1.1,23,0,0,"LESOTHO"
"548",1961,889,313,2.1,23,0,0,"LESOTHO"
"549",1962,907,358,3.6,23,0,0,"LESOTHO"
"550",1963,925,393,4.5,23,0,0,"LESOTHO"
"551",1964,944,408,5.1,23,0,0,"LESOTHO"
"552",1965,963,409,6.2,23,0,0,"LESOTHO"
"553",1966,982,486,5.7,23,0,0,"LESOTHO"
"554",1967,1002,482,6.3,23,0,0,"LESOTHO"
"555",1968,1022,486,5.9,23,0,0,"LESOTHO"
"556",1969,1043,483,5.8,23,0,0,"LESOTHO"
"557",1970,1064,419,6.8,23,0,0,"LESOTHO"
"558",1971,1087,457,7.7,23,0,0,"LESOTHO"
"559",1972,1110,531,7.6,23,0,0,"LESOTHO"
"560",1973,1135,640,9,23,0,0,"LESOTHO"
"561",1974,1161,718,7.4,23,0,0,"LESOTHO"
"562",1975,1187,762,9.1,23,0,0,"LESOTHO"
"563",1976,1213,837,12.1,23,0,0,"LESOTHO"
"564",1977,1242,888,16.4,23,0,0,"LESOTHO"
"565",1978,1272,975,13,23,0,0,"LESOTHO"
"566",1979,1304,982,14.9,23,0,0,"LESOTHO"
"567",1980,1339,994,17.5,23,0,0,"LESOTHO"
"568",1981,1376,1020,16.8,23,0,0,"LESOTHO"
"569",1982,1416,1029,18.5,23,0,0,"LESOTHO"
"570",1983,1458,1013,11,23,0,0,"LESOTHO"
"571",1984,1501,1021,13,23,0,0,"LESOTHO"
"572",1985,1545,975,16.8,23,0,0,"LESOTHO"
"573",1960,1050,717,19.2,24,0,0,"LIBERIA"
"574",1961,1078,740,29.5,24,0,0,"LIBERIA"
"575",1962,1107,734,42.1,24,0,0,"LIBERIA"
"576",1963,1137,805,28.2,24,0,0,"LIBERIA"
"577",1964,1168,804,18.9,24,0,0,"LIBERIA"
"578",1965,1199,824,14.2,24,0,0,"LIBERIA"
"579",1966,1231,885,11.8,24,0,0,"LIBERIA"
"580",1967,1264,917,11.6,24,0,0,"LIBERIA"
"581",1968,1298,912,12,24,0,0,"LIBERIA"
"582",1969,1333,949,11.9,24,0,0,"LIBERIA"
"583",1970,1394,982,10.2,24,0,0,"LIBERIA"
"584",1971,1427,1068,8.6,24,0,0,"LIBERIA"
"585",1972,1470,944,15.2,24,0,0,"LIBERIA"
"586",1973,1515,1037,5.6,24,0,0,"LIBERIA"
"587",1974,1561,1053,6.9,24,0,0,"LIBERIA"
"588",1975,1609,946,14,24,0,0,"LIBERIA"
"589",1976,1659,992,13.1,24,0,0,"LIBERIA"
"590",1977,1711,1029,11.7,24,0,0,"LIBERIA"
"591",1978,1765,1034,10.5,24,0,0,"LIBERIA"
"592",1979,1821,1015,11.5,24,0,0,"LIBERIA"
"593",1980,1879,927,11.3,24,0,0,"LIBERIA"
"594",1981,1939,962,6.4,24,0,0,"LIBERIA"
"595",1982,2001,936,5.4,24,0,0,"LIBERIA"
"596",1983,2066,921,4.3,24,0,0,"LIBERIA"
"597",1984,2132,869,3.8,24,0,0,"LIBERIA"
"598",1985,2199,853,3.1,24,0,0,"LIBERIA"
"599",1960,5336,1191,1.3,25,0,0,"MADAGASCAR"
"600",1961,5463,1179,1.1,25,0,0,"MADAGASCAR"
"601",1962,5593,1185,0.9,25,0,0,"MADAGASCAR"
"602",1963,5726,1152,1.2,25,0,0,"MADAGASCAR"
"603",1964,5863,1120,1.4,25,0,0,"MADAGASCAR"
"604",1965,6003,1111,1.2,25,0,0,"MADAGASCAR"
"605",1966,6145,1111,1.2,25,0,0,"MADAGASCAR"
"606",1967,6292,1121,1.3,25,0,0,"MADAGASCAR"
"607",1968,6441,1095,1.6,25,0,0,"MADAGASCAR"
"608",1969,6595,1132,1.7,25,0,0,"MADAGASCAR"
"609",1970,6752,1146,1.5,25,0,0,"MADAGASCAR"
"610",1971,6908,1206,1.6,25,0,0,"MADAGASCAR"
"611",1972,7069,1137,1.3,25,0,0,"MADAGASCAR"
"612",1973,7237,1069,1.4,25,0,0,"MADAGASCAR"
"613",1974,7414,1014,1.5,25,0,0,"MADAGASCAR"
"614",1975,7604,995,1.5,25,0,0,"MADAGASCAR"
"615",1976,7814,930,1.3,25,0,0,"MADAGASCAR"
"616",1977,8030,939,1.2,25,0,0,"MADAGASCAR"
"617",1978,8253,905,1.2,25,0,0,"MADAGASCAR"
"618",1979,8481,995,1.8,25,0,0,"MADAGASCAR"
"619",1980,8714,984,1.7,25,0,0,"MADAGASCAR"
"620",1981,8951,847,1.3,25,0,0,"MADAGASCAR"
"621",1982,9189,821,1.1,25,0,0,"MADAGASCAR"
"622",1983,9435,795,1.1,25,0,0,"MADAGASCAR"
"623",1984,9698,766,1.2,25,0,0,"MADAGASCAR"
"624",1985,9985,769,1.1,25,0,0,"MADAGASCAR"
"625",1960,3530,380,6.1,26,0,0,"MALAWI"
"626",1961,3609,412,7.4,26,0,0,"MALAWI"
"627",1962,3689,387,5.1,26,0,0,"MALAWI"
"628",1963,3771,382,6,26,0,0,"MALAWI"
"629",1964,3855,371,4.3,26,0,0,"MALAWI"
"630",1965,3941,412,7.7,26,0,0,"MALAWI"
"631",1966,4028,440,10,26,0,0,"MALAWI"
"632",1967,4146,457,6.6,26,0,0,"MALAWI"
"633",1968,4266,451,8.7,26,0,0,"MALAWI"
"634",1969,4390,464,10.1,26,0,0,"MALAWI"
"635",1970,4518,440,17.1,26,0,0,"MALAWI"
"636",1971,4651,505,12.5,26,0,0,"MALAWI"
"637",1972,4791,498,15.8,26,0,0,"MALAWI"
"638",1973,4936,479,10.9,26,0,0,"MALAWI"
"639",1974,5087,487,13.6,26,0,0,"MALAWI"
"640",1975,5244,509,16.6,26,0,0,"MALAWI"
"641",1976,5410,508,13.2,26,0,0,"MALAWI"
"642",1977,5583,502,12.8,26,0,0,"MALAWI"
"643",1978,5763,544,19.6,26,0,0,"MALAWI"
"644",1979,5948,553,13.7,26,0,0,"MALAWI"
"645",1980,6138,554,11.4,26,0,0,"MALAWI"
"646",1981,6328,512,8.4,26,0,0,"MALAWI"
"647",1982,6527,495,10.5,26,0,0,"MALAWI"
"648",1983,6737,487,11.5,26,0,0,"MALAWI"
"649",1984,6957,508,6,26,0,0,"MALAWI"
"650",1985,7188,518,8.4,26,0,0,"MALAWI"
"651",1960,4175,535,3.1,27,0,0,"MALI"
"652",1961,4278,516,3.2,27,0,0,"MALI"
"653",1962,4382,503,3.6,27,0,0,"MALI"
"654",1963,4488,512,4.1,27,0,0,"MALI"
"655",1964,4598,421,6.8,27,0,0,"MALI"
"656",1965,4711,435,5.4,27,0,0,"MALI"
"657",1966,4829,427,6.7,27,0,0,"MALI"
"658",1967,4950,425,6.8,27,0,0,"MALI"
"659",1968,5076,416,7.8,27,0,0,"MALI"
"660",1969,5204,400,7.4,27,0,0,"MALI"
"661",1970,5335,419,7,27,0,0,"MALI"
"662",1971,5450,421,7.2,27,0,0,"MALI"
"663",1972,5564,440,6.8,27,0,0,"MALI"
"664",1973,5678,424,6.6,27,0,0,"MALI"
"665",1974,5791,432,4.9,27,0,0,"MALI"
"666",1975,5905,461,6,27,0,0,"MALI"
"667",1976,6032,495,5.3,27,0,0,"MALI"
"668",1977,6165,502,6.5,27,0,0,"MALI"
"669",1978,6304,511,6.1,27,0,0,"MALI"
"670",1979,6446,551,6,27,0,0,"MALI"
"671",1980,6590,532,5.8,27,0,0,"MALI"
"672",1981,6733,512,6.5,27,0,0,"MALI"
"673",1982,6883,524,5.8,27,0,0,"MALI"
"674",1983,7041,503,4.9,27,0,0,"MALI"
"675",1984,7210,506,5.3,27,0,0,"MALI"
"676",1985,7389,532,6,27,0,0,"MALI"
"677",1960,975,780,12.4,28,0,0,"MAURITANIA"
"678",1961,997,846,21.7,28,0,0,"MAURITANIA"
"679",1962,1020,824,23.9,28,0,0,"MAURITANIA"
"680",1963,1043,736,16,28,0,0,"MAURITANIA"
"681",1964,1066,839,4.9,28,0,0,"MAURITANIA"
"682",1965,1091,882,6.1,28,0,0,"MAURITANIA"
"683",1966,1115,856,6.2,28,0,0,"MAURITANIA"
"684",1967,1141,843,10.3,28,0,0,"MAURITANIA"
"685",1968,1167,854,14,28,0,0,"MAURITANIA"
"686",1969,1193,857,10.4,28,0,0,"MAURITANIA"
"687",1970,1221,872,14,28,0,0,"MAURITANIA"
"688",1971,1249,860,14.7,28,0,0,"MAURITANIA"
"689",1972,1277,857,19,28,0,0,"MAURITANIA"
"690",1973,1307,850,5.1,28,0,0,"MAURITANIA"
"691",1974,1338,966,9.1,28,0,0,"MAURITANIA"
"692",1975,1371,915,19.2,28,0,0,"MAURITANIA"
"693",1976,1407,1117,20.6,28,0,0,"MAURITANIA"
"694",1977,1443,1056,19.2,28,0,0,"MAURITANIA"
"695",1978,1480,959,16.3,28,0,0,"MAURITANIA"
"696",1979,1516,931,14.1,28,0,0,"MAURITANIA"
"697",1980,1551,885,21.2,28,0,0,"MAURITANIA"
"698",1981,1586,888,24.8,28,0,0,"MAURITANIA"
"699",1982,1620,885,26.7,28,0,0,"MAURITANIA"
"700",1983,1654,939,9.6,28,0,0,"MAURITANIA"
"701",1984,1690,847,14.2,28,0,0,"MAURITANIA"
"702",1985,1729,824,17,28,0,0,"MAURITANIA"
"703",1960,660,2862,16.3,29,0,0,"MAURITIUS"
"704",1961,675,3322,10.8,29,0,0,"MAURITIUS"
"705",1962,691,3016,10.7,29,0,0,"MAURITIUS"
"706",1963,707,3120,10.5,29,0,0,"MAURITIUS"
"707",1964,723,3300,11.4,29,0,0,"MAURITIUS"
"708",1965,740,3136,9.7,29,0,0,"MAURITIUS"
"709",1966,757,3025,8.5,29,0,0,"MAURITIUS"
"710",1967,774,3148,8.5,29,0,0,"MAURITIUS"
"711",1968,792,3094,6.1,29,0,0,"MAURITIUS"
"712",1969,810,2678,8.7,29,0,0,"MAURITIUS"
"713",1970,829,2398,6.5,29,0,0,"MAURITIUS"
"714",1971,840,2523,9.2,29,0,0,"MAURITIUS"
"715",1972,850,2566,10.2,29,0,0,"MAURITIUS"
"716",1973,860,2584,16.5,29,0,0,"MAURITIUS"
"717",1974,870,3312,15.3,29,0,0,"MAURITIUS"
"718",1975,883,3638,14.2,29,0,0,"MAURITIUS"
"719",1976,898,3931,12.5,29,0,0,"MAURITIUS"
"720",1977,914,4178,11.4,29,0,0,"MAURITIUS"
"721",1978,931,4329,11.8,29,0,0,"MAURITIUS"
"722",1979,948,4412,11.9,29,0,0,"MAURITIUS"
"723",1980,966,3988,7.5,29,0,0,"MAURITIUS"
"724",1981,982,3969,9.1,29,0,0,"MAURITIUS"
"725",1982,995,3905,7.6,29,0,0,"MAURITIUS"
"726",1983,1006,3911,7.4,29,0,0,"MAURITIUS"
"727",1984,1014,4061,8.4,29,0,0,"MAURITIUS"
"728",1985,1020,4226,8.6,29,0,0,"MAURITIUS"
"729",1960,11891,815,6.8,30,0,0,"MOROCCO"
"730",1961,12220,994,5,30,0,0,"MOROCCO"
"731",1962,12557,1110,6.2,30,0,0,"MOROCCO"
"732",1963,12905,1246,6.3,30,0,0,"MOROCCO"
"733",1964,13262,1268,5.5,30,0,0,"MOROCCO"
"734",1965,13627,1221,6,30,0,0,"MOROCCO"
"735",1966,13949,1161,5.8,30,0,0,"MOROCCO"
"736",1967,14277,1184,7.8,30,0,0,"MOROCCO"
"737",1968,14613,1277,9.9,30,0,0,"MOROCCO"
"738",1969,14958,1322,6.6,30,0,0,"MOROCCO"
"739",1970,15310,1342,9.4,30,0,0,"MOROCCO"
"740",1971,15712,1367,10,30,0,0,"MOROCCO"
"741",1972,16113,1367,7.9,30,0,0,"MOROCCO"
"742",1973,16511,1384,7.9,30,0,0,"MOROCCO"
"743",1974,16908,1433,8.9,30,0,0,"MOROCCO"
"744",1975,17305,1548,13.4,30,0,0,"MOROCCO"
"745",1976,17702,1745,13.7,30,0,0,"MOROCCO"
"746",1977,18097,1774,15.2,30,0,0,"MOROCCO"
"747",1978,18501,1819,10.7,30,0,0,"MOROCCO"
"748",1979,18926,1879,10.3,30,0,0,"MOROCCO"
"749",1980,19382,1941,10.2,30,0,0,"MOROCCO"
"750",1981,19867,1855,10.4,30,0,0,"MOROCCO"
"751",1982,20378,1954,11.2,30,0,0,"MOROCCO"
"752",1983,20916,1879,9.4,30,0,0,"MOROCCO"
"753",1984,21478,1905,9.7,30,0,0,"MOROCCO"
"754",1985,22061,1956,10.4,30,0,0,"MOROCCO"
"755",1960,7551,1153,1.8,31,0,0,"MOZAMBIQUE"
"756",1961,7718,1155,1.8,31,0,0,"MOZAMBIQUE"
"757",1962,7888,1227,1.6,31,0,0,"MOZAMBIQUE"
"758",1963,8061,1253,1.6,31,0,0,"MOZAMBIQUE"
"759",1964,8239,1264,1.6,31,0,0,"MOZAMBIQUE"
"760",1965,8421,1265,1.8,31,0,0,"MOZAMBIQUE"
"761",1966,8606,1278,2.1,31,0,0,"MOZAMBIQUE"
"762",1967,8796,1367,1.8,31,0,0,"MOZAMBIQUE"
"763",1968,8990,1429,2,31,0,0,"MOZAMBIQUE"
"764",1969,9188,1500,2.3,31,0,0,"MOZAMBIQUE"
"765",1970,9390,1497,2.7,31,0,0,"MOZAMBIQUE"
"766",1971,9613,1562,2.7,31,0,0,"MOZAMBIQUE"
"767",1972,9845,1590,2.5,31,0,0,"MOZAMBIQUE"
"768",1973,10087,1681,2.2,31,0,0,"MOZAMBIQUE"
"769",1974,10340,1407,1.9,31,0,0,"MOZAMBIQUE"
"770",1975,10606,1182,1.5,31,0,0,"MOZAMBIQUE"
"771",1976,10888,1095,1.8,31,0,0,"MOZAMBIQUE"
"772",1977,11179,1103,1.7,31,0,0,"MOZAMBIQUE"
"773",1978,11479,1072,1.7,31,0,0,"MOZAMBIQUE"
"774",1979,11787,1078,1.7,31,0,0,"MOZAMBIQUE"
"775",1980,12103,923,2,31,0,0,"MOZAMBIQUE"
"776",1981,12426,939,2,31,0,0,"MOZAMBIQUE"
"777",1982,12756,905,2,31,0,0,"MOZAMBIQUE"
"778",1983,13093,866,1,31,0,0,"MOZAMBIQUE"
"779",1984,13438,849,1.2,31,0,0,"MOZAMBIQUE"
"780",1985,13791,749,1.1,31,0,0,"MOZAMBIQUE"
"781",1960,768,1790,22.1,32,0,0,"NAMIBIA"
"782",1961,789,1793,22.1,32,0,0,"NAMIBIA"
"783",1962,812,1973,21.8,32,0,0,"NAMIBIA"
"784",1963,835,2076,21.7,32,0,0,"NAMIBIA"
"785",1964,859,2233,20.9,32,0,0,"NAMIBIA"
"786",1965,883,2325,22.7,32,0,0,"NAMIBIA"
"787",1966,908,2407,25.9,32,0,0,"NAMIBIA"
"788",1967,934,2385,27.4,32,0,0,"NAMIBIA"
"789",1968,961,2407,29,32,0,0,"NAMIBIA"
"790",1969,988,2485,29.5,32,0,0,"NAMIBIA"
"791",1970,1016,2642,32.9,32,0,0,"NAMIBIA"
"792",1971,832,3324,35.6,32,0,0,"NAMIBIA"
"793",1972,854,3499,37.9,32,0,0,"NAMIBIA"
"794",1973,877,3595,36.4,32,0,0,"NAMIBIA"
"795",1974,901,3865,42.7,32,0,0,"NAMIBIA"
"796",1975,926,3608,41.8,32,0,0,"NAMIBIA"
"797",1976,952,3763,42.6,32,0,0,"NAMIBIA"
"798",1977,979,4004,43.9,32,0,0,"NAMIBIA"
"799",1978,1007,4200,44.2,32,0,0,"NAMIBIA"
"800",1979,1036,4313,44.7,32,0,0,"NAMIBIA"
"801",1980,1066,2904,23,32,0,0,"NAMIBIA"
"802",1981,1097,3287,17.7,32,0,0,"NAMIBIA"
"803",1982,1130,3118,12.1,32,0,0,"NAMIBIA"
"804",1983,1163,2891,9.2,32,0,0,"NAMIBIA"
"805",1984,1198,2809,9.4,32,0,0,"NAMIBIA"
"806",1985,1235,2604,8.7,32,0,0,"NAMIBIA"
"807",1960,3234,532,7.4,33,0,0,"NIGER"
"808",1961,3315,553,7.4,33,0,0,"NIGER"
"809",1962,3399,612,10.1,33,0,0,"NIGER"
"810",1963,3484,625,11.8,33,0,0,"NIGER"
"811",1964,3572,603,10.3,33,0,0,"NIGER"
"812",1965,3662,641,8.2,33,0,0,"NIGER"
"813",1966,3754,760,8.1,33,0,0,"NIGER"
"814",1967,3848,756,8.1,33,0,0,"NIGER"
"815",1968,3945,756,8.6,33,0,0,"NIGER"
"816",1969,4044,692,5.6,33,0,0,"NIGER"
"817",1970,4146,805,7.3,33,0,0,"NIGER"
"818",1971,4240,824,5.3,33,0,0,"NIGER"
"819",1972,4343,760,7.6,33,0,0,"NIGER"
"820",1973,4453,580,14.2,33,0,0,"NIGER"
"821",1974,4574,702,10.9,33,0,0,"NIGER"
"822",1975,4704,596,10.3,33,0,0,"NIGER"
"823",1976,4844,588,10.4,33,0,0,"NIGER"
"824",1977,4995,627,10.6,33,0,0,"NIGER"
"825",1978,5158,643,12.6,33,0,0,"NIGER"
"826",1979,5331,706,13.2,33,0,0,"NIGER"
"827",1980,5515,717,11.2,33,0,0,"NIGER"
"828",1981,5710,708,11.3,33,0,0,"NIGER"
"829",1982,5917,714,9.2,33,0,0,"NIGER"
"830",1983,6132,675,8.8,33,0,0,"NIGER"
"831",1984,6348,574,0.7,33,0,0,"NIGER"
"832",1985,6563,559,7.6,33,0,0,"NIGER"
"833",1960,51595,567,7.6,34,0,0,"NIGERIA"
"834",1961,52919,551,8.8,34,0,0,"NIGERIA"
"835",1962,54276,553,8.1,34,0,0,"NIGERIA"
"836",1963,55672,582,8.3,34,0,0,"NIGERIA"
"837",1964,57062,606,9.1,34,0,0,"NIGERIA"
"838",1965,58492,624,11.7,34,0,0,"NIGERIA"
"839",1966,59954,582,11.5,34,0,0,"NIGERIA"
"840",1967,61450,485,11.3,34,0,0,"NIGERIA"
"841",1968,62992,482,9.8,34,0,0,"NIGERIA"
"842",1969,64567,625,8.4,34,0,0,"NIGERIA"
"843",1970,66182,767,12.6,34,0,0,"NIGERIA"
"844",1971,54701,1055,14.5,34,0,0,"NIGERIA"
"845",1972,56239,1002,15.5,34,0,0,"NIGERIA"
"846",1973,57835,1068,16.9,34,0,0,"NIGERIA"
"847",1974,59500,1192,15,34,0,0,"NIGERIA"
"848",1975,61241,1245,21.1,34,0,0,"NIGERIA"
"849",1976,63043,1281,26.6,34,0,0,"NIGERIA"
"850",1977,64931,1480,25.1,34,0,0,"NIGERIA"
"851",1978,66911,1513,17.3,34,0,0,"NIGERIA"
"852",1979,68983,1393,15.9,34,0,0,"NIGERIA"
"853",1980,71148,1438,16.9,34,0,0,"NIGERIA"
"854",1981,73409,1515,15.9,34,0,0,"NIGERIA"
"855",1982,75774,1419,12.8,34,0,0,"NIGERIA"
"856",1983,78217,1259,10.9,34,0,0,"NIGERIA"
"857",1984,80699,1068,8.7,34,0,0,"NIGERIA"
"858",1985,83196,1062,7.7,34,0,0,"NIGERIA"
"859",1960,337,1092,24.2,35,0,0,"REUNION"
"860",1961,348,1134,25.7,35,0,0,"REUNION"
"861",1962,359,1259,28.4,35,0,0,"REUNION"
"862",1963,370,1372,25.9,35,0,0,"REUNION"
"863",1964,381,1377,28.3,35,0,0,"REUNION"
"864",1965,392,1526,33.3,35,0,0,"REUNION"
"865",1966,403,1594,32.4,35,0,0,"REUNION"
"866",1967,415,1600,31.9,35,0,0,"REUNION"
"867",1968,427,1826,31.8,35,0,0,"REUNION"
"868",1969,440,1877,35.3,35,0,0,"REUNION"
"869",1970,450,1960,28.1,35,0,0,"REUNION"
"870",1971,469,1861,30.8,35,0,0,"REUNION"
"871",1972,474,2012,28.2,35,0,0,"REUNION"
"872",1973,477,2185,24.2,35,0,0,"REUNION"
"873",1974,480,2122,22.5,35,0,0,"REUNION"
"874",1975,483,2030,26.8,35,0,0,"REUNION"
"875",1976,486,2257,19.8,35,0,0,"REUNION"
"876",1977,490,2372,18.2,35,0,0,"REUNION"
"877",1978,494,2576,17.9,35,0,0,"REUNION"
"878",1979,500,2739,16.9,35,0,0,"REUNION"
"879",1980,506,2827,15.7,35,0,0,"REUNION"
"880",1981,513,2901,15.8,35,0,0,"REUNION"
"881",1982,522,3074,14.7,35,0,0,"REUNION"
"882",1983,531,3128,14.8,35,0,0,"REUNION"
"883",1984,541,3017,15.5,35,0,0,"REUNION"
"884",1985,550,3093,15.9,35,0,0,"REUNION"
"885",1960,2753,537,1.4,36,0,0,"RWANDA"
"886",1961,2834,506,1.6,36,0,0,"RWANDA"
"887",1962,2920,467,2,36,0,0,"RWANDA"
"888",1963,3007,448,1.9,36,0,0,"RWANDA"
"889",1964,3097,368,2.3,36,0,0,"RWANDA"
"890",1965,3189,350,2.9,36,0,0,"RWANDA"
"891",1966,3284,487,3,36,0,0,"RWANDA"
"892",1967,3382,545,2.4,36,0,0,"RWANDA"
"893",1968,3484,544,2.8,36,0,0,"RWANDA"
"894",1969,3587,592,2.2,36,0,0,"RWANDA"
"895",1970,3695,647,2.2,36,0,0,"RWANDA"
"896",1971,3821,643,2.8,36,0,0,"RWANDA"
"897",1972,3954,628,2.9,36,0,0,"RWANDA"
"898",1973,4093,621,2.9,36,0,0,"RWANDA"
"899",1974,4236,624,3.1,36,0,0,"RWANDA"
"900",1975,4384,640,4,36,0,0,"RWANDA"
"901",1976,4538,656,4.1,36,0,0,"RWANDA"
"902",1977,4694,669,4.4,36,0,0,"RWANDA"
"903",1978,4850,693,4,36,0,0,"RWANDA"
"904",1979,5007,715,3.1,36,0,0,"RWANDA"
"905",1980,5163,757,4.1,36,0,0,"RWANDA"
"906",1981,5318,846,3.5,36,0,0,"RWANDA"
"907",1982,5471,821,5,36,0,0,"RWANDA"
"908",1983,5626,834,4,36,0,0,"RWANDA"
"909",1984,5788,769,5.7,36,0,0,"RWANDA"
"910",1985,5960,776,7,36,0,0,"RWANDA"
"911",1960,3498,1047,7.2,37,0,0,"SENEGAL"
"912",1961,3581,1072,6.1,37,0,0,"SENEGAL"
"913",1962,3665,1104,6.1,37,0,0,"SENEGAL"
"914",1963,3751,1134,5.2,37,0,0,"SENEGAL"
"915",1964,3839,1133,5.5,37,0,0,"SENEGAL"
"916",1965,3930,1143,5.2,37,0,0,"SENEGAL"
"917",1966,4023,1155,4.4,37,0,0,"SENEGAL"
"918",1967,4117,1120,4.9,37,0,0,"SENEGAL"
"919",1968,4214,1171,4.5,37,0,0,"SENEGAL"
"920",1969,4313,1036,5.4,37,0,0,"SENEGAL"
"921",1970,4158,1146,6.2,37,0,0,"SENEGAL"
"922",1971,4279,1137,6.2,37,0,0,"SENEGAL"
"923",1972,4405,1133,6.7,37,0,0,"SENEGAL"
"924",1973,4535,1062,7.1,37,0,0,"SENEGAL"
"925",1974,4669,1062,7.4,37,0,0,"SENEGAL"
"926",1975,4806,1123,6,37,0,0,"SENEGAL"
"927",1976,4946,1165,6.5,37,0,0,"SENEGAL"
"928",1977,5089,1156,6.1,37,0,0,"SENEGAL"
"929",1978,5235,1110,5.9,37,0,0,"SENEGAL"
"930",1979,5385,1174,4.7,37,0,0,"SENEGAL"
