"","age","ethnicity","mstatus"
"2462",40,"European","Married/Partnered"
"2463",44,"European","Divorced/Separated"
"2465",33,"European","Single"
"2466",26,"European","Married/Partnered"
"2468",24,"European","Married/Partnered"
"2469",30,"European","Married/Partnered"
"2470",56,"European","Married/Partnered"
"2471",43,"European","Married/Partnered"
"2472",62,"European","Married/Partnered"
"2474",45,"European","Married/Partnered"
"2475",24,"European","Single"
"2476",34,"European","Divorced/Separated"
"2477",31,"European","Married/Partnered"
"2478",22,"European","Single"
"2479",46,"European","Divorced/Separated"
"2480",53,"European","Married/Partnered"
"2484",52,"European","Divorced/Separated"
"2486",43,"European","Married/Partnered"
"2488",45,"European","Divorced/Separated"
"2491",40,"European","Married/Partnered"
"2492",47,"European","Married/Partnered"
"2493",44,"European","Single"
"2496",48,"European","Married/Partnered"
"2497",53,"European","Married/Partnered"
"2498",43,"European","Married/Partnered"
"2501",42,"European","Married/Partnered"
"2502",43,"European","Married/Partnered"
"2503",48,"European","Married/Partnered"
"2504",41,"European","Married/Partnered"
"2506",53,"European","Married/Partnered"
"2507",52,"European","Married/Partnered"
"2511",27,"European","Single"
"2514",56,"European","Married/Partnered"
"2518",46,"European","Married/Partnered"
"2519",43,"European","Married/Partnered"
"2520",54,"European","Married/Partnered"
"2521",44,"European","Divorced/Separated"
"2523",49,"European","Married/Partnered"
"2525",38,"European","Single"
"2527",54,"European","Married/Partnered"
"2529",35,"European","Single"
"2532",46,"European","Married/Partnered"
"2533",46,"European","Married/Partnered"
"2534",54,"European","Divorced/Separated"
"2536",46,"European","Married/Partnered"
"2537",32,"European","Single"
"2538",36,"European","Married/Partnered"
"2540",28,"European","Married/Partnered"
"2541",51,"European","Married/Partnered"
"2542",54,"European","Widowed"
"2543",41,"European","Married/Partnered"
"2544",57,"European","Married/Partnered"
"2548",35,"European","Married/Partnered"
"2549",47,"European","Married/Partnered"
"2551",34,"European","Married/Partnered"
"2552",56,"European","Married/Partnered"
"2553",36,"European","Married/Partnered"
"2554",47,"European","Married/Partnered"
"2556",58,"European","Married/Partnered"
"2557",44,"European","Married/Partnered"
"2558",55,"European","Married/Partnered"
"2559",40,"European","Married/Partnered"
"2561",25,"European","Married/Partnered"
"2563",55,"European","Married/Partnered"
"2566",53,"European","Married/Partnered"
"2567",55,"European","Married/Partnered"
"2568",32,"European","Married/Partnered"
"2569",34,"European","Married/Partnered"
"2572",28,"European","Married/Partnered"
"2574",21,"European","Married/Partnered"
"2575",42,"European","Married/Partnered"
"2577",42,"European","Divorced/Separated"
"2578",37,"European","Married/Partnered"
"2579",41,"European","Married/Partnered"
"2582",47,"European","Married/Partnered"
"2584",30,"European","Married/Partnered"
"2585",20,"European","Single"
"2586",48,"European","Married/Partnered"
"2589",31,"European","Married/Partnered"
"2590",48,"European","Married/Partnered"
"2591",29,"European","Single"
"2593",50,"European","Married/Partnered"
"2594",56,"European","Married/Partnered"
"2595",43,"European","Married/Partnered"
"2598",32,"European","Single"
"2600",37,"European","Married/Partnered"
"2601",27,"European","Married/Partnered"
"2602",21,"European","Single"
"2603",26,"European","Married/Partnered"
"2604",38,"European","Married/Partnered"
"2605",56,"European","Married/Partnered"
"2607",40,"European","Married/Partnered"
"2608",43,"European","Married/Partnered"
"2609",60,"European","Married/Partnered"
"2610",28,"European","Single"
"2612",27,"European","Married/Partnered"
"2614",41,"European","Married/Partnered"
"2615",39,"European","Married/Partnered"
"2616",56,"European","Married/Partnered"
"2619",46,"European","Married/Partnered"
"2620",27,"European","Single"
"2625",46,"European","Married/Partnered"
"2628",44,"European","Married/Partnered"
"2629",25,"European","Married/Partnered"
"2632",53,"European","Married/Partnered"
"2633",38,"European","Single"
"2635",76,"European","Widowed"
"2636",56,"European","Married/Partnered"
"2639",60,"European","Married/Partnered"
"2640",56,"European","Divorced/Separated"
"2641",35,"European","Married/Partnered"
"2645",73,"European","Married/Partnered"
"2646",74,"European","Married/Partnered"
"2651",52,"European","Married/Partnered"
"2655",84,"European","Widowed"
"2657",39,"European","Married/Partnered"
"2659",44,"European","Married/Partnered"
"2661",50,"European","Married/Partnered"
"2664",55,"European","Married/Partnered"
"2665",82,"European","Married/Partnered"
"2666",51,"European","Married/Partnered"
"2668",43,"European","Married/Partnered"
"2669",73,"European","Married/Partnered"
"2670",54,"European","Married/Partnered"
"2671",82,"European","Married/Partnered"
"2677",49,"European","Divorced/Separated"
"2679",70,"European","Married/Partnered"
"2680",48,"European","Married/Partnered"
"2681",52,"European","Married/Partnered"
"2682",65,"European","Married/Partnered"
"2683",72,"European","Married/Partnered"
"2684",71,"European","Married/Partnered"
"2686",49,"European","Divorced/Separated"
"2689",76,"European","Married/Partnered"
"2691",45,"European","Married/Partnered"
"2692",75,"European","Married/Partnered"
"2695",38,"European","Married/Partnered"
"2696",39,"European","Widowed"
"2697",69,"European","Married/Partnered"
"2706",60,"European","Married/Partnered"
"2712",68,"European","Married/Partnered"
"2716",82,"European","Married/Partnered"
"2717",53,"European","Married/Partnered"
"2719",40,"European","Single"
"2720",48,"European","Married/Partnered"
"2721",63,"European","Married/Partnered"
"2723",44,"European","Married/Partnered"
"2724",78,"European","Married/Partnered"
"2734",73,"European","Married/Partnered"
"2735",71,"European","Married/Partnered"
"2736",42,"European","Married/Partnered"
"2737",65,"European","Divorced/Separated"
"2741",53,"European","Married/Partnered"
"2742",68,"European","Married/Partnered"
"2743",77,"European","Married/Partnered"
"2744",68,"European","Married/Partnered"
"2748",72,"European","Married/Partnered"
"2749",74,"European","Married/Partnered"
"2750",49,"European","Married/Partnered"
"2753",82,"European","Divorced/Separated"
"2754",60,"European","Married/Partnered"
"2755",54,"European","Married/Partnered"
"2758",69,"European","Married/Partnered"
"2759",55,"European","Married/Partnered"
"2760",78,"European","Married/Partnered"
"2761",61,"European","Married/Partnered"
"2764",76,"European","Married/Partnered"
"2768",54,"European","Married/Partnered"
"2770",73,"European","Divorced/Separated"
"2771",56,"European","Married/Partnered"
"2772",52,"European","Married/Partnered"
"2774",51,"European","Married/Partnered"
"2777",58,"European","Married/Partnered"
"2780",54,"European","Divorced/Separated"
"2782",71,"European","Divorced/Separated"
"2788",64,"European","Widowed"
"2790",55,"European","Married/Partnered"
"2791",43,"European","Married/Partnered"
"2796",84,"European","Married/Partnered"
"2797",80,"European","Married/Partnered"
"2798",68,"European","Married/Partnered"
"2800",57,"European","Married/Partnered"
"2802",49,"European","Married/Partnered"
"2803",75,"European","Married/Partnered"
"2804",38,"European","Married/Partnered"
"2805",41,"European","Married/Partnered"
"2810",56,"European","Married/Partnered"
"2811",40,"European","Married/Partnered"
"2816",61,"European","Married/Partnered"
"2818",58,"European","Married/Partnered"
"2819",61,"European","Married/Partnered"
"2820",46,"European","Married/Partnered"
"2821",47,"European","Divorced/Separated"
"2824",60,"European","Married/Partnered"
"2825",64,"European","Married/Partnered"
"2828",73,"European","Widowed"
"2830",50,"European","Married/Partnered"
"2832",72,"European","Divorced/Separated"
"2835",53,"European","Single"
"2836",43,"European","Married/Partnered"
"2837",58,"European","Married/Partnered"
"2842",52,"European","Divorced/Separated"
"2845",64,"European","Married/Partnered"
"2847",75,"European","Married/Partnered"
"2848",57,"European","Married/Partnered"
"2849",52,"European","Widowed"
"2850",67,"European","Married/Partnered"
"2855",83,"European","Widowed"
"2856",48,"European","Married/Partnered"
"2860",76,"European","Married/Partnered"
"2863",51,"European","Married/Partnered"
"2866",56,"European","Married/Partnered"
"2876",60,"European","Married/Partnered"
"2877",71,"European","Single"
"2889",63,"European","Married/Partnered"
"2891",81,"European","Married/Partnered"
"2894",51,"European","Married/Partnered"
"2895",64,"European","Divorced/Separated"
"2896",65,"European","Married/Partnered"
"2898",64,"European","Married/Partnered"
"2902",74,"European","Married/Partnered"
"2904",61,"European","Married/Partnered"
"2905",59,"European","Married/Partnered"
"2914",44,"European","Married/Partnered"
"2916",38,"European","Married/Partnered"
"2921",80,"European","Married/Partnered"
"2922",50,"European","Married/Partnered"
"2924",66,"European","Married/Partnered"
"2928",58,"European","Married/Partnered"
"2933",78,"European","Married/Partnered"
"2934",35,"European","Married/Partnered"
"2936",60,"European","Married/Partnered"
"2937",66,"European","Married/Partnered"
"2939",36,"European","Single"
"2941",36,"European","Married/Partnered"
"2942",65,"European","Married/Partnered"
"2944",53,"European","Married/Partnered"
"2945",56,"European","Married/Partnered"
"2946",82,"European","Married/Partnered"
"2948",77,"European","Divorced/Separated"
"2950",48,"European","Married/Partnered"
"2952",50,"European","Married/Partnered"
"2955",36,"European","Married/Partnered"
"2957",42,"European","Divorced/Separated"
"2961",75,"European","Married/Partnered"
"2962",75,"European","Married/Partnered"
"2963",35,"European","Married/Partnered"
"2968",71,"European","Divorced/Separated"
"2969",44,"European","Married/Partnered"
"2971",43,"European","Married/Partnered"
"2972",35,"European","Married/Partnered"
"2975",39,"European","Married/Partnered"
"2976",36,"European","Married/Partnered"
"2977",65,"European","Single"
"2978",46,"European","Married/Partnered"
"2979",37,"European","Married/Partnered"
"2982",46,"European","Married/Partnered"
"2983",46,"European","Divorced/Separated"
"2985",46,"European","Married/Partnered"
"2988",56,"European","Married/Partnered"
"2990",51,"European","Married/Partnered"
"2991",73,"European","Married/Partnered"
"2992",59,"European","Married/Partnered"
"2996",50,"European","Married/Partnered"
"2999",49,"European","Married/Partnered"
"3000",68,"European","Married/Partnered"
"3001",53,"European","Divorced/Separated"
"3002",48,"European","Married/Partnered"
"3005",77,"European","Widowed"
"3008",78,"European","Married/Partnered"
"3009",41,"European","Married/Partnered"
"3011",44,"European","Married/Partnered"
"3014",61,"European","Married/Partnered"
"3015",80,"European","Married/Partnered"
"3016",66,"European","Married/Partnered"
"3017",51,"European","Single"
"3022",73,"European","Married/Partnered"
"3024",80,"European","Widowed"
"3027",67,"European","Married/Partnered"
"3028",44,"European","Married/Partnered"
"3030",73,"European","Married/Partnered"
"3031",60,"European","Married/Partnered"
"3034",37,"European","Divorced/Separated"
"3035",53,"European","Married/Partnered"
"3038",70,"European","Married/Partnered"
"3040",65,"European","Married/Partnered"
"3043",37,"European","Single"
"3046",53,"European","Married/Partnered"
"3047",79,"European","Widowed"
"3051",81,"European","Married/Partnered"
"3052",82,"European","Widowed"
"3058",71,"European","Married/Partnered"
"3062",43,"European","Divorced/Separated"
"3066",42,"European","Divorced/Separated"
"3072",69,"European","Married/Partnered"
"3073",76,"European","Married/Partnered"
"3074",58,"European","Married/Partnered"
"3078",68,"European","Divorced/Separated"
"3082",42,"European","Married/Partnered"
"3083",38,"European","Married/Partnered"
"3084",37,"European","Married/Partnered"
"3085",41,"European","Single"
"3088",61,"European","Divorced/Separated"
"3089",42,"European","Married/Partnered"
"3090",44,"European","Married/Partnered"
"3092",63,"European","Single"
"3093",65,"European","Married/Partnered"
"3094",60,"European","Married/Partnered"
"3096",63,"European","Married/Partnered"
"3097",81,"European","Widowed"
"3100",55,"European","Married/Partnered"
"3102",70,"European","Married/Partnered"
"3104",56,"European","Married/Partnered"
"3105",73,"European","Married/Partnered"
"3107",60,"European","Married/Partnered"
"3110",81,"European","Widowed"
"3111",66,"European","Married/Partnered"
"3112",54,"European","Married/Partnered"
"3113",69,"European","Married/Partnered"
"3116",40,"European","Single"
"3121",84,"European","Married/Partnered"
"3124",68,"European","Single"
"3128",70,"European","Married/Partnered"
"3131",49,"European","Married/Partnered"
"3132",52,"European","Married/Partnered"
"3133",74,"European","Married/Partnered"
"3135",40,"European","Single"
"3136",58,"European","Married/Partnered"
"3139",46,"European","Married/Partnered"
"3141",39,"European","Married/Partnered"
"3145",64,"European","Married/Partnered"
"3146",52,"European","Married/Partnered"
"3148",58,"European","Married/Partnered"
"3149",56,"European","Married/Partnered"
"3151",75,"European","Married/Partnered"
"3152",78,"European","Married/Partnered"
"3153",74,"European","Married/Partnered"
"3155",79,"European","Married/Partnered"
"3157",64,"European","Divorced/Separated"
"3160",45,"European","Married/Partnered"
"3161",51,"European","Married/Partnered"
"3162",40,"European","Married/Partnered"
"3170",53,"European","Married/Partnered"
"3172",40,"European","Single"
"3173",44,"European","Single"
"3174",58,"European","Married/Partnered"
"3175",78,"European","Married/Partnered"
"3176",41,"European","Married/Partnered"
"3177",42,"European","Married/Partnered"
"3180",63,"European","Married/Partnered"
"3183",79,"European","Widowed"
"3184",63,"European","Divorced/Separated"
"3185",40,"European","Married/Partnered"
"3186",46,"European","Married/Partnered"
"3188",54,"European","Married/Partnered"
"3190",39,"European","Married/Partnered"
"3198",60,"European","Married/Partnered"
"3204",78,"European","Divorced/Separated"
"3206",59,"European","Married/Partnered"
"3209",67,"European","Married/Partnered"
"3211",55,"European","Married/Partnered"
"3212",44,"European","Married/Partnered"
"3216",42,"European","Married/Partnered"
"3218",49,"European","Single"
"3219",39,"European","Married/Partnered"
"3228",56,"European","Married/Partnered"
"3230",74,"European","Married/Partnered"
"3232",41,"European","Married/Partnered"
"3234",74,"European","Married/Partnered"
"3235",67,"European","Married/Partnered"
"3236",52,"European","Married/Partnered"
"3237",59,"European","Married/Partnered"
"3239",58,"European","Married/Partnered"
"3240",76,"European","Married/Partnered"
"3244",66,"European","Married/Partnered"
"3245",82,"European","Married/Partnered"
"3246",59,"European","Married/Partnered"
"3247",58,"European","Married/Partnered"
"3249",44,"European","Married/Partnered"
"3251",50,"European","Married/Partnered"
"3254",77,"European","Single"
"3257",55,"European","Married/Partnered"
"3258",68,"European","Married/Partnered"
"3260",73,"European","Married/Partnered"
"3261",68,"European","Married/Partnered"
"3270",46,"European","Married/Partnered"
"3271",45,"European","Married/Partnered"
"3272",45,"European","Married/Partnered"
"3274",62,"European","Married/Partnered"
"3275",75,"European","Married/Partnered"
"3276",40,"European","Married/Partnered"
"3280",85,"European","Married/Partnered"
"3284",78,"European","Married/Partnered"
"3290",61,"European","Married/Partnered"
"3292",80,"European","Married/Partnered"
"3294",46,"European","Divorced/Separated"
"3295",65,"European","Single"
"3303",37,"European","Married/Partnered"
"3304",48,"European","Married/Partnered"
"3309",64,"European","Married/Partnered"
"3315",77,"European","Married/Partnered"
"3317",45,"European","Single"
"3318",68,"European","Married/Partnered"
"3319",58,"European","Married/Partnered"
"3322",61,"European","Married/Partnered"
"3325",42,"European","Married/Partnered"
"3326",58,"European","Married/Partnered"
"3327",75,"European","Widowed"
"3328",68,"European","Widowed"
"3329",77,"European","Married/Partnered"
"3331",60,"European","Married/Partnered"
"3332",62,"European","Married/Partnered"
"3335",52,"European","Single"
"3337",48,"European","Married/Partnered"
"3338",73,"European","Married/Partnered"
"3339",84,"European","Married/Partnered"
"3341",62,"European","Married/Partnered"
"3342",54,"European","Married/Partnered"
"3349",70,"European","Married/Partnered"
"3353",49,"European","Married/Partnered"
"3355",72,"European","Married/Partnered"
"3360",58,"European","Divorced/Separated"
"3364",65,"European","Married/Partnered"
"3365",83,"European","Married/Partnered"
"3366",44,"European","Married/Partnered"
"3367",57,"European","Married/Partnered"
"3369",48,"European","Married/Partnered"
"3370",64,"European","Widowed"
"3376",58,"European","Married/Partnered"
"3379",70,"European","Married/Partnered"
"3381",44,"European","Married/Partnered"
"3382",59,"European","Married/Partnered"
"3384",42,"European","Married/Partnered"
"3386",44,"European","Married/Partnered"
"3387",76,"European","Married/Partnered"
"3393",38,"European","Married/Partnered"
"3395",62,"European","Married/Partnered"
"3398",37,"European","Married/Partnered"
"3399",58,"European","Married/Partnered"
"3400",40,"European","Married/Partnered"
"3404",49,"European","Widowed"
"3408",54,"European","Married/Partnered"
"3410",38,"European","Married/Partnered"
"3411",85,"European","Married/Partnered"
"3413",62,"European","Married/Partnered"
"3414",81,"European","Married/Partnered"
"3417",56,"European","Divorced/Separated"
"3421",51,"European","Married/Partnered"
"3422",66,"European","Married/Partnered"
"3423",51,"European","Married/Partnered"
"3424",42,"European","Married/Partnered"
"3426",67,"European","Married/Partnered"
"3428",61,"European","Married/Partnered"
"3430",74,"European","Widowed"
"3433",65,"European","Married/Partnered"
"3435",46,"European","Married/Partnered"
"3437",71,"European","Married/Partnered"
"3439",52,"European","Married/Partnered"
"3443",69,"European","Married/Partnered"
"3444",71,"European","Married/Partnered"
"3446",69,"European","Married/Partnered"
"3447",42,"European","Married/Partnered"
"3448",43,"European","Married/Partnered"
"3449",59,"European","Widowed"
"3450",36,"European","Married/Partnered"
"3451",40,"European","Married/Partnered"
"3453",45,"European","Divorced/Separated"
"3454",52,"European","Married/Partnered"
"3458",69,"European","Married/Partnered"
"3460",57,"European","Divorced/Separated"
"3462",44,"European","Married/Partnered"
"3463",66,"European","Married/Partnered"
"3464",38,"European","Married/Partnered"
"3467",44,"European","Married/Partnered"
"3468",69,"European","Married/Partnered"
"3470",36,"European","Married/Partnered"
"3473",61,"European","Married/Partnered"
"3479",42,"European","Married/Partnered"
"3481",67,"European","Married/Partnered"
"3483",61,"European","Married/Partnered"
"3488",66,"European","Married/Partnered"
"3490",73,"European","Divorced/Separated"
"3491",83,"European","Married/Partnered"
"3492",85,"European","Married/Partnered"
"3493",67,"European","Widowed"
"3494",76,"European","Widowed"
"3498",52,"European","Married/Partnered"
"3499",67,"European","Married/Partnered"
"3501",69,"European","Married/Partnered"
"3504",78,"European","Married/Partnered"
"3505",77,"European","Married/Partnered"
"3506",81,"European","Married/Partnered"
"3508",69,"European","Married/Partnered"
"3510",43,"European","Divorced/Separated"
"3511",40,"European","Married/Partnered"
"3512",40,"European","Married/Partnered"
"3513",43,"European","Married/Partnered"
"3515",38,"European","Married/Partnered"
"3520",67,"European","Married/Partnered"
"3524",71,"European","Married/Partnered"
"3525",58,"European","Married/Partnered"
"3528",43,"European","Married/Partnered"
"3529",59,"European","Married/Partnered"
"3530",45,"European","Married/Partnered"
"3531",75,"European","Married/Partnered"
"3532",39,"European","Divorced/Separated"
"3533",80,"European","Married/Partnered"
"3536",72,"European","Married/Partnered"
"3543",50,"European","Married/Partnered"
"3544",83,"European","Married/Partnered"
"3545",40,"European","Married/Partnered"
"3546",67,"European","Married/Partnered"
"3548",46,"European","Married/Partnered"
"3549",78,"European","Single"
"3551",48,"European","Married/Partnered"
"3555",78,"European","Married/Partnered"
"3556",42,"European","Married/Partnered"
"3557",49,"European","Married/Partnered"
"3558",57,"European","Married/Partnered"
"3560",67,"European","Married/Partnered"
"3561",55,"European","Married/Partnered"
"3562",70,"European","Married/Partnered"
"3564",70,"European","Married/Partnered"
"3571",57,"European","Married/Partnered"
"3577",78,"European","Married/Partnered"
"3579",61,"European","Divorced/Separated"
"3582",53,"European","Married/Partnered"
"3584",60,"European","Married/Partnered"
"3585",48,"European","Married/Partnered"
"3586",37,"European","Married/Partnered"
"3587",70,"European","Married/Partnered"
"3588",42,"European","Married/Partnered"
"3589",70,"European","Married/Partnered"
"3590",38,"European","Married/Partnered"
"3591",71,"European","Married/Partnered"
"3592",47,"European","Married/Partnered"
"3593",73,"European","Married/Partnered"
"3595",83,"European","Widowed"
"3597",81,"European","Married/Partnered"
"3605",40,"European","Married/Partnered"
"3606",42,"European","Married/Partnered"
"3608",66,"European","Married/Partnered"
"3613",49,"European","Married/Partnered"
"3614",64,"European","Married/Partnered"
"3615",70,"European","Married/Partnered"
"3619",70,"European","Married/Partnered"
"3620",55,"European","Married/Partnered"
"3621",64,"European","Married/Partnered"
"3622",74,"European","Married/Partnered"
"3623",61,"European","Married/Partnered"
"3625",68,"European","Married/Partnered"
"3628",49,"European","Married/Partnered"
"3629",64,"European","Married/Partnered"
"3630",79,"European","Married/Partnered"
"3634",61,"European","Married/Partnered"
"3638",65,"European","Married/Partnered"
"3641",39,"European","Married/Partnered"
"3643",54,"European","Divorced/Separated"
"3644",66,"European","Married/Partnered"
"3645",60,"European","Married/Partnered"
"3646",67,"European","Married/Partnered"
"3647",53,"European","Married/Partnered"
"3649",61,"European","Married/Partnered"
"3650",47,"European","Married/Partnered"
"3651",80,"European","Married/Partnered"
"3654",43,"European","Married/Partnered"
"3656",60,"European","Divorced/Separated"
"3658",49,"European","Married/Partnered"
"3659",65,"European","Married/Partnered"
"3661",79,"European","Married/Partnered"
"3662",42,"European","Married/Partnered"
"3665",81,"European","Married/Partnered"
"3666",46,"European","Married/Partnered"
"3669",41,"European","Married/Partnered"
"3670",69,"European","Married/Partnered"
"3671",46,"European","Married/Partnered"
"3672",56,"European","Divorced/Separated"
"3673",58,"European","Single"
"3674",35,"European","Single"
"3677",42,"European","Married/Partnered"
"3678",41,"European","Married/Partnered"
"3680",68,"European","Married/Partnered"
"3681",44,"European","Married/Partnered"
"3687",50,"European","Married/Partnered"
"3689",36,"European","Married/Partnered"
"3692",61,"European","Married/Partnered"
"3695",62,"European","Married/Partnered"
"3696",51,"European","Married/Partnered"
"3697",83,"European","Married/Partnered"
"3700",43,"European","Married/Partnered"
"3702",75,"European","Married/Partnered"
"3706",49,"European","Married/Partnered"
"3712",81,"European","Married/Partnered"
"3713",44,"European","Married/Partnered"
"3716",62,"European","Married/Partnered"
"3718",45,"European","Married/Partnered"
"3720",75,"European","Married/Partnered"
"3722",78,"European","Married/Partnered"
"3723",68,"European","Married/Partnered"
"3724",78,"European","Married/Partnered"
"3727",62,"European","Married/Partnered"
"3728",60,"European","Married/Partnered"
"3729",58,"European","Married/Partnered"
"3731",75,"European","Married/Partnered"
"3732",37,"European","Married/Partnered"
"3733",44,"European","Married/Partnered"
"3736",51,"European","Married/Partnered"
"3737",71,"European","Married/Partnered"
"3738",58,"European","Married/Partnered"
"3739",48,"European","Married/Partnered"
"3741",66,"European","Married/Partnered"
"3742",48,"European","Married/Partnered"
"3744",63,"European","Married/Partnered"
"3745",63,"European","Married/Partnered"
"3747",46,"European","Married/Partnered"
"3749",56,"European","Married/Partnered"
"3752",63,"European","Married/Partnered"
"3753",83,"European","Widowed"
"3755",78,"European","Married/Partnered"
"3756",43,"European","Married/Partnered"
"3760",81,"European","Married/Partnered"
"3762",57,"European","Married/Partnered"
"3763",45,"European","Married/Partnered"
"3764",70,"European","Married/Partnered"
"3766",68,"European","Divorced/Separated"
"3767",65,"European","Married/Partnered"
"3768",43,"European","Divorced/Separated"
"3771",78,"European","Married/Partnered"
"3775",71,"European","Married/Partnered"
"3776",55,"European","Married/Partnered"
"3778",83,"European","Married/Partnered"
"3780",67,"European","Married/Partnered"
"3781",78,"European","Married/Partnered"
"3782",68,"European","Married/Partnered"
"3783",50,"European","Married/Partnered"
"3785",63,"European","Single"
"3788",85,"European","Widowed"
"3789",49,"European","Married/Partnered"
"3791",72,"European","Widowed"
"3792",82,"European","Widowed"
"3794",47,"European","Married/Partnered"
"3795",79,"European","Married/Partnered"
"3796",44,"European","Divorced/Separated"
"3797",51,"European","Married/Partnered"
"3800",84,"European","Married/Partnered"
"3801",70,"European","Married/Partnered"
"3806",77,"European","Widowed"
"3807",61,"European","Married/Partnered"
"3808",48,"European","Married/Partnered"
"3809",54,"European","Married/Partnered"
"3813",49,"European","Married/Partnered"
"3817",73,"European","Married/Partnered"
"3818",38,"European","Married/Partnered"
"3822",61,"European","Married/Partnered"
"3824",61,"European","Married/Partnered"
"3827",65,"European","Married/Partnered"
"3829",57,"European","Married/Partnered"
"3830",77,"European","Married/Partnered"
"3831",76,"European","Married/Partnered"
"3833",70,"European","Married/Partnered"
"3834",74,"European","Married/Partnered"
"3836",66,"European","Married/Partnered"
"3837",66,"European","Married/Partnered"
"3839",56,"European","Married/Partnered"
"3843",78,"European","Married/Partnered"
"3848",36,"European","Married/Partnered"
"3849",36,"European","Divorced/Separated"
"3854",49,"European","Divorced/Separated"
"3855",50,"European","Widowed"
"3857",62,"European","Married/Partnered"
"3862",80,"European","Married/Partnered"
"3864",85,"European","Widowed"
"3867",54,"European","Married/Partnered"
"3868",54,"European","Married/Partnered"
"3869",76,"European","Single"
"3872",51,"European","Divorced/Separated"
"3874",68,"European","Married/Partnered"
"3876",52,"European","Married/Partnered"
"3877",56,"European","Married/Partnered"
"3878",48,"European","Divorced/Separated"
"3879",78,"European","Married/Partnered"
"3880",80,"European","Married/Partnered"
"3883",64,"European","Married/Partnered"
"3884",75,"European","Married/Partnered"
"3885",43,"European","Married/Partnered"
"3888",69,"European","Married/Partnered"
"3892",61,"European","Married/Partnered"
"3893",81,"European","Married/Partnered"
"3895",42,"European","Married/Partnered"
"3898",72,"European","Married/Partnered"
"3901",79,"European","Widowed"
"3912",79,"European","Married/Partnered"
"3913",45,"European","Married/Partnered"
"3916",61,"European","Married/Partnered"
"3918",38,"European","Married/Partnered"
"3921",71,"European","Widowed"
"3922",49,"European","Married/Partnered"
"3924",45,"European","Married/Partnered"
"3925",65,"European","Married/Partnered"
"3930",80,"European","Married/Partnered"
"3931",41,"European","Married/Partnered"
"3936",44,"European","Divorced/Separated"
"3938",64,"European","Married/Partnered"
"3943",70,"European","Married/Partnered"
"3944",69,"European","Married/Partnered"
"3945",65,"European","Married/Partnered"
"3947",72,"European","Married/Partnered"
"3951",78,"European","Married/Partnered"
"3952",65,"European","Married/Partnered"
"3954",79,"European","Single"
"3959",35,"European","Married/Partnered"
"3965",78,"European","Married/Partnered"
"3966",63,"European","Married/Partnered"
"3968",58,"European","Married/Partnered"
"3971",48,"European","Married/Partnered"
"3974",85,"European","Married/Partnered"
"3977",36,"European","Married/Partnered"
"3980",55,"European","Married/Partnered"
"3982",53,"European","Married/Partnered"
"3983",67,"European","Single"
"3985",73,"European","Married/Partnered"
"3986",77,"European","Married/Partnered"
"3987",39,"European","Married/Partnered"
"3988",51,"European","Married/Partnered"
"3990",71,"European","Married/Partnered"
"3991",44,"European","Married/Partnered"
"3995",58,"European","Married/Partnered"
"3996",61,"European","Married/Partnered"
"3999",65,"European","Divorced/Separated"
"4000",65,"European","Married/Partnered"
"4003",66,"European","Married/Partnered"
"4006",36,"European","Single"
"4008",73,"European","Married/Partnered"
"4009",78,"European","Married/Partnered"
"4011",70,"European","Married/Partnered"
"4014",56,"European","Married/Partnered"
"4018",66,"European","Married/Partnered"
"4019",77,"European","Widowed"
"4021",76,"European","Married/Partnered"
"4022",80,"European","Married/Partnered"
"4023",44,"European","Married/Partnered"
"4024",36,"European","Single"
"4026",62,"European","Single"
"4027",61,"European","Married/Partnered"
"4028",46,"European","Married/Partnered"
"4029",60,"European","Married/Partnered"
"4030",54,"European","Married/Partnered"
"4033",55,"European","Married/Partnered"
"4034",61,"European","Married/Partnered"
"4035",53,"European","Married/Partnered"
"4042",66,"European","Married/Partnered"
"4044",68,"European","Married/Partnered"
"4049",67,"European","Married/Partnered"
"4050",74,"European","Married/Partnered"
"4055",64,"European","Married/Partnered"
"4057",72,"European","Married/Partnered"
"4058",57,"European","Married/Partnered"
"4059",75,"European","Married/Partnered"
"4066",74,"European","Married/Partnered"
"4069",79,"European","Married/Partnered"
"4074",61,"European","Divorced/Separated"
"4075",51,"European","Divorced/Separated"
"4076",60,"European","Married/Partnered"
"4077",66,"European","Divorced/Separated"
"4079",61,"European","Married/Partnered"
"4081",44,"European","Married/Partnered"
"4082",52,"European","Married/Partnered"
"4083",73,"European","Divorced/Separated"
"4088",60,"European","Married/Partnered"
"4091",36,"European","Married/Partnered"
"4093",70,"European","Married/Partnered"
"4094",49,"European","Married/Partnered"
"4096",78,"European","Married/Partnered"
"4098",61,"European","Married/Partnered"
"4099",64,"European","Married/Partnered"
"4100",74,"European","Married/Partnered"
"4102",41,"European","Married/Partnered"
"4104",62,"European","Married/Partnered"
"4105",70,"European","Widowed"
"4106",78,"European","Married/Partnered"
"4109",74,"European","Divorced/Separated"
"4114",59,"European","Married/Partnered"
"4120",80,"European","Married/Partnered"
"4122",81,"European","Married/Partnered"
"4123",42,"European","Married/Partnered"
"4125",74,"European","Married/Partnered"
"4131",53,"European","Married/Partnered"
"4132",62,"European","Married/Partnered"
"4137",51,"European","Married/Partnered"
"4141",62,"European","Married/Partnered"
"4145",78,"European","Married/Partnered"
