"","id","name","location","river","stationDescription","catchmentDescription","hydrometricArea","operator","haName","gridReference","stationType","catchmentArea","gdfStart","gdfEnd","farText","categories","altitude","sensitivity","lat","lon","Region","RecordedYears"
"190","21003","Tweed at Peebles","Peebles","Tweed","Velocity-area station. Natural section (~45m wide) with stable gravel bed. Cableway. Bypassing occurs on LHB at floods above about 2.8m. Ratings extrapolated above 2.3m. From 1939 to 1958 flows measured at Priorsford Bridge about 360m u/s; records correlated from 1950. Storage in Talla, Fruid, Baddinsgill and Watch Water Reservoirs - overall runoff is diminished; monthly naturalised flows available.","Upland catchment. Bedrock mostly impervious Palaeozoic and igneous formations with substantial superficial deposits in the valleys. Hill grazing predominates; some improved grassland to N; elsewhere some forest and arable.","21","Scottish Environment Protection Agency - South East","Tweed","NT258400","Velocity-area",694,1959,2014,NA,"FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",155,6.6,55.6478506272993,-3.1805758025517,"Scotland",55
"191","21005","Tweed at Lyne Ford","Lyne Ford","Tweed","Velocity-area station; about 20m wide natural section on straight gravel bedded reach. Cableway. Left bank overtopped during large floods (>2m). Slight seasonal weed growth effect on rating. Ratings extrapolated above 2.6m. Runoff diminished by abstractions from Fruid and Talla Reservoirs - compensation releases also influence flow regime. Monthly naturalised flows available.","Upland catchment. Bedrock mainly Silurian shale with alluvial gravel in valley bottoms. Land use principally hill grazing; some forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT205397","Velocity-area",373,1961,2014,NA,"FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_QMED,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",167,9,55.6443166324841,-3.26468191371062,"Scotland",53
"192","21006","Tweed at Boleside","Boleside","Tweed","Velocity-area station with cableway on straight section (~55m wide) with stable gravel bed. Current metering up to c1.1 Qmed (2.4m), above which extrapolated. Cableway 25m d/s. Calibration affected by seasonal weed growth. Reservoir storage modifies natural flow regime but overall impact is minor; monthly naturalised flows available.","Gauging site is central in Tweed basin and marks divide between hilly uplands and lowland areas. Bedrock mainly impervious Silurian formations with ~50% superficial deposit cover. Land use hill grazing with forestry and a little arable land.","21","Scottish Environment Protection Agency - South East","Tweed","NT498333","Velocity-area",1500,1961,2014,NA,"BENCHMARK,FEH_POOLING,FEH_QMED,FRIEND-EWA,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NHMP,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,TRENDS,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",94.5,6.7,55.5907320925927,-2.79805110853732,"Scotland",53
"193","21007","Ettrick Water at Lindean","Lindean","Ettrick Water","Velocity-area station; approx. 40m wide section. Natural section with cableway about 1km before confluence with Tweed. Low flow control by d/s gravel riffle that is slowly accreting. Bypassing on left bank occurs at levels above 2m (e.g. Oct 2002). Ratings extrapolated above 2.7m. St Mary's Loch and Megget Res. have a minor impact on the flow regime. Monthly naturalised flows available.","Relatively narrow impervious (mostly Silurian formations) catchment (50% overlain by superficial deposits). Land use is mostly hill grazing, with significant forested areas.","21","Scottish Environment Protection Agency - South East","Tweed","NT485315","Velocity-area",499,1961,2014,"S: Reservoir(s) in catchment affect runoff.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",99.1,11.5,55.5744242172556,-2.81833845646974,"Scotland",53
"194","21008","Teviot at Ormiston Mill","Ormiston Mill","Teviot","Velocity-area station; about 45m wide section. Natural channel control. Rock and gravel section at gauge with d/s gravel riffle giving low flow control. Rating subject to appreciable weed growth; extrapolated above 3.4m. Catchment contains two small storages but runoff is sensibly natural.","Mostly lowland catchment with upland headwaters. Mainly Silurian shale and ORS; 70% overlain by superficial deposits. Land use chiefly moorland and hill grazing with some arable farming towards the confluence with the Tweed; significant forested areas in the uplands.","21","Scottish Environment Protection Agency - South East","Tweed","NT702280","Velocity-area",1110,1960,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",43.2,8.4,55.544791490883,-2.4738201409827,"Scotland",54
"195","21009","Tweed at Norham","Norham","Tweed","Lowest station on R. Tweed. Velocity-area station at very wide natural section (~120m). Complex control. Moderate seasonal weed growth effects on rating. Cableway washed away in 10/2002 flood; new cableway can gauge up to 4.2m. Bypassing during extreme floods on RB >6m behind station hut. Reservoirs in headwaters have only a small impact on the flow regime - monthly naturalised flows available.","Catchment is ~ 30% lowland and ~70% upland. Bedrock mixed but principally impervious Palaeozoic formations; 60% overlain by superficial deposits. Moorland and hill pasture predominates; improved grasslands and arable farming below Melrose; some forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT898477","Velocity-area",4390,1962,2014,NA,"FEH_POOLING,FEH_QMED,FRIEND-EWA,FUTURE_FLOWS,GTN-R,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NHMP,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",4.3,3.9,55.7226074497889,-2.16394590219965,"Scotland",52
"196","21010","Tweed at Dryburgh","Dryburgh","Tweed","One of Capt. McClean's original stations. Natural section located at footbridge on wide meandering reach of river. Flow asymmetrical at gauge and shifting bed. Several reservoirs modify the natural regime but overall impact is limited - monthly naturalised flows available. Station closed at end of 1982; stage data only available from 1986.","Geology: mainly impervious (Silurian) formations with significant Drift cover. Hill grazing is the predominant land use - some forestry and a little arable farming also.","21","Scottish Environment Protection Agency - South East","Tweed","NT588320","Velocity-area",2080,1960,1980,NA,"HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",66.8,6,55.5798984196454,-2.65507085809993,"Scotland",20
"197","21011","Yarrow Water at Philiphaugh","Philiphaugh","Yarrow Water","Velocity-area station; about 25m wide natural coarse gravel bedded straight section. Control unstable. Sensibly natural regime before Megget Res. began impounding in 1982 (small overall impact on water balance), and flood peaks are also attenuated by St Mary's Loch; monthly naturalised flows available. To date all flows contained. Ratings extrapolated above 1.4m.","Upland catchment developed mainly on Silurian shale; approx, 50% superficial deposit cover. Hill grazing is the principal land use; some forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT439276","Velocity-area",231,1963,2014,"S: Reservoir(s) in catchment affect runoff.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",128,11.2,55.53887688737,-2.89049105007218,"Scotland",51
"198","21012","Teviot at Hawick","Hawick","Teviot","Velocity-area station; about 30m wide natural section. Low flow control by gravel shoal below gauge. Frequent re-rating required due to weed growth. Bypassing occurs on LHB at levels above about 2m. Ratings extrapolated above 2.3m.","Natural upland catchment. Bedrock mostly Silurian shale; 70% overlain by superficial deposits. Hill grazing is the dominant land use but forestry is important in the headwaters. Hawick is the only significant settlement.","21","Scottish Environment Protection Agency - South East","Tweed","NT522158","Velocity-area",323,1963,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_QMED,FRIEND-EWA,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_QMED,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",90.1,11.1,55.4337434471406,-2.75695120016035,"Scotland",51
"199","21013","Gala Water at Galashiels","Galashiels","Gala Water","Velocity-area station; about 15m wide section. Concrete-lined reach in industrial part of Galashiels. Gravel bed with control formed by concrete haunching over sewage pipe. All flows contained to date. Rating extrapolated above 1.4m.","Natural upland catchment draining from the Moorfoot Hills. Bedrock mainly impervious (Silurian); approx. 40% overlain by superficial deposits. Land use hill grazing with some forest and arable areas.","21","Scottish Environment Protection Agency - South East","Tweed","NT479373","Velocity-area",207,1964,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",120,19,55.6264693980935,-2.82895163180521,"Scotland",50
"200","21014","Tweed at Kingledores","Kingledores","Tweed","Natural section on upper Tweed. Coarse gravel bed. Variable backwater effects from Kingledores Burn 10m below station. Exports from Fruid and Talla Reservoirs cause a significant reduction in runoff - monthly naturalised flows available.","Impervious (mostly Silurian formations) upland catchment given over mainly to hill grazing and forestry.","21","Scottish Environment Protection Agency - South East","Tweed","NT108285","Velocity-area",139,1961,2014,NA,"HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",214,8.3,55.5420272528147,-3.4151221237336,"Scotland",53
"201","21015","Leader Water at Earlston","Earlston","Leader Water","Velocity-area section; about 30m wide section; cableway. Gravel bed with bar giving low flow control. Insensitive at low flows. Flows below 0.5 cumecs should be treated with caution. Ratings extrapolated above 1.8m. Natural flow regime.","Upland catchment draining from the Lammermuir Hills. Bedrock Silurian shale and ORS; 45% superficial deposit cover. Land use hill grazing with arable farming at lower levels; some forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT564388","Velocity-area",239,1966,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_QMED,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",103,27.5,55.6407842691024,-2.69421527553574,"Scotland",48
"202","21016","Eye Water at Eyemouth Mill","Eyemouth Mill","Eye Water","Velocity-area station; about 22m wide section. Former mill weir converted to serve as informal control. Steep high banks on both sides. 600m u/s from Eyemouth harbour; high spring tides can reach site.","Lowland catchment. Bedrock Silurian shale and ORS with 70% superficial deposit cover. Agriculture is the primary land use; hill grazing in the headwaters, arable below; some forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT941635","Velocity-area",119,1967,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",2.9,23.8,55.8646423654952,-2.09584065049033,"Scotland",47
"203","21017","Ettrick Water at Brockhoperig","Brockhoperig","Ettrick Water","Velocity-area station (~12m wide river section) on straight reach with rocky bed. Control by series of rocky bars and falls. Turbulent flow at higher stages. Heavy gravel load in floods. All flows contained to date. Ratings extrapolated above 1.8m. Icing in winter.","Natural steep upland catchment containing moorland and significant forestry. Very responsive, bedrock principally impervious Silurian formations.","21","Scottish Environment Protection Agency - South East","Tweed","NT234131","Velocity-area",37.5,1965,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",259,18.1,55.4058256591097,-3.21125147289871,"Scotland",49
"204","21018","Lyne Water at Lyne Station","Lyne Station","Lyne Water","Velocity-area station. Flow fully concentrated by arches of bridge below station. Storage in - and abstraction from - Baddingsgill and Watch Water Reservoirs influence the flow regime; overall impact on annual runoff is limited - monthly naturalised flows available.","Upland catchment. Mainly Silurian shale with Old Red Sandstone and considerable superficial deposits of sand and gravel in centre of catchment. Mostly hill grazing and grassland; forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT209400","Velocity-area",175,1968,2014,NA,"FRIEND-EWA,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",168,7.7,55.647076877082,-3.25841475462523,"Scotland",46
"205","21019","Manor Water at Cademuir","Cademuir","Manor Water","Velocity-area station (section about 10m wide) with artificial control - flat concrete bar with stone pitched banks. Site situated at end of straight reach with bend just below bar. Water surface can freeze in winter necessitating ice corrections. Bypassing occurs at flows above 1.8m on the LHB. Ratings extrapolated above 1.1m. Runoff is slightly diminished by an u/s abstraction (Langhaugh Intake); monthly naturalised flows available.","Steep upland catchment developed on Silurian shale. approx. 40% of which is overlain by superficial deposits. Land use mostly hill grazing; some forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT217368","Velocity-area",61.6,1968,2014,"P: Runoff reduced by public water supply abstraction.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",197,14.5,55.6184606782633,-3.24479468357933,"Scotland",46
"206","21020","Yarrow Water at Gordon Arms","Gordon Arms","Yarrow Water","Velocity-area station d/s of road bridge on approx. 20m wide section with rough gravel bed. All flows contained to date. Ratings extrapolated above 1.5m. Freezing of water surface in winter necessitates ice correction. Sensibly natural runoff until impounding for Megget Res. began in 1982 but St Mary's Loch (few km u/s) attenuates floods significantly. Especially low flow in 08/1976 due to damming of gravel bar prior to gravel extraction. Monthly naturalised flows available.","Upland catchment. Impervious bedrock (Silurian formations) with 50% superficial deposits. Land use hill grazing with some forestry.","21","Scottish Environment Protection Agency - South East","Tweed","NT309247","Velocity-area",155,1967,2014,NA,"FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",226,9,55.5111537677755,-3.09571997006888,"Scotland",47
"207","21021","Tweed at Sprouston","Sprouston","Tweed","Velocity-area station. Wide section (about 100m) on gentle bend in river. Natural channel controls. Cableway. Significant seasonal weed growth effects on rating. Ratings extrapolated above 2.8m; seasonal ratings used for low flows. Reservoirs in the headwaters have a very minor impact on the flow regime; monthly naturalised flows available.","The bedrock geology is dominated by impervious Silurian formations (with some deposits). Hill grazing predominates with improved grassland and arable farming in the lower catchment; some forest in headwaters.","21","Scottish Environment Protection Agency - South East","Tweed","NT752354","Velocity-area",3330,1969,2014,NA,"FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",24.5,6.6,55.6115620146345,-2.39525157404625,"Scotland",45
"208","21022","Whiteadder Water at Hutton Castle","Hutton Castle","Whiteadder Water","Compound Crump profile weir with theoretical rating. Catchment contains Whiteadder and Watchwater Reservoirs which can have substantial effects - particularly during low flows. Overtopping of wing walls and bypassing of station has occurred during floods above 2.3m. Extremely low winter flows in 1973 (e.g. 26/11) due to river icing over during freezing conditions. Monthly naturalised flows available.","Mostly low-lying catchment. Mixed permeability bedrock geology with 50% superficial deposits. Hill grazing at high levels with arable farming below about 150m; forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT880550","Compound Crump weir",503,1969,2014,NA,"FEH_QMED,FRIEND-EWA,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_QMED,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NHMP,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",29,7.2,55.7881562022765,-2.19292493335988,"Scotland",45
"209","21023","Leet Water at Coldstream","Coldstream","Leet Water","Velocity-area station with artificial control containing trapezoidal flume for low flow measurement. Backwater effects from bridge below station and R. Tweed. Natural flow regime.","A relatively flat (for this region) lowland catchment developed on Boulder Clay overlying calciferous s'st. Mainly arable farming.","21","Scottish Environment Protection Agency - South East","Tweed","NT839396","Velocity-area",113,1970,2014,"N: Natural to within 10% at the 95 percentile flow.","BENCHMARK,FUTURE_FLOWS,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2011,WEB_SUMMARY_2003",12.1,11.9,55.6496671170935,-2.25739175795571,"Scotland",44
"210","21024","Jed Water at Jedburgh","Jedburgh","Jed Water","Velocity-area station on straight reach, about 16m wide. A rock ledge is the control for very low flows; under higher flow conditions control passes to d/s channel bar. Ratings extrapolated above 2.6m. Flows are largely natural and uncontrolled.","An upland, mainly Old Red Sandstone catchment (approx. 2/3 overlain by superficial deposits). Land use mainly hill grazing with approx. 1/3 forestry.","21","Scottish Environment Protection Agency - South East","Tweed","NT655213","Velocity-area",139,1971,2014,"N: Natural to within 10% at the 95 percentile flow.","BENCHMARK,FEH_POOLING,FEH_QMED,FRIEND-EWA,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",65.6,10.2,55.4842813621927,-2.54746428501777,"Scotland",43
"211","21025","Ale Water at Ancrum","Ancrum","Ale Water","Velocity-area station at natural river section, approx. 15m wide. Low flow control by solid rock bar very close to gauge. Ratings gauged up to 2.4m. Runoff is marginally diminished by a small reservoir in the headwaters; monthly naturalised flows available.","An upland catchment - mostly Silurian shale; mix of high (approx. 20%) and low (approx. 80%) permeability with > 85% of catchment covered by superficial deposits. Hill pasture predominates; significant forest cover.","21","Scottish Environment Protection Agency - South East","Tweed","NT634244","Velocity-area",174,1972,2014,NA,"FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",61.2,16.6,55.5119815813572,-2.58110186042614,"Scotland",42
"212","21026","Tima Water at Deephope","Deephope","Tima Water","Velocity-area station at natural river section. Control is gravel bed; unstable - sensitive to rearrangement of bed material (even in modest flows). Frequent low flow gaugings are necessary to define rating and low flows should be treated with caution as a result. Natural flow regime.","High rainfall, steep, upland catchment developed on Silurian shale; approx. 2/3s overlain by superficial deposits. One of the most forested UK catchments (>80%).","21","Scottish Environment Protection Agency - South East","Tweed","NT278137","Velocity-area",31,1973,2014,"N: Natural to within 10% at the 95 percentile flow.","BENCHMARK,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2011,WEB_SUMMARY_2003",232.2,29.5,55.4118843244566,-3.14193618549425,"Scotland",41
"213","21027","Blackadder Water at Mouth Bridge","Mouth Bridge","Blackadder Water","Velocity-area station. Natural river section, about 13m wide, with rock control. Ratings extrapolated above 2.4m. Moderate seasonal weed growth effects rating. Natural flow regime.","Natural catchment. Mostly Old Red S'st and calciferous s'st overlain by Boulder Clay. Grazing on hills, arable on lower land; some forest.","21","Scottish Environment Protection Agency - South East","Tweed","NT825530","Velocity-area",159,1973,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",56.6,15.5,55.7700173471834,-2.28049952020841,"Scotland",41
"214","21028","Menzion Burn at Menzion Farm","Menzion Farm","Menzion Burn","Thin-plate weir. Natural record encompassing very under-represented period (1948-1952).","Upland catchment with impermeable bedrock. One of the UK most forested catchment (~75%).","21","Lothian Regional Council (Department of Water and Drainage)","Tweed","NT092234","Rectangular thin-plate weir",5.7,1948,1952,"N: Natural to within 10% at the 95 percentile flow.","HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",267,NA,55.4959208443725,-3.43879561308341,"Scotland",4
"215","21029","Tweed at Glenbreck","Glenbreck","Tweed","","","21","Lothian Regional Council (Department of Water and Drainage)","Tweed","NT063215","Velocity-area",34,NA,NA,"N: Natural to within 10% at the 95 percentile flow.","FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_QMED,MEAN_FLOW,NRFA,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW",290,NA,55.4783063783524,-3.48403978535164,"Scotland",NA
"216","21030","Megget Water at Henderland","Henderland","Megget Water","Velocity-area station, about 23m wide, with rock and gravel bar acting as control. D/s of Megget Reservoir; station was installed to provide data for reservoir design - flows are highly artificial since impoundment began in 1982; monthly naturalised flows available. Ratings gauged up to 1.9m before 1991, then 0.8m.","A steep upland catchment developed on impervious Silurian formations approx. 3/4 overlain by superficial deposits. Land use mostly hill grazing.","21","Scottish Environment Protection Agency - South East","Tweed","NT231231","Velocity-area",56.2,1968,2010,"S: Reservoir(s) in catchment affect runoff.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",254,14.3,55.4956132059445,-3.21875512492429,"Scotland",42
"217","21031","Till at Etal","Etal","Till","Velocity-area station. Discontinued 1980.","","21","Environment Agency - Northumberland Durham and Tees","Tweed","NT925395","Velocity-area",648,1956,1980,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",25.3,11.4,55.6489794062056,-2.12073539849464,"North East (England)",24
"218","21032","Glen at Kirknewton","Kirknewton","Glen","Velocity-area station with informal Flat V profile control (about 1:100 cross-slope, insensitive) rated by current meter gauging up to bank full. Logger installed in 1991 (very limited data 1983-90 but charts available) A flood bank on the right bank protects the floodplain, but at high flows there is significant bypassing of the cableway (starting at 1.6m). Flows from 1989 reprocessed in 2002: low flows increased, some peak flows decreased. Sept 2008 flood caused breach in flood banks, resulting in missing flows until late Oct. Caution needed in interpreting suspect 1994 minima. Natural flow regime, no abstractions.","Upland catchment, draining from The Cheviot, developed mostly on impermeable igneous formations with 35% superficial deposits. Catchment is 55% grassland with mountain/heath in upper reaches and arable in lower lying areas.","21","Environment Agency - Northumberland Durham and Tees","Tweed","NT918310","Flat V/Velocity-area",198.9,1966,2010,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",54.3,32,55.5725935166168,-2.13160166239786,"North East (England)",44
"219","21034","Yarrow Water at Craig Douglas","Craig Douglas","Yarrow Water","Large trapezoidal flume. All flows contained. Rating gauged at low flows (0.5m). Sensibly natural runoff until impounding for Megget Res. began in 1982. St Mary's Loch 2km u/s attenuates floods significantly. Monthly naturalised flows available.","Silurian formations give impervious catchment supporting hill grazing and some forestry. Over half covered with superficial deposits.","21","Scottish Environment Protection Agency - South East","Tweed","NT289244","Flume",116,1968,2014,"S: Reservoir(s) in catchment affect runoff.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",239,NA,55.5081712620148,-3.12730514767015,"Scotland",46
"220","21806","Till at Heaton Mill","Heaton Mill","Till","","","21","Environment Agency - Northumberland Durham and Tees","Tweed","NT900424","Ultrasonic",655.7,NA,NA,NA,"FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,NRFA,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW",NA,NA,55.6749907163204,-2.16056635006599,"North East (England)",NA
