"","EXP","FDHO","FDAW","SHEL","TELE","CLOT","HEAL","ENT"
"580",36217,6725,2170,7057,657,1963,150,3417
"581",42766,3664,772,7048,1053,1135,433,2031
"582",11239,1573,51,1871,333,158,1389,320
"583",59532,5439,1035,19056,1447,1277,2633,4165
"584",31806,3490,1440,4939,720,1620,2250,1112
"585",52218,5477,1629,2820,669,1371,1956,2604
"586",73118,5960,3782,11024,822,4340,2122,1895
"587",31701,3515,1955,8446,925,1187,1253,2711
"588",32761,1856,1129,2593,562,1805,1300,1644
"589",18745,2878,1370,3032,274,698,2749,1530
"590",17949,2737,319,1198,460,213,3421,840
"591",8017,4316,0,370,234,69,0,0
"592",12833,3172,105,1784,474,369,1900,57
"593",25583,2509,180,2835,651,270,618,920
"594",36468,2961,823,4852,386,1444,735,1089
"595",8706,2860,41,1030,4,8,992,63
"596",94587,8588,1880,16229,1020,3123,1645,4180
"597",42900,2804,1520,5545,451,1247,148,5502
"598",74298,7410,2540,7447,2132,1780,1274,3902
"599",17201,3965,1080,5700,480,1777,730,691
"600",25618,3499,1500,12000,1620,930,179,1050
"601",14888,2925,0,470,0,690,405,43
"602",16308,4082,300,4341,499,1086,2448,653
"603",75043,15053,9154,10298,1309,1815,3585,7186
"604",68056,2854,9564,13467,1620,3223,1500,3320
"605",50797,7510,1693,12970,996,1927,4140,3623
"606",15956,4562,165,3994,238,215,1745,133
"607",13820,2808,324,994,1103,750,2941,5
"608",13985,2682,191,1110,418,282,1966,938
"609",22742,4100,358,1729,307,90,1860,632
"610",17692,3732,330,4398,1486,112,924,506
"611",30214,1582,745,5021,511,275,309,1618
"612",57582,6675,2865,15110,949,3048,1068,4969
"613",17273,1521,323,642,287,310,3990,560
"614",31885,5496,2855,9544,477,813,1991,1826
"615",14307,2340,600,1553,328,182,319,360
"616",22597,2365,1315,4309,960,1942,952,697
"617",46389,3628,3558,13171,1135,1712,2180,2599
"618",23366,1846,1285,3579,560,1203,522,1006
"619",35128,3094,1067,4000,1354,287,3530,813
"620",51769,5903,1350,3337,433,1324,4471,1004
"621",9251,1594,113,1720,545,54,2972,305
"622",35663,5509,1279,7859,979,812,504,1653
"623",34474,2353,795,9208,609,847,917,2294
"624",18748,2157,490,2938,232,795,1839,2966
"625",60091,1664,1313,7425,2458,4975,30,1927
"626",31137,1898,1009,7864,582,1790,3425,1667
"627",14366,3640,190,432,425,290,2748,1301
"628",25347,4511,480,2069,489,1044,7430,1434
"629",32175,3650,1624,3071,1129,2256,4830,2052
"630",16065,1222,593,2502,284,335,8,1484
"631",16672,2171,1460,2096,286,994,0,225
"632",45192,5621,1290,5259,1117,4376,1185,3672
"633",42039,3940,4951,3857,485,1435,2928,6577
"634",19665,2805,2269,7131,735,282,1576,116
"635",24933,4368,1275,6545,479,1184,585,1015
"636",29570,4308,804,9994,1025,637,275,2165
"637",23400,5304,503,4800,267,293,218,361
"638",13517,1261,498,5041,431,290,755,493
"639",23993,2600,1068,370,1049,1581,2422,799
"640",18140,1248,170,2880,555,486,250,1588
"641",9545,1430,570,1289,201,448,589,315
"642",16042,1742,711,4140,1330,242,167,1466
"643",24425,4745,1190,1358,1354,1772,2434,634
"644",28400,2231,2288,3140,178,1123,5346,1339
"645",25035,4290,999,1566,886,811,305,873
"646",28316,2217,600,9775,75,668,2087,4166
"647",19001,6435,45,6215,853,1102,0,220
"648",27203,946,8057,4119,567,1929,134,2795
"649",8016,1027,471,4574,206,416,119,194
"650",15199,1900,513,4896,522,613,494,332
"651",14069,1365,615,5795,331,499,321,98
"652",12037,1690,256,3960,275,0,1053,0
"653",30455,3185,2010,10716,660,3470,810,1377
"654",13877,2093,536,1693,376,470,1257,121
"655",10696,3380,675,770,317,122,587,0
"656",11010,4628,60,2965,174,68,0,691
"657",41384,5850,225,9620,822,2971,6250,659
"658",37241,5888,1730,8972,464,744,266,191
"659",38328,4288,1055,12063,626,703,1921,1494
"660",54434,2585,3553,7243,1378,585,2329,509
"661",27174,1518,352,356,217,1560,1904,342
"662",14015,1417,42,3015,218,74,4255,337
"663",27354,2847,439,9990,259,1399,552,2229
"664",12944,2046,850,1890,429,999,602,565
"665",19718,4940,450,5635,1291,1587,228,318
"666",21558,3690,342,2382,376,480,2503,413
"667",22239,2730,1796,3430,385,472,594,799
"668",31076,4134,612,2641,2551,760,1460,575
"669",32940,2585,712,7236,1314,539,284,142
"670",17810,3033,518,1418,322,432,5792,633
"671",13462,1658,361,4370,327,344,60,1537
"672",16122,3660,363,6462,623,651,258,157
"673",20417,1951,1672,1902,504,529,370,1282
"674",36205,5967,1020,11181,306,688,1785,578
"675",9871,1281,660,3300,754,197,90,527
"676",11892,2119,330,2764,178,211,51,162
"677",50737,3438,677,5697,1049,1389,8237,223
"678",32511,3029,1515,10051,294,1265,4150,573
"679",29767,2145,1342,7375,408,190,626,1247
"680",17032,3943,850,258,432,317,2461,331
"681",40276,4011,1197,10177,678,631,843,2361
"682",24005,2816,595,13060,715,172,1972,285
"683",33884,4160,570,7800,570,871,3338,1968
"684",16278,4095,120,6735,177,291,0,303
"685",11326,2236,0,1230,451,0,0,319
"686",7187,1683,390,925,276,5,1162,57
"687",50434,8178,3645,9716,961,764,4177,2549
"688",70436,6209,1176,15671,482,1373,2772,5631
"689",38353,2127,1640,3722,455,707,59,1646
"690",27723,4545,2975,5000,421,1271,2526,832
"691",32811,4550,2747,3940,1329,1764,3034,1174
"692",14833,3224,789,3675,336,974,1740,556
"693",28465,5330,427,3180,1232,1653,1423,865
"694",83158,4709,3899,13132,1176,3397,110,3175
"695",18866,2771,2585,3674,1249,1318,844,1079
"696",21823,2535,266,7128,495,460,3009,295
"697",39125,7085,4200,12000,1484,1044,1655,805
"698",45372,4599,1374,12079,1291,1268,1475,3429
"699",33933,5265,1842,6600,980,1049,1275,448
"700",29469,1326,1670,6390,1430,1744,1947,1486
"701",79147,9523,4127,21507,804,731,5763,1786
"702",24190,3649,385,3736,1866,956,147,210
"703",37007,1772,7800,3964,655,1406,2740,2470
"704",4259,1066,36,1221,300,0,402,0
"705",41346,3045,3974,6075,1712,3405,1245,1877
"706",25087,6695,285,6250,325,1141,1460,2047
"707",27216,2275,680,9146,536,443,2879,1270
"708",32780,3755,1282,7716,642,997,1706,2823
"709",21190,3406,405,6630,761,2069,1101,74
"710",29067,3150,2110,2264,673,1131,2533,309
"711",11316,3510,0,1837,574,1139,861,13
"712",36103,5648,937,6527,723,2791,3225,1989
"713",15389,3071,240,5078,254,793,31,276
"714",27257,910,400,8454,138,1584,532,556
"715",26051,3484,573,935,1125,911,0,573
"716",22853,2847,1953,4498,532,478,1956,656
"717",10551,2015,0,6000,390,226,265,0
"718",6661,1495,570,1290,539,414,548,0
"719",15878,3380,370,1537,303,199,890,10
"720",17131,6240,495,2763,241,904,301,222
"721",18220,2017,949,4230,939,1128,881,1103
"722",12045,2340,0,1352,830,810,2976,252
"723",10573,2288,0,867,270,70,2760,371
"724",34645,4066,1552,6099,1150,1811,3099,1960
"725",19517,2809,486,3273,405,641,2324,394
"726",13933,5105,36,250,1216,760,376,75
"727",14452,3289,648,4830,537,487,1160,544
"728",33694,3302,975,5674,798,1512,3730,1089
"729",35605,1989,997,747,360,1618,2092,519
"730",48376,3858,2167,6155,426,987,2778,3940
"731",19567,3055,1095,3890,254,402,5629,306
"732",35762,4680,2109,7119,560,1370,3516,3387
"733",12931,5744,60,1707,0,0,380,660
"734",6286,1482,0,4090,256,0,0,0
"735",25321,5376,1930,3663,377,409,2128,2279
"736",22167,2730,870,5100,510,2404,1796,885
"737",24243,5109,480,4424,1030,861,200,2028
"738",19433,6240,180,8850,847,442,0,99
"739",26852,3380,795,4212,480,2306,3961,1098
"740",25802,3809,709,3900,443,1360,0,1058
"741",26647,5460,1710,390,1589,1094,2691,300
"742",26423,3355,755,922,493,4827,952,1977
"743",11537,2932,469,2165,441,1567,15,777
"744",16011,2223,348,6755,173,103,1477,20
"745",56547,7545,1484,8495,1136,2161,900,987
"746",22690,4510,1144,3431,525,402,3996,522
"747",20391,2427,1029,5122,485,1182,943,247
"748",10487,2432,165,4200,98,248,538,111
"749",16994,1794,345,5063,305,235,3362,877
"750",25690,4355,570,900,548,599,1044,872
"751",19260,3367,569,2570,435,838,3499,691
"752",57525,5709,2289,3762,600,1662,2340,4575
"753",17802,2127,1252,1715,812,422,1817,926
"754",28135,3185,995,2236,1123,898,1349,1476
"755",14365,2795,495,3600,233,1623,12,1439
"756",21640,2589,1530,6151,441,1543,1543,931
"757",20817,3892,375,7591,808,389,430,799
"758",55771,2362,5246,11688,630,2694,3443,7004
"759",31693,3115,920,9050,890,1491,1382,3317
"760",31859,3215,1066,3594,383,1776,1760,585
"761",27496,3581,545,4696,443,420,5074,1323
"762",39715,2455,1130,1850,256,1194,428,1353
"763",22775,3328,810,1860,465,376,5241,896
"764",27933,5770,917,6599,541,2527,1587,1996
"765",58875,3770,7257,5935,739,3164,3058,10478
"766",39133,6850,2188,2601,292,2946,520,2284
"767",7604,3237,0,200,680,0,867,0
"768",29409,2509,1315,2452,630,993,4628,1191
"769",29296,4686,280,8316,893,3049,2352,1070
"770",44377,5377,2456,2322,1203,2210,624,1656
"771",33107,1405,2940,8462,1063,887,2556,327
"772",21235,3874,540,7869,1431,2999,50,149
"773",59129,2954,1389,9367,679,1188,157,2961
"774",33427,2340,2220,4526,334,4225,0,4093
"775",10164,2886,75,4440,496,461,0,93
"776",14595,3757,900,7005,530,61,0,37
"777",4744,962,0,1600,396,0,548,0
"778",49674,4859,4899,4947,760,3533,891,2123
"779",27827,4166,1885,1398,380,2545,944,888
"780",48830,3874,1306,13476,2356,2138,2258,2899
"781",36196,3497,4391,4626,1161,1905,6698,880
"782",24979,3442,818,2642,220,1228,2647,5
"783",47800,4810,750,8412,447,582,460,644
"784",108752,5058,11890,16941,1678,3037,1424,10241
"785",52300,3075,1966,8935,1162,1893,2821,2148
"786",38343,3835,820,8115,1029,2583,3209,1227
"787",19381,4663,45,2341,584,1587,1156,1687
"788",35881,3991,1497,10224,1021,1428,3971,963
"789",43688,6123,645,4926,809,1306,2003,857
"790",32938,3250,315,1945,875,182,5052,939
"791",13341,4251,60,3801,1199,1121,123,163
"792",29297,5530,4166,4050,745,1547,2814,1848
"793",38603,5074,1674,3797,415,2198,3070,4599
"794",30202,2625,3550,4250,600,2488,4106,1976
"795",14797,4095,1470,2200,341,280,1084,290
"796",38529,2951,862,11291,1285,1437,2155,973
"797",29055,5245,1969,6003,550,1550,2094,2996
"798",61303,3445,5500,12170,792,5978,1513,4877
"799",27109,2730,334,1910,755,2090,5287,2420
"800",53496,7800,1334,7487,498,1169,2738,2510
"801",16665,2171,1381,5400,759,517,297,834
"802",65132,6501,3554,5537,1014,5394,341,5111
"803",23903,2173,605,3175,458,1050,643,560
"804",36096,5175,2258,2302,499,1726,2801,3021
"805",21247,2439,340,1835,585,323,4889,1701
"806",42292,3352,1016,13064,381,1318,1104,1243
"807",11176,1312,145,2400,720,994,0,1038
"808",7542,1651,270,1495,178,252,982,0
"809",15210,0,2670,667,343,103,1775,2087
"810",5289,1352,18,742,8,270,467,336
"811",58444,5624,3397,14979,1895,3105,1165,3262
"812",33295,2970,1026,6850,487,2562,1057,1887
"813",30456,2665,768,5204,790,816,2305,680
"814",60595,6472,2411,11523,1551,3027,3542,3060
"815",59624,5915,735,5196,1146,2988,118,4510
"816",19642,5046,800,1420,1345,2028,1694,763
"817",13317,2051,230,4440,144,276,1175,1255
"818",9262,1963,45,3448,255,0,554,513
"819",17611,1937,114,3360,780,114,10,248
"820",35079,4613,1985,4424,363,1972,1634,2795
"821",45469,3050,1245,2179,2287,2398,4267,1657
"822",59510,8855,3727,11605,890,1912,2515,2700
"823",26852,4559,1680,6972,847,1590,2737,1915
"824",51484,2249,641,745,454,178,2540,288
"825",20195,2769,1400,1538,426,882,149,1430
"826",27751,5536,619,5286,435,1466,2570,1592
"827",33555,1109,3445,9954,1904,302,362,783
"828",27692,3900,1560,1644,353,699,343,1033
"829",70407,3980,1852,16564,2191,805,7195,3058
"830",18102,1716,663,1427,435,1136,6861,761
"831",130773,4002,4836,47578,804,870,742,4202
"832",16637,1875,320,4953,614,1544,45,877
"833",60463,7072,3581,13234,3512,2642,3150,4390
"834",11653,739,1448,2761,484,528,1386,0
"835",19275,1820,360,2909,1183,435,1022,1266
"836",47114,5043,2428,7900,691,3712,3250,2071
"837",6117,2213,0,996,566,563,603,225
"838",29645,1861,1545,7827,784,2166,312,984
"839",57846,5200,994,11559,370,437,2242,1685
"840",51033,4041,1690,14370,647,1680,1851,3225
"841",11790,1379,574,1281,20,236,2418,340
"842",24970,3185,930,971,186,672,1898,894
"843",32391,3471,387,1850,662,1325,12564,0
"844",19278,2737,355,3476,408,1416,767,82
"845",27778,4355,1162,4273,1628,1462,928,725
"846",19596,2899,219,2685,583,142,1731,953
"847",17761,2379,270,9676,491,402,0,514
"848",56884,5685,2738,15105,1302,3020,3874,5297
"849",66230,8775,832,23645,610,1862,4703,1066
"850",40617,4539,5140,11705,341,237,480,1761
"851",80495,5519,3507,7987,564,2734,2734,3045
"852",27704,1883,874,4641,1164,983,0,1845
"853",22815,6225,0,2041,258,25,3730,324
"854",23390,1642,1390,6069,557,842,91,932
"855",18092,3180,268,1126,499,221,2255,234
"856",13037,1675,230,2173,712,182,1539,831
"857",27954,3321,1665,7458,798,399,1075,2688
"858",6979,3315,60,1176,642,694,0,0
"859",6942,1872,347,2977,293,407,638,101
"860",46155,3835,1638,7380,1115,1823,1550,904
"861",34240,2266,1126,7460,790,2513,747,1339
"862",24484,2665,1398,3823,494,552,747,1490
"863",22375,3250,1647,2529,1130,1081,600,1189
"864",45916,4414,3736,7306,1488,2407,3127,4900
"865",32788,4940,780,5600,2610,335,9117,1315
"866",28017,5079,931,7272,821,1378,1587,714
"867",31922,5811,1020,5189,609,1712,1524,3398
"868",25357,4594,1747,2555,689,1714,1002,2021
"869",7314,2108,420,1269,520,782,277,0
