"","id","enter","exit","event","birthdate","sex","parish","ses","immigrant"
"11516",457,50,50.303,0,1844.528,"male","3","lower","yes"
"11518",458,50,58.639,0,1836.192,"male","3","lower","yes"
"11528",459,50,52.131,0,1842.7,"female","3","lower","yes"
"11555",460,50,63.321,0,1831.51,"female","3","lower","yes"
"11571",461,50,51.77,0,1841.038,"male","3","lower","yes"
"11573",462,50,58.034,0,1834.773,"female","3","lower","yes"
"11583",463,50,52.044,0,1836.764,"male","3","upper","yes"
"11588",464,50,50.034,0,1838.773,"female","3","lower","yes"
"11609",465,50,53.062,0,1823.718,"female","3","lower","yes"
"11613",466,50,51.094,0,1842.713,"male","3","upper","yes"
"11617",467,50,51.083,0,1837.725,"male","3","lower","yes"
"11620",468,50,53.227,0,1841.64,"male","3","lower","yes"
"11626",469,50,60.11,1,1833.744,"male","3","lower","yes"
"11643",470,50,55.11,1,1835.765,"male","3","upper","yes"
"11651",471,50,52.893,0,1841.938,"female","3","lower","yes"
"11654",472,50,63.91,0,1830.921,"male","3","upper","yes"
"11669",473,50,64.282,0,1830.549,"female","3","upper","yes"
"11685",474,50,69.602,0,1825.279,"male","3","upper","yes"
"11714",475,50,56.142,1,1838.738,"female","3","upper","yes"
"11725",476,50,50.431,0,1844.4,"male","3","lower","yes"
"11726",477,50,52.537,0,1842.294,"female","3","lower","yes"
"11730",478,50,53.09,0,1776.736,"male","3","lower","yes"
"11735",479,50,57.12,0,1837.711,"female","3","lower","yes"
"11743",480,50,50.697,0,1844.17,"male","3","lower","yes"
"11745",481,50,57.018,0,1837.812,"female","3","lower","yes"
"11754",482,50,55.127,0,1839.704,"male","3","lower","yes"
"11761",483,50,53.711,0,1841.12,"female","3","lower","yes"
"11765",484,50,60.75,0,1822.719,"male","3","upper","yes"
"11778",485,50,60.301,0,1823.168,"female","3","upper","yes"
"11790",486,50,54.242,0,1838.338,"male","3","lower","yes"
"11799",487,50,61.613,0,1833.254,"male","3","lower","yes"
"11820",488,50,56.613,0,1838.253,"female","3","lower","yes"
"11832",489,50,59.198,1,1833.774,"male","3","upper","yes"
"11844",490,50,50.678,0,1844.153,"male","3","lower","yes"
"11845",491,50,51.351,1,1842.754,"female","3","lower","yes"
"11848",492,50,65.049,0,1829.782,"male","3","lower","yes"
"11870",493,50,52.876,1,1837.815,"female","3","lower","yes"
"11875",494,50,59.83,0,1830.995,"male","3","lower","yes"
"11887",495,50,50.732,0,1844.099,"male","3","lower","yes"
"11888",496,50,58.585,0,1836.246,"male","3","lower","yes"
"11899",497,50,50.053,1,1838.114,"female","3","lower","yes"
"11900",498,50,53.719,1,1837.815,"male","3","upper","yes"
"11905",499,50,56.843,1,1835.389,"female","3","lower","yes"
"11914",500,50,50.415,0,1844.416,"female","3","upper","yes"
"11918",501,50,54.877,0,1839.953,"female","3","lower","yes"
"11923",502,50,59.127,0,1835.704,"male","3","lower","yes"
"11941",503,50,52.895,0,1841.936,"female","3","lower","yes"
"11982",504,50,80,0,1791.176,"female","3","lower","yes"
"12015",505,50,57.311,0,1837.52,"female","3","lower","yes"
"12024",506,50,52.709,0,1842.122,"male","3","upper","yes"
"12027",507,50,50.081,0,1844.75,"female","3","upper","yes"
"12028",508,50,56.676,1,1835.592,"male","3","upper","yes"
"12037",509,50,64.099,1,1828.131,"female","3","lower","yes"
"12052",510,50,52.715,0,1834.467,"female","3","lower","yes"
"12088",511,50,73.749,1,1781.347,"male","3","lower","yes"
"12119",512,50,80,0,1779.266,"female","3","lower","yes"
"12226",513,50,58.71,0,1795.116,"male","3","lower","yes"
"12247",514,50,55.765,0,1798.062,"female","3","lower","yes"
"12261",515,50,74.686,1,1803.556,"female","3","lower","yes"
"12291",516,50,77.185,1,1792.011,"female","3","lower","yes"
"12324",517,50,73.232,0,1802.598,"male","3","lower","yes"
"12379",518,50,51.253,0,1796.572,"male","3","lower","yes"
"12381",519,50,54.867,0,1792.958,"female","3","lower","yes"
"12392",520,50,50.535,0,1823.272,"male","3","lower","yes"
"12393",521,50,51.417,0,1843.414,"male","4","lower","yes"
"12395",522,50,52.69,0,1842.141,"male","4","lower","yes"
"12398",523,50,65.246,0,1829.585,"male","4","lower","yes"
"12425",524,50,78.828,1,1798.322,"female","4","lower","no"
"12474",525,50,52.036,0,1842.795,"male","4","lower","yes"
"12479",526,50,68.296,1,1777.84,"male","4","lower","yes"
"12482",527,50,80,0,1774.604,"female","4","lower","yes"
"12487",528,50,63.222,1,1813.643,"female","4","lower","yes"
"12504",529,50,56.548,0,1838.283,"male","4","lower","yes"
"12542",530,50,62.056,1,1780.936,"male","4","lower","no"
"12573",531,50,61.374,1,1818.716,"male","4","lower","yes"
"12582",532,50,58.615,1,1823.702,"female","4","lower","yes"
"12588",533,50,59.381,0,1835.45,"female","4","lower","yes"
"12610",534,50,52.049,0,1779.775,"male","4","upper","yes"
"12616",535,50,50.105,0,1844.726,"female","4","lower","yes"
"12617",536,50,74.045,1,1774.108,"female","4","lower","no"
"12675",537,50,58.092,0,1836.739,"female","4","lower","yes"
"12684",538,50,50.927,0,1843.904,"female","4","lower","yes"
"12732",539,50,73.213,1,1782.968,"male","4","lower","no"
"12781",540,50,54.675,1,1837.131,"male","4","lower","no"
"12803",541,50,53.15,0,1841.681,"female","4","lower","yes"
"12808",542,50,68.033,1,1819.852,"male","4","lower","yes"
"12829",543,50,55.305,0,1776.52,"female","4","upper","no"
"12844",544,50,50.513,1,1781.977,"female","4","lower","yes"
"12846",545,50,50.185,1,1813.949,"male","4","lower","yes"
"12847",546,50,69.383,1,1819.715,"female","4","lower","yes"
"12868",547,50,50.311,0,1827.515,"female","4","lower","yes"
"12881",548,50,58.705,1,1780.635,"male","4","lower","no"
"12898",549,50,57.708,0,1783.124,"female","4","lower","yes"
"12906",550,50,70.021,0,1824.81,"female","4","lower","yes"
"12921",551,50,53.081,1,1821.473,"male","4","lower","yes"
"12926",552,50,61.632,0,1790.193,"male","4","lower","no"
"12934",553,50,68.304,1,1796.706,"male","4","lower","no"
"12964",554,50,69.585,0,1825.246,"male","4","lower","yes"
"12985",555,50,70.459,1,1824.301,"female","4","lower","yes"
"13019",556,50,58.795,1,1778.93,"female","4","lower","yes"
"13033",557,50,50.576,0,1817.415,"male","4","upper","yes"
"13035",558,50,51.316,0,1816.676,"female","4","upper","yes"
"13038",559,50,51.94,0,1842.891,"male","4","lower","no"
"13042",560,50,64.282,1,1786.891,"male","4","lower","yes"
"13084",561,50,52.463,0,1842.368,"female","4","lower","yes"
"13088",562,50,50.426,1,1822.73,"male","4","upper","yes"
"13152",563,50,65.604,0,1829.227,"male","4","lower","yes"
"13171",564,50,74.007,0,1813.169,"male","4","lower","yes"
"13172",565,50,56.427,0,1830.749,"female","4","lower","yes"
"13173",566,50,54.431,1,1782.99,"male","4","lower","no"
"13180",567,50,64.786,1,1773.385,"female","4","lower","yes"
"13204",568,50,50.33,0,1844.501,"male","4","upper","yes"
"13205",569,50,55.264,1,1833.503,"female","4","lower","yes"
"13215",570,50,58.735,1,1816.194,"female","4","lower","yes"
"13228",571,50,80,0,1809.585,"male","4","lower","no"
"13266",572,50,51.335,0,1827.904,"male","4","lower","yes"
"13269",573,50,54.078,0,1840.156,"male","4","lower","yes"
"13277",574,50,69.93,0,1824.901,"male","4","lower","yes"
"13346",575,50,80,0,1774.045,"female","4","lower","yes"
"13406",576,50,61.7,1,1826.141,"female","4","lower","yes"
"13419",577,50,65.136,1,1826.924,"male","4","lower","yes"
"13449",578,50,67.603,1,1776.515,"male","4","lower","yes"
"13472",579,50,65.492,1,1777.509,"female","4","lower","yes"
"13492",580,50,71.269,1,1795.748,"female","4","upper","no"
"13522",581,50,71.932,1,1813.29,"male","4","upper","yes"
"13548",582,50,51.05,1,1811.247,"female","4","upper","yes"
"13551",583,50,50.847,0,1843.984,"male","4","lower","no"
"13552",584,50,50.798,0,1817.194,"male","4","lower","yes"
"13555",585,50,63.754,0,1831.105,"female","4","upper","yes"
"13591",586,50,80,0,1785.035,"male","4","lower","yes"
"13673",587,50,59.636,1,1773.5,"male","4","lower","no"
"13693",588,50,76.214,1,1786.705,"male","4","lower","no"
"13724",589,50,55.663,1,1815.907,"male","4","lower","yes"
"13735",590,50,58.984,1,1819.318,"female","4","lower","yes"
"13746",591,50,62.018,1,1801.599,"female","4","lower","yes"
"13814",592,50,62.062,1,1832.356,"female","4","lower","yes"
"13830",593,50,60.799,1,1830.453,"male","4","lower","yes"
"13848",594,50,50.081,0,1844.75,"male","4","lower","yes"
"13849",595,50,62.16,1,1777.788,"female","4","upper","no"
"13894",596,50,55.726,1,1779.521,"female","4","upper","no"
"13943",597,50,61.87,1,1816.726,"female","4","lower","yes"
"13965",598,50,72.846,1,1817.5,"female","4","lower","yes"
"13996",599,50,50.913,0,1843.918,"male","4","lower","yes"
"13997",600,50,72.909,1,1818.07,"male","4","lower","yes"
"14023",601,50,65.744,1,1780.402,"female","4","lower","no"
"14041",602,50,56.947,0,1837.884,"male","4","lower","yes"
"14048",603,50,53.78,0,1841.051,"female","4","lower","yes"
"14052",604,50,56.312,1,1775.63,"male","4","upper","no"
"14075",605,50,55.795,0,1839.036,"male","4","lower","no"
"14106",606,50,65.47,1,1826.697,"female","4","lower","yes"
"14126",607,50,57.246,1,1771.948,"male","4","upper","yes"
"14139",608,50,54.721,0,1840.11,"female","4","lower","yes"
"14146",609,50,57.352,0,1837.478,"male","4","lower","yes"
"14156",610,50,59.368,0,1835.463,"female","4","lower","yes"
"14201",611,50,55.765,0,1823.02,"male","4","lower","yes"
"14208",612,50,50.746,0,1818.062,"male","4","upper","yes"
"14209",613,50,80,0,1808.394,"male","4","upper","yes"
"14250",614,50,71.058,1,1808.712,"female","4","upper","yes"
"14281",615,50,51.02,0,1819.786,"male","4","upper","yes"
"14283",616,50,59.956,1,1810.771,"male","4","upper","yes"
"14310",617,50,72.118,1,1809.856,"female","4","upper","yes"
"14351",618,50,61.016,0,1833.815,"male","4","lower","yes"
"14368",619,50,54.374,0,1840.457,"female","4","lower","yes"
"14374",620,50,75.357,1,1813.615,"male","4","lower","yes"
"14395",621,50,60.695,0,1802.13,"male","4","lower","yes"
"14409",622,50,50.275,0,1823.559,"female","4","lower","yes"
"14410",623,50,55.001,1,1829.424,"female","4","lower","yes"
"14416",624,50,80,0,1793.139,"male","4","lower","yes"
"14460",625,50,53.27,0,1835.584,"female","4","lower","yes"
"14465",626,50,76.205,1,1815.682,"female","4","lower","no"
"14497",627,50,52.422,0,1842.409,"male","4","lower","yes"
"14500",628,50,52.181,0,1842.65,"female","4","lower","yes"
"14545",629,50,80,0,1796.961,"female","4","lower","no"
"14581",630,50,68.862,1,1775.075,"female","4","lower","yes"
"14604",631,50,77.476,1,1817.363,"male","4","lower","yes"
"14638",632,50,75.28,1,1809.81,"male","4","lower","yes"
"14672",633,50,72,1,1810.056,"female","4","lower","yes"
"14700",634,50,50.037,1,1833.079,"male","4","lower","yes"
"14701",635,50,50.831,1,1774.231,"male","4","upper","yes"
"14705",636,50,52.745,0,1815.247,"female","4","lower","yes"
"14711",637,50,52.274,0,1842.557,"male","4","lower","yes"
"14715",638,50,57.3,1,1835.102,"male","4","lower","yes"
"14723",639,50,76.115,1,1810.33,"male","4","lower","no"
"14755",640,50,54.85,1,1775.841,"female","4","lower","no"
"14766",641,50,53.024,1,1788.895,"male","4","lower","yes"
"14814",642,50,52.435,0,1842.396,"male","4","lower","yes"
"14830",643,50,70.951,0,1782.875,"male","4","lower","no"
"14858",644,50,51.359,1,1788.854,"female","4","lower","no"
"14862",645,50,62.324,1,1796.022,"male","4","upper","no"
"14876",646,50,58.697,0,1836.134,"female","4","lower","yes"
"14885",647,50,78.634,0,1777.621,"male","4","lower","no"
"14926",648,50,55.266,0,1839.565,"female","4","lower","yes"
"14933",649,50,52.394,1,1777.53,"male","4","lower","no"
"14940",650,50,60.997,0,1826.675,"male","4","lower","yes"
"14950",651,50,58.943,1,1781.651,"male","4","lower","yes"
"14962",652,50,59.595,1,1787.833,"female","4","lower","yes"
"14977",653,50,60.03,0,1834.801,"male","4","lower","yes"
"14989",654,50,52.435,0,1842.396,"female","4","lower","yes"
"14993",655,50,55.455,0,1839.376,"female","4","lower","yes"
"14999",656,50,58.059,1,1827.671,"male","4","lower","yes"
"15009",657,50,63.086,0,1831.745,"female","4","lower","yes"
"15028",658,50,63.775,1,1830.242,"male","4","lower","yes"
"15039",659,50,59.151,1,1826.157,"female","4","lower","yes"
"15055",660,50,50.683,0,1844.148,"female","4","lower","yes"
"15056",661,50,50.867,0,1774.96,"female","4","lower","yes"
"15057",662,50,51.357,0,1843.535,"male","4","lower","yes"
"15060",663,50,61.933,1,1828.433,"female","4","lower","no"
"15119",664,50,59.077,1,1782.001,"male","4","lower","yes"
"15144",665,50,60.676,1,1774.601,"female","4","lower","no"
"15168",666,50,69.621,0,1825.21,"male","4","lower","yes"
"15194",667,50,58.141,0,1836.69,"female","4","lower","yes"
"15203",668,50,71.091,1,1796.027,"male","4","lower","yes"
"15226",669,50,51.099,0,1830.242,"male","4","lower","yes"
"15228",670,50,67.984,0,1826.847,"male","4","lower","yes"
"15279",671,50,57.771,1,1836.862,"female","4","lower","yes"
"15287",672,50,71.031,1,1782.152,"male","4","lower","no"
"15424",673,50,55.901,1,1816.854,"male","4","lower","yes"
"15444",674,50,55.773,1,1812.819,"male","4","lower","yes"
"15453",675,50,52.884,0,1835.756,"female","4","lower","yes"
"15469",676,50,70.253,0,1824.578,"female","4","lower","yes"
"15490",677,50,52.78,0,1839.959,"male","4","lower","yes"
"15493",678,50,55.332,0,1839.499,"male","4","upper","yes"
"15502",679,50,53.344,0,1774.48,"male","4","upper","yes"
"15514",680,50,51.066,0,1823.759,"male","4","lower","yes"
"15515",681,50,58.042,1,1773.328,"male","4","lower","yes"
"15542",682,50,58.3,0,1836.531,"male","4","lower","yes"
"15558",683,50,53.977,0,1828.83,"male","4","lower","no"
"15566",684,50,72.821,1,1822.015,"male","4","lower","yes"
"15589",685,50,51.641,1,1816.348,"male","4","lower","yes"
"15594",686,50,69.15,1,1804.923,"female","4","lower","yes"
"15651",687,50,58.853,1,1780.465,"female","4","lower","yes"
"15674",688,50,55.535,1,1812.419,"male","4","lower","yes"
"15681",689,50,55.639,1,1810.628,"male","4","lower","no"
"15691",690,50,57.728,1,1821.498,"female","4","lower","yes"
"15695",691,50,51.099,0,1843.732,"male","4","upper","no"
"15697",692,50,72.096,1,1806.059,"female","4","lower","yes"
"15726",693,50,65.259,1,1816.052,"female","4","lower","no"
"15757",694,50,63.368,1,1793.99,"female","4","lower","no"
"15776",695,50,67.718,1,1823.48,"male","4","lower","yes"
"15799",696,50,50.335,0,1817.656,"female","4","lower","yes"
"15801",697,50,75.792,1,1815.587,"male","4","upper","yes"
"15835",698,50,66.146,1,1815.151,"female","4","upper","yes"
"15857",699,50,61.374,0,1818.461,"male","4","lower","yes"
"15871",700,50,56.433,0,1823.403,"female","4","lower","yes"
"15880",701,50,62.642,0,1830.166,"male","4","lower","yes"
"15894",702,50,59.118,0,1833.689,"female","4","lower","yes"
"15905",703,50,59.477,1,1825.363,"female","4","lower","yes"
"15917",704,50,77.465,1,1798.771,"male","4","lower","yes"
"15952",705,50,76.438,1,1796.342,"female","4","lower","yes"
"16018",706,50,64.183,1,1778.735,"male","4","lower","no"
"16046",707,50,54.185,1,1817.183,"male","4","upper","yes"
"16055",708,50,56.657,0,1823.179,"female","4","upper","yes"
"16065",709,50,80,0,1773.834,"male","4","lower","no"
"16106",710,50,80,0,1780.786,"female","4","lower","no"
"16140",711,50,71.463,1,1807.693,"male","4","lower","yes"
"16180",712,50,79.836,1,1792.23,"female","4","lower","no"
"16213",713,50,57.109,1,1776.126,"male","4","lower","yes"
"16241",714,50,61.697,1,1821.563,"male","4","lower","yes"
"16256",715,50,56.819,1,1811.072,"male","4","lower","yes"
"16264",716,50,69.218,0,1804.616,"male","4","upper","yes"
"16309",717,50,63.893,0,1804.099,"female","4","upper","no"
"16348",718,50,71.578,1,1812.786,"male","4","lower","yes"
"16377",719,50,72.446,0,1821.385,"male","4","lower","yes"
"16402",720,50,50.349,0,1817.643,"female","4","lower","yes"
"16406",721,50,58.355,1,1789.845,"female","4","lower","no"
"16417",722,50,52.876,0,1811.951,"male","4","lower","yes"
"16425",723,50,50.007,0,1844.824,"female","4","lower","yes"
"16426",724,50,75.346,1,1816.715,"female","4","lower","yes"
"16474",725,50,72.225,1,1784,"male","4","lower","no"
"16512",726,50,60.827,1,1813.561,"male","4","lower","yes"
"16533",727,50,69.791,1,1818.207,"female","4","lower","yes"
"16556",728,50,55.277,0,1818.543,"male","4","lower","no"
"16562",729,50,55.74,0,1818.081,"female","4","lower","yes"
"16568",730,50,67.762,1,1772.515,"male","4","upper","yes"
"16588",731,50,56.827,0,1789.005,"female","4","upper","yes"
"16597",732,50,60.118,1,1790.735,"female","4","lower","yes"
"16622",733,50,57.473,1,1781.218,"female","4","upper","no"
"16645",734,50,72.036,1,1819.228,"female","4","lower","yes"
"16670",735,50,80,0,1804.192,"male","4","lower","yes"
"16702",736,50,73.708,1,1805.216,"female","4","lower","yes"
"16727",737,50,60.764,1,1814.582,"male","4","upper","yes"
"16744",738,50,68.794,1,1819.346,"female","4","lower","yes"
"16799",739,50,59.159,0,1835.671,"female","4","lower","yes"
"16810",740,50,80,0,1792.813,"male","4","upper","no"
"16860",741,50,59.411,0,1835.42,"male","4","lower","yes"
"16872",742,50,51.838,1,1832.58,"male","4","lower","yes"
"16873",743,50,52.556,0,1842.275,"female","4","lower","yes"
"16889",744,50,75.513,0,1814.22,"male","4","lower","no"
"16918",745,50,75.655,0,1814.078,"female","4","lower","yes"
"16947",746,50,54.642,1,1835.608,"female","4","lower","yes"
"16953",747,50,67.984,1,1772.392,"male","4","lower","yes"
"16996",748,50,62.606,1,1827.847,"female","4","lower","yes"
"17092",749,50,76.293,1,1811.729,"female","4","lower","yes"
"17139",750,50,72.348,1,1815.159,"male","4","lower","yes"
"17213",751,50,80,0,1809.3,"male","4","lower","yes"
"17250",752,50,53.895,0,1840.936,"female","4","upper","yes"
"17254",753,50,52.86,0,1841.971,"male","4","lower","yes"
"17258",754,50,54.007,1,1788.077,"male","4","lower","yes"
"17264",755,50,69.81,1,1790.018,"female","4","lower","yes"
"17303",756,50,53.971,0,1840.86,"male","4","lower","yes"
"17307",757,50,62.858,0,1831.973,"female","4","lower","yes"
"17348",758,50,74.815,0,1820.016,"female","4","lower","yes"
"17377",759,50,50.138,0,1836.969,"female","4","lower","yes"
"17378",760,50,66.609,1,1827.573,"male","4","lower","yes"
"17396",761,50,61.128,0,1833.079,"female","4","lower","yes"
"17409",762,50,50.708,0,1842.1,"male","4","lower","yes"
"17410",763,50,51.228,0,1841.58,"female","4","lower","yes"
"17412",764,50,74.913,1,1804.027,"female","4","upper","yes"
"17454",765,50,57.443,0,1771.384,"female","4","lower","yes"
"17473",766,50,55.365,0,1777.462,"female","4","upper","yes"
"17494",767,50,72.539,0,1819.266,"male","4","lower","yes"
"17518",768,50,65.897,1,1818.428,"female","4","lower","yes"
"17538",769,50,61.799,1,1830.24,"male","4","lower","yes"
"17607",770,50,78.598,1,1804.43,"male","4","lower","yes"
"17647",771,50,65.199,0,1802.793,"female","4","lower","yes"
"17674",772,50,74.084,1,1809.588,"female","4","lower","yes"
"17721",773,50,61.541,0,1816.266,"female","4","lower","yes"
"17745",774,50,59.124,0,1835.707,"male","4","lower","yes"
"17755",775,50,70.565,0,1824.266,"female","4","lower","yes"
"17778",776,50,50.426,0,1833.667,"male","4","lower","yes"
"17780",777,50,50.059,0,1820.747,"male","4","lower","yes"
"17781",778,50,50.511,0,1813.314,"female","4","upper","yes"
"17792",779,50,80,0,1796.528,"male","5","lower","yes"
"17823",780,50,54.691,0,1823.781,"female","5","lower","no"
"17830",781,50,59.576,1,1825.634,"female","5","lower","no"
"17848",782,50,67.368,1,1768.912,"female","5","lower","no"
"17876",783,50,58.653,0,1816.178,"female","5","upper","yes"
"17881",784,50,58.272,0,1836.559,"male","5","lower","no"
"17890",785,50,80,0,1811.017,"male","5","upper","yes"
"17928",786,50,54.456,1,1823.611,"female","5","upper","yes"
"17934",787,50,75.326,1,1776.145,"male","5","lower","yes"
"17961",788,50,69.284,1,1820.994,"male","5","lower","no"
"17981",789,50,66.776,1,1827.214,"male","5","lower","no"
"18005",790,50,64.06,1,1792.956,"female","5","upper","yes"
"18021",791,50,71.458,0,1823.373,"female","5","lower","yes"
"18046",792,50,61.383,0,1817.448,"male","5","lower","yes"
"18047",793,50,59.956,0,1818.875,"female","5","lower","yes"
"18078",794,50,73.32,1,1796.802,"female","5","lower","yes"
"18104",795,50,74.034,1,1817.101,"male","5","lower","yes"
"18129",796,50,80,0,1811.836,"female","5","lower","yes"
"18161",797,50,51.228,0,1842.823,"female","5","lower","no"
"18164",798,50,51.877,0,1842.984,"male","5","lower","yes"
"18167",799,50,77.218,1,1815.904,"female","5","lower","yes"
"18183",800,50,77.522,0,1817.309,"male","5","lower","no"
"18220",801,50,79.677,1,1781.489,"male","5","upper","no"
"18261",802,50,80,0,1804.318,"female","5","lower","yes"
"18294",803,50,72.203,1,1784.764,"male","5","upper","no"
"18319",804,50,76.739,1,1787.165,"female","5","lower","no"
"18344",805,50,75.118,1,1789.725,"male","5","lower","no"
"18371",806,50,68.868,1,1792.194,"female","5","upper","no"
"18429",807,50,80,0,1804.26,"female","5","lower","no"
"18460",808,50,67.398,1,1783.767,"female","5","upper","yes"
"18509",809,50,73.487,1,1772.334,"male","5","upper","no"
"18533",810,50,55.099,1,1797.873,"male","5","lower","no"
"18539",811,50,77.555,1,1802.872,"female","5","lower","no"
"18554",812,50,80,0,1805.804,"female","5","upper","no"
"18586",813,50,73.793,1,1818.136,"male","5","lower","no"
"18612",814,50,51.094,1,1793.739,"female","5","lower","yes"
"18614",815,50,54.995,0,1826.836,"male","5","lower","yes"
"18633",816,50,51.669,1,1804.26,"male","5","lower","no"
"18636",817,50,71.537,1,1805.637,"female","5","upper","no"
"18659",818,50,67.595,1,1808.997,"female","5","lower","yes"
"18677",819,50,55.661,0,1839.17,"male","5","lower","no"
"18683",820,50,79.242,1,1767.781,"male","5","upper","no"
"18715",821,50,60.181,0,1773.651,"male","5","upper","no"
"18726",822,50,65.016,1,1767.83,"male","5","lower","yes"
"18743",823,50,71.803,1,1769.046,"female","5","lower","no"
"18766",824,50,58.973,1,1795.699,"female","5","lower","no"
"18776",825,50,74.612,1,1796.775,"female","5","lower","yes"
"18802",826,50,69.725,1,1823.034,"female","5","lower","no"
"18832",827,50,58.48,1,1763.285,"male","5","upper","yes"
"18843",828,50,70.919,1,1771.034,"female","5","upper","no"
"18866",829,50,54.984,1,1816.882,"male","5","lower","yes"
"18905",830,50,63.781,1,1771.214,"female","5","upper","yes"
"18920",831,50,80,0,1796.11,"female","5","lower","no"
"18953",832,50,60.074,0,1810.757,"female","5","lower","no"
"18964",833,50,80,0,1803.343,"male","5","lower","no"
"18998",834,50,58.037,1,1767.132,"male","5","upper","yes"
"19009",835,50,79.759,1,1806.261,"male","5","lower","no"
"19041",836,50,80,0,1814.617,"female","5","lower","no"
"19073",837,50,75.023,1,1765.196,"female","5","lower","yes"
"19100",838,50,61.687,0,1833.144,"female","5","lower","no"
"19125",839,50,59.075,0,1835.756,"male","5","lower","no"
"19144",840,50,52.597,0,1842.234,"female","5","lower","no"
"19147",841,50,78.084,1,1813.284,"female","5","lower","yes"
"19177",842,50,74.122,1,1764.75,"female","5","upper","yes"
"19203",843,50,69.218,1,1780.925,"male","5","lower","yes"
"19224",844,50,57.435,1,1791.587,"female","5","lower","no"
"19233",845,50,58.513,0,1825.426,"male","5","lower","yes"
"19234",846,50,56.005,0,1838.825,"male","5","lower","yes"
"19241",847,50,76.271,1,1807.469,"male","5","lower","no"
"19268",848,50,80,0,1809.478,"male","5","lower","no"
"19300",849,50,69.139,1,1813.539,"male","5","lower","yes"
"19320",850,50,53.845,0,1840.986,"female","5","upper","yes"
"19324",851,50,80,0,1800.394,"male","5","lower","yes"
"19337",852,50,71.581,1,1804.969,"female","5","lower","yes"
"19345",853,50,61.821,0,1833.01,"male","5","upper","no"
"19357",854,50,61.574,0,1829.257,"male","5","lower","yes"
"19379",855,50,72.953,1,1793.949,"female","5","lower","no"
"19403",856,50,58.155,0,1836.676,"male","5","lower","yes"
"19412",857,50,54.908,0,1839.923,"female","5","lower","yes"
"19433",858,50,58.836,1,1784.263,"female","5","lower","no"
"19450",859,50,61.459,1,1771.395,"female","5","lower","yes"
"19451",860,50,62.702,0,1832.129,"female","5","lower","yes"
"19465",861,50,59.455,0,1835.376,"female","5","lower","yes"
"19476",862,50,63.789,1,1770.226,"female","5","lower","yes"
"19477",863,50,54.368,0,1840.463,"male","5","lower","yes"
"19493",864,50,80,0,1814.155,"female","5","lower","yes"
"19524",865,50,57.525,0,1837.306,"female","5","lower","no"
"19541",866,50,53.377,0,1841.454,"female","5","lower","no"
"19545",867,50,50.448,0,1844.383,"female","5","lower","no"
"19547",868,50,65.999,1,1763.617,"female","5","lower","no"
"19565",869,50,56.821,1,1825.106,"female","5","lower","yes"
"19574",870,50,52.011,0,1842.82,"male","5","lower","yes"
"19577",871,50,50.519,0,1844.312,"female","5","lower","yes"
"19578",872,50,56.641,1,1797.144,"male","5","lower","no"
"19618",873,50,79.822,1,1809.238,"female","5","lower","no"
"19650",874,50,66.549,1,1816.277,"female","5","lower","no"
"19668",875,50,60.613,0,1834.218,"male","5","lower","no"
"19680",876,50,58.04,0,1836.791,"female","5","lower","no"
"19689",877,50,63.001,0,1831.83,"male","5","lower","yes"
"19714",878,50,61.018,1,1784.17,"female","5","lower","yes"
"19727",879,50,53.925,0,1840.906,"female","5","lower","no"
"19735",880,50,57.207,1,1776.014,"female","5","lower","no"
"19752",881,50,65.895,1,1800.011,"female","5","upper","yes"
"19770",882,50,67.154,1,1800.268,"male","5","lower","yes"
"19788",883,50,70.04,1,1799.118,"female","5","lower","yes"
"19811",884,50,80,0,1796.772,"male","5","lower","yes"
"19843",885,50,69.355,0,1825.476,"female","5","lower","yes"
"19864",886,50,75.614,1,1804.361,"male","5","lower","no"
"19912",887,50,69.383,1,1805.717,"female","5","lower","no"
"19933",888,50,66.119,1,1764.816,"male","5","lower","yes"
"19951",889,50,79.696,1,1763.677,"female","5","lower","no"
"19983",890,50,71.74,1,1768.463,"female","5","lower","no"
"20007",891,50,78.727,1,1773.172,"female","5","lower","no"
"20037",892,50,70.168,1,1805.914,"male","5","lower","no"
"20075",893,50,74.642,1,1768.085,"male","5","upper","no"
"20099",894,50,60.739,1,1771.485,"male","5","upper","no"
"20111",895,50,60.6,1,1795.737,"female","5","lower","no"
"20123",896,50,71.129,1,1800.301,"male","5","upper","no"
"20148",897,50,53.098,1,1781.517,"male","5","lower","yes"
"20153",898,50,76.621,1,1809.854,"male","5","lower","yes"
"20183",899,50,64.901,0,1821.574,"female","5","lower","yes"
"20200",900,50,72.972,0,1821.859,"male","5","upper","yes"
"20224",901,50,67.704,1,1775.151,"female","5","lower","no"
"20243",902,50,77.982,1,1782.278,"female","5","lower","no"
"20272",903,50,51.814,1,1784.539,"female","5","upper","no"
"20301",904,50,80,0,1765.235,"male","5","lower","yes"
"20333",905,50,67.556,1,1804.586,"female","5","upper","no"
"20354",906,50,77.834,1,1763.11,"female","5","lower","yes"
"20376",907,50,80,0,1803.502,"female","5","lower","no"
"20407",908,50,52.145,1,1812.775,"male","5","lower","yes"
"20411",909,50,61.372,1,1763.877,"male","5","lower","no"
"20423",910,50,69.169,1,1781.591,"male","5","lower","no"
"20443",911,50,73.547,0,1821.284,"male","5","lower","yes"
"20483",912,50,72.742,1,1796.517,"female","5","upper","no"
