"","s","pA","Z"
"23410",27.2508,1374.36,13.9221
"23411",27.2509,1346.59,13.9107
"23412",27.251,1360.02,13.9008
"23413",27.2511,1402.13,13.8939
"23414",27.2512,1453.25,13.8947
"23415",27.2513,1498.26,13.9
"23416",27.2514,1530.15,13.9145
"23417",27.2515,1548.77,13.9359
"23418",27.2516,1555.48,13.9664
"23419",27.2517,1544.8,14.0038
"23420",27.2518,1517.03,14.0503
"23421",27.2519,1492.46,14.1006
"23422",27.252,1486.05,14.1594
"23423",27.2521,1495.06,14.2227
"23424",27.2522,1509.09,14.2899
"23425",27.2523,1521,14.3639
"23426",27.2524,1528.17,14.4402
"23427",27.2525,1532.29,14.5226
"23428",27.2526,1533.81,14.6072
"23429",27.2527,1535.19,14.695
"23430",27.2528,1536.25,14.7842
"23431",27.2529,1537.17,14.8773
"23432",27.253,1538.24,14.9719
"23433",27.2531,1539.46,15.0696
"23434",27.2532,1540.53,15.1665
"23435",27.2533,1541.6,15.2657
"23436",27.2534,1541.75,15.3671
"23437",27.2535,1542.05,15.4678
"23438",27.2536,1542.51,15.5716
"23439",27.2537,1542.36,15.6754
"23440",27.2538,1542.36,15.7791
"23441",27.2539,1542.36,15.8859
"23442",27.254,1542.51,15.9912
"23443",27.2541,1542.66,16.0965
"23444",27.2542,1542.66,16.2025
"23445",27.2543,1542.21,16.3094
"23446",27.2544,1542.51,16.4162
"23447",27.2545,1543.27,16.5222
"23448",27.2546,1543.88,16.6275
"23449",27.2547,1544.19,16.7351
"23450",27.2548,1544.49,16.8411
"23451",27.2549,1544.34,16.9456
"23452",27.255,1544.49,17.0456
"23453",27.2551,1544.04,17.1417
"23454",27.2552,1543.88,17.2348
"23455",27.2553,1543.73,17.3225
"23456",27.2554,1543.58,17.4004
"23457",27.2555,1543.73,17.4706
"23458",27.2556,1543.27,17.5316
"23459",27.2557,1543.43,17.5858
"23460",27.2558,1543.73,17.6315
"23461",27.2559,1543.58,17.6704
"23462",27.256,1543.73,17.7032
"23463",27.2561,1543.73,17.7315
"23464",27.2562,1543.73,17.7551
"23465",27.2563,1543.73,17.7742
"23466",27.2564,1542.97,17.7917
"23467",27.2565,1543.12,17.8047
"23468",27.2566,1543.12,17.8162
"23469",27.2567,1543.73,17.8238
"23470",27.2568,1544.19,17.8314
"23471",27.2569,1544.49,17.8375
"23472",27.257,1544.04,17.8406
"23473",27.2571,1543.88,17.8452
"23474",27.2572,1543.27,17.8482
"23475",27.2573,1543.27,17.8505
"23476",27.2574,1543.27,17.8528
"23477",27.2575,1543.58,17.8535
"23478",27.2576,1543.58,17.8543
"23479",27.2577,1543.88,17.8543
"23480",27.2578,1544.19,17.8543
"23481",27.2579,1543.73,17.8543
"23482",27.258,1544.04,17.8551
"23483",27.2581,1544.19,17.8551
"23484",27.2582,1544.49,17.8543
"23485",27.2583,1544.65,17.8535
"23486",27.2584,1544.34,17.8551
"23487",27.2585,1544.19,17.8543
"23488",27.2586,1543.73,17.8535
"23489",27.2587,1543.58,17.8535
"23490",27.2588,1544.04,17.8543
"23491",27.2589,1543.58,17.852
"23492",27.259,1543.73,17.8528
"23493",27.2591,1543.58,17.852
"23494",27.2592,1543.12,17.852
"23495",27.2593,1542.66,17.8513
"23496",27.2594,1542.82,17.8497
"23497",27.2595,1542.82,17.8513
"23498",27.2596,1542.97,17.8513
"23499",27.2597,1543.58,17.852
"23500",27.2598,1543.58,17.8513
"23501",27.2599,1543.73,17.8505
"23502",27.26,1543.88,17.8513
"23503",27.2601,1543.88,17.8513
"23504",27.2602,1544.19,17.8497
"23505",27.2603,1544.49,17.8505
"23506",27.2604,1544.34,17.849
"23507",27.2605,1544.19,17.8482
"23508",27.2606,1544.34,17.8482
"23509",27.2607,1544.49,17.8497
"23510",27.2608,1544.49,17.849
"23511",27.2609,1544.49,17.8482
"23512",27.261,1543.88,17.8474
"23513",27.2611,1543.12,17.8452
"23514",27.2612,1542.66,17.8429
"23515",27.2613,1542.36,17.8398
"23516",27.2614,1542.82,17.8345
"23517",27.2615,1543.27,17.8291
"23518",27.2616,1543.43,17.8215
"23519",27.2617,1543.58,17.8131
"23520",27.2618,1544.04,17.8017
"23521",27.2619,1544.19,17.7917
"23522",27.262,1544.34,17.7788
"23523",27.2621,1544.19,17.765
"23524",27.2622,1544.19,17.7513
"23525",27.2623,1544.04,17.7353
"23526",27.2624,1544.65,17.72
"23527",27.2625,1544.19,17.7055
"23528",27.2626,1543.88,17.688
"23529",27.2627,1543.73,17.6704
"23530",27.2628,1543.43,17.6521
"23531",27.2629,1543.43,17.6353
"23532",27.263,1543.73,17.6163
"23533",27.2631,1543.73,17.598
"23534",27.2632,1543.58,17.5797
"23535",27.2633,1543.43,17.5591
"23536",27.2634,1543.12,17.5392
"23537",27.2635,1543.12,17.5209
"23538",27.2636,1543.27,17.5018
"23539",27.2637,1542.97,17.4812
"23540",27.2638,1543.43,17.4606
"23541",27.2639,1543.58,17.4408
"23542",27.264,1543.27,17.4217
"23543",27.2641,1543.27,17.4011
"23544",27.2642,1543.12,17.3805
"23545",27.2643,1543.12,17.3599
"23546",27.2644,1543.27,17.3401
"23547",27.2645,1543.43,17.3187
"23548",27.2646,1543.43,17.2989
"23549",27.2647,1543.73,17.2775
"23550",27.2648,1543.88,17.2569
"23551",27.2649,1543.88,17.2371
"23552",27.265,1543.73,17.2165
"23553",27.2651,1543.58,17.1967
"23554",27.2652,1543.88,17.1753
"23555",27.2653,1544.04,17.1547
"23556",27.2654,1544.49,17.1333
"23557",27.2655,1544.49,17.1135
"23558",27.2656,1544.19,17.0921
"23559",27.2657,1543.88,17.0723
"23560",27.2658,1543.73,17.0509
"23561",27.2659,1543.43,17.0311
"23562",27.266,1543.73,17.0097
"23563",27.2661,1543.27,16.9891
"23564",27.2662,1543.58,16.9678
"23565",27.2663,1543.58,16.9479
"23566",27.2664,1543.58,16.9273
"23567",27.2665,1543.58,16.9067
"23568",27.2666,1543.58,16.8861
"23569",27.2667,1543.73,16.8648
"23570",27.2668,1544.19,16.8449
"23571",27.2669,1544.34,16.8236
"23572",27.267,1544.34,16.8037
"23573",27.2671,1543.88,16.7831
"23574",27.2672,1543.43,16.7625
"23575",27.2673,1543.58,16.7419
"23576",27.2674,1543.27,16.7213
"23577",27.2675,1543.58,16.7
"23578",27.2676,1543.73,16.6801
"23579",27.2677,1543.73,16.6588
"23580",27.2678,1543.88,16.6389
"23581",27.2679,1544.04,16.6183
"23582",27.268,1543.88,16.5977
"23583",27.2681,1544.04,16.5764
"23584",27.2682,1543.88,16.555
"23585",27.2683,1544.19,16.5352
"23586",27.2684,1543.88,16.5154
"23587",27.2685,1544.19,16.494
"23588",27.2686,1544.19,16.4734
"23589",27.2687,1544.49,16.4528
"23590",27.2688,1544.65,16.4322
"23591",27.2689,1544.8,16.4124
"23592",27.269,1544.49,16.391
"23593",27.2691,1544.49,16.3712
"23594",27.2692,1544.19,16.3506
"23595",27.2693,1544.04,16.33
"23596",27.2694,1544.34,16.3086
"23597",27.2695,1543.88,16.288
"23598",27.2696,1543.58,16.2674
"23599",27.2697,1543.58,16.2476
"23600",27.2698,1544.04,16.2262
"23601",27.2699,1543.73,16.2056
"23602",27.27,1544.04,16.1842
"23603",27.2701,1543.58,16.1644
"23604",27.2702,1543.58,16.1438
"23605",27.2703,1543.58,16.124
"23606",27.2704,1543.73,16.1026
"23607",27.2705,1543.88,16.082
"23608",27.2706,1544.34,16.0629
"23609",27.2707,1544.04,16.0408
"23610",27.2708,1544.04,16.0217
"23611",27.2709,1544.04,16.0011
"23612",27.271,1543.58,15.9798
"23613",27.2711,1543.43,15.9599
"23614",27.2712,1543.27,15.9393
"23615",27.2713,1543.12,15.9187
"23616",27.2714,1542.97,15.8989
"23617",27.2715,1543.12,15.8783
"23618",27.2716,1543.12,15.8569
"23619",27.2717,1543.27,15.8363
"23620",27.2718,1543.43,15.8165
"23621",27.2719,1543.43,15.7951
"23622",27.272,1543.58,15.7745
"23623",27.2721,1543.88,15.7539
"23624",27.2722,1543.43,15.7333
"23625",27.2723,1543.43,15.7135
"23626",27.2724,1543.58,15.6929
"23627",27.2725,1543.73,15.6708
"23628",27.2726,1543.88,15.6517
"23629",27.2727,1544.19,15.6303
"23630",27.2728,1543.73,15.609
"23631",27.2729,1543.43,15.5891
"23632",27.273,1543.58,15.5685
"23633",27.2731,1543.27,15.5487
"23634",27.2732,1543.58,15.5273
"23635",27.2733,1543.43,15.5067
"23636",27.2734,1543.58,15.4869
"23637",27.2735,1543.73,15.4663
"23638",27.2736,1544.04,15.4465
"23639",27.2737,1543.27,15.4259
"23640",27.2738,1542.97,15.4037
"23641",27.2739,1542.51,15.3831
"23642",27.274,1542.97,15.3633
"23643",27.2741,1543.12,15.3419
"23644",27.2742,1543.58,15.3221
"23645",27.2743,1543.88,15.303
"23646",27.2744,1543.88,15.2817
"23647",27.2745,1543.43,15.2611
"23648",27.2746,1543.58,15.2405
"23649",27.2747,1543.58,15.2199
"23650",27.2748,1543.43,15.1993
"23651",27.2749,1543.88,15.1794
"23652",27.275,1543.73,15.1588
"23653",27.2751,1543.58,15.1382
"23654",27.2752,1543.58,15.1184
"23655",27.2753,1543.43,15.0978
"23656",27.2754,1543.43,15.0772
"23657",27.2755,1543.27,15.0581
"23658",27.2756,1542.97,15.0368
"23659",27.2757,1543.12,15.0154
"23660",27.2758,1542.97,14.9956
"23661",27.2759,1543.58,14.9742
"23662",27.276,1543.58,14.9521
"23663",27.2761,1542.97,14.9323
"23664",27.2762,1543.12,14.9124
"23665",27.2763,1543.43,14.8918
"23666",27.2764,1543.58,14.8712
"23667",27.2765,1543.88,14.8514
"23668",27.2766,1543.58,14.8315
"23669",27.2767,1543.73,14.8109
"23670",27.2768,1543.58,14.7896
"23671",27.2769,1543.43,14.7705
"23672",27.277,1543.73,14.7507
"23673",27.2771,1543.12,14.7301
"23674",27.2772,1543.43,14.7095
"23675",27.2773,1543.27,14.6881
"23676",27.2774,1543.73,14.6683
"23677",27.2775,1543.88,14.6477
"23678",27.2776,1544.34,14.6278
"23679",27.2777,1543.73,14.6065
"23680",27.2778,1543.58,14.5866
"23681",27.2779,1543.27,14.5668
"23682",27.278,1543.43,14.5462
"23683",27.2781,1543.12,14.5241
"23684",27.2782,1543.43,14.505
"23685",27.2783,1543.27,14.4844
"23686",27.2784,1543.27,14.4638
"23687",27.2785,1543.43,14.4447
"23688",27.2786,1543.27,14.4241
"23689",27.2787,1542.97,14.4043
"23690",27.2788,1542.97,14.3829
"23691",27.2789,1542.82,14.3631
"23692",27.279,1542.51,14.3417
"23693",27.2791,1542.51,14.3227
"23694",27.2792,1542.36,14.3021
"23695",27.2793,1543.12,14.2815
"23696",27.2794,1542.97,14.2609
"23697",27.2795,1543.12,14.2403
"23698",27.2796,1543.12,14.2197
"23699",27.2797,1542.82,14.2006
"23700",27.2798,1542.21,14.1785
"23701",27.2799,1541.75,14.1594
"23702",27.28,1541.29,14.1396
"23703",27.2801,1541.14,14.119
"23704",27.2802,1541.75,14.0976
"23705",27.2803,1541.75,14.0793
"23706",27.2804,1541.9,14.0594
"23707",27.2805,1541.29,14.0388
"23708",27.2806,1540.37,14.019
"23709",27.2807,1538.85,13.9969
"23710",27.2808,1537.48,13.9763
"23711",27.2809,1534.42,13.9549
"23712",27.281,1524.81,13.9366
"23713",27.2811,1503.91,13.9168
"23714",27.2812,1468.81,13.8962
"23715",27.2813,1430.21,13.8779
"23716",27.2814,1416.17,13.8603
"23717",27.2815,1435.85,13.8443
"23718",27.2816,1479.8,13.8321
"23719",27.2817,1533.66,13.8237
"23720",27.2818,1587.22,13.8245
"23721",27.2819,1641.39,13.8313
"23722",27.282,1697.08,13.8458
"23723",27.2821,1744.23,13.8702
"23724",27.2822,1776.89,13.9023
"23725",27.2823,1797.03,13.9404
"23726",27.2824,1808.17,13.9877
"23727",27.2825,1814.88,14.0404
"23728",27.2826,1819.92,14.1006
"23729",27.2827,1824.49,14.1655
"23730",27.2828,1828.61,14.2365
"23731",27.2829,1832.28,14.3127
"23732",27.283,1834.56,14.3906
"23733",27.2831,1837.16,14.4722
"23734",27.2832,1839.14,14.5584
"23735",27.2833,1841.13,14.6454
"23736",27.2834,1842.65,14.7354
"23737",27.2835,1844.48,14.8308
"23738",27.2836,1845.4,14.9254
"23739",27.2837,1846.16,15.0223
"23740",27.2838,1846.92,15.1215
"23741",27.2839,1847.69,15.2222
"23742",27.284,1848.45,15.3236
"23743",27.2841,1848.91,15.4251
"23744",27.2842,1849.52,15.5281
"23745",27.2843,1850.43,15.6326
"23746",27.2844,1851.2,15.7364
"23747",27.2845,1851.65,15.8424
"23748",27.2846,1851.65,15.9485
"23749",27.2847,1851.81,16.0538
"23750",27.2848,1852.57,16.1591
"23751",27.2849,1852.57,16.2666
"23752",27.285,1853.33,16.3719
"23753",27.2851,1853.33,16.4787
"23754",27.2852,1853.64,16.5855
"23755",27.2853,1854.25,16.6908
"23756",27.2854,1854.71,16.7969
"23757",27.2855,1854.71,16.9006
"23758",27.2856,1854.25,16.9998
"23759",27.2857,1853.94,17.0944
"23760",27.2858,1854.55,17.1837
"23761",27.2859,1854.86,17.2661
"23762",27.286,1855.62,17.3401
"23763",27.2861,1856.38,17.4065
"23764",27.2862,1856.54,17.4644
"23765",27.2863,1856.38,17.514
"23766",27.2864,1855.62,17.5583
"23767",27.2865,1855.62,17.5957
"23768",27.2866,1855.32,17.6262
"23769",27.2867,1855.47,17.6521
"23770",27.2868,1855.77,17.6735
"23771",27.2869,1856.54,17.691
"23772",27.287,1856.84,17.7055
"23773",27.2871,1857.45,17.717
"23774",27.2872,1856.99,17.7269
"23775",27.2873,1857.15,17.7368
"23776",27.2874,1856.69,17.7429
"23777",27.2875,1856.54,17.7467
"23778",27.2876,1856.84,17.7505
"23779",27.2877,1856.84,17.7544
"23780",27.2878,1856.99,17.7567
"23781",27.2879,1856.99,17.7574
"23782",27.288,1857.76,17.7597
"23783",27.2881,1858.22,17.7612
"23784",27.2882,1858.37,17.7612
"23785",27.2883,1858.37,17.7612
"23786",27.2884,1858.37,17.7628
"23787",27.2885,1858.22,17.7612
"23788",27.2886,1857.91,17.7628
"23789",27.2887,1857.3,17.7612
"23790",27.2888,1857.6,17.762
"23791",27.2889,1857.15,17.7612
"23792",27.289,1857.76,17.762
"23793",27.2891,1857.76,17.7605
"23794",27.2892,1857.76,17.7605
"23795",27.2893,1857.76,17.7605
"23796",27.2894,1857.91,17.7589
"23797",27.2895,1857.45,17.7582
"23798",27.2896,1857.76,17.7597
"23799",27.2897,1858.22,17.7597
"23800",27.2898,1858.06,17.7589
"23801",27.2899,1858.22,17.7597
"23802",27.29,1858.37,17.7582
"23803",27.2901,1858.06,17.7589
"23804",27.2902,1857.6,17.7582
"23805",27.2903,1857.91,17.7582
"23806",27.2904,1857.76,17.7574
"23807",27.2905,1857.91,17.7567
"23808",27.2906,1858.22,17.7567
"23809",27.2907,1858.37,17.7574
"23810",27.2908,1858.37,17.7574
"23811",27.2909,1858.83,17.7567
"23812",27.291,1858.37,17.7567
"23813",27.2911,1858.83,17.7574
"23814",27.2912,1858.98,17.7559
"23815",27.2913,1858.83,17.7559
"23816",27.2914,1858.83,17.7544
"23817",27.2915,1859.13,17.7559
"23818",27.2916,1858.83,17.7544
"23819",27.2917,1858.67,17.7528
"23820",27.2918,1858.83,17.7498
"23821",27.2919,1858.52,17.7437
"23822",27.292,1858.52,17.7399
"23823",27.2921,1858.52,17.733
"23824",27.2922,1858.37,17.7238
"23825",27.2923,1858.37,17.7155
"23826",27.2924,1859.13,17.7025
"23827",27.2925,1859.13,17.691
"23828",27.2926,1859.59,17.6788
"23829",27.2927,1859.74,17.6651
"23830",27.2928,1859.89,17.6498
"23831",27.2929,1859.59,17.6353
"23832",27.293,1859.59,17.6186
"23833",27.2931,1859.44,17.6025
"23834",27.2932,1860.05,17.585
"23835",27.2933,1859.74,17.5674
"23836",27.2934,1859.28,17.5499
"23837",27.2935,1859.13,17.5323
"23838",27.2936,1858.37,17.5133
"23839",27.2937,1858.06,17.4942
"23840",27.2938,1858.22,17.4759
"23841",27.2939,1858.22,17.4576
"23842",27.294,1858.52,17.4377
"23843",27.2941,1858.98,17.4179
"23844",27.2942,1858.98,17.3981
"23845",27.2943,1859.44,17.3782
"23846",27.2944,1859.44,17.3576
"23847",27.2945,1859.74,17.3378
"23848",27.2946,1859.28,17.318
"23849",27.2947,1859.13,17.2974
"23850",27.2948,1859.13,17.2775
"23851",27.2949,1859.59,17.2562
"23852",27.295,1858.98,17.2348
"23853",27.2951,1859.74,17.215
"23854",27.2952,1859.89,17.1951
"23855",27.2953,1860.2,17.1745
"23856",27.2954,1860.5,17.1539
"23857",27.2955,1860.5,17.1341
"23858",27.2956,1860.66,17.1135
"23859",27.2957,1860.81,17.0929
"23860",27.2958,1860.5,17.0731
"23861",27.2959,1860.5,17.0509
"23862",27.296,1860.35,17.0296
"23863",27.2961,1860.5,17.009
"23864",27.2962,1861.27,16.9884
"23865",27.2963,1861.11,16.9685
"23866",27.2964,1861.27,16.9472
"23867",27.2965,1860.96,16.9273
"23868",27.2966,1860.81,16.9067
"23869",27.2967,1860.66,16.8854
"23870",27.2968,1860.5,16.8655
"23871",27.2969,1860.2,16.8442
"23872",27.297,1860.05,16.8236
"23873",27.2971,1859.74,16.8037
"23874",27.2972,1859.89,16.7824
"23875",27.2973,1860.05,16.7618
"23876",27.2974,1860.35,16.7404
"23877",27.2975,1860.35,16.7191
"23878",27.2976,1860.35,16.7
"23879",27.2977,1860.66,16.6786
"23880",27.2978,1860.35,16.658
"23881",27.2979,1860.66,16.6374
"23882",27.298,1860.66,16.6168
"23883",27.2981,1861.11,16.5955
"23884",27.2982,1860.96,16.5749
"23885",27.2983,1861.27,16.5535
"23886",27.2984,1861.11,16.5344
"23887",27.2985,1860.81,16.5138
"23888",27.2986,1860.5,16.4932
"23889",27.2987,1860.2,16.4719
"23890",27.2988,1859.44,16.4536
"23891",27.2989,1860.05,16.4314
"23892",27.299,1860.2,16.4116
"23893",27.2991,1860.5,16.391
"23894",27.2992,1860.81,16.3696
"23895",27.2993,1860.81,16.3483
"23896",27.2994,1860.81,16.3284
"23897",27.2995,1861.27,16.3071
"23898",27.2996,1861.27,16.2865
"23899",27.2997,1861.27,16.2659
"23900",27.2998,1861.42,16.2453
"23901",27.2999,1860.81,16.2247
"23902",27.3,1860.5,16.2048
"23903",27.3001,1860.35,16.1842
"23904",27.3002,1860.2,16.1644
"23905",27.3003,1860.05,16.143
"23906",27.3004,1860.96,16.1217
"23907",27.3005,1860.96,16.1011
"23908",27.3006,1861.11,16.0812
"23909",27.3007,1861.42,16.0606
"23910",27.3008,1861.27,16.04
"23911",27.3009,1860.96,16.0194
"23912",27.301,1861.11,16.0004
"23913",27.3011,1860.96,15.9782
"23914",27.3012,1860.81,15.9576
"23915",27.3013,1861.11,15.9386
"23916",27.3014,1861.27,15.9172
"23917",27.3015,1861.88,15.8966
"23918",27.3016,1861.88,15.8745
"23919",27.3017,1861.42,15.8554
"23920",27.3018,1861.27,15.8356
"23921",27.3019,1861.72,15.815
"23922",27.302,1861.11,15.7928
"23923",27.3021,1861.27,15.7722
"23924",27.3022,1861.42,15.7524
"23925",27.3023,1861.57,15.7318
"23926",27.3024,1861.42,15.7112
"23927",27.3025,1861.42,15.6906
"23928",27.3026,1861.11,15.6708
"23929",27.3027,1860.96,15.6509
"23930",27.3028,1860.96,15.6296
"23931",27.3029,1861.11,15.6082
"23932",27.303,1861.42,15.5884
"23933",27.3031,1861.57,15.5678
"23934",27.3032,1861.11,15.5472
"23935",27.3033,1860.96,15.5266
"23936",27.3034,1860.66,15.5067
"23937",27.3035,1860.66,15.4861
"23938",27.3036,1860.96,15.464
"23939",27.3037,1860.96,15.4449
"23940",27.3038,1861.11,15.4236
"23941",27.3039,1860.96,15.4022
"23942",27.304,1860.81,15.3824
"23943",27.3041,1860.96,15.3618
"23944",27.3042,1861.27,15.3419
"23945",27.3043,1861.72,15.3206
"23946",27.3044,1862.34,15.3015
"23947",27.3045,1861.72,15.2802
"23948",27.3046,1861.57,15.2603
"23949",27.3047,1861.42,15.239
"23950",27.3048,1860.81,15.2184
"23951",27.3049,1860.96,15.1985
"23952",27.305,1860.5,15.1772
"23953",27.3051,1860.35,15.1581
"23954",27.3052,1860.81,15.1375
"23955",27.3053,1861.11,15.1161
"23956",27.3054,1861.42,15.0955
"23957",27.3055,1861.42,15.0757
"23958",27.3056,1860.81,15.0558
"23959",27.3057,1860.96,15.0352
"23960",27.3058,1860.5,15.0154
"23961",27.3059,1860.81,14.994
"23962",27.306,1861.27,14.9727
"23963",27.3061,1861.11,14.9529
"23964",27.3062,1861.27,14.9323
"23965",27.3063,1861.42,14.9124
"23966",27.3064,1861.42,14.8918
"23967",27.3065,1861.42,14.8705
"23968",27.3066,1861.27,14.8506
"23969",27.3067,1860.96,14.8308
"23970",27.3068,1860.81,14.8109
"23971",27.3069,1860.66,14.7903
"23972",27.307,1860.96,14.7682
"23973",27.3071,1861.57,14.7484
"23974",27.3072,1862.03,14.727
"23975",27.3073,1862.18,14.7079
"23976",27.3074,1862.03,14.6873
"23977",27.3075,1862.18,14.6675
"23978",27.3076,1862.03,14.6454
"23979",27.3077,1861.72,14.6263
"23980",27.3078,1861.57,14.6057
"23981",27.3079,1860.96,14.5844
"23982",27.308,1860.66,14.5638
"23983",27.3081,1860.2,14.5439
"23984",27.3082,1860.35,14.5241
"23985",27.3083,1860.5,14.5042
"23986",27.3084,1860.81,14.4829
"23987",27.3085,1861.11,14.4623
"23988",27.3086,1861.11,14.4424
"23989",27.3087,1860.96,14.4218
"23990",27.3088,1860.81,14.402
"23991",27.3089,1861.11,14.3814
"23992",27.309,1861.11,14.3608
"23993",27.3091,1860.5,14.3402
"23994",27.3092,1860.35,14.3204
"23995",27.3093,1860.81,14.299
"23996",27.3094,1860.81,14.2792
"23997",27.3095,1861.11,14.2578
"23998",27.3096,1861.11,14.238
"23999",27.3097,1860.96,14.2174
"24000",27.3098,1860.5,14.1983
"24001",27.3099,1860.5,14.1785
"24002",27.31,1860.5,14.1571
"24003",27.3101,1860.81,14.1373
"24004",27.3102,1860.96,14.1167
"24005",27.3103,1860.66,14.0968
"24006",27.3104,1860.96,14.077
"24007",27.3105,1861.27,14.0556
"24008",27.3106,1860.96,14.0358
"24009",27.3107,1860.5,14.0167
"24010",27.3108,1860.66,13.9954
"24011",27.3109,1860.5,13.9755
"24012",27.311,1860.2,13.9534
"24013",27.3111,1860.2,13.9351
"24014",27.3112,1860.05,13.9153
"24015",27.3113,1859.89,13.8947
"24016",27.3114,1859.74,13.8741
"24017",27.3115,1858.67,13.8535
"24018",27.3116,1858.67,13.8344
"24019",27.3117,1858.37,13.8145
"24020",27.3118,1857.76,13.7947
"24021",27.3119,1856.69,13.7741
"24022",27.312,1855.93,13.7543
"24023",27.3121,1854.1,13.7344
"24024",27.3122,1851.5,13.7138
"24025",27.3123,1847.23,13.694
"24026",27.3124,1841.58,13.6742
"24027",27.3125,1835.48,13.6528
"24028",27.3126,1829.07,13.6322
"24029",27.3127,1824.34,13.6108
"24030",27.3128,1824.19,13.591
"24031",27.3129,1839.6,13.5719
"24032",27.313,1877.75,13.5559
"24033",27.3131,1923.37,13.5422
"24034",27.3132,1959.69,13.533
"24035",27.3133,1982.27,13.533
"24036",27.3134,1993.41,13.5399
"24037",27.3135,1997.68,13.5529
"24038",27.3136,1999.05,13.5773
"24039",27.3137,2000.73,13.6093
"24040",27.3138,2002.26,13.649
"24041",27.3139,2004.39,13.6955
"24042",27.314,2006.68,13.7512
"24043",27.3141,2008.67,13.8123
"24044",27.3142,2010.96,13.8779
"24045",27.3143,2012.79,13.9473
"24046",27.3144,2014.16,14.0228
"24047",27.3145,2015.99,14.1022
"24048",27.3146,2017.06,14.1838
"24049",27.3147,2018.13,14.2693
"24050",27.3148,2018.89,14.3578
"24051",27.3149,2019.96,14.4493
"24052",27.315,2021.33,14.5432
"24053",27.3151,2021.79,14.6385
"24054",27.3152,2022.25,14.7346
"24055",27.3153,2022.4,14.8346
"24056",27.3154,2022.86,14.9345
"24057",27.3155,2023.16,15.0352
"24058",27.3156,2022.86,15.1375
"24059",27.3157,2022.86,15.242
"24060",27.3158,2023.01,15.345
"24061",27.3159,2023.32,15.4495
"24062",27.316,2023.93,15.554
"24063",27.3161,2023.62,15.6601
"24064",27.3162,2023.77,15.7654
"24065",27.3163,2024.23,15.873
"24066",27.3164,2023.93,15.979
"24067",27.3165,2024.08,16.0843
"24068",27.3166,2023.62,16.1911
"24069",27.3167,2023.62,16.2979
"24070",27.3168,2023.77,16.404
"24071",27.3169,2023.62,16.5092
"24072",27.317,2023.62,16.613
"24073",27.3171,2023.01,16.713
"24074",27.3172,2022.55,16.8076
"24075",27.3173,2022.71,16.8968
"24076",27.3174,2022.71,16.98
"24077",27.3175,2022.86,17.0547
"24078",27.3176,2022.71,17.1204
"24079",27.3177,2023.01,17.1783
"24080",27.3178,2022.86,17.2287
"24081",27.3179,2022.86,17.2722
"24082",27.318,2022.86,17.3088
"24083",27.3181,2022.86,17.3393
"24084",27.3182,2022.86,17.3645
"24085",27.3183,2022.86,17.3882
"24086",27.3184,2023.32,17.4049
"24087",27.3185,2023.62,17.4202
"24088",27.3186,2023.62,17.4324
"24089",27.3187,2023.77,17.4423
"24090",27.3188,2023.47,17.4507
"24091",27.3189,2023.32,17.4576
"24092",27.319,2023.62,17.4614
"24093",27.3191,2023.47,17.4652
"24094",27.3192,2023.93,17.4683
"24095",27.3193,2023.77,17.4713
"24096",27.3194,2023.62,17.4721
"24097",27.3195,2023.16,17.4744
"24098",27.3196,2023.16,17.4751
"24099",27.3197,2022.86,17.4751
"24100",27.3198,2022.55,17.4759
"24101",27.3199,2022.55,17.4767
"24102",27.32,2022.09,17.4767
"24103",27.3201,2022.25,17.4767
"24104",27.3202,2022.55,17.4767
"24105",27.3203,2022.86,17.4759
"24106",27.3204,2022.86,17.4759
"24107",27.3205,2022.71,17.4759
"24108",27.3206,2021.94,17.4759
"24109",27.3207,2022.25,17.4744
"24110",27.3208,2022.55,17.4744
"24111",27.3209,2022.71,17.4736
"24112",27.321,2022.55,17.4744
"24113",27.3211,2023.32,17.4744
"24114",27.3212,2023.16,17.4744
"24115",27.3213,2023.16,17.4736
"24116",27.3214,2022.86,17.4728
"24117",27.3215,2023.01,17.4736
"24118",27.3216,2022.86,17.4721
"24119",27.3217,2023.01,17.4721
"24120",27.3218,2022.71,17.4721
"24121",27.3219,2022.71,17.4713
"24122",27.322,2022.71,17.4706
"24123",27.3221,2022.55,17.4706
"24124",27.3222,2022.71,17.4706
"24125",27.3223,2022.86,17.4698
"24126",27.3224,2023.01,17.4713
"24127",27.3225,2023.01,17.4706
"24128",27.3226,2022.86,17.469
"24129",27.3227,2022.4,17.469
"24130",27.3228,2022.71,17.4675
"24131",27.3229,2022.55,17.4683
"24132",27.323,2022.86,17.4667
"24133",27.3231,2022.71,17.4667
"24134",27.3232,2022.55,17.4644
"24135",27.3233,2022.25,17.4622
"24136",27.3234,2022.55,17.4576
"24137",27.3235,2022.25,17.4515
"24138",27.3236,2022.09,17.4454
"24139",27.3237,2021.48,17.437
"24140",27.3238,2020.72,17.4271
"24141",27.3239,2021.03,17.4164
"24142",27.324,2020.72,17.4057
"24143",27.3241,2021.18,17.392
"24144",27.3242,2021.48,17.3775
"24145",27.3243,2021.33,17.3637
"24146",27.3244,2021.33,17.3477
"24147",27.3245,2021.33,17.3332
"24148",27.3246,2021.18,17.3164
"24149",27.3247,2021.79,17.2989
"24150",27.3248,2021.94,17.2806
"24151",27.3249,2022.09,17.263
"24152",27.325,2021.94,17.2455
