"","Saison","Spieltag","Datum","Anpfiff","Heim","Gast","Tore.Heim","Tore.Gast","Tore.Heim.Halbzeit","Tore.Gast.Halbzeit"
"2604","1971/1972",32,1972-06-03,"15:30","VfB Stuttgart","Borussia Dortmund",2,0,1,0
"2605","1971/1972",33,1972-06-23,"20:00","1. FC Koeln","MSV Duisburg",4,1,3,1
"2606","1971/1972",33,1972-06-23,"20:00","Rot-Weiss Oberhausen","Borussia Moenchengladbach",0,4,0,2
"2607","1971/1972",33,1972-06-24,"15:30","Hertha BSC Berlin","Arminia Bielefeld",1,1,1,1
"2608","1971/1972",33,1972-06-24,"15:30","Eintracht Braunschweig","1. FC Kaiserslautern",1,1,0,0
"2609","1971/1972",33,1972-06-24,"15:30","SV Werder Bremen","Hamburger SV",4,0,2,0
"2610","1971/1972",33,1972-06-24,"15:30","Borussia Dortmund","FC Bayern Muenchen",0,1,0,1
"2611","1971/1972",33,1972-06-24,"15:30","Fortuna Duesseldorf","VfL Bochum",3,1,3,1
"2612","1971/1972",33,1972-06-24,"15:30","Eintracht Frankfurt","Hannover 96",3,1,1,0
"2613","1971/1972",33,1972-06-24,"15:30","FC Schalke 04","VfB Stuttgart",2,1,1,1
"2614","1971/1972",34,1972-06-28,"15:30","Arminia Bielefeld","Eintracht Braunschweig",1,7,0,0
"2615","1971/1972",34,1972-06-28,"15:30","VfL Bochum","Hertha BSC Berlin",4,2,2,0
"2616","1971/1972",34,1972-06-28,"15:30","MSV Duisburg","Eintracht Frankfurt",0,1,0,0
"2617","1971/1972",34,1972-06-28,"15:30","Hamburger SV","1. FC Koeln",1,1,1,0
"2618","1971/1972",34,1972-06-28,"15:30","Hannover 96","Borussia Dortmund",2,3,1,2
"2619","1971/1972",34,1972-06-28,"15:30","1. FC Kaiserslautern","Rot-Weiss Oberhausen",0,0,0,0
"2620","1971/1972",34,1972-06-28,"15:30","Borussia Moenchengladbach","SV Werder Bremen",2,2,2,0
"2621","1971/1972",34,1972-06-28,"15:30","VfB Stuttgart","Fortuna Duesseldorf",3,1,1,1
"2622","1971/1972",34,1972-06-28,"20:00","FC Bayern Muenchen","FC Schalke 04",5,1,2,0
"2623","1972/1973",1,1972-09-16,"15:30","Hertha BSC Berlin","Fortuna Duesseldorf",2,3,1,2
"2624","1972/1973",1,1972-09-16,"15:30","Eintracht Braunschweig","VfL Bochum",0,2,0,2
"2625","1972/1973",1,1972-09-16,"15:30","SV Werder Bremen","Kickers Offenbach",0,0,0,0
"2626","1972/1973",1,1972-09-16,"15:30","Eintracht Frankfurt","Hamburger SV",2,1,0,1
"2627","1972/1973",1,1972-09-16,"15:30","Borussia Moenchengladbach","MSV Duisburg",4,3,1,1
"2628","1972/1973",1,1972-09-16,"15:30","Rot-Weiss Oberhausen","FC Bayern Muenchen",0,5,0,4
"2629","1972/1973",1,1972-09-16,"15:30","FC Schalke 04","Hannover 96",3,1,3,0
"2630","1972/1973",1,1972-09-16,"15:30","VfB Stuttgart","1. FC Koeln",3,1,2,1
"2631","1972/1973",1,1972-09-16,"15:30","Wuppertaler SV","1. FC Kaiserslautern",2,0,0,0
"2632","1972/1973",2,1972-09-20,"16:45","VfL Bochum","Hertha BSC Berlin",2,1,0,0
"2633","1972/1973",2,1972-09-20,"20:00","MSV Duisburg","VfB Stuttgart",0,1,0,0
"2634","1972/1973",2,1972-09-20,"20:00","Fortuna Duesseldorf","Wuppertaler SV",2,1,0,1
"2635","1972/1973",2,1972-09-20,"20:00","Hamburger SV","Borussia Moenchengladbach",1,3,1,2
"2636","1972/1973",2,1972-09-20,"20:00","Hannover 96","Eintracht Frankfurt",2,1,0,1
"2637","1972/1973",2,1972-09-20,"20:00","1. FC Kaiserslautern","FC Schalke 04",2,0,1,0
"2638","1972/1973",2,1972-09-20,"20:00","1. FC Koeln","Rot-Weiss Oberhausen",3,1,3,1
"2639","1972/1973",2,1972-09-20,"20:00","FC Bayern Muenchen","SV Werder Bremen",2,1,1,0
"2640","1972/1973",2,1972-09-20,"20:00","Kickers Offenbach","Eintracht Braunschweig",1,0,1,0
"2641","1972/1973",3,1972-09-23,"15:30","Hertha BSC Berlin","Kickers Offenbach",2,5,1,1
"2642","1972/1973",3,1972-09-23,"15:30","Eintracht Braunschweig","FC Bayern Muenchen",0,2,0,0
"2643","1972/1973",3,1972-09-23,"15:30","SV Werder Bremen","Rot-Weiss Oberhausen",1,0,1,0
"2644","1972/1973",3,1972-09-23,"15:30","MSV Duisburg","1. FC Koeln",1,1,0,0
"2645","1972/1973",3,1972-09-23,"15:30","Eintracht Frankfurt","1. FC Kaiserslautern",3,1,1,1
"2646","1972/1973",3,1972-09-23,"15:30","Borussia Moenchengladbach","Hannover 96",3,1,2,0
"2647","1972/1973",3,1972-09-23,"15:30","FC Schalke 04","Fortuna Duesseldorf",3,1,1,0
"2648","1972/1973",3,1972-09-23,"15:30","VfB Stuttgart","Hamburger SV",2,1,1,1
"2649","1972/1973",3,1972-09-23,"15:30","Wuppertaler SV","VfL Bochum",3,0,1,0
"2650","1972/1973",4,1972-09-29,"20:00","Rot-Weiss Oberhausen","Eintracht Braunschweig",0,1,0,0
"2651","1972/1973",4,1972-09-30,"15:30","VfL Bochum","FC Schalke 04",2,0,1,0
"2652","1972/1973",4,1972-09-30,"15:30","Fortuna Duesseldorf","Eintracht Frankfurt",2,2,1,2
"2653","1972/1973",4,1972-09-30,"15:30","Hamburger SV","MSV Duisburg",1,2,0,1
"2654","1972/1973",4,1972-09-30,"15:30","Hannover 96","VfB Stuttgart",3,1,2,1
"2655","1972/1973",4,1972-09-30,"15:30","1. FC Kaiserslautern","Borussia Moenchengladbach",3,1,0,0
"2656","1972/1973",4,1972-09-30,"15:30","1. FC Koeln","SV Werder Bremen",1,0,0,0
"2657","1972/1973",4,1972-09-30,"15:30","FC Bayern Muenchen","Hertha BSC Berlin",4,0,2,0
"2658","1972/1973",4,1972-09-30,"15:30","Kickers Offenbach","Wuppertaler SV",3,1,1,1
"2659","1972/1973",5,1972-10-03,"20:00","Eintracht Frankfurt","VfL Bochum",4,1,3,1
"2660","1972/1973",5,1972-10-04,"15:30","Hertha BSC Berlin","Rot-Weiss Oberhausen",3,1,1,1
"2661","1972/1973",5,1972-10-04,"15:30","Eintracht Braunschweig","SV Werder Bremen",1,0,0,0
"2662","1972/1973",5,1972-10-04,"15:30","MSV Duisburg","Hannover 96",3,1,2,1
"2663","1972/1973",5,1972-10-04,"15:30","Hamburger SV","1. FC Koeln",0,0,0,0
"2664","1972/1973",5,1972-10-04,"15:30","Borussia Moenchengladbach","Fortuna Duesseldorf",2,3,1,2
"2665","1972/1973",5,1972-10-04,"15:30","FC Schalke 04","Kickers Offenbach",6,1,4,1
"2666","1972/1973",5,1972-10-04,"15:30","VfB Stuttgart","1. FC Kaiserslautern",3,1,1,1
"2667","1972/1973",5,1972-10-04,"15:30","Wuppertaler SV","FC Bayern Muenchen",1,1,0,0
"2668","1972/1973",6,1972-10-07,"15:30","VfL Bochum","Borussia Moenchengladbach",3,0,1,0
"2669","1972/1973",6,1972-10-07,"15:30","SV Werder Bremen","Hertha BSC Berlin",1,1,1,1
"2670","1972/1973",6,1972-10-07,"15:30","Fortuna Duesseldorf","VfB Stuttgart",6,1,2,0
"2671","1972/1973",6,1972-10-07,"15:30","Hannover 96","Hamburger SV",3,2,1,0
"2672","1972/1973",6,1972-10-07,"15:30","1. FC Kaiserslautern","MSV Duisburg",0,0,0,0
"2673","1972/1973",6,1972-10-07,"15:30","1. FC Koeln","Eintracht Braunschweig",4,3,1,0
"2674","1972/1973",6,1972-10-07,"15:30","FC Bayern Muenchen","FC Schalke 04",5,0,3,0
"2675","1972/1973",6,1972-10-07,"15:30","Rot-Weiss Oberhausen","Wuppertaler SV",2,1,0,0
"2676","1972/1973",6,1972-10-07,"15:30","Kickers Offenbach","Eintracht Frankfurt",3,2,1,1
"2677","1972/1973",7,1972-10-14,"15:30","Hertha BSC Berlin","Eintracht Braunschweig",3,0,1,0
"2678","1972/1973",7,1972-10-14,"15:30","MSV Duisburg","Fortuna Duesseldorf",0,0,0,0
"2679","1972/1973",7,1972-10-14,"15:30","Eintracht Frankfurt","FC Bayern Muenchen",2,1,0,0
"2680","1972/1973",7,1972-10-14,"15:30","Hamburger SV","1. FC Kaiserslautern",2,2,1,0
"2681","1972/1973",7,1972-10-14,"15:30","Hannover 96","1. FC Koeln",0,0,0,0
"2682","1972/1973",7,1972-10-14,"15:30","Borussia Moenchengladbach","Kickers Offenbach",3,2,2,2
"2683","1972/1973",7,1972-10-14,"15:30","FC Schalke 04","Rot-Weiss Oberhausen",3,0,1,0
"2684","1972/1973",7,1972-10-14,"15:30","VfB Stuttgart","VfL Bochum",4,0,2,0
"2685","1972/1973",7,1972-10-14,"15:30","Wuppertaler SV","SV Werder Bremen",1,1,1,1
"2686","1972/1973",8,1972-10-21,"15:30","VfL Bochum","MSV Duisburg",2,1,1,0
"2687","1972/1973",8,1972-10-21,"15:30","Eintracht Braunschweig","Wuppertaler SV",0,1,0,0
"2688","1972/1973",8,1972-10-21,"15:30","SV Werder Bremen","FC Schalke 04",2,0,1,0
"2689","1972/1973",8,1972-10-21,"15:30","Fortuna Duesseldorf","Hamburger SV",2,2,2,2
"2690","1972/1973",8,1972-10-21,"15:30","1. FC Kaiserslautern","Hannover 96",2,1,1,1
"2691","1972/1973",8,1972-10-21,"15:30","1. FC Koeln","Hertha BSC Berlin",4,0,1,0
"2692","1972/1973",8,1972-10-21,"15:30","FC Bayern Muenchen","Borussia Moenchengladbach",3,0,1,0
"2693","1972/1973",8,1972-10-21,"15:30","Rot-Weiss Oberhausen","Eintracht Frankfurt",1,0,0,0
"2694","1972/1973",8,1972-10-21,"15:30","Kickers Offenbach","VfB Stuttgart",1,3,1,3
"2695","1972/1973",9,1972-10-27,"20:00","MSV Duisburg","Kickers Offenbach",4,0,2,0
"2696","1972/1973",9,1972-10-28,"15:00","Borussia Moenchengladbach","Rot-Weiss Oberhausen",4,1,3,0
"2697","1972/1973",9,1972-10-28,"15:30","Eintracht Frankfurt","SV Werder Bremen",2,2,1,1
"2698","1972/1973",9,1972-10-28,"15:30","Hamburger SV","VfL Bochum",2,1,1,0
"2699","1972/1973",9,1972-10-28,"15:30","Hannover 96","Fortuna Duesseldorf",2,2,0,1
"2700","1972/1973",9,1972-10-28,"15:30","1. FC Kaiserslautern","1. FC Koeln",2,1,0,0
"2701","1972/1973",9,1972-10-28,"15:30","FC Schalke 04","Eintracht Braunschweig",0,1,0,1
"2702","1972/1973",9,1972-10-28,"15:30","VfB Stuttgart","FC Bayern Muenchen",0,1,0,1
"2703","1972/1973",9,1972-10-28,"15:30","Wuppertaler SV","Hertha BSC Berlin",4,1,3,0
"2704","1972/1973",10,1972-10-31,"20:00","VfL Bochum","Hannover 96",2,0,0,0
"2705","1972/1973",10,1972-10-31,"20:00","Fortuna Duesseldorf","1. FC Kaiserslautern",2,1,2,0
"2706","1972/1973",10,1972-10-31,"20:00","1. FC Koeln","Wuppertaler SV",1,1,0,0
"2707","1972/1973",10,1972-10-31,"20:00","FC Bayern Muenchen","MSV Duisburg",2,0,1,0
"2708","1972/1973",10,1972-10-31,"20:00","Rot-Weiss Oberhausen","VfB Stuttgart",2,2,0,1
"2709","1972/1973",10,1972-10-31,"20:00","Kickers Offenbach","Hamburger SV",2,1,1,0
"2710","1972/1973",10,1972-11-01,"20:00","Hertha BSC Berlin","FC Schalke 04",3,0,2,0
"2711","1972/1973",10,1972-11-28,"20:00","Eintracht Braunschweig","Eintracht Frankfurt",2,1,1,0
"2712","1972/1973",10,1972-12-13,"20:00","SV Werder Bremen","Borussia Moenchengladbach",1,1,1,1
"2713","1972/1973",11,1972-11-04,"14:30","Borussia Moenchengladbach","Eintracht Braunschweig",4,0,2,0
"2714","1972/1973",11,1972-11-04,"15:30","MSV Duisburg","Rot-Weiss Oberhausen",4,1,0,0
"2715","1972/1973",11,1972-11-04,"15:30","Fortuna Duesseldorf","1. FC Koeln",3,2,2,0
"2716","1972/1973",11,1972-11-04,"15:30","Eintracht Frankfurt","Hertha BSC Berlin",2,2,0,0
"2717","1972/1973",11,1972-11-04,"15:30","Hamburger SV","FC Bayern Muenchen",0,2,0,0
"2718","1972/1973",11,1972-11-04,"15:30","Hannover 96","Kickers Offenbach",1,1,1,0
"2719","1972/1973",11,1972-11-04,"15:30","1. FC Kaiserslautern","VfL Bochum",2,2,1,0
"2720","1972/1973",11,1972-11-04,"15:30","FC Schalke 04","Wuppertaler SV",1,2,0,2
"2721","1972/1973",11,1972-11-04,"15:30","VfB Stuttgart","SV Werder Bremen",2,1,0,1
"2722","1972/1973",12,1972-11-11,"15:30","Hertha BSC Berlin","Borussia Moenchengladbach",3,1,2,1
"2723","1972/1973",12,1972-11-11,"15:30","VfL Bochum","Fortuna Duesseldorf",2,2,1,1
"2724","1972/1973",12,1972-11-11,"15:30","Eintracht Braunschweig","VfB Stuttgart",1,0,1,0
"2725","1972/1973",12,1972-11-11,"15:30","SV Werder Bremen","MSV Duisburg",0,2,0,1
"2726","1972/1973",12,1972-11-11,"15:30","1. FC Koeln","FC Schalke 04",3,0,3,0
"2727","1972/1973",12,1972-11-11,"15:30","FC Bayern Muenchen","Hannover 96",7,2,2,2
"2728","1972/1973",12,1972-11-11,"15:30","Rot-Weiss Oberhausen","Hamburger SV",3,1,2,1
"2729","1972/1973",12,1972-11-11,"15:30","Kickers Offenbach","1. FC Kaiserslautern",2,2,1,1
"2730","1972/1973",12,1972-11-11,"15:30","Wuppertaler SV","Eintracht Frankfurt",1,0,0,0
"2731","1972/1973",13,1972-11-17,"20:00","VfL Bochum","1. FC Koeln",2,4,0,1
"2732","1972/1973",13,1972-11-18,"15:30","MSV Duisburg","Eintracht Braunschweig",3,2,2,2
"2733","1972/1973",13,1972-11-18,"15:30","Fortuna Duesseldorf","Kickers Offenbach",2,0,2,0
"2734","1972/1973",13,1972-11-18,"15:30","Eintracht Frankfurt","FC Schalke 04",4,2,1,1
"2735","1972/1973",13,1972-11-18,"15:30","Hamburger SV","SV Werder Bremen",2,2,2,0
"2736","1972/1973",13,1972-11-18,"15:30","Hannover 96","Rot-Weiss Oberhausen",3,2,2,1
"2737","1972/1973",13,1972-11-18,"15:30","1. FC Kaiserslautern","FC Bayern Muenchen",3,1,2,0
"2738","1972/1973",13,1972-11-18,"15:30","Borussia Moenchengladbach","Wuppertaler SV",2,1,1,0
"2739","1972/1973",13,1972-11-18,"15:30","VfB Stuttgart","Hertha BSC Berlin",4,0,2,0
"2740","1972/1973",14,1972-11-21,"19:30","Hertha BSC Berlin","MSV Duisburg",0,0,0,0
"2741","1972/1973",14,1972-11-21,"19:30","Wuppertaler SV","VfB Stuttgart",4,0,3,0
"2742","1972/1973",14,1972-11-21,"20:00","1. FC Koeln","Eintracht Frankfurt",3,1,1,0
"2743","1972/1973",14,1972-11-21,"20:00","FC Bayern Muenchen","Fortuna Duesseldorf",3,2,0,0
"2744","1972/1973",14,1972-11-21,"20:00","FC Schalke 04","Borussia Moenchengladbach",2,2,2,1
"2745","1972/1973",14,1972-11-22,"15:00","Eintracht Braunschweig","Hamburger SV",1,1,0,1
"2746","1972/1973",14,1972-11-22,"15:00","SV Werder Bremen","Hannover 96",3,1,2,0
"2747","1972/1973",14,1972-11-22,"15:30","Kickers Offenbach","VfL Bochum",4,0,1,0
"2748","1972/1973",14,1972-12-23,"15:30","Rot-Weiss Oberhausen","1. FC Kaiserslautern",3,1,1,0
"2749","1972/1973",15,1972-11-25,"15:30","VfL Bochum","FC Bayern Muenchen",0,2,0,1
"2750","1972/1973",15,1972-11-25,"15:30","MSV Duisburg","Wuppertaler SV",0,0,0,0
"2751","1972/1973",15,1972-11-25,"15:30","Fortuna Duesseldorf","Rot-Weiss Oberhausen",3,1,1,1
"2752","1972/1973",15,1972-11-25,"15:30","Eintracht Frankfurt","Borussia Moenchengladbach",3,0,1,0
"2753","1972/1973",15,1972-11-25,"15:30","Hamburger SV","Hertha BSC Berlin",4,0,1,0
"2754","1972/1973",15,1972-11-25,"15:30","Hannover 96","Eintracht Braunschweig",2,1,0,1
"2755","1972/1973",15,1972-11-25,"15:30","1. FC Kaiserslautern","SV Werder Bremen",3,1,1,0
"2756","1972/1973",15,1972-11-25,"15:30","1. FC Koeln","Kickers Offenbach",1,1,1,1
"2757","1972/1973",15,1972-11-25,"15:30","VfB Stuttgart","FC Schalke 04",6,2,4,2
"2758","1972/1973",16,1972-12-01,"20:00","Rot-Weiss Oberhausen","VfL Bochum",1,1,0,1
"2759","1972/1973",16,1972-12-02,"15:30","Hertha BSC Berlin","Hannover 96",2,1,2,0
"2760","1972/1973",16,1972-12-02,"15:30","Eintracht Braunschweig","1. FC Kaiserslautern",0,0,0,0
"2761","1972/1973",16,1972-12-02,"15:30","SV Werder Bremen","Fortuna Duesseldorf",1,3,0,0
"2762","1972/1973",16,1972-12-02,"15:30","Eintracht Frankfurt","VfB Stuttgart",2,1,2,1
"2763","1972/1973",16,1972-12-02,"15:30","Borussia Moenchengladbach","1. FC Koeln",5,2,3,0
"2764","1972/1973",16,1972-12-02,"15:30","FC Bayern Muenchen","Kickers Offenbach",3,1,0,0
"2765","1972/1973",16,1972-12-02,"15:30","FC Schalke 04","MSV Duisburg",1,1,1,0
"2766","1972/1973",16,1972-12-02,"15:30","Wuppertaler SV","Hamburger SV",5,1,2,0
"2767","1972/1973",17,1972-12-15,"20:00","VfL Bochum","SV Werder Bremen",2,0,1,0
"2768","1972/1973",17,1972-12-16,"15:30","MSV Duisburg","Eintracht Frankfurt",2,1,1,0
"2769","1972/1973",17,1972-12-16,"15:30","Fortuna Duesseldorf","Eintracht Braunschweig",2,0,0,0
"2770","1972/1973",17,1972-12-16,"15:30","Hamburger SV","FC Schalke 04",0,1,0,1
"2771","1972/1973",17,1972-12-16,"15:30","Hannover 96","Wuppertaler SV",1,1,1,1
"2772","1972/1973",17,1972-12-16,"15:30","1. FC Kaiserslautern","Hertha BSC Berlin",2,2,0,1
"2773","1972/1973",17,1972-12-16,"15:30","1. FC Koeln","FC Bayern Muenchen",2,1,1,1
"2774","1972/1973",17,1972-12-16,"15:30","Kickers Offenbach","Rot-Weiss Oberhausen",4,0,1,0
"2775","1972/1973",17,1972-12-16,"15:30","VfB Stuttgart","Borussia Moenchengladbach",3,0,1,0
"2776","1972/1973",18,1973-01-20,"15:30","VfL Bochum","Eintracht Braunschweig",2,2,0,1
"2777","1972/1973",18,1973-01-20,"15:30","MSV Duisburg","Borussia Moenchengladbach",2,2,1,2
"2778","1972/1973",18,1973-01-20,"15:30","Fortuna Duesseldorf","Hertha BSC Berlin",3,1,2,0
"2779","1972/1973",18,1973-01-20,"15:30","Hamburger SV","Eintracht Frankfurt",3,1,2,0
"2780","1972/1973",18,1973-01-20,"15:30","Hannover 96","FC Schalke 04",1,0,1,0
"2781","1972/1973",18,1973-01-20,"15:30","1. FC Kaiserslautern","Wuppertaler SV",1,1,1,1
"2782","1972/1973",18,1973-01-20,"15:30","1. FC Koeln","VfB Stuttgart",5,1,0,1
"2783","1972/1973",18,1973-01-20,"15:30","FC Bayern Muenchen","Rot-Weiss Oberhausen",5,3,3,0
"2784","1972/1973",18,1973-01-20,"15:30","Kickers Offenbach","SV Werder Bremen",2,1,1,0
"2785","1972/1973",19,1973-01-27,"15:30","Eintracht Braunschweig","Kickers Offenbach",2,2,0,1
"2786","1972/1973",19,1973-01-27,"15:30","SV Werder Bremen","FC Bayern Muenchen",1,0,0,0
"2787","1972/1973",19,1973-01-27,"15:30","Borussia Moenchengladbach","Hamburger SV",6,1,2,1
"2788","1972/1973",19,1973-01-27,"15:30","Rot-Weiss Oberhausen","1. FC Koeln",2,2,0,1
"2789","1972/1973",19,1973-01-27,"15:30","FC Schalke 04","1. FC Kaiserslautern",2,2,2,0
"2790","1972/1973",19,1973-01-27,"15:30","VfB Stuttgart","MSV Duisburg",3,4,1,2
"2791","1972/1973",19,1973-04-13,"20:00","Eintracht Frankfurt","Hannover 96",2,0,0,0
"2792","1972/1973",19,1973-04-14,"15:30","Wuppertaler SV","Fortuna Duesseldorf",1,1,1,1
"2793","1972/1973",19,1973-04-21,"15:30","Hertha BSC Berlin","VfL Bochum",2,0,1,0
"2794","1972/1973",20,1973-02-02,"20:00","1. FC Koeln","MSV Duisburg",3,1,2,1
"2795","1972/1973",20,1973-02-03,"15:30","VfL Bochum","Wuppertaler SV",2,2,2,1
"2796","1972/1973",20,1973-02-03,"15:30","Fortuna Duesseldorf","FC Schalke 04",1,1,0,0
"2797","1972/1973",20,1973-02-03,"15:30","Hamburger SV","VfB Stuttgart",2,0,1,0
"2798","1972/1973",20,1973-02-03,"15:30","Hannover 96","Borussia Moenchengladbach",1,2,0,1
"2799","1972/1973",20,1973-02-03,"15:30","1. FC Kaiserslautern","Eintracht Frankfurt",0,1,0,1
"2800","1972/1973",20,1973-02-03,"15:30","FC Bayern Muenchen","Eintracht Braunschweig",3,0,1,0
"2801","1972/1973",20,1973-02-03,"15:30","Rot-Weiss Oberhausen","SV Werder Bremen",2,3,1,2
"2802","1972/1973",20,1973-02-03,"15:30","Kickers Offenbach","Hertha BSC Berlin",0,0,0,0
"2803","1972/1973",21,1973-02-10,"15:30","Hertha BSC Berlin","FC Bayern Muenchen",2,5,0,2
"2804","1972/1973",21,1973-02-10,"15:30","Eintracht Braunschweig","Rot-Weiss Oberhausen",3,1,1,0
"2805","1972/1973",21,1973-02-10,"15:30","MSV Duisburg","Hamburger SV",3,0,2,0
"2806","1972/1973",21,1973-02-10,"15:30","Eintracht Frankfurt","Fortuna Duesseldorf",2,1,2,0
"2807","1972/1973",21,1973-02-10,"15:30","Borussia Moenchengladbach","1. FC Kaiserslautern",6,2,0,0
"2808","1972/1973",21,1973-02-10,"15:30","FC Schalke 04","VfL Bochum",2,0,1,0
"2809","1972/1973",21,1973-02-10,"15:30","VfB Stuttgart","Hannover 96",2,0,0,0
"2810","1972/1973",21,1973-02-10,"15:30","Wuppertaler SV","Kickers Offenbach",4,3,2,2
"2811","1972/1973",21,1973-03-20,"20:00","SV Werder Bremen","1. FC Koeln",2,1,2,1
"2812","1972/1973",22,1973-02-17,"15:30","VfL Bochum","Eintracht Frankfurt",2,1,0,0
"2813","1972/1973",22,1973-02-17,"15:30","SV Werder Bremen","Eintracht Braunschweig",4,2,2,0
"2814","1972/1973",22,1973-02-17,"15:30","Fortuna Duesseldorf","Borussia Moenchengladbach",1,3,1,1
"2815","1972/1973",22,1973-02-17,"15:30","Hannover 96","MSV Duisburg",3,3,3,2
"2816","1972/1973",22,1973-02-17,"15:30","1. FC Kaiserslautern","VfB Stuttgart",2,1,1,1
"2817","1972/1973",22,1973-02-17,"15:30","1. FC Koeln","Hamburger SV",2,1,1,0
"2818","1972/1973",22,1973-02-17,"15:30","FC Bayern Muenchen","Wuppertaler SV",4,1,2,1
"2819","1972/1973",22,1973-02-17,"15:30","Rot-Weiss Oberhausen","Hertha BSC Berlin",2,1,1,0
"2820","1972/1973",22,1973-02-17,"15:30","Kickers Offenbach","FC Schalke 04",2,0,1,0
"2821","1972/1973",23,1973-02-23,"20:00","MSV Duisburg","1. FC Kaiserslautern",3,4,1,3
"2822","1972/1973",23,1973-02-23,"20:00","Borussia Moenchengladbach","VfL Bochum",6,0,2,0
"2823","1972/1973",23,1973-02-24,"15:30","Hertha BSC Berlin","SV Werder Bremen",2,1,0,0
"2824","1972/1973",23,1973-02-24,"15:30","Eintracht Braunschweig","1. FC Koeln",2,0,0,0
"2825","1972/1973",23,1973-02-24,"15:30","Eintracht Frankfurt","Kickers Offenbach",0,3,0,1
"2826","1972/1973",23,1973-02-24,"15:30","Hamburger SV","Hannover 96",2,0,2,0
"2827","1972/1973",23,1973-02-24,"15:30","FC Schalke 04","FC Bayern Muenchen",1,1,0,0
"2828","1972/1973",23,1973-02-24,"15:30","VfB Stuttgart","Fortuna Duesseldorf",2,2,2,1
"2829","1972/1973",23,1973-02-24,"15:30","Wuppertaler SV","Rot-Weiss Oberhausen",3,1,1,1
"2830","1972/1973",24,1973-03-09,"20:00","1. FC Kaiserslautern","Hamburger SV",2,2,2,1
"2831","1972/1973",24,1973-03-10,"15:30","VfL Bochum","VfB Stuttgart",3,1,1,0
"2832","1972/1973",24,1973-03-10,"15:30","Eintracht Braunschweig","Hertha BSC Berlin",2,1,2,1
"2833","1972/1973",24,1973-03-10,"15:30","SV Werder Bremen","Wuppertaler SV",0,1,0,0
"2834","1972/1973",24,1973-03-10,"15:30","Fortuna Duesseldorf","MSV Duisburg",2,1,1,0
"2835","1972/1973",24,1973-03-10,"15:30","1. FC Koeln","Hannover 96",3,3,1,2
"2836","1972/1973",24,1973-03-10,"15:30","FC Bayern Muenchen","Eintracht Frankfurt",3,1,1,1
"2837","1972/1973",24,1973-03-10,"15:30","Rot-Weiss Oberhausen","FC Schalke 04",2,1,1,0
"2838","1972/1973",24,1973-03-10,"15:30","Kickers Offenbach","Borussia Moenchengladbach",2,1,1,0
"2839","1972/1973",25,1973-03-17,"15:30","Hertha BSC Berlin","1. FC Koeln",1,1,1,1
"2840","1972/1973",25,1973-03-17,"15:30","MSV Duisburg","VfL Bochum",0,1,0,0
"2841","1972/1973",25,1973-03-17,"15:30","Eintracht Frankfurt","Rot-Weiss Oberhausen",2,1,1,0
"2842","1972/1973",25,1973-03-17,"15:30","Hamburger SV","Fortuna Duesseldorf",2,1,1,1
"2843","1972/1973",25,1973-03-17,"15:30","Hannover 96","1. FC Kaiserslautern",2,3,2,0
"2844","1972/1973",25,1973-03-17,"15:30","Borussia Moenchengladbach","FC Bayern Muenchen",0,3,0,2
"2845","1972/1973",25,1973-03-17,"15:30","FC Schalke 04","SV Werder Bremen",1,2,0,0
"2846","1972/1973",25,1973-03-17,"15:30","VfB Stuttgart","Kickers Offenbach",4,2,1,0
"2847","1972/1973",25,1973-03-17,"15:30","Wuppertaler SV","Eintracht Braunschweig",2,1,1,0
"2848","1972/1973",26,1973-03-24,"15:30","Hertha BSC Berlin","Wuppertaler SV",0,1,0,1
"2849","1972/1973",26,1973-03-24,"15:30","VfL Bochum","Hamburger SV",3,3,1,0
"2850","1972/1973",26,1973-03-24,"15:30","Eintracht Braunschweig","FC Schalke 04",1,1,0,0
"2851","1972/1973",26,1973-03-24,"15:30","SV Werder Bremen","Eintracht Frankfurt",2,0,1,0
"2852","1972/1973",26,1973-03-24,"15:30","Fortuna Duesseldorf","Hannover 96",0,1,0,1
"2853","1972/1973",26,1973-03-24,"15:30","1. FC Koeln","1. FC Kaiserslautern",2,0,1,0
"2854","1972/1973",26,1973-03-24,"15:30","FC Bayern Muenchen","VfB Stuttgart",5,1,2,0
"2855","1972/1973",26,1973-03-24,"15:30","Rot-Weiss Oberhausen","Borussia Moenchengladbach",1,3,1,1
"2856","1972/1973",26,1973-03-24,"15:30","Kickers Offenbach","MSV Duisburg",4,1,2,1
"2857","1972/1973",27,1973-03-31,"15:30","MSV Duisburg","FC Bayern Muenchen",2,0,1,0
"2858","1972/1973",27,1973-03-31,"15:30","Eintracht Frankfurt","Eintracht Braunschweig",1,0,0,0
"2859","1972/1973",27,1973-03-31,"15:30","Hamburger SV","Kickers Offenbach",1,0,0,0
"2860","1972/1973",27,1973-03-31,"15:30","Hannover 96","VfL Bochum",1,1,0,0
"2861","1972/1973",27,1973-03-31,"15:30","1. FC Kaiserslautern","Fortuna Duesseldorf",1,1,1,0
"2862","1972/1973",27,1973-03-31,"15:30","Borussia Moenchengladbach","SV Werder Bremen",3,1,2,0
"2863","1972/1973",27,1973-03-31,"15:30","FC Schalke 04","Hertha BSC Berlin",1,1,0,0
