"","county","population","top","second","third"
"795","iowa,bremer",23325,"German","American","Irish"
"796","iowa,buchanan",21093,"German","Irish","American"
"797","iowa,buena vista",20411,"German","Swedish","American"
"798","iowa,butler",15305,"German","American","English"
"799","iowa,calhoun",11115,"German","Irish","American"
"800","iowa,carroll",21421,"German","American","Irish"
"801","iowa,cass",14684,"German","Danish","English"
"802","iowa,cedar",18187,"German","American","Irish"
"803","iowa,cerro gordo",46447,"German","Norwegian","Irish"
"804","iowa,cherokee",13035,"German","American","Swedish"
"805","iowa,chickasaw",13095,"German","Irish","Norwegian"
"806","iowa,clarke",9133,"German","American","English"
"807","iowa,clay",17372,"German","Norwegian","Irish"
"808","iowa,clayton",18678,"German","Norwegian","Irish"
"809","iowa,clinton",50149,"German","Irish","American"
"810","iowa,crawford",16942,"German","American","Irish"
"811","iowa,dallas",40750,"German","Irish","American"
"812","iowa,davis",8541,"German","American","English"
"813","iowa,decatur",8689,"German","American","English"
"814","iowa,delaware",18404,"German","American","Irish"
"815","iowa,des moines",42351,"German","American","Irish"
"816","iowa,dickinson",16424,"German","Norwegian","Irish"
"817","iowa,dubuque",89143,"German","Irish","American"
"818","iowa,emmet",11027,"German","Norwegian","Irish"
"819","iowa,fayette",22008,"German","Norwegian","Irish"
"820","iowa,floyd",16900,"German","Irish","American"
"821","iowa,franklin",10704,"German","Norwegian","English"
"822","iowa,fremont",8010,"German","American","Irish"
"823","iowa,greene",10366,"German","American","Irish"
"824","iowa,grundy",12369,"German","American","Irish"
"825","iowa,guthrie",11353,"German","English","American"
"826","iowa,hamilton",16438,"German","Norwegian","Irish"
"827","iowa,hancock",12100,"German","Norwegian","American"
"828","iowa,hardin",18812,"German","Norwegian","English"
"829","iowa,harrison",15666,"German","Irish","English"
"830","iowa,henry",20336,"German","American","Irish"
"831","iowa,howard",9932,"German","Norwegian","Czech"
"832","iowa,humboldt",10381,"German","Norwegian","Irish"
"833","iowa,ida",7837,"German","American","Irish"
"834","iowa,iowa",15671,"German","Irish","American"
"835","iowa,jackson",20296,"German","American","Irish"
"836","iowa,jasper",37213,"German","Dutch","American"
"837","iowa,jefferson",16181,"German","American","English"
"838","iowa,johnson",111006,"German","Irish","English"
"839","iowa,jones",20221,"German","Irish","American"
"840","iowa,keokuk",11400,"German","American","English"
"841","iowa,kossuth",17163,"German","Norwegian","Irish"
"842","iowa,lee",38052,"German","American","Irish"
"843","iowa,linn",191701,"German","Irish","English"
"844","iowa,louisa",12183,"German","American","Irish"
"845","iowa,lucas",9422,"German","English","American"
"846","iowa,lyon",11763,"German","Dutch","Norwegian"
"847","iowa,madison",14019,"German","American","Irish"
"848","iowa,mahaska",22335,"Dutch","German","American"
"849","iowa,marion",32052,"Dutch","German","American"
"850","iowa,marshall",39311,"German","American","English"
"851","iowa,mills",14547,"German","English","Irish"
"852","iowa,mitchell",10874,"German","Norwegian","English"
"853","iowa,monona",10020,"German","Irish","English"
"854","iowa,monroe",8016,"German","Irish","English"
"855","iowa,montgomery",11771,"German","Swedish","English"
"856","iowa,muscatine",41722,"German","American","English"
"857","iowa,o'brien",15102,"German","Dutch","American"
"858","iowa,osceola",7003,"German","Dutch","American"
"859","iowa,page",16976,"German","American","Irish"
"860","iowa,palo alto",10147,"German","Norwegian","Irish"
"861","iowa,plymouth",24849,"German","American","Irish"
"862","iowa,pocahontas",8662,"German","Irish","American"
"863","iowa,polk",374601,"German","Irish","English"
"864","iowa,pottawattamie",87704,"German","Irish","English"
"865","iowa,poweshiek",18815,"German","Irish","American"
"866","iowa,ringgold",5469,"German","American","English"
"867","iowa,sac",11529,"German","American","English"
"868","iowa,scott",158668,"German","Irish","American"
"869","iowa,shelby",13173,"German","Danish","American"
"870","iowa,sioux",31589,"Dutch","German","American"
"871","iowa,story",79981,"German","Norwegian","Irish"
"872","iowa,tama",18103,"German","Czech","American"
"873","iowa,taylor",6958,"German","English","Irish"
"874","iowa,union",12309,"German","American","English"
"875","iowa,van buren",7809,"American","German","English"
"876","iowa,wapello",36051,"German","American","English"
"877","iowa,warren",40671,"German","American","English"
"878","iowa,washington",20670,"German","American","Irish"
"879","iowa,wayne",6730,"German","English","American"
"880","iowa,webster",40235,"German","Irish","Norwegian"
"881","iowa,winnebago",11723,"Norwegian","German","Irish"
"882","iowa,winneshiek",21310,"German","Norwegian","Irish"
"883","iowa,woodbury",103877,"German","Irish","English"
"884","iowa,worth",7909,"Norwegian","German","Irish"
"885","iowa,wright",14334,"German","Norwegian","American"
"886","kansas,allen",14385,"German","American","English"
"887","kansas,anderson",8110,"German","American","English"
"888","kansas,atchison",16774,"German","American","Irish"
"889","kansas,barber",5307,"German","American","English"
"890","kansas,barton",28205,"German","American","English"
"891","kansas,bourbon",15379,"German","American","English"
"892","kansas,brown",10724,"German","English","American"
"893","kansas,butler",59482,"German","American","English"
"894","kansas,chase",3030,"German","American","English"
"895","kansas,chautauqua",4359,"American","German","English"
"896","kansas,cherokee",22605,"American","German","English"
"897","kansas,cheyenne",3165,"German","English","American"
"898","kansas,clark",2390,"German","American","English"
"899","kansas,clay",8822,"German","American","English"
"900","kansas,cloud",10268,"German","French (except Basque)","English"
"901","kansas,coffey",8865,"German","American","English"
"902","kansas,comanche",1967,"German","American","English"
"903","kansas,cowley",36291,"German","American","English"
"904","kansas,crawford",38242,"German","American","English"
"905","kansas,decatur",3472,"German","American","English"
"906","kansas,dickinson",19344,"German","American","Irish"
"907","kansas,doniphan",8249,"German","American","Irish"
"908","kansas,douglas",99962,"German","English","Irish"
"909","kansas,edwards",3449,"German","American","English"
"910","kansas,elk",3261,"German","American","English"
"911","kansas,ellis",27507,"German","American","Irish"
"912","kansas,ellsworth",6525,"German","Czech","American"
"913","kansas,finney",40523,"German","American","English"
"914","kansas,ford",32458,"German","American","English"
"915","kansas,franklin",24784,"German","American","English"
"916","kansas,geary",27947,"German","American","Irish"
"917","kansas,gove",3068,"German","American","English"
"918","kansas,graham",2946,"German","American","English"
"919","kansas,grant",7909,"American","German","English"
"920","kansas,gray",5904,"German","American","Dutch"
"921","kansas,greeley",1534,"German","American","English"
"922","kansas,greenwood",7673,"German","American","English"
"923","kansas,hamilton",2670,"German","English","American"
"924","kansas,harper",6536,"German","American","English"
"925","kansas,harvey",32869,"German","American","English"
"926","kansas,haskell",4307,"German","American","English"
"927","kansas,hodgeman",2085,"German","American","English"
"928","kansas,jackson",12657,"German","American","Irish"
"929","kansas,jefferson",18426,"German","American","English"
"930","kansas,jewell",3791,"German","American","English"
"931","kansas,johnson",451086,"German","Irish","English"
"932","kansas,kearny",4531,"German","American","English"
"933","kansas,kingman",8673,"German","American","English"
"934","kansas,kiowa",3278,"German","American","English"
"935","kansas,labette",22835,"American","German","English"
"936","kansas,lane",2155,"German","English","American"
"937","kansas,leavenworth",68691,"German","Irish","American"
"938","kansas,lincoln",3578,"German","American","English"
"939","kansas,linn",9570,"German","American","English"
"940","kansas,logan",3046,"German","American","Irish"
"941","kansas,lyon",35935,"German","American","English"
"942","kansas,mcpherson",29554,"German","Swedish","American"
"943","kansas,marion",13361,"German","American","English"
"944","kansas,marshall",10965,"German","American","English"
"945","kansas,meade",4631,"German","American","English"
"946","kansas,miami",28351,"German","American","English"
"947","kansas,mitchell",6932,"German","American","English"
"948","kansas,montgomery",36252,"American","German","English"
"949","kansas,morris",6104,"German","American","English"
"950","kansas,morton",3496,"American","German","Irish"
"951","kansas,nemaha",10717,"German","American","Irish"
"952","kansas,neosho",16997,"German","American","English"
"953","kansas,ness",3454,"German","English","American"
"954","kansas,norton",5953,"German","English","American"
"955","kansas,osage",16712,"German","American","Irish"
"956","kansas,osborne",4452,"German","American","English"
"957","kansas,ottawa",6163,"German","English","American"
"958","kansas,pawnee",7233,"German","English","American"
"959","kansas,phillips",6001,"German","American","English"
"960","kansas,pottawatomie",18209,"German","American","Irish"
"961","kansas,pratt",9647,"German","American","English"
"962","kansas,rawlins",2966,"German","American","English"
"963","kansas,reno",64790,"German","American","English"
"964","kansas,republic",5835,"German","Swedish","Czech"
"965","kansas,rice",10761,"German","American","English"
"966","kansas,riley",62843,"German","Irish","English"
"967","kansas,rooks",5685,"German","American","Irish"
"968","kansas,rush",3551,"German","American","English"
"969","kansas,russell",7370,"German","Irish","English"
"970","kansas,saline",53597,"German","American","English"
"971","kansas,scott",5120,"German","American","English"
"972","kansas,sedgwick",452869,"German","American","English"
"973","kansas,seward",22510,"German","American","Irish"
"974","kansas,shawnee",169871,"German","English","American"
"975","kansas,sheridan",2813,"German","American","English"
"976","kansas,sherman",6760,"German","American","Irish"
"977","kansas,smith",4536,"German","English","American"
"978","kansas,stafford",4789,"German","English","American"
"979","kansas,stanton",2406,"American","German","English"
"980","kansas,stevens",5463,"German","American","English"
"981","kansas,sumner",25946,"German","American","English"
"982","kansas,thomas",8180,"German","English","American"
"983","kansas,trego",3319,"German","American","English"
"984","kansas,wabaunsee",6885,"German","American","English"
"985","kansas,wallace",1749,"German","American","English"
"986","kansas,washington",6483,"German","American","English"
"987","kansas,wichita",2531,"German","American","English"
"988","kansas,wilson",10332,"German","American","English"
"989","kansas,woodson",3788,"American","German","English"
"990","kansas,wyandotte",157882,"German","American","Irish"
"991","kentucky,adair",17244,"American","Irish","English"
"992","kentucky,allen",17800,"American","English","Irish"
"993","kentucky,anderson",19111,"American","Irish","German"
"994","kentucky,ballard",8286,"American","English","Irish"
"995","kentucky,barren",38033,"American","English","German"
"996","kentucky,bath",11085,"American","Irish","English"
"997","kentucky,bell",30060,"American","English","Irish"
"998","kentucky,boone",85991,"German","American","Irish"
"999","kentucky,bourbon",19360,"American","English","German"
"1000","kentucky,boyd",49752,"American","English","Irish"
"1001","kentucky,boyle",27697,"American","English","Irish"
"1002","kentucky,bracken",8279,"American","German","English"
"1003","kentucky,breathitt",16100,"American","English","Irish"
"1004","kentucky,breckinridge",18648,"American","Irish","English"
"1005","kentucky,bullitt",61236,"American","German","Irish"
"1006","kentucky,butler",13010,"American","English","Irish"
"1007","kentucky,caldwell",13060,"American","English","Irish"
"1008","kentucky,calloway",34177,"American","English","Irish"
"1009","kentucky,campbell",88616,"German","American","Irish"
"1010","kentucky,carlisle",5351,"American","English","Irish"
"1011","kentucky,carroll",10155,"American","German","English"
"1012","kentucky,carter",26889,"American","English","Irish"
"1013","kentucky,casey",15447,"American","English","Irish"
"1014","kentucky,christian",72265,"American","German","Irish"
"1015","kentucky,clark",33144,"American","English","Irish"
"1016","kentucky,clay",24556,"American","English","Irish"
"1017","kentucky,clinton",9634,"American","English","Irish"
"1018","kentucky,crittenden",9384,"American","Irish","English"
"1019","kentucky,cumberland",7147,"American","English","German"
"1020","kentucky,daviess",91545,"American","German","English"
"1021","kentucky,edmonson",11644,"American","English","Irish"
"1022","kentucky,elliott",6748,"American","English","Irish"
"1023","kentucky,estill",15307,"American","English","Irish"
"1024","kentucky,fayette",260512,"American","German","English"
"1025","kentucky,fleming",13792,"American","English","Irish"
"1026","kentucky,floyd",42441,"American","English","Irish"
"1027","kentucky,franklin",47687,"American","English","German"
"1028","kentucky,fulton",7752,"American","Irish","English"
"1029","kentucky,gallatin",7870,"American","German","English"
"1030","kentucky,garrard",14792,"American","English","Irish"
"1031","kentucky,grant",22384,"American","German","Irish"
"1032","kentucky,graves",37028,"American","Irish","English"
"1033","kentucky,grayson",24053,"American","English","Irish"
"1034","kentucky,green",11518,"American","English","Irish"
"1035","kentucky,greenup",36891,"American","German","English"
"1036","kentucky,hancock",8392,"American","German","Irish"
"1037","kentucky,hardin",94174,"American","German","Irish"
"1038","kentucky,harlan",33202,"American","English","Irish"
"1039","kentucky,harrison",17983,"American","English","German"
"1040","kentucky,hart",17445,"American","English","Irish"
"1041","kentucky,henderson",44829,"American","German","English"
"1042","kentucky,henry",15060,"American","German","Irish"
"1043","kentucky,hickman",5262,"American","Irish","English"
"1044","kentucky,hopkins",46519,"American","English","Irish"
"1045","kentucky,jackson",13495,"American","English","Irish"
"1046","kentucky,jefferson",693604,"German","American","Irish"
"1047","kentucky,jessamine",39041,"American","English","German"
"1048","kentucky,johnson",23445,"American","English","Irish"
"1049","kentucky,kenton",151464,"German","American","Irish"
"1050","kentucky,knott",17649,"American","English","Irish"
"1051","kentucky,knox",31795,"American","English","Irish"
"1052","kentucky,larue",13373,"American","English","Irish"
"1053","kentucky,laurel",52715,"American","English","Irish"
"1054","kentucky,lawrence",15569,"American","English","Irish"
"1055","kentucky,lee",7916,"American","English","Irish"
"1056","kentucky,leslie",12401,"American","English","Irish"
"1057","kentucky,letcher",25277,"American","English","Irish"
"1058","kentucky,lewis",14092,"American","English","German"
"1059","kentucky,lincoln",23361,"American","Irish","English"
"1060","kentucky,livingston",9804,"American","Irish","English"
"1061","kentucky,logan",26573,"American","English","Irish"
"1062","kentucky,lyon",8080,"American","English","Irish"
"1063","kentucky,mccracken",65514,"American","German","English"
"1064","kentucky,mccreary",17080,"American","English","Irish"
"1065","kentucky,mclean",9938,"American","German","Irish"
"1066","kentucky,madison",70872,"American","English","German"
"1067","kentucky,magoffin",13332,"American","English","Irish"
"1068","kentucky,marion",18212,"American","Irish","English"
"1069","kentucky,marshall",30125,"American","English","German"
"1070","kentucky,martin",12578,"American","English","Irish"
"1071","kentucky,mason",16800,"American","German","English"
"1072","kentucky,meade",26349,"American","German","Irish"
"1073","kentucky,menifee",6556,"American","English","Irish"
"1074","kentucky,mercer",20817,"American","English","Irish"
"1075","kentucky,metcalfe",10037,"American","English","German"
"1076","kentucky,monroe",11756,"American","English","Irish"
"1077","kentucky,montgomery",22554,"American","English","Irish"
"1078","kentucky,morgan",13948,"American","English","Irish"
"1079","kentucky,muhlenberg",31839,"American","English","Irish"
"1080","kentucky,nelson",37477,"American","Irish","English"
"1081","kentucky,nicholas",6813,"American","English","Irish"
"1082","kentucky,ohio",22916,"American","English","Irish"
"1083","kentucky,oldham",46178,"German","American","English"
"1084","kentucky,owen",10547,"American","English","Irish"
"1085","kentucky,owsley",4858,"American","English","Irish"
"1086","kentucky,pendleton",14390,"American","German","English"
"1087","kentucky,perry",29390,"American","English","Irish"
"1088","kentucky,pike",68736,"American","English","Irish"
"1089","kentucky,powell",13237,"American","English","Irish"
"1090","kentucky,pulaski",56217,"American","English","Irish"
"1091","kentucky,robertson",2266,"American","English","German"
"1092","kentucky,rockcastle",16582,"American","Irish","English"
"1093","kentucky,rowan",22094,"American","English","German"
"1094","kentucky,russell",16315,"American","Irish","English"
"1095","kentucky,scott",33061,"American","English","Irish"
"1096","kentucky,shelby",33337,"American","German","English"
"1097","kentucky,simpson",16405,"American","English","German"
"1098","kentucky,spencer",11766,"American","German","Irish"
"1099","kentucky,taylor",22927,"American","English","Irish"
"1100","kentucky,todd",11971,"American","English","German"
"1101","kentucky,trigg",12597,"American","English","Irish"
"1102","kentucky,trimble",8125,"American","English","German"
"1103","kentucky,union",15637,"American","German","English"
"1104","kentucky,warren",92522,"American","English","German"
"1105","kentucky,washington",10916,"American","Irish","English"
"1106","kentucky,wayne",19923,"American","English","German"
"1107","kentucky,webster",14120,"American","English","German"
"1108","kentucky,whitley",35865,"American","English","Irish"
"1109","kentucky,wolfe",7065,"American","English","Irish"
"1110","kentucky,woodford",23208,"American","English","Irish"
"1111","louisiana,acadia",58861,"American","French (except Basque)","French Canadian"
"1112","louisiana,allen",25440,"American","French (except Basque)","French Canadian"
"1113","louisiana,ascension",76627,"French (except Basque)","American","French Canadian"
"1114","louisiana,assumption",23388,"French (except Basque)","American","French Canadian"
"1115","louisiana,avoyelles",41481,"French (except Basque)","American","French Canadian"
"1116","louisiana,beauregard",32986,"American","Irish","French (except Basque)"
"1117","louisiana,bienville",15752,"American","Irish","English"
"1118","louisiana,bossier",98310,"American","Irish","German"
"1119","louisiana,caddo",252161,"American","English","Irish"
"1120","louisiana,calcasieu",183577,"American","French (except Basque)","French Canadian"
"1121","louisiana,caldwell",10560,"American","Irish","English"
"1122","louisiana,cameron",9991,"American","French (except Basque)","French Canadian"
"1123","louisiana,catahoula",10920,"American","Irish","French (except Basque)"
"1124","louisiana,claiborne",16851,"American","English","Irish"
"1125","louisiana,concordia",20247,"American","Irish","English"
"1126","louisiana,de soto",25494,"American","English","Irish"
"1127","louisiana,east baton rouge",412852,"French (except Basque)","American","English"
"1128","louisiana,east carroll",9421,"American","Irish","English"
"1129","louisiana,east feliciana",21360,"American","French (except Basque)","English"
"1130","louisiana,evangeline",35434,"American","French (except Basque)","French Canadian"
"1131","louisiana,franklin",21263,"American","Irish","English"
"1132","louisiana,grant",18698,"American","Irish","French (except Basque)"
"1133","louisiana,iberia",73266,"French (except Basque)","American","French Canadian"
"1134","louisiana,iberville",33320,"French (except Basque)","American","Italian"
"1135","louisiana,jackson",15397,"American","Irish","English"
"1136","louisiana,jefferson",455466,"French (except Basque)","Italian","German"
"1137","louisiana,jefferson davis",31435,"American","French (except Basque)","French Canadian"
"1138","louisiana,lafayette",190503,"French (except Basque)","American","French Canadian"
"1139","louisiana,lafourche",89974,"French (except Basque)","American","French Canadian"
"1140","louisiana,la salle",14282,"American","English","Irish"
"1141","louisiana,lincoln",42509,"American","English","Irish"
"1142","louisiana,livingston",91814,"American","French (except Basque)","Irish"
"1143","louisiana,madison",13728,"American","Irish","English"
"1144","louisiana,morehouse",31021,"American","Irish","English"
"1145","louisiana,natchitoches",39080,"American","French (except Basque)","Irish"
"1146","louisiana,orleans",484674,"French (except Basque)","German","Irish"
"1147","louisiana,ouachita",147250,"American","Irish","English"
"1148","louisiana,plaquemines",26757,"French (except Basque)","American","German"
"1149","louisiana,pointe coupee",22763,"French (except Basque)","American","French Canadian"
"1150","louisiana,rapides",126337,"American","French (except Basque)","Irish"
"1151","louisiana,red river",9622,"American","Irish","English"
"1152","louisiana,richland",20981,"American","Irish","English"
"1153","louisiana,sabine",23459,"American","Irish","English"
"1154","louisiana,st bernard",67229,"French (except Basque)","Italian","German"
"1155","louisiana,st charles",48072,"French (except Basque)","American","German"
"1156","louisiana,st helena",10525,"American","English","Irish"
"1157","louisiana,st james",21216,"French (except Basque)","American","German"
"1158","louisiana,st john the baptist",43044,"French (except Basque)","German","American"
"1159","louisiana,st landry",87700,"French (except Basque)","American","French Canadian"
"1160","louisiana,st martin",48583,"French (except Basque)","American","French Canadian"
"1161","louisiana,st mary",53500,"French (except Basque)","American","German"
"1162","louisiana,st tammany",191268,"French (except Basque)","German","American"
"1163","louisiana,tangipahoa",100588,"American","Italian","French (except Basque)"
"1164","louisiana,tensas",6618,"American","Irish","English"
"1165","louisiana,terrebonne",104503,"French (except Basque)","American","French Canadian"
"1166","louisiana,union",22803,"American","Irish","English"
"1167","louisiana,vermilion",53807,"American","French (except Basque)","French Canadian"
"1168","louisiana,vernon",52531,"American","German","Irish"
"1169","louisiana,washington",43926,"American","Irish","English"
"1170","louisiana,webster",41831,"American","Irish","English"
"1171","louisiana,west baton rouge",21601,"French (except Basque)","American","French Canadian"
"1172","louisiana,west carroll",12314,"American","Irish","English"
"1173","louisiana,west feliciana",15111,"American","French (except Basque)","German"
"1174","louisiana,winn",16894,"American","Irish","English"
"1175","maine,androscoggin",103793,"French Canadian","French (except Basque)","English"
"1176","maine,aroostook",73938,"French (except Basque)","American","English"
"1177","maine,cumberland",265612,"English","Irish","French (except Basque)"
"1178","maine,franklin",29467,"English","American","French (except Basque)"
"1179","maine,hancock",51791,"English","American","Irish"
"1180","maine,kennebec",117114,"English","French (except Basque)","French Canadian"
"1181","maine,knox",39618,"English","Irish","American"
"1182","maine,lincoln",33616,"English","American","Irish"
"1183","maine,oxford",54755,"English","French (except Basque)","American"
"1184","maine,penobscot",144919,"English","American","French (except Basque)"
"1185","maine,piscataquis",17235,"English","French (except Basque)","American"
"1186","maine,sagadahoc",35214,"English","Irish","French (except Basque)"
"1187","maine,somerset",50888,"English","French (except Basque)","American"
"1188","maine,waldo",36280,"English","American","Irish"
"1189","maine,washington",33941,"English","Irish","American"
"1190","maine,york",186742,"English","French (except Basque)","French Canadian"
"1191","maryland,allegany",74930,"German","American","Irish"
"1192","maryland,anne arundel",489656,"German","Irish","English"
"1193","maryland,baltimore",754292,"German","Irish","English"
"1194","maryland,calvert",74563,"Irish","German","English"
"1195","maryland,caroline",29772,"American","English","German"
"1196","maryland,carroll",150897,"German","Irish","American"
"1197","maryland,cecil",85951,"German","Irish","English"
"1198","maryland,charles",120546,"German","Irish","English"
"1199","maryland,dorchester",30674,"American","English","German"
"1200","maryland,frederick",195277,"German","American","Irish"
"1201","maryland,garrett",29846,"German","American","English"
"1202","maryland,harford",218590,"German","Irish","Italian"
"1203","maryland,howard",247842,"German","Irish","English"
"1204","maryland,kent",19197,"English","German","Irish"
"1205","maryland,montgomery",873341,"Irish","German","English"
"1206","maryland,prince george's",801515,"Subsaharan African","German","Irish"
"1207","maryland,queen anne's",40563,"German","American","English"
"1208","maryland,st mary's",86211,"American","German","English"
"1209","maryland,somerset",24747,"American","English","German"
"1210","maryland,talbot",33812,"English","German","Irish"
"1211","maryland,washington",131923,"German","American","Irish"
"1212","maryland,wicomico",84644,"American","English","German"
"1213","maryland,worcester",46543,"German","English","Irish"
"1214","maryland,baltimore",651154,"German","Irish","American"
"1215","massachusetts,barnstable",222230,"Irish","English","Italian"
"1216","massachusetts,berkshire",134953,"Italian","Irish","French (except Basque)"
"1217","massachusetts,bristol",534678,"Portuguese","Irish","French (except Basque)"
"1218","massachusetts,dukes",14987,"English","Irish","Portuguese"
"1219","massachusetts,essex",723419,"Irish","Italian","English"
"1220","massachusetts,franklin",71535,"English","Irish","Polish"
"1221","massachusetts,hampden",456228,"Irish","Polish","Italian"
"1222","massachusetts,hampshire",152251,"Irish","Polish","English"
"1223","massachusetts,middlesex",1465396,"Irish","Italian","English"
"1224","massachusetts,nantucket",9520,"Irish","English","Italian"
"1225","massachusetts,norfolk",650308,"Irish","Italian","English"
"1226","massachusetts,plymouth",472822,"Irish","Italian","English"
"1227","massachusetts,suffolk",689807,"Irish","Italian","West Indian:excluding Hispanic groups "
"1228","massachusetts,worcester",750963,"Irish","Italian","French (except Basque)"
"1229","michigan,alcona",11719,"German","English","American"
"1230","michigan,alger",9862,"Finnish","German","French (except Basque)"
"1231","michigan,allegan",105665,"Dutch","German","American"
"1232","michigan,alpena",31314,"German","Polish","French (except Basque)"
"1233","michigan,antrim",23110,"German","English","Irish"
"1234","michigan,arenac",17269,"German","Polish","French (except Basque)"
"1235","michigan,baraga",8746,"Finnish","German","French (except Basque)"
"1236","michigan,barry",56755,"German","English","Dutch"
"1237","michigan,bay",110157,"German","Polish","French (except Basque)"
"1238","michigan,benzie",15998,"German","English","Irish"
"1239","michigan,berrien",162453,"German","American","Irish"
"1240","michigan,branch",45787,"German","American","English"
"1241","michigan,calhoun",137985,"German","American","English"
"1242","michigan,cass",51104,"German","American","Irish"
"1243","michigan,charlevoix",26090,"German","English","American"
"1244","michigan,cheboygan",26448,"German","English","French (except Basque)"
"1245","michigan,chippewa",38543,"German","English","Irish"
"1246","michigan,clare",31252,"German","American","English"
"1247","michigan,clinton",64753,"German","English","American"
"1248","michigan,crawford",14273,"German","English","American"
"1249","michigan,delta",38520,"French (except Basque)","German","Swedish"
"1250","michigan,dickinson",27472,"Italian","German","Swedish"
"1251","michigan,eaton",103655,"German","English","American"
"1252","michigan,emmet",31437,"German","English","Irish"
"1253","michigan,genesee",436141,"German","English","American"
"1254","michigan,gladwin",26023,"German","American","English"
"1255","michigan,gogebic",17370,"Finnish","German","Italian"
"1256","michigan,grand traverse",77654,"German","English","Irish"
"1257","michigan,gratiot",42285,"German","American","English"
"1258","michigan,hillsdale",46527,"German","American","English"
"1259","michigan,houghton",36016,"Finnish","German","English"
"1260","michigan,huron",36079,"German","Polish","American"
"1261","michigan,ingham",279320,"German","English","Irish"
"1262","michigan,ionia",61518,"German","American","English"
"1263","michigan,iosco",27339,"German","English","Irish"
"1264","michigan,iron",13138,"German","Italian","Finnish"
"1265","michigan,isabella",63351,"German","English","Irish"
"1266","michigan,jackson",158422,"German","English","American"
"1267","michigan,kalamazoo",238603,"German","Dutch","English"
"1268","michigan,kalkaska",16571,"German","English","Irish"
"1269","michigan,kent",574335,"Dutch","German","English"
"1270","michigan,keweenaw",2301,"Finnish","German","English"
"1271","michigan,lake",11333,"German","American","Irish"
"1272","michigan,lapeer",87904,"German","English","American"
"1273","michigan,leelanau",21119,"German","English","Polish"
"1274","michigan,lenawee",98890,"German","English","American"
"1275","michigan,livingston",156951,"German","Irish","English"
"1276","michigan,luce",7024,"German","English","American"
"1277","michigan,mackinac",11943,"German","English","Irish"
"1278","michigan,macomb",788149,"German","Polish","Italian"
"1279","michigan,manistee",24527,"German","Polish","American"
"1280","michigan,marquette",64634,"Finnish","German","English"
"1281","michigan,mason",28274,"German","Polish","English"
"1282","michigan,mecosta",40553,"German","English","American"
"1283","michigan,menominee",25326,"German","French (except Basque)","Polish"
"1284","michigan,midland",82874,"German","English","American"
"1285","michigan,missaukee",14478,"Dutch","German","American"
"1286","michigan,monroe",145945,"German","American","Polish"
"1287","michigan,montcalm",61266,"German","English","American"
"1288","michigan,montmorency",10315,"German","English","American"
"1289","michigan,muskegon",170200,"German","Dutch","American"
"1290","michigan,newaygo",47874,"German","Dutch","American"
"1291","michigan,oakland",1194156,"German","Irish","English"
"1292","michigan,oceana",26873,"German","American","English"
"1293","michigan,ogemaw",21645,"German","American","English"
"1294","michigan,ontonagon",7818,"Finnish","German","Polish"
"1295","michigan,osceola",23197,"German","English","American"
"1296","michigan,oscoda",9418,"German","American","English"
"1297","michigan,otsego",23301,"German","Polish","Irish"
"1298","michigan,ottawa",238314,"Dutch","German","English"
"1299","michigan,presque isle",14411,"German","Polish","English"
"1300","michigan,roscommon",25469,"German","English","Irish"
"1301","michigan,saginaw",210039,"German","Polish","English"
"1302","michigan,st clair",164235,"German","Polish","Irish"
"1303","michigan,st joseph",62422,"German","American","English"
"1304","michigan,sanilac",44547,"German","English","American"
"1305","michigan,schoolcraft",8903,"German","French (except Basque)","Swedish"
"1306","michigan,shiawassee",71687,"German","English","American"
"1307","michigan,tuscola",58266,"German","English","Polish"
"1308","michigan,van buren",76263,"German","American","Irish"
"1309","michigan,washtenaw",322895,"German","English","Irish"
"1310","michigan,wayne",2061162,"German","Polish","Irish"
"1311","michigan,wexford",30484,"German","English","American"
"1312","minnesota,aitkin",15301,"German","Norwegian","Swedish"
"1313","minnesota,anoka",298084,"German","Norwegian","Swedish"
"1314","minnesota,becker",30000,"German","Norwegian","Swedish"
"1315","minnesota,beltrami",39650,"German","Norwegian","Swedish"
"1316","minnesota,benton",34226,"German","Polish","Norwegian"
"1317","minnesota,big stone",5820,"German","Norwegian","Swedish"
"1318","minnesota,blue earth",55941,"German","Norwegian","Irish"
"1319","minnesota,brown",26911,"German","Norwegian","American"
"1320","minnesota,carlton",31671,"German","Finnish","Norwegian"
"1321","minnesota,carver",70205,"German","Norwegian","Irish"
"1322","minnesota,cass",27150,"German","Norwegian","Swedish"
"1323","minnesota,chippewa",13088,"Norwegian","German","Swedish"
"1324","minnesota,chisago",41101,"German","Swedish","Norwegian"
"1325","minnesota,clay",51229,"Norwegian","German","Swedish"
"1326","minnesota,clearwater",8423,"Norwegian","German","Swedish"
"1327","minnesota,cook",5168,"German","Norwegian","Swedish"
"1328","minnesota,cottonwood",12167,"German","Norwegian","Dutch"
"1329","minnesota,crow wing",55099,"German","Norwegian","Swedish"
"1330","minnesota,dakota",355904,"German","Norwegian","Irish"
"1331","minnesota,dodge",17731,"German","Norwegian","Irish"
"1332","minnesota,douglas",32821,"German","Norwegian","Swedish"
"1333","minnesota,faribault",16181,"German","Norwegian","Irish"
"1334","minnesota,fillmore",21122,"Norwegian","German","Irish"
"1335","minnesota,freeborn",32584,"Norwegian","German","Danish"
