"","rate.male","LCL95.male","UCL95.male","rate.female","LCL95.female","UCL95.female","state","county"
"illinois,bond",297.6,247.1,356.4,177.7,143.7,219,"Illinois","Bond County"
"illinois,christian",295.3,261,333,172.3,150.2,197.5,"Illinois","Christian County"
"illinois,white",294.4,248.4,348.5,178.3,145.9,218.7,"Illinois","White County"
"illinois,kankakee",293.3,271,317.1,195.4,180,212,"Illinois","Kankakee County"
"illinois,marshall",289.6,238.9,350,155.1,121.5,198.4,"Illinois","Marshall County"
"illinois,stark",289.3,216.9,382.3,153.8,107,220.7,"Illinois","Stark County"
"illinois,menard",288.8,229.6,360.2,141.7,106.4,187.8,"Illinois","Menard County"
"illinois,grundy",287.3,251.2,327.6,193.8,168.2,222.4,"Illinois","Grundy County"
"illinois,massac",286.9,237.1,344.9,151.3,120.5,189.4,"Illinois","Massac County"
"illinois,logan",286.3,248.9,328.3,171.8,147.3,200.2,"Illinois","Logan County"
"illinois,wabash",285.9,231.4,350.6,151.5,117.2,194.9,"Illinois","Wabash County"
"illinois,williamson",284.4,258.6,312.2,172.2,155.2,191,"Illinois","Williamson County"
"illinois,bureau",279.3,246.9,315.1,177.3,154.8,203,"Illinois","Bureau County"
"illinois,macon",277.8,258.2,298.5,166.2,153.5,179.8,"Illinois","Macon County"
"illinois,warren",275.5,230.4,327.7,172.5,141.3,210.2,"Illinois","Warren County"
"illinois,edgar",273.6,230.5,323,158,130,191.8,"Illinois","Edgar County"
"illinois,peoria",270.9,255.1,287.5,171.5,160.9,182.7,"Illinois","Peoria County"
"illinois,sangamon",270.7,254.7,287.5,172,161.7,183,"Illinois","Sangamon County"
"illinois,adams",270.5,247.3,295.5,175.4,159,193.4,"Illinois","Adams County"
"illinois,morgan",268.6,235.7,305.1,181.2,157.9,207.7,"Illinois","Morgan County"
"illinois,la salle",266.3,247.9,285.8,177.9,164.7,192.1,"Illinois","La Salle County"
"illinois,wayne",266.1,222,317.2,158.4,129.7,193.5,"Illinois","Wayne County"
"illinois,cass",265.7,214,326.5,172.6,136.4,217,"Illinois","Cass County"
"illinois,mchenry",264.7,248.3,282,178.9,167.9,190.5,"Illinois","McHenry County"
"illinois,clinton",264.3,230.1,302.5,148.1,125.8,173.7,"Illinois","Clinton County"
"illinois,cumberland",263.6,205.2,335.1,130.5,95.7,176.5,"Illinois","Cumberland County"
"illinois,jefferson",263.4,232.4,297.7,163.7,142.8,187.5,"Illinois","Jefferson County"
"illinois,hancock",263,222.2,310.2,164.4,136.6,198,"Illinois","Hancock County"
"illinois,coles",261.7,232.1,294.2,181.2,160.1,204.7,"Illinois","Coles County"
"illinois,madison",261.7,248.5,275.4,179,169.9,188.5,"Illinois","Madison County"
"illinois,carroll",261.1,218.4,311.2,168.1,137.6,206.1,"Illinois","Carroll County"
"illinois,schuyler",261,197.7,342.5,175.4,128,241.3,"Illinois","Schuyler County"
"illinois,douglas",259.8,215.6,311,142.5,115,175.8,"Illinois","Douglas County"
"illinois,cook",259.7,256.5,262.9,178,175.8,180.1,"Illinois","Cook County"
"illinois,lee",259.6,227,296.2,195.3,170,224,"Illinois","Lee County"
"illinois,boone",258.3,223.3,298,141.3,119.7,165.8,"Illinois","Boone County"
"illinois,henderson",258.2,194.9,339.9,155.4,113.9,214,"Illinois","Henderson County"
"illinois,marion",258.2,228.7,290.9,170.8,150.1,194.2,"Illinois","Marion County"
"illinois,henry",258,231.3,287.2,159.1,141.1,179.4,"Illinois","Henry County"
"illinois,winnebago",257.8,244.9,271.3,173.2,164.3,182.5,"Illinois","Winnebago County"
"illinois,jackson",256.9,227.1,289.7,164.9,144.4,187.8,"Illinois","Jackson County"
"illinois,iroquois",255.4,223.4,291.5,160.4,137.5,187.1,"Illinois","Iroquois County"
"illinois,perry",255.1,215.1,300.9,193.2,162.6,229.2,"Illinois","Perry County"
"illinois,whiteside",255.1,230.7,281.6,153,136.5,171.3,"Illinois","Whiteside County"
"illinois,johnson",254.5,201.1,319.2,149.1,112.4,197.1,"Illinois","Johnson County"
"illinois,tazewell",254.4,236.8,273.1,174.2,161.7,187.5,"Illinois","Tazewell County"
"illinois,ford",252.5,205.4,308.9,162.7,129.4,204.1,"Illinois","Ford County"
"illinois,champaign",252.2,234.2,271.3,166,153.7,179.2,"Illinois","Champaign County"
"illinois,randolph",252.2,219.1,289.2,177.5,153.2,205.3,"Illinois","Randolph County"
"illinois,fayette",251.7,211.2,298.1,150.2,122.7,183.2,"Illinois","Fayette County"
"illinois,pike",251.7,210.5,299.8,183.7,151.6,222.6,"Illinois","Pike County"
"illinois,macoupin",250.4,224.3,279.1,158.6,140.2,179.3,"Illinois","Macoupin County"
"illinois,richland",250.4,205.5,303,122.9,96.2,156.5,"Illinois","Richland County"
"illinois,mclean",249.3,229.7,270.3,160.9,147.8,174.9,"Illinois","McLean County"
"illinois,lawrence",248.6,205,300,171.1,138.7,211.5,"Illinois","Lawrence County"
"illinois,mcdonough",247.5,212.4,287.4,177.3,151.5,207.3,"Illinois","McDonough County"
"illinois,will",246.5,235,258.5,171.7,164,179.7,"Illinois","Will County"
"illinois,livingston",246.4,216,280,146.8,126.5,170,"Illinois","Livingston County"
"illinois,shelby",245.5,209,287.4,125.2,101.7,154,"Illinois","Shelby County"
"illinois,de kalb",243.8,219,270.9,165.8,148.5,184.7,"Illinois","DeKalb County"
"illinois,ogle",243.8,216.5,273.9,171.4,151.2,194,"Illinois","Ogle County"
"illinois,moultrie",243.4,196.7,299.3,180,144.6,223.6,"Illinois","Moultrie County"
"illinois,clark",243.1,200.5,293.2,148.4,118.7,185.2,"Illinois","Clark County"
"illinois,putnam",241.8,173.7,331.6,172.6,120.1,247.4,"Illinois","Putnam County"
"illinois,rock island",241.3,225.5,258,158.2,147.2,169.8,"Illinois","Rock Island County"
"illinois,hardin",240.4,167,342.9,211,149.1,301.8,"Illinois","Hardin County"
"illinois,gallatin",235.8,171.3,320.5,189.3,136.6,262.5,"Illinois","Gallatin County"
"illinois,stephenson",235.4,209.3,264.1,149.1,131.1,169.4,"Illinois","Stephenson County"
"illinois,piatt",234.7,190.4,287.5,149,118.9,186.8,"Illinois","Piatt County"
"illinois,knox",234.1,210.4,260.1,178.2,159.9,198.5,"Illinois","Knox County"
"illinois,fulton",232,204.5,262.7,173.4,151.9,198,"Illinois","Fulton County"
"illinois,effingham",231.6,199,268.3,152.5,129.7,178.6,"Illinois","Effingham County"
"illinois,calhoun",230.5,162.5,325.6,217,154.2,308.9,"Illinois","Calhoun County"
"illinois,kane",228.9,216.6,241.8,176.5,167.7,185.6,"Illinois","Kane County"
"illinois,edwards",227.7,167.1,306.3,174.8,127.4,239.5,"Illinois","Edwards County"
"illinois,du page",227.2,219.5,235.2,158.5,153.3,163.8,"Illinois","DuPage County"
"illinois,crawford",226.8,188.4,272.1,175.2,145,211.3,"Illinois","Crawford County"
"illinois,lake",226.7,217.1,236.6,179,172,186.2,"Illinois","Lake County"
"illinois,mercer",225.5,184.1,274.5,141.5,112.4,177.8,"Illinois","Mercer County"
"illinois,monroe",224.8,187.5,268.1,153.7,128,183.6,"Illinois","Monroe County"
"illinois,washington",224.2,180.8,276.1,160.9,127.5,202.2,"Illinois","Washington County"
"illinois,jo daviess",222.9,188.4,262.9,176.1,148.5,208.9,"Illinois","Jo Daviess County"
"illinois,woodford",219.7,189.4,254,137.9,116.9,162.4,"Illinois","Woodford County"
"illinois,jasper",215.8,163.8,281,171.1,129.9,225,"Illinois","Jasper County"
"illinois,scott",212.7,144.2,306.8,192.7,133.7,273.9,"Illinois","Scott County"
"illinois,jersey",211.1,173.2,255.7,144.9,117.8,177.8,"Illinois","Jersey County"
"illinois,kendall",204.9,175.7,238.2,179.5,156.6,205,"Illinois","Kendall County"
"illinois,brown",198,130.7,292.2,183.8,127.7,266.8,"Illinois","Brown County"
"illinois,pope",164,102.7,262.1,150.2,94.8,245.1,"Illinois","Pope County"
"indiana,switzerland",356.3,277.2,455.2,137.1,95.9,192.9,"Indiana","Switzerland County"
"indiana,scott",346.9,293.3,408.6,227.3,190.6,269.4,"Indiana","Scott County"
"indiana,orange",328.4,278.3,385.5,157.3,127.4,193.2,"Indiana","Orange County"
"indiana,newton",326,263.6,401.3,194.6,154.7,243.1,"Indiana","Newton County"
"indiana,fountain",324,271,385.3,189.9,156.4,230.3,"Indiana","Fountain County"
"indiana,jennings",323.2,275.2,378.5,178.3,148.3,212.9,"Indiana","Jennings County"
"indiana,jackson",319.5,282.2,360.8,167.1,145.1,191.8,"Indiana","Jackson County"
"indiana,vermillion",317.3,264.9,377.6,226.6,188.6,271.5,"Indiana","Vermillion County"
"indiana,clay",317.2,273.6,366.4,195.5,167.3,227.8,"Indiana","Clay County"
"indiana,warren",305.7,232.6,397.9,167,120.7,228.9,"Indiana","Warren County"
"indiana,greene",305.2,268,346.5,167.4,144,194.1,"Indiana","Greene County"
"indiana,vigo",304.7,281.9,329,178.5,164.3,193.8,"Indiana","Vigo County"
"indiana,starke",300.4,256,351.2,188.6,157.8,224.7,"Indiana","Starke County"
"indiana,clark",299.2,275.1,325.1,199.8,183.6,217.1,"Indiana","Clark County"
"indiana,dearborn",298.9,263.2,338.7,183.2,160,209,"Indiana","Dearborn County"
"indiana,washington",296,250.5,348.7,184.3,154.7,218.2,"Indiana","Washington County"
"indiana,lake",294.2,283.7,305.1,188.3,181.3,195.6,"Indiana","Lake County"
"indiana,grant",293.7,268,321.5,169.2,153,187,"Indiana","Grant County"
"indiana,ohio",290.4,198.9,423.9,168.1,113.4,246,"Indiana","Ohio County"
"indiana,sullivan",290.4,243.9,344.6,201.8,168.7,240.6,"Indiana","Sullivan County"
"indiana,marion",289.7,281.1,298.5,192.7,187,198.5,"Indiana","Marion County"
"indiana,spencer",288.9,241,344.5,152.3,122.4,188.6,"Indiana","Spencer County"
"indiana,wayne",285.9,261.1,312.5,177.2,160.8,195.2,"Indiana","Wayne County"
"indiana,jay",283.5,238.9,334.8,177.3,147.5,212.5,"Indiana","Jay County"
"indiana,harrison",283.4,244.2,327.6,176.5,150.4,206.1,"Indiana","Harrison County"
"indiana,putnam",282.5,244.4,325.8,184.5,158.7,213.9,"Indiana","Putnam County"
"indiana,cass",280.4,247.1,317.5,182,159.3,207.5,"Indiana","Cass County"
"indiana,vanderburgh",278,261.6,295.2,175.4,164.7,186.8,"Indiana","Vanderburgh County"
"indiana,la porte",275.7,255.1,297.7,186.5,172,202,"Indiana","LaPorte County"
"indiana,owen",275.3,229.9,328.4,179.9,147.6,217.7,"Indiana","Owen County"
"indiana,tippecanoe",273.4,252.2,296,177.7,163.3,193.1,"Indiana","Tippecanoe County"
"indiana,marshall",273,240.9,308.6,167.4,146.3,191.1,"Indiana","Marshall County"
"indiana,benton",271.6,207.5,350.3,139.8,101.5,192.2,"Indiana","Benton County"
"indiana,howard",271.2,247.5,296.8,178.5,162.7,195.5,"Indiana","Howard County"
"indiana,steuben",270.2,231.7,313.9,160.3,135.3,188.7,"Indiana","Steuben County"
"indiana,knox",268.5,236.3,304.1,162.6,141.3,186.9,"Indiana","Knox County"
"indiana,henry",268.4,239.6,300.2,169.2,149.9,190.7,"Indiana","Henry County"
"indiana,fayette",268.2,228.3,314.1,212.8,182.6,247.4,"Indiana","Fayette County"
"indiana,brown",267.5,211.5,336.6,179.3,141.3,226.5,"Indiana","Brown County"
"indiana,morgan",267.5,237.9,300.5,179.7,160.1,201.2,"Indiana","Morgan County"
"indiana,boone",266.6,233.9,302.7,169,147.5,193.3,"Indiana","Boone County"
"indiana,pike",265.8,211.9,330.2,157.9,122.6,202.3,"Indiana","Pike County"
"indiana,st joseph",264.6,251.3,278.5,169.9,160.9,179.4,"Indiana","St. Joseph County"
"indiana,floyd",263.6,237.5,292.2,198.3,179.4,218.7,"Indiana","Floyd County"
"indiana,warrick",263.5,232.4,298.3,170.4,149.5,193.6,"Indiana","Warrick County"
"indiana,fulton",260.6,218.7,308.5,184.1,152.7,221,"Indiana","Fulton County"
"indiana,jefferson",260.4,223.7,302.1,176.4,150.6,206,"Indiana","Jefferson County"
"indiana,delaware",260.2,240.3,281.5,181.7,168,196.4,"Indiana","Delaware County"
"indiana,lawrence",259.6,229.9,292.5,167.4,147.3,189.9,"Indiana","Lawrence County"
"indiana,madison",258.7,241,277.4,171.2,159.1,184.2,"Indiana","Madison County"
"indiana,blackford",258.6,207.1,320.7,186.1,148.4,232.4,"Indiana","Blackford County"
"indiana,ripley",257.6,218.1,302.6,151.5,125.8,181.6,"Indiana","Ripley County"
"indiana,decatur",257.2,216.6,303.6,179.2,149.5,213.6,"Indiana","Decatur County"
"indiana,montgomery",256.9,223.6,294.3,152.8,131.1,177.6,"Indiana","Montgomery County"
"indiana,daviess",256.6,219.9,298,133.6,111.2,160,"Indiana","Daviess County"
"indiana,huntington",255.8,223.2,292.1,159.5,137.5,184.4,"Indiana","Huntington County"
"indiana,martin",255.3,195.2,330.9,169.4,127.4,223.8,"Indiana","Martin County"
"indiana,allen",254.7,242.1,267.8,176.4,167.7,185.3,"Indiana","Allen County"
"indiana,franklin",254.7,210.9,306,139.3,112,172.1,"Indiana","Franklin County"
"indiana,noble",253.2,219.7,290.9,201.2,176.3,228.7,"Indiana","Noble County"
"indiana,shelby",252.7,220.2,289.3,184.3,160.9,210.4,"Indiana","Shelby County"
"indiana,jasper",251.1,213.1,294.5,180.9,153.6,212,"Indiana","Jasper County"
"indiana,monroe",251.1,228.3,275.7,176.9,161.2,193.9,"Indiana","Monroe County"
"indiana,porter",250.7,232.1,270.7,175.9,163,189.6,"Indiana","Porter County"
"indiana,white",250.6,211.7,295.9,161.8,135.5,192.6,"Indiana","White County"
"indiana,parke",250.5,203.3,306.9,151.2,120.4,189.4,"Indiana","Parke County"
"indiana,bartholomew",249.9,224.7,277.7,170.7,153.4,189.8,"Indiana","Bartholomew County"
"indiana,clinton",249.2,214.9,287.8,164.6,141.1,191.5,"Indiana","Clinton County"
"indiana,johnson",246.7,225.5,269.7,170.9,156.7,186.1,"Indiana","Johnson County"
"indiana,whitley",246.4,210,287.6,167.7,142,197.1,"Indiana","Whitley County"
"indiana,rush",246.1,201.6,298.3,207,170.9,249.7,"Indiana","Rush County"
"indiana,gibson",245.5,211.7,283.6,164.9,141.2,192.2,"Indiana","Gibson County"
"indiana,perry",245.5,201.9,296.4,169.7,138.2,207.8,"Indiana","Perry County"
"indiana,lagrange",244.9,207,288.6,123.9,100.9,150.8,"Indiana","LaGrange County"
"indiana,kosciusko",244.3,219.9,270.9,170.1,152.7,189.1,"Indiana","Kosciusko County"
"indiana,de kalb",243.8,210.2,281.7,187.6,162.5,215.7,"Indiana","DeKalb County"
"indiana,miami",242.9,209.8,280.7,190.3,164.6,219.2,"Indiana","Miami County"
"indiana,tipton",241.6,193.4,299.6,174.1,140.6,214.8,"Indiana","Tipton County"
"indiana,hendricks",241.3,219,265.8,163.8,148.5,180.4,"Indiana","Hendricks County"
"indiana,posey",240.5,200.9,286.7,153.6,127,185,"Indiana","Posey County"
"indiana,wabash",237.9,206.6,273,173.6,150.4,200,"Indiana","Wabash County"
"indiana,elkhart",233.7,217.7,250.7,161.1,149.8,173,"Indiana","Elkhart County"
"indiana,wells",232.6,196.3,274.2,141.4,117.5,169.5,"Indiana","Wells County"
"indiana,hancock",227.7,199.6,259.3,148.3,129.5,169.3,"Indiana","Hancock County"
"indiana,union",224.8,156.4,314.8,144.5,97.8,209,"Indiana","Union County"
"indiana,randolph",223.4,189.2,262.5,172.9,146.7,203.1,"Indiana","Randolph County"
"indiana,carroll",219.7,179.2,267.4,144.3,116.1,178.4,"Indiana","Carroll County"
"indiana,dubois",218.1,187.3,252.8,130.6,110.7,153.4,"Indiana","Dubois County"
"indiana,crawford",216.8,162.5,286.5,195.6,149.1,253.6,"Indiana","Crawford County"
"indiana,pulaski",207.2,162.5,261.2,167.3,131.7,211.7,"Indiana","Pulaski County"
"indiana,adams",202.6,170.8,238.8,142.3,119.4,168.7,"Indiana","Adams County"
"indiana,hamilton",200.3,183,219.2,147.9,135.5,161.1,"Indiana","Hamilton County"
"iowa,louisa",321.9,259.6,395.2,141.6,105.5,187.3,"Iowa","Louisa County"
"iowa,palo alto",321.5,261.6,395.1,175.5,135.3,229.2,"Iowa","Palo Alto County"
"iowa,wayne",299.9,233,388,141.9,98.4,207.3,"Iowa","Wayne County"
"iowa,monona",288.3,234.2,355.2,157.6,121.5,207,"Iowa","Monona County"
"iowa,harrison",286.2,237.8,342.8,162.4,130.4,202.3,"Iowa","Harrison County"
"iowa,des moines",279.5,248.8,313.1,153.5,134.1,175.6,"Iowa","Des Moines County"
"iowa,marshall",276.7,245.8,310.7,182.2,159.9,207.2,"Iowa","Marshall County"
"iowa,grundy",274.8,224.5,335.4,130.3,99.5,171.6,"Iowa","Grundy County"
"iowa,pottawattamie",274.7,251.9,299.3,170.8,155.4,187.4,"Iowa","Pottawattamie County"
"iowa,union",273.9,221.6,336.6,175.8,139.4,221.7,"Iowa","Union County"
"iowa,lee",268,236.6,302.7,180.2,157.8,205.6,"Iowa","Lee County"
"iowa,jones",264.9,222.5,314,150.7,122.3,185.1,"Iowa","Jones County"
"iowa,dallas",264.5,229.4,303.8,154.7,132.1,180.3,"Iowa","Dallas County"
"iowa,muscatine",262.7,229.6,299.5,162.2,140.4,186.7,"Iowa","Muscatine County"
"iowa,lucas",256.7,199.7,327.7,149.3,111.7,199.9,"Iowa","Lucas County"
"iowa,fremont",255.2,196.1,331.5,206.9,157.1,275.3,"Iowa","Fremont County"
"iowa,page",252.1,210.4,301.5,158.1,128.6,195.1,"Iowa","Page County"
"iowa,webster",251.1,221.7,283.6,168.1,146.9,192.3,"Iowa","Webster County"
"iowa,woodbury",250.2,229.2,272.7,157.7,144,172.6,"Iowa","Woodbury County"
"iowa,mahaska",249.3,210.5,293.6,152.4,124.2,185.9,"Iowa","Mahaska County"
"iowa,wapello",248.3,218.1,281.9,175.8,153.6,201.2,"Iowa","Wapello County"
"iowa,emmet",248,196.1,311.8,148.9,115,194.9,"Iowa","Emmet County"
"iowa,scott",247.8,230.5,266.1,178.6,166.3,191.6,"Iowa","Scott County"
"iowa,guthrie",247.4,199.3,306.5,131.4,100.2,173.7,"Iowa","Guthrie County"
"iowa,polk",246.5,234.8,258.8,164.1,156.3,172.2,"Iowa","Polk County"
"iowa,hardin",246.2,207.3,292,164.7,136,200.2,"Iowa","Hardin County"
"iowa,montgomery",245.1,195.5,306.3,151.5,116.1,198.4,"Iowa","Montgomery County"
"iowa,carroll",245,206.8,289.1,154.1,128.1,185.6,"Iowa","Carroll County"
"iowa,fayette",244.8,207.8,287.6,148.3,123.1,179,"Iowa","Fayette County"
"iowa,sac",244.5,196.6,304.5,171.6,135.6,219.2,"Iowa","Sac County"
"iowa,marion",244.3,212,280.4,126.1,105,150.7,"Iowa","Marion County"
"iowa,calhoun",243.6,195.5,304,140.6,107.8,186.7,"Iowa","Calhoun County"
"iowa,cherokee",242,195.4,299.6,160.6,127.8,203.2,"Iowa","Cherokee County"
"iowa,jackson",241,202.1,286.4,145.5,119.1,177.8,"Iowa","Jackson County"
"iowa,monroe",240.2,181.6,315.7,163.5,120.3,222.2,"Iowa","Monroe County"
"iowa,o'brien",239.6,197,290.6,163.6,131.7,204.1,"Iowa","O'Brien County"
"iowa,hancock",239.4,191.2,298.5,141.4,107.5,186.4,"Iowa","Hancock County"
"iowa,cerro gordo",239.3,212.6,268.7,152.8,134.8,173.2,"Iowa","Cerro Gordo County"
"iowa,dubuque",238.4,217.7,260.7,156.4,142.3,171.7,"Iowa","Dubuque County"
"iowa,allamakee",238.2,194.6,290.4,150.5,119.5,190.3,"Iowa","Allamakee County"
"iowa,linn",238.2,223.1,254.2,158.7,148.3,169.7,"Iowa","Linn County"
"iowa,clinton",237,210.8,265.8,169.6,150.6,190.8,"Iowa","Clinton County"
"iowa,dickinson",236.9,197.4,283.7,154.4,125.5,190.9,"Iowa","Dickinson County"
"iowa,pocahontas",235.6,180.7,309.7,146.7,108.2,204.5,"Iowa","Pocahontas County"
"iowa,buchanan",235.4,194.4,282.9,149.1,121.5,182.3,"Iowa","Buchanan County"
"iowa,floyd",235.4,195,283.3,139.2,112.3,172.9,"Iowa","Floyd County"
"iowa,jasper",234.2,204.6,267.2,153.9,132.6,178.3,"Iowa","Jasper County"
"iowa,buena vista",232.6,193.4,278.2,166.7,136.4,203.4,"Iowa","Buena Vista County"
"iowa,decatur",232.4,174.2,308.2,121.6,86.9,172,"Iowa","Decatur County"
"iowa,keokuk",232.4,183.9,292,119.5,88,162,"Iowa","Keokuk County"
"iowa,shelby",230.8,186.9,285.2,155.1,121.5,199.4,"Iowa","Shelby County"
"iowa,osceola",230.7,168.4,312.6,108,68.9,167.3,"Iowa","Osceola County"
"iowa,henry",230.2,189.1,277.9,167.8,137.4,204.2,"Iowa","Henry County"
"iowa,winneshiek",230.2,191.8,275.2,142.6,115.2,176.4,"Iowa","Winneshiek County"
"iowa,crawford",229.6,188,278.8,152.3,122.1,189.4,"Iowa","Crawford County"
"iowa,warren",229.4,197.5,265.1,139.5,118.8,163.3,"Iowa","Warren County"
"iowa,clarke",229.1,173.9,298.7,165,122.8,220.4,"Iowa","Clarke County"
"iowa,johnson",228.9,204.7,255.3,167.4,150.3,186,"Iowa","Johnson County"
"iowa,worth",228,171.2,301.7,142.9,102.1,200.8,"Iowa","Worth County"
"iowa,wright",227.7,186.5,277.6,166.8,133.7,209.4,"Iowa","Wright County"
"iowa,van buren",227.3,172.3,298.9,138.5,97.8,197.2,"Iowa","Van Buren County"
"iowa,plymouth",227,192,267.3,156.9,130.6,188,"Iowa","Plymouth County"
"iowa,iowa",225.5,183.1,276.4,148.6,117.1,188,"Iowa","Iowa County"
"iowa,chickasaw",224.9,180.3,279.7,167.8,132.3,214.2,"Iowa","Chickasaw County"
"iowa,black hawk",224.1,207.1,242.3,160.5,148.1,173.8,"Iowa","Black Hawk County"
"iowa,cedar",224,184.2,270.9,178.4,146.6,217,"Iowa","Cedar County"
"iowa,appanoose",223.6,180.3,276.1,144.3,112.4,184.8,"Iowa","Appanoose County"
"iowa,delaware",223.2,182.4,271.6,146.7,116.7,183.8,"Iowa","Delaware County"
"iowa,mills",223.1,173.6,283.5,176.6,138.5,223.7,"Iowa","Mills County"
"iowa,ringgold",222.7,162.6,310.1,175.1,126.6,248.1,"Iowa","Ringgold County"
"iowa,boone",220.2,185.9,259.4,147.7,123.3,176.6,"Iowa","Boone County"
"iowa,howard",218.2,169.5,279.9,160.1,121.8,211.5,"Iowa","Howard County"
"iowa,adair",217.2,165.7,285.5,145.2,106.6,200.1,"Iowa","Adair County"
"iowa,benton",217.1,182.6,256.8,153.2,126.8,184.2,"Iowa","Benton County"
"iowa,greene",216.7,168.6,278.4,147.7,110.8,198.8,"Iowa","Greene County"
"iowa,poweshiek",213.7,175.8,258.5,166.5,136.3,203.2,"Iowa","Poweshiek County"
"iowa,story",212.9,188.6,239.6,130.5,114.4,148.5,"Iowa","Story County"
"iowa,adams",212.4,143.7,311.8,119.7,69.9,207.4,"Iowa","Adams County"
"iowa,ida",211.7,157,283.9,169.4,125.9,231.2,"Iowa","Ida County"
"iowa,humboldt",210.2,163.6,269.6,149.5,112.3,200.1,"Iowa","Humboldt County"
"iowa,madison",208.7,163.7,263,162.3,126.4,206.7,"Iowa","Madison County"
"iowa,cass",207.5,167.8,255.9,144.2,114.9,182.1,"Iowa","Cass County"
"iowa,clayton",207.5,171,250.9,154.8,126.1,190.3,"Iowa","Clayton County"
"iowa,bremer",206.4,171.5,247.2,141.7,116.7,172,"Iowa","Bremer County"
"iowa,franklin",205.8,159.5,264,135.7,104,178.8,"Iowa","Franklin County"
"iowa,tama",205.7,169.2,249.5,154.2,125,190,"Iowa","Tama County"
"iowa,hamilton",205,166.2,251.3,179.6,146.2,220.1,"Iowa","Hamilton County"
"iowa,audubon",204.5,150.5,282.3,128.2,89.6,192.6,"Iowa","Audubon County"
"iowa,butler",203.5,165,250.2,186.7,152.9,228.9,"Iowa","Butler County"
"iowa,mitchell",202.7,158.9,258.9,139,103.9,186.9,"Iowa","Mitchell County"
"iowa,kossuth",201.8,165.7,246.3,145.2,116.9,181.8,"Iowa","Kossuth County"
"iowa,lyon",200.2,155.1,256,133.7,101.3,176.7,"Iowa","Lyon County"
"iowa,sioux",194.5,164.7,228.8,126.6,105.1,152.3,"Iowa","Sioux County"
"iowa,washington",188.1,154.3,227.9,143,116.6,174.8,"Iowa","Washington County"
"iowa,winnebago",187.1,143.3,242.9,155.9,120.3,202.9,"Iowa","Winnebago County"
"iowa,davis",179,129.4,244,163,119.4,221.3,"Iowa","Davis County"
"iowa,taylor",177.9,127.9,247.5,144.9,100.4,209.5,"Iowa","Taylor County"
"iowa,clay",174.5,138.9,217.5,145.1,116.7,180.2,"Iowa","Clay County"
"iowa,jefferson",161.3,122.8,209.1,154.7,122.4,195.1,"Iowa","Jefferson County"
"kansas,wyandotte",317,296.8,338.4,189.2,176.2,202.9,"Kansas","Wyandotte County"
"kansas,chase",311.1,206.2,459.5,199,127.2,320.3,"Kansas","Chase County"
"kansas,montgomery",296.9,263.8,333.5,176.3,154.4,201.3,"Kansas","Montgomery County"
"kansas,neosho",294.3,246.7,349.5,135,107.5,169.4,"Kansas","Neosho County"
"kansas,elk",291.5,202.5,430.7,245.3,168.1,371.6,"Kansas","Elk County"
"kansas,edwards",286.4,196.9,414.3,NA,NA,NA,"Kansas","Edwards County"
"kansas,grant",284.2,194.3,407.4,123.5,77.4,188.8,"Kansas","Grant County"
"kansas,allen",284,234.1,343.1,170.8,136,214.3,"Kansas","Allen County"
"kansas,hamilton",283.3,174.1,443.1,191.8,106.5,334.1,"Kansas","Hamilton County"
"kansas,barber",281.6,205.2,392.4,182.9,130.6,266.2,"Kansas","Barber County"
"kansas,crawford",279.4,245.4,317,151.5,130.4,175.9,"Kansas","Crawford County"
"kansas,doniphan",272.8,207.5,354.7,123.7,85.3,177.7,"Kansas","Doniphan County"
"kansas,chautauqua",270.5,199.4,379.4,209.7,143.2,317,"Kansas","Chautauqua County"
"kansas,labette",270.2,230.5,315.6,147.3,121.8,178,"Kansas","Labette County"
"kansas,cherokee",269,226.3,318.2,173.5,144.3,207.8,"Kansas","Cherokee County"
"kansas,geary",269,222.1,324.2,184.6,151.7,222.6,"Kansas","Geary County"
"kansas,sumner",266.6,227.9,310.7,175.4,148.2,207.5,"Kansas","Sumner County"
"kansas,coffey",264.7,203.2,341.6,186.6,140,247.7,"Kansas","Coffey County"
"kansas,cowley",263.5,231.2,299.4,187.4,163.2,214.7,"Kansas","Cowley County"
"kansas,comanche",261.9,164,455.2,160.4,95.7,320.7,"Kansas","Comanche County"
"kansas,harper",261.1,197.9,344.8,166.9,121,237.5,"Kansas","Harper County"
"kansas,cheyenne",259.7,178.3,393.8,122.9,63.8,253.8,"Kansas","Cheyenne County"
"kansas,barton",259.5,224.3,299.5,137.5,114.9,164.7,"Kansas","Barton County"
"kansas,lane",259.5,152.9,452.1,191.1,100.8,403.8,"Kansas","Lane County"
"kansas,pottawatomie",259.4,213.5,312.6,139.9,110,176.7,"Kansas","Pottawatomie County"
"kansas,leavenworth",258.3,229.2,290.6,163.6,144.4,184.7,"Kansas","Leavenworth County"
"kansas,atchison",256.9,209.9,312.1,183,148.9,224.2,"Kansas","Atchison County"
"kansas,smith",256.3,185.5,371.4,129.2,87,228.9,"Kansas","Smith County"
"kansas,decatur",255.4,173.9,388.5,108.6,61.6,220.3,"Kansas","Decatur County"
"kansas,ottawa",254.7,185.8,346.2,206.8,148.9,288.9,"Kansas","Ottawa County"
"kansas,bourbon",253.2,206.6,308.3,150.1,119.1,189.1,"Kansas","Bourbon County"
