"","csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"219","ouvri","d24","non","ai35","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"220","inter","d48","non","ai35","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"221","emplo","dm2","non","ai45","fem","oui","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","nul","nul"
"222","inter","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"223","artis","d812","non","ai55","fem","non","non","non","n2","nul","nul","non","for","non","fai","fai","nul","nul","moy","nul","nul"
"224","emplo","d812","non","ai35","fem","non","oui","non","p2","nul","for","non","nul","oui","fai","nul","nul","fai","for","for","moy"
"225","emplo","d812","non","ai35","fem","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"226","inact","dp12","non","ai75","fem","non","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","fai","fai","for"
"227","emplo","d48","non","ai45","fem","non","non","oui","p1","nul","nul","non","nul","non","fai","fai","nul","fai","fai","nul","nul"
"228","emplo","dm2","non","ai35","fem","non","oui","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"229","emplo","dp12","oui","ai55","fem","non","non","non","p2","nul","fai","non","nul","non","fai","nul","nul","fai","fai","moy","fai"
"230","emplo","d812","non","ai45","fem","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","moy","fai","nul"
"231","cadsu","d48","non","ai75","hom","oui","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"232","inact","d48","oui","ai45","fem","non","oui","non","p2","for","nul","non","nul","non","moy","fai","nul","moy","fai","fai","nul"
"233","emplo","dp12","non","ai45","fem","non","non","non","p2","for","nul","non","nul","oui","fai","moy","nul","nul","nul","nul","nul"
"234","ouvri","d48","non","ai45","fem","non","oui","non","n1","nul","nul","non","fai","non","fai","moy","nul","nul","fai","nul","nul"
"235","emplo","d48","non","ai55","fem","non","non","non","p2","nul","nul","non","fai","non","fai","fai","nul","nul","fai","fai","nul"
"236","emplo","dp12","oui","ai45","fem","non","non","non","p2","nul","nul","non","fai","non","fai","nul","nul","moy","fai","moy","nul"
"237","inact","d812","non","ai75","fem","non","oui","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","fai","moy","nul"
"238","inact","d48","non","ai25","fem","oui","non","oui","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"239","emplo","dp12","non","ai75","fem","non","non","non","p2","for","fai","non","nul","non","fai","nul","nul","nul","nul","fai","moy"
"240","inact","d812","non","ai75","fem","non","oui","non","p2","nul","fai","non","fai","non","fai","nul","nul","nul","nul","fai","nul"
"241","emplo","d48","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"242","emplo","dp12","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","oui","fai","nul","nul","fai","for","moy","nul"
"243","inact","d812","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","fai","nul","nul","nul"
"244","artis","d48","non","ai55","fem","non","oui","non","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"245","retra","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","moy","moy"
"246","retra","dp12","non","ai75","fem","non","oui","non","n1","fai","fai","non","nul","non","fai","fai","nul","nul","fai","fai","moy"
"247","inact","d812","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","for","nul"
"248","inact","dm2","non","ai55","fem","non","non","non","p4","nul","fai","non","nul","non","fai","nul","nul","nul","nul","moy","for"
"249","emplo","d48","non","ai25","fem","non","non","non","p2","fai","fai","non","nul","non","fai","fai","nul","nul","for","for","fai"
"250","emplo","dp12","non","ai45","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"251","inact","d48","oui","ai55","fem","non","oui","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","moy"
"252","inter","dp12","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","nul","nul","moy","nul"
"253","inact","dm2","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"254","ouvri","d48","non","ai35","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"255","inter","d812","non","ai55","fem","oui","non","non","n2","for","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"256","inact","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"257","inact","dp12","non","ai45","fem","non","oui","oui","n1","fai","fai","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"258","inact","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","for","oui","fai","for","nul","nul","for","moy","fai"
"259","ouvri","d812","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"260","inact","dp12","non","ai75","hom","non","oui","oui","p4","nul","nul","non","nul","non","moy","fai","nul","nul","for","for","for"
"261","cadsu","dm2","non","ai45","hom","non","oui","non","p4","nul","nul","oui","nul","non","for","nul","nul","nul","fai","for","fai"
"262","ouvri","d24","non","ai45","hom","non","non","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"263","inter","dm2","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"264","cadsu","d24","non","ai45","hom","non","oui","non","n2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"265","cadsu","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"266","ouvri","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"267","retra","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"268","emplo","d48","oui","ai35","hom","non","oui","non","p2","for","nul","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"269","inter","d812","non","ai55","hom","non","non","non","p4","nul","for","non","nul","non","moy","for","nul","nul","fai","nul","for"
"270","ouvri","d24","non","ai35","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","fai","nul","nul","nul"
"271","artis","dm2","non","ai55","hom","non","non","non","p3","nul","fai","non","nul","non","for","nul","nul","nul","moy","for","nul"
"272","etudi","d48","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"273","ouvri","dm2","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"274","ouvri","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"275","artis","d24","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"276","retra","d48","oui","ai75","hom","non","non","non","p2","for","fai","non","nul","non","fai","nul","fai","nul","for","for","nul"
"277","ouvri","d812","non","ai35","hom","non","oui","non","n2","nul","nul","oui","nul","oui","fai","moy","nul","moy","for","for","nul"
"278","emplo","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"279","inter","d48","oui","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","moy","nul","fai","moy","nul"
"280","inter","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","moy","nul","nul","nul","nul"
"281","cadsu","d812","non","ai35","hom","non","oui","non","p2","fai","fai","oui","for","non","fai","moy","nul","nul","moy","for","nul"
"282","cadsu","dp12","non","ai55","hom","non","non","non","n2","nul","nul","non","nul","non","fai","for","nul","nul","for","for","for"
"283","emplo","d24","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"284","etudi","d24","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"285","artis","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"286","artis","d48","non","ai55","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"287","ouvri","d48","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"288","ouvri","dp12","non","ai45","hom","non","oui","oui","p2","nul","nul","non","nul","non","fai","moy","fai","moy","fai","for","nul"
"289","emplo","d48","non","ai35","hom","non","oui","oui","p4","nul","nul","non","nul","non","fai","fai","nul","moy","fai","for","moy"
"290","cadsu","d48","non","ai55","hom","non","oui","non","p1","nul","fai","non","for","oui","fai","nul","nul","fai","for","fai","moy"
"291","inact","d48","non","ai35","hom","non","oui","non","p2","fai","fai","non","nul","non","fai","for","nul","nul","nul","fai","nul"
"292","ouvri","d48","non","ai45","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"293","cadsu","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"294","inact","dm2","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"295","ouvri","d48","non","ai25","hom","non","oui","non","p1","nul","fai","non","nul","non","fai","fai","nul","nul","fai","fai","nul"
"296","retra","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"297","cadsu","dm2","non","ai45","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"298","etudi","d24","non","ai25","hom","non","oui","non","p4","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"299","ouvri","dm2","non","ai45","hom","non","non","non","p4","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"300","artis","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"301","ouvri","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"302","ouvri","d48","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"303","ouvri","d48","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","fai"
"304","ouvri","dp12","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"305","ouvri","d48","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","fai","nul","nul","moy","for","nul"
"306","inter","d24","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"307","ouvri","d48","non","ai55","hom","non","non","non","p1","nul","fai","non","nul","non","moy","nul","nul","nul","nul","fai","nul"
"308","ouvri","d48","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"309","ouvri","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"310","inact","d48","oui","ai55","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"311","inact","dm2","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"312","etudi","dm2","non","ai25","hom","non","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","fai","nul"
"313","emplo","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","fai","fai","fai","nul"
"314","artis","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"315","cadsu","d48","non","ai55","hom","non","oui","oui","p2","nul","nul","non","nul","non","fai","fai","nul","nul","fai","moy","nul"
"316","ouvri","d48","non","ai35","hom","non","non","oui","p3","nul","nul","non","fai","non","for","fai","moy","nul","fai","moy","nul"
"317","ouvri","d24","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","fai","nul"
"318","etudi","d24","non","ai25","hom","non","oui","non","p4","nul","nul","non","nul","non","fai","fai","nul","nul","nul","for","nul"
"319","emplo","d48","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"320","emplo","dm2","non","ai35","hom","non","non","non","n2","nul","nul","non","for","non","fai","moy","nul","nul","fai","fai","nul"
"321","retra","dm2","non","ai75","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"322","etudi","d24","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"323","ouvri","d48","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","moy","nul","fai","nul"
"324","inact","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"325","emplo","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","for","nul"
"326","cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","for","for","nul"
"327","ouvri","d812","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","nul","nul"
"328","inact","dm2","non","ai75","hom","non","non","non","p4","nul","nul","oui","nul","non","fai","fai","nul","nul","nul","nul","nul"
"329","ouvri","d24","non","ai55","hom","non","non","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"330","ouvri","d812","non","ai35","hom","non","oui","non","n1","nul","nul","non","nul","oui","fai","nul","fai","moy","moy","moy","nul"
"331","cadsu","d48","non","ai45","hom","non","non","non","p1","for","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"332","etudi","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"333","etudi","d48","oui","ai25","hom","non","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","fai","nul"
"334","etudi","d48","non","ai25","hom","non","oui","non","p1","nul","fai","non","nul","oui","fai","fai","nul","nul","nul","nul","fai"
"335","inter","dp12","oui","ai55","hom","non","non","oui","p2","nul","nul","non","nul","non","fai","fai","fai","nul","fai","for","nul"
"336","retra","dp12","non","ai75","hom","non","non","non","p4","for","for","non","nul","non","fai","fai","nul","nul","fai","for","for"
"337","artis","dp12","non","ai75","hom","non","oui","oui","n1","for","fai","oui","nul","non","moy","fai","nul","moy","fai","for","nul"
"338","emplo","dm2","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"339","ouvri","d812","oui","ai55","hom","non","oui","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"340","cadsu","dm2","non","ai45","hom","non","non","non","p4","nul","nul","non","for","non","fai","for","nul","nul","nul","nul","nul"
"341","agric","d48","non","ai35","hom","oui","oui","oui","n2","nul","nul","non","for","oui","fai","nul","nul","nul","nul","nul","nul"
"342","artis","dm2","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"343","emplo","d812","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"344","ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"345","cadsu","d48","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"346","cadsu","d24","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"347","emplo","d48","non","ai55","hom","non","oui","non","p4","for","fai","non","nul","non","fai","fai","nul","nul","nul","for","nul"
"348","ouvri","d812","non","ai55","hom","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"349","ouvri","d24","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"350","ouvri","dm2","non","ai35","hom","oui","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"351","agric","dm2","non","ai45","hom","non","non","non","n2","nul","fai","non","for","oui","fai","nul","nul","fai","nul","nul","nul"
"352","ouvri","d24","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"353","retra","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"354","emplo","d24","non","ai75","hom","non","non","non","n1","nul","nul","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"355","inter","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"356","cadsu","d24","non","ai45","hom","non","oui","non","p3","for","nul","non","nul","non","fai","nul","nul","nul","for","for","nul"
"357","agric","d24","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"358","cadsu","d24","oui","ai75","hom","non","non","non","n2","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","fai"
"359","etudi","d48","non","ai25","hom","non","oui","non","p1","nul","fai","non","for","non","fai","nul","nul","nul","fai","fai","nul"
"360","artis","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"361","inter","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"362","inter","d24","non","ai55","hom","oui","non","non","p4","nul","nul","non","nul","non","for","fai","nul","nul","nul","nul","fai"
"363","artis","d48","non","ai45","hom","non","oui","oui","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"364","cadsu","d48","non","ai55","hom","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"365","cadsu","d48","non","ai35","hom","non","oui","non","n2","nul","nul","non","for","non","fai","nul","nul","nul","fai","nul","nul"
"366","emplo","d48","non","ai45","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","moy","nul"
"367","ouvri","d24","non","ai25","hom","oui","non","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"368","cadsu","dm2","non","ai35","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","nul","for","nul"
"369","artis","d48","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","oui","fai","for","nul","nul","nul","for","nul"
"370","ouvri","dm2","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"371","inter","dm2","non","ai45","hom","non","non","non","n2","nul","nul","non","for","non","moy","fai","nul","nul","for","for","nul"
"372","cadsu","d48","non","ai55","hom","non","non","non","p1","fai","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"373","inter","d48","non","ai45","hom","non","oui","non","p4","nul","fai","non","nul","non","fai","for","nul","moy","fai","for","nul"
"374","ouvri","d812","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","moy","moy","nul","moy","fai","fai","nul"
"375","ouvri","d812","non","ai75","hom","non","non","oui","n1","nul","fai","non","nul","non","fai","nul","nul","nul","fai","moy","nul"
"376","inter","dp12","oui","ai45","hom","non","oui","oui","p3","fai","fai","non","nul","non","fai","fai","moy","nul","fai","for","nul"
"377","cadsu","d48","non","ai45","hom","non","non","oui","n2","nul","fai","non","fai","non","moy","nul","moy","moy","fai","for","nul"
"378","agric","d24","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","oui","fai","moy","nul","nul","fai","fai","nul"
"379","ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","moy","fai","fai","nul"
"380","emplo","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","moy","moy","nul","nul","fai","nul","nul"
"381","ouvri","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"382","inter","d24","non","ai45","hom","non","oui","oui","p1","nul","for","non","nul","non","for","fai","nul","nul","fai","for","fai"
"383","emplo","d48","non","ai45","hom","non","non","oui","p4","nul","fai","non","nul","non","moy","nul","fai","fai","fai","for","nul"
"384","inact","d24","non","ai75","hom","non","oui","non","p4","nul","nul","non","nul","non","fai","fai","nul","nul","fai","for","for"
"385","inter","dm2","non","ai45","hom","non","oui","non","p2","nul","nul","oui","for","non","fai","fai","nul","nul","nul","for","nul"
"386","ouvri","d48","non","ai35","hom","non","oui","non","p4","nul","fai","non","nul","non","fai","nul","nul","nul","fai","for","nul"
"387","ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"388","inter","d812","non","ai55","hom","non","oui","oui","p1","fai","fai","oui","nul","oui","fai","fai","nul","nul","moy","moy","moy"
"389","inter","dp12","non","ai55","hom","non","oui","oui","p1","nul","nul","oui","for","non","fai","nul","nul","moy","nul","for","fai"
"390","ouvri","dm2","non","ai55","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"391","cadsu","dm2","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"392","emplo","d812","non","ai45","hom","non","oui","oui","p3","for","fai","non","fai","non","fai","nul","nul","nul","moy","for","moy"
"393","ouvri","dp12","non","ai55","hom","non","oui","non","p3","for","nul","non","nul","non","fai","moy","nul","nul","moy","fai","fai"
"394","inter","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"395","inter","dm2","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","for","for","moy","nul","fai","nul","nul"
"396","emplo","d812","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","for","nul","for"
"397","ouvri","d24","non","ai45","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","moy","fai","fai","nul"
"398","emplo","d48","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","fai","fai","nul"
"399","cadsu","d24","non","ai45","hom","oui","non","non","p2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"400","emplo","d24","non","ai55","hom","non","non","non","n2","nul","nul","non","fai","non","fai","fai","fai","moy","nul","nul","nul"
"401","ouvri","d24","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"402","cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"403","ouvri","d24","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"404","emplo","d48","non","ai45","hom","non","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"405","ouvri","d48","non","ai35","hom","non","non","non","p3","nul","nul","oui","nul","non","fai","fai","nul","moy","fai","moy","nul"
"406","inter","d24","non","ai35","hom","non","non","non","n2","nul","nul","non","nul","oui","fai","nul","fai","nul","nul","nul","nul"
"407","inter","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"408","etudi","dm2","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","nul","nul"
"409","cadsu","d812","non","ai45","hom","non","non","non","n2","nul","fai","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"410","ouvri","d48","oui","ai45","hom","non","non","non","p4","nul","for","non","nul","non","moy","fai","nul","nul","nul","moy","fai"
"411","ouvri","d48","oui","ai35","hom","non","oui","non","p2","for","fai","non","fai","non","fai","fai","nul","fai","for","moy","nul"
"412","ouvri","d48","oui","ai45","hom","non","non","oui","n1","fai","nul","non","nul","non","fai","fai","nul","nul","fai","for","fai"
"413","ouvri","d48","oui","ai35","hom","non","non","non","p2","nul","nul","oui","nul","non","moy","moy","fai","nul","fai","moy","nul"
"414","cadsu","d48","non","ai45","hom","non","non","non","p2","nul","nul","non","for","non","fai","moy","nul","nul","fai","nul","fai"
"415","ouvri","dp12","non","ai35","hom","non","non","non","p4","for","fai","non","nul","non","moy","nul","fai","moy","fai","for","nul"
"416","ouvri","d48","non","ai45","hom","non","non","oui","p4","fai","fai","non","nul","non","moy","fai","nul","nul","for","for","nul"
"417","retra","dp12","non","ai75","hom","non","non","oui","p2","nul","nul","non","nul","non","moy","nul","nul","nul","moy","for","nul"
"418","inter","d48","oui","ai35","hom","non","oui","non","n1","nul","nul","non","for","non","fai","fai","nul","nul","fai","for","nul"
"419","emplo","dp12","non","ai55","hom","non","non","non","p2","nul","fai","non","nul","non","fai","nul","nul","fai","fai","fai","nul"
"420","ouvri","d48","non","ai45","hom","non","oui","non","p4","nul","nul","non","nul","oui","fai","fai","nul","nul","for","for","nul"
"421","inter","d48","non","ai45","hom","non","non","oui","p2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","moy","nul"
"422","cadsu","d24","non","ai45","hom","oui","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"423","ouvri","dp12","non","ai45","hom","non","non","oui","p2","nul","fai","non","nul","non","fai","nul","nul","fai","moy","for","nul"
"424","cadsu","d24","non","ai55","hom","non","oui","non","p4","for","fai","non","nul","non","fai","moy","nul","nul","fai","moy","moy"
"425","ouvri","d48","non","ai45","hom","non","non","non","p2","nul","nul","oui","nul","non","fai","moy","fai","moy","fai","fai","nul"
"426","inact","d48","non","ai75","hom","non","oui","oui","p3","for","nul","non","nul","non","fai","moy","nul","nul","nul","fai","nul"
"427","cadsu","dm2","non","ai55","hom","non","non","non","p2","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"428","emplo","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"429","retra","d48","non","ai75","hom","non","non","oui","n1","nul","for","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"430","inact","d48","non","ai75","hom","non","non","non","p1","for","fai","non","nul","non","fai","nul","nul","nul","fai","fai","for"
"431","ouvri","d48","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","for","fai","nul","moy","fai","for","nul"
"432","artis","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"433","artis","d812","non","ai55","hom","non","non","non","p1","nul","nul","oui","nul","oui","fai","fai","nul","fai","fai","fai","nul"
"434","retra","d48","non","ai75","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"435","ouvri","d812","non","ai35","hom","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","nul","fai","moy","nul"
"436","retra","d812","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
