"","Genotype","Locality","Rep","WeightPlant","WeightPlot","Yield"
"457","317.6","SR-03",1,8,1.4,6.48148148148148
"458","317.6","SR-03",2,9,3.5,14.40329218107
"459","317.6","SR-03",3,8,2.45,11.3425925925926
"460","319.20","SR-03",1,5,1.88,13.9259259259259
"461","319.20","SR-03",2,4,0.5,4.62962962962963
"462","319.20","SR-03",3,5,1.19,8.81481481481481
"463","320.16","SR-03",1,2,0.19,3.51851851851852
"464","320.16","SR-03",2,2,0.24,4.44444444444444
"465","320.16","SR-03",3,2,0.29,5.37037037037037
"466","342.15","SR-03",1,4,1.19,11.0185185185185
"467","342.15","SR-03",2,5,1.54,11.4074074074074
"468","342.15","SR-03",3,4,1.31,12.1296296296296
"469","346.2","SR-03",1,7,2.438,12.8994708994709
"470","346.2","SR-03",2,8,2.73,12.6388888888889
"471","346.2","SR-03",3,8,3.02,13.9814814814815
"472","351.26","SR-03",1,8,1.56,7.22222222222222
"473","351.26","SR-03",2,9,4.3,17.6954732510288
"474","351.26","SR-03",3,9,3.5,14.40329218107
"475","364.21","SR-03",1,10,5.9,21.8518518518519
"476","364.21","SR-03",2,6,2.5,15.4320987654321
"477","364.21","SR-03",3,8,2.85,13.1944444444444
"478","402.7","SR-03",1,8,1.9,8.7962962962963
"479","402.7","SR-03",2,9,2.25,9.25925925925926
"480","402.7","SR-03",3,10,2.6,9.62962962962963
"481","405.2","SR-03",1,10,4.92,18.2222222222222
"482","405.2","SR-03",2,8,3.44,15.9259259259259
"483","405.2","SR-03",3,9,4.18,17.201646090535
"484","406.12","SR-03",1,10,3.86,14.2962962962963
"485","406.12","SR-03",2,7,1.83,9.68253968253968
"486","406.12","SR-03",3,9,2.56,10.5349794238683
"487","427.7","SR-03",1,8,2.66,12.3148148148148
"488","427.7","SR-03",2,6,1.68,10.3703703703704
"489","427.7","SR-03",3,7,2.17,11.4814814814815
"490","450.3","SR-03",1,10,3.4,12.5925925925926
"491","450.3","SR-03",2,10,4.2,15.5555555555556
"492","450.3","SR-03",3,10,3.5,12.962962962963
"493","506.2","SR-03",1,6,1.68,10.3703703703704
"494","506.2","SR-03",2,8,3,13.8888888888889
"495","506.2","SR-03",3,6,1.36,8.39506172839506
"496","Canchan","SR-03",1,3,0.02,0.246913580246914
"497","Canchan","SR-03",2,9,1.57,6.46090534979424
"498","Canchan","SR-03",3,1,0.015,0.555555555555556
"499","Desiree","SR-03",1,9,3.52,14.4855967078189
"500","Desiree","SR-03",2,8,2.74,12.6851851851852
"501","Desiree","SR-03",3,7,1.34,7.08994708994709
"502","Unica","SR-03",1,10,4.88,18.0740740740741
"503","Unica","SR-03",2,9,4.41,18.1481481481481
"504","Unica","SR-03",3,9,3.94,16.2139917695473
