"","Place","Replication","Treatment","Factor","Female","Male","v1","v2","v3","v4","v5"
"314",3,3,26,"progenitor","TPS-2",NA,3.089,1.225,0.491,1.147,87.43
"315",3,3,27,"progenitor","TPS-25",NA,3.082,1.865,0.487,1.124,90.75
"316",3,3,28,"progenitor","TPS-7",NA,2.995,1.304,0.479,1.07,84.17
"317",3,3,29,"progenitor","MF-I",NA,2.883,1.897,0.431,1.032,70.85
"318",3,3,30,"progenitor","MF-II",NA,3.157,1.315,0.459,1.079,119.75
"319",3,3,31,"progenitor","Serrana",NA,2.815,1.769,0.475,0.888,84.17
"320",3,3,32,"progenitor","Achirana",NA,3.021,1.682,0.47,1.209,64.95
"321",3,3,33,"progenitor",NA,"TS-15",2.881,1.425,0.42,0.892,97.43
"322",3,3,34,"progenitor",NA,"TPS-13",2.824,1.526,0.444,0.99,68.21
"323",3,3,35,"progenitor",NA,"TPS-67",2.829,1.466,0.442,1.124,50.69
"324",3,3,36,"Control",NA,NA,2.952,1.315,0.452,0.924,106.55
