"","locality","site","dose","entry","replication","height","stalks","wfr","wff","wfk","roots","FOS","glucose","fructose","sucrose","brix","foliage","dry","IH"
"182","LIM",3,"F0","AMM5136",2,144.125,8.1875,12400,95400,19000,10,1.7,30.5,38.5,7.9,5,14.1,15.3,0.2542
"183","LIM",3,"F0","AMM5136",3,133.5625,7.6875,11000,89000,16800,11.2,2.6,24.2,37.2,7.5,4.8,12.8,11.8,0.3135
"184","LIM",3,"F80","AMM5136",1,167.125,9.5,12500,74750,22400,8,19.1,15.9,29.8,17.9,4.7,12.3,8.7,0.2752
"185","LIM",3,"F80","AMM5136",2,131.5,8.1875,10400,95400,18700,9.4,9.6,21.6,30.6,7.5,4.8,13.1,9.6,0.2927
"186","LIM",3,"F80","AMM5136",3,127.5,9.125,7400,89000,16500,7.4,7,21.4,30.7,5.1,4,12.7,13.8,0.2182
"187","LIM",3,"F150","AMM5136",1,167.9375,7.5,11000,74750,21000,7.5,2.1,20.1,28.9,5.1,5.7,12,7.8,0.2757
"188","LIM",3,"F150","AMM5136",2,150,7.4375,8000,95400,20000,9,7.6,19.6,29,9.2,6.9,14.1,15.5,0.2337
"189","LIM",3,"F150","AMM5136",3,153.1875,9.4375,9000,89000,19000,10,9.4,16.3,32.3,12,7,13.6,13.6,0.2687
"190","LIM",3,"F0","SAL136",1,110.9375,7.25,17600,96550,18500,8.6,10.6,19.9,36.9,26.5,6.8,11.3,13.2,0.26
"191","LIM",3,"F0","SAL136",2,98.75,8.1875,10500,91520,15000,6.9,1.5,26.3,44.8,7.1,4.3,11.8,23.9,0.1609
"192","LIM",3,"F0","SAL136",3,129.75,9.5,20250,104000,21250,8.2,12.8,19,34.5,22.4,6.6,12,11.7,0.2567
"193","LIM",3,"F80","SAL136",1,113.375,8.125,13800,96550,17000,8.7,14.2,19.9,35.1,5.9,4.2,10.1,9.9,0.3039
"194","LIM",3,"F80","SAL136",2,100.375,7.625,8500,91520,14400,7.4,18.6,15,33.2,10.7,3.9,10.2,10.6,0.2622
"195","LIM",3,"F80","SAL136",3,102.3125,6.875,6000,104000,12000,7.4,13.7,13,35.7,3.6,3.5,10.7,8.9,0.2738
"196","LIM",3,"F150","SAL136",1,121.75,6.875,13400,96550,14800,9.2,1.6,15.3,37.4,5.9,5,10.5,13,0.2824
"197","LIM",3,"F150","SAL136",2,118.9375,8.9375,9500,91520,13000,6.8,1.2,12.4,30.9,1.1,3,10.2,12.1,0.2332
"198","LIM",3,"F150","SAL136",3,151.625,8.6875,19000,104000,22000,12.2,13.6,14.3,38.9,6.6,6,9.7,12.3,0.3556
"199","LIM",3,"F0","AMM5163",1,179.875,7.1875,15000,83800,16500,10.1,2.9,27.1,35.8,10.6,6.5,12.8,13.7,0.2757
"200","LIM",3,"F0","AMM5163",2,82.6875,4.625,12250,88000,15500,9.3,2.6,20.7,31.5,23.2,5.6,12.9,14.1,0.257
"201","LIM",3,"F0","AMM5163",3,192.6875,8.0625,27375,86850,23100,10.9,19.6,11.4,30,30.9,9.2,17.7,16.9,0.2392
"202","LIM",3,"F80","AMM5163",1,206.75,8.0625,15700,83800,19700,10.4,21.2,14,28.2,26.8,6,14.6,12.6,0.2767
"203","LIM",3,"F80","AMM5163",2,220.0625,8.4375,21400,88000,25000,9.7,17,7.9,29.7,29.9,7,13.6,12.4,0.2725
"204","LIM",3,"F80","AMM5163",3,177.5625,8.375,13800,86850,18200,10.8,13.2,11.3,29.5,23.6,6.9,13.5,9.6,0.3188
"205","LIM",3,"F150","AMM5163",1,209.4375,7,13000,83800,25000,18.9,29.1,11.8,21.9,22.3,9.9,14.7,17.1,0.3735
"206","LIM",3,"F150","AMM5163",2,212,7.6875,11000,88000,15300,22.2,7.8,14.5,25.5,13.7,7.1,16,8.8,0.4725
"207","LIM",3,"F150","AMM5163",3,173.1875,7.25,6000,86850,15000,9.8,4.6,17.3,30,9.5,5.5,14.9,12.8,0.2618
"208","LIM",3,"F0","CLLUNC118",1,63.625,5.8125,6205,63600,13100,12.1,3.5,17.4,22.7,30.8,7,11.4,9,0.3725
"209","LIM",3,"F0","CLLUNC118",2,194,7.75,2000,35000,8500,10.7,2.7,15.9,26.3,25.2,5.5,12.5,12.6,0.2987
"210","LIM",3,"F0","CLLUNC118",3,100.875,10.25,7200,63900,15100,10.4,2.4,13.9,28.7,20.8,5.2,13.9,10.4,0.2993
"211","LIM",3,"F80","CLLUNC118",1,66.875,5.6875,11400,63600,15500,9,8.9,17.3,23.1,8.9,4,12.7,9.2,0.2908
"212","LIM",3,"F80","CLLUNC118",2,81.8125,5.875,4000,35000,15500,8.1,11,11.8,24.8,10.3,4.2,13.3,10.6,0.2543
"213","LIM",3,"F80","CLLUNC118",3,91.75,8.625,10500,63900,12700,7.3,13.4,14.4,22,12.1,3.9,11.4,8.3,0.27
"214","LIM",3,"F150","CLLUNC118",1,73.25,6.9375,1800,63600,11000,12.2,0.8,11.1,22.2,8.9,3.5,12.1,10.1,0.3549
"215","LIM",3,"F150","CLLUNC118",2,84.5625,7.9375,2000,35000,5900,11.9,0.7,10.8,24.1,4.3,2.9,12.3,7.2,0.3798
"216","LIM",3,"F150","CLLUNC118",3,80.9976088,8.326086956,5000,63900,16000,11.8,12.2,11,18.7,27.6,6.6,12.3,16.6,0.3717
"217","LIM",4,"F0","P1385",1,294.5,3.5,29100,81200,40900,6,55.3,9.12,14.1,15.98,5.6,10.5,9.3,0.2316
"218","LIM",4,"F0","P1385",2,299.75,3.5,35720,99900,47100,6.6,56.1,5.81,10.45,18.84,6.2,11.7,10.9,0.2258
"219","LIM",4,"F0","P1385",3,296.375,4.5,22100,54400,25000,5.7,52.7,10.58,18.5,11.02,5.6,13.3,11.2,0.1892
"220","LIM",4,"F80","P1385",1,279.533333333333,2.86666666666667,25900,78550,42090,4.1,38.7,12.22,26.8,14.78,4.3,11.7,10.3,0.1585
"221","LIM",4,"F80","P1385",2,309.066666666667,4.66666666666667,31900,98650,44150,6.9,48.7,5.36,16.9,20.64,6.2,12.2,14.4,0.2047
"222","LIM",4,"F80","P1385",3,260.454545454545,3.45454545454545,26880,65300,48080,5.1,34.6,10.38,29.7,19.12,5.2,14.4,10,0.1717
"223","LIM",4,"F150","P1385",1,283.125,4.625,28350,100670,41550,5.3,44.2,8.01,23.65,15.34,5.4,12.3,9,0.2002
"224","LIM",4,"F150","P1385",2,241.733333333333,3.6,30720,74750,52600,4.8,51.9,4.13,18.65,18.52,5,9.6,7.6,0.2179
"225","LIM",4,"F150","P1385",3,221.333333333333,5.66666666666667,34330,586700,78300,8,53.3,1.5,12.45,25.94,7.2,11.3,10.3,0.27
"226","LIM",4,"F0","AMM5150",1,301.928571428571,4.28571428571429,31750,91600,47250,7,52.8,5.47,9.55,24.18,7,11.9,8.2,0.2571
"227","LIM",4,"F0","AMM5150",2,282.375,2.5625,45850,70100,45500,6.6,48.1,4.73,19.75,20.92,6.4,10.6,11,0.2344
"228","LIM",4,"F0","AMM5150",3,261.866666666667,3.2,39900,71750,35150,6.2,50.1,5.95,20.05,17.1,6.4,12.9,7,0.2392
"229","LIM",4,"F80","AMM5150",1,269.3125,2.875,21400,80300,36200,4.9,46,10.36,25.9,12.34,5,13.5,12.1,0.1619
"230","LIM",4,"F80","AMM5150",2,270.071428571429,3.71428571428571,30650,78200,34380,5.5,47.5,7.61,22.05,16.84,5.6,13.9,9.4,0.1924
"231","LIM",4,"F80","AMM5150",3,271.5,3.42857142857143,45900,69600,62100,6.6,52.4,2.67,17.75,19.78,6.8,13.3,16.1,0.1842
"232","LIM",4,"F150","AMM5150",1,243.75,3.6875,27790,78100,33350,4.3,42.5,10.94,27.3,10.36,5.5,11.5,7.3,0.1847
"233","LIM",4,"F150","AMM5150",2,206.8125,6.8125,33100,58650,82100,7.9,56.9,1.5,11.8,25.6,7.8,11.8,11.3,0.2556
"234","LIM",4,"F150","AMM5150",3,206.428571428571,6.42857142857143,41340,55350,93570,6,48,3.12,19.8,22.28,6,10.6,6.8,0.2569
"235","LIM",4,"F0","ARB5125 ",1,280.0625,3.375,31800,95555,37800,8.9,59.9,2.54,2.8,26.96,8.2,12.2,8.9,0.2953
"236","LIM",4,"F0","ARB5125 ",2,283.8,3.33333333333333,37950,84200,53200,7,49.8,5.43,14.85,21.02,7,11.9,23.1,0.1669
"237","LIM",4,"F0","ARB5125 ",3,290.818181818182,3.63636363636364,28150,74300,39800,4.7,47.1,6.33,21.35,18.02,6,10.7,10.2,0.183
"238","LIM",4,"F80","ARB5125 ",1,264.333333333333,4.2,20320,84550,32280,4.8,41.8,13.09,30.05,9.76,4.8,13,7.4,0.19
"239","LIM",4,"F80","ARB5125 ",2,280.235294117647,3.23529411764706,30300,72100,45150,5.2,44.7,8.91,25.35,15.54,5.6,12.2,9.1,0.1958
"240","LIM",4,"F80","ARB5125 ",3,263.923076923077,3.30769230769231,28700,75600,49650,5.6,45.1,8.18,24.3,16.12,5.2,12.7,8,0.2119
"241","LIM",4,"F150","ARB5125 ",1,266.4,3.6,27030,61980,38600,4.8,43.5,8.85,28.35,13.7,5,12.3,8.4,0.1878
"242","LIM",4,"F150","ARB5125 ",2,231.2,3.26666666666667,28800,55400,45270,6.1,45.2,5.11,24.75,18.74,6.2,11.1,7.6,0.2459
"243","LIM",4,"F150","ARB5125 ",3,173,7.5625,44155,55950,89700,6.4,49.7,2.18,15.8,26.62,6.4,10.4,5.6,0.2848
"244","LIM",4,"F0","AKW5075 ",1,312.466666666667,4.06666666666667,45000,120350,55950,8.3,51,2.14,7.8,32.56,8.4,12.2,11.3,0.2612
"245","LIM",4,"F0","AKW5075 ",2,293.5,4.25,45970,90300,43300,6.1,45.6,4.65,18.35,26.2,6,11.9,13.7,0.1921
"246","LIM",4,"F0","AKW5075 ",3,289.133333333333,4.13333333333333,42600,96600,45600,4.5,46.2,10.05,20.95,16.2,5.3,12.5,7.7,0.183
"247","LIM",4,"F80","AKW5075 ",1,285.823529411765,4.05882352941176,29650,111700,29900,4.8,48.5,6.76,18.9,19.14,5.6,11.5,11.5,0.1713
"248","LIM",4,"F80","AKW5075 ",2,260.4,3.93333333333333,47250,71700,39200,6.1,44.6,8.62,18.5,22.98,6,12.8,11.9,0.1985
"249","LIM",4,"F80","AKW5075 ",3,272.411764705882,3.70588235294118,42100,97250,30100,6.2,43.4,7.88,22.5,19.12,6,13.5,13.7,0.1869
"250","LIM",4,"F150","AKW5075 ",1,255.3125,3.75,39300,77490,31100,6,49.1,7,20.6,17.9,5.8,12.7,8.3,0.2219
"251","LIM",4,"F150","AKW5075 ",2,244.642857142857,4.14285714285714,58050,91900,21100,5.8,54.1,4.13,16.85,19.82,6.6,12.7,8.5,0.2157
"252","LIM",4,"F150","AKW5075 ",3,184.333333333333,5.26666666666667,43800,51600,78300,5.6,53.6,3.71,6.95,27.44,5.6,10.4,9.1,0.2223
"253","LIM",4,"F0","AMM5136",1,252.333333333333,4.06666666666667,54850,72850,49450,8.8,64.9,2.18,1.79999999999999,25.22,8.2,12.5,13.2,0.2552
"254","LIM",4,"F0","AMM5136",2,268.714285714286,3.64285714285714,32250,80700,34750,6.8,54.2,3.64,13,22.46,6.8,11.6,10.1,0.2383
"255","LIM",4,"F0","AMM5136",3,240.416666666667,4.58333333333333,19500,69300,18750,5.2,51.6,10.09,18.35,13.06,5,13.9,9.6,0.1799
"256","LIM",4,"F80","AMM5136",1,255.5,3.14285714285714,34880,78300,31100,4.8,44,8.79,27.15,11.66,5.2,11.2,12.9,0.1651
"257","LIM",4,"F80","AMM5136",2,262.214285714286,5.14285714285714,20350,91350,26170,4.3,43.1,15.44,26.2,6.56,4.2,11.5,9.6,0.1678
"258","LIM",4,"F80","AMM5136",3,257.4375,4.9375,15000,77000,30750,6.5,45.5,7.38,21.7,17.02,5.6,13.8,13.7,0.1914
"259","LIM",4,"F150","AMM5136",1,265.666666666667,5.75,32960,105300,33040,8.5,56.6,4.43,15.25,15.62,9,13.6,13.6,0.2368
"260","LIM",4,"F150","AMM5136",2,260,3.8,15100,41100,22900,5.2,49.4,1.5,17.25,22.3,6,12,10.8,0.185
"261","LIM",4,"F150","AMM5136",3,151,5.42857142857143,37250,40900,46500,8.1,43.8,2.13,13.25,34.72,7.2,10.9,10.9,0.2722
"262","LIM",4,"F0","SAL136",1,251.571428571429,4.57142857142857,40800,105700,42750,6.9,57.6,3.73,6.55,25.92,7,9.8,10.7,0.2517
"263","LIM",4,"F0","SAL136",2,246.3125,4.375,87450,103650,44330,7.2,57.9,3.72,5.40000000000001,24.08,8,11.4,12.8,0.2281
"264","LIM",4,"F0","SAL136",3,244.933333333333,4.26666666666667,20550,119300,30800,4.4,46.8,7.1,20,19.7,5.5,9.6,11.1,0.1747
"265","LIM",4,"F80","SAL136",1,286.5,3.375,37400,110140,27020,4.4,49.4,6.46,19.4,16.34,5.1,11.4,11,0.1647
"266","LIM",4,"F80","SAL136",2,282.545454545455,2.72727272727273,52900,76300,35350,5.3,51,5.46,17,20.74,5.4,9.5,9.1,0.2221
"267","LIM",4,"F80","SAL136",3,246.5,4.2,18750,74800,22250,4.5,49.4,5.89,18.45,19.66,5.4,11.6,12.9,0.1561
"268","LIM",4,"F150","SAL136",1,229.75,6,69120,61650,15950,4.9,47,1.61,10.65,32.44,5.4,10,9.3,0.2036
"269","LIM",4,"F150","SAL136",2,251.5,4.07142857142857,66600,125600,46300,6.7,57.5,4.36,14.4,16.64,6.8,10.6,12.4,0.2268
"270","LIM",4,"F150","SAL136",3,147.888888888889,6.55555555555556,86400,56250,47450,8.7,57.7,2.52,6.29999999999999,25.78,9.6,11.6,9.7,0.2897
"271","LIM",4,"F0","AMM5163",1,262.75,3.5625,55650,73761,56200,8.4,56.6,2.7,7.9,25.4,7.3,10.5,20.5,0.2134
"272","LIM",4,"F0","AMM5163",2,322.875,4.4375,35000,98800,50950,7,44.6,5.75,13.45,29.2,6.4,11.9,12.5,0.2228
"273","LIM",4,"F0","AMM5163",3,312,4.84615384615385,47900,131555,50950,6.1,52.9,2.03,11.15,26.62,6.6,12.2,13.3,0.1936
"274","LIM",4,"F80","AMM5163",1,282.3125,3.75,25440,82450,26400,5.3,46.7,7.14,20.6,19.26,5.8,12,11.5,0.1848
"275","LIM",4,"F80","AMM5163",2,286.0625,3.25,52950,91100,48000,7.2,53.2,3.43,11.55,26.42,7.2,12.9,9.9,0.2396
"276","LIM",4,"F80","AMM5163",3,280,4.1,15750,58200,19900,4.9,42.3,11.76,27.1,11.54,5,12.9,8.7,0.1862
"277","LIM",4,"F150","AMM5163",1,285,3.93333333333333,26000,111140,37170,6.2,47.7,8.35,21.45,13.6,6,13.4,10.6,0.2052
"278","LIM",4,"F150","AMM5163",2,231.666666666667,2.93333333333333,28820,60900,40750,4.3,47.9,3.18,21.9,18.22,5.6,11,7,0.1919
"279","LIM",4,"F150","AMM5163",3,210.933333333333,6.6,45720,70640,68950,7.5,56.2,1.5,9.74999999999999,28.38,6.6,12.8,5.7,0.2894
"280","LIM",4,"F0","CLLUNC118",1,243.285714285714,5.14285714285714,64300,90050,45450,6.7,52.8,10.52,6.99999999999999,22.48,6.2,10.7,10.1,0.2446
"281","LIM",4,"F0","CLLUNC118",2,249.357142857143,5,56550,102600,30280,5.7,47.6,14.13,13.05,19.82,5,11.2,10.7,0.2063
"282","LIM",4,"F0","CLLUNC118",3,275.222222222222,7.11111111111111,48850,104800,32500,4.5,45.6,11.49,15.55,22.16,4.6,12.2,9.3,0.1742
"283","LIM",4,"F80","CLLUNC118",1,275.5,6.2,35700,87750,31640,4.8,45.8,9.16,12.7,25.34,5,12.1,11,0.1715
"284","LIM",4,"F80","CLLUNC118",2,247.428571428571,5.92857142857143,34800,77990,29850,5,42.4,11.93,20.65,19.42,4.4,12.3,9.7,0.1864
"285","LIM",4,"F80","CLLUNC118",3,275.75,10.25,47150,66700,22250,6,53.7,7.3,6.8,25.8,5.8,13.5,11.7,0.1911
"286","LIM",4,"F150","CLLUNC118",1,262.846153846154,5.15384615384615,49200,125920,41950,4.3,41.3,9.65,22.25,18.5,4.6,12.8,8.1,0.1697
"287","LIM",4,"F150","CLLUNC118",2,221.9,4.4,33800,52900,21100,3.6,39.5,4.73,14.85,35.62,3.8,12.4,8.6,0.1473
"288","LIM",4,"F150","CLLUNC118",3,155.4,6.8,87000,69250,58550,6,48.3,7.77,13.25,25.38,6,12.9,8.2,0.2203
"289","OXA",5,"F0","P1385",1,71.625,1.125,7800,770,2620,13.3,41.4,3.2,17.4,23.1,12.3,29.4,18.4,0.193
"290","OXA",5,"F0","P1385",2,78.3125,1.625,8320,700,4200,11.2,49.1,3.7,19.5,19,11.3,26.6,17.8,0.2044
"291","OXA",5,"F0","P1385",3,79.3125,1.5,7820,1600,4890,12.3,62.4,2.49,9.25,19.76,12.9,22.6,16.4,0.2221
"292","OXA",5,"F80","P1385",1,90.125,1.1875,9910,1520,5730,10.6,51.7,3.2,12.1,18.1,12.3,27.4,21.1,0.1277
"293","OXA",5,"F80","P1385",2,83.125,1.75,7000,1020,5500,10.9,38.9,4.7,18.7,15.9,11.9,17.9,18,0.1078
"294","OXA",5,"F80","P1385",3,99.25,1.1875,13940,1350,8930,10.6,34.3,5.9,25,17.1,10.2,29.7,17.7,0.2082
"295","OXA",5,"F150","P1385",1,73.5,1.25,6650,1120,4200,10.6,49.7,3.1,14.3,19.4,11.9,25,19.5,0.195
"296","OXA",5,"F150","P1385",2,60.0625,1,4880,880,1900,11.2,48.5,3.5,11.6,20,12,20.7,17.8,0.1654
"297","OXA",5,"F150","P1385",3,97.625,1.4375,13660,1620,11160,9.9,37.4,4.1,21,17.1,10.5,23.4,17.8,0.2142
"298","OXA",5,"F0","AMM5150",1,80.125,1.5625,10250,1350,7950,11.4,45.4,3.8,20.2,14.9,12.2,24.6,17.3,0.2306
"299","OXA",5,"F0","AMM5150",2,73.4375,1.5,6900,940,5300,11.9,53.1,2.6,14.4,19.9,13.8,28.8,18,0.2379
"300","OXA",5,"F0","AMM5150",3,81.875,1.6875,9420,1450,6200,13.1,46.3,3,17.2,21.5,12.1,27.2,19,0.2512
"301","OXA",5,"F80","AMM5150",1,82.6875,1.1875,13160,1050,3750,11.8,20.7,4.8,13.9,15.9,12,41.1,17.2,0.2349
"302","OXA",5,"F80","AMM5150",2,102.625,1.625,14280,1580,9000,12.1,45.4,4.1,15.8,14.9,12.6,30.7,17.2,0.2587
"303","OXA",5,"F80","AMM5150",3,102.25,1.75,10400,1100,7880,11.4,47.9,3.1,19.1,17.6,10.5,40.5,16.7,0.241
"304","OXA",5,"F150","AMM5150",1,77.9375,1,6550,800,6650,11.4,45.3,5.4,21,14.6,11.9,34.8,20.5,0.2123
"305","OXA",5,"F150","AMM5150",2,64.875,1.125,4680,790,2400,12.3,54.7,3.8,7.3,14.9,12,30.6,17.5,0.2205
"306","OXA",5,"F150","AMM5150",3,78.25,1.6875,11060,1150,6140,14.6,57.7,3.3,10.1,23.6,13.2,41.2,17.6,0.2957
"307","OXA",5,"F0","ARB5125 ",1,66.6875,1.625,5800,980,3640,11.7,36.7,6.1,20.4,21.7,12.4,42.7,18.5,0.2139
"308","OXA",5,"F0","ARB5125 ",2,88.0625,2.1875,9200,2120,8850,13.2,51.8,2.9,14.6,18.9,14,19.5,19.4,0.2152
"309","OXA",5,"F0","ARB5125 ",3,77.375,1.5625,9000,1450,4900,13.7,58.5,2.8,12.5,19.2,13.1,20.8,22.4,0.2162
"310","OXA",5,"F80","ARB5125 ",1,94.8125,1.8125,9250,1100,7150,12.5,53.5,3.6,13.4,15.4,12,33,17.7,0.1746
"311","OXA",5,"F80","ARB5125 ",2,74.5625,0.8125,6000,870,5050,12.6,35.2,3.5,16.9,17.2,12.4,38.1,17.6,0.2077
"312","OXA",5,"F80","ARB5125 ",3,92.1875,1.5625,7820,800,6760,12.7,42.3,4.5,18.5,17.1,12,44.9,16.7,0.1823
"313","OXA",5,"F150","ARB5125 ",1,76.1875,1.125,6560,870,4500,11.1,42.1,3.2,19.6,19.7,11.6,26.4,22,0.1631
"314","OXA",5,"F150","ARB5125 ",2,39.9375,1,2250,500,750,12.5,55.4,2.6,8.9,24.6,11.8,23.4,17.2,0.2081
"315","OXA",5,"F150","ARB5125 ",3,79.125,1.0625,10800,760,5900,11.4,62.4,1.5,25.45,4.06,12.4,42.5,18,0.1613
"316","OXA",5,"F0","AKW5075 ",1,68.8125,1.5625,8400,990,9170,11.2,33.8,5.7,26.7,17.1,11,37.2,19,0.2145
"317","OXA",5,"F0","AKW5075 ",2,80.25,1.5625,6700,1100,5800,11.5,53.2,2,10,22,12.3,25.7,18.7,0.2134
"318","OXA",5,"F0","AKW5075 ",3,69.875,1.4375,3800,850,4800,13.8,50.9,1.6,7,11.3,13.6,26.7,18.3,0.2703
"319","OXA",5,"F80","AKW5075 ",1,94.75,1.625,10100,1040,6850,12,44.6,3.6,16.3,17.9,12.7,51.4,18.1,0.2323
"320","OXA",5,"F80","AKW5075 ",2,105.9375,1.5625,12150,1100,12080,10.4,32.1,4.6,24.9,15.1,10.6,72.3,17,0.1496
"321","OXA",5,"F80","AKW5075 ",3,103.0625,1.5625,15120,2860,12820,13,43.3,3.3,16.6,18.9,13,22.6,18.4,0.1949
"322","OXA",5,"F150","AKW5075 ",1,96.25,1.625,10080,1110,11270,11.6,45.3,3.1,18.1,23,12,24.4,19.3,0.2003
"323","OXA",5,"F150","AKW5075 ",2,88.8125,1.25,11500,1040,10860,11.2,43.3,2.6,18.9,21.2,10.5,38.9,17.7,0.238
"324","OXA",5,"F150","AKW5075 ",3,67.125,1.375,5560,1050,5240,12.8,64.9,1.5,7.75,20.86,11.9,18.5,17.9,0.154
"325","OXA",5,"F0","AMM5136",1,86,1.625,13700,3280,11050,13.2,53.1,3.2,10.2,20.2,13.6,20.9,18.6,0.1775
"326","OXA",5,"F0","AMM5136",2,86.4375,1.1875,8570,2550,8400,13.6,44.6,2.7,13.2,19.7,13.8,20.3,16.7,0.2732
"327","OXA",5,"F0","AMM5136",3,91,1.5625,8430,2790,11220,13.1,59.7,2.7,9.3,20.5,14,19.9,17.5,0.2548
"328","OXA",5,"F80","AMM5136",1,107.4375,2.6875,13600,4100,12540,12.4,39.4,3.4,18.4,18.1,12.2,21.2,17.7,0.1964
"329","OXA",5,"F80","AMM5136",2,101.25,1.4375,10350,3310,9280,12.1,43.1,3.4,18.6,16.4,12.1,17.4,17.3,0.1795
"330","OXA",5,"F80","AMM5136",3,101.5,1.0625,11780,3320,10780,12.3,47.1,2.4,13.9,21.8,12.1,19,16.2,0.1674
"331","OXA",5,"F150","AMM5136",1,76.5625,1.0625,6700,1150,8000,11.4,47.1,4.1,15.2,20.7,11.6,21.7,18,0.2034
"332","OXA",5,"F150","AMM5136",2,92.6875,1.375,9040,1320,7040,10.8,36.1,4.6,23.5,19.4,11,26,17.6,0.2088
"333","OXA",5,"F150","AMM5136",3,68,1.3125,8460,3080,8640,12.9,38,2.5,15.2,26.8,13.3,17.1,17.9,0.1761
"334","OXA",5,"F0","SAL136",1,79.1875,1.4375,12220,2100,4650,13.3,50.8,3.1,10.3,24,13.4,17.4,18.2,0.2521
"335","OXA",5,"F0","SAL136",2,93.8125,1.8125,14700,2820,5440,13.6,57.6,2.97,9.65,22.38,14,17.3,18,0.2633
"336","OXA",5,"F0","SAL136",3,101.25,1.375,13520,4400,9500,12.1,48.8,3.8,12.2,23.1,12,17.5,16.6,0.2355
"337","OXA",5,"F80","SAL136",1,96.8125,1.8125,19150,5080,8880,14.9,69,1.63,4.85,17.92,14.1,17.3,18.7,0.2745
"338","OXA",5,"F80","SAL136",2,95.5,1.75,20260,4400,10300,12.7,52.3,2.2,8.4,23.6,13,16.3,17.5,0.2664
"339","OXA",5,"F80","SAL136",3,115.75,1.25,13460,3060,9760,12.4,43.3,3.7,16.6,19.5,11.2,17.5,16.8,0.2555
"340","OXA",5,"F150","SAL136",1,86,1.25,12160,2670,5960,12.1,67.2,1.5,3.85,22.7,12.8,17.9,21.7,0.2452
"341","OXA",5,"F150","SAL136",2,100.875,1.375,14420,2720,9060,12.4,63.4,1.7,5.7,17.1,12.1,18.7,17.7,0.2497
"342","OXA",5,"F150","SAL136",3,89.75,1.6875,16120,3270,6260,12.6,68.9,1.54,8.59999999999999,14.36,13.5,15.8,17.3,0.2416
"343","OXA",5,"F0","AMM5163",1,68.6875,3.032586056,5858.69566,1120.434783,5433,12.4,52.1,3.2,10.2,20.2,13.9,22.1,18,0.2194
"344","OXA",5,"F0","AMM5163",2,72.25,1.875,5900,1180,5400,12.5,54.7,2,12.4,20.8,14.2,23.9,16.3,0.2256
"345","OXA",5,"F0","AMM5163",3,79.625,1.75,7000,1350,5970,12.7,52,4.1,12,19.9,13.6,18.9,18.5,0.2354
"346","OXA",5,"F80","AMM5163",1,88.9375,1.9375,9840,2650,4700,13.7,52.1,6.3,13,22.3,13.1,21.5,18.9,0.229
"347","OXA",5,"F80","AMM5163",2,95.1875,1.375,9000,1400,8000,11.8,45.3,3.2,15.4,18.7,12.2,42.2,20.1,0.2361
"348","OXA",5,"F80","AMM5163",3,85.6875,1.0625,9280,1500,1140,13.7,53,2.5,11.3,21.2,13.4,35.4,17.4,0.2256
"349","OXA",5,"F150","AMM5163",1,80.3125,1.25,10320,1380,7250,12.6,60.8,2.9,8.3,19,12.4,27.2,22.8,0.2081
"350","OXA",5,"F150","AMM5163",2,87.875,1.6875,12460,2350,4810,13.1,59.2,4.3,14.3,17.1,12.7,18.3,17.4,0.2556
"351","OXA",5,"F150","AMM5163",3,95.25,1.4375,13840,1300,6880,12.7,57.1,4.8,11.6,17.6,12,52.4,18.4,0.2332
"352","OXA",5,"F0","CLLUNC118",1,79.5625,1.5,10200,1500,6720,11.2,41.8,3.7,14,21.3,11,21.3,16.1,0.2507
"353","OXA",5,"F0","CLLUNC118",2,112,1.6875,12500,2520,7080,12.9,47,4.7,11.4,23.3,12.7,20,20.1,0.2575
"354","OXA",5,"F0","CLLUNC118",3,105.125,1.875,10530,2540,11790,12.8,51.1,4.4,13.6,23.8,12.5,22.6,18.3,0.2635
"355","OXA",5,"F80","CLLUNC118",1,104.6875,1.875,13500,3800,11130,13.2,50.5,3.2,12,18.7,12.7,20.7,19.6,0.2636
"356","OXA",5,"F80","CLLUNC118",2,98.6875,1.625,15800,3540,4380,11.7,52.7,3.7,11.7,21.3,11.9,17.5,15.9,0.2672
"357","OXA",5,"F80","CLLUNC118",3,114.5,1.375,19720,4040,4720,10.5,37.6,5.1,21,19.2,10.8,19.2,14.9,0.2456
"358","OXA",5,"F150","CLLUNC118",1,98.6875,1.5,8000,1640,7150,11.7,65,2.5,7.3,17.4,11.5,15.4,17.9,0.2459
"359","OXA",5,"F150","CLLUNC118",2,95.5,1.375,12850,2840,10080,12.5,51.1,2.9,13.9,20.2,12.2,19.5,16.2,0.2643
"360","OXA",5,"F150","CLLUNC118",3,88.25,1.75,17650,3000,12740,10.8,47.1,4.3,16.3,24.1,11.6,22.3,18,0.2418
"361","OXA",6,"F0","P1385",1,278.75,2.8125,62350,60500,10650,13.5,70.7,1.5,3.4,19.86,13.1,27.1,23.2,0.24
"362","OXA",6,"F0","P1385",2,266.375,2.1875,61740,57100,10750,13.8,71,1.5,1.5,21.82,14,16.4,25.3,0.2441
"363","OXA",6,"F0","P1385",3,268.125,2.125,48920,44270,9500,11.9,70.1,1.5,3.6,17.7,12.8,17.5,23.1,0.2282
"364","OXA",6,"F80","P1385",1,278.4375,2,63850,53900,11000,13,70.6,1.5,1.5,18.28,13.2,24.4,24.3,0.2087
"365","OXA",6,"F80","P1385",2,275.3125,1.9375,51150,59940,15300,12.1,72.4,1.51,1.5,15.14,12.6,20.1,20.1,0.2141
