"","locus_of_control","self_concept","motivation","read","write","math","science","sex"
"411",1.12,-0.74,"3",31,41.1,36,36.9,"female"
"412",0,0.65,"4",54.8,64.5,51.1,49.8,"male"
"413",-0.65,-1.17,"1",36.3,30.7,45.9,36.3,"female"
"414",0.66,0.03,"2",65.4,59.3,67.1,66.1,"male"
"415",-0.47,-0.47,"1",52.1,57.3,63.7,58,"female"
"416",0.52,0.34,"4",52.1,54.1,51.4,49.8,"male"
"417",-0.38,0.03,"4",45.3,38.5,43.5,40.1,"female"
"418",-0.83,0.13,"4",41.6,35.9,36.7,36.3,"male"
"419",0.67,-0.59,"3",54.8,64.5,55.3,49.8,"female"
"420",0.06,0.03,"4",68,61.9,55.5,49.8,"female"
"421",0.27,0.34,"4",49.5,48.9,48,41.7,"female"
"422",-0.16,-0.45,"3",49.5,54.1,61.9,52.6,"female"
"423",-0.21,0.03,"4",41.6,43.7,51.1,49.8,"male"
"424",-0.68,0.32,"3",36.3,44.3,34.4,47.1,"male"
"425",1.16,0.59,"4",36.3,45,44.3,39,"female"
"426",1.13,0.87,"4",76,62.5,60,67.2,"female"
"427",-0.89,-0.18,"3",44.2,43.7,44.5,41.7,"female"
"428",0,0.03,"3",61.1,61.2,62.2,57.4,"female"
"429",0.22,-0.76,"3",45.8,52.1,54.9,44.4,"female"
"430",0.46,-0.22,"4",70.7,64.5,68.7,58,"female"
"431",0.48,0.63,"4",54.8,48.2,58.7,51.5,"female"
"432",0.06,0.03,"4",57.4,54.1,58.9,47.1,"male"
"433",-0.89,-1.29,"2",60.1,64.5,41,52.6,"female"
"434",-0.69,-1.13,"3",46.9,54.1,45.4,44.4,"female"
"435",-0.14,-0.86,"1",38.9,46.3,50.1,36.3,"female"
"436",0.07,0.34,"4",65.4,59.3,51.2,60.7,"female"
"437",0.68,0.03,"4",44.2,48.9,46.2,47.7,"female"
"438",0.2,-2.54,"1",54.8,61.9,63.6,63.4,"male"
"439",-0.04,0.65,"4",44.2,44.3,61.1,49.8,"male"
"440",-0.44,-0.84,"2",46.9,46.3,45.9,37.9,"male"
"441",0.73,0.03,"4",65.4,59.3,69.6,63.4,"male"
"442",0.06,-0.28,"4",65.9,64.5,54.6,60.7,"female"
"443",0.2,0.56,"3",60.1,52.8,51.5,58,"male"
"444",0.68,0.03,"4",65.4,67.1,64.5,60.7,"female"
"445",0.68,-0.6,"2",52.1,64.5,59.7,55.8,"female"
"446",0.02,0.28,"3",44.2,51.5,52.9,52.6,"male"
"447",0.68,-0.53,"4",48.4,48.2,60.5,60.1,"male"
"448",-0.18,-1.09,"3",62.7,56.7,58.8,71.5,"female"
"449",1.36,0.65,"3",59,56.7,52.9,48.8,"female"
"450",-1.33,-0.26,"3",38.4,37.2,33.4,30.9,"female"
"451",0.06,0.44,"3",52.1,61.9,66.3,47.1,"male"
"452",0.91,0.15,"1",54.8,56.7,55.5,58,"female"
"453",0.06,-0.29,"3",49.5,56.7,68.1,49.8,"female"
"454",-0.42,0.03,"2",46.9,35.9,41.9,36.3,"male"
"455",0.02,-0.32,"4",46.9,46.3,52,47.7,"female"
"456",0.32,1.19,"4",57.4,61.9,64,55.8,"male"
"457",0.22,0.03,"3",60.1,41.7,52,52.6,"male"
"458",-0.67,-0.47,"1",44.2,48.9,43.1,55.3,"male"
"459",0.48,0.03,"4",65.4,61.9,60.4,63.4,"female"
"460",0.89,0.34,"2",57.4,61.9,72.2,60.7,"female"
"461",-1.33,0.03,"3",57.4,56.7,59.8,58,"male"
"462",-1.06,0.03,"3",46.9,56.7,48,44.4,"female"
"463",0.89,0.15,"3",68,59.3,56.6,50.4,"male"
"464",-0.19,-2.58,"1",41.6,54.1,41,41.7,"female"
"465",-1.33,0.34,"1",44.2,41.1,36.9,41.7,"female"
"466",0.51,0.03,"2",60.1,51.5,53.9,63.4,"female"
"467",1.36,0.63,"4",62.7,61.9,68.6,68.8,"male"
"468",-0.27,0.94,"1",44.7,54.1,50.4,45,"male"
"469",-0.22,-2.27,"1",57.4,51.5,40.3,60.7,"female"
"470",0.69,0.05,"3",60.1,59.3,57.9,40.6,"male"
"471",1.13,0.56,"4",60.1,48.9,50.4,55.3,"male"
"472",-0.44,-0.47,"2",38.9,46.3,41.9,41.7,"female"
"473",1.36,-1.18,"4",62.7,61.9,63.1,60.7,"female"
"474",0.44,0.65,"4",46.9,46.3,48.5,32.5,"female"
"475",0.06,0.65,"1",65.4,59.3,56.8,46.1,"female"
"476",-0.24,-0.16,"2",62.7,61.9,52.4,47.1,"female"
"477",0.27,0.03,"4",60.1,51.5,48.1,52.6,"male"
"478",0.46,0.03,"3",62.7,54.1,54.8,55.3,"male"
"479",-1.14,-0.06,"4",36.3,46.3,36.9,41.7,"male"
"480",0.46,-0.28,"4",57.4,56.7,56.4,63.4,"female"
"481",0.22,1.19,"2",38.9,33.3,37.7,47.1,"male"
"482",1.16,0.63,"3",58.5,54.1,46.3,48.2,"female"
"483",1.16,0.03,"4",70.7,67.1,61.2,60.7,"female"
"484",1.36,-0.8,"3",52.1,59.3,59.6,59.1,"male"
"485",0.08,-0.24,"2",52.1,59.3,48,55.3,"female"
"486",-0.4,0.65,"1",52.1,46.3,51.3,58,"male"
"487",0.31,1.19,"4",46.9,44.3,41.9,39,"female"
"488",-0.61,0.34,"3",68,54.1,74.6,66.1,"male"
"489",-1.33,0.03,"2",38.9,30.7,40.4,39,"male"
"490",0.71,0.28,"4",60.1,64.5,63,68.8,"female"
"491",0.28,0.94,"4",54.8,56,43.5,49.8,"female"
"492",0.91,-0.47,"4",46.9,64.5,55.8,61.8,"female"
"493",-1.1,0.03,"1",46.9,40.4,42.8,45,"male"
"494",-0.4,-0.22,"3",52.1,38.5,36.1,44.4,"female"
"495",0.06,0.03,"4",46.9,41.1,46.2,39.6,"female"
"496",1.16,0.32,"4",60.1,54.1,48.6,58,"male"
"497",0.05,-0.88,"3",62.7,63.2,74.6,71.5,"male"
"498",1.36,0.03,"3",46.9,59.3,56.3,66.1,"female"
"499",0.26,0.87,"4",49.5,61.9,61.4,63.4,"female"
"500",0.06,0.03,"1",44.2,33.3,53.9,58,"male"
"501",0.52,0.59,"4",68,59.9,64,68.8,"female"
"502",-0.43,-1.22,"1",41.6,46.9,55.5,44.4,"male"
"503",0.89,0.88,"4",52.1,59.3,64,61.2,"female"
"504",0.06,0.03,"4",44.2,54.1,51.4,39,"male"
"505",0.02,0.03,"3",65.4,56.7,62.3,58.5,"female"
"506",-0.6,0.28,"4",33.6,41.1,42.9,41.7,"female"
"507",0.03,0.28,"2",52.1,54.1,52,55.3,"male"
"508",1.14,0.63,"4",55.3,53.4,44.5,53.6,"female"
"509",0,0.34,"2",46.9,56.7,57.2,58,"male"
"510",-0.44,0.03,"2",41.6,38.5,38.7,56.3,"male"
"511",0.71,-0.55,"4",60.1,59.3,64.3,60.7,"female"
"512",0.25,-0.47,"2",76,67.1,72.2,66.1,"female"
"513",0.06,0.32,"4",62.7,64.5,70.5,68.8,"female"
"514",0.06,0.56,"4",49.5,56.7,46.2,55.3,"male"
"515",-0.18,0.15,"1",38.9,28.1,36,36.3,"male"
"516",-0.83,0.65,"2",44.2,59.3,55.5,36.3,"female"
"517",-0.84,0.34,"1",41.6,46.3,59.6,63.4,"male"
"518",0.06,0.03,"2",68,59.3,71.3,66.1,"male"
"519",0.7,-0.16,"2",68,59.3,55.7,63.4,"male"
"520",0.22,1.19,"4",57.4,54.1,48.8,55.3,"male"
"521",0.32,0.9,"3",33.6,51.5,41.9,49.8,"female"
"522",-0.6,0.56,"2",36.3,43.7,44.3,47.1,"male"
"523",1.16,0.09,"4",46.9,52.1,42.5,47.7,"female"
"524",0.45,-0.91,"2",41.6,41.1,42.8,49.8,"male"
"525",-0.2,1.19,"4",41.6,46.9,41.7,47.1,"female"
"526",0.22,-0.57,"4",61.1,67.1,64.5,50.4,"female"
"527",0.03,0.03,"4",41.6,43,44.5,39,"female"
"528",0.52,0.34,"4",46.9,64.5,59.6,49.8,"female"
"529",0.32,0.65,"4",54.8,61.9,58.1,58,"female"
"530",0.68,0.03,"2",73.3,64.5,64,60.7,"male"
"531",0.96,0.94,"3",46.9,50.2,46.5,47.1,"female"
"532",-0.6,0.9,"3",46.9,61.9,45.4,33.6,"female"
"533",0.71,0.03,"4",68,61.9,72.2,66.1,"female"
"534",0.75,0.34,"4",47.4,41.7,51.6,38.5,"female"
"535",0.46,-0.18,"4",52.1,46.3,48.3,58,"male"
"536",0.46,0.34,"3",62.7,61.9,52.9,44.4,"female"
"537",-0.45,-0.64,"2",65.4,56.7,55.2,52.6,"male"
"538",-0.19,1.19,"4",60.1,61.9,54.6,60.7,"female"
"539",-1.33,0.03,"4",36.3,28.1,53.7,33.6,"male"
"540",-0.38,0.03,"4",38.9,41.7,37.7,44.4,"male"
"541",0.45,0.03,"4",49.5,46.3,52.9,52.6,"female"
"542",0.06,0.03,"1",38.9,41.1,32.7,41.7,"female"
"543",-0.18,0.28,"2",44.2,51.5,46.1,47.1,"female"
"544",0.66,0.34,"2",33.6,38.5,42.9,47.1,"male"
"545",0.71,0.03,"2",46.9,46.9,41,41.7,"male"
"546",0.06,0.03,"3",46.9,60.6,51.3,63.4,"female"
"547",0.23,-0.6,"4",57.4,67.1,68,59.1,"female"
"548",-0.24,0.03,"3",45.8,54.1,49.5,47.1,"female"
"549",1.11,0.9,"2",55.3,50.2,41.7,58.5,"female"
"550",0.68,0.88,"4",46.9,61.9,53,52.6,"female"
"551",0.66,0.34,"4",56.9,49.5,49.5,50.9,"female"
"552",1.16,0.65,"4",65.4,67.1,63.1,55.3,"female"
"553",-0.44,-0.47,"4",54.8,65.1,66.1,49.8,"female"
"554",-0.14,-0.6,"2",44.2,48.9,54.3,49.8,"female"
"555",0.46,0.56,"3",44.2,54.1,52.2,44.4,"female"
"556",-0.68,-0.26,"1",60.1,51.5,56.8,60.7,"male"
"557",0.46,0.34,"4",76,52.1,64.1,63.9,"male"
"558",0.46,-0.47,"3",50,41.1,45.1,44.4,"female"
"559",-0.41,0.03,"3",49.5,51.5,45.1,58,"female"
"560",-0.6,-0.26,"3",49.5,41.1,38.4,52.6,"female"
"561",-0.51,-1.98,"1",60.1,57.3,58.8,58,"male"
"562",1.13,-0.6,"3",73.3,67.1,71.3,63.4,"male"
"563",1.13,0.88,"2",49.5,51.5,52.7,55.3,"female"
"564",0.89,0.65,"3",68,48.9,56.3,63.4,"female"
"565",0.06,0.03,"4",43.2,47.6,45.6,47.1,"female"
"566",-0.6,-1.43,"4",38.9,51.5,38.6,39,"male"
"567",0.46,-1.17,"1",68,62.5,65.4,60.7,"female"
"568",0.06,0.03,"3",46.9,56.7,56.1,60.7,"male"
"569",0.26,-0.26,"1",49.5,56.7,43.8,47.1,"female"
"570",0.05,-0.6,"1",57.4,51.5,40.6,46.6,"male"
"571",0.47,0.03,"3",62.7,59.3,48.8,55.3,"male"
"572",-0.03,-0.16,"1",33.6,43.7,42.6,47.1,"male"
"573",0.2,-0.55,"3",60.1,61.9,48.7,49.8,"female"
"574",-0.14,0.34,"2",49.5,46.3,44.8,58,"male"
"575",-0.41,0.34,"3",52.1,38.5,57.9,52.6,"male"
"576",-0.44,-0.22,"1",44.2,33.3,40.9,47.1,"male"
"577",0.28,0.03,"3",62.7,67.1,65.6,61.8,"female"
"578",-1.3,0.03,"4",54.8,41.1,40.2,44.4,"male"
"579",-0.16,0.03,"4",57.4,57.3,64,58,"female"
"580",0.46,-1.17,"2",46.9,30.7,40.3,58,"male"
"581",0.71,-0.06,"3",44.2,37.8,49.2,39,"male"
"582",0.2,-0.47,"2",38.9,54.1,53.7,52.6,"female"
"583",-0.84,-1.09,"2",41.6,41.7,45.1,36.3,"male"
"584",0.22,0.32,"4",49.5,56.7,62.8,49.8,"male"
"585",0.47,0.01,"4",68,64.5,61.5,55.3,"male"
"586",-0.82,-0.76,"1",57.4,43.7,59.6,52.6,"male"
"587",-2.23,1.19,"4",36.3,38.5,39.3,39,"male"
"588",0.09,-1.42,"2",52.1,61.9,59.6,58,"male"
"589",0.1,0.32,"3",40,40.4,42.4,48.8,"female"
"590",0.08,0.94,"3",73.3,61.9,60.5,71.5,"male"
"591",0.06,0.03,"4",54.8,59.3,46.2,47.1,"female"
"592",0.03,0.56,"3",65.4,67.1,63,66.1,"male"
"593",-0.61,0.03,"2",44.2,54.1,40.3,52.6,"female"
"594",0.02,0.03,"2",62.7,54.1,64.7,58,"male"
"595",0.46,0.03,"4",52.1,56.7,62.8,47.1,"female"
"596",0.94,-0.3,"4",60.1,67.1,52.4,55.3,"female"
"597",0.23,0.03,"4",65.4,56.7,65.4,58,"female"
"598",0.46,0.03,"4",65.4,51.5,61.4,60.7,"female"
"599",0.51,0.03,"4",54.8,54.1,66.4,41.7,"female"
"600",0.25,0.03,"3",49.5,51.5,55.5,44.4,"female"
