"","INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"2321","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"2322","[75.000-","M","Single","14-17","Grades 9 to 11","Sales Worker","4-6 years","Not Married","Four","One","Family","House","Asian","Other"
"2323","[50.000-75.000)","F","Single","14-17","Grades 9 to 11","Unemployed","7-10 years","Not Married","Four","Two","Family","House","White","English"
"2324","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Three","One","Family","House","White","English"
"2325","[50.000-75.000)","F","Single","14-17","Grades 9 to 11","Sales Worker",NA,"Not Married","Four","Two","Family","House","White","English"
"2326","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"2327","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Two","One","Family","House","White","English"
"2328","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"2329","[75.000-","F","Single","14-17","Grades 9 to 11","Unemployed",NA,"Not Married","Five","Three","Family","Condominium","White","English"
"2330","[75.000-","F","Single","14-17","Grades 9 to 11","Unemployed","10+ years","Not Married","Four","One","Family","House","White","Other"
"2331","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","7-10 years","Not Married","Three","One","Family","House","Asian","English"
"2332","[75.000-","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes",NA,"None","Own","House","White","English"
"2333","[75.000-","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"2334","[50.000-75.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"2335","[75.000-","M","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Black","English"
"2336","[50.000-75.000)","M","Single","45-54","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"2337","[75.000-","M","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Six","Two","Own","House","Pacific Islander","Other"
"2338","[75.000-","F","Married","45-54","Graduated High Scool","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"2339","[40.000-50.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Three","None","Rent","Other","White","English"
"2340","[75.000-","F","Divorced","35-44","College graduate","Professional/Managerial","-1 year","Not Married","One","None","Rent","Condominium","White",NA
"2341","[50.000-75.000)","F","Married","25-34","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"2342","[75.000-","M","Married","25-34","Grad Study","Student, HS or College","4-6 years","Yes","Two","None","Own","House","White","English"
"2343","[50.000-75.000)","M","Single","35-44","Grad Study","Professional/Managerial","7-10 years","Not Married","One","None","Rent","Apartment","White","English"
"2344","[50.000-75.000)","F","Single","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Three","None","Own","House","Asian","English"
"2345","[75.000-","M","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"2346","[75.000-","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"2347","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"2348","[75.000-","F","Married","35-44","Grad Study","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"2349","[75.000-","F","Married","45-54","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own",NA,"White","English"
"2350","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","No","Five","Two","Own","House","White","English"
"2351","[50.000-75.000)","F","Single","18-24","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","None","Family","House","Asian","English"
"2352","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","White","English"
"2353","[75.000-","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"2354","[50.000-75.000)","F","Married","35-44","Graduated High Scool","Homemaker","1-3 years","No","Two","None","Rent","Apartment","White","Other"
"2355","[75.000-","F","Married","25-34","1 to 3 years of college","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"2356","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No","Three","One","Rent","Apartment","White","English"
"2357","[75.000-","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","White","English"
"2358","[40.000-50.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","One","Family","Other","White","English"
"2359","[30.000-40.000)","F","Married","25-34","Grad Study","Professional/Managerial","7-10 years","Yes","Two","None","Rent","Condominium","Other","English"
"2360","[25.000-30.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Rent",NA,"White","English"
"2361","[40.000-50.000)","F","Married","25-34","Grades 9 to 11","Homemaker","7-10 years","No","Four","Two","Rent","House","White","English"
"2362","[40.000-50.000)","F","Married","18-24","1 to 3 years of college","Professional/Managerial","4-6 years","Yes","Two","None","Rent","Apartment","White","English"
"2363","[30.000-40.000)","F","Married","25-34","Graduated High Scool","Student, HS or College","4-6 years","No","Two","None","Rent","Apartment","Other","Other"
"2364","-10.000)","F","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Three","None","Family","House","White","English"
"2365","[20.000-25.000)","F","Widowed","35-44","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married","Two","None","Rent","House","White","English"
"2366","[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","4-6 years","Yes","Three","One","Rent","House","White","English"
"2367","-10.000)","F","Divorced","25-34","1 to 3 years of college","Student, HS or College","10+ years","Not Married","One","None","Rent","House","White","English"
"2368","[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Five","Two","Family","House","White","English"
"2369","-10.000)","F","Single","18-24","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","One","Family","House","Asian","Other"
"2370","[10.000-15.000)","M","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Two","None","Own","House","White","English"
"2371","-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","7-10 years","Not Married","Five","Two","Family","House","Asian","Other"
"2372","[25.000-30.000)","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"2373","[30.000-40.000)","M","Single","45-54","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","One","None","Own","House","Asian","English"
"2374","-10.000)","M","Single","25-34","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Two","None","Family","House","White","English"
"2375","[15.000-20.000)","F","Single","18-24","Grad Study","Clerical/Service Worker","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"2376","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Four","None","Rent","Apartment","White","English"
"2377","[15.000-20.000)","F","Single","25-34","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","Three","None","Rent","House","White","English"
"2378","-10.000)","F","Together","18-24","College graduate","Student, HS or College","10+ years","Not Married","Four","One","Own","House","Other","English"
"2379","-10.000)","M","Together","18-24","College graduate","Student, HS or College","10+ years","Yes","Four","One","Rent","House","White",NA
"2380","[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married","Seven","Two","Family","House","Pacific Islander","Other"
"2381","[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Four","None","Rent","House","White","English"
"2382","[25.000-30.000)","F","Single","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"2383","[30.000-40.000)","M","Single","35-44","Graduated High Scool","Sales Worker","10+ years","Not Married","Two","None","Rent","Condominium","White","English"
"2384","-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"2385","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"2386","[30.000-40.000)","M","Single","18-24","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Three","None","Rent","Other","White","English"
"2387","-10.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","7-10 years","Not Married","Five","One","Family","House","White","English"
"2388","[30.000-40.000)","M","Single","35-44","College graduate","Clerical/Service Worker","10+ years","Not Married","One","None","Rent","House","Asian","English"
"2389","[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Three","None","Family","House","White","English"
"2390","[15.000-20.000)","F","Married","25-34","1 to 3 years of college","Sales Worker","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"2391","[25.000-30.000)","F","Single","18-24","Grad Study","Professional/Managerial","7-10 years","Not Married","One","None","Own","Condominium","Asian","English"
"2392","[40.000-50.000)","F","Single","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"2393","-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Five","One","Family","House","Pacific Islander","English"
"2394","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Four","None","Family","House","Asian","English"
"2395","[30.000-40.000)","M","Single","25-34","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Two","None","Family","House","White","English"
"2396","[30.000-40.000)","M","Widowed","45-54","Grad Study","Professional/Managerial",NA,"Not Married","One","None","Own","House","White","English"
"2397","[30.000-40.000)","M","Single","25-34","College graduate","Professional/Managerial","1-3 years","Not Married","One","None","Rent","House","White","English"
"2398","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",NA,"None","Rent","Apartment","Pacific Islander","English"
"2399","[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","Condominium","White","English"
"2400","[20.000-25.000)","F","Married","18-24","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"2401","[30.000-40.000)","F","Married","55-64","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"2402","[30.000-40.000)","F","Married","55-64","College graduate","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"2403","[20.000-25.000)","F","Married","55-64","1 to 3 years of college","Retired","7-10 years","No",NA,"None","Own","House","White","English"
"2404","[10.000-15.000)","F","Widowed","65+","Graduated High Scool","Retired",NA,"Not Married","One","None","Own","House","White","English"
"2405","[30.000-40.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Own","House","White","English"
"2406","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Three","One","Family","House","Asian","Other"
"2407","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College",NA,"Not Married","Five","Three","Family","Apartment","Asian",NA
"2408","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","Asian","English"
"2409","[75.000-","M","Married","55-64","College graduate","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"2410","[50.000-75.000)","F","Divorced","55-64","1 to 3 years of college","Clerical/Service Worker","7-10 years","Not Married","Three","None","Own","House","White","English"
"2411","[75.000-","F","Married","55-64","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Five","None","Own","House","White","English"
"2412","[75.000-","M","Married","65+","Grad Study","Professional/Managerial","4-6 years","Yes","Two","None","Own","House","White","English"
"2413","-10.000)","M","Single","14-17","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Not Married","Five","One","Family","House","Asian","English"
"2414","-10.000)","F","Single","14-17","Grades 9 to 11","Sales Worker","7-10 years","Not Married","Three","Two","Family","Apartment","Asian","English"
"2415","[40.000-50.000)","F","Single","14-17","Grades 9 to 11","Sales Worker","10+ years","Not Married","Five","Three","Family","House","White","English"
"2416","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"2417","-10.000)","F","Single","14-17","Grades 9 to 11","Sales Worker","10+ years","Not Married","Four","Two","Family","House","White","English"
"2418","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"2419","-10.000)","F","Single","25-34","Graduated High Scool","Unemployed","10+ years","Not Married","One","One","Own","House","White","English"
"2420","[25.000-30.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"2421","-10.000)","M","Single","18-24","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Five","One","Family","House","White","English"
"2422","-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"2423","-10.000)","M","Single","18-24","College graduate","Unemployed","7-10 years","Not Married","One","None","Rent","Other","White","English"
"2424","[30.000-40.000)","F","Single","25-34","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","Condominium","White","English"
"2425","[40.000-50.000)","M","Married","25-34","College graduate","Sales Worker","1-3 years","Yes","Two","None","Rent","Apartment","White","English"
"2426","[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Unemployed","1-3 years","Not Married","Six","None","Rent","House","American Indian","Spanish"
"2427","[10.000-15.000)","F","Divorced","35-44","1 to 3 years of college","Unemployed","10+ years","Not Married","Three","One","Family","House","White","English"
"2428","[30.000-40.000)","F","Married","25-34","Graduated High Scool","Professional/Managerial","10+ years","No","Three","One","Own","House","White","English"
"2429","[75.000-","F","Married","65+","Grades 9 to 11",NA,"10+ years","Yes","Two","None","Own","House",NA,"English"
"2430","-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married",NA,"None","Family","Condominium","White","English"
"2431","[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","4-6 years","No","Three","One","Rent","Apartment","Pacific Islander","English"
"2432","[30.000-40.000)","M","Single","25-34","College graduate","Professional/Managerial","7-10 years","Not Married","One","None","Rent","Apartment","White","English"
"2433","-10.000)","F","Single","18-24","1 to 3 years of college","Clerical/Service Worker",NA,"Not Married","Five","Three","Family","House","Black","English"
"2434","[20.000-25.000)","F","Single","35-44","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Three","None","Rent","Apartment","White","English"
"2435","[40.000-50.000)","M","Single","18-24","Grad Study","Professional/Managerial","-1 year","Not Married","Two","None","Rent","Apartment","White","English"
"2436","[10.000-15.000)","M","Single","25-34","1 to 3 years of college","Sales Worker","10+ years","Not Married","Three","None","Family","House","White","English"
"2437","[25.000-30.000)","F","Single","35-44","College graduate","Professional/Managerial","10+ years","Not Married","Four","One","Family","House","White","English"
"2438","[40.000-50.000)","F","Married","18-24","Graduated High Scool","Clerical/Service Worker","7-10 years","Yes","Two","None","Rent","Condominium","White","English"
"2439","[15.000-20.000)","M","Divorced","45-54","1 to 3 years of college","Sales Worker","4-6 years","Not Married","Two","None","Family","Apartment","White","English"
"2440","[40.000-50.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial",NA,"Yes","Three","One","Rent","House","White","English"
"2441","[30.000-40.000)","F","Married","35-44","College graduate","Homemaker","10+ years","Yes","Six","Two","Own","House","White","English"
"2442","[30.000-40.000)","F","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Three","None","Family",NA,"Hispanic","English"
"2443","[30.000-40.000)","F","Married","45-54","Graduated High Scool","Student, HS or College","10+ years","Yes","Four","Two","Own","House","Hispanic","Spanish"
"2444","[15.000-20.000)","F","Divorced","35-44","College graduate","Professional/Managerial",NA,"Not Married","Four","Two","Own","House","White","English"
"2445","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","4-6 years","Yes","Two","None","Own","Condominium","White","English"
"2446","[20.000-25.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","House","White","English"
"2447","[50.000-75.000)","F","Single","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"2448","[50.000-75.000)","F","Married","35-44","College graduate","Sales Worker","10+ years","Yes","Four","Two","Own","House","White","English"
"2449","[50.000-75.000)","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Black","English"
"2450","[75.000-","F","Married","25-34","1 to 3 years of college","Sales Worker","10+ years","Yes","Two","None","Own","House","American Indian","English"
"2451","[50.000-75.000)","M","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"2452","[75.000-","F","Married","55-64","1 to 3 years of college","Sales Worker","10+ years","No","Three","None","Own","House","White","English"
"2453","[50.000-75.000)","M","Together","18-24","Grad Study","Homemaker","7-10 years","No","Three","One","Own","House","Other","Other"
"2454","[75.000-","M","Married","35-44","Grad Study","Professional/Managerial","1-3 years","Yes","Two","None","Own","House","White","English"
"2455","[75.000-","F","Married","45-54","Grad Study","Professional/Managerial","1-3 years","Yes","Two","None","Own","House","Asian","English"
"2456","[75.000-","F","Married","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Two","None","Own","House","White","English"
"2457","[50.000-75.000)","M","Married","25-34","College graduate","Factory Worker/Laborer/Driver","1-3 years","Yes","Two","None","Rent","House","White","English"
"2458","[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"2459","[50.000-75.000)","M","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"2460","[50.000-75.000)","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","White","English"
"2461","[50.000-75.000)","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Six","Four","Own","House","Asian","English"
"2462","[75.000-","M","Married","55-64","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"2463","[50.000-75.000)","M","Married","55-64","Grad Study","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"2464","[75.000-","F","Married","35-44","College graduate","Professional/Managerial","7-10 years","Yes","Four","None","Own","House","White","English"
"2465","[50.000-75.000)","M","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"2466","[50.000-75.000)","F","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own",NA,"White","English"
"2467","[75.000-","F","Married","55-64","Grad Study","Sales Worker","10+ years","No","Three","None","Own","House","White","English"
"2468","[30.000-40.000)","M","Married","25-34","College graduate","Professional/Managerial","4-6 years","No","Three","One","Own","House","Hispanic","English"
"2469","-10.000)","M","Single","25-34","College graduate","Retired",NA,"Not Married","One","None","Rent","Apartment","White","English"
"2470","[20.000-25.000)","M","Single","18-24","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","Six","None","Family","House","Asian","English"
"2471","[25.000-30.000)","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Four","None","Rent","House","Black",NA
"2472","[10.000-15.000)","F","Divorced","25-34","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married",NA,"None","Rent","Apartment","White","English"
"2473","[40.000-50.000)","M","Married","25-34","College graduate","Professional/Managerial","4-6 years","No","Four","Two","Rent","Apartment","Other","Other"
"2474","[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"2475","[20.000-25.000)","M","Single","25-34","Graduated High Scool","Unemployed","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"2476","[15.000-20.000)","M","Together","18-24","Grades 9 to 11","Sales Worker","10+ years","Not Married","Five","None","Rent","Mobile Home","White","English"
"2477","[40.000-50.000)","M","Single","25-34","Grad Study","Professional/Managerial","4-6 years","Not Married","One","None","Rent","Apartment","White","Other"
"2478","[15.000-20.000)","M","Together","25-34","College graduate","Professional/Managerial","10+ years","Not Married","Three","None","Rent","Other","White",NA
"2479","[40.000-50.000)","F","Married","25-34","College graduate","Homemaker","4-6 years","No","Three","One","Own","House","White","English"
"2480","[30.000-40.000)","F","Married","25-34","Graduated High Scool","Clerical/Service Worker","1-3 years","Yes","Two","None","Rent","Apartment","White","English"
"2481","-10.000)","F","Divorced","45-54","1 to 3 years of college","Unemployed","10+ years","Not Married","Three","None","Family","House","White","English"
"2482","[30.000-40.000)","F","Single","25-34","Grad Study","Professional/Managerial","4-6 years","Not Married","One","None","Rent","Apartment","Black","English"
"2483","[30.000-40.000)","F","Single","45-54","1 to 3 years of college","Clerical/Service Worker",NA,"Not Married","Three","None","Rent","House","White","English"
"2484","[20.000-25.000)","F","Together","18-24","College graduate","Professional/Managerial","1-3 years","Yes","Two","None","Rent","Other","White","English"
"2485","[15.000-20.000)","F","Divorced","35-44","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Two","One","Rent","Other","Other","English"
"2486","[15.000-20.000)","M","Married","55-64",NA,"Retired",NA,"No","Two","None","Rent",NA,"American Indian","English"
"2487","[75.000-","F","Married","55-64","College graduate","Clerical/Service Worker",NA,"Yes","Three","None","Own","House","White","English"
"2488","[50.000-75.000)","F","Together","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","Condominium","White","English"
"2489","[50.000-75.000)","F","Married","25-34","Grad Study","Professional/Managerial","7-10 years","Yes","Two","None","Own","House","White","English"
"2490","[75.000-","M","Married","55-64","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"2491","[50.000-75.000)","M","Together","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","Condominium","White","English"
"2492","[50.000-75.000)","M","Married","25-34","Grad Study","Professional/Managerial","7-10 years","Yes","Three","One","Own","House","White","English"
"2493","[25.000-30.000)","F","Married","35-44","College graduate","Professional/Managerial","4-6 years","Yes","Two","None","Own","House","White","English"
"2494","[75.000-","M","Married","35-44","1 to 3 years of college","Sales Worker","10+ years","Yes","Three","One","Own","House","American Indian","English"
"2495","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","Asian","English"
"2496","[50.000-75.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Family","House","Asian","English"
"2497","[50.000-75.000)","M","Married","45-54","Grad Study","Professional/Managerial","7-10 years","Yes","Three","One","Rent","House","Asian","English"
"2498","[75.000-","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"2499","[50.000-75.000)","M","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","No","Three","One","Own","House","White","English"
"2500","[50.000-75.000)","M","Married","45-54","1 to 3 years of college","Professional/Managerial","1-3 years","Yes","Three","None","Rent","Condominium","White","English"
"2501","[50.000-75.000)","M","Single","35-44","Grad Study","Professional/Managerial","1-3 years","Not Married","One","None","Own","Condominium","White","English"
"2502","[75.000-","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Four","None","Family","House","White","English"
"2503","[75.000-","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Five","None","Family","House","White","English"
"2504","[50.000-75.000)","F","Married","45-54","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Yes","Three","One","Own","House","White","English"
"2505","[50.000-75.000)","F","Married","45-54","Graduated High Scool","Clerical/Service Worker","1-3 years","Yes","Three","None","Rent","Condominium","White","English"
"2506","[75.000-","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","Two","Rent","Condominium","White","English"
"2507","[50.000-75.000)","F","Married","35-44","Grad Study","Professional/Managerial","4-6 years","Yes","Two","None","Own","Condominium","White","English"
"2508","[75.000-","M","Married","55-64","Grad Study","Retired","10+ years","No","Two","None","Own","House","White","English"
"2509","[75.000-","M","Married","55-64","College graduate","Professional/Managerial","7-10 years","No","Two","None","Own","House","White","English"
"2510","[75.000-","M","Married","55-64","Grad Study","Professional/Managerial","1-3 years","Yes","Two","None","Own","Condominium","White","English"
"2511","[75.000-","F","Married","55-64","College graduate","Clerical/Service Worker","1-3 years","Yes","Two","None","Own","Condominium","White",NA
"2512","[25.000-30.000)","M","Married","18-24","College graduate","Professional/Managerial","1-3 years","Yes","Three","One","Rent","House","White","English"
"2513","[30.000-40.000)","F","Together","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Yes","Two","None","Rent","Other","White","English"
"2514","[30.000-40.000)","F","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"2515","[40.000-50.000)","F","Divorced","35-44","Grad Study","Military",NA,"Not Married","One","None","Own","Condominium","White","English"
"2516","[40.000-50.000)","F","Single","18-24","Graduated High Scool","Sales Worker","4-6 years","Not Married","Five","Two","Family","House","Asian","English"
"2517","[10.000-15.000)","M","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Four","One","Family","House","Asian","English"
"2518","[25.000-30.000)","M","Together","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Yes","Two","None","Rent","Condominium","Hispanic","English"
"2519","[30.000-40.000)","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Three","None","Rent","House","White","English"
"2520","[30.000-40.000)","M","Married","35-44","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","No","Three","One","Own","Other","White","English"
"2521","[30.000-40.000)","M","Single","25-34","College graduate","Professional/Managerial","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"2522","[30.000-40.000)","M","Single","18-24","College graduate","Professional/Managerial","1-3 years","Not Married","Two","None","Rent","Apartment","White","English"
"2523","[30.000-40.000)","M","Together","35-44","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married","Two","None","Rent","Apartment","White","English"
"2524","[30.000-40.000)","M","Married","25-34","Graduated High Scool","Professional/Managerial","10+ years","No","Three","One","Rent","Condominium","White","English"
"2525","-10.000)","F","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Three","None","Family","House","White","English"
"2526","[10.000-15.000)","F","Divorced","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Two","None","Own","Condominium","White","English"
"2527","[15.000-20.000)","F","Single","18-24","College graduate","Professional/Managerial","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"2528","[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","One","Rent","House","White",NA
"2529","[30.000-40.000)","F","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","One","Own","Condominium","White","English"
"2530","[30.000-40.000)","F","Together","25-34","Graduated High Scool","Sales Worker","1-3 years","Not Married","Two","None","Rent","Apartment","White","English"
"2531","[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Sales Worker",NA,"Not Married","Four","None","Family","House","White","English"
"2532","[30.000-40.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Two","None","Own","House","White","English"
"2533","[40.000-50.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Four","None","Family","House","White","English"
"2534","[20.000-25.000)","F","Together","18-24","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Condominium","White","English"
