"","vote","distD66","distPvdA","distVVD","distCDA","relig","class","income","educ","age","urban"
"309","PvdA",3.0059747,2.6098324,4.245042,4.6906935,0,2,0,2.220446e-16,4,0
"310","CDA",2.3622209,2.421227,1.7205877,0.068205189,1,2,4,2.220446e-16,6,0
"311","CDA",1.0265969,1.0289995,0.76884988,0.094687529,1,2,6.079278,2,2,0
"312","CDA",0.097343866,0.15659925,0.019914385,1.0693891,1,2,4,1,5,0
"313","CDA",1.3031969,1.5414015,0.55523853,1.1093222,0,0,6,2,0,0
"314","CDA",0.050842046,0.014739494,0.31265785,1.5397299,1,2,1,3,11,0
"315","PvdA",4.9910012,4.5395497,6.9118756,9.7800424,0,0,2,1,5,0
"316","VVD",1.6611471,1.423883,2.1912532,1.6536434,1,1.8300025,3.8728535,3,6,0
"317","CDA",1.4862971,1.2361131,2.5957196,4.6327183,1,2,2,2.220446e-16,9,0
"318","PvdA",0.8309616,0.62898354,1.5696593,2.5641533,1,2,1,2.220446e-16,10,0
"319","VVD",4.9013815,5.4385392,3.6955171,6.5891004,0,2,2,2,4,0
"320","PvdA",1.5702312,1.8626936,1.1492491,4.0889955,0,0,3,2,1,0
"321","PvdA",1.4015756,1.223921,2.4730887,5.4276502,1,0,4,3,4,0
"322","VVD",1.5148411,1.5634896,1.0359131,0.0046821998,1,0,0,1,9,0
"323","PvdA",0.33435311,0.22154809,0.74637346,1.5296677,1,0,2,1,4,0
"324","PvdA",0.52464768,0.45812759,1.1881698,3.8754061,0,1.1216159,5,2,4,0
"325","CDA",1.0243162,1.0850245,0.61327969,0.089423381,1,1,3,1,9,0
"326","PvdA",0.0081627028,0.01488139,0.22323638,1.8755407,0,0,0,2.220446e-16,11,0
"327","VVD",1.410758,1.4050522,2.1464609,6.1002315,1,0,2,2.220446e-16,8,0
"328","PvdA",0.6317043,0.81886005,0.44798602,2.9269157,0,2,2,1,7,0
"329","CDA",0.98173925,0.79987736,1.9244974,4.199597,0,3,6,2,10,0
"330","CDA",1.5013837,1.4023583,1.4734617,0.36167202,1,2,3,1,7,0
"331","CDA",0.75433229,0.97299893,0.38934934,2.4788546,1,2,3,1,3,0
"332","PvdA",2.8712506,2.570863,3.4343645,2.0982567,1,0.52696425,0.78945738,2.220446e-16,12,0
"333","PvdA",2.0494732,1.7881878,2.6002532,1.7975756,1,0,5,2.220446e-16,6,0
"334","CDA",7.8739224,7.8595415,6.870957,2.3788051,1,0.46190405,1.3425007,2.220446e-16,9,0
"335","VVD",0.68666097,0.85342313,0.189471,0.86037591,1,3,6,2,4,0
"336","VVD",1.1309661,0.8938777,2.0296547,3.2573062,1,2.2175362,2.7539485,2,0,0
"337","CDA",7.1847736,7.0392424,6.6380078,2.3404731,1,2,3,3,5,0
"338","PvdA",2.4224935,2.4954984,1.7370471,0.08723177,1,2,6,2,0,0
"339","CDA",7.125984,7.4033457,5.4795653,2.3303644,1,2,6,1,2,0
"340","CDA",14.325493,14.851271,11.688213,7.5642166,1,2.2951491,2,1,4,0
"341","CDA",0.62646424,0.59551312,0.56893208,0.34689497,1,1,2,2.220446e-16,7,0
"342","CDA",4.7647881,4.7540647,4.0270925,0.85889947,1,2,3,4,2,0
"343","PvdA",0.54956684,0.38901683,1.2302929,2.5752113,1,2,0,2.220446e-16,8,0
"344","PvdA",0.53410084,0.48866699,1.1597585,3.985387,1,2,0,2.220446e-16,12,0
"345","CDA",5.470562,5.1958225,5.5463877,2.2685947,1,0,-1.131285,1,6,0
"346","PvdA",6.2310239,6.8204087,5.0535067,8.8739096,0,0,3.758266,1,5,0
"347","CDA",6.6274362,6.9245015,4.9910863,2.1885525,1,2,2,4,10,0
"348","PvdA",0.6900497,0.88828256,0.20551198,1.4137145,1,2,1,2.220446e-16,9,0
"349","CDA",6.8674765,6.5740605,6.8711516,2.9653719,1,1,1,1,0,0
"350","CDA",0.49149769,0.55924696,0.20644813,0.39174768,1,0,3,3,3,1
"351","CDA",0.18130405,0.26980808,0.0047102037,1.0230988,1,3,5,2,11,1
"352","PvdA",2.0282,1.7136055,2.9513908,3.121967,0,2,0,3,3,1
"353","PvdA",3.4183086,2.9943226,4.7491908,5.2120675,1,0,2,2.220446e-16,4,1
"354","CDA",0.078138061,0.092119019,0.35909885,2.4365084,1,0,0,2.220446e-16,7,1
"355","CDA",0.085400279,0.058646199,0.46023332,2.3693984,1,3,5,4,4,1
"356","CDA",0.9487675,0.8872858,0.90871919,0.30774188,1,2,5,2,1,1
"357","PvdA",0.043923795,0.0084339579,0.33116743,1.6891208,1,2,1,3,9,1
"358","PvdA",1.2971083,1.497946,1.2998139,4.8775288,0,1,3,2.220446e-16,2,1
"359","PvdA",3.1396552,2.790508,4.6988772,7.3875353,1,2,0,3,1,1
"360","PvdA",1.4150496,1.1597104,2.4763006,4.2048359,0,3,2,3,4,1
"361","CDA",0.13014171,0.22808973,0.022876169,1.5158799,1,2,0,2,10,1
"362","CDA",0.78458964,0.66411853,1.6157946,4.2875288,1,2,4,3,8,0
"363","CDA",0.91960031,1.0094492,0.46687232,0.18513449,1,2,4,2,11,0
"364","PvdA",0.45134657,0.6179526,0.09916459,1.4611474,0,3,6,2,3,0
"365","PvdA",0.52187742,0.40097277,0.85679246,1.1486486,1,3,6,2,7,0
"366","CDA",2.0080154,1.8426733,3.1926452,6.8746815,1,2,4,3,8,0
"367","CDA",1.2568145,1.4397906,1.3280718,4.9629988,1,2,5,1,6,0
"368","PvdA",0.14382653,0.23735698,0.0018900682,1.2621661,0,3,5,2,1,0
"369","CDA",4.6862557,4.9221033,3.3650926,1.142342,1,2,3,2,7,0
"370","PvdA",3.6465201,3.7604981,2.7032638,0.44133241,1,1,0,2,9,0
"371","PvdA",0.91294365,0.81612882,1.7461033,4.7855869,0,3,2,3,2,0
"372","PvdA",1.6600753,1.8583201,0.85173261,0.51164657,0,0,3,2.220446e-16,4,0
"373","CDA",5.2041609,4.9893109,5.0828757,1.7698264,1,0,0,2.220446e-16,12,0
"374","CDA",0.042923812,0.01733622,0.36422183,2.0350496,1,2,1,2.220446e-16,10,0
"375","CDA",2.0593586,1.8701195,2.2718951,0.94323153,1,2,1,1,2,0
"376","PvdA",1.5726881,1.7064571,1.9051633,6.0437544,1,2,4,3,5,0
"377","CDA",0.63365546,0.79682867,0.59303352,3.3929204,1,2,3,1,9,0
"378","PvdA",2.8368991,3.2398681,1.7439521,3.1445088,0,2,2,2,9,0
"379","VVD",0.00070211896,0.019479504,0.15257206,1.6853234,0,2,2,1,10,0
"380","PvdA",3.8630468,3.5608225,4.2595417,2.0988171,0,0,0,2.220446e-16,11,0
"381","PvdA",2.1857833,1.953208,3.4918951,6.7362613,0,0,3,2,2,0
"382","VVD",5.2005234,5.5594876,3.6241668,2.0463183,1,3,6,2.220446e-16,10,0
"383","VVD",0.22080484,0.24223372,0.56478507,3.0563989,1,3,4,1,4,0
"384","VVD",0.72414166,0.92512141,0.50485498,3.0231318,0,3,4,3,1,0
"385","D66",0.7431835,0.58968949,1.5837473,3.7999272,0,2,6,3,2,0
"386","VVD",1.0580656,1.2714689,0.92441866,4.0404546,0,3,4,2,0,0
"387","VVD",0.91171791,1.1304024,0.68223592,3.4199917,1,2,6,3,4,0
"388","PvdA",2.6901786,2.7194856,2.0807056,0.13216346,0,0,3,1,5,0
"389","CDA",2.6190538,2.2980966,3.356448,2.5421289,1,2,4,1,5,0
"390","PvdA",1.3741846,1.1230271,2.423118,4.1561023,0,2,4,2,4,0
"391","PvdA",2.6500015,2.7168017,1.948113,0.12566556,1,2,0,2.220446e-16,10,0
"392","CDA",0.97336554,0.77570334,1.5321503,1.7316686,1,0,4,1,3,0
"393","CDA",0.12674312,0.20567503,0.20472508,2.2955005,1,0,0,2.220446e-16,11,0
"394","PvdA",0.38539057,0.25355829,0.90996304,1.9432229,0,3,3,3,4,0
"395","CDA",0.69817411,0.77780589,0.32491057,0.26838623,1,2,2,2,2,0
"396","PvdA",0.014758758,0.032212442,0.21586026,1.9639875,1,0,0,2.220446e-16,8,0
"397","PvdA",2.6199951,2.3047095,4.0588634,6.6849923,0,0,2,2.220446e-16,2,0
"398","CDA",0.19679532,0.29580202,0.23407182,2.4343302,1,1,1,2,4,0
"399","VVD",0.42855263,0.47220545,0.21959977,0.40373119,1,0,4,1,0,0
"400","CDA",7.321168,7.1335702,6.9025604,2.5805658,1,2,2,2.220446e-16,12,0
"401","CDA",2.653714,2.7868136,1.7956237,0.23066601,1,0,2,1,2,0
"402","VVD",3.9571914,4.3470384,2.5397985,2.1900171,0,2,1,1,11,0
"403","VVD",2.9191479,3.3313128,1.8295832,3.3856368,0,2,6,2,4,0
"404","CDA",1.7385649,1.9470913,1.8126687,5.8483041,1,1,2,1,6,0
"405","PvdA",1.1966323,1.0558128,2.1714943,5.2219248,0,0,5,2.220446e-16,6,0
"406","CDA",5.7375025,6.035772,4.1893473,1.8268136,1,1,4,2,3,0
"407","PvdA",0.27353571,0.18017826,0.84444438,2.6821971,0,2,0,2,2,0
"408","PvdA",2.4460021,2.2029222,2.8183701,1.4383293,1,2,0,2.220446e-16,1,0
"409","CDA",4.2915126,4.3354179,3.4519896,0.62449338,1,2,1,2,6,0
"410","CDA",4.0038223,4.0698573,3.1377444,0.51853422,1,3,3,2,2,0
"411","PvdA",1.7926877,1.5156958,2.9944389,5.0668152,1,3,2,4,3,0
"412","PvdA",1.5056852,1.2890456,2.6337358,5.268027,0,2,3,2,3,0
"413","CDA",8.2444178,8.4169869,6.7275838,2.6104219,1,2,1,2,7,0
"414","VVD",1.3172331,1.6019,0.78000091,3.0457202,1,3,6,3,6,0
"415","PvdA",4.4042105,3.961429,5.4602663,4.3241364,1,2,0,2.220446e-16,5,0
"416","PvdA",4.9581588,4.5448994,6.8796033,10.329123,0,2,1,3,11,0
"417","VVD",0.20317973,0.32217786,0.030753257,1.5310679,1,2,3,1,3,0
"418","D66",0.71760644,0.70339781,1.3239176,4.5301031,0,3,6,2,4,0
"419","D66",0.72979983,0.67847648,0.71103339,0.36573101,0,4,6,4,4,0
"420","CDA",1.5022232,1.6036359,0.90035041,0.080582952,1,2,2,2,2,0
"421","CDA",5.6161768,5.8359984,4.2276941,1.4402156,1,1,2,1,10,0
"422","VVD",0.28037631,0.37168069,0.40781707,2.922557,1,1.2175363,5,1,12,0
"423","CDA",2.6468417,3.0182971,1.540806,2.4013275,1,4,6,2,7,0
"424","VVD",3.42421,3.0837816,5.0474185,8.1741598,0,2,4,2,4,0
"425","CDA",2.2279925,2.0297236,2.4463732,1.0088531,1,2,3,1,2,0
"426","CDA",0.97112876,0.86974815,1.0698946,0.52825735,1,2,4,1,2,0
"427","CDA",3.8929766,4.3353227,3.2137851,7.1895413,1,2,0,2,9,0
"428","CDA",8.7120763,8.6836168,7.6851102,2.8648884,1,0,4,1,2,0
"429","VVD",1.1245709,1.2448039,0.56224716,0.21674029,1,0,2,2.220446e-16,2,0
"430","CDA",1.8802079,1.707828,3.0513303,6.5621476,1,2,4,2.220446e-16,2,0
"431","CDA",1.5874449,1.4604418,2.6269835,6.1960289,1,2,3,1,4,0
"432","CDA",0.83034823,0.62976005,1.6308614,2.9420204,1,2,3,2,3,0
"433","PvdA",0.7288118,0.66639778,0.74881847,0.42090521,1,2,5,3,6,0
"434","CDA",5.2208915,5.4217456,3.9117564,1.2163617,1,2,2,1,4,0
"435","PvdA",3.2681218,2.9354849,4.8576109,7.9411473,0,1,0,3,2,0
"436","PvdA",2.2668624,2.0532121,3.5685528,7.078498,0,2,3,3,3,0
"437","CDA",1.5195971,1.5737974,1.0257376,0.0072136188,1,0,2,1,6,0
"438","PvdA",2.9086793,2.5915427,4.4178027,7.3518569,0,2,5,2,6,0
"439","VVD",2.4211819,2.1821886,3.7812075,7.1861615,0,2,6,1,2,0
"440","VVD",3.5386926,3.985593,2.697534,5.9677452,1,3,6,2,4,0
"441","PvdA",0.097207588,0.18524323,0.047882572,1.6677877,0,3,6,2,5,0
"442","CDA",1.2358388,1.3528407,1.5597782,5.4035225,1,3,3,3,8,0
"443","PvdA",0.56110548,0.60362553,0.31253249,0.29003464,1,2,4,2,5,0
"444","PvdA",5.4122304,4.9260042,6.5233353,4.9922517,1,3,5,3,4,0
"445","CDA",4.7608603,4.2622889,6.2066381,6.0889601,1,2,3,4,6,0
"446","CDA",0.29810352,0.4179674,0.022487171,1.0424536,1,2,5,2.220446e-16,10,0
"447","PvdA",0.42245428,0.41495303,0.92391852,3.7303348,0,3,4,2.220446e-16,5,1
"448","PvdA",1.089313,1.0597143,1.8217068,5.3976669,0,2,1,3,4,1
"449","CDA",0.20760878,0.32272284,0.012856029,1.3475589,1,2,5,4,3,1
"450","PvdA",1.8412029,2.1736446,1.2037634,3.7140887,1,3,0,3,3,1
"451","CDA",0.36005277,0.47353609,0.05155623,0.81761802,1,3,0,2,2,1
"452","D66",0.81921851,0.63131183,1.4009986,1.8582828,0,0,0,1,5,1
"453","CDA",1.659302,1.9178742,0.79651298,1.1100437,1,1,2,1,11,1
"454","PvdA",0.32979261,0.27712099,0.45087114,0.75389509,0,0,3,2.220446e-16,5,1
"455","PvdA",4.1130097,4.0620217,5.338811,10.950242,0,2.2464688,4,4,6,1
"456","CDA",1.4793854,1.7399121,0.67311637,1.2865411,1,2,6.2338915,3,12,1
"457","PvdA",3.1222605,3.5387823,1.9441763,3.1429279,1,0,3,2.220446e-16,2,1
"458","VVD",0.64068917,0.82271168,0.4969348,3.0892057,0,2,0,1,0,1
"459","D66",4.5325733,4.3436692,4.3912879,1.3756864,1,0,0,1,1,1
"460","PvdA",1.2557564,1.0387719,2.299003,4.5225292,1,2,5,2,3,1
"461","CDA",0.80392788,1.030175,0.34415099,2.0951894,1,0,0,2.220446e-16,11,1
"462","VVD",2.6821394,2.8568005,1.7346071,0.37159951,1,2,6,2,5,1
"463","CDA",2.3410061,2.5390902,2.5705027,7.1910381,1,2,1,2.220446e-16,10,1
"464","PvdA",0.22030447,0.15366078,0.74433759,2.7626502,0,2,1,4,3,1
"465","D66",1.5481271,1.7481078,1.6166096,5.495894,1,3,0,2,0,1
"466","CDA",1.8166611,2.1346414,0.94532905,2.1180593,1,1,1,2,2,0
"467","VVD",0.037016261,0.094571179,0.099380228,1.7915991,0,2,4,3,6,0
"468","PvdA",0.18062278,0.29503051,0.077895806,1.8419744,0,2,1,1,0,0
"469","PvdA",3.2561682,3.0310874,4.7383882,8.9384686,0,3,2,3,3,0
"470","CDA",3.2689324,3.1327142,3.0946526,0.71947994,1,2,6,1,8,0
"471","CDA",6.155017,6.5789152,4.3880232,2.8823039,0,2,6,3,4,0
"472","PvdA",4.7671683,5.0351186,3.3787549,1.3207763,1,0,3,2.220446e-16,3,0
"473","CDA",1.1409755,1.3620681,0.99600427,4.1743831,0,2,4,1,2,0
"474","PvdA",0.53867868,0.62537939,0.19950019,0.41307113,1,2,0,2,3,0
"475","CDA",0.78808331,0.66504259,1.0278622,0.83240528,1,0,0,1,10,0
"476","D66",3.188101,3.4627296,2.0000941,1.001659,1,2,1,1,6,0
"477","D66",0.053135629,0.058072614,0.33609361,2.2860343,1,2,3,3,3,0
"478","PvdA",0.097116484,0.16902214,0.0080065398,1.1932806,0,0,0,1,2,0
"479","VVD",2.1938113,2.5494908,1.2497292,2.6457189,1,3,4.6448832,1,6,0
"480","PvdA",0.59036135,0.46736056,1.3517145,3.6510849,0,2,0,2,2,0
"481","VVD",0.9198996,1.0076039,1.2738533,4.8172592,0,1.6031975,6,2,10,0
"482","VVD",3.0510922,3.1705029,3.6626321,8.9182066,0,2,2,2,1,0
"483","CDA",2.3506558,2.1481711,2.5642424,1.039924,1,2,1,2,3,0
"484","PvdA",1.5138154,1.414301,1.4852058,0.36272085,1,0,0,2.220446e-16,6,0
"485","PvdA",0.78695471,1.0037801,0.48665975,2.8576142,0,2,2,2,1,0
"486","CDA",0.73682664,0.72933641,0.57656263,0.21869262,1,2,3,2.220446e-16,3,0
"487","PvdA",1.5862182,1.7964381,1.6190466,5.4829557,0,2,2,1,9,0
"488","CDA",4.2170831,4.5358808,2.8205701,1.4942157,1,4,6,3,3,0
"489","CDA",0.78111415,0.84433257,1.1816506,4.5768493,0,2,1.0966297,2.220446e-16,5,0
"490","PvdA",0.020565924,0.029550071,0.25451543,2.0314086,0,3,3,3,10,0
"491","VVD",1.6318637,1.7393686,0.99268299,0.086802248,1,3,3,2,12,0
"492","PvdA",0.58951327,0.75608538,0.50912299,3.170328,0,0,0,1,2,0
"493","VVD",2.3515792,2.7078952,1.329262,2.3607674,0,3,5,2,4,0
"494","CDA",0.76256366,0.70652091,1.4774503,4.5690527,1,3,5,3,2,0
"495","VVD",0.49895736,0.3503346,1.1823872,2.7209375,0,2,2.197634,1,6,0
"496","PvdA",0.19893257,0.29737202,0.24098129,2.4554667,0,2,6,2,2,0
"497","VVD",0.2879139,0.3591182,0.49847979,3.1062089,1,3,2,4,9,0
"498","PvdA",3.5998972,3.24537,4.2984724,2.7899174,1,2,6,2,1,0
"499","CDA",1.6261828,1.5291243,2.6159089,6.4004191,1,0,1,2.220446e-16,9,0
"500","CDA",0.26807005,0.39988932,0.033362031,1.430085,0,3,6,3,10,0
"501","PvdA",0.11059875,0.048404503,0.51702914,2.040364,1,2,5,2,9,0
"502","CDA",2.1173016,1.9488692,3.3267456,7.0806268,1,0,2,2,3,0
"503","PvdA",0.15417027,0.085014012,0.62020807,2.3231147,0,2,6,2,2,0
"504","D66",0.64901076,0.51221368,1.4433768,3.6915991,1,1,5,1,4,0
"505","CDA",2.4797831,2.8674075,1.5902753,3.7312222,1,2,6,1,8,0
"506","CDA",0.43199308,0.45795313,0.26652122,0.39053124,1,1,5.2736158,1,12,1
"507","VVD",0.005748472,0.031751247,0.10473034,1.4940329,1,3,6,4,3,1
"508","VVD",0.68440091,0.55064753,1.0112043,1.0696062,1,0,3,2.220446e-16,9,1
"509","PvdA",4.9520664,4.5721729,6.8570822,10.733544,0,2,5,3,6,1
"510","PvdA",3.707215,3.5225884,5.1819576,9.9591759,0,1,5,4,2,1
"511","D66",0.5503992,0.5306791,1.1231202,4.0851736,0,2,3,1,7,1
"512","PvdA",0.46062661,0.31970298,1.1291086,2.7128213,0,0,0,2.220446e-16,2,1
"513","PvdA",0.14987397,0.21713645,0.29893918,2.5528456,0,2,2,3,3,1
"514","VVD",1.9102966,1.9657177,2.5587227,7.0212234,0,2,5,1,5,1
"515","PvdA",2.8246351,2.6695053,4.1238896,8.5087934,0,0,3,2.220446e-16,3,1
"516","D66",0.16035345,0.11955287,0.61424687,2.6886772,0,2,2,3,2,1
"517","PvdA",0.33169085,0.24648279,0.58943434,1.0530649,1,0,1,2.220446e-16,5,1
"518","PvdA",3.9075972,4.1569646,2.6561362,0.97153991,1,0,2,2,4,1
"519","PvdA",0.35347712,0.3753838,0.75126686,3.5074424,0,2,0,1,2,1
"520","PvdA",3.8904464,3.4920667,5.6037943,8.2836064,0,3,2,2,0,1
"521","D66",1.0365134,0.92256933,1.1673023,0.58846174,1,1,4,2,6,1
"522","CDA",1.4325259,1.2764857,1.6381344,0.7793176,1,3,2,2,5,1
"523","PvdA",1.9005299,1.6354734,3.1497442,5.6299198,0,0,0,2.220446e-16,4,1
"524","CDA",1.3220528,1.1581349,2.3581771,5.3516227,1,1.8377353,0,2,3,1
"525","VVD",0.94984258,0.74069451,1.8386719,3.4424821,0,2,1,1,6,1
"526","VVD",2.0983274,2.3764718,1.9324936,5.875463,1,0,0,2.220446e-16,3,1
"527","CDA",0.59178995,0.47746113,1.3468458,3.7474854,1,0.49144414,3,1,9,1
"528","PvdA",1.6700288,1.3799809,2.5986861,3.1672946,1,2,3,1,9,1
"529","PvdA",2.6473143,3.0223924,2.057396,5.4409294,0,2,2,1,11,1
"530","D66",0.84405101,0.95931292,1.0800855,4.4770978,1,2,4,1,9,1
"531","CDA",3.4650267,3.7971832,2.1689002,1.5249951,1,2,3,2.220446e-16,2,1
"532","PvdA",1.0558958,0.9185367,1.9891428,4.8929934,0,2,2,1,9,1
"533","PvdA",2.0240844,1.7285692,3.2907438,5.3928815,0,3,4,3,8,1
"534","CDA",0.16380897,0.27384434,0.048622858,1.6868775,1,3,6,4,12,1
"535","PvdA",1.0808587,1.0120279,1.9008125,5.3011119,1,3,0,2,1,1
"536","PvdA",5.2381806,4.8246625,7.2052108,10.868807,0,2,2,3,4,1
"537","PvdA",1.6590828,1.5053572,2.7576108,6.2038932,0,2,0,3,2,1
"538","PvdA",2.4013334,2.2521148,3.6252026,7.7391626,0,2,1,3,4,1
"539","VVD",0.85403449,0.99959719,0.31951869,0.49074775,1,3,5,3,6,1
"540","CDA",0.034791299,0.074736713,0.18704127,2.0423137,1,2,6,2,2,1
"541","PvdA",1.5073988,1.2331151,2.3879747,2.9654861,1,2,2,2,1,1
"542","PvdA",1.5590099,1.3296922,2.7060524,5.2390867,0,3,2,3,2,1
"543","VVD",4.6621735,4.6902583,5.7344152,11.809491,0,2,4,2,6,1
"544","PvdA",2.2248182,2.0205006,3.5066605,7.0630829,0,0,0,1,7,1
"545","CDA",0.65900029,0.6017391,1.3473612,4.2936548,0,0,0,2.220446e-16,12,1
"546","D66",0.61954519,0.74544954,0.74500884,3.7744968,0,2,3,3,9,1
"547","CDA",2.0535664,1.7452633,3.3063573,5.1484318,0,2,2,2.220446e-16,5,1
"548","CDA",5.2073329,5.6950305,4.5388808,9.2530874,1,3,4,3,4,1
"549","PvdA",4.4000734,3.9449016,6.1679689,8.2482125,1,2,2,2,3,1
"550","PvdA",4.6706948,4.4733786,4.5441564,1.4716293,1,3,5,3,5,1
"551","PvdA",3.0443033,2.7502561,4.5713564,7.9409656,0,2,5,2,7,1
"552","CDA",5.2147535,5.5452439,3.6747074,1.8391108,1,2,1,1,2,1
"553","PvdA",0.82654656,0.63695515,1.6811019,3.4173016,1,0,1,2.220446e-16,12,1
"554","VVD",2.0480869,1.7293362,3.2537492,4.7121669,0,2,4,2,3,1
"555","PvdA",1.138351,1.0878835,1.9305624,5.4764078,0,2,2,2.220446e-16,3,1
"556","D66",3.1069242,2.7284323,4.6217693,6.6536277,0,2,-1.0981967,2.220446e-16,8,1
"557","PvdA",5.1135455,5.2325781,5.9596093,12.330973,1,2,5,2,2,1
"558","CDA",1.666046,1.7293581,1.1235247,0.010342795,1,0,4,1,4,0
"559","D66",0.6152189,0.67196294,0.99140978,4.1720963,0,0,3,2,0,0
"560","CDA",1.841185,1.6945043,1.9247882,0.62432874,1,0,5,2.220446e-16,10,0
"561","D66",1.6065291,1.3288576,2.4374497,2.7261782,0,2,4,2,2,0
"562","CDA",0.47240233,0.64519586,0.25876809,2.3770437,1,2,3,3,3,0
"563","PvdA",3.5627823,3.6257989,2.7548931,0.36821716,1,0,1,1,8,0
"564","PvdA",0.36893548,0.52438391,0.081876684,1.5862434,1,2,1,2.220446e-16,11,0
"565","PvdA",0.31615538,0.30226068,0.30792489,0.58006476,1,2,2,2.220446e-16,12,0
"566","VVD",0.35481461,0.23590629,0.79186201,1.6023707,0,2,1,2.220446e-16,2,0
"567","CDA",5.1361978,4.7855818,5.56922,2.8500204,1,2,3,2,1,0
"568","VVD",0.91208171,1.1117077,0.79661612,3.7908658,0,2,4.9134169,2,9,0
"569","CDA",8.2423501,7.9130561,8.2563829,3.8565679,1,1,2,2.220446e-16,9,0
"570","PvdA",2.6413677,2.2853246,4.0268316,5.7800858,0,0,1,1,9,0
"571","D66",0.26370376,0.1942662,0.81783172,2.9377328,0,3,6,1,4,0
"572","PvdA",0.4507708,0.57757211,0.085506411,0.78187119,1,1,1,2.220446e-16,4,0
"573","PvdA",3.9063713,3.5654922,4.4776003,2.5668391,0,0,0.61249554,2.220446e-16,4,0
"574","PvdA",0.046431432,0.016986445,0.27435962,1.4402422,0,2,1,2,2,0
"575","CDA",0.99582983,1.1553838,0.40137653,0.49795201,1,3,6,2,7,0
"576","D66",3.4980102,3.0831177,4.6340376,4.3028691,0,2.6337571,-0.11189947,3,9,0
"577","VVD",2.081961,2.3825702,1.7929923,5.4874664,0,2,2,2.220446e-16,12,0
"578","VVD",4.6855399,5.1694458,3.9252784,8.1429961,0,3,3,2,9,0
"579","CDA",1.6391265,1.3928019,2.2274932,1.8312205,1,2,0,2.220446e-16,10,0
"580","PvdA",0.51878524,0.48734267,1.1090759,3.9775494,0,3,6,3,5,0
"581","CDA",3.4760257,3.1697066,3.9540503,2.1211708,1,2,0,2.220446e-16,6,0
"582","D66",0.4361447,0.59312859,0.31640963,2.6441987,0,4,6,3,9,0
"583","D66",0.58534202,0.54968878,0.5552651,0.39328299,0,3,6,2,8,0
"584","D66",0.11916379,0.051826502,0.48557679,1.7396254,1,3,4,2,5,0
"585","VVD",1.7974236,1.8239081,2.5122423,6.8538386,1,2,3,1,3,1
"586","VVD",0.69364591,0.87972778,0.19240451,1.136636,1,1.3950014,0,2.220446e-16,1,1
"587","CDA",6.2668842,6.4751945,4.8395161,1.6916834,1,2,4,1,10,1
"588","CDA",7.1977471,7.3798282,5.7450356,2.0786263,1,0,1,1,10,1
"589","PvdA",0.16194989,0.089209241,0.63401383,2.3114332,0,2,4,3,2,1
"590","CDA",1.3982349,1.3206522,1.3157639,0.26798041,1,0,1,1,3,1
"591","VVD",1.2346792,0.99526384,2.2300045,3.8845288,1,2,4,1,10,1
"592","D66",0.85691568,0.83902202,1.5075507,4.8698684,1,2,0,2.220446e-16,6,1
"593","PvdA",0.60701141,0.61838851,1.1159619,4.2441925,0,3,4,3,3,1
"594","CDA",0.78924481,0.89048104,0.34705865,0.28825477,1,0,1,2.220446e-16,12,1
"595","VVD",1.7944915,2.0667685,1.5804041,5.2037252,1,2,4,2,4,1
"596","PvdA",2.0358731,1.8757715,3.2170541,6.9619943,1,0,1,2,3,1
"597","D66",0.18880688,0.11156556,0.68846067,2.4296306,0,2,5.5456605,2,1,1
"598","PvdA",1.7190011,1.4220899,2.7269208,3.5705895,1,2,0.89519954,2,0,1
"599","CDA",2.4514086,2.7423052,1.3790655,1.1802134,1,0,4,1,2,1
"600","PvdA",4.4881638,4.350201,4.1746972,1.1074869,1,1,2,2,8,1
"601","CDA",0.23597664,0.29668378,0.46007805,2.9734995,0,3,4,2,1,1
"602","PvdA",1.3458957,1.1690568,2.4021177,5.2959123,1,0,0,1,5,1
"603","PvdA",2.3646899,2.2585304,3.4971354,7.8262589,1,2,0,2,3,1
"604","CDA",0.517927,0.3698167,1.2245141,2.8815687,0,0,1,2.220446e-16,4,0
"605","CDA",0.51218329,0.36881031,0.98780226,1.6121155,1,1,6.8580837,1,3,0
"606","CDA",4.9630694,5.0350884,3.9807518,0.89633186,1,2,5,2.220446e-16,8,0
"607","D66",0.99083006,0.84760392,1.9125858,4.6725958,1,2,4,1,5,0
"608","PvdA",3.6664619,4.1335632,2.5040929,4.5442961,1,1.9770671,6.9629335,2,5,0
"609","PvdA",1.6243205,1.340847,2.7072291,4.1130869,1,2,0,2,2,0
"610","D66",2.2011905,1.9657772,3.5131521,6.7424979,1,3,5,3,3,0
"611","CDA",6.0175771,5.6801051,6.2861072,2.9794257,1,2,5,2.220446e-16,8,0
"612","PvdA",3.0968592,3.0215566,4.2617599,9.2135819,1,2,4,1,4,0
"613","VVD",0.8252303,1.0302067,0.26637798,1.2213677,1,0,2,2,4,0
"614","CDA",0.82318693,1.0520957,0.35946762,2.1319777,0,2,2.6021564,2.220446e-16,5,0
"615","PvdA",1.8988334,2.1013565,2.0307675,6.2520017,1,0,3,2,3,0
"616","VVD",2.8956434,3.2774127,1.7220831,2.4159552,1,3,6,3,7,0
"617","PvdA",0.69582088,0.51287187,1.3649619,2.3151255,0,2,4,3,4,0
"618","D66",0.57196808,0.56951807,1.1078131,4.1551704,0,0,3,2.220446e-16,3,0
