"","In17","In16","In15","In14","In13","In12","In11","In10","In9","In8","In7","In6","In5","In4","In3","In2","In1","In0","InY","time"
"168",40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,4.16,"19:10"
"169",40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,3.55,"19:15"
"170",40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,3.35,"19:20"
"171",38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,3.31,"19:25"
"172",37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,3.32,"19:30"
"173",37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,3.32,"19:35"
"174",36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.25,"19:40"
"175",36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.17,"19:45"
"176",36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.13,"19:50"
"177",35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.09,"19:55"
"178",34.02,32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.09,"20:00"
"179",32.64,31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.08,"20:05"
"180",31.72,28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.08,"20:10"
"181",28.86,22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.08,"20:15"
"182",22.53,20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.08,"20:20"
"183",20.9,19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.08,"20:25"
"184",19.67,17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,"20:30"
"185",17.31,14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,3.08,"20:35"
"186",14.18,12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,3.08,3.08,"20:40"
"187",12.72,10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,3.08,3.08,3.08,"20:45"
"188",10.58,9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,3.08,3.08,3.08,3.08,"20:50"
"189",9.18,7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,3.08,3.08,3.08,3.08,3.08,"20:55"
"190",7.37,4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,3.08,3.08,3.08,3.08,3.08,3.08,"21:00"
"191",4.16,3.55,3.35,3.31,3.32,3.32,3.25,3.17,3.13,3.09,3.09,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.06,"21:05"
"192",3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.06,3.06,3.06,3.05,3.04,3.01,3,3,3,3,3,3,"22:25"
"193",3.08,3.08,3.08,3.06,3.06,3.06,3.05,3.04,3.01,3,3,3,3,3,3,3,3,3,3,"22:45"
"194",3.08,3.06,3.06,3.06,3.05,3.04,3.01,3,3,3,3,3,3,3,3,3,3,3,3,"22:55"
