"","idstud","country","studwgt","R31G01M","R31G02C","R31G03M","R31G04C","R31G05M","R31G06M","R31G07M","R31G08CZ","R31G08CA","R31G08CB","R31G09M","R31G10C","R31G11M","R31G12C","R31G13CZ","R31G13CA","R31G13CB","R31G13CC","R31G14M","R31P01M","R31P02C","R31P03C","R31P04M","R31P05C","R31P06C","R31P07C","R31P08M","R31P09C","R31P10M","R31P11M","R31P12M","R31P13M","R31P14C","R31P15C","R31P16C"
"724",1000725,"AUT",1.07794,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
"725",1000726,"AUT",0.98811,1,1,1,0,1,1,0,0,0,0,1,0,1,0,9,9,9,9,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"726",1000727,"AUT",0.98811,1,1,1,9,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0
"727",1000728,"AUT",0.85841,1,1,1,9,0,0,0,0,0,9,0,0,1,0,1,1,1,1,1,1,1,1,1,0,9,1,0,1,1,1,0,1,0,0,0
"728",1000729,"AUT",0.85841,1,1,1,0,0,1,1,9,9,9,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,0,1,0,1,0
"729",1000730,"AUT",0.85841,0,0,1,9,9,1,9,9,9,9,0,9,1,9,9,9,9,9,9,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0
"730",1000731,"AUT",0.85841,1,9,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
"731",1000732,"AUT",0.85841,0,1,1,1,0,1,0,0,0,9,0,0,1,9,1,1,9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"732",1000733,"AUT",0.82108,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
"733",1000734,"AUT",0.82108,1,9,1,9,0,1,0,0,0,9,0,9,0,0,1,1,1,1,9,0,1,1,1,9,9,1,1,1,1,1,1,1,0,0,9
"734",1000735,"AUT",0.82108,1,1,1,1,1,1,1,9,9,9,1,1,1,9,1,1,1,1,0,1,1,1,0,9,1,1,1,1,1,1,1,1,1,1,0
"735",1000736,"AUT",0.82108,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,9,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
"736",1000737,"AUT",0.82108,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1
"737",1000738,"AUT",0.77365,1,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,1,1,0,0,0,9,9,1,0,1,0,0,0,0,1,0
"738",1000739,"AUT",0.77365,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"739",1000740,"AUT",0.77365,1,1,1,1,1,1,0,0,9,0,1,9,0,9,9,9,9,9,0,1,0,1,0,0,1,0,1,1,1,1,0,0,9,9,0
"740",1000741,"AUT",0.74355,1,1,1,0,1,1,1,1,9,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"741",1000742,"AUT",0.74355,1,1,1,0,0,0,0,0,0,0,1,0,1,9,9,9,9,9,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
"742",1000743,"AUT",0.74355,1,1,1,9,1,1,1,9,9,9,0,1,1,1,1,1,0,9,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
"743",1000744,"AUT",0.74355,1,1,0,0,1,1,1,1,1,9,0,1,1,9,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"744",1000745,"AUT",0.74355,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,9,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0
"745",1000746,"AUT",0.68052,1,1,1,0,1,1,0,9,9,9,1,0,1,0,9,9,9,9,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0
"746",1000747,"AUT",0.68052,0,9,0,9,1,0,1,0,9,0,0,9,0,9,9,9,9,9,0,1,9,0,0,0,0,0,0,9,0,0,0,0,0,9,0
"747",1000748,"AUT",0.68052,1,1,1,0,1,1,1,1,1,0,0,0,1,9,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0
"748",1000749,"AUT",0.68052,1,1,0,0,1,1,0,9,9,9,1,9,0,9,9,9,9,9,1,0,1,1,0,0,1,1,0,9,1,1,1,1,1,0,0
"749",1000750,"AUT",0.68619,1,1,1,9,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
"750",1000751,"AUT",0.68619,1,1,1,0,1,1,0,1,1,0,1,1,1,0,9,9,9,9,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
"751",1000752,"AUT",0.92372,0,0,1,0,0,1,0,9,9,9,0,0,0,0,9,9,9,9,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,9
"752",1000753,"AUT",0.92372,0,9,1,9,1,0,0,9,9,9,0,9,1,9,9,9,9,9,0,0,0,9,1,0,9,9,0,9,1,0,0,0,9,9,9
"753",1000754,"AUT",0.92372,1,0,1,0,1,1,1,9,9,9,0,9,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"754",1000755,"AUT",0.92372,1,1,1,0,1,1,1,9,9,9,0,1,1,9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,0,9
"755",1000756,"AUT",0.92372,1,0,0,0,0,0,1,1,9,1,1,9,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,0,0,1,9,0,9
"756",1000757,"AUT",0.92372,1,0,1,0,1,0,1,0,0,0,1,0,1,9,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0
"757",1000758,"AUT",0.92372,1,1,1,9,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
"758",1000759,"AUT",0.92372,1,0,1,9,1,0,0,0,0,9,0,0,1,0,1,1,1,0,1,9,9,9,0,0,1,1,1,1,1,1,1,1,0,0,1
"759",1000760,"AUT",0.515,1,1,0,9,0,1,1,0,0,0,0,0,0,0,1,1,0,1,9,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"760",1000761,"AUT",0.515,1,1,0,9,1,1,1,9,9,9,1,9,1,9,9,9,9,9,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,9
"761",1000762,"AUT",0.515,1,1,1,0,1,1,0,1,1,0,1,0,1,9,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
"762",1000763,"AUT",0.515,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0
"763",1000764,"AUT",0.515,1,1,1,9,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"764",1000765,"AUT",0.49519,1,9,1,9,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,1,1,0,9,1,9,1,1,1,1,1,1,0,1,1
"765",1000766,"AUT",0.49519,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
"766",1000767,"AUT",0.49519,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,9,0,1,1,9,1,1,1,0,0,1,0,1,0
"767",1000768,"AUT",0.49519,1,0,1,0,0,1,1,0,0,9,0,1,1,0,1,1,1,0,9,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1
"768",1000769,"AUT",0.49519,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,0
"769",1000770,"AUT",0.77666,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,9,9,9,0,0,1,1,0,1,1,0,1,1,1,0,0
"770",1000771,"AUT",0.77666,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"771",1000772,"AUT",0.77666,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
"772",1000773,"AUT",0.77666,1,0,1,9,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"773",1000774,"AUT",0.77666,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"774",1000775,"AUT",0.77666,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
"775",1000776,"AUT",0.74679,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
"776",1000777,"AUT",0.74679,1,0,0,0,0,0,0,9,9,9,1,9,0,9,9,9,9,9,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
"777",1000778,"AUT",0.74679,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
"778",1000779,"AUT",0.74679,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1
"779",1000780,"AUT",0.74679,1,1,1,9,1,1,1,9,9,9,0,1,1,9,1,1,0,1,9,1,9,1,0,9,9,1,1,1,1,1,1,1,1,1,0
"780",1000781,"AUT",0.86547,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,9
"781",1000782,"AUT",0.86547,1,0,1,0,0,0,1,0,0,0,0,0,0,9,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,9
"782",1000783,"AUT",0.86547,1,9,1,9,0,1,1,9,9,9,1,9,0,9,9,9,9,9,0,0,9,9,0,0,1,1,0,9,9,9,9,9,9,9,9
"783",1000784,"AUT",0.86547,0,0,1,0,0,1,1,9,9,9,0,9,9,9,9,9,9,9,1,1,9,9,0,9,9,0,1,9,0,0,0,9,9,9,9
"784",1000785,"AUT",0.86547,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,9,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,9,1
"785",1000786,"AUT",0.86547,1,1,1,0,1,1,1,9,9,9,0,9,0,9,0,0,0,0,9,1,9,1,0,1,1,0,1,0,1,1,1,1,0,0,0
"786",1000787,"AUT",0.86547,1,1,1,1,1,1,0,0,0,0,9,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,9,1,1,1,1
"787",1000788,"AUT",0.86547,1,1,1,9,1,0,0,9,9,9,1,0,9,0,0,9,9,0,0,1,1,1,1,9,1,0,0,1,1,1,1,1,1,0,1
"788",1000789,"AUT",0.86547,1,0,0,1,1,1,1,9,9,9,0,1,1,9,1,0,1,0,1,9,1,1,0,1,0,0,9,9,9,9,9,9,9,9,9
"789",1000790,"AUT",0.86547,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"790",1000791,"AUT",0.87334,1,1,1,9,1,1,1,1,1,9,0,0,0,9,0,0,9,0,9,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0
"791",1000792,"AUT",0.87334,1,1,1,1,0,1,1,9,9,9,1,0,9,1,0,0,9,9,9,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"792",1000793,"AUT",0.87334,1,1,1,0,0,1,0,0,9,0,1,0,1,0,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
"793",1000794,"AUT",0.87334,0,9,0,9,1,0,0,9,9,9,0,0,1,9,9,9,9,9,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0
"794",1000795,"AUT",0.87334,0,1,1,9,0,0,0,9,9,9,1,9,1,9,9,9,9,9,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9
"795",1000796,"AUT",0.87334,0,9,1,9,1,0,0,9,9,9,1,9,0,9,9,9,9,9,0,0,1,9,0,0,1,1,1,0,1,0,1,1,0,9,9
"796",1000797,"AUT",0.87334,1,0,1,9,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
"797",1000798,"AUT",0.87334,1,1,1,0,1,1,1,9,9,9,1,0,0,9,9,9,9,9,0,1,1,1,0,0,9,1,1,9,1,0,0,1,1,0,9
"798",1000799,"AUT",0.87334,1,9,1,0,1,1,0,9,9,9,1,1,1,1,0,9,9,0,0,1,0,0,0,1,0,9,0,1,1,0,0,0,0,0,0
"799",1000800,"AUT",0.87334,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,9,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
"800",1000801,"AUT",0.80056,1,0,1,9,0,1,1,9,9,9,0,9,0,9,9,9,9,9,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"801",1000802,"AUT",0.80056,0,0,0,9,0,0,0,9,9,9,0,9,1,9,0,0,9,9,0,1,0,9,0,0,9,9,0,9,0,0,1,0,9,0,9
"802",1000803,"AUT",0.80056,1,1,1,0,0,1,1,9,9,9,9,0,1,9,1,1,9,9,9,0,0,1,0,0,0,1,1,1,9,9,0,1,1,0,0
"803",1000804,"AUT",0.80056,1,0,1,0,9,1,0,9,9,9,0,0,9,9,9,9,9,9,9,1,1,1,0,1,1,1,1,1,1,1,1,1,9,1,1
"804",1000805,"AUT",0.80056,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
"805",1000806,"AUT",0.80056,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"806",1000807,"AUT",0.80056,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1
"807",1000808,"AUT",0.80056,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"808",1000809,"AUT",0.80056,1,1,1,0,0,1,1,9,9,9,0,0,1,0,1,1,1,0,1,1,9,9,0,0,1,1,1,1,1,1,1,1,1,1,1
"809",1000810,"AUT",0.87732,1,0,0,9,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"810",1000811,"AUT",0.87732,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0
"811",1000812,"AUT",0.87732,0,9,0,9,0,1,0,9,9,9,1,9,0,9,9,9,9,9,0,1,0,0,0,0,9,9,0,9,0,0,0,0,0,9,9
"812",1000813,"AUT",0.87732,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"813",1000814,"AUT",0.87732,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"814",1000815,"AUT",0.95708,0,0,1,0,0,1,0,0,0,9,0,0,0,0,9,9,9,9,0,0,1,9,0,0,0,1,1,1,1,0,1,1,9,0,0
"815",1000816,"AUT",0.95708,1,0,1,9,1,1,1,9,9,9,1,1,0,9,9,9,9,9,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,9
"816",1000817,"AUT",0.95708,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"817",1000818,"AUT",0.95708,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
"818",1000819,"AUT",0.95708,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"819",1000820,"AUT",0.74549,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,9
"820",1000821,"AUT",0.74549,0,1,0,0,0,0,0,9,9,9,0,0,0,0,1,9,9,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,9,9,9
"821",1000822,"AUT",0.74549,0,1,1,0,1,0,0,9,9,9,0,0,0,1,1,1,9,0,0,0,1,1,0,1,1,1,1,9,1,1,0,0,0,0,9
"822",1000823,"AUT",0.74549,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
"823",1000824,"AUT",0.74549,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0
"824",1000825,"AUT",0.71161,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"825",1000826,"AUT",0.71161,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"826",1000827,"AUT",0.71161,0,9,1,0,0,1,0,9,9,9,1,0,0,9,0,0,0,9,9,1,0,9,0,0,1,1,1,9,1,0,0,1,0,1,0
"827",1000828,"AUT",0.5221,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"828",1000829,"AUT",0.5221,1,1,1,0,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,0,1,0,0,1
"829",1000830,"AUT",0.5221,1,1,1,9,1,1,1,9,9,9,0,9,9,9,9,9,9,9,9,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
"830",1000831,"AUT",0.5221,1,0,1,1,9,1,0,0,0,0,1,0,9,0,9,9,9,9,0,0,0,0,0,1,0,0,1,9,0,0,0,0,9,9,9
"831",1000832,"AUT",0.50035,1,1,1,9,1,0,1,1,1,9,1,1,0,9,1,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"832",1000833,"AUT",0.50035,1,1,1,9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"833",1000834,"AUT",0.50035,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,0,1,1,0,1,1,0,1,1
"834",1000835,"AUT",0.50035,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,9,0,1,0,1,1,1,1,9,1,1,1,1,1,1,0,1,1,1,1
"835",1000836,"AUT",0.76244,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,9,1,9,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0
"836",1000837,"AUT",0.76244,0,1,1,0,1,0,1,0,0,0,1,9,0,9,9,9,9,9,1,0,1,0,0,0,1,1,1,1,1,0,9,0,1,0,0
"837",1000838,"AUT",0.76244,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
"838",1000839,"AUT",0.76244,1,1,1,1,1,1,9,9,9,9,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"839",1000840,"AUT",0.76244,1,1,1,9,1,1,1,1,1,0,9,0,1,0,1,1,1,9,1,1,1,1,0,9,1,1,0,1,1,1,1,1,9,1,0
"840",1000841,"AUT",0.76244,1,1,1,0,1,1,1,9,9,9,1,9,0,9,9,9,9,9,1,1,1,1,0,0,1,1,1,9,1,1,1,1,1,0,1
"841",1000842,"AUT",0.76244,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
"842",1000843,"AUT",0.67653,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,9,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0
"843",1000844,"AUT",0.67653,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"844",1000845,"AUT",0.67653,1,1,0,9,0,1,1,1,0,1,0,9,1,1,0,0,9,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0
"845",1000846,"AUT",0.67653,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0
"846",1000847,"AUT",0.67653,1,1,1,0,1,1,0,9,9,9,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1
"847",1000848,"AUT",0.67653,0,1,1,9,1,1,1,9,9,9,0,9,1,9,9,9,9,9,1,0,1,1,1,9,1,1,1,1,1,1,1,1,9,9,9
"848",1000849,"AUT",0.67653,1,1,1,0,1,1,1,9,9,9,0,0,1,9,1,1,0,9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
"849",1000850,"AUT",0.67653,1,1,1,0,9,1,1,9,9,9,1,9,1,9,9,9,9,9,1,1,9,1,0,9,1,1,1,9,1,1,1,1,9,9,9
"850",1000851,"AUT",0.67653,1,0,1,0,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"851",1000852,"AUT",0.33357,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
"852",1000853,"AUT",0.33357,1,1,1,1,1,1,1,0,0,9,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,9,0,1
"853",1000854,"AUT",0.33357,1,1,1,0,1,1,1,9,9,9,1,0,0,9,9,9,9,9,1,1,1,1,0,9,1,1,1,1,1,1,1,1,9,0,1
"854",1000855,"AUT",0.36389,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0
"855",1000856,"AUT",0.36389,1,0,1,9,0,0,1,0,0,0,1,0,1,1,1,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"856",1000857,"AUT",0.36389,1,1,1,9,1,1,1,0,9,0,1,0,1,9,9,9,9,9,1,1,1,9,0,9,1,9,0,9,1,0,0,1,0,0,9
"857",1000858,"AUT",0.88951,1,1,1,9,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"858",1000859,"AUT",0.88951,1,9,0,9,1,1,1,9,9,9,1,1,1,9,9,9,9,9,9,0,1,1,0,0,0,1,1,0,9,9,9,9,9,9,9
"859",1000860,"AUT",0.88951,9,9,9,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"860",1000861,"AUT",0.88951,0,0,1,0,1,0,0,1,1,0,0,0,9,9,9,9,9,9,9,1,1,1,0,0,1,0,1,1,1,1,1,9,9,9,9
"861",1000862,"AUT",0.88951,1,0,0,0,0,1,0,9,9,9,0,9,0,9,9,9,9,9,0,1,0,0,1,0,0,9,0,9,0,0,0,0,0,1,0
"862",1000863,"AUT",0.88951,1,1,1,9,1,0,1,9,9,9,1,0,1,9,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,9,0,0
"863",1000864,"AUT",0.88951,1,1,1,0,1,1,0,9,9,9,0,0,1,9,1,1,1,1,1,1,9,1,0,0,1,1,1,1,1,1,0,1,0,0,0
"864",1000865,"AUT",0.88951,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,9,9,9,0,1,1,1,1,1,1,1,0,1,0,1,1
"865",1000866,"AUT",0.62789,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0
"866",1000867,"AUT",0.62789,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
"867",1000868,"AUT",0.62789,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
"868",1000869,"AUT",0.62789,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
"869",1000870,"AUT",0.62789,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,9
"870",1000871,"AUT",0.62789,1,0,0,9,0,0,1,0,0,9,0,1,1,9,9,9,9,9,9,0,9,0,0,1,9,9,0,9,1,0,0,0,9,0,9
"871",1000872,"AUT",0.62789,1,9,1,0,0,1,9,9,9,9,1,9,9,0,9,9,9,9,9,1,1,1,0,0,1,9,9,0,1,0,1,1,9,9,9
"872",1000873,"AUT",0.62789,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
"873",1000874,"AUT",0.62789,1,1,1,1,1,1,0,0,0,9,0,0,0,9,1,1,1,1,0,1,1,1,0,0,1,9,1,1,1,1,1,1,1,0,0
"874",1000875,"AUT",0.98464,0,1,1,9,0,1,1,9,9,9,1,9,1,0,1,1,1,1,1,1,1,1,9,9,9,9,9,9,1,1,1,1,9,0,1
"875",1000876,"AUT",0.98464,1,1,1,1,1,1,1,0,0,0,1,0,1,9,1,1,1,1,9,1,0,1,1,1,1,1,1,1,1,1,0,1,9,9,1
"876",1000877,"AUT",0.98464,1,0,1,0,0,1,1,0,9,0,1,0,0,0,9,9,9,9,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
"877",1000878,"AUT",0.98464,1,0,1,9,0,1,0,9,9,9,0,9,1,9,9,9,9,9,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,9
"878",1000879,"AUT",0.98464,1,1,1,9,1,1,1,0,9,0,1,9,1,9,9,9,9,9,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,0,1
"879",1000880,"AUT",0.94183,1,0,1,9,1,0,1,9,9,9,0,0,1,9,0,0,0,0,1,1,1,1,0,0,0,9,9,0,1,0,1,1,1,0,0
"880",1000881,"AUT",0.55505,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"881",1000882,"AUT",0.55505,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
