"","group","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11"
"516",1,2,4,3,4,3,3,2,3,3,2,3
"517",1,2,2,3,3,2,3,3,2,4,2,2
"518",1,2,2,3,2,4,1,2,3,3,2,2
"519",1,3,4,3,3,2,2,4,4,3,2,3
"520",1,1,2,2,2,1,1,2,1,2,1,2
"521",1,1,2,3,3,3,1,2,3,2,2,2
"522",1,4,2,3,2,3,3,3,4,4,2,3
"523",1,2,3,1,2,2,1,1,2,3,2,2
"524",1,2,3,4,2,3,2,3,4,3,3,3
"525",1,2,2,3,1,2,1,1,1,3,1,1
"526",1,3,3,4,2,4,3,4,4,4,3,4
"527",1,3,2,2,3,3,2,3,4,3,2,3
"528",1,3,2,2,2,2,2,2,2,4,2,2
"529",1,2,2,2,1,3,2,2,4,3,2,2
"530",1,1,2,2,3,2,3,1,2,3,1,2
"531",1,2,3,3,2,3,2,4,4,4,2,4
"532",1,2,1,2,2,1,2,1,2,2,1,1
"533",1,3,2,3,2,2,4,3,3,3,3,3
"534",1,3,2,3,2,2,1,3,3,4,2,4
"535",1,3,4,2,4,2,3,3,3,4,2,3
"536",1,2,2,4,4,2,2,3,3,3,2,2
"537",1,4,2,3,3,2,2,3,3,3,2,3
"538",1,3,3,3,3,3,2,3,3,3,2,3
"539",1,2,2,1,1,2,3,2,3,4,1,2
"540",1,3,3,3,3,2,2,3,4,3,2,3
"541",1,1,2,2,2,2,3,1,1,3,2,1
"542",1,2,4,3,2,2,3,4,3,3,2,2
"543",1,3,2,3,2,3,2,2,3,4,2,2
"544",1,1,2,2,2,2,3,2,3,3,1,2
"545",1,3,3,1,2,2,3,2,3,3,2,2
"546",1,1,2,2,2,2,2,1,1,3,1,2
"547",1,2,3,4,2,3,2,3,1,3,2,3
"548",1,4,3,3,4,3,3,4,4,4,4,4
"549",1,2,2,2,1,2,1,2,3,4,1,2
"550",1,4,2,3,3,2,3,3,3,4,1,3
"551",1,1,2,2,2,3,2,1,3,3,1,1
"552",1,2,2,3,2,1,1,2,2,3,1,2
"553",1,2,3,3,3,2,3,3,3,3,2,3
"554",1,4,4,4,3,3,3,4,4,4,2,4
"555",1,3,3,1,3,2,3,2,2,2,2,1
"556",1,3,2,2,2,3,4,3,3,4,1,3
"557",1,3,2,3,2,2,2,3,3,3,2,3
"558",1,4,3,4,3,3,4,4,4,3,3,4
"559",1,2,2,2,2,2,1,1,1,3,2,2
"560",1,3,3,3,2,2,2,2,3,4,2,3
"561",1,2,3,3,2,3,3,2,3,4,2,3
"562",1,3,3,3,3,3,1,3,4,4,2,3
"563",1,3,3,2,4,3,3,4,4,4,3,4
"564",1,2,3,3,2,3,2,3,3,4,1,3
"565",1,4,3,3,3,4,3,4,3,4,3,3
"566",1,4,3,3,3,2,3,2,4,3,2,3
"567",1,3,3,2,1,2,2,2,3,3,2,1
"568",1,2,2,3,2,3,2,2,4,3,2,2
"569",1,1,3,2,3,2,3,2,3,4,1,3
"570",1,2,3,3,2,3,3,2,3,3,2,3
"571",1,1,2,2,1,2,1,2,2,2,1,1
"572",1,3,3,3,3,2,1,3,4,4,2,4
"573",1,3,3,4,3,3,2,3,2,3,2,2
"574",1,3,4,3,3,3,2,3,3,3,3,3
"575",1,3,3,2,2,1,2,2,1,2,1,2
"576",1,4,1,3,3,3,2,3,4,4,3,3
"577",1,2,3,3,3,2,2,3,3,4,2,3
"578",1,3,2,4,3,3,3,4,4,3,2,4
"579",1,3,2,3,2,3,1,3,3,4,2,3
"580",1,3,3,3,3,3,3,3,4,3,2,4
"581",1,3,3,2,1,2,2,2,3,4,2,3
"582",1,3,3,3,2,3,2,3,3,4,2,3
"583",1,3,3,3,3,3,1,3,2,2,3,3
"584",1,2,3,3,2,3,2,2,3,3,2,2
"585",1,2,2,3,2,3,1,1,2,3,1,1
"586",1,4,3,3,2,3,3,3,4,4,3,3
"587",1,3,2,2,3,3,2,3,3,4,1,2
"588",1,3,2,4,4,2,3,3,3,3,1,2
"589",1,1,2,1,2,1,2,1,2,4,1,1
"590",1,2,1,2,2,2,1,2,3,2,2,2
"591",1,2,3,3,1,2,2,1,3,1,2,2
"592",1,2,3,3,3,2,1,3,2,2,2,2
"593",1,3,3,2,2,2,2,3,4,3,2,3
"594",1,2,2,2,2,2,2,1,4,3,1,4
"595",1,2,3,2,4,2,1,2,3,2,2,3
"596",1,2,2,2,2,3,3,2,4,3,2,2
"597",1,3,2,3,3,2,3,2,3,2,2,3
"598",1,3,2,2,3,2,3,1,3,3,1,2
"599",1,3,3,3,3,3,3,3,3,3,4,4
"600",1,4,3,2,2,3,4,3,3,3,2,3
"601",1,2,3,2,2,3,3,2,3,2,1,3
"602",1,1,2,2,1,2,1,1,2,2,1,2
"603",1,2,3,3,3,2,1,2,2,2,1,2
"604",1,3,1,4,3,2,2,3,3,3,2,3
"605",1,3,4,3,3,3,3,3,3,3,2,2
"606",1,3,3,3,3,2,4,3,1,2,1,1
"607",1,3,2,3,3,3,2,1,3,3,1,1
"608",1,1,2,2,2,3,2,1,3,2,1,2
"609",1,2,4,3,2,3,3,4,3,3,2,3
"610",1,3,3,3,4,3,3,3,4,3,2,3
"611",1,3,3,4,3,3,1,3,3,4,2,2
"612",1,4,2,3,2,2,2,2,3,2,2,3
"613",1,4,3,2,2,1,2,2,3,3,1,2
"614",1,3,3,3,3,4,1,3,2,3,1,3
"615",1,2,2,2,2,1,2,2,4,3,2,2
"616",1,2,1,4,2,2,1,1,1,3,2,2
"617",1,3,3,3,3,2,2,3,3,2,2,4
"618",1,3,4,2,3,1,2,2,4,2,2,3
"619",1,2,3,1,2,4,2,4,2,4,1,3
"620",1,2,3,3,4,2,2,4,3,3,2,3
"621",1,2,3,4,3,3,3,4,4,4,2,3
"622",1,2,2,2,2,2,1,3,2,4,1,2
"623",1,3,2,3,2,2,1,2,2,3,1,1
"624",1,3,3,3,2,2,2,4,4,4,2,4
"625",1,3,2,4,1,2,2,1,4,1,2,2
"626",1,3,2,2,3,3,3,4,4,4,2,3
"627",1,2,2,2,3,2,3,2,3,2,1,2
"628",1,3,3,2,2,3,1,3,4,3,2,3
"629",1,3,2,3,2,2,2,4,3,4,2,2
"630",1,1,1,2,2,1,2,1,3,2,1,1
"631",1,2,2,3,2,4,3,2,3,3,1,2
"632",1,3,1,4,4,2,2,2,2,3,3,4
"633",1,3,3,2,2,3,2,3,1,2,2,2
"634",1,3,3,2,2,3,2,2,2,3,2,4
"635",1,2,3,3,3,1,2,2,3,3,1,2
"636",1,3,4,2,1,3,2,2,4,3,1,3
"637",1,3,3,2,2,1,2,2,3,2,2,2
"638",1,1,3,2,2,3,2,2,2,1,2,3
"639",1,2,2,2,1,2,4,2,3,4,1,2
"640",1,2,3,2,2,1,1,1,3,3,1,3
"641",1,3,3,3,3,2,2,4,4,4,3,3
"642",1,2,3,2,2,2,2,2,3,4,1,3
"643",1,1,2,3,2,2,1,1,2,2,3,2
"644",1,1,2,3,2,1,1,1,3,1,1,1
"645",1,3,2,3,2,2,3,3,4,4,3,3
"646",1,3,2,3,3,2,2,2,4,3,3,2
"647",1,2,3,2,3,1,3,2,3,3,1,1
"648",1,2,3,2,3,2,1,2,3,2,1,2
"649",1,2,2,2,2,2,3,2,2,3,1,3
"650",1,2,1,2,2,3,2,2,2,3,1,3
"651",1,4,4,3,2,3,2,3,4,4,3,3
"652",1,3,3,2,2,3,3,2,2,2,1,2
"653",1,2,2,2,2,2,3,3,3,2,1,2
"654",1,3,2,2,1,2,1,1,1,2,1,1
"655",1,2,1,2,2,1,2,2,2,3,1,2
"656",1,2,2,2,3,2,3,2,3,3,2,3
"657",1,2,2,2,2,3,2,2,3,2,1,2
"658",1,3,1,1,2,1,1,1,2,4,1,1
"659",1,1,3,2,2,1,2,2,3,3,2,2
"660",1,3,2,1,2,2,1,1,4,3,1,1
"661",1,3,2,4,4,4,2,4,4,4,3,4
"662",1,3,3,2,3,3,3,3,4,4,2,2
"663",1,1,3,2,3,3,2,4,4,3,2,3
"664",1,2,2,3,2,2,1,3,4,3,2,2
"665",1,2,1,2,1,1,3,1,1,2,1,1
"666",1,2,2,2,3,2,2,3,3,4,2,3
"667",1,3,3,3,2,2,1,1,3,3,1,2
"668",1,3,2,3,4,3,3,3,2,4,2,2
"669",1,3,4,2,2,2,4,3,3,3,2,2
"670",1,1,2,2,2,1,1,1,1,1,1,1
"671",1,2,2,3,2,2,2,1,2,3,1,1
"672",1,3,4,4,2,3,2,3,4,4,3,3
"673",1,1,2,3,1,1,2,3,3,3,2,3
"674",1,2,2,3,3,2,2,3,3,3,2,2
"675",1,1,3,2,3,3,2,1,4,3,2,2
"676",1,2,3,2,1,2,1,1,2,1,2,2
"677",1,3,4,3,2,2,3,3,3,3,1,3
"678",1,2,2,3,3,3,2,3,3,3,2,2
"679",1,3,3,3,2,3,3,3,3,4,2,2
"680",1,4,4,4,2,3,1,4,4,4,2,4
"681",1,3,3,3,3,3,3,3,4,3,2,4
"682",1,2,1,2,3,3,2,2,3,3,2,2
"683",1,2,2,2,3,1,1,1,2,3,2,1
"684",1,3,2,3,4,2,2,3,3,3,2,2
"685",1,3,2,1,3,2,2,2,3,4,1,2
"686",1,2,3,2,2,1,1,1,4,2,1,1
"687",1,2,2,3,2,3,1,4,2,3,1,3
"688",1,2,2,2,3,1,1,1,3,2,2,2
"689",1,2,3,2,2,1,2,2,2,2,2,3
"690",1,1,1,1,1,2,1,1,1,3,1,1
"691",1,3,3,2,2,2,1,3,2,3,1,3
"692",1,2,2,3,3,2,2,2,3,3,2,3
"693",1,3,3,3,1,3,2,3,3,3,1,2
"694",1,2,2,2,1,1,3,2,3,3,2,2
"695",1,2,4,2,1,1,2,3,1,4,1,2
"696",1,2,3,3,3,3,1,3,3,3,1,3
"697",1,3,3,3,4,3,3,4,4,4,2,3
"698",1,3,2,3,3,4,2,4,4,3,2,3
"699",1,2,2,2,3,4,3,4,3,3,3,4
"700",1,2,1,2,2,1,3,1,2,3,2,2
"701",1,2,2,2,3,2,1,2,3,3,2,2
"702",1,4,3,2,1,3,1,1,3,3,2,2
"703",1,2,2,3,4,3,1,4,4,3,2,3
"704",1,2,2,3,3,2,2,2,2,1,2,2
"705",1,2,2,3,1,1,2,1,2,1,1,2
"706",1,4,3,3,3,3,4,4,4,3,2,4
"707",1,3,3,3,3,3,1,3,4,3,2,3
"708",1,3,4,3,3,3,3,3,3,3,2,4
"709",1,3,3,3,3,3,3,4,2,3,3,4
"710",1,3,3,2,4,4,2,4,3,3,2,3
"711",1,3,3,3,3,3,1,3,4,3,1,3
"712",1,2,2,3,3,3,2,3,1,3,2,3
"713",1,3,3,2,2,3,2,3,2,3,1,2
"714",1,3,2,2,2,1,2,1,2,2,1,1
"715",1,4,3,4,4,2,4,2,4,4,3,3
"716",1,2,3,3,2,2,2,2,2,2,1,2
"717",1,2,2,3,2,2,2,2,2,2,2,2
"718",1,3,4,4,4,3,2,4,4,3,2,3
"719",1,2,2,3,2,2,3,2,2,2,2,2
"720",1,2,3,2,2,3,2,2,3,3,2,2
"721",1,3,1,2,2,3,4,1,3,4,1,3
"722",1,2,3,3,3,3,3,3,4,3,2,3
"723",1,2,3,3,2,2,1,1,3,3,1,2
"724",1,4,2,3,4,3,1,4,4,3,2,4
"725",1,2,2,2,1,2,1,1,2,3,1,1
"726",1,3,3,2,3,2,2,4,4,4,3,3
"727",1,2,3,3,2,2,3,3,2,2,1,4
"728",1,1,2,2,2,1,2,2,2,3,1,3
"729",1,1,2,2,2,2,2,3,4,3,1,2
"730",1,3,3,3,3,3,1,2,3,4,2,3
"731",1,3,2,2,3,3,2,1,3,3,2,2
"732",1,2,2,1,2,3,3,3,4,3,2,2
"733",1,4,3,3,3,3,2,3,3,3,1,2
"734",1,4,3,3,3,2,2,2,3,3,2,3
"735",1,2,2,2,1,2,2,1,3,2,2,1
"736",1,2,3,3,2,2,3,2,2,3,2,2
"737",1,1,2,1,3,1,1,2,4,4,1,2
"738",1,2,2,3,2,2,1,1,3,3,1,2
"739",1,4,2,2,2,2,2,2,3,4,2,3
"740",1,3,2,2,3,2,2,2,3,3,2,3
"741",1,3,3,3,2,1,1,3,3,3,2,3
"742",1,2,3,3,2,2,2,2,2,2,2,2
"743",1,3,3,1,2,2,3,2,1,3,1,3
"744",1,1,2,2,3,2,1,2,2,2,2,3
"745",1,3,2,2,2,3,1,2,4,2,2,3
"746",1,3,3,4,4,2,3,4,4,3,2,3
"747",1,2,2,2,3,2,2,1,2,1,1,1
"748",1,2,2,3,3,2,3,1,2,4,2,2
"749",1,3,2,3,2,2,3,2,2,3,1,2
"750",1,2,3,3,1,2,3,3,3,3,2,2
"751",1,3,3,4,3,3,3,4,4,4,3,4
"752",1,2,3,3,3,2,3,2,3,2,2,3
"753",1,2,3,3,3,3,2,3,3,3,2,2
"754",1,4,2,4,3,3,3,3,3,4,2,4
"755",1,2,3,3,3,2,2,2,3,2,2,2
"756",1,3,2,1,2,1,2,1,2,2,1,2
"757",1,1,3,2,3,2,3,2,3,4,2,2
"758",1,2,2,2,2,1,2,1,2,2,1,2
"759",1,2,3,3,3,2,1,2,1,2,2,2
"760",1,2,4,2,2,3,2,2,3,3,2,3
"761",1,1,2,2,3,2,1,1,2,1,2,2
"762",1,2,2,4,2,3,2,4,3,3,1,3
"763",1,3,3,4,4,3,3,4,4,4,3,4
"764",1,2,3,3,3,2,3,3,3,4,2,3
"765",1,3,4,4,4,3,2,4,4,3,4,4
"766",1,2,2,3,3,3,2,3,3,4,2,3
"767",1,2,2,2,3,3,2,2,2,3,2,3
"768",1,2,2,2,3,2,3,2,2,2,1,2
"769",1,3,1,3,3,3,2,4,1,3,1,1
"770",1,1,2,2,4,1,2,1,2,3,2,2
"771",1,4,2,3,3,3,2,3,4,3,2,4
"772",1,1,2,2,3,2,2,1,2,1,1,2
"773",1,3,3,3,3,2,3,4,4,2,3,3
"774",1,2,2,3,2,3,2,3,4,3,2,2
"775",1,2,2,2,3,2,4,2,2,2,1,3
"776",1,1,2,2,3,3,3,3,3,4,2,3
"777",1,3,3,3,2,3,2,3,3,2,2,3
"778",1,3,1,3,2,2,3,1,3,3,1,2
"779",1,2,3,2,3,2,2,1,2,3,2,2
"780",1,3,2,3,3,3,1,3,3,3,2,3
"781",1,2,3,3,4,2,3,4,2,4,2,3
"782",1,1,2,2,2,3,2,1,1,3,1,1
"783",1,1,1,3,3,2,2,1,2,2,1,2
"784",1,3,2,4,3,2,2,3,2,3,2,3
"785",1,2,3,2,3,2,2,1,2,3,1,2
"786",1,3,2,4,3,2,2,2,2,3,3,3
"787",1,3,2,3,2,1,2,2,2,1,1,3
"788",1,4,3,2,3,2,2,1,3,2,2,2
"789",1,2,3,2,3,1,3,4,4,3,2,3
"790",1,3,3,4,3,3,2,3,4,2,1,4
"791",1,3,2,3,3,3,2,3,4,3,3,4
"792",1,2,1,3,2,1,1,1,2,3,1,1
"793",1,1,4,2,3,3,2,3,4,4,2,3
"794",1,3,3,3,2,3,2,3,3,3,2,3
"795",1,3,3,4,3,3,3,4,3,3,2,3
"796",1,2,2,2,2,2,4,3,3,1,2,2
"797",1,2,1,1,2,2,2,1,2,3,1,2
"798",1,3,3,3,2,2,2,3,4,4,2,2
"799",1,3,3,3,3,4,1,3,4,2,2,2
"800",1,3,2,2,4,3,3,3,2,4,2,3
"801",1,2,2,2,2,2,3,3,3,3,2,3
"802",1,4,3,2,3,3,1,3,3,3,3,4
"803",1,2,3,2,3,2,2,3,2,3,2,3
"804",1,4,3,3,4,3,3,4,4,4,3,3
"805",1,2,2,2,1,2,3,1,2,1,1,1
"806",1,2,3,4,4,4,1,3,3,4,3,3
"807",1,2,3,3,3,3,3,4,3,3,2,3
"808",1,3,3,3,3,2,2,4,3,4,1,3
"809",1,3,3,2,3,3,2,3,2,3,1,2
"810",1,2,2,2,2,2,2,2,3,3,2,2
"811",1,2,3,2,3,2,2,4,3,4,2,2
"812",1,1,2,2,3,2,1,2,3,3,2,2
"813",1,3,2,2,3,1,3,3,2,3,1,3
"814",1,2,2,2,2,1,2,2,3,4,1,2
"815",1,2,3,2,2,2,3,1,2,3,1,2
"816",1,3,3,3,1,2,2,2,2,4,2,3
"817",1,3,2,2,2,2,3,2,2,4,2,2
"818",1,2,3,3,2,2,2,2,2,4,2,2
"819",1,1,1,2,2,2,1,1,4,2,1,1
"820",1,3,3,3,3,3,3,4,4,3,2,3
"821",1,2,1,3,3,3,2,2,4,4,2,2
"822",1,2,2,1,2,1,1,1,4,2,1,1
"823",1,1,1,1,2,2,1,1,3,2,1,2
"824",1,1,3,3,1,1,3,2,3,2,2,2
"825",1,3,2,3,3,1,3,3,3,4,2,4
"826",1,3,3,2,2,2,2,2,4,4,2,3
"827",1,2,2,4,2,2,3,2,3,3,1,2
"828",1,2,1,2,2,2,3,1,2,4,2,2
"829",1,3,3,3,2,2,2,3,4,3,1,2
"830",1,4,3,3,2,2,2,4,4,3,2,4
"831",1,2,2,4,3,3,2,3,4,2,1,3
"832",1,3,3,3,3,3,1,3,2,2,2,3
"833",1,3,2,3,2,3,2,2,2,3,2,2
"834",1,3,3,3,2,2,1,2,2,4,1,3
"835",1,3,3,1,2,4,1,1,2,2,1,2
"836",1,2,3,2,3,3,1,1,2,2,2,2
"837",1,2,3,2,3,2,2,1,2,3,2,1
"838",1,2,2,2,2,2,3,3,2,3,1,2
"839",1,1,2,2,3,2,3,2,3,3,1,3
"840",1,3,3,2,3,2,2,2,2,2,1,2
"841",1,3,3,3,1,1,3,2,3,3,1,3
"842",1,2,4,3,2,2,3,3,3,4,1,3
"843",1,2,2,2,3,2,3,2,2,3,2,2
"844",1,3,3,3,3,2,4,4,4,4,3,4
"845",1,3,2,2,1,1,2,3,3,3,2,2
"846",1,4,4,4,4,3,2,4,4,4,2,4
"847",1,4,2,1,3,2,3,2,3,4,2,3
"848",1,3,2,1,1,1,3,3,2,2,3,2
"849",1,2,2,1,1,1,1,1,1,1,1,1
"850",1,1,2,2,2,1,2,1,1,1,2,1
"851",1,2,2,2,2,3,2,2,3,1,2,2
"852",1,2,3,3,3,3,1,2,2,4,1,4
"853",1,3,3,2,2,3,2,2,2,3,1,2
"854",1,2,1,3,1,3,2,2,3,2,1,3
"855",1,3,4,3,4,3,3,4,4,3,3,4
"856",1,3,2,3,4,3,3,3,3,4,3,3
"857",1,2,3,3,3,4,3,4,1,3,2,3
"858",1,2,3,3,2,2,2,2,2,4,2,2
"859",1,2,3,3,4,3,3,4,3,3,2,4
"860",1,2,3,4,3,2,1,2,2,4,2,3
"861",1,2,3,2,2,2,1,2,3,2,1,3
"862",1,3,3,3,1,1,2,2,4,1,1,2
"863",1,1,2,2,2,2,3,1,2,2,1,1
"864",1,3,2,2,3,3,2,4,3,4,2,3
"865",1,2,3,2,2,2,3,3,3,3,1,2
"866",1,4,2,3,2,1,1,2,3,2,2,2
"867",1,2,2,2,1,1,2,1,2,3,1,2
"868",1,3,4,3,3,1,3,3,4,4,3,3
"869",1,2,2,2,3,2,2,3,3,3,2,3
"870",1,3,2,2,2,3,3,3,1,1,2,2
"871",1,1,2,3,3,3,4,1,2,2,2,1
"872",1,3,3,3,2,3,3,2,3,3,1,2
"873",1,2,3,2,3,1,1,2,3,2,2,2
"874",1,2,2,4,3,3,4,3,3,4,3,3
"875",1,2,1,2,2,2,1,1,2,2,1,2
"876",1,2,3,2,2,2,2,3,3,2,2,3
"877",1,2,2,3,3,2,3,1,3,4,1,2
"878",1,3,1,3,4,2,3,2,3,2,1,3
"879",1,4,4,2,3,2,2,4,2,2,2,3
"880",1,3,2,2,2,1,1,1,2,1,1,1
"881",1,3,3,2,4,4,3,4,4,4,3,4
"882",1,2,2,2,2,1,2,2,2,2,1,1
"883",1,2,2,3,2,2,2,2,3,2,1,3
"884",1,2,2,3,1,1,2,2,3,4,1,2
"885",1,3,2,1,3,1,1,2,4,4,1,3
"886",1,1,2,3,3,3,3,3,2,4,3,2
"887",1,3,3,3,3,3,3,4,4,3,2,4
"888",1,2,3,2,3,3,2,2,3,4,2,2
"889",1,2,1,3,2,2,1,3,2,3,1,2
"890",1,3,3,4,3,2,2,4,2,3,2,4
"891",1,3,3,3,2,3,3,2,3,3,2,3
"892",1,4,3,4,3,3,4,4,4,4,3,4
"893",1,2,2,3,3,3,2,3,4,4,2,3
"894",1,2,1,1,2,2,1,1,3,3,2,1
"895",1,4,4,3,3,3,2,4,3,4,2,4
"896",1,3,3,3,2,2,3,3,3,2,1,3
"897",1,2,3,2,3,3,1,2,3,4,1,3
"898",1,2,3,3,2,2,1,2,3,3,2,2
"899",1,2,2,3,2,2,2,2,2,4,2,2
"900",1,1,2,2,2,2,2,1,3,3,2,2
"901",1,2,3,3,1,2,2,2,3,3,2,3
"902",1,2,1,1,2,2,3,1,2,3,2,2
"903",1,2,2,1,2,2,2,1,3,2,1,2
"904",1,1,3,2,2,3,3,2,3,3,1,2
"905",1,3,2,2,2,2,2,1,2,2,1,2
"906",1,2,2,2,2,1,3,2,3,3,2,1
"907",1,3,3,2,2,2,2,1,3,3,2,2
"908",1,4,2,3,3,3,2,2,3,3,2,3
"909",1,2,2,3,2,2,1,1,4,2,1,2
"910",1,3,2,2,2,4,2,1,2,3,2,1
"911",1,3,2,3,3,3,3,3,4,4,2,3
"912",1,3,2,3,2,3,3,2,2,3,2,3
"913",1,3,3,3,3,2,2,4,3,3,2,3
"914",1,2,3,3,4,2,3,3,2,3,1,3
"915",1,2,3,3,3,3,2,4,3,3,2,2
"916",1,1,3,2,4,2,1,3,4,3,2,2
"917",1,2,4,3,3,2,3,2,3,3,1,3
"918",1,2,3,3,3,3,2,2,3,3,1,2
"919",1,2,3,3,2,2,2,2,2,3,1,2
"920",1,3,2,2,3,3,3,2,3,3,2,3
"921",1,2,2,3,2,2,1,3,3,2,1,2
"922",1,4,2,4,3,2,1,4,3,4,3,3
"923",1,3,3,1,2,2,2,2,3,3,2,3
"924",1,2,4,4,3,4,3,4,4,4,3,3
"925",1,2,3,2,1,2,1,1,2,2,1,2
"926",1,3,3,3,3,2,2,2,4,3,2,2
"927",1,3,3,3,2,3,3,3,3,4,2,3
"928",1,2,3,2,1,3,2,2,2,3,2,2
"929",1,3,4,4,2,2,4,4,4,4,3,4
"930",1,2,3,4,3,4,4,4,3,3,2,4
"931",1,3,3,3,2,3,2,2,3,3,2,3
"932",1,2,3,4,2,3,2,2,4,3,1,2
"933",1,3,4,3,2,3,2,2,4,4,3,3
"934",1,3,4,3,3,1,2,4,3,4,3,4
"935",1,2,2,2,3,1,1,3,4,3,3,2
"936",1,3,3,2,2,1,2,1,2,4,1,1
"937",1,4,1,2,3,1,4,2,2,1,1,2
"938",1,4,3,2,3,1,1,4,3,4,2,3
"939",1,2,2,3,2,1,2,2,2,3,2,3
"940",1,2,2,3,2,1,1,1,1,2,1,2
"941",1,3,3,2,3,3,3,3,4,2,2,3
"942",1,2,3,3,4,3,3,3,3,2,2,2
"943",1,3,3,2,2,2,1,2,3,3,2,2
"944",1,4,4,3,3,3,1,4,4,3,2,4
"945",1,2,3,2,2,2,1,2,1,1,1,2
"946",1,2,2,2,2,2,2,2,2,3,1,1
"947",1,2,1,2,2,1,1,1,2,2,2,2
"948",1,1,3,3,2,1,2,2,2,3,2,2
"949",1,2,3,2,3,3,3,2,2,2,2,2
"950",1,2,1,2,2,2,2,1,3,2,2,2
"951",1,3,1,2,2,3,1,1,1,2,1,2
"952",1,3,2,1,3,3,3,2,3,4,1,3
"953",1,3,3,3,4,3,3,3,3,2,1,3
"954",1,4,3,3,3,3,3,3,3,4,2,3
"955",1,2,2,2,2,2,2,2,2,1,1,2
"956",1,3,3,3,4,2,2,3,4,4,3,4
"957",1,1,2,2,1,3,1,1,1,2,1,1
"958",1,3,2,4,2,2,2,4,4,3,3,3
"959",1,3,3,3,2,3,3,2,3,4,2,3
"960",1,3,3,3,3,1,1,4,3,4,3,4
"961",1,2,2,3,2,3,3,1,2,3,2,3
"962",1,4,3,3,2,3,3,3,2,3,2,2
"963",1,3,3,2,2,2,2,1,2,1,1,2
"964",1,2,1,2,2,1,2,1,1,2,1,1
"965",1,2,2,3,2,3,3,2,1,3,2,3
"966",1,2,3,4,3,3,3,4,4,3,3,4
"967",1,3,2,3,2,3,1,1,3,2,1,3
"968",1,1,2,3,3,2,3,2,2,3,1,3
"969",1,3,3,3,3,3,3,4,4,3,2,3
"970",1,2,1,1,2,1,1,1,1,2,1,1
"971",1,3,3,4,4,3,2,3,3,4,3,3
"972",1,2,3,3,2,2,1,2,3,2,1,2
"973",1,3,2,3,2,1,2,2,4,3,1,2
"974",1,3,4,3,3,2,3,4,3,4,2,3
"975",1,2,3,3,3,2,1,3,4,3,1,3
"976",1,2,2,3,3,1,3,2,3,4,1,2
"977",1,4,3,3,3,3,4,3,4,3,2,3
"978",1,2,3,2,2,4,1,4,4,4,2,4
"979",1,2,2,2,3,2,1,2,2,3,2,1
"980",1,2,3,1,2,3,2,1,4,3,1,2
"981",1,3,3,2,2,3,2,3,3,3,2,4
"982",1,3,3,3,2,3,2,3,2,2,2,3
"983",1,1,1,2,1,3,3,1,2,2,2,1
"984",1,4,3,3,4,3,2,4,2,4,3,3
"985",1,3,3,2,2,3,1,1,3,1,1,3
"986",1,2,2,1,3,1,3,1,1,1,1,1
"987",1,3,2,3,3,2,3,3,4,3,2,3
"988",1,2,2,2,2,2,2,2,3,3,1,2
"989",1,2,3,3,2,1,2,2,4,4,1,3
"990",1,2,3,3,2,3,3,3,2,3,2,2
"991",1,3,1,3,2,3,2,3,3,3,1,2
"992",1,3,3,3,2,2,3,2,3,3,2,4
"993",1,3,3,4,3,3,3,4,4,2,2,4
"994",1,3,3,3,4,2,2,4,4,4,2,1
"995",1,1,1,1,3,1,1,1,1,2,1,1
"996",1,3,2,2,1,4,1,1,4,2,2,2
"997",1,3,3,2,2,3,1,2,4,2,1,2
"998",1,2,2,2,3,2,2,4,2,3,1,2
"999",1,2,2,2,2,3,1,3,3,4,1,2
"1000",1,2,3,2,2,4,2,4,2,3,1,3
"1001",2,1,1,1,1,2,1,1,1,1,1,1
"1002",2,3,3,3,3,4,3,3,4,3,2,4
"1003",2,1,2,2,2,1,2,1,3,2,2,1
"1004",2,3,2,3,2,3,4,3,2,3,2,3
"1005",2,2,2,3,3,3,2,3,4,3,1,2
"1006",2,2,2,2,1,2,2,2,2,3,2,1
"1007",2,4,4,4,4,4,3,4,4,4,3,4
"1008",2,4,3,3,3,3,4,4,4,4,2,4
"1009",2,2,2,2,2,3,2,3,2,3,2,2
"1010",2,2,2,3,2,3,2,1,3,2,2,2
"1011",2,3,2,3,2,2,2,2,3,2,1,2
"1012",2,1,2,1,1,2,1,1,1,4,1,1
"1013",2,2,2,3,2,2,1,1,2,1,1,2
"1014",2,2,2,2,2,3,3,3,2,2,2,1
"1015",2,2,3,2,2,2,2,3,4,3,2,3
"1016",2,4,3,3,4,3,4,3,2,3,2,3
"1017",2,2,4,2,3,3,3,3,3,3,2,3
"1018",2,1,1,2,2,3,1,1,1,1,1,2
"1019",2,4,3,2,3,3,3,4,4,4,3,4
"1020",2,2,3,2,2,3,2,3,3,3,2,3
"1021",2,3,3,3,2,3,2,2,2,3,2,2
"1022",2,3,2,3,2,3,3,3,2,3,2,3
"1023",2,1,2,2,1,1,2,1,2,1,2,1
"1024",2,1,1,2,2,1,2,2,2,2,2,3
"1025",2,3,2,2,2,3,2,2,3,3,2,2
"1026",2,3,3,3,3,3,3,4,4,4,2,4
"1027",2,3,3,1,1,2,1,2,2,1,1,1
"1028",2,2,3,2,2,2,3,1,3,3,2,3
"1029",2,1,2,2,2,3,1,1,3,1,1,2
"1030",2,2,2,2,1,2,2,2,2,3,2,3
