"","I101","I102","I103","I104","I105","I106","I107","I108","I109","I110","I111","I113","I114","I115","I116","I117","I118","I119","I120","I121","I122","I123","I124","I125","I126","I127","I128","I129","I130","I131","I132","I133","I134","I135","I136","I137","I138","I139","I140","I141","I142","I143","I144","I145","I146","I147","I148","I149","I150","I151","I152","I154","I155","I156","I157","I158","I159","I160","I161","I162","I163","I164","I165","I166","I167","I168","I169","I170","I171","I172","I173","I174","I175","I176","I177","I178","I179"
"286",0,1,NA,9,NA,1,1,NA,"B",NA,9,2,2,9,1,"F",3,NA,2,"B",NA,NA,"F",1,3,"A",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,1,NA,4,1,2,1,3,1,"C",3,NA,"8","E",NA,3,2,NA,3,3,3,NA,NA,"E"
"287",1,NA,8,1,2,NA,NA,3,"9",2,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,3,NA,NA,3,2,NA,2,1,0,3,NA,3,"A",9,3,3,3,3,NA,NA,NA,2,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",3,NA,NA,3,NA,NA,NA,2,1,"E"
"288",0,2,NA,1,NA,1,2,NA,"D",NA,9,1,1,8,2,"F",1,NA,2,"B",NA,NA,"E",3,3,"B",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,1,2,3,2,1,1,"C",1,NA,"A","C",NA,1,3,NA,2,2,3,NA,NA,"E"
"289",0,3,NA,1,NA,1,2,NA,"F",NA,9,2,2,9,2,"F",1,NA,2,"B",NA,NA,"B",1,3,"A",NA,NA,NA,1,2,NA,NA,1,NA,NA,0,NA,1,NA,"A",0,NA,NA,NA,NA,1,1,2,NA,NA,9,NA,NA,3,NA,1,3,1,2,1,1,"C",1,NA,"C","D",NA,1,1,NA,2,2,1,NA,NA,"E"
"290",0,NA,1,1,2,NA,NA,2,"D",3,9,NA,NA,9,NA,"C",NA,2,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",1,3,3,3,2,NA,NA,NA,3,3,8,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,1,2,"E"
"291",0,2,NA,1,NA,1,2,NA,"B",NA,9,2,2,9,1,"C",1,NA,2,"B",NA,NA,"D",2,3,"A",NA,NA,NA,1,2,NA,NA,1,NA,NA,0,NA,3,NA,"A",0,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,2,1,1,2,2,1,"F",1,NA,"F","C",NA,2,3,NA,2,3,1,NA,NA,"E"
"292",0,NA,1,1,1,NA,NA,3,"D",3,0,NA,NA,1,NA,"C",NA,2,NA,"B",2,3,"E",NA,NA,"F",1,1,2,NA,NA,3,2,NA,2,1,0,3,NA,3,"A",0,1,3,2,3,NA,NA,NA,2,3,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","B",2,NA,NA,1,NA,NA,NA,2,2,"E"
"293",0,NA,1,1,1,NA,NA,1,"F",3,9,NA,NA,1,NA,"F",NA,2,NA,"B",3,3,"D",NA,NA,"B",1,4,2,NA,NA,3,2,NA,2,3,0,2,NA,3,"A",0,2,3,3,2,NA,NA,NA,2,2,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,3,"E"
"294",0,2,NA,1,NA,1,2,NA,"D",NA,9,1,2,1,1,"C",1,NA,2,"B",NA,NA,"E",3,3,"F",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,1,3,3,1,1,1,"F",1,NA,"A","C",NA,3,1,NA,2,3,1,NA,NA,"E"
"295",0,1,NA,1,NA,1,2,NA,"A",NA,9,3,2,9,1,"F",3,NA,2,"B",NA,NA,"E",3,3,"B",NA,NA,NA,1,1,NA,NA,4,NA,NA,0,NA,1,NA,"A",0,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,1,NA,1,2,3,2,1,1,"C",1,NA,"D","C",NA,2,3,NA,2,3,1,NA,NA,"E"
"296",0,NA,3,1,1,NA,NA,1,"A",3,0,NA,NA,1,NA,"F",NA,2,NA,"B",1,3,"E",NA,NA,"D",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,1,"A",0,1,3,3,2,NA,NA,NA,3,2,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,2,"B","C",1,NA,NA,1,NA,NA,NA,3,3,"E"
"297",0,NA,3,1,2,NA,NA,1,"F",3,0,NA,NA,9,NA,"F",NA,2,NA,"B",3,3,"8",NA,NA,"B",1,4,1,NA,NA,3,2,NA,2,1,0,3,NA,3,"A",0,3,3,3,3,NA,NA,NA,3,2,0,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"E","A",2,NA,NA,1,NA,NA,NA,2,3,"E"
"298",0,3,NA,1,NA,1,2,NA,"D",NA,9,3,2,1,1,"F",1,NA,3,"B",NA,NA,"E",3,3,"F",NA,NA,NA,1,2,NA,NA,3,NA,NA,0,NA,2,NA,"A",1,NA,NA,NA,NA,2,2,2,NA,NA,1,NA,NA,3,NA,1,1,1,2,1,1,"C",1,NA,"A","C",NA,3,1,NA,2,3,1,NA,NA,"E"
"299",3,1,NA,1,NA,3,2,NA,"9",NA,9,3,3,0,1,"C",1,NA,3,"B",NA,NA,"9",1,3,"B",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,0,NA,NA,3,NA,1,3,2,1,1,1,"F",1,NA,"9","C",NA,1,1,NA,2,3,1,NA,NA,"E"
"300",0,3,NA,1,NA,1,2,NA,"D",NA,0,3,2,9,1,"F",1,NA,2,"B",NA,NA,"E",1,3,"F",NA,NA,NA,2,2,NA,NA,4,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,1,1,2,NA,NA,8,NA,NA,3,NA,1,1,3,2,1,1,"C",1,NA,"A","C",NA,3,3,NA,2,3,1,NA,NA,"E"
"301",0,NA,3,1,1,NA,NA,3,"A",2,9,NA,NA,9,NA,"C",NA,3,NA,"B",1,3,"D",NA,NA,"B",1,2,2,NA,NA,4,2,NA,3,3,0,2,NA,3,"A",0,1,2,3,1,NA,NA,NA,3,2,9,2,3,NA,2,NA,NA,NA,NA,NA,NA,"F",NA,3,"F","C",2,NA,NA,2,NA,NA,NA,2,1,"E"
"302",0,3,NA,8,NA,1,2,NA,"F",NA,8,3,2,0,1,"E",1,NA,2,"B",NA,NA,"C",3,3,"A",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,1,NA,"F",8,NA,NA,NA,NA,2,3,2,NA,NA,8,NA,NA,3,NA,3,3,2,2,1,3,"C",1,NA,"B","B",NA,2,1,NA,2,2,1,NA,NA,"A"
"303",0,NA,1,1,2,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,1,0,2,NA,2,"A",1,1,3,3,2,NA,NA,NA,3,9,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,2,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"304",0,NA,3,1,1,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"B",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,3,"A",9,2,3,3,3,NA,NA,NA,2,3,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,1,3,"E"
"305",1,3,NA,9,NA,1,2,NA,"9",NA,9,3,2,1,1,"F",1,NA,2,"B",NA,NA,"E",3,1,"B",NA,NA,NA,1,3,NA,NA,4,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,1,2,3,3,1,1,"C",1,NA,"A","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"306",0,1,NA,0,NA,1,2,NA,"B",NA,0,3,2,0,3,"C",3,NA,3,"B",NA,NA,"D",3,2,"C",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,3,NA,"F",0,NA,NA,NA,NA,1,2,1,NA,NA,9,NA,NA,1,NA,2,2,2,1,2,1,"E",1,NA,"F","E",NA,2,1,NA,2,2,1,NA,NA,"A"
"307",1,3,NA,1,NA,1,2,NA,"9",NA,9,3,2,1,1,"F",1,NA,2,"D",NA,NA,"A",3,2,"B",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,3,NA,1,1,1,2,2,1,"D",1,NA,"D","C",NA,1,1,NA,2,1,3,NA,NA,"E"
"308",2,NA,1,0,1,NA,NA,3,"A",3,9,NA,NA,9,NA,"F",NA,2,NA,"B",3,3,"C",NA,NA,"F",1,4,3,NA,NA,3,2,NA,1,1,0,3,NA,3,"A",9,1,3,3,2,NA,NA,NA,2,2,9,3,2,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"9","9",1,NA,NA,3,NA,NA,NA,2,3,"E"
"309",0,NA,1,1,1,NA,NA,1,"B",3,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"A",1,4,2,NA,NA,3,2,NA,3,1,0,3,NA,2,"A",9,2,3,3,2,NA,NA,NA,3,3,9,3,3,NA,2,NA,NA,NA,NA,NA,NA,"C",NA,3,"D","C",2,NA,NA,1,NA,NA,NA,1,1,"E"
"310",0,NA,1,9,2,NA,NA,1,"F",3,9,NA,NA,9,NA,"D",NA,2,NA,"B",3,3,"D",NA,NA,"B",1,1,2,NA,NA,3,2,NA,2,3,0,3,NA,1,"C",9,3,1,3,2,NA,NA,NA,3,2,9,3,1,NA,3,NA,NA,NA,NA,NA,NA,"E",NA,2,"A","C",3,NA,NA,1,NA,NA,NA,1,3,"F"
"311",0,NA,1,9,1,NA,NA,3,"8",1,9,NA,NA,9,NA,"B",NA,1,NA,"C",2,2,"E",NA,NA,"C",3,4,2,NA,NA,1,1,NA,2,2,0,2,NA,2,"A",9,1,2,1,2,NA,NA,NA,3,1,9,2,2,NA,3,NA,NA,NA,NA,NA,NA,"D",NA,1,"A","B",1,NA,NA,3,NA,NA,NA,2,1,"E"
"312",0,NA,1,0,1,NA,NA,1,"D",1,0,NA,NA,1,NA,"F",NA,2,NA,"B",1,3,"E",NA,NA,"B",1,4,1,NA,NA,2,3,NA,1,1,0,3,NA,3,"A",1,2,3,3,3,NA,NA,NA,3,1,0,3,1,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,2,"A","C",1,NA,NA,1,NA,NA,NA,3,3,"E"
"313",3,1,NA,1,NA,2,2,NA,"9",NA,9,9,3,9,1,"F",1,NA,2,"B",NA,NA,"D",3,3,"9",NA,NA,NA,1,1,NA,NA,3,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,2,2,NA,NA,9,NA,NA,3,NA,1,1,3,2,1,1,"C",1,NA,"A","9",NA,1,3,NA,4,1,1,NA,NA,"E"
"314",0,1,NA,1,NA,1,2,NA,"E",NA,9,3,3,9,1,"F",1,NA,2,"B",NA,NA,"D",3,1,"A",NA,NA,NA,2,1,NA,NA,1,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,3,NA,1,3,1,2,1,1,"C",1,NA,"B","C",NA,8,1,NA,2,2,3,NA,NA,"E"
"315",2,1,NA,1,NA,1,2,NA,"9",NA,1,3,2,1,3,"9",3,NA,2,"B",NA,NA,"9",3,3,"F",NA,NA,NA,3,2,NA,NA,3,NA,NA,2,NA,1,NA,"A",9,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,1,1,1,2,1,1,"9",1,NA,"A","C",NA,3,1,NA,2,3,1,NA,NA,"E"
"316",0,NA,1,0,1,NA,NA,1,"F",1,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"B",1,4,2,NA,NA,3,2,NA,2,2,0,2,NA,3,"A",0,2,3,3,3,NA,NA,NA,3,3,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,2,"D","C",3,NA,NA,3,NA,NA,NA,3,3,"E"
"317",0,NA,4,1,1,NA,NA,3,"D",3,1,NA,NA,1,NA,"F",NA,3,NA,"B",2,3,"E",NA,NA,"8",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",1,2,3,3,2,NA,NA,NA,3,3,1,3,3,NA,2,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"318",0,3,NA,1,NA,1,2,NA,"D",NA,1,1,2,1,1,"F",1,NA,2,"B",NA,NA,"E",1,3,"B",NA,NA,NA,2,3,NA,NA,3,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,3,NA,1,1,3,2,1,1,"C",1,NA,"A","C",NA,1,1,NA,2,1,1,NA,NA,"E"
"319",0,NA,2,1,2,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,2,NA,"B",3,3,"E",NA,NA,"B",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,3,"A",9,1,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,2,"A","C",2,NA,NA,2,NA,NA,NA,2,1,"E"
"320",0,NA,1,1,2,NA,NA,1,"A",3,9,NA,NA,9,NA,"C",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,1,NA,1,2,0,3,NA,2,"A",0,1,3,3,3,NA,NA,NA,2,2,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,2,"D","C",2,NA,NA,1,NA,NA,NA,2,2,"E"
"321",0,NA,3,1,1,NA,NA,3,"D",3,9,NA,NA,1,NA,"C",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",9,3,3,3,2,NA,NA,NA,3,3,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,"F",NA,2,"A","C",1,NA,NA,3,NA,NA,NA,2,2,"E"
"322",0,3,NA,1,NA,1,2,NA,"B",NA,9,3,2,1,2,"F",3,NA,3,"B",NA,NA,"A",3,1,"F",NA,NA,NA,2,3,NA,NA,3,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,2,3,2,NA,NA,9,NA,NA,3,NA,2,3,2,2,1,1,"F",1,NA,"D","C",NA,2,3,NA,2,2,1,NA,NA,"E"
"323",0,1,NA,1,NA,1,2,NA,"D",NA,9,1,2,9,1,"C",1,NA,2,"B",NA,NA,"E",1,3,"F",NA,NA,NA,2,3,NA,NA,1,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,3,NA,1,3,2,2,1,3,"F",1,NA,"A","B",NA,1,3,NA,2,1,1,NA,NA,"E"
"324",0,NA,2,0,1,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,2,NA,NA,3,2,NA,2,1,0,3,NA,3,"A",9,2,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,3,"E"
"325",0,2,NA,1,NA,1,2,NA,"D",NA,9,1,2,1,1,"F",3,NA,2,"B",NA,NA,"E",3,1,"F",NA,NA,NA,1,1,NA,NA,3,NA,NA,0,NA,1,NA,"A",1,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,2,3,2,1,1,"C",1,NA,"A","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"326",0,3,NA,1,NA,1,2,NA,"D",NA,9,3,2,1,3,"F",3,NA,2,"D",NA,NA,"A",3,1,"F",NA,NA,NA,1,1,NA,NA,3,NA,NA,0,NA,1,NA,"A",0,NA,NA,NA,NA,3,1,2,NA,NA,1,NA,NA,4,NA,2,1,3,2,1,3,"F",1,NA,"E","C",NA,1,1,NA,2,3,3,NA,NA,"E"
"327",0,NA,1,1,2,NA,NA,2,"D",3,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"B",1,4,2,NA,NA,3,2,NA,1,2,0,3,NA,2,"A",9,1,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,1,NA,NA,NA,2,1,"E"
"328",0,1,NA,1,NA,1,2,NA,"D",NA,9,3,2,9,1,"C",1,NA,2,"B",NA,NA,"E",3,3,"F",NA,NA,NA,1,1,NA,NA,3,NA,NA,0,NA,1,NA,"A",1,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,1,2,2,1,1,"F",1,NA,"A","C",NA,3,1,NA,2,1,1,NA,NA,"E"
"329",0,NA,2,1,2,NA,NA,1,"D",3,0,NA,NA,1,NA,"C",NA,3,NA,"B",3,3,"E",NA,NA,"B",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,1,"A",0,1,3,3,2,NA,NA,NA,3,2,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"330",0,NA,1,1,1,NA,NA,2,"A",1,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"B",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,2,0,3,NA,1,"A",0,2,3,3,3,NA,NA,NA,3,3,0,3,3,NA,2,NA,NA,NA,NA,NA,NA,"C",NA,3,"D","C",2,NA,NA,2,NA,NA,NA,3,3,"E"
"331",0,2,NA,1,NA,1,2,NA,"D",NA,8,3,2,1,1,"F",3,NA,3,"B",NA,NA,"E",2,3,"B",NA,NA,NA,1,3,NA,NA,4,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,1,2,9,2,1,1,"C",1,NA,"A","C",NA,2,3,NA,2,3,1,NA,NA,"E"
"332",0,NA,1,1,2,NA,NA,1,"E",3,9,NA,NA,1,NA,"F",NA,2,NA,"B",1,3,"D",NA,NA,"B",1,4,2,NA,NA,3,2,NA,2,2,0,3,NA,3,"A",8,3,3,3,2,NA,NA,NA,2,2,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,2,"A","C",3,NA,NA,3,NA,NA,NA,3,3,"E"
"333",3,NA,1,1,2,NA,NA,1,"9",3,9,NA,NA,9,NA,"C",NA,3,NA,"B",3,3,"9",NA,NA,"B",1,4,1,NA,NA,3,2,NA,3,1,0,3,NA,3,"A",9,3,3,3,2,NA,NA,NA,3,2,9,3,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"9","C",3,NA,NA,1,NA,NA,NA,2,2,"E"
"334",0,NA,1,8,2,NA,NA,1,"B",3,9,NA,NA,9,NA,"C",NA,2,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,2,1,0,2,NA,3,"A",8,1,3,3,3,NA,NA,NA,1,2,0,3,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,3,3,"E"
"335",2,2,NA,1,NA,1,2,NA,"E",NA,9,3,2,1,1,"C",3,NA,2,"D",NA,NA,"9",8,3,"9",NA,NA,NA,1,1,NA,NA,3,NA,NA,0,NA,1,NA,"F",8,NA,NA,NA,NA,1,2,2,NA,NA,0,NA,NA,3,NA,1,1,1,2,1,1,"8",1,NA,"B","A",NA,2,3,NA,2,3,1,NA,NA,"E"
"336",0,1,NA,1,NA,1,2,NA,"A",NA,9,3,2,9,1,"C",3,NA,2,"B",NA,NA,"E",3,2,"F",NA,NA,NA,1,2,NA,NA,3,NA,NA,0,NA,1,NA,"A",1,NA,NA,NA,NA,1,2,2,NA,NA,9,NA,NA,3,NA,1,1,3,2,2,1,"F",1,NA,"B","C",NA,1,1,NA,2,3,1,NA,NA,"E"
"337",0,2,NA,1,NA,2,2,NA,"A",NA,0,1,2,0,1,"F",3,NA,3,"C",NA,NA,"8",1,1,"B",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,1,2,NA,NA,9,NA,NA,1,NA,1,2,2,2,1,1,"E",1,NA,"F","C",NA,2,1,NA,2,2,1,NA,NA,"E"
"338",0,2,NA,1,NA,1,2,NA,"E",NA,9,1,3,9,2,"F",3,NA,2,"B",NA,NA,"C",3,3,"F",NA,NA,NA,1,1,NA,NA,3,NA,NA,0,NA,3,NA,"A",0,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,3,NA,1,1,3,2,2,1,"C",1,NA,"B","A",NA,3,1,NA,2,3,1,NA,NA,"E"
"339",0,NA,1,0,1,NA,NA,1,"F",1,0,NA,NA,9,NA,"F",NA,2,NA,"B",2,3,"D",NA,NA,"B",1,4,1,NA,NA,3,2,NA,2,1,0,3,NA,3,"A",9,3,1,3,2,NA,NA,NA,2,2,0,2,3,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"340",0,2,NA,1,NA,1,2,NA,"F",NA,8,1,2,0,1,"F",1,NA,2,"B",NA,NA,"A",3,3,"E",NA,NA,NA,1,2,NA,NA,1,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,3,NA,1,1,3,2,1,1,"C",1,NA,"B","C",NA,1,3,NA,2,8,1,NA,NA,"E"
"341",0,3,NA,1,NA,1,2,NA,"D",NA,0,3,2,0,1,"F",1,NA,2,"B",NA,NA,"E",1,1,"F",NA,NA,NA,2,1,NA,NA,4,NA,NA,0,NA,3,NA,"A",0,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,2,3,1,2,2,1,"C",1,NA,"A","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"342",0,3,NA,9,NA,1,8,NA,"B",NA,0,2,3,9,2,"B",2,NA,3,"F",NA,NA,"D",2,2,"C",NA,NA,NA,3,2,NA,NA,2,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,2,3,3,NA,NA,9,NA,NA,4,NA,1,2,2,2,1,2,"C",1,NA,"F","A",NA,1,2,NA,3,2,2,NA,NA,"E"
"343",0,2,NA,1,NA,1,2,NA,"D",NA,9,3,2,9,1,"C",1,NA,3,"B",NA,NA,"A",3,3,"8",NA,NA,NA,1,1,NA,NA,4,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,2,2,NA,NA,0,NA,NA,3,NA,1,1,2,2,1,1,"F",1,NA,"B","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"344",2,NA,3,1,3,NA,NA,2,"D",2,9,NA,NA,9,NA,"F",NA,2,NA,"B",2,3,"C",NA,NA,"9",1,4,2,NA,NA,3,2,NA,2,3,0,3,NA,3,"A",9,2,1,3,3,NA,NA,NA,1,2,9,1,1,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,2,"9","A",2,NA,NA,1,NA,NA,NA,2,2,"E"
"345",0,NA,1,1,2,NA,NA,1,"F",3,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"B",1,4,2,NA,NA,3,2,NA,1,2,0,3,NA,1,"A",8,1,3,3,2,NA,NA,NA,3,3,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",1,NA,NA,3,NA,NA,NA,2,1,"E"
"346",0,NA,1,9,2,NA,NA,3,"D",3,9,NA,NA,9,NA,"F",NA,2,NA,"B",3,3,"A",NA,NA,"8",1,4,2,NA,NA,3,2,NA,3,1,0,3,NA,3,"E",0,2,3,3,3,NA,NA,NA,2,2,1,3,3,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,3,"B","F",3,NA,NA,3,NA,NA,NA,1,3,"A"
"347",0,NA,2,1,2,NA,NA,1,"D",3,0,NA,NA,0,NA,"C",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",1,1,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"348",0,NA,1,1,2,NA,NA,1,"E",1,9,NA,NA,9,NA,"D",NA,3,NA,"B",1,3,"B",NA,NA,"F",3,3,3,NA,NA,3,3,NA,3,1,0,3,NA,3,"A",9,3,3,3,1,NA,NA,NA,1,2,9,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,2,"D","C",3,NA,NA,3,NA,NA,NA,2,1,"E"
"349",1,NA,1,1,1,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,2,NA,"B",3,3,"9",NA,NA,"B",1,4,2,NA,NA,1,2,NA,3,2,0,3,NA,2,"A",9,1,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",3,NA,NA,3,NA,NA,NA,1,2,"E"
"350",0,1,NA,1,NA,1,2,NA,"E",NA,9,2,3,9,1,"E",3,NA,3,"B",NA,NA,"B",1,2,"D",NA,NA,NA,2,3,NA,NA,3,NA,NA,0,NA,3,NA,"C",9,NA,NA,NA,NA,2,3,2,NA,NA,9,NA,NA,3,NA,1,1,2,1,2,3,"F",1,NA,"F","C",NA,3,2,NA,2,2,2,NA,NA,"D"
"351",0,NA,4,9,2,NA,NA,2,"D",3,9,NA,NA,9,NA,"F",NA,1,NA,"B",2,2,"A",NA,NA,"F",1,4,2,NA,NA,3,2,NA,3,1,0,2,NA,3,"A",9,3,3,2,3,NA,NA,NA,2,2,9,3,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"E","C",3,NA,NA,3,NA,NA,NA,1,3,"E"
"352",1,2,NA,1,NA,1,2,NA,"D",NA,9,3,2,1,1,"F",1,NA,2,"B",NA,NA,"9",2,3,"F",NA,NA,NA,3,1,NA,NA,3,NA,NA,0,NA,1,NA,"A",1,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,1,3,2,2,1,"C",1,NA,"A","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"353",0,3,NA,9,NA,1,2,NA,"F",NA,9,2,1,9,1,"C",1,NA,2,"B",NA,NA,"D",2,2,"C",NA,NA,NA,3,2,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,1,3,NA,NA,1,NA,NA,1,NA,4,1,1,3,2,2,"F",1,NA,"A","B",NA,2,3,NA,2,2,3,NA,NA,"E"
"354",0,NA,1,1,1,NA,NA,1,"D",3,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"B",1,4,1,NA,NA,3,2,NA,2,1,0,3,NA,2,"D",0,3,3,3,3,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",3,NA,NA,3,NA,NA,NA,1,3,"E"
