"","idstud","rater","crit2","crit3","crit4","crit6"
"869",10239,848,3,2,2,4
"870",10239,820,2,2,2,4
"871",10240,842,1,1,1,3
"872",10240,835,1,2,1,2
"873",10241,811,0,1,1,2
"874",10241,821,1,1,1,1
"875",10242,823,2,2,1,2
"876",10242,808,2,2,1,2
"877",10243,821,2,2,1,3
"878",10243,835,0,2,2,2
"879",10244,840,1,1,1,3
"880",10244,814,1,1,1,3
"881",10245,848,0,1,1,0
"882",10245,821,2,1,1,0
"883",10246,852,0,2,3,4
"884",10246,832,1,2,2,4
"885",10247,822,2,2,2,3
"886",10247,827,2,2,2,3
"887",10248,811,0,2,2,4
"888",10248,832,1,2,1,4
"889",10249,804,0,1,2,4
"890",10249,846,1,2,2,3
"891",10250,817,2,2,2,3
"892",10250,806,2,2,2,4
"893",10251,812,2,1,1,3
"894",10251,803,1,2,1,3
"895",10252,803,0,0,1,1
"896",10252,850,0,1,1,2
"897",10253,830,2,2,2,4
"898",10253,831,2,2,2,4
"899",10254,803,3,2,3,4
"900",10254,847,3,3,3,4
"901",10255,810,0,0,1,2
"902",10255,807,0,1,1,2
"903",10256,832,1,1,2,3
"904",10256,810,1,1,2,3
"905",10257,801,0,2,2,1
"906",10257,838,0,1,2,2
"907",10258,830,1,2,2,3
"908",10258,822,1,1,2,3
"909",10259,813,0,0,1,1
"910",10259,829,0,0,1,1
"911",10260,811,1,1,2,3
"912",10260,843,2,2,2,2
"913",10261,818,1,1,1,3
"914",10261,802,1,1,1,3
"915",10262,818,0,1,0,2
"916",10262,845,0,1,0,3
"917",10263,835,1,2,1,1
"918",10263,827,2,2,1,3
"919",10264,804,3,1,3,4
"920",10264,844,2,2,2,4
"921",10265,846,2,2,1,1
"922",10265,827,2,2,2,3
"923",10266,830,3,2,3,4
"924",10266,803,2,2,3,4
"925",10267,839,2,3,2,3
"926",10267,819,3,3,3,4
"927",10268,819,1,1,2,4
"928",10268,851,3,2,3,3
"929",10269,824,1,1,1,4
"930",10269,825,2,3,2,3
"931",10270,815,2,3,2,2
"932",10270,807,2,2,2,1
"933",10271,844,1,1,2,3
"934",10271,810,2,1,2,3
"935",10272,824,2,2,3,4
"936",10272,810,2,2,2,3
"937",10273,822,2,2,2,2
"938",10273,803,1,1,1,2
"939",10274,846,2,2,1,3
"940",10274,833,2,2,1,4
"941",10275,821,2,2,3,3
"942",10275,827,2,1,2,3
"943",10276,852,1,1,1,3
"944",10276,806,3,3,2,3
"945",10278,813,0,0,1,2
"946",10278,840,1,1,1,1
"947",10279,852,NA,0,0,3
"948",10279,807,1,NA,NA,NA
"949",10280,836,1,1,2,3
"950",10280,810,2,3,2,4
"951",10281,830,2,1,1,2
"952",10281,829,1,2,1,3
"953",10282,817,1,1,2,3
"954",10282,826,2,2,1,3
"955",10283,848,0,0,1,4
"956",10284,820,2,2,1,3
"957",10284,811,0,1,1,3
"958",10285,848,0,1,1,0
"959",10285,812,1,2,1,0
"960",10286,837,3,3,3,4
"961",10286,819,3,3,3,4
"962",10287,825,1,0,1,4
"963",10288,820,2,1,2,4
"964",10288,834,2,2,2,3
"965",10289,839,3,3,2,4
"966",10289,819,1,2,2,3
"967",10290,836,3,3,2,4
"968",10290,830,3,2,3,4
"969",10290,837,2,2,3,4
"970",10290,804,3,2,3,4
"971",10290,824,3,2,3,4
"972",10290,822,3,3,3,3
"973",10290,823,3,2,3,4
"974",10290,801,2,2,2,4
"975",10290,839,3,3,3,4
"976",10290,848,3,2,2,4
"977",10290,820,3,3,3,4
"978",10290,812,2,2,2,4
"979",10290,852,3,2,1,4
"980",10290,813,3,3,2,4
"981",10290,846,3,3,3,4
"982",10290,819,3,3,3,4
"983",10290,840,3,2,2,4
"984",10290,803,3,2,3,4
"985",10290,815,3,3,2,4
"986",10290,842,2,3,2,4
"987",10291,801,2,2,2,3
"988",10291,807,2,3,2,3
"989",10292,816,2,1,NA,4
"990",10292,807,NA,NA,2,NA
"991",10293,840,2,2,2,1
"992",10293,811,1,2,2,2
"993",10294,844,0,2,2,3
"994",10294,851,0,0,3,4
"995",10295,838,1,1,NA,4
"996",10295,807,NA,NA,1,NA
"997",10296,842,2,1,1,2
"998",10296,810,1,1,1,3
"999",10297,831,2,2,2,3
"1000",10297,806,3,2,2,3
"1001",10298,837,3,2,2,3
"1002",10298,852,3,3,2,3
"1003",10299,818,1,1,2,1
"1004",10299,829,2,2,1,1
"1005",10300,816,2,1,0,0
"1006",10300,825,1,2,1,0
"1007",10301,823,2,1,2,3
"1008",10301,806,1,2,2,2
"1009",10302,815,2,2,2,2
"1010",10302,833,3,3,2,2
"1011",10303,812,2,2,1,2
"1012",10303,819,1,0,2,1
"1013",10304,849,2,1,2,2
"1014",10304,814,1,2,1,3
"1015",10305,841,1,2,2,1
"1016",10305,807,3,3,2,1
"1017",10306,818,3,2,3,4
"1018",10306,844,1,2,2,4
"1019",10307,815,3,3,3,4
"1020",10307,818,2,2,2,4
"1021",10308,824,NA,3,3,4
"1022",10308,807,3,NA,NA,NA
"1023",10309,819,2,NA,2,3
"1024",10309,818,1,1,2,3
"1025",10310,830,2,2,3,3
"1026",10310,812,2,1,2,3
"1027",10311,842,2,1,1,2
"1028",10311,850,2,2,1,2
"1029",10312,816,3,2,2,4
"1030",10312,835,0,2,1,4
"1031",10313,816,2,2,2,2
"1032",10313,827,3,2,2,3
"1033",10314,839,1,3,2,2
"1034",10314,843,3,2,2,2
"1035",10315,814,1,1,0,2
"1036",10316,837,2,2,2,4
"1037",10316,804,2,2,2,3
"1038",10317,804,2,1,2,3
"1039",10317,816,2,2,1,2
"1040",10318,820,2,1,1,4
"1041",10318,841,0,1,1,3
"1042",10319,809,1,1,1,0
"1043",10319,807,1,2,1,2
"1044",10320,831,1,1,NA,2
"1045",10320,807,NA,NA,1,NA
"1046",10321,828,2,2,2,3
"1047",10321,807,1,3,2,3
"1048",10322,824,2,2,1,3
"1049",10322,842,1,1,2,4
"1050",10323,830,1,2,2,2
"1051",10323,827,2,1,2,2
"1052",10324,830,2,2,2,2
"1053",10324,838,1,2,2,2
"1054",10325,804,3,2,3,4
"1055",10325,845,3,3,3,4
"1056",10326,823,2,2,2,4
"1057",10326,852,2,2,2,4
"1058",10327,816,2,2,2,2
"1059",10327,851,2,3,2,2
"1060",10328,830,0,NA,0,0
"1061",10328,807,NA,1,NA,NA
"1062",10329,808,3,3,3,4
"1063",10329,825,3,1,3,3
"1064",10330,829,0,1,1,1
"1065",10330,826,2,2,1,1
"1066",10331,801,2,2,1,4
"1067",10331,833,2,1,2,3
"1068",10332,836,2,2,2,2
"1069",10332,847,2,2,2,0
"1070",10333,821,2,3,2,2
"1071",10333,807,3,2,1,3
"1072",10334,830,3,3,2,3
"1073",10334,804,1,1,2,4
"1074",10335,803,1,1,1,2
"1075",10335,817,3,2,2,3
"1076",10336,822,2,3,1,3
"1077",10336,846,2,3,2,2
"1078",10337,828,1,0,1,2
"1079",10337,841,1,1,1,2
"1080",10338,830,1,2,2,4
"1081",10338,849,2,1,2,4
"1082",10339,809,2,2,1,0
"1083",10339,827,3,2,2,3
"1084",10340,801,2,1,1,3
"1085",10340,838,0,1,1,3
"1086",10341,803,NA,0,1,3
"1087",10341,807,1,NA,NA,NA
"1088",10342,844,1,1,2,3
"1089",10342,834,1,2,2,3
"1090",10343,827,2,2,2,4
"1091",10343,851,1,2,1,2
"1092",10344,811,0,1,1,4
"1093",10344,833,1,2,2,4
"1094",10345,822,2,2,1,4
"1095",10345,826,2,1,2,4
"1096",10346,849,1,2,2,4
"1097",10346,811,0,1,2,3
"1098",10347,826,2,1,2,2
"1099",10347,810,1,1,1,1
"1100",10348,812,2,2,1,3
"1101",10348,818,2,1,1,3
"1102",10349,847,2,1,2,3
"1103",10350,831,1,1,1,1
"1104",10350,802,2,3,1,3
"1105",10351,830,1,3,3,2
"1106",10351,804,3,2,3,2
"1107",10352,815,2,2,2,3
"1108",10352,809,1,2,2,3
"1109",10353,852,2,3,2,4
"1110",10353,842,1,2,2,4
"1111",10354,811,3,3,3,4
"1112",10354,810,1,1,2,4
"1113",10355,821,1,1,1,3
"1114",10355,827,1,2,2,3
"1115",10356,813,0,0,1,4
"1116",10357,849,2,1,3,4
"1117",10357,806,2,2,2,4
"1118",10358,803,1,2,1,1
"1119",10358,808,2,2,2,3
"1120",10359,839,3,3,2,4
"1121",10359,820,3,3,3,3
"1122",10360,804,1,2,2,3
"1123",10360,819,2,2,2,3
"1124",10361,831,1,1,1,0
"1125",10361,807,1,2,0,1
"1126",10362,848,1,1,1,1
"1127",10362,845,1,1,1,2
"1128",10363,804,1,2,2,4
"1129",10363,802,2,2,1,4
"1130",10364,847,2,2,3,4
"1131",10364,829,3,1,2,3
"1132",10365,813,1,1,1,2
"1133",10365,807,2,2,1,2
"1134",10366,804,1,1,2,4
"1135",10366,840,2,1,2,2
"1136",10367,830,2,2,2,2
"1137",10367,801,2,2,2,2
"1138",10368,839,1,2,2,0
"1139",10368,842,0,0,1,1
"1140",10369,805,1,3,0,2
"1141",10369,836,1,1,1,2
"1142",10369,830,1,1,1,2
"1143",10369,837,1,3,1,2
"1144",10369,804,1,0,1,2
"1145",10369,824,1,1,1,3
"1146",10369,822,2,2,1,2
"1147",10369,823,0,0,0,2
"1148",10369,801,1,1,0,2
"1149",10369,839,0,1,1,2
"1150",10369,848,0,2,1,2
"1151",10369,820,1,1,1,2
"1152",10369,812,2,1,1,2
"1153",10369,813,0,1,1,2
"1154",10369,846,1,2,1,2
"1155",10369,819,0,1,1,3
"1156",10369,840,1,1,1,2
"1157",10369,803,0,0,0,2
"1158",10369,815,1,2,1,2
"1159",10369,842,1,1,1,2
"1160",10369,838,1,1,1,2
"1161",10369,818,0,1,1,2
"1162",10369,816,1,1,1,2
"1163",10369,845,0,0,0,2
"1164",10369,849,1,1,0,2
"1165",10369,828,1,2,1,2
"1166",10369,811,0,1,1,2
"1167",10369,844,0,1,1,3
"1168",10369,808,1,1,1,2
"1169",10369,809,1,1,1,2
"1170",10369,817,0,2,1,2
"1171",10369,821,1,1,1,2
"1172",10369,833,1,1,1,2
"1173",10369,847,1,1,0,3
"1174",10369,850,2,2,1,2
"1175",10369,825,1,2,1,2
"1176",10369,829,1,0,0,2
"1177",10369,831,0,0,1,2
"1178",10369,826,0,0,1,2
"1179",10369,814,0,2,0,2
"1180",10369,834,0,1,1,2
"1181",10369,835,0,2,0,3
"1182",10369,832,0,0,1,2
"1183",10369,841,0,2,1,2
"1184",10369,802,2,2,1,3
"1185",10369,843,1,1,1,2
"1186",10369,806,1,1,1,2
"1187",10369,827,0,2,1,4
"1188",10369,851,1,0,0,2
"1189",10369,810,1,1,1,2
"1190",10369,807,1,1,1,2
"1191",10370,837,3,2,1,3
"1192",10370,819,1,2,2,3
"1193",10371,813,0,1,2,1
"1194",10371,817,0,1,2,2
"1195",10372,839,3,2,2,2
"1196",10372,833,1,2,2,0
"1197",10373,849,1,1,0,3
"1198",10373,843,1,1,0,3
"1199",10374,818,1,1,1,3
"1200",10374,832,2,1,1,3
"1201",10375,823,2,2,1,1
"1202",10375,832,2,3,2,1
"1203",10376,806,2,2,2,3
"1204",10376,851,3,3,2,3
"1205",10377,839,2,2,1,2
"1206",10377,810,1,1,1,0
"1207",10378,846,3,2,1,1
"1208",10378,810,1,1,1,1
"1209",10379,835,1,2,1,2
"1210",10379,851,2,2,1,1
"1211",10380,829,1,2,1,0
"1212",10380,832,0,0,2,0
"1213",10381,848,0,1,1,4
"1214",10381,844,0,2,2,4
"1215",10382,836,2,2,2,2
"1216",10382,839,2,2,1,2
"1217",10383,836,2,2,2,4
"1218",10383,832,2,2,3,4
"1219",10384,822,2,3,1,3
"1220",10384,812,1,2,1,2
"1221",10385,804,1,2,2,2
"1222",10385,807,2,3,1,2
"1223",10386,805,1,0,1,2
"1224",10386,836,2,2,2,3
"1225",10386,830,2,1,1,2
"1226",10386,837,2,2,2,3
"1227",10386,804,1,0,2,2
"1228",10386,824,2,2,1,3
"1229",10386,822,1,2,1,3
"1230",10386,823,0,0,2,3
"1231",10386,801,1,1,2,2
"1232",10386,839,2,2,2,2
"1233",10386,848,2,1,2,3
"1234",10386,820,1,1,1,3
"1235",10386,812,1,1,2,3
"1236",10386,852,1,1,1,3
"1237",10386,813,1,1,2,3
"1238",10386,846,2,2,2,2
"1239",10386,819,2,1,1,3
"1240",10386,840,1,2,2,3
"1241",10386,803,1,1,1,3
"1242",10386,815,3,3,3,3
"1243",10386,842,2,1,2,3
"1244",10386,838,1,1,2,3
"1245",10386,818,2,1,1,2
"1246",10386,816,2,2,2,2
"1247",10386,845,1,0,1,2
"1248",10386,849,1,1,1,3
"1249",10386,828,2,2,2,2
"1250",10386,811,2,1,2,3
"1251",10386,844,1,1,1,2
"1252",10386,808,2,2,2,3
"1253",10386,809,2,2,2,2
"1254",10386,817,2,2,2,3
"1255",10386,821,2,2,1,3
"1256",10386,833,2,1,2,4
"1257",10386,847,2,2,2,3
"1258",10386,850,2,1,1,2
"1259",10386,825,2,2,2,3
"1260",10386,829,1,1,1,3
"1261",10386,831,1,1,1,3
"1262",10386,826,2,1,2,3
"1263",10386,814,2,1,1,3
"1264",10386,834,1,1,1,2
"1265",10386,835,2,1,2,3
"1266",10386,832,1,1,2,2
"1267",10386,841,2,2,1,2
"1268",10386,802,2,2,2,3
"1269",10386,843,1,2,2,2
"1270",10386,806,2,2,2,2
"1271",10386,827,1,1,2,3
"1272",10386,851,2,2,2,2
"1273",10386,810,2,1,2,3
"1274",10386,807,1,2,2,3
"1275",10387,843,2,2,1,1
"1276",10387,806,0,1,1,1
"1277",10388,830,1,2,1,3
"1278",10388,825,1,1,1,3
"1279",10389,819,2,2,1,3
"1280",10389,844,2,2,1,3
"1281",10390,846,0,0,1,3
"1282",10390,842,0,0,0,4
"1283",10391,823,3,3,2,2
"1284",10391,806,3,3,2,1
"1285",10392,824,1,1,1,1
"1286",10392,802,2,2,0,1
"1287",10393,801,0,1,1,1
"1288",10393,841,0,1,2,3
"1289",10394,822,3,3,3,4
"1290",10394,813,3,3,2,4
"1291",10395,818,2,2,3,4
"1292",10395,821,3,3,2,3
"1293",10396,812,2,2,2,3
"1294",10396,818,1,2,2,4
"1295",10398,842,1,1,1,3
"1296",10398,847,2,2,0,2
"1297",10399,823,3,3,2,2
"1298",10399,809,1,2,2,2
"1299",10400,820,1,1,2,2
"1300",10400,850,3,3,1,2
"1301",10401,848,1,1,2,2
"1302",10401,846,3,2,2,0
"1303",10402,817,2,2,1,3
"1304",10402,851,1,1,1,1
"1305",10403,803,1,0,0,2
"1306",10403,817,1,1,1,1
"1307",10404,817,0,1,2,1
"1308",10404,832,0,2,1,0
"1309",10405,845,1,2,2,4
"1310",10405,806,1,1,2,2
"1311",10406,801,2,3,NA,4
"1312",10406,807,NA,NA,3,NA
"1313",10407,809,2,2,2,3
"1314",10407,827,3,2,2,3
"1315",10408,820,1,1,1,2
"1316",10408,815,2,2,2,2
"1317",10409,822,2,2,2,4
"1318",10409,850,3,2,2,3
"1319",10410,817,0,2,2,0
"1320",10410,832,0,1,2,0
"1321",10411,801,0,0,1,1
"1322",10411,840,1,2,2,2
"1323",10412,818,1,1,1,3
"1324",10412,851,0,1,1,3
"1325",10413,824,1,2,1,4
"1326",10413,841,1,1,1,3
"1327",10414,818,1,1,2,3
"1328",10414,828,1,2,2,3
"1329",10415,809,1,1,1,1
"1330",10415,826,2,1,2,4
"1331",10416,830,2,3,2,3
"1332",10416,809,1,2,1,2
"1333",10417,852,3,2,2,4
"1334",10417,821,2,2,1,4
"1335",10418,821,0,0,1,2
"1336",10418,825,0,2,1,2
"1337",10419,819,2,2,1,2
"1338",10419,816,2,1,1,3
"1339",10420,813,1,2,1,3
"1340",10420,851,1,1,2,3
"1341",10421,818,2,2,1,3
"1342",10421,845,2,2,1,2
"1343",10422,845,0,0,1,3
"1344",10422,817,1,1,2,2
"1345",10423,841,1,2,1,4
"1346",10423,851,1,0,2,3
"1347",10424,819,0,0,1,4
"1348",10424,843,1,2,2,3
"1349",10425,835,3,2,2,4
"1350",10425,843,3,2,2,3
"1351",10426,838,2,2,2,3
"1352",10426,845,2,2,2,3
"1353",10427,804,NA,1,3,4
"1354",10427,807,2,NA,NA,NA
"1355",10428,840,1,1,2,3
"1356",10428,842,2,2,2,4
"1357",10429,836,2,2,2,3
"1358",10429,804,3,1,2,3
"1359",10430,804,1,0,2,4
"1360",10430,822,1,2,2,4
"1361",10431,824,3,3,3,4
"1362",10431,828,3,2,3,3
"1363",10432,830,1,1,0,1
"1364",10432,835,1,1,1,1
"1365",10433,824,0,0,1,2
"1366",10433,822,2,2,2,3
"1367",10434,848,0,0,1,4
"1368",10434,815,0,1,1,4
"1369",10435,825,1,2,2,2
"1370",10435,827,0,2,2,3
"1371",10436,809,2,2,1,2
"1372",10436,817,1,2,2,2
"1373",10437,801,1,1,2,0
"1374",10437,811,1,2,1,3
"1375",10438,836,1,1,1,1
"1376",10438,807,1,2,1,3
"1377",10439,846,2,2,2,1
"1378",10439,809,1,2,1,2
"1379",10440,837,3,2,2,2
"1380",10440,821,2,2,1,2
"1381",10441,805,1,1,2,3
"1382",10441,836,2,2,1,3
"1383",10441,830,1,1,2,2
"1384",10441,837,2,2,2,3
"1385",10441,804,0,0,2,3
"1386",10441,824,1,1,2,3
"1387",10441,822,1,2,3,2
"1388",10441,823,2,2,1,3
"1389",10441,801,1,0,1,3
"1390",10441,839,1,2,2,3
"1391",10441,848,1,1,1,2
"1392",10441,820,1,1,1,3
"1393",10441,812,1,2,2,3
"1394",10441,852,0,1,1,3
"1395",10441,813,0,1,1,3
"1396",10441,846,1,2,2,1
"1397",10441,819,1,1,1,3
"1398",10441,840,1,1,2,3
"1399",10441,803,0,0,0,3
"1400",10441,815,2,2,3,2
"1401",10441,842,2,2,2,4
"1402",10441,838,2,1,2,3
"1403",10441,818,2,1,2,3
"1404",10441,816,1,2,2,2
"1405",10441,845,0,1,1,3
"1406",10441,849,2,2,1,3
"1407",10441,828,1,NA,1,3
"1408",10441,811,2,2,2,3
"1409",10441,844,3,1,2,3
"1410",10441,808,1,2,2,3
"1411",10441,809,2,2,2,2
"1412",10441,817,0,1,2,2
"1413",10441,821,1,1,1,3
"1414",10441,833,1,2,2,3
"1415",10441,847,2,2,2,3
"1416",10441,850,1,1,1,3
"1417",10441,825,2,2,2,3
"1418",10441,829,1,1,1,1
"1419",10441,831,1,1,1,3
"1420",10441,826,2,1,1,3
"1421",10441,814,1,1,1,3
"1422",10441,834,2,2,2,2
"1423",10441,835,1,2,2,3
"1424",10441,832,1,1,1,3
"1425",10441,841,1,2,1,2
"1426",10441,802,2,1,1,3
"1427",10441,843,2,2,2,3
"1428",10441,806,2,2,2,2
"1429",10441,827,1,2,2,3
"1430",10441,851,3,2,1,2
"1431",10441,810,1,1,1,3
"1432",10441,807,2,3,1,3
"1433",10442,804,1,2,2,3
"1434",10442,851,0,0,2,2
"1435",10443,801,2,2,1,3
"1436",10443,847,3,2,2,4
"1437",10444,838,2,1,1,3
"1438",10444,829,2,1,1,2
"1439",10445,823,2,0,0,3
"1440",10445,839,2,2,2,3
"1441",10446,837,1,3,2,3
"1442",10446,834,0,2,2,3
"1443",10447,845,2,1,1,4
"1444",10447,850,2,1,1,4
"1445",10448,833,1,2,2,3
"1446",10448,843,2,2,2,2
"1447",10449,808,2,2,2,3
"1448",10449,831,1,1,1,3
"1449",10450,815,2,1,NA,0
"1450",10450,807,NA,NA,1,NA
"1451",10452,826,2,2,1,3
"1452",10452,841,3,2,2,2
"1453",10453,822,1,1,1,0
"1454",10453,801,1,1,0,0
"1455",10454,850,2,2,3,3
"1456",10454,814,2,2,2,4
"1457",10455,836,2,2,2,3
"1458",10455,831,1,1,1,2
"1459",10456,844,2,2,1,4
"1460",10456,829,2,2,2,4
"1461",10457,831,0,0,1,3
"1462",10458,839,1,1,2,2
"1463",10458,808,3,3,2,3
"1464",10459,828,1,2,2,3
"1465",10459,831,0,1,1,3
"1466",10460,836,1,1,1,0
"1467",10460,815,1,1,1,0
"1468",10461,806,2,2,2,3
"1469",10461,807,2,2,1,3
"1470",10462,816,1,1,0,0
"1471",10462,825,1,1,1,0
"1472",10463,819,2,1,2,3
"1473",10463,844,2,2,2,4
"1474",10464,830,2,1,1,1
"1475",10464,843,1,1,1,0
"1476",10465,842,2,1,1,2
"1477",10465,849,1,2,1,2
"1478",10466,842,2,2,1,2
"1479",10466,807,2,2,1,2
"1480",10467,812,1,0,1,4
"1481",10467,815,1,2,1,4
"1482",10468,852,2,1,1,4
"1483",10468,846,2,2,2,3
"1484",10469,805,1,0,1,3
"1485",10469,836,2,2,2,3
"1486",10469,830,3,2,1,4
"1487",10469,837,3,2,2,4
"1488",10469,804,1,0,1,4
"1489",10469,824,2,2,2,3
"1490",10469,822,2,3,2,3
"1491",10469,823,2,2,2,4
"1492",10469,801,1,1,2,4
"1493",10469,839,3,2,2,4
"1494",10469,848,3,2,2,4
"1495",10469,820,1,2,2,4
"1496",10469,812,2,2,2,3
"1497",10469,852,3,3,1,3
"1498",10469,813,1,2,1,4
"1499",10469,846,1,2,1,3
"1500",10469,819,2,2,2,3
"1501",10469,840,3,3,2,4
"1502",10469,803,1,1,1,4
"1503",10469,815,3,3,3,4
"1504",10469,842,3,2,1,4
"1505",10469,838,1,1,2,4
"1506",10469,818,1,2,1,3
"1507",10469,816,2,2,1,2
"1508",10469,845,1,1,1,3
"1509",10469,849,1,2,1,4
"1510",10469,828,2,1,2,3
"1511",10469,811,1,2,2,4
"1512",10469,844,1,2,1,3
"1513",10469,808,1,3,2,4
"1514",10469,809,2,2,2,4
"1515",10469,817,1,2,2,4
"1516",10469,821,2,2,2,4
"1517",10469,833,2,2,1,3
"1518",10469,847,3,0,1,3
"1519",10469,850,2,2,1,4
"1520",10469,825,2,2,1,4
"1521",10469,829,3,1,1,3
"1522",10469,831,2,1,1,4
"1523",10469,826,2,1,2,4
"1524",10469,814,3,3,1,4
"1525",10469,834,2,2,2,4
"1526",10469,835,1,2,2,4
"1527",10469,832,2,1,2,3
"1528",10469,841,1,1,1,3
"1529",10469,802,3,2,2,4
"1530",10469,843,2,2,2,4
"1531",10469,806,2,2,2,4
"1532",10469,827,3,2,1,4
"1533",10469,851,3,3,2,3
"1534",10469,810,2,3,2,4
"1535",10469,807,3,2,1,3
"1536",10470,812,2,2,2,3
"1537",10470,814,1,1,1,3
"1538",10471,849,1,2,1,1
"1539",10471,828,1,2,2,1
"1540",10472,836,1,1,1,2
"1541",10472,829,0,1,0,3
"1542",10473,820,3,2,2,4
"1543",10473,814,3,3,1,4
"1544",10474,805,1,2,2,4
"1545",10474,836,1,2,3,4
"1546",10474,830,1,2,3,4
"1547",10474,837,1,2,3,4
"1548",10474,804,1,2,2,4
"1549",10474,824,3,2,3,4
"1550",10474,822,3,3,3,4
"1551",10474,823,1,2,2,4
"1552",10474,801,1,1,2,3
"1553",10474,839,1,2,2,4
"1554",10474,848,0,1,2,4
"1555",10474,820,3,3,3,4
"1556",10474,812,1,2,2,4
"1557",10474,852,1,2,3,3
"1558",10474,813,1,3,3,4
"1559",10474,846,3,3,3,3
"1560",10474,819,1,2,2,4
"1561",10474,840,1,2,2,4
"1562",10474,803,0,2,2,4
"1563",10474,815,2,3,3,4
"1564",10474,842,1,1,2,4
"1565",10474,838,0,1,3,4
"1566",10474,818,0,1,2,4
"1567",10474,816,1,2,2,3
"1568",10474,845,1,2,2,4
"1569",10474,849,1,3,3,4
"1570",10474,828,1,2,3,4
"1571",10474,811,2,2,3,4
"1572",10474,844,0,2,2,3
"1573",10474,808,2,3,2,4
"1574",10474,809,1,2,2,4
"1575",10474,817,0,2,3,4
"1576",10474,821,2,2,3,4
"1577",10474,833,1,3,3,4
"1578",10474,847,1,2,3,4
"1579",10474,850,2,2,2,4
"1580",10474,825,1,2,3,4
"1581",10474,829,1,2,2,4
"1582",10474,831,1,3,2,4
"1583",10474,826,1,1,2,4
"1584",10474,814,1,2,2,4
"1585",10474,834,1,2,3,4
"1586",10474,835,0,2,2,4
"1587",10474,832,1,2,3,3
"1588",10474,841,1,3,3,4
"1589",10474,802,3,3,3,4
"1590",10474,843,1,2,3,4
"1591",10474,806,1,2,2,4
"1592",10474,827,0,2,2,4
"1593",10474,851,0,0,3,4
"1594",10474,810,1,1,2,4
"1595",10474,807,1,2,3,4
"1596",10475,846,1,1,0,0
"1597",10475,840,0,1,0,0
"1598",10476,832,2,1,1,4
"1599",10476,841,2,2,2,4
"1600",10477,850,0,1,0,2
"1601",10477,810,1,0,1,3
"1602",10478,837,1,2,1,0
"1603",10478,818,0,1,0,0
"1604",10479,848,2,3,1,3
"1605",10479,834,1,2,2,3
"1606",10480,848,2,2,1,2
"1607",10480,817,1,2,2,2
"1608",10481,823,2,1,2,3
"1609",10481,828,2,2,2,3
"1610",10482,819,2,2,2,1
"1611",10482,814,3,2,1,2
"1612",10483,846,1,1,1,1
"1613",10483,843,2,2,1,1
"1614",10484,850,1,1,1,2
"1615",10484,851,2,2,2,2
"1616",10485,803,1,2,0,1
"1617",10485,814,1,2,1,2
"1618",10486,827,1,0,2,3
"1619",10486,807,3,3,2,3
"1620",10487,815,3,2,3,3
"1621",10487,826,0,0,2,4
"1622",10488,844,2,2,1,2
"1623",10488,808,2,2,1,1
"1624",10489,807,1,2,1,1
"1625",10490,828,2,2,NA,2
"1626",10490,807,NA,NA,1,NA
"1627",10491,846,2,3,2,4
"1628",10491,835,1,2,1,3
"1629",10492,803,0,0,0,3
"1630",10492,829,1,0,1,2
"1631",10493,818,0,0,0,3
"1632",10493,841,0,0,0,0
"1633",10494,823,2,0,0,1
"1634",10494,850,0,0,0,0
"1635",10495,845,0,0,1,2
"1636",10495,827,0,0,1,3
"1637",10496,837,2,2,2,3
"1638",10496,806,1,1,1,2
"1639",10497,802,2,3,2,4
"1640",10497,843,2,2,2,1
"1641",10498,826,0,0,1,3
"1642",10498,843,2,2,1,1
"1643",10499,812,1,1,1,3
"1644",10499,813,1,1,2,3
"1645",10500,823,0,1,1,3
"1646",10500,834,0,1,1,3
"1647",10501,818,0,1,1,1
"1648",10501,831,0,1,1,1
"1649",10502,802,0,0,1,3
"1650",10502,806,0,1,1,1
"1651",10503,805,0,1,1,3
"1652",10503,836,1,1,1,1
"1653",10503,830,1,1,1,2
"1654",10503,837,1,2,1,3
"1655",10503,804,1,0,1,3
"1656",10503,824,1,1,1,3
"1657",10503,822,1,2,1,2
"1658",10503,823,3,1,1,2
"1659",10503,801,0,0,0,1
"1660",10503,839,2,1,1,2
"1661",10503,848,1,1,1,3
"1662",10503,820,1,1,1,3
"1663",10503,812,1,1,1,3
"1664",10503,852,0,0,0,4
"1665",10503,813,0,1,1,2
"1666",10503,846,1,2,1,1
"1667",10503,819,2,1,1,3
"1668",10503,840,1,1,1,2
"1669",10503,803,0,0,0,2
"1670",10503,815,1,1,2,4
"1671",10503,842,1,1,0,1
"1672",10503,838,1,1,1,2
"1673",10503,818,0,0,1,2
"1674",10503,816,2,1,0,1
"1675",10503,845,1,0,1,2
"1676",10503,849,0,1,0,2
"1677",10503,828,1,1,1,1
"1678",10503,811,0,0,1,2
"1679",10503,844,0,0,0,2
"1680",10503,808,1,2,1,3
"1681",10503,809,1,1,1,1
"1682",10503,817,1,0,1,3
"1683",10503,821,1,1,1,1
"1684",10503,833,1,1,1,2
"1685",10503,847,1,1,0,3
"1686",10503,850,0,1,0,3
"1687",10503,825,1,2,1,3
"1688",10503,829,0,0,0,1
"1689",10503,831,1,0,1,2
"1690",10503,826,0,0,1,3
"1691",10503,814,1,1,1,3
"1692",10503,834,0,1,1,3
"1693",10503,835,0,1,0,3
"1694",10503,832,0,0,1,1
"1695",10503,841,1,1,0,0
