"","Q7.1","Q7.2","Q7.4","Q8.1","Q8.2","Q8.3","Q9Nav.3","Q29.2","Q29.3","Q30.1","Q30.2","Q30.3","Q40.1","Q40.3"
"413","1",NA,"1","1","1","1","2","1","2","1","1","2","3","2"
"414","1","1","1","1","1","1","2","1","1","1","1","1","3","1"
"415","1","1","2","2","2","1","2","2","2","2","2","3","3","3"
"416","1","3","1","1","2","1","2","1","1","1","1","3","2","1"
"417","1","3","2","1","2","1","1","1","1","1","1","2","2","1"
"418","1","3","3","1","2","1","1",NA,NA,NA,NA,NA,"2","1"
"419","1","1","1","1","1","1","2","1","1","2","2","1","1","1"
"420","1","3","1","1","1","1","1","2","1","1","2","1","3","2"
"421","2","2","2","1","1","1","2","2","3","2","2","3","2","1"
"422","1","1","1","1","1","1","1","1","1",NA,NA,NA,"1","1"
"423","1","3","1","1","1","1","2","2","2","2","2","2","3","2"
"424","1","3","1","2","1","2","2","1","2","2","2","2","2","2"
"425",NA,NA,NA,"1","1","1","2","2","3","2","2","3","3","2"
"426","1","2","1","2","2","2","2","2","3",NA,NA,NA,"2","2"
"427",NA,NA,NA,NA,NA,NA,NA,"2","3","1","2","3","2","2"
"428",NA,"3","3","1","1","1","2","1","2","1","1","2","3","1"
"429","1","1","1","1","1","1","2","2","2","1","1","2","3","2"
"430","1","1","1","1","1","1","1",NA,"2","1",NA,"2","1",NA
"431","1","2","3","2","2","2","1","1","3","1","1","3","3","2"
"432","1","1","1","1","1","1","2","2","3","2","2","3","1","1"
"433","1","3","1","2","1","1","1",NA,NA,NA,NA,NA,"2","2"
"434",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","3","3","2"
"435","1","3","1","1","1","1","1","1","2","1","1","2","3","1"
"436","1","3","2","2","2","1","2","2","2",NA,NA,NA,"1","1"
"437","2","2","1","2","1","1","2","1","2","2","1","2","3","2"
"438","3","3","1","1","1","1","1","2","2","1","1","2","3","2"
"439","1","3","1","1","2","1","2","2","1","2","2","1","3","2"
"440","1","2","1","2","2","2","1","1",NA,NA,NA,NA,"3","2"
"441","1","1","1","1","1","1","1","1","2","1","1","2","1","2"
"442","2","2","1","1","1","1","1","1","2","1","1","3","3","3"
"443","3","3","3","2","2","1","2","2","3","2","2","3","3","3"
"444","1","1","1","1","1","1","2","1","2","1","1","2","3","2"
"445","1","1","2","1","1","1","1","1","1","1","1","2","2","1"
"446","1","1","1","1","1","1","2","2","2",NA,NA,NA,"3","1"
"447","2","2","1","2","1","1","2","1","2","2","1",NA,"3","2"
"448","2","2","1","2","1","1","2","2","3",NA,NA,NA,"3","1"
"449","2","2","2","1","1","1","1","1","2","1","1","2","1","2"
"450","3","3","3","2","1","2","2","1","2",NA,NA,NA,"2","1"
"451","1","1","1","2","2","1","1","2","1","2","2","1","2","1"
"452","1","2","1","1","2","1","1","1","2",NA,NA,NA,"3","2"
"453","1","1","1","1","2","2","2","1","1",NA,NA,NA,"2","1"
"454","3","3","1","1","1","1","2","1","2","2","1",NA,"3","2"
"455","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","3","3","1","1","1","1",NA,"1","2",NA,NA,NA,"2","1"
"457","1","1","1","1","1","1","1","2","2","2","1","2","2","1"
"458","1",NA,"1","1","1","1","2","1","2","2","1","2","2","2"
"459","1","3","1","1","2","1","2","2","3","1","2","3","3","2"
"460","1","3","1","1","1","1","1",NA,NA,NA,NA,NA,"3","2"
"461","1","3","1","1","1","1","2","2","2","2","2","2","2","1"
"462","2","3","2","1","1","1","2","2","2","2","2","2","3","2"
"463","3","3","1","2","2","2","2",NA,NA,NA,NA,NA,NA,NA
"464","2","2","1","2","2","2","2","2","2","2","2","2","3","2"
"465","1","3","1","1","2","1","2","2","3",NA,NA,NA,"3","2"
"466","1","1","1","1","1","1","1","2","2","1","2","2","3","2"
"467","2","3","2","2","2","1","1","1","3",NA,NA,NA,"1","2"
"468","1","3","2","2","1","1","1","1","1","1","1","1","2","2"
"469","1","1","1","1","1","1","2","1","3",NA,NA,NA,"3","2"
"470","1","3","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA
"471","1","3","1","1","1","1","1","1","2","2","1","2","2","2"
"472","1","3","1","1","1","1","1","2","1","2",NA,"3","2","2"
"473","1","3","1","1","1","1","2","2","3",NA,NA,NA,"3","3"
"474","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"475","1","2","1","1","1","1","2","2","3","1","2","3","3","2"
"476","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"1","1"
"477","1","3","2","1","2","1","1","1","1","1","1","1","1","2"
"478","1","1","1","2","2","1","2","2","3","2","2","2","2","1"
"479","2","2","1","2","1","1","1","1","3","2","2","3","2","1"
"480","3","3","3","1","1","1","1","1","2","1","1","2","2","3"
"481","2","2","2","1","1","1","2","2","2","2","2","2","2","2"
"482","1","3","1","1","1","1","2","2","2","2","2","2",NA,NA
"483","1","3","1","1","1","1","2","1","3","1","2","3","2","2"
"484","2","2","1","2","2","2","1","1","2",NA,NA,NA,"1","2"
"485","3","3","3","1","1","1","2","2","3","1","1","3","2","2"
"486","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"487","1","1","3","2","2","2","2","1","1",NA,NA,NA,"3","2"
"488","1","3","2","1","1","1","2","1","3","2","2","2","2","1"
"489","1","3","1","1","1","1","2","2","3","2","2","2","2","2"
"490","1","3","1","1","1","1","1","1","2","2","2","2","2","2"
"491","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"492","2","3","1","1","1","1","2","1","2","2","1",NA,"2","2"
"493","1","1","1","1","1","1","1","2","3","1","2","2","2","2"
"494","1","1","2","1","1","1","2","1","3","2","1","3","2","1"
"495","1","3","1","1","1","1","2","2","2",NA,NA,NA,"2","2"
"496","3","3","1","1","1","1","1","1","3","1","1","3","1","1"
"497","2","3","1","2","1","1","1","1","2","1","1","2","1","1"
"498","2","2","2","2","2","2","2","1","2","2","1","2","3","1"
"499","1","1","2","1","1","1","2","2","2","1","1","3","2","2"
"500","1","1","1","1","1","1","1","2","2","2","2","2",NA,NA
"501","2","2","1","2","2","2","1","1","2",NA,NA,NA,"1","2"
"502","2",NA,"1","1","1","1","2","2","3","2","2","3","3","1"
"503","3","3","3","2","2","1","1","1","2","1","1","2","2","1"
"504","1","1","2","2","1","2","2","2","2","2","2",NA,"3","2"
"505","1","1","1","1","1","1","2","1","2","2","2","3","3","2"
"506","2","2","1","1","2","1","1","2","2","1","1",NA,"2","1"
"507","2","2","2","1","1","1","2","2",NA,"2","2",NA,"2","1"
"508","2","2","1","2","2","1","1","1","1","2","2","1","3","2"
"509","2","2","1","1","1","1","1","1","3","2","2","3","2","2"
"510","2","2","2","2","2","1","2",NA,NA,NA,NA,NA,"3","2"
"511","1","1","1","1","1","1","2","1","2","2","2","3","2","2"
"512","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"513","2","2","1","2","2","2","2","1","2",NA,NA,NA,"3","1"
"514","1","1","1","1","1","1","2","2","2",NA,NA,NA,"2","2"
"515","1","3","1","1","1","1","1",NA,"2","2","2","2","1","1"
"516","2","3","1","1","1","1","2","1",NA,"2","1","3","2","2"
"517","3","3","2","1","1","1","2","1",NA,NA,NA,NA,"3","2"
"518","1","3","1","1","1","1","2","1","2","2","2","2","2","1"
"519","2","3","2","1","1","1","2","2","2","2","2","2","2","2"
"520","1","3","1","1","1","1","1","1","1","1","1","1","3","2"
"521","1","1","1","1","1","1","2","2","2","2","2","2","1","1"
"522","1","1","1","1","1","1","1","1","1","1","2","1","2","2"
"523","2","3","2","1","1","1","2","1","2",NA,NA,NA,"1","2"
"524","2","2","1","2","2","2","2","1","2",NA,NA,NA,"2","1"
"525","1","1","2","1","1","1","2","1","2",NA,NA,NA,"2","2"
"526","1","3","3","1","1","1","1","2","3","2","2","2","3","2"
"527","1","1","1","1","1","1","1","1","2","1","1","2","1","2"
"528","1","2","1","1","1","1","2","2","3","2","2","2","1","2"
"529","1","2","1","1","2","1","2","1","2","1","1","2","2","2"
"530","2","2","2","1","1","1","1","1","2","1","1","2","3","2"
"531","2","2","1","1","2","2","1","1","2",NA,NA,NA,"3","2"
"532","2","2","1","1","1","1","2","2","1",NA,NA,NA,"2","2"
"533","1","3","1","1","2","1","2","1","2",NA,NA,NA,"3","2"
"534","2","2","1","1","1","1","1","1","2","1","2","2","2","1"
"535","1","3","1","1","1","1","1","1","2","1","1","1","3","3"
"536","1","1","1","2","2","2","1","2",NA,"2","2","2","2","2"
"537","3","3","1","1","1","1","1",NA,NA,NA,NA,NA,"1","1"
"538","1","1","1","2","2","1","2","1","1","2","1","1","3","2"
"539","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"540","1",NA,"1","1","1","1","1","1","2","1","1",NA,"2","1"
"541","2","3","1","1","1","1","1","1","2","1","1","2",NA,NA
"542","2","2","1","1","1","1",NA,"2","1","1","1",NA,"3","2"
"543","1","3","1","1","1","1","2","2","2","2","2","2","3","2"
"544","1","1","1","1","1","1","1","2","2","1","2","2","1","1"
"545","2","2","2","2","1","1","2","1","1","1","1","2","3","2"
"546",NA,"1","1","1","1","1",NA,NA,"1","1","1",NA,"3","3"
"547","1",NA,"1","1","1","1","2","2","3","2","2","3","3","2"
"548","2","2","2","1","1","1","2","1","2","2","2","2","2","2"
"549","1",NA,"1","1","1","1","1","2","2","2","2","2","2","2"
"550","1","3","1","2","2","2","1","2","2","1","2","2","3","2"
"551","1","1","1","1","1","1","1","1","2","1","1","2","3","1"
"552","1","1","2","1","1","1","1","1","2","1","1","2","2","2"
"553","1","3","3","1","1","1","1","1","2","1","1","2","2","2"
"554","1","3","1","1","1","1","2","1","2","1","1",NA,"2","2"
"555","1","1","1","1","1","1","1","1","3","2","1","3","2","2"
"556","2","2","1","1","1","1","2","1","2","1","1","2","1","1"
"557","2","3","2","1","1","2","1","1","2","2","1","2","1","1"
"558","2","2","1","1","1","1","2","1","1","1","1","1","1","1"
"559","1","1","1","1","2","1","2","2","3","2","1","3","1","1"
"560","3","3","1","1","1","1","2","1","1","1","1","1","1","1"
"561","1","3","1","1","1","1","1","1","1",NA,NA,NA,"2","2"
"562",NA,NA,"1","1","1",NA,NA,"1","2","1","1","2","1","2"
"563","1","2","1","2","1","2","2","1","2","1","1","2","2","2"
"564","2","2","2","2","2","2","2","2","3",NA,NA,NA,"3","1"
"565","1","3","1","1","2","1","1","1","2","2","1","2","2","1"
"566","3","3","1","1","1","1","2","2",NA,"2","2","2",NA,NA
"567","1","3","2","1","1","1","2","2","3",NA,NA,NA,"3","3"
"568","1","1","1","1","1","1","1","2","1","2","2","3","3","3"
"569","1","1","1","1","1","1","1","2","2","1","1","2","2","2"
"570","1","1","1","1","1","1","1","1","1",NA,NA,NA,"1","1"
"571","1","1","3","1","1","1","1","1","2",NA,NA,NA,"2","1"
"572","1","1","2","1","1","1","1","1","2","1","1",NA,"3","2"
"573","2","2","1","2","2","2","2","1","1","1","1","1","3","2"
"574","2","1","1","2","2","2","1","1","1","1","1","1","2","2"
"575","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"576","3","3","2","1","1","1","2","2","1","1","2","1","2","2"
"577","3","3","1","2","2","2","2","1","1",NA,NA,NA,"3","2"
"578","1","1","1","1","1","1","1","1",NA,"1","1",NA,"3","2"
"579","1","1","1","1","1","1","1","2","2","1","2","2","1","1"
"580",NA,NA,"1","1","1","1","1","2","2","2","2","2","1","1"
"581","1","1","1","1","1","1","2","2","2",NA,NA,NA,"2","2"
"582","1","1","3","1","1","1","1","1","1","1","2","2","1","1"
"583",NA,NA,"1","1","1","1","1",NA,NA,NA,NA,NA,"2","1"
"584","1",NA,NA,"1","1","1","1","1","2","1","2",NA,"3","2"
"585","1","2","1","2","1","1","1","1","1","2","1","3","1","2"
"586","2","2","1","2","2","2","2","2","3","2","2","3","2","2"
"587","1","1","3","2","1","1","2","1","2","1","1","2","1","1"
"588","1","2","1","2","1","1","2","1",NA,"1","1",NA,"1",NA
"589","1","2","1","2","2","2","2","2","2","2","2","2","3","2"
"590","1","3","2","1","1","1","2","2","3","2","2","2","2","2"
"591","1","3","1","1","1","1","1","1","2","1","1","2","1","2"
"592","1","1","1","2","2","1","2","2","2","2","2","2","3","2"
"593","1","2","2","2","1","1","2","1",NA,"1","1",NA,"2","2"
"594","2","3","1","2","1","1","2","1","2","1","1","3","2","2"
"595","2","3","1","1","1","1","2","2","2","2","2",NA,"2","2"
"596","3","3","2","1",NA,NA,"2","2",NA,"2","1",NA,"3","2"
"597","3","3","2","2","1","1","2","2","1","2","1","1","1","1"
"598","2",NA,"2","1","1","1","2","2","3",NA,"2","3","3","2"
"599",NA,NA,"2","1","1","1","2","1","1","1","2","2","1","1"
"600","2","1","1","1","2","1","1","1","2","1","1","2","1","2"
"601","1","2","1","1","1","1","1","1","2","1","1","2","2","1"
"602","3","3","1","1","1","1","1","2","2","1","1","2","2","2"
"603","3","2","2","1","1","1","2","2","2","2","2","2","2","1"
"604","2","2","1","1","1","1","1","1","2","1","1","2","2","2"
"605","1","1","1","1","1","1","2","2","3","2","2","3","2","1"
"606","1","3","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA
"607","1","1","1","1","1","1","2","1","1",NA,NA,NA,"2","1"
"608","1","1","2","1","2","1","2","1","3","1","1","3","3","2"
"609","1","2","2","1","2","1","1","1","3","1","2","3","2","1"
"610",NA,NA,NA,"2","1","1","1","2","2","1","1","2","3","2"
"611","1","3","1","1","1","1","1","1","1","1","2","2","3","1"
"612","1","1","1","2","2","1","1","1","2","1","1","2","2","2"
"613","2","2","1","2","1","1","1","1",NA,NA,NA,NA,"3","1"
"614","1","3","1","1","1","1","1","2","3",NA,NA,NA,"2","1"
"615","1","1","1","1","1","1","2","1","2",NA,NA,NA,"3","1"
"616","3","2","1","2","2","1","2","2","3","2","2","2","2","2"
"617","1",NA,"2","1","1","1","1","1","2","1","1","2","3","2"
"618","1","1","1","1","2","1","2","2","2","1","2","2","2","2"
"619","2","2","2","2","2","2","1","2","2",NA,NA,NA,"3","2"
"620","1","1","1","2","1","1","1","1","2","1","1","2","3","2"
"621","1","1","1","1","1","1","1","1","1",NA,NA,"1","1","1"
"622","1","1","1","1","2","2","2","1","3","2","2","3","3","2"
"623","2","2","1","2","1","2","2","1","2",NA,NA,NA,"3","2"
"624","1","3","1","1","1","1","1","1","2","1","1","2","2",NA
"625","2","1","1","1","1","1","1",NA,"2","1","1","2","1","2"
"626","1","1","1","1","2","1","1","1","2","1","1","2","1","1"
"627","2","2","1","2","1","1","2","2","2",NA,NA,NA,"3","2"
"628",NA,NA,NA,NA,NA,NA,NA,"2","3","2","1","1","3","1"
"629","1","1","2","1","2","1","2","2","2","2","2",NA,"2","2"
"630","3","3","2","1","1","1","2","2","2","2","2","2","2","2"
"631","1","1","1","1","1","1","2","1","1","1","1","3","3","2"
"632","1","2","1","1","1","1","2","1","3","2","2","3","2","1"
"633","1","2","2","2","2","2","1","2","2","1","1","2","1","1"
"634","1","3","1","1","1","1","2","1","2",NA,NA,NA,"1","1"
"635","1","1","1","1","1","1","1","2","1","2","2","1","1","2"
"636","1","2","1","2","2","1","1","1","2",NA,NA,NA,"1","2"
"637","3","3","1","1","1","1","1","2","3","2","2","2","1","2"
"638","1","2","2","1","1","1","2","1","2","2","2","2","1","2"
"639","1","1","2","1","1","1","2","2","3","1","2","3","2","1"
"640","1","2","1","1","1","1","1","2","3","1","1","2","2","1"
"641","2","3","1","1","2","2","2","2","2","2","2","2","2","2"
"642","2","2","1","2","2","1","2","2",NA,NA,NA,NA,"2","1"
"643","1","1","1","1","1","1","2","2","2","2","1","2","2","2"
"644","2","2","2","1","1","1","1","2","1","1","2","1","2","2"
"645","2","2","1","1","1","1","1","1",NA,"1","1",NA,"1","2"
"646","1","2","1","1","1","1","1","1","2",NA,NA,NA,"2","2"
"647","1","1","1","1","1","1","1","1","3","1","1","3","1","2"
"648","1","1","1","1","1","1","1","2","1","2","2","1","1","2"
"649",NA,NA,"1","1","1","1","2","2","2","2","2","2","3","2"
"650","1","3","2","1","1","1","1","2","2","2","2","2","1","2"
"651","1","1","1","2","2","2","2","2","2","2","2",NA,"2","1"
"652","2","2","2","1","1","1","1","1","3",NA,NA,NA,"3","3"
"653","1","3","1","2","2","1","1","1","1","1","1","2","2","2"
"654",NA,NA,NA,"1","2","1","1","1","1","1","1","1","2","1"
"655","3","3","3","2","2","2","1","1","2",NA,NA,NA,"2","2"
"656","1","3","3","1","1","1","1","1","2","1","2","2","3","1"
"657","1","2","1","1","1","1","2","1","1","2","2","2","3","3"
"658","2","3","1","2","2","1","2","2","2","2","2","2","2","2"
"659","1","2","1","1","1","1","2","2","3",NA,NA,NA,"3","1"
"660","1","1","1","1","1","1","2","1","2","1","2","2","2","2"
"661","1",NA,"1","2","1","1","1","1","2","1","1","2","2","2"
"662","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"663","1","3","3","2","2","2","1",NA,NA,NA,NA,NA,"1","1"
"664","2","2","1","1","1","1","2","2","2","2","2","2","2","1"
"665","1","2","1","2","2","2","2","2","2","2","2","2","3","2"
"666","1","1","1","1","2","1","1","1","2",NA,NA,NA,"2","2"
"667","1","3","1","1","1","1","2","1","2","2","1",NA,"2","2"
"668","2","2","1","1","1","1","1","2","2","1","1","1","1","1"
"669","1",NA,"1","1","1","1","2","1","2",NA,NA,NA,"1","1"
"670","2","2","1","1","1","1","2","2","2",NA,NA,NA,"3","2"
"671","2","2","2","1","1","1","2","2","1","2","2","1","2","2"
"672","1","3","1","1","2","1","2","1","1","1","1","2","3","2"
"673","2","3","1","2","2","2","2","2","2",NA,NA,NA,"2","1"
"674","3","3","1","2","1","1","1","2","1","2","2","1","2","2"
"675","2","2","1","2","2","2","1","1","1","1","1","2","3","2"
"676","2","2","2","1","1","1","2","2","2","2","2","2","3","2"
"677","1","1","1","2","2","2","1","1","1","1","1","2","2","2"
"678","3","3","1","1","1","1","2","1","3","2","2","2","3","2"
"679","2","2","2","1","1","1","2","1","2","1","1","2","3","3"
"680","1","1","1","1","1",NA,"1","2","1",NA,NA,NA,"3","2"
"681","1","2","1","1","1","1","1","1","2","1","1",NA,"2","2"
"682",NA,NA,NA,"2","2","1","2","2","2","2","2","2","2","2"
"683","1","1","1","1",NA,NA,"1","1","1","1","1","1","2","2"
"684","3","3","1","1","1","1","2","2",NA,NA,NA,NA,"2","2"
"685","1","3","2","1","2","1","2","1","1",NA,NA,NA,"3","2"
"686","2","2","1","1","1","1","2","1","2","1","1","2","3","2"
"687","3","3","2","1","2","2","2","1","3","2","1","3","3","2"
"688","1","3","1","2","2","1","2","2","2","2","2","2","3","2"
"689","1","1","1","1","1","1","1","1","2",NA,"1","2","2","1"
"690","3","3","3","1","1","1","1","1","2","1","1","2","1","2"
"691","1","1","1","1","1","1","1","1","3","2","2","2","3","1"
"692","1","1","1","1","1","1","1","1","2","1","1","2","1","1"
"693","1","3","1","1","1","1","1","1","2","1","1","2","2","2"
"694","2",NA,"1","1",NA,"1","1",NA,"1","1",NA,"1","1","1"
"695","3","3","1","2","1","1","1","2","2","1","1","2","2","1"
"696","3","1","3","1","1","1","1","1","2","1","1","2",NA,NA
"697","2","2","1",NA,"1","1","2","2","2","2","1","2","3","2"
"698","1","1","1","1","1","1","1","1","2",NA,NA,NA,"2","1"
"699","1","1","2","1","1","1","2","1","1","1","1","1","1","2"
"700","2","2","2","1","1","1","2","2","2","2","2","2","3","1"
"701","2","2","1","1","1","1","2","2","3",NA,NA,NA,"3","2"
"702","2","1","1","1","1","1","2","1","2","1","1","2","2","2"
"703","1","3","1","2","2","2","2","1","2","1","1","2","2","2"
"704","2","3","1","1","1","1","1","1","2","1","1","2","3","1"
"705","1","1","1","1","1","1","1","1","1","1","1","1","3","2"
"706","1","3","1","2","2","1","1","1","2","1","1","2","3","2"
"707","1","1","1","2","2","1","2","2","2","2","2","2","3","3"
"708","1","3","1","1","1","1","2","2","2",NA,NA,NA,"3","2"
"709","1","1","1","1","2","1","1","1","2","1","1","2","2","2"
"710","1",NA,"1","1","1","1","1","1","2","1","1","2","3",NA
"711","1",NA,"1","1","1","1","2","2","2",NA,NA,NA,"3","2"
"712","1","3","1","2","2","2","2","1","2","1","1","2","2","1"
"713","2","2","1","2","2","2","2","2","2",NA,NA,NA,"3","2"
"714","3","2","3","1","1","1","1","2","1","1","1","1","2","2"
"715","1","1","1","1","1","1","2","2","2","1","1","2","2","1"
"716","1","3","1","1","1","1","1",NA,"1",NA,NA,NA,"3","1"
"717","3","3","3","1","1","1","2","2","2","2","2","2","2","2"
"718","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"719","1","3","1","1","1","1","1","1","2","1","2","2","3","2"
"720","2","2","2","1","2","1","2","2","1","2","2","1","2","2"
"721","1","1","1","1","1","1","1","2","2",NA,NA,NA,"2","1"
"722","1","1","1","2","2","2","1","1","2","1","1","2","3","1"
"723","1","1","1","1","1","1","1","1","3","1","1","3","1","1"
"724","3","2","2","1","1","1","2","1","2","2","1","2","2","2"
"725","1",NA,"1","2","2","2","1","1",NA,NA,NA,NA,"2","1"
"726","3","3","3","1","1","1","2","2","2","2","2","2","2","2"
"727","1","1","1","1","1","1","1","1","1","1","1","1","3","2"
"728","1","3","1","1","1","2","1","1","3",NA,NA,NA,"1","1"
"729","3","3","2","1","1","1","2","2","2","2","2","2","2","2"
"730","2","2","1","2","2","1","2",NA,NA,NA,NA,NA,"3","1"
"731","1","1","2","1","1","1","2","2","1","1","1","2","1","2"
"732","1","1","1","1","1","1","2","1","1","1","1","1","1","2"
"733","1","1","2","1","1","1","2",NA,NA,"1","2","2","3","2"
"734","2","2","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA
"735","1","1","1","1","1","1","1","1","2","1","1","2","3","1"
"736","1","3","1","1","1","1","1","1","2",NA,NA,"3","2","1"
"737","3","3","1","1","1","1","1",NA,NA,NA,NA,NA,"3","2"
"738","1","1","1","1","1","1","1","2","2","1","2","2","2","1"
"739","3","3","3","1","1","1","2","1","2","1","2","2","2","2"
"740","2","3","2","1","2","1","2","1","1","1","1","2","3","2"
"741","2","2","1","2","2","1","1","1","1",NA,NA,NA,"3","1"
"742","2","2","1","1","1","1","2","2","3","2","2",NA,"2","2"
"743","1","1","1","1","1","2","1",NA,NA,NA,NA,NA,"1","2"
"744","1","3","1","1","1","1","1","1","2",NA,NA,NA,"1","2"
"745","2","2","2","1","1","1","2","2",NA,"2","2",NA,"2",NA
"746","2",NA,NA,"1","1","1","2","1","3","1","1","2","2","2"
"747","2","2","2","2","1","1","1","1","2","1","1","2","2","2"
"748","2","1","2","2","1","1","1","1",NA,"2","2","2","3","2"
"749","2","3","2","1","1","1","2","1","2","1","1","2","3","2"
"750","3","3","1","1","1","1","1","2","3","2","2","2","2","1"
"751","1","3","1","1","1","1","2","1","3","2","1","3","1","2"
"752",NA,NA,"1","1","1","1",NA,"1","2","1","1",NA,"1","1"
"753","1","1","1","2","1","1","1","1",NA,"1",NA,"2","2","1"
"754","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"755","1","3","1","1","1","1","2","2","3","2","2","3","2","2"
"756","2","2","1","1","1","1","1","2","3","1","2","3","3","2"
"757","2","2","1","1","1","2","1","2","2","1","1","3","3","1"
"758","1","1","1","1","1","1","1","1",NA,NA,NA,NA,"2","2"
"759","1","1","1","1","1","1","1","1","1",NA,NA,NA,"1","2"
"760","1","2","2","2","1","1","2","2","3","2","2",NA,"2","2"
"761","1","3","1","1","1","1","1","2",NA,NA,NA,NA,"3","2"
"762",NA,"1","1","2","1","2","1","2","2",NA,NA,NA,"1","1"
"763","3","3","1","1","1","1","1","1","1",NA,NA,NA,"1","1"
"764","1","3","2","1","1","1","2","2","1","2","2","3","3","2"
"765","1","1","1","2","2","2","1","1","1",NA,NA,NA,"2","2"
"766","2","3","2","1","1","1","2","1",NA,NA,NA,NA,"2","2"
"767","2","3","2","2","2","2","1",NA,NA,NA,NA,NA,NA,NA
"768","2","2","1","2","2","2","1","1","2","1","1","1","3","2"
"769","1","1","3","1","1","1","2","2","1",NA,NA,NA,"3","2"
"770","1","1","2","1","1","1","2","2",NA,NA,NA,NA,"3","1"
"771","1","3","1","1","1","1","2","2","2","2","2","2","3","2"
"772","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"773",NA,NA,"2","2","1","1","1","1","2",NA,"1",NA,"2","2"
"774","1","3","1","1","2","2","2","1","2","1","1","2","3","2"
"775","2",NA,NA,"2","1","1","2","1",NA,"1","1",NA,"3","2"
"776","1","1","1","1","1","1","2","2","2","2","2","2","1","1"
"777","1","1","1","1","2","1","1","1","2","1","1","2","1","1"
"778","2","1","1","1","1","1","1","2","2","1","1","2","3","2"
"779","1","1","1","2",NA,"1","1","1","2","1","1","2","1","1"
"780","1","1","1","1","1","1","1","1",NA,"2","1","2","1","2"
"781","1","1","1","1","1","1","1","1","1","1","1","2","2","2"
"782","1","1","3","1","2","1","2","1","1","1","1","2","1","1"
"783","1","1","1","1","1","1","2","2","3","1","1","3","1","2"
"784",NA,"3","2","2","2","2","2","1","2","2","1","2","3","2"
"785","2","2","2","1","1","1","2","2","1",NA,NA,NA,"3","3"
"786","2","2","1","1","1","1","2","1","2",NA,NA,NA,"2","1"
"787",NA,"3","2","2","1","1","1","1","2","1","1","2","2","2"
"788","2","2","2","1","1","1","2","1","1","1","1","3","2","1"
"789","1","1","1","1","1","1","2","1","1",NA,NA,NA,"3","2"
"790","1","1","1","2","2","2","2","2","3","2","2","3","1","2"
"791","1","3","3","1","1","1","2","1",NA,NA,NA,NA,"3","2"
"792","1","3","1","1","1","1","1","1","2",NA,NA,NA,"3","2"
"793","1","3","1","1","1","1","2","1","1","1","1","1","1","1"
"794","1","1","1","1","1","1","1","1","2","1","1","2","1","1"
"795",NA,NA,NA,"1","1","1","2","2","3",NA,NA,NA,"1","1"
"796",NA,NA,NA,"1","1","1",NA,NA,"3",NA,NA,NA,"3","3"
"797","1","3","2","1","1","1","1","1","1","2","2","1","2","1"
"798","1","3","2","1","1","1","2","1",NA,NA,NA,NA,"3","2"
"799","2","2","1","2","2","1","2","1","3","2","1",NA,"1","1"
"800","2","2","1","2","2","1","2","1","3","2","1","3","1","1"
"801","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"802","1","1","1","1","1","1","2","2",NA,"2","2","2","3","3"
"803","3","3","3","1","1","1","2","1","2","1","1","2","2","2"
"804","2","3","2","1","2","1","2","2","2","1","2","2","1","1"
"805","1","3","1","1","1","1","2","1","1","1","1","1","1","2"
"806","3","3","1","2","2","2","2","2","2","2","2","2","3","2"
"807","1","3","1","1","1","1","1","1","1","1","1","2","2","2"
"808","1","3","1","1","1","1","2","1","2",NA,NA,NA,"3","2"
"809","2","3","2","1","1","1","1","2","2","2","2","2","2","3"
"810","1","1","1","1","1","1","1","2","1","2","2","2","1","2"
"811","1","1","1","2","2","1","1","1","1","1","1","2","1","1"
"812","1",NA,"1","2","2","2","1",NA,NA,NA,"1",NA,"1","1"
"813",NA,NA,"1","1","1","1","1","1","2","1","1","2","2","1"
"814","3","3","2","2","2","1","1","2","2","2","2","2","3","2"
"815","2","2","1","2","2","1","2",NA,NA,NA,NA,NA,"2","1"
"816","2","2","1","1","1","1","1","1",NA,NA,NA,NA,"2","2"
"817","2","2","2","1","1","1","2","2","3","2","2","2","2","1"
"818","2","2","2","1","1","1","2","2","2","2","2","3","2","2"
"819","1","2","2","1","1","1","2","2","3","1","2","3","2","2"
"820","2","3","1","1","2","1","2","2","3","2","2","2","2","1"
"821","1","1","1","1","1","1","1","2","3","2","2","3","3","2"
"822","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"823","1","3","1","1","1","1","2","2",NA,"2","2",NA,"1","1"
