"","DecisionM","DecisionF","LikeM","LikeF","PartnerYesM","PartnerYesF","AgeM","AgeF","RaceM","RaceF","AttractiveM","AttractiveF","SincereM","SincereF","IntelligentM","IntelligentF","FunM","FunF","AmbitiousM","AmbitiousF","SharedInterestsM","SharedInterestsF"
"252",0,0,2,3,5,3,24,25,"Asian","Caucasian",6,5,6,8,7,10,4,3,4,8,6,3
"253",1,1,8,6,5,7,24,25,"Asian","Black",7,8,9,7,9,8,7,8,9,7,7,6
"254",1,0,7,7,8,5,36,26,"Asian","Caucasian",7,7,9,7,8,7,8,6,8,7,6,5
"255",0,1,5,9,1,1,25,26,"Asian","Latino",5,4,10,3,10,9,10,4,10,9,5,5
"256",0,0,6,6,2,4,26,24,"Asian","Caucasian",6,6,7,9,6,8,7,4,NA,9,5,6
"257",0,0,7,4,NA,3,26,22,"Caucasian","Asian",4,5,10,7,9,5,5,4,NA,6,2,3
"258",1,1,8,7,7,7,24,23,"Other","Asian",8,5,9,5,8,8,8,7,9,6,7,6
"259",1,1,10,8,10,10,23,27,"Caucasian","Asian",9,10,7,10,9,10,8,9,8,5,6,6
"260",0,0,3,4,6,5,29,22,"Caucasian","Asian",6,5,9,4,9,6,6,6,8,5,7,4
"261",0,0,6,3,1,3,22,24,"Asian","Other",5,5,7,5,7,8,7,6,4,8,2,3
"262",1,1,6,8,6,6,32,26,"Caucasian","Caucasian",7,8,7,9,6,9,6,10,6,10,6,8
"263",1,1,8,8,10,9,22,22,"Caucasian","Caucasian",9,6,6,4,10,8,9,10,8,7,8,8
"264",0,1,6,6,6,5,24,25,"Caucasian","Asian",7,4,7,9,7,4,8,7,5,8,5,4
"265",1,0,6,5,5,7,23,30,"Asian","Latino",6,4,7,9,6,8,8,6,5,7,4,2
"266",1,0,8,5,8,5,23,23,"Asian","Caucasian",7,7,10,9,6,9,7,7,6,10,0,2
"267",0,0,7,5,5,5,24,26,"Asian","Latino",8,7,8,9,8,7,8,7,8,6,5,NA
"268",1,1,7,7,8,5,23,27,"Asian","Asian",5,5,8,6,7,5,7,5,6,5,6,6
"269",1,0,9,3,8,1,24,29,"Caucasian","Latino",7,1,9,5,8,5,10,4,6,5,5,3
"270",1,1,8,5,8,7,30,23,"Caucasian","Caucasian",8,7,7,5,7,7,9,7,6,7,6,9
"271",0,1,6,6,6,7,30,23,"Caucasian","Caucasian",6,7,6,8,7,9,8,5,10,7,1,5
"272",0,0,7,6,3,5,30,28,"Caucasian","Other",2,7,10,7,8,7,10,5,2,5,4,5
"273",1,0,8,5,5,5,28,NA,"Caucasian","Caucasian",8,7,8,9,6,9,7,6,7,8,6,7
"274",0,0,6,6,3,8,30,26,"Caucasian","Caucasian",6,6,7,8,7,8,7,6,4,8,6,5
"275",1,0,7,4,5,3,27,28,"Black","Asian",5,5,7,5,8,6,7,3,8,5,7,3
"276",1,1,8,7,7,5,25,23,"Caucasian","Caucasian",7,7,NA,7,5,8,5,7,5,7,4,7
