"","hypo.p","kidney.p","liver.p"
"1419363_a_at",0.009366336,0.003568732,0.760389391
"1419364_a_at",0.795793115,0.55727934,0.104632067
"1419367_at",0.107524313,0.00700654,0.071631626
"1419371_s_at",0.543605513,0.601717983,0.538248911
"1419374_at",0.834304904,0.272372034,0.126638193
"1419382_a_at",0.126385107,0.00216741,0.270968391
"1419385_a_at",0.657281921,0.874391157,0.722944838
"1419398_a_at",0.454583653,0.00567553,0.867043524
"1419399_at",0.595004986,6.94e-05,0.489695743
"1419400_at",0.550243678,0.008264418,0.338171189
"1419441_at",0.084729732,0.166698439,0.51084065
"1419444_at",0.114233912,0.164391379,0.877330737
"1419445_s_at",0.11585432,0.065907636,0.96707049
"1419450_at",0.761438378,0.47894014,0.130908946
"1419451_at",0.429009251,0.558003132,0.01843779
"1419452_at",0.946833582,0.732977921,0.484109919
"1419459_a_at",0.458515504,0.564050465,0.159464228
"1419460_at",0.172969665,0.044698192,0.299459698
"1419461_at",0.773337062,0.442066894,0.531788468
"1419469_at",0.08850293,0.000706254,0.918855351
"1419470_at",0.100122586,0.000125504,0.75023513
"1419471_a_at",0.819176433,0.094024164,0.267481215
"1419472_s_at",0.830492507,0.072365233,0.363753815
"1419483_at",0.260573484,0.807454412,0.214532153
"1419484_a_at",0.886068417,0.127633274,0.977881625
"1419493_a_at",0.706410123,0.497630259,0.187507466
"1419495_at",0.388087344,0.001087796,0.467578009
"1419499_at",0.307674096,0.177849202,0.291770098
"1419509_a_at",0.138128308,0.076395621,0.409774639
"1419523_at",0.17785949,0.110568708,0.336212321
"1419536_a_at",0.524938335,0.515858877,0.728144904
"1419543_a_at",0.576114136,0.843055627,0.073869439
"1419544_at",0.859223165,0.13533704,0.398238998
"1419545_a_at",0.153356624,0.013305353,0.873579426
"1419546_at",0.251582915,0.01819318,0.617814641
"1419552_at",0.947355406,0.079253637,0.824354531
"1419557_a_at",0.654365,0.606005241,0.996399972
"1419562_at",0.098062528,0.083933456,0.265094155
"1419568_at",0.469225555,0.11202887,0.672729372
"1419574_at",0.042475869,0.014772775,0.60616729
"1419577_at",0.417701877,0.879878315,0.752504172
"1419583_at",0.107342559,0.002960275,0.890695242
"1419584_at",0.482647498,0.002699908,0.858154757
"1419595_a_at",0.163010399,0.171207516,0.969552155
"1419628_at",1,0.810871916,0.227491691
"1419635_at",0.417254736,0.599619716,0.358758591
"1419637_s_at",0.27474844,0.124061957,0.920238465
"1419645_at",0.048766644,0.001646989,0.723006868
"1419649_s_at",0.011717542,0.027175211,0.80737324
"1419650_at",0.109903645,0.006645421,0.622774449
"1419653_a_at",0.734040122,0.834174548,0.266315059
"1419655_at",0.8151103,0.737771747,0.66917424
"1419659_s_at",0.267390338,0.522580544,0.066895476
"1419660_at",0.904557555,0.71010712,0.427433084
"1419668_at",0.889953728,0.002385774,0.126032033
"1419678_at",0.046898809,0.570301276,0.092880223
"1419687_at",0.099099317,3.41e-05,0.307752317
"1419706_a_at",0.90532334,0.22587257,0.009916927
"1419734_at",0.852606732,0.782133196,0.896600746
"1419736_a_at",0.363720033,0.992807172,0.287187476
"1419737_a_at",0.044238022,0.002982281,0.944703044
"1419741_at",0.086682572,0.017941087,0.325875025
"1419743_s_at",0.44954997,0.009859694,0.398328877
"1419755_at",0.12141154,0.267647836,0.049506068
"1419803_s_at",0.182507266,0.179311567,0.73707408
"1419809_s_at",0.093961966,0.149663101,0.513834769
"1419812_s_at",0.812240554,0.485698467,0.303942202
"1419814_s_at",0.85035963,0.076639326,0.044923325
"1419816_s_at",0.322563328,0.000459648,0.021208641
"1419819_s_at",0.672032134,0.384564185,0.528673458
"1419821_s_at",0.319694563,0.151528228,0.30579214
"1419839_x_at",0.085409134,0.079979867,0.924276469
"1419866_s_at",0.309796628,0.178373923,0.988361896
"1419869_s_at",0.845039495,0.821896029,0.525576319
"1419872_at",0.012348726,0.611741525,0.12876186
"1419879_s_at",0.152464505,0.133092004,0.071922286
"1419883_s_at",0.765052903,0.790987965,0.1873333
"1419909_at",0.080889458,0.233319006,0.761163494
"1419912_s_at",0.395703353,0.567313006,0.823632198
"1419914_s_at",0.989779011,0.751935531,0.041131739
"1419915_at",0.32072653,0.103529362,0.075203352
"1419917_s_at",0.250771454,0.882279579,0.316693222
"1419918_at",0.440505129,0.553375584,0.126265621
"1419920_s_at",0.305577577,0.084924302,0.691617582
"1419927_s_at",0.679242598,0.736337543,0.420509156
"1419945_s_at",0.600033525,0.257470341,0.973567627
"1419947_at",0.396751195,1,0.925328069
"1419949_at",1,1,0.617600152
"1419950_s_at",0.607147359,0.789709139,0.962336213
"1419954_s_at",0.839345497,0.525696299,0.183319036
"1419964_s_at",0.194053474,0.113924831,0.68488528
"1419971_s_at",0.232397612,0.137851878,0.978443705
"1419976_s_at",0.267930505,0.920732323,0.567285122
"1419984_s_at",0.247355253,0.193997303,0.242254505
"1419994_s_at",0.877460578,0.81577558,0.492681985
"1420000_s_at",0.943525066,0.562744342,0.216295075
"1420011_s_at",0.809100641,0.354411334,0.10730817
"1420033_s_at",0.839953887,0.456732068,0.100879682
"1420046_s_at",0.041685232,0.492291591,0.755162634
"1420058_s_at",0.282527814,0.589130853,0.818607233
"1420062_at",0.166782774,0.221560379,0.202220677
"1420083_at",1,1,0.694966312
"1420088_at",0.611383089,0.53534882,0.525161674
"1420089_at",0.716015377,0.267324855,0.652568142
"1420091_s_at",0.454859037,0.710883673,0.145636099
"1420093_s_at",0.091199072,0.007622289,0.97617165
"1420095_s_at",0.146995575,0.183978952,0.107275106
"1420113_s_at",0.398302084,0.890632144,0.178961055
"1420116_s_at",0.879680702,0.501222095,0.820882112
"1420123_at",0.237115063,0.057704551,0.786705913
"1420124_s_at",0.369692506,0.198297668,0.84241998
"1420129_s_at",0.99747906,0.62102403,0.482258419
"1420131_s_at",0.057553755,0.011614949,0.488470835
"1420142_s_at",0.722870954,0.261453615,0.84471056
"1420157_s_at",0.372497918,0.876669282,0.753394986
"1420171_s_at",0.852494123,0.851662049,0.14844016
"1420172_at",0.508110071,0.217444162,0.053518517
"1420174_s_at",0.715522003,0.414996305,0.515598112
"1420183_at",0.323219788,0.315307934,0.730261072
"1420196_s_at",0.885369248,0.851547238,0.635700699
"1420275_at",0.261153655,0.986387623,0.304417465
"1420284_at",0.224732234,0.408524283,0.732449412
"1420326_s_at",0.561576891,0.123504051,0.108828321
"1420361_at",0.364454271,0.931875079,0.599218565
"1420365_a_at",0.169624388,0.030153038,0.396229988
"1420368_at",0.875059549,0.730184626,0.262061159
"1420376_a_at",0.63775347,0.658819721,0.295631133
"1420384_at",0.053662053,0.260721122,0.331317213
"1420386_at",0.452008601,0.242829323,0.608234962
"1420394_s_at",0.698065884,0.484992969,0.738193323
"1420425_at",0.689681743,0.870701284,0.547589918
"1420472_at",0.874272252,0.840455349,0.965934227
"1420473_at",0.067017993,0.029277312,0.678066936
"1420474_at",0.06518654,0.08884929,0.518263978
"1420476_a_at",0.947176745,0.172230707,0.476021521
"1420477_at",0.95001998,0.114414197,0.346783387
"1420478_at",0.99513946,0.161099002,0.916150198
"1420479_a_at",0.947203987,0.027757713,0.359504679
"1420480_at",0.744543075,0.926954814,0.66493458
"1420486_at",0.371490949,0.693590444,0.286844801
"1420487_at",0.352115721,0.848271706,0.163381739
"1420488_at",0.635750101,0.758203695,0.961357378
"1420489_at",0.263084069,0.413090464,0.908049396
"1420494_x_at",0.835090038,0.793396258,0.673560386
"1420495_a_at",0.10648066,0.244721824,0.144770022
"1420497_a_at",0.857316562,0.726334278,0.908694742
"1420498_a_at",0.041795077,0.074634456,0.067775883
"1420502_at",0.52399587,0.09426336,0.036949585
"1420507_a_at",0.323826308,0.285685018,0.814263425
"1420522_at",0.879261107,0.742008198,0.853394521
"1420535_a_at",0.376790806,0.132918826,0.967343868
"1420540_a_at",0.435555719,0.925420589,0.467110198
"1420543_at",0.155993282,0.006834136,0.945505874
"1420570_x_at",0.934078708,0.459015106,0.910367071
"1420572_at",0.087181702,0.186319497,0.904603545
"1420592_a_at",0.882271945,0.581580571,0.825681
"1420608_at",0.305927574,0.063747851,0.966733631
"1420609_at",0.3928382,0.40430123,0.532643772
"1420612_s_at",0.726360381,0.228972063,0.541427583
"1420613_at",0.837499017,0.820763682,0.60687771
"1420614_at",0.106507526,0.218528073,0.104847967
"1420616_at",0.280496878,0.745515089,0.048889472
"1420617_at",0.18488266,0.534785938,0.185550542
"1420618_at",0.073732406,0.569286427,0.233504089
"1420619_a_at",0.945984696,0.481069974,0.266277898
"1420620_a_at",0.55894014,0.442658508,0.094968453
"1420621_a_at",0.86568201,0.181236432,0.45936719
"1420622_a_at",0.761686771,0.196460248,0.581183568
"1420623_x_at",0.860885294,0.12536141,0.395372796
"1420626_at",0.336272811,0.151270091,0.715051456
"1420629_a_at",0.352164437,0.042638738,0.842146473
"1420630_at",0.101039532,0.004728438,0.395193448
"1420631_a_at",0.063144069,0.025656197,0.488550557
"1420634_a_at",0.235637381,0.347262465,0.622596323
"1420640_at",0.475200179,0.026311736,0.648093151
"1420642_a_at",0.268810552,0.237565026,0.821909148
"1420646_at",0.063119665,0.007261862,0.3148997
"1420657_at",0.32246423,0.997452133,0.547893933
"1420711_a_at",0.649513635,0.336224516,0.141535596
"1420722_at",0.146411186,0.571475992,0.026261998
"1420728_at",1,0.88235104,0.967659095
"1420731_a_at",0.017883728,0.07927428,0.731808915
"1420745_a_at",0.967734735,0.336381544,0.510377848
"1420769_at",0.579482698,0.406812125,0.448029504
"1420808_at",0.562908152,0.168919396,0.810786989
"1420809_a_at",0.554154712,0.956692859,0.368064538
"1420811_a_at",0.304587245,0.155711337,0.636100765
"1420814_at",0.814002469,0.80227708,0.948309662
"1420815_at",0.984966441,0.767191243,0.787494059
"1420820_at",0.133348251,0.262835774,0.868014958
"1420822_s_at",0.606719719,0.18006983,0.332064281
"1420824_at",0.681520777,0.37978053,0.049474525
"1420826_at",0.110189597,0.108558495,0.149440162
"1420828_s_at",0.951216133,0.011643051,0.17966896
"1420829_a_at",0.815319374,0.016881132,0.25516718
"1420830_x_at",0.808843215,0.018093458,0.241903914
"1420831_at",0.885436229,0.148342147,0.718564962
"1420832_at",0.841712989,0.252490512,0.926470876
"1420835_at",0.005345731,0.167520353,0.710031295
"1420836_at",0.013462639,0.078288663,0.395674055
"1420839_at",0.426470351,0.683430736,0.396896298
"1420840_at",0.98745264,0.977833782,0.937499019
"1420842_at",0.657178679,0.947700841,0.041377899
"1420845_at",0.42423689,0.300283836,0.156080975
"1420846_at",0.751566742,0.379066425,0.194114382
"1420850_at",0.128160517,0.554787133,0.282750664
"1420861_at",0.199145488,0.001598232,0.434229228
"1420862_at",0.630198709,0.501737087,0.30791027
"1420867_at",0.654766359,0.979071188,0.6634192
"1420868_s_at",0.941286737,0.526347321,0.676276711
"1420870_at",0.330141634,0.519809567,0.073689411
"1420871_at",0.003337218,0.000845426,0.696205776
"1420878_a_at",0.737846708,0.318060839,0.317742675
"1420879_a_at",0.386131961,0.035091299,0.431158514
"1420880_a_at",0.106408907,0.006124515,0.549579457
"1420886_a_at",0.543602639,0.356491559,0.044205437
"1420888_at",0.486320179,0.586405049,0.684013003
"1420895_at",0.603646171,0.251113725,0.866932733
"1420897_at",0.15633065,0.435611687,0.355157363
"1420899_at",0.481802131,0.491370829,0.308582277
"1420900_a_at",0.454086977,0.522801283,0.382598141
"1420907_at",0.225958623,0.603018661,0.148136966
"1420911_a_at",0.665616765,0.039634809,0.576186746
"1420916_at",0.67337854,0.898997212,0.700838357
"1420919_at",0.107869975,0.000747917,0.563037738
"1420920_a_at",0.547470933,0.94850036,0.937947355
"1420922_at",0.012703047,0.023780312,0.144825211
"1420924_at",0.043901713,7.54e-05,0.274516085
"1420928_at",0.023453055,0.339436784,0.578260055
"1420929_at",0.933725074,0.571455963,0.937272319
"1420931_at",0.727330948,0.67277051,0.056689969
"1420932_at",0.002205515,0.004906487,0.556559092
"1420933_a_at",0.154212612,0.65588611,0.119594512
"1420937_at",0.974551591,0.892714251,0.189426463
"1420951_a_at",0.788720457,0.275990589,0.49400201
"1420952_at",0.037946044,0.005554923,0.888075162
"1420965_a_at",0.069590065,0.00011436,0.145151942
"1420971_at",0.114971778,0.034181924,0.485964108
"1420975_at",0.011484994,0.002306143,0.896385371
"1420976_at",0.868330761,0.280757763,0.228240284
"1420979_at",0.307502077,0.461898503,0.403935894
"1420985_at",0.04602606,0.069996559,0.990039109
"1420986_s_at",0.916576339,0.406071661,0.208172668
"1420996_at",0.024151443,0.12876256,0.742148804
"1420997_a_at",0.947093152,0.648597835,0.84824335
"1420999_at",0.882547548,0.524224257,0.360666625
"1421019_at",0.580852008,0.172750281,0.980130863
"1421022_x_at",0.171791678,0.172562174,0.040955246
"1421023_at",0.933148059,0.545763495,0.459401859
"1421029_a_at",0.372014708,0.168319638,0.294047343
"1421033_a_at",0.430635195,0.016539911,0.062952628
"1421041_s_at",0.04554813,0.000321464,0.532790198
"1421046_a_at",0.717999786,0.621876961,0.523036404
"1421051_s_at",0.207151156,0.017001938,0.185456047
"1421054_at",0.112476051,0.26246412,0.022487807
"1421062_s_at",0.515710304,0.184763905,0.205993801
"1421066_at",0.331493599,0.304246244,0.376615326
"1421070_at",0.370481095,0.554090135,0.110272839
"1421076_at",1,0.825659427,0.77351881
"1421081_a_at",0.488216933,0.826128112,0.39784558
"1421082_s_at",0.353411941,0.928744181,0.251659589
"1421083_x_at",0.233732492,0.783109792,0.441853519
"1421088_at",0.023814906,0.012469161,0.118240697
"1421115_a_at",0.070660754,0.095453402,0.69768057
"1421116_a_at",0.221088369,0.017841236,0.502677992
"1421122_at",0.371562782,0.479476739,0.042820957
"1421135_a_at",0.831292002,0.906452045,0.656516041
"1421140_a_at",0.251437955,0.018175755,0.221040969
"1421141_a_at",0.85145509,0.356168543,0.022678105
"1421148_a_at",0.397126434,0.299553222,0.204548906
"1421152_a_at",0.008251811,0.009030654,0.704557723
"1421163_a_at",0.025724032,0.458254301,0.907877313
"1421197_a_at",0.711747382,0.509221236,0.286785657
"1421208_at",0.553715064,0.790432778,0.552306169
"1421217_a_at",0.858815919,0.181282588,0.202381015
"1421252_a_at",0.141492024,0.036211549,0.877947939
"1421260_a_at",0.220158037,0.002065024,0.804335067
"1421284_at",0.799667951,0.206997747,0.457323362
"1421315_s_at",0.652678534,0.25267163,0.757738687
"1421321_a_at",0.376396949,0.057841339,0.144584391
"1421323_a_at",0.251492126,0.048952199,0.974379812
"1421354_at",0.91223557,0.717529427,0.823281209
"1421358_at",0.376199156,0.454391586,0.389401262
"1421364_at",0.186607625,0.802520685,0.561883413
"1421375_a_at",0.055724453,0.785600224,0.329467551
"1421379_at",0.517685755,0.888298715,0.695459144
"1421407_at",1,0.835728131,0.733488261
"1421468_at",0.514324502,0.246251487,0.796638341
"1421476_a_at",0.072235083,0.207394564,0.95331122
"1421479_at",0.403479899,0.388126905,0.095297151
"1421487_a_at",0.518613927,0.668753615,0.506780817
"1421491_a_at",0.675027715,0.241210717,0.127881474
"1421529_a_at",0.515297792,0.979434469,0.160024896
"1421534_at",0.001405964,0.093251331,0.407618498
"1421557_x_at",0.399123852,0.032418449,0.452311874
"1421563_at",0.485284184,0.646708844,0.122593185
"1421571_a_at",0.901426937,0.475312802,0.264084287
"1421654_a_at",0.022739147,0.159694343,0.549846181
"1421662_a_at",0.610767324,0.244851199,0.289000541
"1421711_at",0.394556818,0.446765334,0.402328424
"1421721_a_at",0.965621288,0.65821112,0.396326467
"1421743_a_at",0.755407428,0.132336264,0.196947606
"1421750_a_at",0.028528221,0.025953268,0.649894708
"1421751_a_at",0.74122505,0.368125743,0.842998206
"1421771_a_at",0.628277835,0.187073048,0.951916072
"1421772_a_at",0.578899387,0.976878153,0.638491175
"1421785_at",0.872319675,0.846620785,0.244744489
"1421810_at",0.507568101,0.249363884,0.984246015
"1421812_at",0.161908912,0.456048478,0.520154325
"1421813_a_at",0.270806986,0.09273531,0.304704576
"1421817_at",0.469520419,0.015946922,0.029179611
"1421819_a_at",0.400561299,0.012285712,0.105688836
"1421821_at",0.019404056,0.094849867,0.347014341
"1421823_a_at",0.509532068,0.424704747,0.122540941
"1421828_at",0.089710977,0.006021853,0.963571903
"1421830_at",0.82795409,0.009383351,0.003053537
"1421835_at",0.177631326,0.156784344,0.290400287
"1421836_at",0.365812067,0.305214429,0.21868375
"1421839_at",0.051953197,0.132769475,0.872676638
"1421840_at",0.127276625,0.240518086,0.736232857
"1421845_at",0.350803429,0.884955434,0.367823661
"1421846_at",0.624401451,0.993158659,0.334352286
"1421847_at",0.999779465,0.678301643,0.296075244
"1421849_at",0.065421074,0.118972717,0.090501999
"1421853_at",0.049856879,0.243264371,0.391260221
"1421857_at",0.39565218,0.853449319,0.817740636
"1421861_at",0.159063847,0.001516013,0.857524912
"1421871_at",0.006797399,0.023373454,0.265650305
"1421872_at",0.49745684,0.412100053,0.792147679
"1421873_s_at",0.703673378,0.755436237,0.487075483
"1421874_a_at",0.147449392,0.186793315,0.908150652
"1421875_a_at",0.14514015,0.189311567,0.632248463
"1421876_at",0.183154828,0.05640458,0.904822001
"1421877_at",0.165436215,0.133168485,0.849542375
"1421879_at",0.471579766,0.525873738,0.604404432
"1421880_at",0.252680896,0.658353646,0.21797631
"1421887_a_at",0.122933823,0.005018027,0.302799669
"1421889_a_at",0.269877543,0.013964513,0.93086096
"1421894_a_at",0.417068079,0.86197258,0.036943827
"1421899_a_at",0.564339151,0.555280567,0.479782976
"1421901_at",0.338900838,0.201809109,0.558174485
"1421904_at",0.047131601,0.003075909,0.454558604
"1421908_a_at",0.264654491,0.00445369,0.968044739
"1421923_at",0.71617074,0.183940459,0.098325158
"1421939_a_at",0.952898338,0.692199088,0.429887124
"1421943_at",0.003987027,0.005112427,0.90874471
"1421947_at",0.34533614,0.120541386,0.036661301
"1421949_a_at",0.004966523,0.02014939,0.094318651
"1421950_at",0.107136923,0.062811312,0.965883091
"1421957_a_at",0.147939367,0.105483568,0.187529141
"1421960_at",0.039480059,0.001954527,0.606900834
"1421968_a_at",0.971204304,0.783742138,0.549054704
"1421969_a_at",0.692866441,0.003981965,0.08059627
"1421971_a_at",0.353178715,0.208579024,0.094509646
"1421982_a_at",0.989930233,0.627381368,0.471551514
"1421990_at",0.003282981,0.00595414,0.920992557
"1421998_at",0.257052908,0.798168321,0.841287569
"1422018_at",0.007199642,0.001201947,0.854762412
"1422031_a_at",0.320686506,0.067626255,0.306781396
"1422032_a_at",0.37768794,0.810102649,0.377603654
"1422041_at",1,0.16559664,0.21412408
"1422045_a_at",0.105570867,0.221862361,0.949173546
"1422063_a_at",0.344284447,0.051726067,0.318892868
"1422107_at",0.982800946,0.094285436,0.976681741
"1422117_s_at",0.018365755,0.11251235,0.945557267
"1422124_a_at",0.571643986,0.145019374,0.055579377
"1422130_at",0.015817069,0.006076207,0.759822157
"1422142_at",0.057821182,0.049461403,0.053590328
"1422147_a_at",0.367320081,0.141853437,0.112227021
"1422156_a_at",0.903823913,0.31361433,0.554469517
"1422157_a_at",0.482148089,0.605081455,0.089650941
"1422184_a_at",0.718305309,0.049393224,0.213337138
"1422186_s_at",0.441588478,0.970588758,0.492984094
"1422202_at",1,0.24936711,0.930725599
"1422216_at",0.160828555,0.358055297,0.733309323
"1422241_a_at",0.817230442,0.446320189,0.297751624
"1422288_at",0.855345236,0.955182961,1
"1422298_at",0.164746822,1,0.642997852
"1422302_s_at",0.534790801,0.132082249,0.044252635
"1422314_at",0.004957752,0.128459382,0.549946352
"1422351_at",1,0.976883692,1
"1422402_a_at",0.087192576,0.287311855,0.036637343
"1422407_s_at",0.593081795,0.487172479,0.653719549
"1422414_a_at",0.318139738,0.0199287,0.083361915
"1422418_s_at",0.460882119,0.678304789,0.981778289
"1422426_at",1,1,1
"1422429_at",0.070025734,0.025151171,0.983564132
"1422431_at",0.008853795,0.002403121,0.807915945
"1422432_at",0.961686277,0.132756892,0.076271104
"1422433_s_at",0.198338324,0.143538343,0.295476261
"1422438_at",0.466712243,0.211400805,0.932146338
"1422439_a_at",0.151395125,0.881946896,0.825688302
"1422441_x_at",0.194842416,0.987240202,0.844819798
"1422442_at",0.201908851,0.340919121,0.737040789
"1422443_at",0.005809736,0.008923014,0.74678908
"1422449_s_at",0.460912654,0.016648129,0.256218607
"1422450_at",0.471493233,0.766572609,0.981473906
"1422451_at",0.305909116,0.397646541,0.328571515
"1422453_at",0.801949699,0.611230337,0.716452641
"1422456_at",0.02759001,0.004505922,0.588109424
"1422457_s_at",0.519840966,0.457503921,0.583572305
"1422459_a_at",0.19661147,0.05677424,0.806768075
"1422463_a_at",0.394223107,0.319580755,0.467694674
"1422464_at",0.359528804,0.482796143,0.529399265
"1422466_at",0.105547222,0.402951509,0.050126466
"1422467_at",0.450867835,0.9408357,0.916540961
"1422468_at",0.17456699,0.461502158,0.198921419
"1422470_at",0.732571308,0.27756017,0.059809418
"1422471_at",0.150631743,0.060400401,0.415352436
"1422474_at",0.003108898,0.153525018,0.515136055
"1422475_a_at",0.98120887,0.428227636,0.6720066
"1422478_a_at",0.037076656,0.001241044,0.152350657
"1422479_at",0.017150319,8.23e-05,0.086056155
"1422480_at",0.221250654,0.817344149,0.505901291
"1422483_a_at",0.722003058,0.355869603,0.20804338
"1422484_at",0.805953984,0.158741209,0.143153668
"1422487_at",0.29840477,0.122415328,0.591135432
"1422489_at",0.357407717,0.266311106,0.815667587
"1422490_at",0.504960859,0.545778997,0.562337655
"1422491_a_at",0.136776798,0.28502628,0.324884491
"1422493_at",0.453144896,0.42573515,0.038957671
"1422495_a_at",0.285093612,0.729093165,0.952098621
"1422497_at",0.452693562,0.339599413,0.183949038
"1422502_at",0.492142906,0.741859863,0.309107334
"1422503_s_at",0.524922651,0.797775085,0.127292899
"1422506_a_at",0.271307328,0.164060423,0.644385339
"1422507_at",0.234215976,0.113319615,0.673207841
"1422508_at",0.474690305,0.885046148,0.419776748
"1422509_at",0.810928843,0.96588743,0.806479268
"1422512_a_at",0.349460373,0.851957777,0.194533302
"1422519_at",0.363341938,0.095443847,0.863928485
"1422521_at",0.369781509,0.036020071,0.7069556
"1422524_at",0.125392764,0.000859388,0.612586014
"1422525_at",0.729127785,0.878766891,0.940639366
"1422527_at",0.061749288,0.046675994,0.288962793
"1422528_a_at",0.638274534,0.140518599,0.414357733
"1422547_at",0.751712153,0.086162919,0.22513635
"1422548_at",0.40432467,0.430386061,0.486874849
"1422549_at",0.20981617,0.073783774,0.873693528
"1422553_at",0.128909572,0.078127172,0.329603394
"1422556_at",0.314441498,0.202219238,0.522691635
"1422557_s_at",0.461831868,0.463946468,0.251241899
"1422559_at",0.974048055,0.368623752,0.063669962
"1422568_at",0.822148114,0.964667663,0.789819282
"1422569_at",0.803158798,0.701488654,0.808312168
"1422576_at",0.50187735,0.054216239,0.306560519
"1422577_at",0.790440595,0.810527868,0.556475293
"1422578_at",0.744873423,0.191425762,0.294713498
"1422579_at",0.771958785,0.308731382,0.581208343
"1422581_at",0.135552213,0.169258368,0.07284546
"1422593_at",0.201408846,0.177178499,0.230233644
"1422594_at",0.015807225,0.001739814,0.541494955
"1422603_at",0.993010444,0.017172995,0.108931332
"1422608_at",0.1646519,0.036379218,0.885446645
"1422613_a_at",0.372058329,0.685452463,0.633750393
"1422614_s_at",0.368117867,0.020043065,0.7642018
"1422619_at",0.004956756,0.005824048,0.47837242
"1422620_s_at",0.020814327,0.008895558,0.379812213
"1422621_at",0.877013288,0.6260603,0.573728336
"1422622_at",0.781807723,0.229319139,0.69004771
"1422623_x_at",0.586558851,0.957638114,0.433918611
"1422630_at",0.361430561,0.8253992,0.658589058
"1422636_at",0.11521352,0.064928427,0.371511162
"1422650_a_at",0.116464699,0.056637061,0.222394817
"1422653_at",0.937729672,0.971753591,0.029280187
"1422660_at",0.398219825,0.979587623,0.919952993
"1422661_at",0.21989436,0.009792709,0.341952662
"1422662_at",0.814005326,0.180290913,0.277448561
"1422664_at",0.230987085,0.40835609,0.237957996
"1422665_a_at",0.713948218,0.695904154,0.712537336
"1422669_at",0.888345879,0.417821868,0.686504802
"1422670_at",0.069974227,0.00571035,0.345814605
"1422675_at",0.338047261,0.755424209,0.14723282
"1422676_at",0.805501539,0.282364722,0.824850481
"1422677_at",0.037022311,0.002032931,0.675498483
"1422678_at",0.587001347,0.045701349,0.322593831
"1422679_s_at",0.968876534,0.495948787,0.621577984
"1422680_at",0.436399821,0.50940131,0.593869328
"1422685_at",0.390477638,0.090791143,0.848204396
"1422686_s_at",0.258022575,0.072118183,0.822610753
"1422690_at",0.135436621,0.147833466,0.556441784
"1422692_at",0.006950792,0.057733225,0.8777462
"1422693_a_at",0.750331151,0.377835873,0.16756173
"1422697_s_at",0.186779039,0.349508071,0.742277172
"1422702_at",0.897624565,0.957014149,0.335845455
"1422712_a_at",0.240943634,0.97427012,0.041926192
"1422714_at",0.288135133,0.062268788,0.860930213
"1422715_s_at",0.905265939,0.78381495,0.435920143
"1422719_s_at",0.960295454,0.996651614,0.383925641
"1422732_at",0.131097921,0.035806202,0.962909006
"1422736_at",0.727078503,0.616265286,0.030148902
"1422737_at",0.145440895,0.303391435,0.716396446
"1422747_at",0.937593046,0.156655789,0.427853847
"1422751_at",0.073700154,0.037100479,0.246286493
"1422759_a_at",0.980501307,0.253270394,0.131914131
"1422764_at",0.57031153,0.1678612,0.285494171
"1422768_at",0.381333416,0.309077942,0.164264471
"1422769_at",0.867595324,0.163983982,0.293200753
"1422771_at",0.290695932,0.22860949,0.050860413
"1422772_at",0.843147134,0.315425231,0.343544226
"1422777_at",0.011806876,0.008828486,0.803722682
"1422778_at",0.369319737,0.597527533,0.036270277
"1422792_at",0.066487667,0.00240889,0.814048022
"1422794_at",0.53944841,0.503037074,0.217759155
"1422797_at",0.890998437,0.247764354,0.126741579
"1422799_at",0.422571667,0.022616359,0.532734427
"1422801_at",0.13057198,0.404103476,0.890982697
"1422810_at",0.720050247,0.960946926,0.979459058
"1422818_at",0.49234481,0.574139007,0.16782236
"1422843_at",0.405225727,0.703103931,1
"1422844_a_at",0.8731152,0.368164572,0.422658849
"1422845_at",0.602519512,0.894916849,0.334169213
"1422847_a_at",0.953489283,0.049086251,0.085021264
"1422848_a_at",0.483573709,0.085436697,0.051303323
"1422849_a_at",0.226249727,0.007803362,0.021670919
"1422850_at",0.005739972,0.000641817,0.909833349
"1422855_at",0.755944832,0.884627067,0.892199185
"1422857_at",0.397007955,0.324773976,0.331964884
"1422858_at",0.40131988,0.82978386,0.349066353
"1422875_at",0.083192535,0.201561342,0.939324779
"1422879_at",0.017547833,0.009024512,0.613311927
"1422880_at",0.386008684,0.240274644,0.23919287
"1422881_s_at",0.862019559,0.175215483,0.313648374
"1422883_at",0.242720669,0.555233718,0.539569194
"1422884_at",0.679871742,0.73691864,0.903902201
"1422886_a_at",0.271107707,0.222215873,0.092015069
"1422887_a_at",0.439514127,0.234290603,0.100155313
"1422888_at",0.799042496,0.784672819,0.135021189
"1422895_at",0.533236384,0.391038229,0.165754565
"1422898_s_at",0.019034884,0.001460367,0.016956406
"1422900_at",0.150904671,0.019550629,0.162953761
"1422902_s_at",0.050913771,0.033868794,0.794115257
"1422906_at",0.056421059,0.000730704,0.053985977
"1422907_at",0.655732591,0.855355188,0.834635257
"1422910_s_at",0.613670519,0.859302543,0.048499868
"1422927_at",1,0.955276339,0.10056561
"1422946_a_at",0.831077934,0.02519176,0.217920014
"1422959_s_at",0.400920866,0.229625912,0.944240225
"1422966_a_at",0.068987748,0.675937832,0.54738126
"1422968_at",0.533731394,0.980368838,0.047783059
"1422972_s_at",0.788069802,0.089374903,0.431983035
"1422976_x_at",0.5195808,0.601383891,0.440161082
"1422998_a_at",0.310042345,0.51611951,0.155559286
