"","Pval1","Pval2"
"104578_f_at",0.89465156,0.256564541
"104579_r_at",0.813344421,0.431313124
"104581_at",0.756709393,0.249130687
"104589_at",0.072559137,0.159597968
"104595_at",0.653060599,0.067196635
"104598_at",0.491305896,0.339474972
"104601_at",0.356346219,0.358186176
"104605_at",0.340956259,0.169237754
"104606_at",0.18732936,0.482377952
"104608_at",0.419550684,0.527475648
"104609_at",0.878863451,0.161642616
"104614_at",0.015014385,0.41653752
"104616_g_at",0.422225892,0.923049859
"104618_at",0.757618944,0.745836374
"104621_at",0.021947571,0.324953891
"104624_at",0.899959632,0.861465638
"104625_at",0.471412598,0.316738141
"104634_at",0.143908384,0.354743603
"104673_at",0.970829101,0.751598876
"104678_at",0.304598429,0.772522054
"104681_at",0.568072373,0.936951732
"104682_at",0.454450401,0.730150708
"104683_at",0.082950571,0.104123969
"104690_at",0.78865642,0.875509908
"104701_at",0.000476157,0.575909082
"104708_at",0.882191484,0.956438035
"104709_at",0.014743564,0.127585999
"104711_at",0.279993514,0.675228218
"104715_at",0.345514764,0.856877473
"104717_at",0.655227493,0.034768284
"104735_at",0.193469942,0.609574018
"104744_at",0.35829051,0.830875466
"104745_at",0.172441972,0.397223603
"104746_at",0.23540067,0.995306302
"104749_at",0.392085622,0.037816795
"104756_at",0.319456674,0.034972656
"104758_at",0.71027246,0.49667857
"104760_at",0.049731504,0.375510646
"104761_at",0.037505445,0.99786765
"104766_at",0.79012291,0.424869516
"160064_at",0.628738652,0.65816066
"160065_s_at",0.148846262,0.129410736
"160068_at",0.332804435,0.00029838
"160075_at",0.562186649,0.732476105
"160076_at",0.768952039,0.232424148
"160081_at",0.073939726,0.075637701
"160082_s_at",0.310933977,0.35190525
"160084_at",0.45904824,0.074191189
"160085_at",0.679315605,0.597823509
"160089_at",0.16552038,0.895027622
"160090_f_at",0.981725988,1
"160096_at",0.746356125,0.504475109
"160098_s_at",0.524806945,0.993279955
"160101_at",0.881741477,0.957337915
"160102_at",0.73764127,0.382972535
"160103_at",0.657525889,0.036218237
"160107_at",0.715087137,0.011347497
"160113_at",0.73884532,0.974764818
"160114_at",0.276203505,0.000342381
"160115_at",0.629659343,0.186417915
"160118_at",0.642442031,0.964645824
"160124_r_at",0.029436917,0.995761889
"160125_at",0.577599223,0.38043254
"160127_at",0.148924865,3.46e-06
"160128_at",0.477082745,0.132246778
"160129_at",0.367650757,0.845778261
"160130_at",0.531679341,0.340569712
"160135_at",0.483197346,0.356735052
"160138_at",0.038036313,0.272909663
"160139_at",0.558621557,0.66039483
"160144_at",0.296302361,1
"160146_r_at",0.898899649,0.723460193
"160149_at",0.201860692,0.555036879
"160150_f_at",0.012362777,0.81689625
"160152_at",0.225389878,0.877444947
"160158_at",0.411746727,0.627792886
"160164_at",0.484711897,0.926314905
"160165_at",0.012056537,0.002041647
"160167_at",0.57333584,0.289646779
"160168_at",0.625456047,0.359073115
"160169_at",0.339566548,0.654225737
"160174_at",0.172017202,0.779365109
"160177_at",0.096170534,0.690395773
"160178_r_at",0.232940409,0.473766294
"160180_at",0.619196009,0.958373249
"160182_at",0.923762661,0.031215352
"160183_f_at",0.110374341,0.170716295
"160184_at",0.144997015,0.553894261
"160188_at",0.013413897,0.03202169
"160192_at",0.989791467,0.068163371
"160193_at",0.083717816,0.864845232
"160195_at",0.295732404,0.604960517
"160198_at",0.228323028,0.005948133
"160199_at",0.000928131,0.001484044
"160200_at",0.698587748,0.067487455
"160202_at",0.238489278,0.002117558
"160204_at",0.025373952,0.511637478
"160205_f_at",0.786428033,0.033415401
"160207_at",0.007968794,0.634235517
"160211_at",0.838468243,0.599180601
"160215_at",0.44289529,0.27125111
"160218_at",0.182041384,0.261360498
"160226_at",0.800729469,0.522580934
"160228_at",0.719386175,0.929516618
"160230_at",0.460081096,0.663018003
"160234_at",0.656950908,0.568087471
"160235_at",0.000494094,0.244086979
"160237_at",0.008461546,0.034699374
"160239_at",0.495096574,0.061345107
"160240_at",0.230348567,0.54740067
"160249_at",0.616172273,0.502953908
"160250_at",0.413886103,0.811760273
"160251_at",0.494543291,0.524183096
"160252_at",0.111085122,0.039308544
"160256_at",0.878490987,0.85930404
"160257_at",0.004502321,0.843438379
"160261_i_at",0.50465735,0.006394146
"160262_at",0.88626201,0.479885305
"160263_r_at",0.354289475,0.958751725
"160265_at",0.239582271,0.346905914
"160266_r_at",0.56462752,0.355717137
"160267_at",0.095785069,0.262350233
"160270_at",0.800571111,0.900011071
"160271_at",0.183265736,0.597211963
"160272_at",0.066735329,0.038526955
"160273_at",0.97285608,0.071525275
"160281_at",0.365536857,0.71110526
"160284_at",0.712688074,0.720715028
"160286_at",0.570270634,0.103830427
"160287_at",0.148855351,0.580983294
"160288_at",0.496827881,0.394746525
"160289_s_at",0.662468855,0.452721226
"160291_at",0.031859732,0.941214863
"160293_at",0.947853294,0.650429485
"160295_at",0.816995089,0.122365158
"160296_at",0.654456786,0.275781093
"160298_at",0.001266594,2.03e-05
"160299_at",0.711003523,0.658521554
"160300_at",0.847683267,0.87871469
"160301_at",0.135364665,0.771481402
"160305_at",0.442764382,0.003897915
"160306_at",0.000998362,0.469847946
"160309_at",0.000608298,0.30270164
"160310_at",0.527076359,0.119237661
"160314_at",0.343298528,0.840267111
"160320_at",4.63e-06,0.06906493
"160321_at",0.398842734,0.034599218
"160322_at",8.06e-05,0.998303187
"160323_at",0.012338558,0.340665284
"160326_at",0.248575031,3.26e-06
"160327_at",0.824087459,0.269197193
"160330_at",0.522048042,0.854460839
"160333_at",0.762972402,0.289781187
"160335_at",0.000866425,0.832173444
"160341_at",0.554550167,0.276566048
"160346_at",0.120518564,0.183399009
"160347_at",0.061090676,0.841460346
"160350_at",0.658230884,0.001135933
"160353_i_at",0.012949291,0.229295006
"160356_at",0.476130005,0.114322933
"160360_at",0.434132574,0.44645399
"160361_at",0.004637125,0.205079331
"160362_at",0.187085629,0.180489275
"160366_at",0.786422019,0.874471939
"160373_i_at",0.007069337,0.029477036
"160375_at",3.87e-06,0.13372305
"160376_at",0.035105746,0.091877334
"160377_at",0.396930606,0.465736472
"160380_at",0.325465819,0.394639724
"160381_at",0.556694494,0.653511045
"160383_at",0.208006674,0.817591612
"160384_at",0.040526637,0.542442566
"160385_at",0.646742871,0.725116037
"160386_at",0.755273239,0.814126675
"160391_at",0.036356079,0.690645593
"160393_at",0.909952958,0.39095664
"160394_at",0.589779319,0.027739338
"160395_at",0.711099034,0.977558121
"160396_at",0.341201226,0.01986278
"160397_at",0.274928509,0.333000132
"160399_r_at",0.071604721,0.696930924
"160402_at",0.629910765,0.48144999
"160403_at",0.007325274,0.758500305
"160407_at",0.068695177,0.970316753
"160415_at",0.682533481,0.385447977
"160417_at",0.634830933,0.007327848
"160424_f_at",0.019139185,0.902847335
"160426_at",0.922296727,0.923050016
"160428_at",0.862190211,0.589563992
"160430_at",0.020592026,0.197437406
"160431_at",0.817704221,0.308425195
"160434_at",0.438023239,0.462405059
"160437_at",0.985698017,0.347788886
"160440_at",0.840167313,0.777250949
"160441_at",0.49854101,0.157445009
"160455_s_at",0.908169071,0.705050965
"160457_at",0.016207629,0.15096104
"160460_at",0.09696681,0.584964491
"160461_f_at",0.056445493,0.08080754
"160462_f_at",0.051666626,0.681309473
"160465_at",0.866959079,0.932171689
"160468_at",0.012934257,0.012445099
"160476_f_at",0.699374296,0.592715296
"160477_at",0.647821207,0.362222587
"160479_at",0.720674468,0.113777782
"160481_at",0.135593708,0.00559881
"160482_at",0.000602262,0.291023189
"160483_at",0.373978317,0.128266443
"160484_at",0.754456439,0.902026897
"160490_at",0.346501354,0.649917955
"160493_at",0.006322065,0.033447776
"160494_at",0.151729984,0.994513202
"160496_s_at",0.726316192,0.455230127
"160499_at",0.092967404,0.001171012
"160503_at",0.952954473,0.219735751
"160509_at",0.902306233,0.776864342
"160511_at",0.411651504,0.131271166
"160512_at",0.856476783,0.577455095
"160518_at",0.077714038,0.655300548
"160519_at",0.0400817,0.059418656
"160520_at",0.967110919,0.005964731
"160529_r_at",0.761271426,0.178673944
"160530_at",0.117131986,0.237020315
"160531_at",0.512529839,0.672786691
"160532_at",0.971800486,0.656415227
"160533_r_at",0.024391153,0.116333878
"160534_at",0.695253613,0.307823936
"160535_at",0.31334878,0.927955047
"160539_at",0.330033075,0.246474961
"160543_at",0.827095661,0.810165965
"160547_s_at",0.244762104,0.007467876
"160549_at",0.352013436,0.768694189
"160550_i_at",0.153079548,0.098549432
"160551_at",0.982196773,0.68556905
"160552_at",0.049064108,0.844183543
"160554_at",0.257807017,0.097113035
"160555_r_at",1,1
"160556_at",0.193784267,0.506769528
"160559_at",0.362459158,0.508998365
"160562_at",0.919554386,0.502766537
"160563_at",0.434550032,0.801676222
"160564_at",0.344086933,0.023725318
"160569_at",0.039999266,0.652605554
"160571_at",0.32614307,0.197480887
"160572_at",0.466074828,0.533311982
"160575_at",0.383248562,0.117515351
"160577_at",0.93021988,0.185425964
"160578_at",0.126216914,0.256508149
"160580_at",0.358536276,0.025564436
"160593_at",0.491700773,0.901358075
"160605_s_at",0.523129688,0.067319848
"160614_at",0.397345319,0.021493519
"160630_at",0.733528855,0.63826292
"160633_at",0.818325498,0.742827836
"160638_at",0.083029062,0.578493707
"160639_at",0.171537973,0.540764833
"160643_at",0.039688313,0.107830563
"160648_at",0.294441012,0.406708977
"160652_at",0.415599553,0.345197367
"160657_at",0.149674555,0.866459681
"160658_at",0.933270041,0.210575049
"160662_r_at",0.909243345,0.574250931
"160676_at",0.015294421,0.000280123
"160678_at",0.17715812,0.86481133
"160679_at",0.333454589,0.593743633
"160681_at",0.235428911,0.8190295
"160688_at",0.347860684,0.693647659
"160698_s_at",0.476216408,0.36639607
"160704_at",0.90514341,0.996250681
"160708_at",0.475918848,0.000566395
"160711_at",0.791833941,0.000722168
"160718_at",0.738565218,0.085652874
"160726_at",0.162151106,0.12524522
"160727_at",0.651699976,0.705497022
"160731_at",0.243600713,0.441425507
"160734_at",0.209624834,0.32161616
"160739_at",0.242002726,0.628252808
"160742_at",0.188890321,0.953111571
"160743_at",0.869097749,0.593693251
"160755_at",0.562880283,0.30191433
"160761_at",0.438182757,0.216633697
"160764_at",0.851349229,0.089911569
"160765_at",0.306357757,0.98521217
"160769_at",0.209552089,0.085723758
"160775_at",0.452291973,0.461254106
"160776_at",0.385375487,0.413429627
"160779_at",0.973541415,0.928220381
"160783_at",0.285739857,0.933391291
"160785_at",0.405664295,0.455928847
"160789_at",0.586066047,0.666867205
"160792_at",0.400692106,0.547006509
"160800_at",0.634319344,0.142910768
"160801_at",0.312532775,0.908161416
"160803_at",0.828044079,0.642089317
"160807_at",0.223715467,0.003415192
"160820_at",0.480301607,0.170079187
"160823_at",0.684603819,8.85e-05
"160824_at",0.108029136,0.699558645
"160832_at",1.38e-05,0.173568811
"160833_at",0.964914764,0.783077573
"160841_at",1.52e-08,0.015605118
"160846_at",0.503186965,0.717652621
"160848_at",0.144348983,0.068177318
"160849_at",0.339316139,0.149213539
"160850_at",0.308932862,0.30627868
"160859_s_at",0.291345835,0.040607144
"160875_at",0.815640414,0.091858814
"160885_at",0.05887871,0.391889779
"160887_at",0.391960989,0.817158768
"160894_at",1.06e-05,0.41362186
"160901_at",0.006617061,0.236469707
"160907_at",0.136820039,0.754107316
"160908_r_at",0.495204334,0.955718925
"160930_at",0.31361826,0.531359214
"160933_at",0.177055971,0.057755012
"160936_at",0.287032144,0.144495199
"160949_at",0.14674606,0.28139111
"160955_at",0.667920861,0.980024268
"160964_at",0.855972391,0.500501499
"160966_at",0.471082408,0.367359566
"160975_at",0.443740677,0.001721
"160976_at",0.839065204,0.845491378
"160979_at",0.038489493,0.000640387
"160987_r_at",0.101136733,0.945698618
"160988_r_at",0.894356035,0.49054002
"160990_r_at",0.39816886,0.325113946
"160991_at",0.670618471,0.034961625
"160995_at",0.931727931,0.941669939
"160998_at",0.606256236,0.304317333
"160999_r_at",0.44335749,0.71951432
"161014_at",0.643221551,0.914560317
"161016_at",0.045652184,0.465853685
"161025_f_at",0.824953417,0.032989659
"161055_r_at",0.636606009,0.820473109
"161064_f_at",0.958196324,0.275876042
"161066_at",0.002236055,0.1685792
"161074_at",0.589829976,0.217562302
"161077_f_at",0.922092015,0.577836503
"161081_at",0.788802137,0.013424044
"161086_at",0.090904193,0.328004353
"161104_at",0.828545478,0.074618689
"161111_f_at",0.365544114,0.661719942
"161122_f_at",0.420623129,0.056772516
"161145_f_at",0.573237923,0.377404836
"161149_r_at",0.299507596,0.526327543
"161156_r_at",0.619038032,0.540049583
"161160_f_at",0.173471814,0.846411711
"161161_r_at",0.031616275,0.24880778
"161175_r_at",0.212945636,0.186561106
"161183_at",0.831502792,0.417253085
"161184_f_at",0.006675479,0.131502541
"161199_at",0.500952313,0.778934626
"161235_f_at",0.222334411,0.819764309
"161238_f_at",0.982715685,0.304216916
"161250_at",0.501457576,0.694505587
"161258_at",0.810221149,0.626139374
"161270_i_at",0.420091915,0.012267883
"161284_r_at",0.770692236,0.545028618
"161317_r_at",0.357824427,0.891247301
"161325_at",0.588530163,0.527563178
"161326_f_at",0.344455687,0.156480525
"161327_f_at",0.988314647,0.267754712
"161342_r_at",0.187769716,0.799446988
"161348_r_at",0.038693337,0.503635244
"161356_at",0.285714794,0.315617122
"161357_r_at",0.866470947,0.355451527
"161359_s_at",0.091126794,0.250327361
"161360_at",0.920484854,0.876287269
"161363_r_at",0.932646254,0.319984275
"161367_f_at",0.999292656,0.606642502
"161378_r_at",0.778135609,0.658051828
"161386_f_at",0.284693294,0.789392818
"161392_f_at",0.348983978,0.607626818
"161400_f_at",0.021081813,0.620807498
"161401_f_at",0.000947199,0.873270025
"161421_r_at",0.668991333,0.654737886
"161446_r_at",0.745281864,0.699761269
"161452_f_at",0.524495993,0.966366974
"161462_r_at",0.718170518,0.694904061
"161472_r_at",0.013965552,0.638873175
"161476_at",0.842760217,0.888813111
"161480_i_at",0.461399957,0.279914125
"161487_f_at",0.502800972,0.566741893
"161494_f_at",0.871919015,0.281367917
"161495_r_at",0.283807323,0.255033305
"161498_at",0.988272224,0.087032013
"161499_f_at",0.000129477,0.000510348
"161500_i_at",0.753436536,0.741385843
"161510_f_at",0.115659015,0.114213899
"161512_r_at",0.497391962,0.70044261
"161522_i_at",0.001631719,0.123870528
"161524_r_at",0.67161632,0.663088074
"161528_r_at",0.185961081,0.971264005
"161535_at",0.545794462,0.59946337
"161562_f_at",0.45116036,0.939909431
"161573_at",0.738917542,0.761576294
"161596_f_at",0.855347168,0.834716848
"161610_at",0.426405658,0.732398422
"161633_r_at",0.175750295,0.834461827
"161644_f_at",0.630638038,0.893058629
"161650_at",0.869558096,0.952492745
"161657_f_at",0.568706203,0.546970086
"161682_f_at",0.802294214,0.924425143
"161683_r_at",0.930587399,0.87353656
"161684_r_at",0.072562208,0.264072961
"161695_f_at",0.231821007,0.798409789
"161696_f_at",0.773659564,0.298768248
"161710_r_at",0.3916224,0.785045026
"161774_f_at",0.876333193,0.711894126
"161786_f_at",0.631401134,0.710837249
"161796_r_at",0.866694373,0.695211059
"161815_f_at",0.002474091,0.002509542
"161818_f_at",0.917728165,0.770676574
"161826_r_at",0.790676739,0.235923699
"161827_f_at",0.069503012,0.415315614
"161859_f_at",0.381410483,0.003720148
"161860_f_at",0.481705919,0.982934176
"161864_f_at",0.8557264,0.025290636
"161888_r_at",0.362259325,0.698401464
"161889_f_at",0.582310127,0.287920749
"161901_r_at",0.43083544,0.99526278
"161913_r_at",0.903632315,0.929335764
"161920_r_at",0.453272651,0.575133177
"161932_r_at",0.615036599,0.649182266
"161951_f_at",0.107878004,0.895131811
"161970_f_at",0.207025196,0.701358954
"161980_f_at",0.998432548,0.046516359
"161983_f_at",0.464867517,0.49320515
"161990_f_at",0.986629776,0.698645473
"161995_r_at",0.897095125,0.858852396
"161997_f_at",0.069208173,0.095104125
"162000_r_at",0.509334248,0.052225237
"162006_r_at",0.462078392,0.789505009
"162014_i_at",0.175945912,0.939436583
"162033_f_at",0.480834992,0.21908228
"162050_at",0.635478937,0.473184575
"162057_f_at",0.312189557,0.35695291
"162077_f_at",0.208267872,0.332937972
"162091_f_at",0.353166321,0.505887252
"162094_f_at",0.028913086,0.225396034
"162104_f_at",0.668635822,0.632576035
"162125_f_at",0.12007036,0.440559667
"162129_f_at",0.008051458,0.017659892
"162168_r_at",0.423580726,0.585556359
"162172_f_at",0.465494729,0.986350968
"162174_at",0.082301797,0.806585846
"162179_r_at",0.314977526,0.769665457
"162201_r_at",0.71495543,0.44164096
"162234_f_at",0.095376661,0.101435292
"162248_f_at",0.150058833,0.971502405
"162252_f_at",0.31137178,0.100762521
"162276_i_at",0.317362226,0.00011008
"162279_f_at",0.967263756,0.882102242
"162292_r_at",0.634334232,0.962705478
"162299_f_at",0.873218988,0.088219014
"162311_f_at",0.766552807,0.823251857
"162317_r_at",0.949196328,0.74609523
"162326_at",0.603948469,0.979338913
"162328_f_at",0.980640017,0.516874159
"162340_r_at",0.476631926,0.936794022
"162343_f_at",0.586127553,0.423220469
"162347_f_at",0.527756412,0.346107514
"162379_r_at",0.56258344,0.728042784
"162397_r_at",0.002334858,0.578169733
"162399_f_at",0.152155279,0.286961318
"162400_f_at",0.32875607,0.628395144
"162402_r_at",0.483013551,0.74094548
"162420_r_at",0.133335565,0.447492529
"162426_f_at",0.938971101,0.913463249
"162428_i_at",0.582301024,0.307021256
"162438_f_at",0.410810361,0.706879105
"162457_f_at",0.120304889,0.327997796
"162460_f_at",0.357961816,0.893751235
"162479_f_at",0.41530487,0.918711028
"162486_f_at",0.997711843,0.621912864
"162490_f_at",0.089681229,0.697868517
"162496_r_at",0.398643684,0.456267597
"162501_at",0.525592082,0.625570556
"92191_at",0.607199651,0.004097705
"92202_g_at",0.007920203,0.001598539
"92211_at",0.009644844,0.340109048
"92216_at",0.823277435,0.088343905
"92225_f_at",0.502669266,0.90067931
"92235_g_at",0.782114036,0.20376255
"92241_at",0.912452299,0.150134741
"92257_at",0.163445534,0.120294745
"92259_at",0.404242656,0.706939933
"92262_at",0.908801633,0.597098745
"92265_f_at",0.843362613,0.323085873
"92269_r_at",0.963003372,0.131493006
"92282_at",0.049439151,0.792391769
"92291_f_at",0.26592124,0.548688486
"92294_at",0.542663858,0.996234169
"92303_at",0.005911406,0.61174022
"92315_at",0.47714276,0.056145533
"92323_at",0.593216081,0.380767171
"92350_at",0.406136421,0.87649433
"92352_at",0.325634015,0.260963904
"92360_at",0.874708879,0.045338016
"92366_at",0.716805413,0.001661451
"92375_at",0.249433226,0.453657694
"92376_at",0.218708132,0.496317074
"92384_at",0.715395237,0.081426396
"92388_at",0.203763086,0.32692632
"92394_f_at",0.962585142,0.754904832
"92401_at",0.16360951,0.070948403
"92408_at",0.443690856,0.009433369
"92439_at",0.621602851,0.332965699
"92440_at",0.854294224,0.153434946
"92460_at",0.482410069,0.770566946
"92484_at",0.702569907,0.388491987
"92502_at",0.484019667,0.555493112
"92519_at",0.867379665,0.05433847
"92526_f_at",0.515466167,0.723166944
"92527_at",0.573446716,0.01743105
"92532_at",0.993652029,0.540025879
"92539_at",0.000304524,0.000379238
"92542_at",0.17393986,0.11186361
"92543_at",0.946080028,0.983499578
"92544_f_at",0.6948674,0.578932681
"92547_at",0.805534897,0.291584418
"92553_at",0.107022788,0.670674917
"92562_at",0.015342012,0.355755824
"92564_at",0.899548582,0.183221581
"92565_at",0.012369422,0.672639211
"92566_at",0.205462729,0.274260062
"92571_at",0.478675798,0.007641267
"92574_at",0.661671808,0.336193445
"92575_at",0.711288461,0.862066174
"92577_f_at",0.882798685,0.079085374
"92580_at",0.244456873,0.800719617
"92581_at",0.278494857,0.090174863
"92586_at",0.830359634,0.523679681
"92587_at",0.876849705,0.815196122
"92589_at",0.831594299,0.381723068
"92595_r_at",0.933985579,0.548434858
"92597_s_at",0.065265515,0.876850199
"92598_at",0.097273881,0.940361285
"92603_at",0.55641284,0.518408967
"92611_at",0.13385949,0.005568074
"92614_at",0.058785436,0.916176615
"92615_at",0.891032611,0.594941202
"92618_at",0.576253261,0.103240809
"92621_at",0.002666398,0.464449337
"92622_at",0.944301315,0.607929391
"92623_at",0.115367973,0.959282424
"92625_at",0.01507055,0.532088982
"92628_at",0.766534799,0.083809386
"92629_f_at",0.516045586,0.217705248
"92632_at",0.444905238,0.202579008
"92633_at",0.006659067,0.010336908
"92635_at",0.206620973,0.566382973
"92636_f_at",0.031343347,0.265856333
"92637_at",0.625105918,0.159791154
"92638_at",0.741358308,0.322641488
"92640_at",0.5509697,0.8192242
"92642_at",0.27165136,0.259712084
"92646_at",0.904989745,0.223987857
"92647_at",0.837780113,0.167698209
"92660_f_at",0.874980866,0.210750106
"92751_i_at",0.826171022,0.184833219
"92754_at",0.768852168,0.796380012
"92756_r_at",0.431999477,0.650037828
"92768_s_at",0.673391335,0.752060727
"92769_at",0.751713607,0.924725313
"92770_at",0.181359568,0.014261307
"92771_at",0.183874797,0.012345576
"92773_at",0.012611585,0.127038515
"92775_at",0.970708371,0.469138224
"92783_at",0.81231503,0.435790504
"92790_at",0.002234547,0.100463417
"92794_f_at",0.054291219,0.202680688
"92797_at",0.486087898,0.01195166
"92798_at",0.426582799,0.910453477
"92799_g_at",0.998789634,0.564556891
"92800_i_at",0.135981756,0.089230358
"92807_at",0.71247251,0.339024389
"92808_f_at",0.06032841,0.765554089
"92809_r_at",0.014973348,0.338962704
"92816_r_at",0.67853432,0.013183176
"92817_at",0.908351958,0.894065415
"92818_at",0.747566768,0.332921525
"92824_at",0.066928881,0.199348728
"92828_at",0.89953342,0.936582914
"92829_at",0.769131478,0.309883052
"92831_at",0.382966801,0.421700171
"92834_at",0.134462142,0.887509442
"92848_at",0.000631715,0.505260989
"92850_at",0.188554169,0.002029935
"92851_at",0.046350919,0.511475727
"92852_at",0.434728777,0.830109317
"92854_at",0.082153529,0.536722872
"92855_at",0.024526462,0.609882043
"92871_at",0.109086533,0.117758739
"92874_f_at",0.895362041,0.670753984
"92877_at",0.401295402,0.897310341
"92880_at",0.599583665,0.921690472
"92882_at",0.12082953,0.806676243
"92884_at",0.175128869,0.569583725
"92893_at",0.700834737,0.209443773
"92914_at",0.616403157,0.413305645
"92915_s_at",0.683833978,0.848747705
"92918_at",0.011021344,0.805772426
"92921_at",0.582068882,0.748657744
"92922_at",0.246417486,0.532109761
"92925_at",0.976723552,0.070113621
"92942_at",0.416489815,0.79274361
"92958_at",0.207804455,0.356129171
"92968_at",0.892493376,0.972288877
"92986_g_at",0.932374395,0.450716659
"92993_r_at",0.166206983,0.898484201
"93008_at",0.738393412,0.584912067
"93009_at",0.004105351,0.202510069
"93011_at",0.990685443,0.308681002
"93013_at",0.534776437,0.00076901
"93014_at",0.919225951,0.821770083
"93015_at",0.136850248,0.81726511
"93016_at",0.51335601,0.075186744
"93018_at",0.114189643,0.190693678
"93019_at",0.87939512,0.556035619
"93025_at",0.68083503,0.370284354
"93026_at",0.123081756,0.390086812
"93028_at",0.780375173,0.01382206
"93029_at",0.087354297,0.848027481
"93030_at",0.023944193,0.009286841
"93037_i_at",0.938775942,0.227621778
"93040_at",0.734134282,0.41167182
"93042_at",0.67337768,0.003940577
"93043_at",0.98149998,0.170728238
"93045_at",0.282334869,0.431126329
"93047_at",0.408661074,0.105399308
"93048_at",0.570299262,0.360306203
"93051_at",0.001929621,0.059808425
"93055_at",0.980608162,0.762103742
"93057_at",0.257396511,0.621608308
"93059_at",0.714326691,0.80652526
"93062_at",0.319439765,0.242577613
"93066_at",0.733796962,0.223517107
"93067_f_at",0.291992045,0.05136316
"93068_r_at",0.498447759,0.674732472
"93070_at",0.103343837,0.565698949
"93073_at",0.52951248,0.929299303
"93076_at",0.717524914,0.014702147
"93077_s_at",0.873824578,0.876802855
"93078_at",0.01642973,0.148623737
"93080_at",0.747024081,0.419746244
"93081_at",0.890644478,0.600042842
"93082_at",0.185545388,0.02719986
"93083_at",4.78e-08,0.29993058
"93086_at",0.498888253,0.107362333
"93088_at",0.907221175,0.000683695
"93089_at",0.847111395,0.081134216
"93093_at",0.123855593,0.032746332
"93095_at",0.065162668,0.033431401
"93097_at",0.922585694,0.965817162
"93101_s_at",0.220936501,0.127477428
"93102_f_at",0.630840856,0.955780979
"93104_at",0.0162666,0.003157069
"93108_at",0.004391537,0.498717881
"93109_f_at",1,0.172991217
"93111_at",0.941854504,0.478468774
"93114_at",0.033608917,0.203356085
"93116_at",0.036935959,0.012840007
"93117_at",0.848280532,0.015958611
"93118_at",0.033133186,0.04936924
"93119_at",0.346006207,0.94962112
"93120_f_at",0.13815774,0.006778937
"93121_at",0.269876641,0.647908398
"93144_at",0.841346451,0.323064135
"93155_at",0.734563051,0.820574002
"93169_at",0.279418852,0.437680207
"93187_at",0.884943656,0.410833126
"93190_at",0.243588851,0.572995047
"93193_at",0.582011017,0.783525072
"93225_s_at",0.942265655,0.97670113
"93246_at",0.769381974,0.068661228
"93252_at",0.642514996,0.277761993
"93254_at",0.482081902,0.318147178
"93256_at",0.499370765,0.858564064
"93257_at",0.73467636,0.17205676
"93261_at",0.963946582,0.165987276
"93266_at",0.80205364,1
"93267_at",0.867929832,0.017774961
"93268_at",0.005627378,0.789250345
"93269_at",0.207474633,0.593419244
"93270_at",0.056897947,0.450660527
"93271_s_at",0.562083848,0.868636092
"93277_at",0.554593911,0.079265027
"93278_at",0.132971461,0.223132704
"93284_at",0.987437517,0.948340904
"93285_at",0.000581695,0.563306089
"93288_at",0.853258992,0.2772159
"93290_at",0.017321363,0.008047312
"93293_at",0.781008022,0.693012307
"93294_at",0.000199683,0.757251553
"93295_at",0.177210115,0.462710712
"93306_at",0.123280451,0.815935368
"93310_at",0.556390554,0.028343601
"93312_at",0.030311995,0.453076839
"93315_at",0.851565996,0.098251192
"93316_at",0.230642627,0.70000552
"93324_at",0.027049712,0.015160726
"93333_at",0.805910966,0.501092374
"93336_at",0.207783221,0.817154231
"93337_at",0.825030689,0.157153921
"93340_f_at",0.45361015,0.018117093
"93346_at",0.75809692,0.276711482
"93347_at",0.588319915,0.197011967
"93352_at",0.783903767,0.770123996
"93354_at",1,0.618910903
"93358_at",0.545559638,0.083262894
"93362_at",0.97202603,0.692999393
"93365_s_at",0.754222723,0.215679533
"93366_r_at",0.420420971,0.158689818
"93378_at",0.933908965,0.493949337
"93392_at",0.732393431,0.006569314
"93417_at",0.249904357,0.835417966
"93424_at",0.616152362,0.054580784
"93426_at",0.699938309,0.168322016
"93427_at",0.947011911,0.322555988
"93439_f_at",0.677882794,0.643434924
"93440_at",0.472707165,0.051018573
"93451_at",0.037458253,0.524436244
"93454_at",0.196289729,0.613651032
"93455_s_at",0.483619669,0.749920221
"93459_s_at",0.115720708,8.64e-06
"93465_at",0.129041744,0.576298829
"93470_at",0.280562966,0.681175689
"93471_at",0.051163191,3.96e-08
"93472_at",0.372867804,0.690757602
"93482_at",0.725015966,0.198965287
"93485_at",0.391927463,0.475381504
"93490_at",0.89633588,0.997877525
"93491_f_at",0.790272429,0.921487586
"93493_at",0.319798614,0.015450924
"93496_at",1.17e-05,0.217339812
"93497_at",0.356601887,0.022849229
"93498_s_at",4.69e-05,0.400487586
"93499_at",0.934393762,0.872529745
"93500_at",1.74e-05,0.042431866
"93501_f_at",0.80350862,0.944437995
"93509_at",0.910803293,0.073448351
"93512_f_at",0.01927305,0.876785645
"93516_at",0.113394396,0.716299607
"93519_s_at",0.834883908,0.520102224
"93528_s_at",0.506859136,0.000414268
"93530_at",0.153100875,0.068249242
"93531_at",0.014061051,0.042252228
"93534_at",0.005714727,0.067302085
"93535_at",0.404305808,0.228265408
"93536_at",0.606625683,0.579666308
"93539_at",0.743766184,0.541994507
"93541_at",0.003573634,0.229448708
"93543_f_at",1,0.319236071
