"","CASEID","WEIGHT","PROVINCP","URBRUR","URBSIZEP","HHINCTOT","M101"
"4996",14784,1680,24,1,1,220000,7975
"4997",14427,1523,24,1,1,79000,1625
"4998",13445,1139,24,1,1,65000,1475
"4999",13744,1220,24,1,1,110000,3949
"5000",13973,1315,24,1,1,140000,12139
"5001",14881,1723,24,1,1,50000,3312
"5002",13802,1242,24,1,1,42000,768
"5003",14100,1370,24,1,1,77000,1340
"5004",14083,1363,24,1,1,39000,317
"5005",14182,1408,24,1,1,83000,1949
"5006",13906,1287,24,1,1,9500,15
"5007",13603,1178,24,1,1,83000,1071
"5008",13084,1046,24,1,1,22000,480
"5009",11212,679,24,1,1,36000,2215
"5010",12478,902,24,1,1,26000,734
"5011",15379,1956,24,1,1,280000,15552
"5012",12914,1001,24,1,1,21000,1477
"5013",15275,1896,24,1,1,47000,1110
"5014",14181,1408,24,1,1,59000,2560
"5015",13329,1106,24,2,3,76000,2360
"5016",12387,884,24,2,3,25000,548
"5017",13669,1195,24,2,3,46000,911
"5018",11373,702,24,2,3,54000,3215
"5019",13498,1147,24,2,3,51000,1305
"5020",12142,837,24,2,3,12000,726
"5021",13830,1256,24,2,3,9100,230
"5022",12532,917,24,2,3,120000,4582
"5023",12386,884,24,2,3,21000,360
"5024",12272,859,24,2,3,8000,644
"5025",10625,596,24,2,3,37000,1103
"5026",12935,1006,24,2,3,58000,2720
"5027",11161,670,24,2,3,49000,956
"5028",11494,724,24,2,3,52000,1828
"5029",12141,837,24,2,3,12000,484
"5030",12258,857,24,2,3,64000,3668
"5031",13733,1217,24,2,3,23000,572
"5032",13014,1031,24,2,3,50000,1937
"5033",12597,930,24,2,3,30000,494
"5034",12178,844,24,2,3,50000,1839
"5035",11056,653,24,2,3,29000,1073
"5036",13885,1278,24,2,3,22000,1121
"5037",12770,962,24,2,3,12000,1754
"5038",14032,1342,24,2,3,59000,1526
"5039",14361,1494,24,2,3,58000,3847
"5040",14827,1694,24,2,3,80000,2787
"5041",15294,1907,24,2,3,38000,893
"5042",14825,1693,24,2,3,58000,5646
"5043",14711,1650,24,2,3,49000,1722
"5044",15501,2010,24,2,3,77000,14617
"5045",13766,1229,24,2,3,48000,562
"5046",16055,2412,24,2,3,33000,29215
"5047",14744,1663,24,2,3,21000,30
"5048",16104,2467,24,2,3,29000,670
"5049",11874,792,24,2,3,39000,3975
"5050",13292,1096,24,2,3,50000,2344
"5051",12492,908,24,2,3,63000,1611
"5052",11974,807,24,2,3,16000,1854
"5053",14239,1436,24,2,3,12000,125
"5054",11498,725,24,2,3,22000,1881
"5055",12847,978,24,2,3,13000,14
"5056",13751,1223,24,2,3,55000,1741
"5057",13837,1259,24,2,3,58000,1816
"5058",13332,1107,24,2,3,70000,1440
"5059",14238,1436,24,2,3,9600,500
"5060",14081,1360,24,2,3,130000,1211
"5061",12218,852,24,2,3,36000,2673
"5062",11160,670,24,2,3,95000,4066
"5063",13613,1181,24,2,3,91000,2087
"5064",14729,1660,24,1,1,55000,5860
"5065",14272,1452,24,1,1,22000,2322
"5066",14271,1452,24,1,1,18000,537
"5067",13005,1028,24,1,1,11000,4032
"5068",14815,1690,24,1,1,24000,2668
"5069",14270,1452,24,1,1,15000,1091
"5070",14269,1452,24,1,1,6200,250
"5071",14268,1452,24,1,1,12000,0
"5072",15669,2118,24,1,1,7600,1165
"5073",13993,1327,24,1,1,12000,328
"5074",9685,474,24,1,1,7600,260
"5075",13902,1286,24,1,1,82000,310
"5076",13403,1130,24,1,1,22000,2642
"5077",13815,1250,24,1,1,39000,3450
"5078",14897,1735,24,1,1,65000,5862
"5079",14435,1526,24,1,1,8600,499
"5080",12862,982,24,1,1,68000,1170
"5081",14198,1417,24,1,1,45000,3637
"5082",11516,728,24,1,1,30000,4400
"5083",13035,1035,24,1,1,15000,658
"5084",13118,1052,24,1,1,28000,1098
"5085",16512,2947,24,1,1,31000,937
"5086",13264,1087,24,1,1,15000,1238
"5087",14993,1775,24,1,1,13000,1034
"5088",14559,1583,24,1,1,15000,490
"5089",14191,1413,24,1,1,170000,4969
"5090",14023,1338,24,1,1,80000,1138
"5091",13402,1130,24,1,1,67000,2436
"5092",15966,2345,24,1,1,3100,345
"5093",13439,1138,24,1,1,87000,3249
"5094",12867,984,24,1,1,52000,2667
"5095",12110,830,24,1,1,81000,2930
"5096",13397,1129,24,1,1,39000,2759
"5097",14451,1535,24,1,1,12000,328
"5098",13373,1120,24,1,1,45000,381
"5099",15408,1973,24,1,1,120000,10420
"5100",14574,1591,24,1,1,90000,1670
"5101",14960,1760,24,1,1,51000,319
"5102",13117,1052,24,1,1,35000,1217
"5103",13782,1234,24,1,1,91000,7321
"5104",13318,1103,24,1,1,81000,1907
"5105",13634,1188,24,1,1,34000,2140
"5106",14516,1561,24,1,1,62000,3097
"5107",14532,1569,24,1,1,17000,2140
"5108",13817,1251,24,1,1,36000,8835.5
"5109",14029,1341,24,1,1,50000,1488
"5110",15391,1960,24,1,2,15000,1825
"5111",14640,1617,24,1,2,8900,0
"5112",15722,2148,24,1,2,38000,965
"5113",15662,2115,24,1,2,81000,5160
"5114",14829,1695,24,1,2,22000,1539
"5115",15209,1865,24,1,2,21000,265
"5116",15208,1865,24,1,2,30000,216
"5117",15681,2127,24,1,2,22000,501
"5118",12371,881,24,1,2,13000,348
"5119",16133,2484,24,1,2,6500,3021
"5120",14507,1556,24,1,2,8200,630
"5121",14759,1669,24,1,2,41000,762
"5122",14639,1617,24,1,2,38000,1880
"5123",15390,1960,24,1,2,4400,60
"5124",15389,1960,24,1,2,13000,1127
"5125",15792,2202,24,1,2,29000,820
"5126",12497,909,24,1,2,36000,1910
"5127",13931,1299,24,1,2,13000,342
"5128",12050,821,24,1,2,53000,3041
"5129",13424,1135,24,1,2,13000,472
"5130",11176,673,24,1,2,77000,3024
"5131",14450,1535,24,1,2,8800,815
"5132",13739,1219,24,1,2,23000,2959
"5133",11804,778,24,1,2,51000,2520
"5134",14208,1423,24,1,2,93000,11235
"5135",13979,1319,24,1,2,77000,5043
"5136",11103,661,24,1,2,70000,13056
"5137",12417,890,24,1,2,28000,551
"5138",12850,979,24,1,2,12000,457
"5139",12007,814,24,1,2,39000,1695
"5140",13263,1087,24,1,2,57000,13635
"5141",15369,1950,24,1,2,62000,3383
"5142",14531,1568,24,1,2,35000,940
"5143",14078,1359,24,1,2,45000,6258
"5144",12895,995,24,1,2,24000,618
"5145",12577,925,24,1,2,13000,850
"5146",12894,995,24,1,2,12000,160
"5147",7202,275,24,1,2,12000,664
"5148",9329,426,24,1,2,28000,2375
"5149",15965,2345,24,2,3,88000,2280
"5150",15723,2149,24,2,3,25000,245
"5151",16229,2560,24,2,3,41000,3282
"5152",16586,3125,24,2,3,28000,1360
"5153",15549,2035,24,2,3,34000,1180
"5154",15303,1917,24,2,3,23000,172
"5155",15598,2066,24,2,3,67000,995
"5156",16568,3082,24,2,3,68000,2437
"5157",16242,2568,24,2,3,28000,1511
"5158",14463,1542,24,2,3,65000,2344
"5159",16370,2724,24,2,3,86000,2320
"5160",16030,2393,24,2,3,40000,3111
"5161",15300,1913,24,2,3,57000,1694
"5162",14593,1596,24,2,3,27000,1424
"5163",14762,1670,24,2,3,63000,1621
"5164",15586,2056,24,2,3,67000,800
"5165",16585,3125,24,2,3,17000,785
"5166",15764,2184,24,2,3,38000,1469
"5167",16298,2644,24,2,3,6700,620
"5168",15484,2001,24,2,3,11000,1450
"5169",14458,1540,24,2,3,33000,3145
"5170",15869,2261,24,2,3,22000,390
"5171",16175,2516,24,2,3,45000,340
"5172",14871,1718,24,2,3,42000,12250
"5173",15454,1979,24,2,3,66000,7401
"5174",15553,2036,24,2,3,16000,19981
"5175",15835,2239,24,2,3,13000,387
"5176",16612,3218,24,2,3,60000,2225
"5177",10758,615,24,2,3,40000,5170
"5178",10598,592,24,2,3,23000,360
"5179",11139,667,24,2,3,9200,719
"5180",9594,462,24,2,3,23000,302
"5181",9689,475,24,2,3,29000,7342
"5182",9406,434,24,2,3,58000,1596
"5183",10298,554,24,2,3,75000,1016
"5184",4640,183,24,2,3,93000,10656
"5185",10410,565,24,2,3,13000,904
"5186",10216,545,24,2,3,23000,468
"5187",9861,499,24,2,3,24000,290
"5188",10428,568,24,2,3,49000,3302
"5189",10747,613,24,2,3,1e+05,295
"5190",9318,424,24,2,3,60000,791
"5191",10409,565,24,2,3,15000,916
"5192",10108,530,24,2,3,9600,0
"5193",10408,565,24,2,3,27000,25
"5194",10215,545,24,2,3,17000,295
"5195",10107,530,24,2,3,9300,20
"5196",9796,490,24,2,3,21000,360
"5197",9921,505,24,2,3,33000,3135
"5198",10214,545,24,2,3,19000,100
"5199",11605,742,24,2,3,46000,1302
"5200",11852,788,24,2,3,16000,215
"5201",10097,528,24,2,3,43000,5535
"5202",10987,644,24,2,3,19000,405
"5203",12629,938,24,2,3,40000,13019
"5204",13283,1093,24,2,3,69000,2565
"5205",12990,1023,24,2,3,49000,6232
"5206",13167,1066,24,2,3,34000,2273
"5207",13583,1171,24,2,3,14000,0
"5208",13582,1171,24,2,3,14000,891
"5209",13633,1188,24,2,3,50000,8604
"5210",12846,978,24,2,3,35000,4453
"5211",13197,1070,24,2,3,12000,560
"5212",13581,1171,24,2,3,18000,270
"5213",13632,1188,24,2,3,42000,2312
"5214",13580,1171,24,2,3,12000,0
"5215",13579,1171,24,2,3,20000,830
"5216",9604,463,24,2,3,22000,660
"5217",11551,734,24,2,3,9400,495
"5218",10273,548,24,2,3,37000,1393
"5219",10407,565,24,2,3,14000,974
"5220",8360,339,24,2,3,36000,1534
"5221",9666,471,24,2,3,9800,795
"5222",10015,516,24,2,3,13000,413
"5223",9871,500,24,2,3,70000,1554
"5224",9641,468,24,2,3,55000,2859
"5225",10020,518,24,2,3,39000,1209
"5226",10019,518,24,2,3,31000,990
"5227",11532,731,24,2,3,53000,1186
"5228",10406,565,24,2,3,14000,453
"5229",10096,528,24,2,3,43000,3382
"5230",10405,565,24,2,3,35000,10643
"5231",8785,374,24,2,3,53000,2036
"5232",6963,265,24,2,3,25000,913
"5233",10201,543,24,2,3,65000,5458
"5234",4577,181,24,2,3,20000,2172
"5235",9730,480,24,2,3,29000,620
"5236",7017,267,24,2,3,0,150
"5237",10396,564,24,2,3,39000,1940
"5238",10044,522,24,2,3,34000,2127
"5239",13578,1171,24,2,3,13000,75
"5240",13881,1276,24,2,3,56000,1292
"5241",13163,1065,24,2,3,24000,1217
"5242",14522,1564,24,2,3,28000,1371
"5243",14014,1336,24,2,3,16000,110
"5244",13105,1049,24,2,3,63000,7541
"5245",13412,1132,24,2,3,24000,280
"5246",11426,712,24,2,3,30000,750
"5247",12480,903,24,2,3,46000,1195
"5248",11457,719,24,2,3,39000,880
"5249",12686,946,24,1,1,8100,2376
"5250",14118,1375,24,1,1,17000,420
"5251",14117,1375,24,1,1,14000,300
"5252",13459,1141,24,1,1,26000,129
"5253",14116,1375,24,1,1,15000,333
"5254",14256,1445,24,1,1,36000,1386
"5255",15889,2282,24,1,1,170000,3446
"5256",13350,1112,24,1,1,56000,2323
"5257",9094,403,24,1,1,30000,1326
"5258",13997,1328,24,1,1,18000,660
"5259",14655,1623,24,1,1,9300,95
"5260",14572,1590,24,1,1,63000,6322
"5261",12973,1018,24,1,1,1e+05,5710
"5262",791,46,24,1,1,56000,1280
"5263",13690,1201,24,1,1,59000,1650
"5264",14943,1753,24,1,1,36000,2873
"5265",13146,1060,24,1,1,58000,3244
"5266",13829,1256,24,1,1,35000,1844
"5267",12592,929,24,1,1,64000,1296
"5268",14251,1441,24,1,1,18000,20
"5269",14115,1375,24,1,1,32000,1175
"5270",14793,1684,24,1,1,16000,355
"5271",13620,1183,24,1,1,35000,2295
"5272",15103,1827,24,1,1,21000,1884
"5273",12685,946,24,1,1,10000,422
"5274",15338,1937,24,1,1,46000,4942
"5275",11612,744,24,1,1,18000,930
"5276",14654,1623,24,1,1,36000,1150
"5277",12912,1000,24,1,1,60000,2660
"5278",14411,1518,24,1,1,140000,880
"5279",13676,1197,24,1,1,30000,1530
"5280",11840,786,24,1,1,58000,2103
"5281",13738,1219,24,1,1,57000,1985
"5282",13458,1141,24,1,1,32000,659
"5283",14114,1375,24,1,1,11000,150
"5284",15047,1794,24,1,1,61000,3158
"5285",12757,958,24,1,1,42000,3361
"5286",13998,1330,24,1,1,36000,816
"5287",13863,1269,24,1,1,21000,300
"5288",13388,1125,24,1,1,57000,1050
"5289",13862,1269,24,1,1,19000,714
"5290",13861,1269,24,1,1,20000,450
"5291",7710,297,24,1,1,25000,5670
"5292",14166,1397,24,1,1,45000,1778
"5293",13689,1201,24,1,1,60000,12300
"5294",16791,3958,24,1,2,12000,362
"5295",16786,3937,24,1,2,21000,1923
"5296",16823,4331,24,1,2,13000,307
"5297",16720,3588,24,1,2,51000,882
"5298",16790,3958,24,1,2,14000,0
"5299",16775,3876,24,1,2,55000,1573
"5300",16805,4063,24,1,2,17000,260
"5301",14204,1420,24,1,2,27000,2690
"5302",15912,2305,24,1,2,20000,361
"5303",16530,2999,24,1,2,56000,4306
"5304",15794,2205,24,1,2,22000,192
"5305",15629,2086,24,1,2,14000,330
"5306",15793,2205,24,1,2,22000,1210
"5307",15874,2266,24,1,2,47000,2383
"5308",15272,1895,24,1,2,27000,505
"5309",14306,1467,24,1,2,39000,2129
"5310",13049,1039,24,1,2,34000,1548
"5311",13562,1165,24,1,2,74000,2867
"5312",14180,1407,24,1,2,54000,2312
"5313",14278,1458,24,1,2,46000,1651
"5314",13988,1324,24,1,2,25000,891
"5315",13420,1134,24,1,2,67000,6266
"5316",9581,460,24,1,2,110000,4056
"5317",10796,620,24,1,2,15000,2704
"5318",10018,518,24,1,2,49000,1668
"5319",8741,370,24,1,2,40000,610
"5320",9681,473,24,1,2,32000,759
"5321",10200,543,24,1,2,19000,875
"5322",9524,451,24,1,2,32000,1004
"5323",8935,387,24,1,2,67000,2055
"5324",11613,745,24,1,2,17000,120
"5325",16271,2619,24,1,2,27000,1575
"5326",16587,3128,24,1,2,61000,2264
"5327",15839,2242,24,1,2,36000,1048
"5328",16034,2396,24,1,2,30000,180
"5329",15927,2313,24,1,2,19000,1072
"5330",15920,2310,24,1,2,12000,395
"5331",16031,2394,24,1,2,12000,472
"5332",15535,2027,24,1,2,19000,0
"5333",15715,2142,24,1,2,35000,620
"5334",13968,1313,24,1,2,45000,1735
"5335",15802,2209,24,1,2,18000,1101
"5336",15306,1918,24,1,2,40000,1193
"5337",15797,2206,24,1,2,52000,4854
"5338",15699,2135,24,1,2,120000,2700
"5339",13850,1264,24,1,2,52000,2752
"5340",15926,2313,24,1,2,24000,909
"5341",15343,1941,24,1,2,27000,535
"5342",15601,2067,24,1,2,43000,1118
"5343",16584,3124,24,1,2,19000,360
"5344",16233,2565,24,1,2,21000,322
"5345",15801,2209,24,1,2,42000,1796
"5346",11624,746,24,1,2,87000,2424
"5347",10938,637,24,1,2,38000,2095
"5348",11032,649,24,1,2,47000,2612
"5349",11542,732,24,1,2,75000,4728
"5350",11482,723,24,1,2,31000,2179
"5351",10374,562,24,1,2,42000,207
"5352",10586,590,24,1,2,25000,0
"5353",12424,891,24,1,2,57000,4008
"5354",9684,474,24,1,2,50000,1800
"5355",11205,678,24,1,2,51000,924
"5356",11159,670,24,1,2,15000,2086
"5357",8663,364,24,1,2,19000,1333
"5358",10189,542,24,1,2,74000,3281
"5359",11005,645,24,1,2,72000,5313
"5360",11919,798,24,1,2,10000,590
"5361",11408,708,24,1,2,52000,4041
"5362",14383,1504,24,1,2,16000,1128
"5363",14890,1731,24,1,2,14000,834
"5364",11467,721,24,1,2,35000,3882
"5365",13627,1186,24,1,2,19000,1057
"5366",12885,992,24,1,2,43000,1758
"5367",15660,2113,24,1,2,93000,918
"5368",13969,1314,24,1,2,54000,4801
"5369",15643,2099,24,1,2,21000,200
"5370",12799,970,24,1,2,36000,835
"5371",12872,986,24,1,2,54000,2768
"5372",12392,885,24,1,2,41000,3012
"5373",15063,1804,24,2,3,10000,540
"5374",13958,1309,24,2,3,110000,1370
"5375",11984,809,24,2,3,29000,1165
"5376",15361,1945,24,2,3,110000,3383
"5377",14690,1639,24,2,3,60000,1741
"5378",15296,1908,24,2,3,31000,756
"5379",14694,1640,24,2,3,17000,184
"5380",14828,1695,24,2,3,52000,1585
"5381",15196,1859,24,2,3,44000,3540
"5382",14521,1564,24,2,3,15000,847
"5383",15290,1906,24,2,3,28000,545
"5384",11905,796,24,2,3,46000,2580
"5385",15137,1844,24,2,3,41000,5967
"5386",14237,1436,24,2,3,47000,3873
"5387",13880,1276,24,2,3,16000,1785
"5388",12140,837,24,2,3,95000,3721
"5389",16154,2502,24,2,3,30000,1401
"5390",13656,1192,24,2,3,80000,2940
"5391",15271,1895,24,2,3,7600,609
"5392",14329,1479,24,2,3,22000,1325
"5393",15996,2370,24,2,3,43000,1382
"5394",14372,1498,24,2,3,44000,986
"5395",15216,1871,24,2,3,120000,8426
"5396",15470,1991,24,2,3,25000,663
"5397",15979,2354,24,2,3,32000,408
"5398",15237,1878,24,2,3,37000,1570
"5399",14992,1775,24,2,3,48000,728
"5400",15500,2010,24,2,3,7600,155
"5401",14260,1447,24,2,3,39000,1122
"5402",15046,1794,24,2,3,39000,2066
"5403",15463,1986,24,2,3,25000,11715
"5404",13328,1106,24,2,3,48000,1353
"5405",15948,2328,24,2,3,64000,3563
"5406",13046,1037,24,2,3,8900,358
"5407",13956,1308,24,2,3,42000,1064
"5408",14446,1533,24,2,3,83000,4831
"5409",14247,1438,24,2,3,61000,5742
"5410",14653,1623,24,2,3,40000,1197
"5411",14408,1516,24,2,3,38000,3234
"5412",14707,1646,24,2,3,46000,3470
"5413",14266,1449,24,2,3,81000,8749
"5414",14359,1492,24,2,3,57000,5278
"5415",14748,1665,24,2,3,25000,1795
"5416",14966,1764,24,2,3,24000,212
"5417",15978,2354,24,2,3,12000,444
"5418",15377,1954,24,2,3,73000,1127
"5419",14959,1759,24,2,3,42000,1850
"5420",14319,1474,24,2,3,56000,350
"5421",15004,1777,24,1,2,6700,730
"5422",14415,1519,24,1,2,63000,3040
"5423",15360,1945,24,1,2,16000,20
"5424",14919,1741,24,1,2,40000,1842
"5425",14524,1565,24,1,2,57000,3247
"5426",15003,1777,24,1,2,48000,1645
"5427",15569,2046,24,1,2,50000,3126
"5428",15902,2296,24,1,2,6800,0
"5429",10350,560,24,1,2,37000,2198
"5430",15359,1945,24,1,2,18000,552
"5431",13136,1058,24,1,2,17000,1623
"5432",14552,1580,24,1,2,46000,4092
"5433",15259,1888,24,1,2,53000,5511
"5434",15856,2251,24,1,2,40000,2753
"5435",14368,1497,24,1,2,98000,7908
"5436",15249,1879,24,1,2,34000,581
"5437",14558,1583,24,1,2,39000,1366
"5438",14535,1570,24,1,2,34000,1680
"5439",16227,2558,24,1,2,52000,1903
"5440",15653,2106,24,1,2,84000,5960
"5441",13140,1059,24,1,2,36000,1445
"5442",15705,2138,24,1,2,63000,1197
"5443",14287,1460,24,1,2,110000,18088
"5444",16077,2433,24,1,2,50000,3164
"5445",15358,1945,24,1,2,34000,716
"5446",14658,1626,24,1,2,71000,600
"5447",13869,1271,24,1,2,72000,3560
"5448",15357,1945,24,1,2,14000,709
"5449",15977,2354,24,1,2,55000,2658
"5450",14686,1635,24,1,2,26000,8197
"5451",15534,2027,24,1,2,120000,6948
"5452",14173,1403,24,1,2,58000,1616
"5453",13462,1142,24,1,2,67000,3040
"5454",14250,1440,24,1,2,36000,1319
"5455",15896,2290,24,1,2,56000,1080
"5456",12653,941,24,1,2,28000,1100
"5457",16076,2432,24,1,2,37000,2090
"5458",15356,1945,24,1,2,24000,550
"5459",16542,3034,24,1,2,17000,0
"5460",16132,2483,24,1,2,46000,532
"5461",16479,2872,24,1,2,27000,398
"5462",16397,2774,24,1,2,25000,4325
"5463",16346,2698,24,1,2,55000,2528
"5464",16835,4412,24,1,2,58000,1605
"5465",15201,1860,24,1,2,43000,1650
"5466",16845,4616,24,1,2,97000,1140
"5467",14872,1719,24,1,2,28000,886
"5468",14965,1763,24,1,2,35000,1072
"5469",14185,1409,24,1,2,38000,1086
"5470",15133,1841,24,1,2,65000,10294
"5471",13922,1295,24,1,2,27000,2851
"5472",15002,1777,24,1,2,24000,599
"5473",15274,1896,24,1,2,110000,6919
"5474",13985,1322,24,1,2,48000,1468
"5475",16297,2644,24,1,2,79000,2209
"5476",14323,1475,24,1,2,28000,636
"5477",14968,1766,24,1,2,64000,2400
"5478",15206,1864,24,1,2,21000,1287
"5479",15325,1929,24,1,2,11000,312
"5480",14851,1708,24,1,2,88000,149
"5481",14944,1754,24,1,2,45000,686
"5482",14382,1504,24,1,2,54000,5044
"5483",15205,1864,24,1,2,20000,444
"5484",14964,1763,24,1,2,15000,563
"5485",14498,1553,24,1,2,40000,3471
"5486",15456,1981,24,1,2,20000,308
"5487",14262,1448,24,1,2,27000,240
"5488",14702,1645,24,1,2,14000,298
"5489",16521,2976,24,1,2,11000,298
"5490",9168,411,24,1,2,48000,2573
"5491",14613,1601,24,1,2,31000,2447
"5492",15610,2074,24,1,2,61000,5557
"5493",15525,2022,24,1,2,44000,3463
"5494",15113,1829,24,1,1,12000,410
"5495",16152,2501,24,1,1,86000,3050
"5496",15001,1777,24,1,1,50000,1638
"5497",15807,2214,24,1,1,53000,4588
"5498",14356,1489,24,1,1,28000,1200
"5499",14814,1690,24,1,1,25000,1084
"5500",15112,1829,24,1,1,31000,1936
"5501",15111,1829,24,1,1,31000,750
"5502",16198,2532,24,1,1,22000,766
"5503",14620,1605,24,1,1,38000,1213
"5504",13723,1213,24,1,1,75000,10392
"5505",15339,1938,24,1,1,25000,725
"5506",14954,1757,24,1,1,50000,200
"5507",4784,187,24,1,1,49000,5467
"5508",15110,1829,24,1,1,14000,139
"5509",16150,2499,24,1,1,60000,4225
"5510",15919,2309,24,1,1,20000,700
"5511",16372,2727,24,1,1,13000,810
"5512",15109,1829,24,1,1,18000,0
"5513",14612,1601,24,1,1,71000,3461
"5514",16308,2654,24,1,1,52000,9795
"5515",10937,637,24,1,1,15000,616
"5516",10699,607,24,1,1,63000,2108
"5517",14303,1466,24,1,1,30000,1695
"5518",15704,2138,24,1,1,84000,1457
"5519",16278,2628,24,1,1,31000,6543
"5520",15351,1943,24,1,1,38000,5074
"5521",16123,2481,24,1,1,24000,25
"5522",16022,2388,24,1,1,24000,1800
"5523",15298,1909,24,1,1,34000,880
"5524",14233,1435,24,1,1,75000,1055
"5525",15985,2362,24,1,1,140000,2122
"5526",15000,1777,24,1,1,78000,5507
"5527",14761,1670,24,1,1,61000,3073
"5528",15376,1954,24,1,1,150000,17441
"5529",14773,1672,24,1,1,49000,1749
"5530",15698,2135,24,1,1,97000,8320
"5531",14554,1581,24,1,1,35000,6946
"5532",12873,988,24,1,1,38000,1011
"5533",16122,2481,24,1,1,18000,391
"5534",16092,2452,24,1,1,2e+05,14089
"5535",15870,2262,24,1,1,210000,6200
"5536",14953,1757,24,1,1,17000,384
"5537",16258,2594,24,1,1,140000,16024
"5538",14952,1757,24,1,1,25000,220
"5539",15685,2129,24,1,1,18000,0
"5540",14646,1621,24,1,1,63000,1334
"5541",15460,1985,24,1,1,30000,2180
"5542",16149,2499,24,1,1,58000,1558
"5543",16148,2499,24,1,1,44000,0
"5544",15399,1964,24,1,1,71000,5300
"5545",14325,1476,24,1,1,3900,35
"5546",15117,1831,24,1,1,31000,1898
"5547",15684,2129,24,1,1,18000,335
"5548",15683,2129,24,1,1,10000,387
"5549",15368,1950,24,1,1,25000,1214
"5550",15108,1829,24,1,1,14000,384
"5551",14834,1697,24,1,1,10000,80
"5552",15116,1831,24,1,1,42000,2027
"5553",16442,2828,24,1,1,24000,5123
"5554",16376,2732,24,1,1,98000,10439
"5555",14951,1757,24,1,1,23000,530
"5556",15107,1829,24,1,1,27000,464
"5557",14999,1777,24,1,1,97000,21657
"5558",16058,2414,24,1,1,1e+05,5870
"5559",15749,2169,24,1,1,65000,3347
"5560",14624,1607,24,1,1,94000,1931
"5561",14728,1660,24,1,1,84000,2508
"5562",13917,1293,24,1,1,15000,936
"5563",15908,2302,24,1,1,42000,1115
"5564",15641,2096,24,1,1,35000,1571
"5565",16364,2723,24,1,1,15000,500
"5566",14904,1737,24,1,1,56000,1974
"5567",14530,1568,24,1,1,58000,444
"5568",15721,2148,24,1,1,72000,4288
"5569",14434,1526,24,1,1,33000,959
"5570",16448,2832,24,1,1,19000,676
"5571",15697,2135,24,1,1,48000,5275
"5572",14121,1377,24,1,1,61000,1320
"5573",14889,1731,24,1,1,47000,1372
"5574",15251,1881,24,1,1,84000,7271
"5575",15615,2077,24,1,1,96000,4385
"5576",14630,1611,24,1,1,40000,3250
"5577",15123,1834,24,1,1,70000,1939
"5578",15373,1953,24,1,1,120000,1413
"5579",16324,2674,24,1,1,12000,150
"5580",14565,1585,24,1,1,1e+05,2343
"5581",15231,1875,24,1,1,44000,3790
"5582",14513,1559,24,1,1,50000,1479
"5583",15008,1779,24,1,1,110000,5108
"5584",14776,1675,24,1,1,44000,2642
"5585",15375,1954,24,1,1,53000,3590
"5586",15106,1829,24,1,1,8700,920
"5587",14942,1753,24,1,1,95000,6733
"5588",14399,1513,24,1,1,41000,4422
"5589",15811,2220,24,1,1,97000,2957
"5590",16197,2530,24,1,1,150000,9101
"5591",15604,2069,24,1,1,56000,956
"5592",14322,1475,24,1,1,58000,2182
"5593",14232,1435,24,1,1,84000,3788
"5594",14772,1672,24,1,1,41000,724
"5595",15969,2348,24,1,1,84000,4542
"5596",14227,1431,24,1,1,230000,8654
"5597",15600,2067,24,1,1,83000,4905
"5598",15796,2206,24,1,1,85000,17365
"5599",14546,1576,24,1,1,65000,3284
"5600",13761,1227,24,1,1,55000,500
"5601",15081,1817,24,1,1,96000,474
"5602",14950,1757,24,1,1,63000,1134
"5603",14720,1655,24,1,1,18000,935
"5604",15019,1781,24,1,1,48000,4697
"5605",10651,598,24,1,1,56000,1778
"5606",5532,215,24,1,1,51000,2365
"5607",14315,1472,24,1,1,80000,1420
"5608",15158,1850,24,1,1,35000,1310
"5609",14746,1664,24,1,1,83000,2265
"5610",15258,1888,24,1,1,97000,2857
"5611",14444,1532,24,1,1,9600,875
"5612",15538,2028,24,1,1,28000,5064
"5613",14775,1675,24,1,1,46000,1441
"5614",14986,1773,24,1,1,68000,7610
"5615",15035,1787,24,1,1,81000,6348
"5616",16085,2441,24,1,1,76000,1844
"5617",14810,1689,24,1,1,31000,1306
"5618",14302,1466,24,1,1,30000,4015
"5619",15637,2092,24,1,1,59000,984
"5620",15769,2187,24,1,1,43000,1225
"5621",14760,1670,24,1,1,53000,2110
"5622",16307,2654,24,1,1,43000,3550
"5623",14849,1707,24,1,1,67000,5500
"5624",14685,1635,24,1,1,15000,892
"5625",13262,1087,24,1,1,34000,1078
"5626",13799,1241,24,1,1,68000,1166
"5627",15079,1816,24,1,1,52000,1964
"5628",14869,1717,24,1,1,86000,2222
"5629",15200,1860,24,1,1,56000,3879
"5630",14948,1756,24,1,1,23000,532
"5631",15911,2305,24,1,1,63000,3486
"5632",15597,2065,24,1,1,24000,768
"5633",15086,1821,24,1,1,72000,4370
"5634",14314,1472,24,1,1,110000,1465
"5635",15105,1829,24,1,1,14000,520
"5636",15162,1853,24,1,1,39000,1648
"5637",14781,1678,24,1,1,1e+05,5459
"5638",15406,1969,24,1,1,78000,2665
"5639",15289,1905,24,1,1,88000,4998
"5640",14945,1755,24,1,1,45000,2890
"5641",14789,1681,24,1,1,79000,3234
"5642",15541,2030,24,1,1,130000,4362
"5643",15288,1905,24,1,1,1e+05,4764
"5644",14355,1489,24,1,1,50000,880
"5645",15310,1919,24,1,1,97000,2524
