"","IG","year","sales","stock"
"874","S02000597",2006,124,2511
"875","S02000598",2006,105,1456
"876","S02000599",2006,237,2862
"877","S02000600",2006,105,1785
"878","S02000601",2006,24,1646
"879","S02000602",2006,108,3315
"880","S02000603",2006,164,2291
"881","S02000604",2006,272,2266
"882","S02000605",2006,181,1936
"883","S02000606",2006,44,1403
"884","S02000607",2006,275,2814
"885","S02000608",2006,292,2737
"886","S02000609",2006,230,2236
"887","S02000610",2006,43,3135
"888","S02000611",2006,80,1719
"889","S02000612",2006,162,2321
"890","S02000613",2006,50,1217
"891","S02000614",2006,284,3047
"892","S02000615",2006,80,2161
"893","S02000616",2006,186,2865
"894","S02000617",2006,54,1947
"895","S02000618",2006,142,2045
"896","S02000619",2006,29,2387
"897","S02000620",2006,106,2574
"898","S02000621",2006,124,2360
"899","S02000622",2006,160,1678
"900","S02000623",2006,67,1579
"901","S02000624",2006,91,1781
"902","S02000625",2006,78,1757
"903","S02000626",2006,58,1776
"904","S02000627",2006,136,2438
"905","S02000628",2006,158,3541
"906","S02000629",2006,77,1800
"907","S02000630",2006,95,2042
"908","S02000631",2006,104,2002
"909","S02000632",2006,112,2713
"910","S02000633",2006,115,3092
"911","S02000634",2006,235,3175
"912","S02000635",2006,355,3647
"913","S02000636",2006,84,1718
"914","S02000637",2006,67,1949
"915","S02000638",2006,94,2364
"916","S02000639",2006,132,1698
"917","S02000640",2006,73,2548
"918","S02000641",2006,140,2269
"919","S02000642",2006,152,1920
"920","S02000643",2006,34,1742
"921","S02000644",2006,100,2066
"922","S02000645",2006,94,1622
"923","S02000646",2006,105,2200
"924","S02000647",2006,143,2679
"925","S02000648",2006,100,2916
"926","S02000649",2006,28,1532
"927","S02000650",2006,235,2267
"928","S02000651",2006,197,2167
"929","S02000652",2006,14,1748
"930","S02000653",2006,71,1340
"931","S02000654",2006,68,2813
"932","S02000655",2006,261,3195
"933","S02000656",2006,42,3224
"934","S02000657",2006,57,1811
"935","S02000658",2006,197,5403
"936","S02000659",2006,335,3510
"937","S02000660",2006,136,3364
"938","S02000661",2006,262,3793
"939","S02000662",2006,14,1704
"940","S02000663",2006,58,2527
"941","S02000664",2006,200,3572
"942","S02000665",2006,205,2919
"943","S02000666",2006,35,3287
"944","S02000667",2006,86,2378
"945","S02000668",2006,309,2336
"946","S02000669",2006,61,1907
"947","S02000670",2006,19,2244
"948","S02000671",2006,119,2361
"949","S02000672",2006,208,2707
"950","S02000673",2006,77,1948
"951","S02000674",2006,250,1678
"952","S02000675",2006,166,3418
"953","S02000676",2006,117,2234
"954","S02000677",2006,181,2140
"955","S02000678",2006,36,1665
"956","S02000679",2006,156,2254
"957","S02000680",2006,81,2475
"958","S02000681",2006,202,2276
"959","S02000682",2006,63,1133
"960","S02000683",2006,171,1928
"961","S02000684",2006,47,2021
"962","S02000685",2006,58,3067
"963","S02000686",2006,83,1870
"964","S02000687",2006,39,1814
"965","S02000688",2006,223,3258
"966","S02000689",2006,221,2959
"967","S02000690",2006,190,2625
"968","S02000691",2006,77,2363
"969","S02000692",2006,62,2730
"970","S02000693",2006,20,2441
"971","S02000694",2006,87,2249
"972","S02000695",2006,209,2135
"973","S02000696",2006,186,2114
"974","S02000697",2006,74,1490
"975","S02000698",2006,76,1811
"976","S02000699",2006,79,1997
"977","S02000700",2006,44,1492
"978","S02000701",2006,75,1936
"979","S02000702",2006,162,2180
"980","S02000703",2006,44,1267
"981","S02000704",2006,50,1752
"982","S02000705",2006,235,3118
"983","S02000706",2006,44,1937
"984","S02000707",2006,39,1267
"985","S02000708",2006,31,1661
"986","S02000709",2006,112,2866
"987","S02000710",2006,88,1834
"988","S02000711",2006,60,1177
"989","S02000712",2006,36,1581
"990","S02000713",2006,78,1774
"991","S02000714",2006,47,1459
"992","S02000715",2006,17,1676
"993","S02000716",2006,16,1395
"994","S02000771",2006,102,1197
"995","S02000772",2006,89,1467
"996","S02000773",2006,154,2126
"997","S02000774",2006,57,2251
"998","S02000775",2006,79,2668
"999","S02000776",2006,98,2496
"1000","S02000777",2006,101,1952
"1001","S02000778",2006,119,2732
"1002","S02000779",2006,76,2133
"1003","S02000780",2006,88,2578
"1004","S02000781",2006,118,3884
"1005","S02000782",2006,43,2048
"1006","S02000783",2006,67,2217
"1007","S02000784",2006,204,3014
"1008","S02000785",2006,117,2232
"1009","S02000786",2006,96,2085
"1010","S02000787",2006,105,2104
"1011","S02000923",2006,127,2475
"1012","S02000925",2006,75,1728
"1013","S02000926",2006,110,1505
"1014","S02000927",2006,153,1421
"1015","S02000983",2006,87,1271
"1016","S02000984",2006,105,1268
"1017","S02000985",2006,63,1690
"1018","S02000986",2006,56,1561
"1019","S02000987",2006,77,2520
"1020","S02000988",2006,66,2289
"1021","S02000989",2006,95,1328
"1022","S02000990",2006,123,2079
"1023","S02000991",2006,160,3239
"1024","S02000992",2006,76,2167
"1025","S02000993",2006,145,1572
"1026","S02000994",2006,69,1815
"1027","S02000995",2006,154,2585
"1028","S02000996",2006,83,1578
"1029","S02000997",2006,66,2003
"1030","S02000998",2006,112,1821
"1031","S02000999",2006,135,2299
"1032","S02001000",2006,406,4440
"1033","S02001001",2006,136,2497
"1034","S02001002",2006,87,2034
"1035","S02001003",2006,88,2079
"1036","S02001004",2006,203,3347
"1037","S02001005",2006,78,2136
"1038","S02001006",2006,99,1917
"1039","S02001007",2006,130,2898
"1040","S02001008",2006,125,2039
"1041","S02001009",2006,66,1304
"1042","S02001010",2006,234,2436
"1043","S02001011",2006,95,2470
"1044","S02001012",2006,50,1198
"1045","S02001013",2006,129,2466
"1046","S02001014",2006,175,3016
"1047","S02001015",2006,95,1452
"1048","S02001016",2006,141,1801
"1049","S02001017",2006,115,2178
"1050","S02001018",2006,105,2095
"1051","S02001019",2006,113,2432
"1052","S02001020",2006,64,1912
"1053","S02001146",2006,61,1963
"1054","S02001148",2006,138,1942
"1055","S02001149",2006,93,1939
"1056","S02001150",2006,74,2247
"1057","S02001152",2006,46,1364
"1058","S02001153",2006,93,1724
"1059","S02001154",2006,95,1530
"1060","S02001156",2006,249,2129
"1061","S02001157",2006,234,1977
"1062","S02001158",2006,108,1516
"1063","S02001159",2006,158,2529
"1064","S02001160",2006,78,1830
"1065","S02001161",2006,127,2043
"1066","S02001162",2006,83,1730
"1067","S02001184",2006,73,2374
"1068","S02001185",2006,77,2325
"1069","S02001186",2006,67,2781
"1070","S02001187",2006,75,2325
"1071","S02001188",2006,82,3097
"1072","S02001189",2006,116,1732
"1073","S02001190",2006,142,2369
"1074","S02001191",2006,50,2423
"1075","S02001192",2006,191,3098
"1076","S02001193",2006,68,1927
"1077","S02001194",2006,74,1915
"1078","S02001195",2006,101,2730
"1079","S02001196",2006,88,2599
"1080","S02001197",2006,90,2399
"1081","S02001198",2006,118,2389
"1082","S02001199",2006,136,2065
"1083","S02001200",2006,126,2724
"1084","S02001201",2006,75,2567
"1085","S02000260",2007,114,2213
"1086","S02000261",2007,42,920
"1087","S02000262",2007,66,1731
"1088","S02000263",2007,142,1347
"1089","S02000264",2007,112,2322
"1090","S02000265",2007,40,1109
"1091","S02000266",2007,50,1129
"1092","S02000267",2007,62,1354
"1093","S02000268",2007,90,2269
"1094","S02000269",2007,77,1339
"1095","S02000270",2007,96,2171
"1096","S02000271",2007,84,1667
"1097","S02000272",2007,90,1453
"1098","S02000273",2007,79,1215
"1099","S02000274",2007,60,1298
"1100","S02000275",2007,88,1413
"1101","S02000276",2007,83,1577
"1102","S02000277",2007,87,1988
"1103","S02000278",2007,47,1113
"1104","S02000279",2007,80,1914
"1105","S02000280",2007,79,1556
"1106","S02000281",2007,148,1984
"1107","S02000282",2007,72,1454
"1108","S02000283",2007,50,1344
"1109","S02000284",2007,62,1404
"1110","S02000285",2007,57,1058
"1111","S02000286",2007,86,1591
"1112","S02000287",2007,131,1851
"1113","S02000310",2007,81,1982
"1114","S02000311",2007,141,2467
"1115","S02000312",2007,87,1326
"1116","S02000313",2007,173,2175
"1117","S02000314",2007,89,2347
"1118","S02000316",2007,97,1392
"1119","S02000317",2007,125,2190
"1120","S02000318",2007,134,2174
"1121","S02000319",2007,61,1079
"1122","S02000320",2007,72,1438
"1123","S02000321",2007,124,2238
"1124","S02000322",2007,64,1592
"1125","S02000323",2007,72,1247
"1126","S02000324",2007,85,1686
"1127","S02000325",2007,76,1877
"1128","S02000326",2007,89,1992
"1129","S02000327",2007,88,1718
"1130","S02000328",2007,121,2797
"1131","S02000329",2007,63,1298
"1132","S02000584",2007,138,1742
"1133","S02000585",2007,24,2508
"1134","S02000586",2007,294,1699
"1135","S02000587",2007,76,2074
"1136","S02000588",2007,52,1885
"1137","S02000589",2007,116,2434
"1138","S02000590",2007,99,1198
"1139","S02000591",2007,56,1178
"1140","S02000592",2007,51,2248
"1141","S02000593",2007,133,2274
"1142","S02000594",2007,71,1472
"1143","S02000595",2007,147,1778
"1144","S02000596",2007,113,2228
"1145","S02000597",2007,60,2501
"1146","S02000598",2007,97,1469
"1147","S02000599",2007,277,2871
"1148","S02000600",2007,120,1785
"1149","S02000601",2007,15,1651
"1150","S02000602",2007,126,3353
"1151","S02000603",2007,183,2293
"1152","S02000604",2007,246,2268
"1153","S02000605",2007,179,1938
"1154","S02000606",2007,32,1355
"1155","S02000607",2007,268,2814
"1156","S02000608",2007,260,2783
"1157","S02000609",2007,204,2237
"1158","S02000610",2007,104,3156
"1159","S02000611",2007,93,1719
"1160","S02000612",2007,140,2322
"1161","S02000613",2007,49,1217
"1162","S02000614",2007,270,3050
"1163","S02000615",2007,91,2163
"1164","S02000616",2007,205,2865
"1165","S02000617",2007,57,1899
"1166","S02000618",2007,132,2115
"1167","S02000619",2007,30,2112
"1168","S02000620",2007,89,2597
"1169","S02000621",2007,111,2360
"1170","S02000622",2007,239,1756
"1171","S02000623",2007,81,1579
"1172","S02000624",2007,153,1889
"1173","S02000625",2007,71,1757
"1174","S02000626",2007,53,1772
"1175","S02000627",2007,113,2438
"1176","S02000628",2007,192,3635
"1177","S02000629",2007,80,1806
"1178","S02000630",2007,128,2081
"1179","S02000631",2007,108,2001
"1180","S02000632",2007,101,2713
"1181","S02000633",2007,88,3144
"1182","S02000634",2007,149,3171
"1183","S02000635",2007,425,3912
"1184","S02000636",2007,90,1718
"1185","S02000637",2007,61,1947
"1186","S02000638",2007,73,2364
"1187","S02000639",2007,118,1698
"1188","S02000640",2007,92,2548
"1189","S02000641",2007,115,2325
"1190","S02000642",2007,171,1938
"1191","S02000643",2007,26,1749
"1192","S02000644",2007,98,2055
"1193","S02000645",2007,120,1638
"1194","S02000646",2007,74,2199
"1195","S02000647",2007,169,2827
"1196","S02000648",2007,117,2915
"1197","S02000649",2007,34,1533
"1198","S02000650",2007,209,2306
"1199","S02000651",2007,161,2201
"1200","S02000652",2007,13,1748
"1201","S02000653",2007,78,1339
"1202","S02000654",2007,76,2876
"1203","S02000655",2007,303,3340
"1204","S02000656",2007,50,3224
"1205","S02000657",2007,65,1827
"1206","S02000658",2007,243,5516
"1207","S02000659",2007,381,3596
"1208","S02000660",2007,143,3363
"1209","S02000661",2007,244,3855
"1210","S02000662",2007,7,1647
"1211","S02000663",2007,72,2551
"1212","S02000664",2007,228,3590
"1213","S02000665",2007,183,2941
"1214","S02000666",2007,41,3287
"1215","S02000667",2007,82,2375
"1216","S02000668",2007,449,2710
"1217","S02000669",2007,98,1903
"1218","S02000670",2007,22,2249
"1219","S02000671",2007,154,2393
"1220","S02000672",2007,201,2727
"1221","S02000673",2007,79,1964
"1222","S02000674",2007,138,1803
"1223","S02000675",2007,158,3389
"1224","S02000676",2007,80,2312
"1225","S02000677",2007,146,2138
"1226","S02000678",2007,67,1670
"1227","S02000679",2007,164,2257
"1228","S02000680",2007,80,2472
"1229","S02000681",2007,174,2289
"1230","S02000682",2007,70,1132
"1231","S02000683",2007,135,1929
"1232","S02000684",2007,75,2054
"1233","S02000685",2007,60,3089
"1234","S02000686",2007,74,1870
"1235","S02000687",2007,41,1797
"1236","S02000688",2007,235,3332
"1237","S02000689",2007,256,2998
"1238","S02000690",2007,169,2625
"1239","S02000691",2007,86,2363
"1240","S02000692",2007,114,2807
"1241","S02000693",2007,37,2396
"1242","S02000694",2007,73,2177
"1243","S02000695",2007,264,2198
"1244","S02000696",2007,170,2194
"1245","S02000697",2007,26,1490
"1246","S02000698",2007,89,1816
"1247","S02000699",2007,80,2019
"1248","S02000700",2007,38,1493
"1249","S02000701",2007,88,1971
"1250","S02000702",2007,201,2180
"1251","S02000703",2007,60,1269
"1252","S02000704",2007,39,1759
"1253","S02000705",2007,272,3175
"1254","S02000706",2007,62,1937
"1255","S02000707",2007,54,1282
"1256","S02000708",2007,41,1685
"1257","S02000709",2007,120,2867
"1258","S02000710",2007,88,1835
"1259","S02000711",2007,60,1184
"1260","S02000712",2007,33,1582
"1261","S02000713",2007,130,1823
"1262","S02000714",2007,47,1494
"1263","S02000715",2007,16,1595
"1264","S02000716",2007,13,1257
"1265","S02000771",2007,70,1195
"1266","S02000772",2007,72,1469
"1267","S02000773",2007,163,2148
"1268","S02000774",2007,66,2249
"1269","S02000775",2007,51,2654
"1270","S02000776",2007,143,2539
"1271","S02000777",2007,95,1969
"1272","S02000778",2007,123,2747
"1273","S02000779",2007,77,2065
"1274","S02000780",2007,107,2586
"1275","S02000781",2007,137,3890
"1276","S02000782",2007,44,2009
"1277","S02000783",2007,66,2220
"1278","S02000784",2007,214,3068
"1279","S02000785",2007,110,2196
"1280","S02000786",2007,124,2085
"1281","S02000787",2007,100,2104
"1282","S02000923",2007,156,2440
"1283","S02000925",2007,96,1761
"1284","S02000926",2007,112,1505
"1285","S02000927",2007,160,1527
"1286","S02000983",2007,95,1301
"1287","S02000984",2007,116,1333
"1288","S02000985",2007,77,1692
"1289","S02000986",2007,75,1581
"1290","S02000987",2007,63,2495
"1291","S02000988",2007,98,2319
"1292","S02000989",2007,101,1348
"1293","S02000990",2007,119,2077
"1294","S02000991",2007,181,3246
"1295","S02000992",2007,108,2204
"1296","S02000993",2007,131,1598
"1297","S02000994",2007,81,1819
"1298","S02000995",2007,155,2589
"1299","S02000996",2007,71,1580
"1300","S02000997",2007,69,1913
"1301","S02000998",2007,124,1848
"1302","S02000999",2007,153,2358
"1303","S02001000",2007,403,4435
"1304","S02001001",2007,169,2567
"1305","S02001002",2007,73,2038
"1306","S02001003",2007,75,2074
"1307","S02001004",2007,189,3349
"1308","S02001005",2007,66,2143
"1309","S02001006",2007,78,1950
"1310","S02001007",2007,148,2901
"1311","S02001008",2007,123,2067
"1312","S02001009",2007,82,1304
"1313","S02001010",2007,214,2516
"1314","S02001011",2007,120,2472
"1315","S02001012",2007,62,1198
"1316","S02001013",2007,187,2466
"1317","S02001014",2007,271,3092
"1318","S02001015",2007,59,1458
"1319","S02001016",2007,190,1932
"1320","S02001017",2007,122,2178
"1321","S02001018",2007,111,2132
"1322","S02001019",2007,135,2440
"1323","S02001020",2007,56,1912
"1324","S02001146",2007,95,1991
"1325","S02001148",2007,98,2014
"1326","S02001149",2007,114,1973
"1327","S02001150",2007,88,2248
"1328","S02001152",2007,61,1364
"1329","S02001153",2007,81,1704
"1330","S02001154",2007,91,1530
"1331","S02001156",2007,284,2260
"1332","S02001157",2007,165,2019
"1333","S02001158",2007,99,1517
"1334","S02001159",2007,192,2640
"1335","S02001160",2007,96,1831
"1336","S02001161",2007,109,2045
"1337","S02001162",2007,93,1737
"1338","S02001184",2007,57,2374
"1339","S02001185",2007,68,2326
"1340","S02001186",2007,76,2783
"1341","S02001187",2007,77,2325
"1342","S02001188",2007,81,3098
"1343","S02001189",2007,115,1756
"1344","S02001190",2007,137,2369
"1345","S02001191",2007,81,2423
"1346","S02001192",2007,236,3116
"1347","S02001193",2007,84,1928
"1348","S02001194",2007,93,1925
"1349","S02001195",2007,103,2738
"1350","S02001196",2007,117,2634
"1351","S02001197",2007,87,2413
"1352","S02001198",2007,150,2415
"1353","S02001199",2007,102,2094
"1354","S02001200",2007,125,2734
"1355","S02001201",2007,80,2544
"1356","S02000260",2008,68,2217
"1357","S02000261",2008,26,920
"1358","S02000262",2008,34,1729
"1359","S02000263",2008,80,1397
"1360","S02000264",2008,60,2322
"1361","S02000265",2008,24,1109
"1362","S02000266",2008,39,1129
"1363","S02000267",2008,31,1355
"1364","S02000268",2008,55,2269
"1365","S02000269",2008,49,1341
"1366","S02000270",2008,73,2174
"1367","S02000271",2008,52,1669
"1368","S02000272",2008,57,1466
"1369","S02000273",2008,41,1215
"1370","S02000274",2008,43,1299
"1371","S02000275",2008,55,1413
"1372","S02000276",2008,56,1577
"1373","S02000277",2008,42,2036
"1374","S02000278",2008,29,1115
"1375","S02000279",2008,70,1915
"1376","S02000280",2008,31,1585
"1377","S02000281",2008,85,1986
"1378","S02000282",2008,50,1457
"1379","S02000283",2008,18,1345
"1380","S02000284",2008,33,1407
"1381","S02000285",2008,39,1058
"1382","S02000286",2008,58,1605
"1383","S02000287",2008,95,1937
"1384","S02000310",2008,49,1982
"1385","S02000311",2008,128,2438
"1386","S02000312",2008,54,1325
"1387","S02000313",2008,96,2247
"1388","S02000314",2008,53,2355
"1389","S02000316",2008,58,1393
"1390","S02000317",2008,117,2231
"1391","S02000318",2008,75,2180
"1392","S02000319",2008,45,1079
"1393","S02000320",2008,49,1438
"1394","S02000321",2008,64,2235
"1395","S02000322",2008,47,1596
"1396","S02000323",2008,46,1247
"1397","S02000324",2008,51,1672
"1398","S02000325",2008,56,1877
"1399","S02000326",2008,72,1992
"1400","S02000327",2008,66,1732
"1401","S02000328",2008,65,2796
"1402","S02000329",2008,48,1308
"1403","S02000584",2008,79,1773
"1404","S02000585",2008,19,2524
"1405","S02000586",2008,123,1779
"1406","S02000587",2008,46,2074
"1407","S02000588",2008,31,1854
"1408","S02000589",2008,59,2384
"1409","S02000590",2008,40,1200
"1410","S02000591",2008,33,1178
"1411","S02000592",2008,27,2250
"1412","S02000593",2008,115,2274
"1413","S02000594",2008,47,1472
"1414","S02000595",2008,86,1778
"1415","S02000596",2008,81,2246
"1416","S02000597",2008,50,2499
"1417","S02000598",2008,58,1469
"1418","S02000599",2008,149,2873
"1419","S02000600",2008,69,1784
"1420","S02000601",2008,11,1464
"1421","S02000602",2008,77,3146
"1422","S02000603",2008,123,2291
"1423","S02000604",2008,149,2272
"1424","S02000605",2008,108,1971
"1425","S02000606",2008,25,1356
"1426","S02000607",2008,152,2812
"1427","S02000608",2008,104,2783
"1428","S02000609",2008,114,2236
"1429","S02000610",2008,68,3071
"1430","S02000611",2008,49,1719
"1431","S02000612",2008,116,2336
"1432","S02000613",2008,30,1217
"1433","S02000614",2008,177,3053
"1434","S02000615",2008,53,2160
"1435","S02000616",2008,120,2865
"1436","S02000617",2008,36,1899
"1437","S02000618",2008,124,2164
"1438","S02000619",2008,23,2099
"1439","S02000620",2008,136,2730
"1440","S02000621",2008,73,2360
"1441","S02000622",2008,135,1845
"1442","S02000623",2008,41,1578
"1443","S02000624",2008,90,1878
"1444","S02000625",2008,53,1757
"1445","S02000626",2008,29,1771
"1446","S02000627",2008,75,2437
"1447","S02000628",2008,64,3641
"1448","S02000629",2008,52,1963
"1449","S02000630",2008,84,2107
"1450","S02000631",2008,57,2009
"1451","S02000632",2008,79,2718
"1452","S02000633",2008,47,2937
"1453","S02000634",2008,77,2638
"1454","S02000635",2008,169,4101
"1455","S02000636",2008,43,1717
"1456","S02000637",2008,40,1948
"1457","S02000638",2008,50,2328
"1458","S02000639",2008,69,1698
"1459","S02000640",2008,45,2552
"1460","S02000641",2008,50,2357
"1461","S02000642",2008,88,1997
"1462","S02000643",2008,109,1833
"1463","S02000644",2008,65,2102
"1464","S02000645",2008,56,1639
"1465","S02000646",2008,37,2198
"1466","S02000647",2008,120,2891
"1467","S02000648",2008,79,2841
"1468","S02000649",2008,47,1444
"1469","S02000650",2008,108,2309
"1470","S02000651",2008,135,2288
"1471","S02000652",2008,7,1646
"1472","S02000653",2008,53,1339
"1473","S02000654",2008,54,2936
"1474","S02000655",2008,142,3350
"1475","S02000656",2008,31,3213
"1476","S02000657",2008,48,1841
"1477","S02000658",2008,229,5374
"1478","S02000659",2008,168,3671
"1479","S02000660",2008,69,3359
"1480","S02000661",2008,158,3879
"1481","S02000662",2008,4,1635
"1482","S02000663",2008,72,2543
"1483","S02000664",2008,175,3635
"1484","S02000665",2008,140,2978
"1485","S02000666",2008,22,3186
"1486","S02000667",2008,70,2373
"1487","S02000668",2008,168,2805
"1488","S02000669",2008,49,1906
"1489","S02000670",2008,36,2178
"1490","S02000671",2008,79,2400
"1491","S02000672",2008,122,2726
"1492","S02000673",2008,69,2003
"1493","S02000674",2008,138,1907
"1494","S02000675",2008,97,3346
"1495","S02000676",2008,55,2014
"1496","S02000677",2008,103,2137
"1497","S02000678",2008,68,1716
"1498","S02000679",2008,94,2257
"1499","S02000680",2008,51,2500
"1500","S02000681",2008,136,2302
"1501","S02000682",2008,44,1130
"1502","S02000683",2008,101,1927
"1503","S02000684",2008,27,2054
"1504","S02000685",2008,42,3123
"1505","S02000686",2008,57,1891
"1506","S02000687",2008,18,1821
"1507","S02000688",2008,119,3396
"1508","S02000689",2008,144,3010
"1509","S02000690",2008,108,2626
"1510","S02000691",2008,53,2375
"1511","S02000692",2008,106,2865
"1512","S02000693",2008,13,2394
"1513","S02000694",2008,57,2220
"1514","S02000695",2008,165,2253
"1515","S02000696",2008,81,2287
"1516","S02000697",2008,31,1490
"1517","S02000698",2008,52,1816
"1518","S02000699",2008,45,2036
"1519","S02000700",2008,22,1464
"1520","S02000701",2008,55,2019
"1521","S02000702",2008,103,2184
"1522","S02000703",2008,27,1264
"1523","S02000704",2008,47,1799
"1524","S02000705",2008,202,3257
"1525","S02000706",2008,41,1937
"1526","S02000707",2008,51,1275
"1527","S02000708",2008,17,1685
"1528","S02000709",2008,74,2866
"1529","S02000710",2008,51,1836
"1530","S02000711",2008,44,1200
"1531","S02000712",2008,24,1585
"1532","S02000713",2008,67,1853
"1533","S02000714",2008,26,1500
"1534","S02000715",2008,13,1595
"1535","S02000716",2008,11,1263
"1536","S02000771",2008,51,1194
"1537","S02000772",2008,51,1470
"1538","S02000773",2008,141,2184
"1539","S02000774",2008,33,2249
"1540","S02000775",2008,98,2655
"1541","S02000776",2008,116,2615
"1542","S02000777",2008,58,1968
"1543","S02000778",2008,75,2798
"1544","S02000779",2008,64,2053
"1545","S02000780",2008,97,2580
"1546","S02000781",2008,77,3687
"1547","S02000782",2008,27,2000
"1548","S02000783",2008,52,2220
"1549","S02000784",2008,111,3088
"1550","S02000785",2008,76,2196
"1551","S02000786",2008,88,2085
"1552","S02000787",2008,82,2120
"1553","S02000923",2008,70,2433
"1554","S02000925",2008,58,1769
"1555","S02000926",2008,32,1505
"1556","S02000927",2008,69,1537
"1557","S02000983",2008,44,1300
"1558","S02000984",2008,88,1403
"1559","S02000985",2008,38,1692
"1560","S02000986",2008,38,1552
"1561","S02000987",2008,39,2495
"1562","S02000988",2008,50,2322
"1563","S02000989",2008,71,1378
"1564","S02000990",2008,71,2086
"1565","S02000991",2008,144,3289
"1566","S02000992",2008,58,2217
"1567","S02000993",2008,73,1604
"1568","S02000994",2008,77,1863
"1569","S02000995",2008,83,2589
"1570","S02000996",2008,56,1578
"1571","S02000997",2008,34,1749
"1572","S02000998",2008,46,1875
"1573","S02000999",2008,108,2419
"1574","S02001000",2008,266,4493
"1575","S02001001",2008,116,2375
"1576","S02001002",2008,63,2040
"1577","S02001003",2008,38,2070
"1578","S02001004",2008,122,3350
"1579","S02001005",2008,37,2101
"1580","S02001006",2008,48,1962
"1581","S02001007",2008,82,2905
"1582","S02001008",2008,74,2038
"1583","S02001009",2008,51,1304
"1584","S02001010",2008,74,2551
"1585","S02001011",2008,82,2476
"1586","S02001012",2008,42,1196
"1587","S02001013",2008,96,2466
"1588","S02001014",2008,135,3127
"1589","S02001015",2008,52,1532
"1590","S02001016",2008,230,2177
"1591","S02001017",2008,63,2177
"1592","S02001018",2008,48,2157
"1593","S02001019",2008,59,2463
"1594","S02001020",2008,39,1912
"1595","S02001146",2008,78,1988
"1596","S02001148",2008,48,2031
"1597","S02001149",2008,47,1965
"1598","S02001150",2008,57,2248
"1599","S02001152",2008,41,1379
"1600","S02001153",2008,54,1702
"1601","S02001154",2008,51,1530
"1602","S02001156",2008,108,2290
"1603","S02001157",2008,71,2030
"1604","S02001158",2008,59,1518
"1605","S02001159",2008,119,2674
"1606","S02001160",2008,41,1831
"1607","S02001161",2008,60,2044
"1608","S02001162",2008,82,1774
"1609","S02001184",2008,38,2372
"1610","S02001185",2008,97,2388
"1611","S02001186",2008,57,2783
"1612","S02001187",2008,52,2325
"1613","S02001188",2008,53,3080
"1614","S02001189",2008,53,1758
"1615","S02001190",2008,78,2369
"1616","S02001191",2008,65,2446
"1617","S02001192",2008,175,3146
"1618","S02001193",2008,50,1928
"1619","S02001194",2008,78,1937
"1620","S02001195",2008,86,2751
"1621","S02001196",2008,62,2677
"1622","S02001197",2008,69,2424
"1623","S02001198",2008,58,2418
"1624","S02001199",2008,59,2111
"1625","S02001200",2008,72,2735
"1626","S02001201",2008,51,2555
"1627","S02000260",2009,37,2218
"1628","S02000261",2009,19,920
"1629","S02000262",2009,33,1729
"1630","S02000263",2009,63,1443
"1631","S02000264",2009,53,2322
"1632","S02000265",2009,20,1123
"1633","S02000266",2009,27,1130
"1634","S02000267",2009,35,1355
"1635","S02000268",2009,57,2269
"1636","S02000269",2009,44,1341
"1637","S02000270",2009,57,2173
"1638","S02000271",2009,44,1671
"1639","S02000272",2009,65,1482
"1640","S02000273",2009,33,1215
"1641","S02000274",2009,18,1299
"1642","S02000275",2009,25,1440
"1643","S02000276",2009,42,1575
"1644","S02000277",2009,24,2000
"1645","S02000278",2009,22,1120
"1646","S02000279",2009,49,1912
"1647","S02000280",2009,27,1585
"1648","S02000281",2009,48,1984
"1649","S02000282",2009,42,1459
"1650","S02000283",2009,19,1258
"1651","S02000284",2009,23,1437
"1652","S02000285",2009,22,1058
"1653","S02000286",2009,30,1617
"1654","S02000287",2009,50,1958
"1655","S02000310",2009,53,1986
"1656","S02000311",2009,79,2444
"1657","S02000312",2009,44,1326
"1658","S02000313",2009,60,2250
"1659","S02000314",2009,37,2357
"1660","S02000316",2009,35,1393
"1661","S02000317",2009,92,2262
"1662","S02000318",2009,66,2200
"1663","S02000319",2009,35,1083
"1664","S02000320",2009,40,1439
"1665","S02000321",2009,28,2238
"1666","S02000322",2009,31,1679
"1667","S02000323",2009,38,1248
"1668","S02000324",2009,35,1672
"1669","S02000325",2009,62,1876
"1670","S02000326",2009,50,1992
"1671","S02000327",2009,49,1731
"1672","S02000328",2009,49,2838
"1673","S02000329",2009,29,1308
"1674","S02000584",2009,18,1788
"1675","S02000585",2009,8,2516
"1676","S02000586",2009,51,1802
"1677","S02000587",2009,31,2082
"1678","S02000588",2009,10,1854
"1679","S02000589",2009,31,2345
"1680","S02000590",2009,5,1203
"1681","S02000591",2009,29,1176
"1682","S02000592",2009,24,2249
"1683","S02000593",2009,79,2276
"1684","S02000594",2009,27,1472
"1685","S02000595",2009,36,1778
"1686","S02000596",2009,61,2252
"1687","S02000597",2009,23,2507
"1688","S02000598",2009,46,1469
"1689","S02000599",2009,101,2884
"1690","S02000600",2009,38,1784
"1691","S02000601",2009,11,1464
"1692","S02000602",2009,40,2914
"1693","S02000603",2009,72,2291
"1694","S02000604",2009,103,2281
"1695","S02000605",2009,79,1983
"1696","S02000606",2009,23,1356
"1697","S02000607",2009,96,2814
"1698","S02000608",2009,76,2783
"1699","S02000609",2009,108,2234
"1700","S02000610",2009,56,3018
"1701","S02000611",2009,35,1755
"1702","S02000612",2009,79,2346
"1703","S02000613",2009,14,1203
