"","pupil","school","popular","sex","texp","const","teachpop"
"802",18,40,4,0,2,1,4
"803",19,40,7,1,2,1,5
"804",20,40,NA,0,2,1,4
"805",1,41,NA,1,18,1,5
"806",2,41,NA,0,18,1,5
"807",3,41,5,0,18,1,5
"808",4,41,NA,1,18,1,4
"809",5,41,5,0,18,1,4
"810",6,41,NA,0,18,1,5
"811",7,41,5,0,18,1,4
"812",8,41,6,1,18,1,4
"813",9,41,NA,1,18,1,4
"814",10,41,NA,1,18,1,4
"815",11,41,6,1,18,1,6
"816",12,41,NA,0,18,1,4
"817",13,41,NA,0,18,1,4
"818",14,41,NA,0,18,1,4
"819",15,41,NA,1,18,1,6
"820",16,41,5,1,18,1,4
"821",17,41,6,1,18,1,4
"822",18,41,6,1,18,1,5
"823",19,41,5,0,18,1,5
"824",1,42,6,1,12,1,5
"825",2,42,4,0,12,1,4
"826",3,42,5,0,12,1,4
"827",4,42,NA,1,12,1,5
"828",5,42,NA,0,12,1,4
"829",6,42,6,1,12,1,4
"830",7,42,NA,0,12,1,5
"831",8,42,6,1,12,1,5
"832",9,42,6,1,12,1,5
"833",10,42,5,1,12,1,4
"834",11,42,NA,0,12,1,4
"835",12,42,NA,1,12,1,4
"836",13,42,NA,1,12,1,6
"837",14,42,NA,1,12,1,4
"838",15,42,5,0,12,1,4
"839",16,42,4,0,12,1,4
"840",17,42,7,1,12,1,5
"841",18,42,4,0,12,1,4
"842",19,42,6,1,12,1,6
"843",20,42,6,1,12,1,5
"844",21,42,7,1,12,1,6
"845",1,43,NA,0,12,1,4
"846",2,43,5,1,12,1,5
"847",3,43,4,0,12,1,4
"848",4,43,4,1,12,1,4
"849",5,43,NA,1,12,1,5
"850",6,43,NA,1,12,1,4
"851",7,43,4,0,12,1,4
"852",8,43,4,0,12,1,4
"853",9,43,4,1,12,1,4
"854",10,43,4,0,12,1,4
"855",11,43,4,0,12,1,4
"856",12,43,4,0,12,1,5
"857",13,43,NA,0,12,1,5
"858",14,43,NA,0,12,1,4
"859",15,43,NA,0,12,1,5
"860",16,43,5,0,12,1,4
"861",17,43,NA,0,12,1,5
"862",1,44,NA,0,14,1,5
"863",2,44,8,1,14,1,5
"864",3,44,NA,1,14,1,5
"865",4,44,5,1,14,1,5
"866",5,44,NA,0,14,1,6
"867",6,44,5,0,14,1,5
"868",7,44,NA,1,14,1,5
"869",8,44,NA,0,14,1,5
"870",9,44,5,0,14,1,5
"871",10,44,6,0,14,1,5
"872",11,44,5,0,14,1,5
"873",12,44,NA,1,14,1,5
"874",13,44,NA,1,14,1,5
"875",14,44,6,1,14,1,5
"876",15,44,NA,1,14,1,5
"877",16,44,6,0,14,1,6
"878",17,44,NA,0,14,1,6
"879",18,44,6,1,14,1,6
"880",19,44,NA,0,14,1,5
"881",1,45,NA,0,20,1,5
"882",2,45,7,1,20,1,6
"883",3,45,6,1,20,1,5
"884",4,45,NA,1,20,1,5
"885",5,45,6,0,20,1,6
"886",6,45,7,0,20,1,6
"887",7,45,NA,0,20,1,5
"888",8,45,NA,1,20,1,6
"889",9,45,NA,0,20,1,5
"890",10,45,7,1,20,1,6
"891",11,45,7,0,20,1,5
"892",12,45,NA,0,20,1,5
"893",13,45,6,0,20,1,6
"894",14,45,7,0,20,1,5
"895",15,45,NA,0,20,1,5
"896",16,45,6,0,20,1,5
"897",17,45,6,1,20,1,5
"898",18,45,NA,0,20,1,5
"899",19,45,7,0,20,1,5
"900",1,46,6,1,18,1,5
"901",2,46,6,1,18,1,6
"902",3,46,7,1,18,1,5
"903",4,46,NA,0,18,1,5
"904",5,46,5,0,18,1,5
"905",6,46,5,0,18,1,5
"906",7,46,7,1,18,1,6
"907",8,46,8,1,18,1,6
"908",9,46,6,0,18,1,5
"909",10,46,6,1,18,1,6
"910",11,46,6,1,18,1,5
"911",12,46,NA,1,18,1,5
"912",13,46,7,1,18,1,5
"913",14,46,7,1,18,1,5
"914",15,46,NA,0,18,1,6
"915",16,46,NA,0,18,1,5
"916",17,46,7,1,18,1,5
"917",18,46,NA,0,18,1,5
"918",19,46,7,1,18,1,5
"919",20,46,NA,1,18,1,5
"920",21,46,NA,1,18,1,6
"921",22,46,NA,1,18,1,6
"922",23,46,NA,0,18,1,5
"923",1,47,NA,1,13,1,3
"924",2,47,4,0,13,1,3
"925",3,47,3,1,13,1,2
"926",4,47,NA,0,13,1,3
"927",5,47,NA,0,13,1,3
"928",6,47,4,1,13,1,3
"929",7,47,4,0,13,1,3
"930",8,47,4,1,13,1,2
"931",9,47,4,1,13,1,3
"932",10,47,NA,1,13,1,2
"933",11,47,NA,0,13,1,3
"934",12,47,4,1,13,1,3
"935",13,47,NA,0,13,1,2
"936",14,47,3,0,13,1,2
"937",15,47,4,1,13,1,2
"938",16,47,5,1,13,1,3
"939",17,47,3,0,13,1,2
"940",1,48,5,1,6,1,5
"941",2,48,4,0,6,1,3
"942",3,48,5,0,6,1,4
"943",4,48,NA,0,6,1,5
"944",5,48,5,0,6,1,4
"945",6,48,NA,0,6,1,4
"946",7,48,5,1,6,1,4
"947",8,48,6,1,6,1,3
"948",9,48,NA,0,6,1,3
"949",10,48,NA,1,6,1,4
"950",11,48,4,0,6,1,4
"951",12,48,5,0,6,1,4
"952",13,48,6,1,6,1,3
"953",14,48,5,1,6,1,3
"954",15,48,5,0,6,1,5
"955",16,48,5,1,6,1,4
"956",17,48,NA,1,6,1,4
"957",18,48,5,0,6,1,3
"958",19,48,NA,0,6,1,3
"959",1,49,NA,1,7,1,4
"960",2,49,5,1,7,1,3
"961",3,49,4,0,7,1,4
"962",4,49,NA,1,7,1,4
"963",5,49,5,1,7,1,3
"964",6,49,NA,0,7,1,3
"965",7,49,NA,1,7,1,3
"966",8,49,NA,0,7,1,3
"967",9,49,4,0,7,1,3
"968",10,49,NA,1,7,1,4
"969",11,49,5,1,7,1,4
"970",12,49,6,1,7,1,3
"971",13,49,6,1,7,1,3
"972",14,49,NA,0,7,1,4
"973",15,49,NA,1,7,1,4
"974",16,49,4,0,7,1,4
"975",17,49,NA,0,7,1,3
"976",18,49,NA,1,7,1,3
"977",19,49,4,0,7,1,4
"978",20,49,4,0,7,1,3
"979",1,50,NA,0,25,1,6
"980",2,50,8,1,25,1,7
"981",3,50,7,1,25,1,6
"982",4,50,7,0,25,1,6
"983",5,50,NA,0,25,1,6
"984",6,50,7,1,25,1,6
"985",7,50,NA,0,25,1,6
"986",8,50,NA,0,25,1,5
"987",9,50,6,0,25,1,6
"988",10,50,NA,0,25,1,5
"989",11,50,7,1,25,1,6
"990",12,50,NA,0,25,1,6
"991",13,50,NA,1,25,1,6
"992",14,50,8,0,25,1,6
"993",15,50,NA,0,25,1,7
"994",16,50,8,1,25,1,6
"995",17,50,NA,0,25,1,6
"996",18,50,6,1,25,1,6
"997",19,50,9,1,25,1,6
"998",20,50,8,1,25,1,6
"999",1,51,NA,0,16,1,5
"1000",2,51,NA,1,16,1,5
"1001",3,51,5,0,16,1,5
"1002",4,51,NA,1,16,1,5
"1003",5,51,NA,1,16,1,5
"1004",6,51,NA,1,16,1,5
"1005",7,51,5,1,16,1,5
"1006",8,51,NA,0,16,1,5
"1007",9,51,NA,1,16,1,6
"1008",10,51,6,1,16,1,5
"1009",11,51,6,0,16,1,5
"1010",12,51,6,0,16,1,5
"1011",13,51,NA,0,16,1,5
"1012",14,51,8,1,16,1,5
"1013",15,51,6,1,16,1,5
"1014",16,51,NA,0,16,1,4
"1015",17,51,5,1,16,1,5
"1016",18,51,NA,1,16,1,5
"1017",19,51,NA,0,16,1,5
"1018",20,51,5,0,16,1,4
"1019",21,51,6,1,16,1,6
"1020",22,51,7,1,16,1,5
"1021",23,51,NA,0,16,1,5
"1022",1,52,NA,1,7,1,4
"1023",2,52,NA,0,7,1,4
"1024",3,52,6,1,7,1,4
"1025",4,52,6,1,7,1,4
"1026",5,52,6,1,7,1,5
"1027",6,52,4,0,7,1,4
"1028",7,52,5,0,7,1,5
"1029",8,52,NA,0,7,1,4
"1030",9,52,NA,1,7,1,4
"1031",10,52,6,1,7,1,4
"1032",11,52,NA,1,7,1,5
"1033",12,52,NA,0,7,1,4
"1034",13,52,4,0,7,1,4
"1035",14,52,4,0,7,1,4
"1036",15,52,5,0,7,1,4
"1037",16,52,NA,0,7,1,4
"1038",17,52,NA,1,7,1,5
"1039",18,52,NA,0,7,1,4
"1040",19,52,6,1,7,1,4
"1041",20,52,5,0,7,1,5
"1042",21,52,6,1,7,1,4
"1043",22,52,7,1,7,1,4
"1044",23,52,5,0,7,1,4
"1045",1,53,NA,1,21,1,4
"1046",2,53,5,1,21,1,4
"1047",3,53,NA,0,21,1,4
"1048",4,53,5,1,21,1,4
"1049",5,53,NA,0,21,1,4
"1050",6,53,6,0,21,1,4
"1051",7,53,NA,0,21,1,4
"1052",8,53,5,1,21,1,4
"1053",9,53,5,1,21,1,5
"1054",10,53,NA,0,21,1,4
"1055",11,53,NA,0,21,1,5
"1056",12,53,NA,0,21,1,5
"1057",13,53,NA,0,21,1,4
"1058",14,53,NA,1,21,1,4
"1059",15,53,NA,0,21,1,4
"1060",16,53,NA,1,21,1,4
"1061",17,53,NA,0,21,1,4
"1062",18,53,5,0,21,1,5
"1063",19,53,NA,1,21,1,5
"1064",1,54,7,1,16,1,5
"1065",2,54,5,0,16,1,4
"1066",3,54,NA,0,16,1,4
"1067",4,54,5,0,16,1,5
"1068",5,54,NA,0,16,1,4
"1069",6,54,5,0,16,1,4
"1070",7,54,6,1,16,1,5
"1071",8,54,5,0,16,1,4
"1072",9,54,5,0,16,1,4
"1073",10,54,NA,0,16,1,4
"1074",11,54,6,1,16,1,4
"1075",12,54,5,0,16,1,4
"1076",13,54,NA,0,16,1,4
"1077",14,54,6,1,16,1,4
"1078",15,54,NA,1,16,1,4
"1079",16,54,6,1,16,1,6
"1080",17,54,NA,0,16,1,5
"1081",18,54,NA,1,16,1,6
"1082",19,54,6,1,16,1,6
"1083",1,55,NA,1,7,1,4
"1084",2,55,NA,1,7,1,4
"1085",3,55,5,1,7,1,4
"1086",4,55,4,0,7,1,4
"1087",5,55,NA,1,7,1,3
"1088",6,55,NA,1,7,1,3
"1089",7,55,NA,0,7,1,3
"1090",8,55,4,1,7,1,4
"1091",9,55,NA,1,7,1,4
"1092",10,55,NA,0,7,1,3
"1093",11,55,NA,0,7,1,4
"1094",12,55,NA,0,7,1,4
"1095",13,55,4,1,7,1,4
"1096",14,55,5,1,7,1,4
"1097",15,55,4,1,7,1,3
"1098",16,55,5,0,7,1,3
"1099",17,55,4,1,7,1,3
"1100",18,55,5,0,7,1,4
"1101",19,55,NA,1,7,1,3
"1102",20,55,NA,0,7,1,3
"1103",21,55,NA,0,7,1,3
"1104",1,56,NA,0,12,1,4
"1105",2,56,NA,0,12,1,3
"1106",3,56,6,1,12,1,5
"1107",4,56,NA,0,12,1,3
"1108",5,56,NA,0,12,1,4
"1109",6,56,5,1,12,1,3
"1110",7,56,5,1,12,1,3
"1111",8,56,NA,0,12,1,3
"1112",9,56,NA,0,12,1,4
"1113",10,56,NA,1,12,1,4
"1114",11,56,5,1,12,1,4
"1115",12,56,NA,1,12,1,4
"1116",13,56,NA,1,12,1,4
"1117",14,56,NA,0,12,1,4
"1118",15,56,4,0,12,1,4
"1119",16,56,NA,1,12,1,5
"1120",17,56,4,0,12,1,3
"1121",18,56,4,0,12,1,5
"1122",19,56,5,1,12,1,4
"1123",1,57,NA,1,4,1,5
"1124",2,57,NA,1,4,1,5
"1125",3,57,3,0,4,1,3
"1126",4,57,NA,0,4,1,3
"1127",5,57,5,1,4,1,4
"1128",6,57,NA,1,4,1,5
"1129",7,57,NA,0,4,1,3
"1130",8,57,4,1,4,1,4
"1131",9,57,NA,1,4,1,3
"1132",10,57,NA,0,4,1,3
"1133",11,57,5,1,4,1,4
"1134",12,57,NA,1,4,1,4
"1135",13,57,4,0,4,1,4
"1136",14,57,NA,1,4,1,3
"1137",15,57,NA,0,4,1,3
"1138",16,57,NA,1,4,1,4
"1139",17,57,NA,0,4,1,3
"1140",18,57,4,1,4,1,4
"1141",1,58,NA,0,22,1,5
"1142",2,58,5,1,22,1,4
"1143",3,58,7,1,22,1,5
"1144",4,58,NA,1,22,1,5
"1145",5,58,5,0,22,1,5
"1146",6,58,6,0,22,1,5
"1147",7,58,NA,1,22,1,5
"1148",8,58,4,0,22,1,5
"1149",9,58,6,1,22,1,6
"1150",10,58,NA,0,22,1,5
"1151",11,58,7,1,22,1,5
"1152",12,58,7,0,22,1,5
"1153",13,58,NA,1,22,1,5
"1154",14,58,5,0,22,1,4
"1155",15,58,5,1,22,1,5
"1156",16,58,7,1,22,1,6
"1157",17,58,5,1,22,1,5
"1158",18,58,7,1,22,1,5
"1159",19,58,NA,0,22,1,5
"1160",20,58,6,0,22,1,5
"1161",1,59,NA,0,5,1,2
"1162",2,59,4,1,5,1,3
"1163",3,59,6,1,5,1,3
"1164",4,59,NA,0,5,1,2
"1165",5,59,NA,0,5,1,4
"1166",6,59,2,0,5,1,2
"1167",7,59,NA,0,5,1,3
"1168",8,59,5,1,5,1,4
"1169",9,59,4,1,5,1,3
"1170",10,59,NA,0,5,1,4
"1171",11,59,4,0,5,1,4
"1172",12,59,3,0,5,1,2
"1173",13,59,5,1,5,1,4
"1174",14,59,4,1,5,1,3
"1175",15,59,4,1,5,1,4
"1176",16,59,NA,0,5,1,3
"1177",17,59,5,0,5,1,4
"1178",1,60,3,0,3,1,4
"1179",2,60,NA,1,3,1,4
"1180",3,60,NA,0,3,1,3
"1181",4,60,5,1,3,1,4
"1182",5,60,NA,1,3,1,3
"1183",6,60,NA,0,3,1,3
"1184",7,60,4,1,3,1,2
"1185",8,60,4,1,3,1,4
"1186",9,60,3,0,3,1,2
"1187",10,60,4,0,3,1,4
"1188",11,60,4,1,3,1,4
"1189",12,60,NA,0,3,1,3
"1190",13,60,4,1,3,1,4
"1191",14,60,4,1,3,1,3
"1192",16,60,3,1,3,1,3
"1193",17,60,4,1,3,1,4
"1194",18,60,NA,0,3,1,3
"1195",19,60,NA,0,3,1,3
"1196",20,60,4,0,3,1,3
"1197",21,60,NA,1,3,1,3
"1198",22,60,NA,0,3,1,3
"1199",1,61,5,1,23,1,4
"1200",2,61,NA,0,23,1,4
"1201",3,61,5,1,23,1,3
"1202",4,61,NA,1,23,1,5
"1203",5,61,NA,1,23,1,3
"1204",6,61,NA,0,23,1,4
"1205",7,61,NA,1,23,1,4
"1206",8,61,5,1,23,1,3
"1207",9,61,5,0,23,1,3
"1208",10,61,5,1,23,1,3
"1209",11,61,5,1,23,1,5
"1210",12,61,NA,0,23,1,3
"1211",13,61,5,1,23,1,4
"1212",14,61,NA,1,23,1,5
"1213",15,61,4,0,23,1,5
"1214",16,61,5,0,23,1,4
"1215",17,61,6,1,23,1,4
"1216",18,61,6,0,23,1,4
"1217",19,61,NA,0,23,1,4
"1218",1,62,7,1,25,1,5
"1219",2,62,NA,0,25,1,5
"1220",3,62,NA,0,25,1,5
"1221",4,62,6,0,25,1,5
"1222",5,62,NA,0,25,1,6
"1223",6,62,7,1,25,1,6
"1224",7,62,NA,1,25,1,5
"1225",8,62,7,1,25,1,6
"1226",9,62,6,1,25,1,5
"1227",10,62,7,1,25,1,5
"1228",11,62,6,1,25,1,5
"1229",12,62,NA,1,25,1,6
"1230",13,62,NA,0,25,1,5
"1231",14,62,NA,0,25,1,5
"1232",15,62,7,0,25,1,6
"1233",16,62,7,1,25,1,5
"1234",17,62,7,0,25,1,5
"1235",18,62,6,0,25,1,5
"1236",19,62,7,1,25,1,5
"1237",20,62,NA,0,25,1,5
"1238",1,63,NA,1,15,1,3
"1239",2,63,5,0,15,1,4
"1240",3,63,4,1,15,1,4
"1241",4,63,NA,0,15,1,4
"1242",5,63,NA,0,15,1,3
"1243",6,63,NA,0,15,1,2
"1244",7,63,4,0,15,1,3
"1245",8,63,4,1,15,1,3
"1246",9,63,4,0,15,1,3
"1247",10,63,4,1,15,1,3
"1248",11,63,4,0,15,1,3
"1249",12,63,NA,1,15,1,3
"1250",13,63,NA,0,15,1,2
"1251",14,63,NA,0,15,1,4
"1252",15,63,4,1,15,1,4
"1253",16,63,NA,1,15,1,2
"1254",17,63,NA,0,15,1,3
"1255",18,63,NA,1,15,1,3
"1256",19,63,NA,0,15,1,2
"1257",20,63,5,1,15,1,3
"1258",21,63,4,1,15,1,3
"1259",22,63,4,1,15,1,4
"1260",23,63,NA,1,15,1,2
"1261",24,63,4,0,15,1,4
"1262",25,63,NA,0,15,1,4
"1263",1,64,6,1,25,1,6
"1264",2,64,7,1,25,1,6
"1265",3,64,NA,0,25,1,6
"1266",4,64,7,1,25,1,6
"1267",5,64,7,0,25,1,5
"1268",6,64,NA,1,25,1,6
"1269",7,64,6,1,25,1,6
"1270",8,64,NA,0,25,1,7
"1271",9,64,6,0,25,1,5
"1272",11,64,8,0,25,1,7
"1273",12,64,8,1,25,1,6
"1274",13,64,NA,1,25,1,6
"1275",14,64,7,1,25,1,6
"1276",15,64,8,1,25,1,7
"1277",16,64,6,0,25,1,6
"1278",17,64,7,0,25,1,6
"1279",18,64,NA,0,25,1,6
"1280",19,64,7,1,25,1,6
"1281",20,64,NA,0,25,1,6
"1282",1,65,5,0,22,1,5
"1283",2,65,6,0,22,1,5
"1284",3,65,NA,0,22,1,5
"1285",4,65,7,1,22,1,5
"1286",5,65,7,1,22,1,5
"1287",6,65,7,1,22,1,6
"1288",7,65,NA,0,22,1,5
"1289",8,65,6,0,22,1,5
"1290",9,65,5,0,22,1,5
"1291",10,65,7,1,22,1,5
"1292",11,65,7,1,22,1,5
"1293",12,65,6,0,22,1,5
"1294",13,65,NA,0,22,1,5
"1295",14,65,7,1,22,1,5
"1296",15,65,NA,0,22,1,6
"1297",16,65,NA,1,22,1,6
"1298",17,65,NA,0,22,1,5
"1299",18,65,NA,0,22,1,5
"1300",19,65,NA,0,22,1,5
"1301",20,65,NA,1,22,1,5
"1302",21,65,NA,1,22,1,6
"1303",22,65,7,1,22,1,5
"1304",1,66,5,1,8,1,4
"1305",2,66,4,1,8,1,4
"1306",3,66,NA,0,8,1,4
"1307",4,66,NA,0,8,1,5
"1308",5,66,5,1,8,1,4
"1309",6,66,6,1,8,1,4
"1310",7,66,NA,1,8,1,5
"1311",8,66,5,1,8,1,4
"1312",9,66,4,1,8,1,4
"1313",10,66,4,1,8,1,4
"1314",11,66,NA,0,8,1,4
"1315",12,66,NA,1,8,1,4
"1316",13,66,4,1,8,1,5
"1317",14,66,NA,1,8,1,5
"1318",15,66,5,1,8,1,4
"1319",16,66,NA,0,8,1,4
"1320",17,66,4,0,8,1,4
"1321",18,66,5,0,8,1,4
"1322",19,66,NA,1,8,1,4
"1323",20,66,NA,0,8,1,4
"1324",1,67,NA,0,23,1,4
"1325",2,67,6,1,23,1,4
"1326",3,67,NA,0,23,1,4
"1327",4,67,NA,1,23,1,4
"1328",5,67,NA,1,23,1,5
"1329",6,67,NA,0,23,1,4
"1330",7,67,6,1,23,1,5
"1331",8,67,NA,0,23,1,5
"1332",9,67,NA,1,23,1,6
"1333",10,67,6,1,23,1,5
"1334",11,67,5,0,23,1,5
"1335",12,67,6,1,23,1,4
"1336",13,67,NA,1,23,1,4
"1337",14,67,NA,0,23,1,4
"1338",15,67,NA,1,23,1,5
"1339",16,67,NA,0,23,1,5
"1340",17,67,5,1,23,1,4
"1341",18,67,6,1,23,1,4
"1342",19,67,5,0,23,1,4
"1343",20,67,NA,1,23,1,4
"1344",21,67,NA,1,23,1,5
"1345",1,68,NA,0,20,1,4
"1346",2,68,5,0,20,1,4
"1347",3,68,NA,0,20,1,4
"1348",4,68,5,0,20,1,5
"1349",5,68,NA,0,20,1,4
"1350",6,68,NA,1,20,1,4
"1351",7,68,5,0,20,1,3
"1352",8,68,5,0,20,1,4
"1353",9,68,NA,1,20,1,4
"1354",10,68,4,1,20,1,3
"1355",11,68,NA,0,20,1,3
"1356",12,68,NA,0,20,1,4
"1357",13,68,6,1,20,1,4
"1358",14,68,5,1,20,1,4
"1359",15,68,NA,0,20,1,4
"1360",16,68,NA,0,20,1,3
"1361",17,68,5,0,20,1,4
"1362",1,69,5,0,24,1,4
"1363",2,69,4,1,24,1,3
"1364",4,69,5,0,24,1,4
"1365",5,69,4,1,24,1,4
"1366",6,69,NA,0,24,1,3
"1367",7,69,NA,0,24,1,4
"1368",8,69,5,0,24,1,5
"1369",9,69,NA,1,24,1,3
"1370",10,69,4,0,24,1,3
"1371",11,69,NA,1,24,1,3
"1372",12,69,NA,0,24,1,4
"1373",13,69,5,0,24,1,4
"1374",14,69,NA,0,24,1,4
"1375",15,69,4,1,24,1,3
"1376",16,69,5,0,24,1,4
"1377",17,69,NA,1,24,1,3
"1378",18,69,5,1,24,1,4
"1379",19,69,NA,1,24,1,4
"1380",1,70,NA,1,22,1,5
"1381",2,70,NA,1,22,1,5
"1382",3,70,NA,1,22,1,5
"1383",4,70,7,1,22,1,5
"1384",5,70,NA,1,22,1,5
"1385",6,70,6,1,22,1,5
"1386",7,70,NA,0,22,1,4
"1387",8,70,6,0,22,1,5
"1388",9,70,6,0,22,1,5
"1389",10,70,6,1,22,1,5
"1390",11,70,NA,0,22,1,5
"1391",12,70,NA,0,22,1,6
"1392",13,70,NA,0,22,1,5
"1393",14,70,5,0,22,1,5
"1394",15,70,NA,1,22,1,5
"1395",16,70,6,0,22,1,5
"1396",17,70,NA,1,22,1,5
"1397",18,70,5,1,22,1,4
"1398",19,70,6,0,22,1,5
"1399",20,70,NA,0,22,1,5
"1400",21,70,6,0,22,1,5
"1401",1,71,7,0,18,1,6
"1402",2,71,6,0,18,1,5
"1403",3,71,NA,0,18,1,5
"1404",4,71,NA,1,18,1,5
"1405",5,71,NA,0,18,1,5
"1406",6,71,6,0,18,1,5
"1407",7,71,7,1,18,1,5
"1408",8,71,7,1,18,1,5
"1409",9,71,7,0,18,1,5
"1410",10,71,7,1,18,1,5
"1411",11,71,6,0,18,1,5
"1412",12,71,NA,1,18,1,6
"1413",13,71,6,1,18,1,5
"1414",14,71,NA,0,18,1,6
"1415",15,71,7,1,18,1,5
"1416",16,71,NA,1,18,1,5
"1417",17,71,7,0,18,1,5
"1418",18,71,NA,0,18,1,5
"1419",19,71,NA,1,18,1,5
"1420",20,71,6,1,18,1,6
"1421",21,71,7,1,18,1,6
"1422",22,71,NA,1,18,1,5
"1423",1,72,4,0,19,1,3
"1424",2,72,NA,0,19,1,3
"1425",3,72,NA,0,19,1,3
"1426",4,72,4,0,19,1,3
"1427",5,72,NA,0,19,1,3
"1428",6,72,NA,0,19,1,3
"1429",7,72,NA,1,19,1,3
"1430",8,72,NA,1,19,1,3
"1431",9,72,NA,0,19,1,4
"1432",10,72,4,0,19,1,4
"1433",11,72,NA,0,19,1,3
"1434",12,72,4,0,19,1,3
"1435",13,72,5,1,19,1,3
"1436",14,72,NA,0,19,1,4
"1437",15,72,NA,0,19,1,3
"1438",16,72,NA,0,19,1,4
"1439",17,72,4,0,19,1,3
"1440",18,72,5,0,19,1,4
"1441",19,72,NA,1,19,1,4
"1442",20,72,6,0,19,1,4
"1443",21,72,NA,0,19,1,4
"1444",1,73,NA,1,14,1,4
"1445",2,73,6,1,14,1,4
"1446",3,73,7,1,14,1,5
"1447",4,73,7,1,14,1,5
"1448",5,73,4,0,14,1,4
"1449",6,73,NA,0,14,1,4
"1450",7,73,NA,0,14,1,4
"1451",8,73,5,1,14,1,5
"1452",9,73,5,1,14,1,4
"1453",10,73,NA,0,14,1,5
"1454",11,73,NA,1,14,1,5
"1455",12,73,5,1,14,1,5
"1456",13,73,NA,0,14,1,4
"1457",14,73,NA,0,14,1,4
"1458",15,73,NA,0,14,1,4
"1459",16,73,4,0,14,1,4
"1460",17,73,NA,0,14,1,5
"1461",18,73,6,1,14,1,4
"1462",19,73,NA,1,14,1,4
"1463",20,73,NA,0,14,1,4
"1464",1,74,NA,1,17,1,5
"1465",2,74,NA,0,17,1,5
"1466",3,74,6,1,17,1,6
"1467",4,74,5,0,17,1,5
"1468",5,74,NA,0,17,1,4
"1469",6,74,7,1,17,1,6
"1470",7,74,5,0,17,1,4
"1471",8,74,6,0,17,1,5
"1472",9,74,NA,0,17,1,4
"1473",10,74,NA,0,17,1,4
"1474",11,74,4,0,17,1,4
"1475",12,74,5,1,17,1,4
"1476",13,74,5,1,17,1,5
"1477",14,74,NA,0,17,1,4
"1478",15,74,7,1,17,1,5
"1479",16,74,5,1,17,1,4
"1480",17,74,6,0,17,1,5
"1481",1,75,5,0,21,1,5
"1482",2,75,6,1,21,1,4
"1483",3,75,6,0,21,1,5
"1484",4,75,NA,1,21,1,4
"1485",5,75,NA,0,21,1,4
"1486",6,75,NA,0,21,1,5
"1487",7,75,6,1,21,1,5
"1488",8,75,NA,0,21,1,4
"1489",9,75,6,0,21,1,5
"1490",10,75,5,0,21,1,4
"1491",11,75,NA,0,21,1,4
"1492",12,75,NA,0,21,1,5
"1493",13,75,5,0,21,1,4
"1494",14,75,NA,0,21,1,4
"1495",15,75,NA,1,21,1,5
"1496",16,75,7,1,21,1,5
"1497",17,75,NA,1,21,1,6
"1498",1,76,5,0,16,1,5
"1499",2,76,NA,1,16,1,5
"1500",3,76,4,0,16,1,5
"1501",4,76,8,1,16,1,6
"1502",5,76,6,1,16,1,5
"1503",6,76,NA,0,16,1,5
"1504",7,76,5,0,16,1,5
"1505",8,76,7,1,16,1,5
"1506",9,76,7,1,16,1,5
"1507",10,76,6,0,16,1,5
"1508",11,76,NA,0,16,1,5
"1509",12,76,5,1,16,1,5
"1510",13,76,NA,0,16,1,5
"1511",14,76,5,0,16,1,4
"1512",15,76,NA,0,16,1,4
"1513",16,76,6,1,16,1,6
"1514",17,76,NA,1,16,1,6
"1515",18,76,5,0,16,1,4
"1516",1,77,NA,0,3,1,4
"1517",2,77,5,1,3,1,4
"1518",3,77,4,1,3,1,4
"1519",4,77,4,1,3,1,3
"1520",5,77,4,1,3,1,4
"1521",6,77,NA,0,3,1,4
"1522",7,77,5,1,3,1,4
"1523",8,77,NA,0,3,1,3
"1524",9,77,5,1,3,1,4
"1525",10,77,3,0,3,1,3
"1526",11,77,NA,0,3,1,3
"1527",12,77,3,0,3,1,3
"1528",13,77,4,0,3,1,4
"1529",14,77,3,0,3,1,3
"1530",15,77,NA,0,3,1,3
"1531",16,77,4,0,3,1,3
"1532",17,77,NA,1,3,1,4
"1533",18,77,NA,1,3,1,4
"1534",19,77,NA,0,3,1,4
"1535",1,78,7,0,23,1,6
"1536",2,78,8,1,23,1,6
"1537",3,78,8,1,23,1,7
"1538",4,78,6,0,23,1,6
"1539",5,78,NA,0,23,1,6
"1540",6,78,NA,1,23,1,5
"1541",7,78,6,0,23,1,6
"1542",8,78,7,1,23,1,6
"1543",9,78,NA,0,23,1,6
"1544",10,78,NA,0,23,1,6
"1545",11,78,NA,0,23,1,6
"1546",12,78,NA,0,23,1,6
"1547",13,78,8,1,23,1,6
"1548",14,78,NA,1,23,1,6
"1549",15,78,6,0,23,1,6
"1550",16,78,NA,0,23,1,5
"1551",17,78,NA,1,23,1,6
"1552",18,78,7,1,23,1,6
"1553",1,79,NA,1,15,1,4
"1554",2,79,5,0,15,1,4
"1555",3,79,6,0,15,1,5
"1556",4,79,NA,0,15,1,4
"1557",5,79,NA,1,15,1,5
"1558",6,79,5,0,15,1,4
"1559",7,79,NA,0,15,1,5
"1560",8,79,NA,0,15,1,5
"1561",9,79,5,0,15,1,4
"1562",10,79,NA,1,15,1,5
"1563",11,79,6,1,15,1,4
"1564",12,79,4,1,15,1,4
"1565",13,79,7,1,15,1,4
"1566",14,79,5,0,15,1,4
"1567",15,79,6,1,15,1,4
"1568",16,79,NA,0,15,1,4
