"","number","frequency","percentage","description"
"659",793,1,3.33055786844296e-05,NA
"660",802,1,3.33055786844296e-05,NA
"661",812,1,3.33055786844296e-05,NA
"662",813,1,3.33055786844296e-05,NA
"663",817,1,3.33055786844296e-05,NA
"664",818,1,3.33055786844296e-05,NA
"665",821,1,3.33055786844296e-05,NA
"666",829,1,3.33055786844296e-05,NA
"667",852,1,3.33055786844296e-05,NA
"668",857,1,3.33055786844296e-05,NA
"669",864,1,3.33055786844296e-05,NA
"670",867,1,3.33055786844296e-05,NA
"671",876,1,3.33055786844296e-05,NA
"672",881,1,3.33055786844296e-05,NA
"673",887,1,3.33055786844296e-05,NA
"674",899,1,3.33055786844296e-05,NA
"675",900,1,3.33055786844296e-05,NA
"676",913,1,3.33055786844296e-05,NA
"677",915,1,3.33055786844296e-05,NA
"678",916,1,3.33055786844296e-05,NA
"679",923,1,3.33055786844296e-05,NA
"680",924,1,3.33055786844296e-05,NA
"681",925,1,3.33055786844296e-05,NA
"682",930,1,3.33055786844296e-05,NA
"683",941,1,3.33055786844296e-05,NA
"684",942,1,3.33055786844296e-05,NA
"685",943,1,3.33055786844296e-05,NA
"686",949,1,3.33055786844296e-05,NA
"687",960,1,3.33055786844296e-05,NA
"688",963,1,3.33055786844296e-05,NA
"689",983,1,3.33055786844296e-05,NA
"690",987,1,3.33055786844296e-05,NA
"691",1008,1,3.33055786844296e-05,NA
"692",1009,1,3.33055786844296e-05,NA
"693",1010,1,3.33055786844296e-05,NA
"694",1020,1,3.33055786844296e-05,NA
"695",1026,1,3.33055786844296e-05,NA
"696",1031,1,3.33055786844296e-05,NA
"697",1037,1,3.33055786844296e-05,NA
"698",1043,1,3.33055786844296e-05,NA
"699",1057,1,3.33055786844296e-05,NA
"700",1061,1,3.33055786844296e-05,NA
"701",1066,1,3.33055786844296e-05,NA
"702",1088,1,3.33055786844296e-05,NA
"703",1107,1,3.33055786844296e-05,NA
"704",1113,1,3.33055786844296e-05,NA
"705",1114,1,3.33055786844296e-05,NA
"706",1120,1,3.33055786844296e-05,NA
"707",1127,1,3.33055786844296e-05,NA
"708",1128,1,3.33055786844296e-05,NA
"709",1134,1,3.33055786844296e-05,NA
"710",1142,1,3.33055786844296e-05,NA
"711",1144,1,3.33055786844296e-05,NA
"712",1154,1,3.33055786844296e-05,NA
"713",1155,1,3.33055786844296e-05,NA
"714",1165,1,3.33055786844296e-05,NA
"715",1184,1,3.33055786844296e-05,NA
"716",1208,1,3.33055786844296e-05,NA
"717",1212,1,3.33055786844296e-05,NA
"718",1219,1,3.33055786844296e-05,NA
"719",1222,1,3.33055786844296e-05,NA
"720",1225,1,3.33055786844296e-05,NA
"721",1228,1,3.33055786844296e-05,NA
"722",1231,1,3.33055786844296e-05,NA
"723",1236,1,3.33055786844296e-05,NA
"724",1238,1,3.33055786844296e-05,NA
"725",1247,1,3.33055786844296e-05,NA
"726",1259,1,3.33055786844296e-05,NA
"727",1260,1,3.33055786844296e-05,NA
"728",1280.33333333333,1,3.33055786844296e-05,NA
"729",1289,1,3.33055786844296e-05,NA
"730",1294,1,3.33055786844296e-05,NA
"731",1296,1,3.33055786844296e-05,NA
"732",1329,1,3.33055786844296e-05,NA
"733",1332,1,3.33055786844296e-05,NA
"734",1342,1,3.33055786844296e-05,NA
"735",1357,1,3.33055786844296e-05,NA
"736",1364,1,3.33055786844296e-05,NA
"737",1369,1,3.33055786844296e-05,NA
"738",1375,1,3.33055786844296e-05,NA
"739",1397,1,3.33055786844296e-05,NA
"740",1440,1,3.33055786844296e-05,NA
"741",1441,1,3.33055786844296e-05,NA
"742",1472,1,3.33055786844296e-05,NA
"743",1479,1,3.33055786844296e-05,NA
"744",1484,1,3.33055786844296e-05,NA
"745",1523,1,3.33055786844296e-05,NA
"746",1607,1,3.33055786844296e-05,NA
"747",1618,1,3.33055786844296e-05,NA
"748",1623,1,3.33055786844296e-05,NA
"749",1632,1,3.33055786844296e-05,NA
"750",1664,1,3.33055786844296e-05,NA
"751",1692,1,3.33055786844296e-05,NA
"752",1720,1,3.33055786844296e-05,NA
"753",1728,1,3.33055786844296e-05,NA
"754",1732,1,3.33055786844296e-05,NA
"755",1740,1,3.33055786844296e-05,NA
"756",1743,1,3.33055786844296e-05,NA
"757",1750,1,3.33055786844296e-05,NA
"758",1760,1,3.33055786844296e-05,NA
"759",1776,1,3.33055786844296e-05,NA
"760",1787,1,3.33055786844296e-05,NA
"761",1789,1,3.33055786844296e-05,NA
"762",1800,1,3.33055786844296e-05,NA
"763",1804,1,3.33055786844296e-05,NA
"764",1805,1,3.33055786844296e-05,NA
"765",1821,1,3.33055786844296e-05,NA
"766",1866,1,3.33055786844296e-05,NA
"767",1874,1,3.33055786844296e-05,NA
"768",1876,1,3.33055786844296e-05,NA
"769",1882,1,3.33055786844296e-05,NA
"770",1889,1,3.33055786844296e-05,NA
"771",1944,1,3.33055786844296e-05,NA
"772",1946,1,3.33055786844296e-05,NA
"773",1950,1,3.33055786844296e-05,NA
"774",1952,1,3.33055786844296e-05,NA
"775",1960,1,3.33055786844296e-05,NA
"776",1964,1,3.33055786844296e-05,NA
"777",1969,1,3.33055786844296e-05,NA
"778",1971,1,3.33055786844296e-05,NA
"779",1973,1,3.33055786844296e-05,NA
"780",1978,1,3.33055786844296e-05,NA
"781",1979,1,3.33055786844296e-05,NA
"782",1983,1,3.33055786844296e-05,NA
"783",1984,1,3.33055786844296e-05,NA
"784",1985,1,3.33055786844296e-05,NA
"785",1987,1,3.33055786844296e-05,NA
"786",1991,1,3.33055786844296e-05,NA
"787",1994,1,3.33055786844296e-05,NA
"788",1998,1,3.33055786844296e-05,NA
"789",2002,1,3.33055786844296e-05,NA
"790",2007,1,3.33055786844296e-05,NA
"791",2018,1,3.33055786844296e-05,NA
"792",2022,1,3.33055786844296e-05,NA
"793",2043,1,3.33055786844296e-05,NA
"794",2048,1,3.33055786844296e-05,NA
"795",2114,1,3.33055786844296e-05,NA
"796",2255,1,3.33055786844296e-05,NA
"797",2309,1,3.33055786844296e-05,NA
"798",2357,1,3.33055786844296e-05,NA
"799",2400,1,3.33055786844296e-05,NA
"800",2471,1,3.33055786844296e-05,NA
"801",2501,1,3.33055786844296e-05,NA
"802",2505,1,3.33055786844296e-05,NA
"803",2510,1,3.33055786844296e-05,NA
"804",2579,1,3.33055786844296e-05,NA
"805",2592,1,3.33055786844296e-05,NA
"806",2621,1,3.33055786844296e-05,NA
"807",2648,1,3.33055786844296e-05,NA
"808",2701,1,3.33055786844296e-05,NA
"809",2710,1,3.33055786844296e-05,NA
"810",2715,1,3.33055786844296e-05,NA
"811",2718,1,3.33055786844296e-05,NA
"812",2729,1,3.33055786844296e-05,NA
"813",2769,1,3.33055786844296e-05,NA
"814",2882,1,3.33055786844296e-05,NA
"815",2884,1,3.33055786844296e-05,NA
"816",2892,1,3.33055786844296e-05,NA
"817",2896,1,3.33055786844296e-05,NA
"818",2897,1,3.33055786844296e-05,NA
"819",3013,1,3.33055786844296e-05,NA
"820",3020,1,3.33055786844296e-05,NA
"821",3067,1,3.33055786844296e-05,NA
"822",3141,1,3.33055786844296e-05,NA
"823",3155,1,3.33055786844296e-05,NA
"824",3216,1,3.33055786844296e-05,NA
"825",3253,1,3.33055786844296e-05,NA
"826",3391,1,3.33055786844296e-05,NA
"827",3489,1,3.33055786844296e-05,NA
"828",3500,1,3.33055786844296e-05,NA
"829",3578,1,3.33055786844296e-05,NA
"830",3600,1,3.33055786844296e-05,NA
"831",3641,1,3.33055786844296e-05,NA
"832",3657,1,3.33055786844296e-05,NA
"833",3721,1,3.33055786844296e-05,NA
"834",3780,1,3.33055786844296e-05,NA
"835",3826,1,3.33055786844296e-05,NA
"836",4124,1,3.33055786844296e-05,NA
"837",4125,1,3.33055786844296e-05,NA
"838",4181,1,3.33055786844296e-05,NA
"839",4205,1,3.33055786844296e-05,NA
"840",4211,1,3.33055786844296e-05,NA
"841",4224,1,3.33055786844296e-05,NA
"842",4250,1,3.33055786844296e-05,NA
"843",4253,1,3.33055786844296e-05,NA
"844",4267,1,3.33055786844296e-05,NA
"845",4324,1,3.33055786844296e-05,NA
"846",4331,1,3.33055786844296e-05,NA
"847",4370,1,3.33055786844296e-05,NA
"848",4681,1,3.33055786844296e-05,NA
"849",4711,1,3.33055786844296e-05,NA
"850",4785,1,3.33055786844296e-05,NA
"851",4927,1,3.33055786844296e-05,NA
"852",5021,1,3.33055786844296e-05,NA
"853",5073,1,3.33055786844296e-05,NA
"854",5107,1,3.33055786844296e-05,NA
"855",5155,1,3.33055786844296e-05,NA
"856",5218,1,3.33055786844296e-05,NA
"857",5255,1,3.33055786844296e-05,NA
"858",5280,1,3.33055786844296e-05,NA
"859",5283,1,3.33055786844296e-05,NA
"860",5325,1,3.33055786844296e-05,NA
"861",5364,1,3.33055786844296e-05,NA
"862",5477,1,3.33055786844296e-05,NA
"863",5555,1,3.33055786844296e-05,NA
"864",5776,1,3.33055786844296e-05,NA
"865",5777,1,3.33055786844296e-05,NA
"866",5872,1,3.33055786844296e-05,NA
"867",6022,1,3.33055786844296e-05,NA
"868",6337,1,3.33055786844296e-05,NA
"869",6453,1,3.33055786844296e-05,NA
"870",6588,1,3.33055786844296e-05,NA
"871",6729,1,3.33055786844296e-05,NA
"872",6888,1,3.33055786844296e-05,NA
"873",6942,1,3.33055786844296e-05,NA
"874",6996,1,3.33055786844296e-05,NA
"875",7121,1,3.33055786844296e-05,NA
"876",7200,1,3.33055786844296e-05,NA
"877",7254,1,3.33055786844296e-05,NA
"878",7321,1,3.33055786844296e-05,NA
"879",7501,1,3.33055786844296e-05,NA
"880",7741,1,3.33055786844296e-05,NA
"881",7744,1,3.33055786844296e-05,NA
"882",7910,1,3.33055786844296e-05,NA
"883",8008,1,3.33055786844296e-05,NA
"884",8128,1,3.33055786844296e-05,NA
"885",8553,1,3.33055786844296e-05,NA
"886",8712,1,3.33055786844296e-05,NA
"887",8722,1,3.33055786844296e-05,NA
"888",8771,1,3.33055786844296e-05,NA
"889",8858,1,3.33055786844296e-05,NA
"890",8925,1,3.33055786844296e-05,NA
"891",9146,1,3.33055786844296e-05,NA
"892",9232,1,3.33055786844296e-05,NA
"893",9288,1,3.33055786844296e-05,NA
"894",9362,1,3.33055786844296e-05,NA
"895",9436,1,3.33055786844296e-05,NA
"896",9623,1,3.33055786844296e-05,NA
"897",9675,1,3.33055786844296e-05,NA
"898",9683,1,3.33055786844296e-05,NA
"899",9742,1,3.33055786844296e-05,NA
"900",9999,1,3.33055786844296e-05,NA
"901",10000,1,3.33055786844296e-05,NA
"902",10001,1,3.33055786844296e-05,NA
"903",10468,1,3.33055786844296e-05,NA
"904",10538,1,3.33055786844296e-05,NA
"905",10886,1,3.33055786844296e-05,NA
"906",12198,1,3.33055786844296e-05,NA
"907",12336,1,3.33055786844296e-05,NA
"908",12444,1,3.33055786844296e-05,NA
"909",12851,1,3.33055786844296e-05,NA
"910",13013,1,3.33055786844296e-05,NA
"911",14394,1,3.33055786844296e-05,NA
"912",14641,1,3.33055786844296e-05,NA
"913",15151,1,3.33055786844296e-05,NA
"914",15399,1,3.33055786844296e-05,NA
"915",15880,1,3.33055786844296e-05,NA
"916",16059,1,3.33055786844296e-05,NA
"917",16061,1,3.33055786844296e-05,NA
"918",16245,1,3.33055786844296e-05,NA
"919",17686,1,3.33055786844296e-05,NA
"920",18500,1,3.33055786844296e-05,NA
"921",18912,1,3.33055786844296e-05,NA
"922",20000,1,3.33055786844296e-05,NA
"923",20736,1,3.33055786844296e-05,NA
"924",21274,1,3.33055786844296e-05,NA
"925",23717,1,3.33055786844296e-05,NA
"926",24242,1,3.33055786844296e-05,NA
"927",27412,1,3.33055786844296e-05,NA
"928",30000,1,3.33055786844296e-05,NA
"929",31415,1,3.33055786844296e-05,NA
"930",32767,1,3.33055786844296e-05,NA
"931",33153,1,3.33055786844296e-05,NA
"932",34155,1,3.33055786844296e-05,NA
"933",34234,1,3.33055786844296e-05,NA
"934",35231,1,3.33055786844296e-05,NA
"935",36777,1,3.33055786844296e-05,NA
"936",41821,1,3.33055786844296e-05,NA
"937",42239,1,3.33055786844296e-05,NA
"938",42713,1,3.33055786844296e-05,NA
"939",43770,1,3.33055786844296e-05,NA
"940",44497,1,3.33055786844296e-05,NA
"941",46435,1,3.33055786844296e-05,NA
"942",49531,1,3.33055786844296e-05,NA
"943",51150,1,3.33055786844296e-05,NA
"944",52760,1,3.33055786844296e-05,NA
"945",53001,1,3.33055786844296e-05,NA
"946",54321,1,3.33055786844296e-05,NA
"947",57005,1,3.33055786844296e-05,NA
"948",57121,1,3.33055786844296e-05,NA
"949",61454,1,3.33055786844296e-05,NA
"950",62442,1,3.33055786844296e-05,NA
"951",62480,1,3.33055786844296e-05,NA
"952",65565,1,3.33055786844296e-05,NA
"953",68000,1,3.33055786844296e-05,NA
"954",69420,1,3.33055786844296e-05,NA
"955",71553,1,3.33055786844296e-05,NA
"956",73101,1,3.33055786844296e-05,NA
"957",74201,1,3.33055786844296e-05,NA
"958",74656,1,3.33055786844296e-05,NA
"959",74711,1,3.33055786844296e-05,NA
"960",80000,1,3.33055786844296e-05,NA
"961",81018,1,3.33055786844296e-05,NA
"962",81306,1,3.33055786844296e-05,NA
"963",90125,1,3.33055786844296e-05,NA
"964",105114,1,3.33055786844296e-05,NA
"965",111111,1,3.33055786844296e-05,NA
"966",113785,1,3.33055786844296e-05,NA
"967",124857,1,3.33055786844296e-05,NA
"968",132353,1,3.33055786844296e-05,NA
"969",132674,1,3.33055786844296e-05,NA
"970",137596,1,3.33055786844296e-05,NA
"971",140404,1,3.33055786844296e-05,NA
"972",149459,1,3.33055786844296e-05,NA
"973",153689,1,3.33055786844296e-05,NA
"974",181181,1,3.33055786844296e-05,NA
"975",186000,1,3.33055786844296e-05,NA
"976",186282,1,3.33055786844296e-05,NA
"977",201102,1,3.33055786844296e-05,NA
"978",251253,1,3.33055786844296e-05,NA
"979",261970,1,3.33055786844296e-05,NA
"980",262144,1,3.33055786844296e-05,NA
"981",271441,1,3.33055786844296e-05,NA
"982",280393,1,3.33055786844296e-05,NA
"983",314159,1,3.33055786844296e-05,NA
"984",314205,1,3.33055786844296e-05,NA
"985",317537,1,3.33055786844296e-05,NA
"986",322423,1,3.33055786844296e-05,NA
"987",364541,1,3.33055786844296e-05,NA
"988",391262,1,3.33055786844296e-05,NA
"989",396587,1,3.33055786844296e-05,NA
"990",472415,1,3.33055786844296e-05,NA
"991",522307,1,3.33055786844296e-05,NA
"992",531441,1,3.33055786844296e-05,NA
"993",538008,1,3.33055786844296e-05,NA
"994",550909,1,3.33055786844296e-05,NA
"995",576898,1,3.33055786844296e-05,NA
"996",621230,1,3.33055786844296e-05,NA
"997",637298,1,3.33055786844296e-05,NA
"998",639172,1,3.33055786844296e-05,NA
"999",666666,1,3.33055786844296e-05,NA
"1000",750000,1,3.33055786844296e-05,NA
"1001",810721,1,3.33055786844296e-05,NA
"1002",812634,1,3.33055786844296e-05,NA
"1003",823543,1,3.33055786844296e-05,NA
"1004",863432,1,3.33055786844296e-05,NA
"1005",1000003,1,3.33055786844296e-05,NA
"1006",1000005,1,3.33055786844296e-05,NA
"1007",1000008,1,3.33055786844296e-05,NA
"1008",1000037,1,3.33055786844296e-05,NA
"1009",1000556,1,3.33055786844296e-05,NA
"1010",1003203,1,3.33055786844296e-05,NA
"1011",1024768,1,3.33055786844296e-05,NA
"1012",1428571,1,3.33055786844296e-05,NA
"1013",1500000,1,3.33055786844296e-05,NA
"1014",1578931,1,3.33055786844296e-05,NA
"1015",1736251,1,3.33055786844296e-05,NA
"1016",1999993,1,3.33055786844296e-05,NA
"1017",2e+06,1,3.33055786844296e-05,NA
"1018",2005968.7,1,3.33055786844296e-05,NA
"1019",2100000,1,3.33055786844296e-05,NA
"1020",2716057,1,3.33055786844296e-05,NA
"1021",3e+06,1,3.33055786844296e-05,NA
"1022",5138008,1,3.33055786844296e-05,NA
"1023",5271009,1,3.33055786844296e-05,NA
"1024",5271985,1,3.33055786844296e-05,NA
"1025",6e+06,1,3.33055786844296e-05,NA
"1026",6031769,1,3.33055786844296e-05,NA
"1027",7072008,1,3.33055786844296e-05,NA
"1028",7873302,1,3.33055786844296e-05,NA
"1029",8080317,1,3.33055786844296e-05,NA
"1030",8370738,1,3.33055786844296e-05,NA
"1031",9e+06,1,3.33055786844296e-05,NA
"1032",9899036,1,3.33055786844296e-05,NA
"1033",9941990,1,3.33055786844296e-05,NA
"1034",1e+07,1,3.33055786844296e-05,NA
"1035",10000003,1,3.33055786844296e-05,NA
"1036",11235813,1,3.33055786844296e-05,NA
"1037",18118055,1,3.33055786844296e-05,NA
"1038",19309228,1,3.33055786844296e-05,NA
"1039",23456789,1,3.33055786844296e-05,NA
"1040",25446881.03,1,3.33055786844296e-05,NA
"1041",2.8e+07,1,3.33055786844296e-05,NA
"1042",31415926,1,3.33055786844296e-05,NA
"1043",60466176,1,3.33055786844296e-05,NA
"1044",67108864,1,3.33055786844296e-05,NA
"1045",73939133,1,3.33055786844296e-05,NA
"1046",74384338,1,3.33055786844296e-05,NA
"1047",78552003,1,3.33055786844296e-05,NA
"1048",8e+07,1,3.33055786844296e-05,NA
"1049",8.5e+07,1,3.33055786844296e-05,NA
"1050",85417632,1,3.33055786844296e-05,NA
"1051",8.6e+07,1,3.33055786844296e-05,NA
"1052",87539319,1,3.33055786844296e-05,NA
"1053",88888888,1,3.33055786844296e-05,NA
"1054",97280933,1,3.33055786844296e-05,NA
"1055",1e+08,1,3.33055786844296e-05,NA
"1056",111111111,1,3.33055786844296e-05,NA
"1057",123581321,1,3.33055786844296e-05,NA
"1058",170123456,1,3.33055786844296e-05,NA
"1059",3e+08,1,3.33055786844296e-05,NA
"1060",381654729,1,3.33055786844296e-05,NA
"1061",435342675,1,3.33055786844296e-05,NA
"1062",461208792,1,3.33055786844296e-05,NA
"1063",462917895,1,3.33055786844296e-05,NA
"1064",6e+08,1,3.33055786844296e-05,NA
"1065",600342323,1,3.33055786844296e-05,NA
"1066",625999360,1,3.33055786844296e-05,NA
"1067",715358889,1,3.33055786844296e-05,NA
"1068",756209571,1,3.33055786844296e-05,NA
"1069",773047718,1,3.33055786844296e-05,NA
"1070",777111333,1,3.33055786844296e-05,NA
"1071",777703115,1,3.33055786844296e-05,NA
"1072",876651819,1,3.33055786844296e-05,NA
"1073",1000000007,1,3.33055786844296e-05,NA
"1074",1073741824,1,3.33055786844296e-05,NA
"1075",1123581321,1,3.33055786844296e-05,NA
"1076",1234567890,1,3.33055786844296e-05,NA
"1077",1742350698,1,3.33055786844296e-05,NA
"1078",1.852e+09,1,3.33055786844296e-05,NA
"1079",2147483648,1,3.33055786844296e-05,NA
"1080",4815162342,1,3.33055786844296e-05,NA
"1081",5033191440,1,3.33055786844296e-05,NA
"1082",6e+09,1,3.33055786844296e-05,NA
"1083",6179217664,1,3.33055786844296e-05,NA
"1084",6227020800,1,3.33055786844296e-05,NA
"1085",7789712078,1,3.33055786844296e-05,NA
"1086",9192631770,1,3.33055786844296e-05,NA
"1087",10101010101,1,3.33055786844296e-05,NA
"1088",5e+10,1,3.33055786844296e-05,NA
"1089",79191917999,1,3.33055786844296e-05,NA
"1090",99999999977,1,3.33055786844296e-05,NA
"1091",1e+11,1,3.33055786844296e-05,NA
"1092",109478382197,1,3.33055786844296e-05,NA
"1093",195955200000,1,3.33055786844296e-05,NA
"1094",999999999999,1,3.33055786844296e-05,NA
"1095",1111111111111,1,3.33055786844296e-05,NA
"1096",1888081808881,1,3.33055786844296e-05,NA
"1097",2199023255552,1,3.33055786844296e-05,NA
"1098",5123118156321,1,3.33055786844296e-05,NA
"1099",9210213023021,1,3.33055786844296e-05,NA
"1100",1e+15,1,3.33055786844296e-05,NA
"1101",7007274767772000,1,3.33055786844296e-05,NA
"1102",9999555533331110,1,3.33055786844296e-05,NA
"1103",105263157894736000,1,3.33055786844296e-05,NA
"1104",262537412640768000,1,3.33055786844296e-05,NA
"1105",9e+17,1,3.33055786844296e-05,NA
"1106",1189998819991190016,1,3.33055786844296e-05,NA
"1107",1234567899876539904,1,3.33055786844296e-05,NA
"1108",11235813211231799296,1,3.33055786844296e-05,NA
"1109",17432896314159200256,1,3.33055786844296e-05,NA
"1110",1.6e+20,1,3.33055786844296e-05,NA
"1111",1.33394960492801e+21,1,3.33055786844296e-05,NA
"1112",2.94516316435781e+22,1,3.33055786844296e-05,NA
"1113",6.0221415e+23,1,3.33055786844296e-05,NA
"1114",6.0225e+23,1,3.33055786844296e-05,NA
"1115",1.41592653589793e+27,1,3.33055786844296e-05,NA
"1116",1.23456789101112e+28,1,3.33055786844296e-05,NA
"1117",6.54326754326754e+29,1,3.33055786844296e-05,NA
"1118",1.23345456675868e+52,1,3.33055786844296e-05,NA
"1119",7.77777777777777e+53,1,3.33055786844296e-05,NA
"1120",8.08017424794512e+53,1,3.33055786844296e-05,NA
"1121",1e+64,1,3.33055786844296e-05,NA
"1122",1e+70,1,3.33055786844296e-05,NA
"1123",1.00001101101e+70,1,3.33055786844296e-05,NA
