"","age","per","sex","risk","dt","rt","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15"
"450",22,63,2,184301,79,0.429,0.005,0.054,0.005,0.011,0,0.005,0,0.005,0.011,0.005,0,0.005,0,0.076,0.244
"451",22,68,1,213184,202,0.948,0.009,0.108,0,0.005,0.005,0.014,0.019,0.014,0.019,0.005,0.005,0.009,0.019,0.042,0.675
"452",22,68,2,201972,84,0.416,0,0.05,0.01,0.015,0.01,0.035,0.03,0.015,0.015,0,0.01,0,0.005,0.025,0.198
"453",22,73,1,192430,232,1.206,0,0.104,0,0.005,0.005,0.016,0.005,0.026,0.031,0.005,0.005,0.021,0.016,0.005,0.961
"454",22,73,2,182784,80,0.438,0.005,0.044,0.011,0.011,0,0.033,0.005,0.027,0.016,0,0.005,0.005,0,0.044,0.23
"455",22,78,1,189919,219,1.153,0.011,0.095,0,0,0,0.042,0.026,0.037,0.021,0.005,0,0.005,0.016,0.011,0.885
"456",22,78,2,181400,93,0.513,0.006,0.055,0.006,0,0,0.017,0.017,0.022,0.017,0.006,0.011,0.006,0.017,0.033,0.303
"457",22,83,1,204002,185,0.907,0.01,0.083,0,0.01,0,0.049,0.01,0.029,0.01,0,0,0,0.02,0.01,0.676
"458",22,83,2,194300,53,0.273,0,0.051,0,0.005,0,0.01,0.005,0.005,0.005,0.005,0,0,0.015,0.015,0.154
"459",22,88,1,147529,157,1.064,0.014,0.102,0.014,0.007,0,0.041,0.014,0.02,0,0,0,0,0.027,0.007,0.82
"460",22,88,2,139875,55,0.393,0,0.086,0.014,0,0,0.021,0,0,0.029,0,0.014,0,0,0.021,0.207
"461",23,43,1,164994,392,2.376,0.564,0.121,0,0.012,0.012,0.115,0.006,0.097,0.055,0.006,0.121,0.024,0.024,0.042,1.176
"462",23,43,2,165268,315,1.906,0.744,0.061,0.018,0.018,0.012,0.067,0.006,0.115,0.024,0.024,0.097,0.061,0.024,0.163,0.472
"463",23,48,1,149653,211,1.41,0.247,0.134,0.013,0.027,0.007,0.02,0.007,0.087,0.007,0,0.04,0.027,0.007,0.013,0.775
"464",23,48,2,150237,130,0.865,0.193,0.113,0.007,0.013,0,0.073,0.033,0.047,0.04,0.033,0.027,0.04,0.007,0.067,0.173
"465",23,53,1,141549,196,1.385,0.021,0.205,0.021,0.007,0,0.028,0.007,0.049,0.007,0.014,0.021,0.021,0,0,0.982
"466",23,53,2,142108,64,0.45,0.021,0.07,0.014,0.035,0,0.049,0,0.028,0.021,0.014,0.021,0.007,0,0.035,0.134
"467",23,58,1,149110,158,1.06,0.007,0.148,0.007,0.013,0.013,0.06,0,0.054,0.013,0,0.02,0.034,0.013,0.02,0.657
"468",23,58,2,147153,67,0.455,0.007,0.095,0.014,0,0.007,0.014,0,0.054,0,0,0.014,0.02,0.014,0.054,0.163
"469",23,63,1,179093,174,0.972,0,0.168,0.011,0,0,0.017,0.011,0.034,0,0,0.006,0.034,0.011,0.022,0.659
"470",23,63,2,172848,70,0.405,0.006,0.121,0.006,0.017,0,0.006,0.017,0.035,0.006,0,0,0.012,0.006,0.029,0.145
"471",23,68,1,218675,223,1.02,0.009,0.11,0.005,0,0,0.014,0.014,0.023,0.005,0.005,0.005,0.014,0.027,0.018,0.773
"472",23,68,2,206186,114,0.553,0.01,0.097,0.01,0.01,0,0.019,0.019,0.039,0.01,0.005,0.005,0.005,0.005,0.034,0.286
"473",23,73,1,193521,209,1.08,0,0.103,0,0,0,0.036,0.01,0.041,0.031,0,0,0.005,0.021,0.016,0.816
"474",23,73,2,184028,60,0.326,0.005,0.016,0,0.011,0,0.005,0.027,0.016,0.005,0.016,0,0.005,0,0.016,0.201
"475",23,78,1,190180,226,1.188,0,0.105,0.005,0.016,0,0.042,0.011,0.011,0.021,0.005,0.011,0,0.042,0.021,0.899
"476",23,78,2,181282,79,0.436,0.006,0.099,0,0.006,0,0.017,0.011,0.017,0.006,0.017,0.006,0,0,0.028,0.226
"477",23,83,1,199110,210,1.055,0,0.055,0.015,0.015,0,0.04,0.005,0.025,0.005,0.005,0,0,0.015,0.03,0.844
"478",23,83,2,189945,77,0.405,0.005,0.095,0.005,0.016,0,0.011,0,0.011,0.005,0,0,0.005,0.005,0.005,0.242
"479",23,88,1,152144,147,0.966,0.007,0.112,0,0.007,0,0.033,0.007,0.039,0.013,0,0.007,0,0.026,0.013,0.703
"480",23,88,2,144072,59,0.41,0.007,0.062,0,0.007,0.007,0.014,0.014,0.021,0.028,0,0.007,0,0,0.035,0.208
"481",24,43,1,163800,436,2.662,0.684,0.14,0.024,0.018,0,0.11,0.006,0.098,0.085,0.006,0.14,0.049,0.037,0.018,1.245
"482",24,43,2,164290,294,1.79,0.688,0.061,0.03,0.03,0.006,0.055,0.012,0.097,0.055,0.024,0.073,0.097,0.012,0.268,0.28
"483",24,48,1,151065,226,1.496,0.258,0.139,0.013,0.013,0,0.073,0.026,0.053,0.033,0.013,0.046,0.04,0.007,0.02,0.761
"484",24,48,2,153006,150,0.98,0.255,0.072,0.02,0.013,0,0.046,0.013,0.098,0.026,0.013,0.039,0.039,0,0.085,0.261
"485",24,53,1,141384,183,1.294,0.042,0.191,0.007,0.007,0.007,0.028,0,0.035,0.007,0.007,0.042,0.014,0,0,0.905
"486",24,53,2,142637,90,0.631,0.035,0.126,0.021,0.014,0,0.014,0.014,0.028,0.021,0.007,0.049,0.049,0.014,0.077,0.161
"487",24,58,1,145344,153,1.053,0.014,0.165,0.007,0.021,0,0.069,0.014,0.028,0.021,0,0,0.041,0.021,0.021,0.633
"488",24,58,2,144493,72,0.498,0.007,0.09,0.014,0.007,0.007,0.007,0.035,0.055,0.021,0,0.007,0.021,0.007,0.055,0.166
"489",24,63,1,168985,173,1.024,0.018,0.136,0,0.006,0,0.041,0.018,0.012,0.006,0,0.018,0.03,0.006,0.03,0.704
"490",24,63,2,163367,66,0.404,0,0.061,0.006,0.012,0.006,0.018,0,0.037,0.006,0,0.012,0.031,0,0.061,0.153
"491",24,68,1,219893,233,1.06,0,0.141,0.009,0.018,0,0.041,0.005,0.009,0.009,0.005,0.009,0.014,0.005,0.036,0.759
"492",24,68,2,207026,89,0.43,0.014,0.077,0.01,0.01,0,0.019,0.019,0.019,0.01,0,0.005,0.01,0.005,0.048,0.184
"493",24,73,1,195608,195,0.997,0.01,0.143,0.005,0.005,0,0.015,0,0.036,0.015,0.01,0.005,0.005,0.01,0.015,0.721
"494",24,73,2,185711,78,0.42,0,0.065,0,0.016,0.005,0.022,0.032,0.005,0.005,0.005,0.005,0,0.011,0.038,0.21
"495",24,78,1,191019,234,1.225,0.01,0.115,0,0.005,0.005,0.042,0.01,0.063,0.021,0.005,0.01,0,0.026,0.021,0.89
"496",24,78,2,181862,70,0.385,0,0.055,0,0,0.005,0.005,0.011,0.005,0.022,0.011,0,0,0.005,0.027,0.236
"497",24,83,1,194685,208,1.068,0.005,0.057,0,0,0,0.021,0.021,0.01,0.015,0.01,0,0.01,0.031,0.021,0.868
"498",24,83,2,185801,77,0.414,0.005,0.102,0,0.005,0,0.011,0.022,0.005,0.005,0.005,0.005,0,0,0.011,0.237
"499",24,88,1,153110,169,1.104,0.026,0.065,0.013,0.013,0,0.072,0.026,0.026,0.02,0,0,0.013,0.007,0.02,0.803
"500",24,88,2,144450,69,0.478,0.014,0.048,0,0.014,0.007,0.035,0.007,0.014,0,0,0.007,0.007,0.014,0.048,0.263
"501",25,43,1,162639,369,2.269,0.56,0.117,0.055,0.018,0,0.092,0.006,0.037,0.074,0.006,0.098,0.055,0.031,0.018,1.101
"502",25,43,2,163433,321,1.964,0.698,0.098,0.031,0.012,0.018,0.067,0.018,0.104,0.116,0.024,0.073,0.08,0.012,0.226,0.385
"503",25,48,1,152260,224,1.471,0.289,0.118,0.033,0.026,0,0.066,0.026,0.046,0.02,0.02,0.059,0.066,0.007,0.007,0.69
"504",25,48,2,155354,128,0.824,0.206,0.051,0.006,0.019,0.006,0.058,0,0.045,0.019,0.013,0.051,0.045,0.006,0.051,0.245
"505",25,53,1,142023,155,1.091,0.049,0.176,0.007,0.007,0,0.021,0.021,0.063,0.014,0.007,0.021,0.042,0.007,0.028,0.627
"506",25,53,2,143533,93,0.648,0.077,0.111,0.014,0.014,0,0.056,0.014,0.028,0.028,0.007,0.007,0.049,0.014,0.063,0.167
"507",25,58,1,142361,152,1.068,0,0.176,0,0.014,0,0.028,0,0.063,0.021,0,0,0.028,0.007,0.028,0.702
"508",25,58,2,142152,83,0.584,0.035,0.127,0.014,0.021,0,0.028,0.021,0.042,0.028,0,0.014,0.035,0,0.077,0.141
"509",25,63,1,161144,181,1.123,0,0.199,0,0.019,0.006,0.019,0.012,0.043,0.025,0,0.025,0.025,0.019,0.037,0.695
"510",25,63,2,156458,70,0.447,0,0.064,0,0.013,0.006,0.013,0.006,0.019,0,0.006,0.006,0.032,0.006,0.032,0.243
"511",25,68,1,215328,190,0.882,0,0.144,0.005,0.033,0.005,0.005,0.009,0.023,0.019,0.005,0.014,0.005,0,0.009,0.608
"512",25,68,2,202853,105,0.518,0,0.099,0.005,0.01,0.005,0.005,0.01,0.03,0,0,0.025,0.015,0.01,0.039,0.266
"513",25,73,1,199892,216,1.081,0,0.115,0,0.015,0,0.03,0.005,0.02,0,0,0.005,0.03,0.01,0.02,0.83
"514",25,73,2,189460,90,0.475,0.005,0.143,0.011,0.005,0,0.011,0.021,0.021,0.032,0.016,0.005,0,0.005,0.032,0.169
"515",25,78,1,191659,214,1.117,0.005,0.104,0,0,0,0.021,0.01,0.047,0.026,0.005,0,0,0.021,0.016,0.861
"516",25,78,2,182440,87,0.477,0,0.088,0.005,0.016,0,0.011,0.027,0.005,0.005,0.022,0,0.016,0.016,0.016,0.247
"517",25,83,1,192072,203,1.057,0.026,0.099,0.005,0.005,0,0.042,0.016,0.031,0,0.021,0,0,0.01,0.016,0.786
"518",25,83,2,182996,86,0.47,0.011,0.066,0,0,0,0.033,0.033,0.016,0.022,0.005,0,0.005,0.005,0.016,0.257
"519",25,88,1,149888,169,1.128,0.06,0.067,0.007,0.007,0,0.073,0.027,0.013,0.013,0.007,0.007,0,0.02,0.013,0.814
"520",25,88,2,141070,48,0.34,0,0.043,0,0.007,0,0.007,0.028,0.014,0,0,0,0.007,0.007,0.014,0.213
"521",26,43,1,160321,382,2.383,0.605,0.087,0.031,0.019,0.05,0.087,0,0.069,0.05,0.006,0.143,0.044,0.006,0.044,1.141
"522",26,43,2,161416,297,1.84,0.638,0.142,0.031,0.031,0.012,0.081,0.006,0.074,0.043,0.031,0.112,0.025,0.031,0.26,0.322
"523",26,48,1,154464,226,1.463,0.304,0.104,0.039,0.013,0.013,0.032,0.013,0.071,0.045,0.006,0.065,0.045,0.032,0.045,0.634
"524",26,48,2,158228,139,0.878,0.278,0.082,0.019,0.038,0.013,0.032,0,0.038,0.044,0,0.038,0.038,0.013,0.101,0.145
"525",26,53,1,142873,188,1.316,0.035,0.182,0.007,0.042,0.014,0.049,0,0.07,0.007,0.007,0.035,0.07,0.028,0.035,0.735
"526",26,53,2,144762,92,0.636,0.062,0.159,0,0.014,0.007,0.055,0.007,0.035,0.014,0.014,0.028,0.041,0.007,0.035,0.159
"527",26,58,1,140062,156,1.114,0.029,0.243,0.007,0.007,0,0.014,0.007,0.043,0.014,0,0.029,0.014,0.014,0.014,0.678
"528",26,58,2,140506,85,0.605,0.007,0.1,0.014,0.043,0.007,0.028,0.036,0.028,0.043,0.014,0.007,0.093,0,0.05,0.135
"529",26,63,1,155688,141,0.906,0,0.154,0.013,0.032,0,0.006,0.019,0.039,0.019,0.013,0.013,0.026,0,0.039,0.533
"530",26,63,2,152096,69,0.454,0.007,0.099,0.013,0.02,0,0.033,0.007,0.026,0,0,0.02,0.026,0,0.02,0.184
"531",26,68,1,205343,157,0.765,0.005,0.097,0.01,0.019,0,0.024,0.01,0.044,0.019,0.005,0.015,0.01,0.015,0.029,0.463
"532",26,68,2,193809,99,0.511,0,0.114,0,0.005,0,0.01,0.031,0.021,0.015,0,0.005,0,0.005,0.026,0.279
"533",26,73,1,206935,208,1.005,0.005,0.116,0,0.01,0.005,0.029,0.024,0.043,0.014,0.014,0.005,0.01,0.039,0.01,0.681
"534",26,73,2,195822,65,0.332,0,0.056,0.005,0.02,0,0.01,0.01,0.01,0.005,0,0.005,0,0,0.015,0.194
"535",26,78,1,191391,233,1.217,0.005,0.115,0.005,0.005,0,0.01,0.016,0.037,0.037,0.01,0.01,0.005,0.021,0.021,0.92
"536",26,78,2,182074,100,0.549,0.011,0.071,0,0.016,0,0.033,0.016,0.005,0,0.005,0.005,0,0.016,0.033,0.335
"537",26,83,1,191128,212,1.109,0.021,0.105,0.005,0.031,0,0.058,0.016,0.031,0.01,0.01,0.01,0.005,0.021,0.016,0.769
"538",26,83,2,181808,72,0.396,0,0.066,0.006,0.006,0.006,0.028,0.028,0.006,0.011,0.011,0,0,0.006,0.039,0.187
"539",26,88,1,145433,204,1.403,0.089,0.151,0,0.021,0.007,0.028,0.007,0.062,0.021,0.021,0,0.007,0.028,0.041,0.921
"540",26,88,2,136944,54,0.394,0,0.022,0.007,0,0,0.015,0.015,0.015,0.007,0,0,0.007,0.007,0.044,0.256
"541",27,43,1,156413,399,2.551,0.627,0.16,0.038,0.019,0.013,0.102,0.019,0.102,0.09,0.026,0.134,0.064,0,0.019,1.138
"542",27,43,2,157365,317,2.014,0.642,0.14,0.038,0.051,0.006,0.07,0.006,0.108,0.051,0.038,0.076,0.089,0.025,0.261,0.413
"543",27,48,1,157889,217,1.374,0.241,0.127,0,0.025,0.006,0.057,0.013,0.076,0.013,0,0.051,0.025,0.019,0.006,0.716
"544",27,48,2,161896,177,1.093,0.296,0.136,0.025,0.031,0.012,0.043,0.006,0.068,0.037,0.031,0.043,0.068,0.006,0.105,0.185
"545",27,53,1,144141,161,1.117,0.049,0.125,0.014,0.014,0,0.056,0.021,0.069,0.014,0,0.028,0.049,0.007,0.007,0.666
"546",27,53,2,146644,110,0.75,0.068,0.157,0,0.034,0,0.02,0.02,0.048,0.034,0.014,0.02,0.055,0.014,0.089,0.177
"547",27,58,1,138607,154,1.111,0.014,0.202,0.014,0.043,0.007,0.022,0.007,0.043,0.043,0,0.007,0.036,0.014,0.029,0.628
"548",27,58,2,139840,83,0.594,0.021,0.129,0.021,0.014,0.007,0.021,0,0.064,0.036,0.014,0.014,0.064,0.007,0.029,0.15
"549",27,63,1,152110,141,0.927,0.013,0.184,0.007,0.02,0.007,0.02,0.026,0.046,0.013,0,0.026,0.039,0,0.02,0.506
"550",27,63,2,149217,88,0.59,0.007,0.114,0.007,0.02,0.013,0.02,0.027,0.034,0,0,0.013,0.027,0.013,0.067,0.228
"551",27,68,1,192591,198,1.028,0.005,0.119,0.016,0.005,0.005,0.026,0.031,0.031,0.016,0.005,0.016,0.005,0.021,0.031,0.696
"552",27,68,2,182567,89,0.487,0.016,0.121,0.005,0.005,0,0.011,0.011,0.027,0.022,0.005,0.005,0.016,0.005,0.044,0.192
"553",27,73,1,213929,214,1,0.005,0.168,0.009,0.009,0,0.014,0.009,0.042,0.014,0.028,0.005,0.005,0.023,0.037,0.631
"554",27,73,2,201884,91,0.451,0,0.124,0.01,0.01,0.005,0.035,0.025,0.015,0.005,0,0.005,0,0.005,0.015,0.198
"555",27,78,1,191193,224,1.172,0.005,0.115,0.005,0.005,0.005,0.031,0.026,0.026,0.021,0.026,0,0.005,0.026,0.058,0.816
"556",27,78,2,182097,104,0.571,0.005,0.088,0.011,0.011,0.005,0.011,0.016,0.022,0.011,0.005,0.011,0.005,0.011,0.011,0.346
"557",27,83,1,190674,205,1.075,0.021,0.094,0.01,0.01,0,0.031,0,0.037,0,0.031,0,0.005,0.026,0.01,0.797
"558",27,83,2,181132,83,0.458,0,0.066,0.006,0.017,0,0.039,0,0.011,0.011,0.011,0.011,0,0.017,0.017,0.254
"559",27,88,1,141282,171,1.21,0.064,0.106,0.014,0.021,0,0.028,0,0.007,0.014,0.014,0.007,0.007,0.064,0.014,0.849
"560",27,88,2,133544,73,0.547,0.03,0.082,0,0.007,0,0.03,0.03,0.015,0,0,0.015,0,0,0.03,0.307
"561",28,43,1,154829,367,2.37,0.601,0.116,0.039,0.039,0.013,0.052,0,0.103,0.078,0.013,0.116,0.045,0.026,0.045,1.085
"562",28,43,2,156063,296,1.897,0.583,0.135,0.019,0.045,0,0.045,0,0.109,0.051,0.032,0.083,0.09,0.013,0.237,0.455
"563",28,48,1,159299,275,1.726,0.289,0.276,0.006,0.013,0,0.056,0.019,0.088,0.019,0.006,0.056,0.075,0.013,0.025,0.785
"564",28,48,2,162909,184,1.129,0.258,0.203,0.012,0.031,0.012,0.061,0.006,0.049,0.037,0,0.025,0.074,0.012,0.086,0.264
"565",28,53,1,145911,178,1.22,0.062,0.247,0.014,0.014,0,0.034,0.014,0.041,0.027,0.021,0.041,0.048,0.007,0.021,0.631
"566",28,53,2,149012,138,0.926,0.054,0.168,0.054,0.054,0.007,0.027,0.027,0.047,0.034,0.04,0.04,0.047,0.013,0.094,0.221
"567",28,58,1,137913,187,1.356,0.022,0.283,0,0.058,0,0.029,0.036,0.094,0.036,0.007,0.022,0.029,0.007,0.029,0.703
"568",28,58,2,139797,99,0.708,0.014,0.229,0,0.036,0,0.021,0.007,0.036,0.029,0.014,0.007,0.086,0.007,0.064,0.157
"569",28,63,1,148795,160,1.075,0.013,0.242,0.007,0.047,0,0.013,0.007,0.067,0.027,0.007,0.013,0.02,0.034,0.034,0.544
"570",28,63,2,146799,81,0.552,0.007,0.136,0,0.02,0.007,0,0.054,0.014,0.02,0.007,0.027,0.02,0.007,0.068,0.163
"571",28,68,1,180269,184,1.021,0,0.155,0.006,0.044,0.011,0.055,0.022,0.011,0.022,0.011,0,0.006,0.017,0.017,0.643
"572",28,68,2,171740,103,0.6,0,0.169,0.012,0.017,0,0.029,0.012,0.006,0.017,0.006,0.006,0.029,0.012,0.035,0.25
"573",28,73,1,218814,209,0.955,0.009,0.128,0.005,0.032,0,0.027,0.014,0.027,0.005,0.032,0.009,0.005,0.014,0.018,0.631
"574",28,73,2,205779,89,0.433,0,0.136,0.005,0.005,0.005,0,0.005,0.029,0,0.005,0.005,0,0.005,0.034,0.199
"575",28,78,1,191834,230,1.199,0.01,0.109,0,0.021,0,0.036,0.052,0.036,0.005,0.021,0,0.016,0.042,0.026,0.824
"576",28,78,2,183234,86,0.469,0,0.093,0,0.022,0,0.005,0.033,0.005,0.011,0,0,0.005,0.011,0.022,0.262
"577",28,83,1,190413,215,1.129,0.037,0.079,0.005,0.016,0,0.037,0.011,0.026,0.011,0.016,0,0.005,0.042,0.037,0.809
"578",28,83,2,180880,88,0.487,0.006,0.061,0.011,0.017,0.006,0.011,0.011,0.011,0.011,0.017,0,0,0.011,0.044,0.271
"579",28,88,1,137548,162,1.178,0.08,0.065,0.015,0.015,0,0.051,0.007,0.044,0.007,0.007,0,0,0.029,0.022,0.836
"580",28,88,2,130350,65,0.499,0.015,0.13,0,0.008,0,0.031,0,0.023,0,0,0,0,0.008,0.023,0.261
"581",29,43,1,155788,345,2.215,0.539,0.135,0.026,0,0,0.071,0.019,0.083,0.077,0.013,0.109,0.045,0.019,0.013,1.066
"582",29,43,2,157632,331,2.1,0.603,0.228,0.057,0.032,0.013,0.051,0.006,0.102,0.095,0.044,0.076,0.102,0.019,0.216,0.457
"583",29,48,1,158561,264,1.665,0.259,0.177,0.038,0.044,0.013,0.063,0.019,0.082,0.038,0.019,0.114,0.044,0.006,0,0.75
"584",29,48,2,161678,183,1.132,0.272,0.186,0.025,0.037,0,0.062,0.012,0.105,0.012,0.006,0.062,0.031,0.006,0.105,0.21
"585",29,53,1,147833,205,1.387,0.081,0.115,0.02,0.061,0.014,0.041,0.034,0.088,0.041,0,0.047,0.054,0.014,0.02,0.758
"586",29,53,2,151709,155,1.022,0.046,0.297,0.013,0.013,0.013,0.026,0.026,0.079,0.04,0.026,0.046,0.073,0.013,0.099,0.211
"587",29,58,1,138358,166,1.2,0.058,0.231,0.007,0.007,0,0.029,0.043,0.022,0.014,0.007,0.029,0.072,0.022,0.014,0.643
"588",29,58,2,140542,99,0.704,0.021,0.206,0,0.021,0.014,0.021,0.021,0.05,0,0,0.021,0.036,0,0.1,0.192
"589",29,63,1,145476,159,1.093,0.007,0.22,0,0.041,0.007,0.021,0.034,0.062,0.034,0,0.021,0.041,0.048,0.014,0.543
"590",29,63,2,144386,105,0.727,0.014,0.277,0.028,0.021,0,0.007,0.035,0.055,0.014,0.014,0.014,0.014,0,0.062,0.173
"591",29,68,1,170186,187,1.099,0.012,0.182,0.006,0.059,0.006,0.024,0.012,0.053,0.012,0.012,0.012,0,0.012,0.047,0.652
"592",29,68,2,162694,100,0.615,0.006,0.203,0.006,0.025,0.012,0.018,0.025,0.037,0.018,0.006,0.006,0.012,0.006,0.031,0.203
"593",29,73,1,219509,216,0.984,0.005,0.173,0.005,0.027,0.009,0.018,0.014,0.046,0.023,0.023,0.014,0.005,0.041,0.014,0.569
"594",29,73,2,206550,113,0.547,0.01,0.189,0,0.01,0,0.015,0.015,0.015,0.005,0.01,0.005,0.005,0.01,0.053,0.208
"595",29,78,1,193553,259,1.338,0.005,0.134,0,0.026,0.005,0.041,0.021,0.036,0.026,0.046,0.005,0.021,0.052,0.005,0.914
"596",29,78,2,184987,115,0.622,0.005,0.108,0,0.016,0,0.027,0.038,0.038,0.016,0.016,0,0.005,0,0.027,0.324
"597",29,83,1,190728,239,1.253,0.031,0.131,0.005,0.052,0,0.021,0.042,0.037,0.005,0.052,0.005,0.005,0.031,0.01,0.823
"598",29,83,2,181350,94,0.518,0,0.11,0.011,0.011,0,0.017,0.022,0.006,0.011,0.011,0.006,0.011,0.022,0.022,0.259
"599",29,88,1,135222,186,1.376,0.118,0.141,0.007,0.007,0.007,0.081,0.015,0.052,0.007,0.022,0,0,0.067,0.022,0.828
"600",29,88,2,128245,89,0.694,0.039,0.164,0.008,0.031,0.016,0.031,0.031,0.016,0,0.008,0,0,0.016,0.039,0.296
"601",30,43,1,157551,391,2.482,0.578,0.241,0.032,0.013,0.006,0.133,0.013,0.114,0.089,0,0.121,0.051,0.032,0.044,1.016
"602",30,43,2,159479,345,2.163,0.627,0.169,0.031,0.013,0.025,0.107,0.013,0.082,0.038,0.056,0.113,0.119,0.044,0.251,0.477
"603",30,48,1,158146,249,1.574,0.215,0.196,0.044,0.013,0,0.051,0.013,0.076,0.051,0.019,0.101,0.051,0.006,0.019,0.721
"604",30,48,2,161098,209,1.297,0.304,0.199,0.031,0.043,0.019,0.074,0.012,0.068,0.037,0.043,0.025,0.037,0,0.118,0.286
"605",30,53,1,149504,185,1.237,0.074,0.254,0.013,0.033,0.007,0.033,0.02,0.04,0.013,0,0.04,0.067,0,0.02,0.622
"606",30,53,2,153842,165,1.073,0.059,0.286,0.02,0.046,0.007,0.052,0.026,0.046,0.039,0.007,0.039,0.052,0.007,0.111,0.28
"607",30,58,1,139366,159,1.141,0.014,0.194,0.014,0.072,0,0.036,0.007,0.05,0.007,0.007,0.022,0.057,0.014,0.029,0.617
"608",30,58,2,141657,125,0.882,0.042,0.304,0.007,0.028,0,0.035,0.035,0.056,0.007,0.021,0.021,0.071,0.007,0.064,0.184
"609",30,63,1,142495,170,1.193,0.021,0.196,0,0.028,0,0.014,0.021,0.07,0.007,0.014,0.014,0.042,0.014,0.049,0.702
"610",30,63,2,141932,81,0.571,0,0.12,0.007,0.07,0.007,0.007,0.021,0.063,0.014,0.014,0.007,0.063,0.007,0.035,0.134
"611",30,68,1,162281,193,1.189,0.012,0.203,0.037,0.031,0,0.018,0.031,0.037,0.037,0.012,0.012,0,0.037,0.018,0.702
"612",30,68,2,155966,97,0.622,0,0.205,0.006,0.013,0,0.013,0.019,0.032,0.045,0,0.006,0.026,0,0.038,0.218
"613",30,73,1,214870,229,1.066,0.009,0.121,0,0.047,0,0.028,0.028,0.051,0.005,0.014,0.019,0.005,0.042,0.019,0.679
"614",30,73,2,202581,123,0.607,0,0.153,0,0.025,0.005,0.01,0.035,0.03,0.02,0.005,0.015,0.005,0.02,0.02,0.267
"615",30,78,1,197690,267,1.351,0.015,0.182,0,0.04,0,0.03,0.025,0.046,0.015,0.035,0,0.01,0.04,0.01,0.9
"616",30,78,2,188895,108,0.572,0.016,0.191,0.011,0.021,0.005,0.011,0,0.016,0.011,0.016,0,0,0.005,0.016,0.254
"617",30,83,1,190943,265,1.388,0.031,0.126,0,0.042,0,0.068,0.031,0.052,0.021,0.037,0,0,0.073,0.037,0.869
"618",30,83,2,181885,118,0.649,0,0.192,0,0.016,0,0.016,0.027,0.033,0.016,0.016,0.005,0,0.016,0.005,0.302
"619",30,88,1,133956,193,1.441,0.09,0.149,0.015,0.03,0,0.045,0.015,0.052,0.037,0.037,0.007,0.007,0.022,0.015,0.918
"620",30,88,2,127097,86,0.677,0.047,0.165,0,0,0,0.016,0.047,0.024,0.024,0.031,0.008,0,0.008,0.047,0.26
"621",31,43,1,159199,403,2.531,0.691,0.195,0.013,0,0,0.126,0.025,0.088,0.119,0.013,0.17,0.031,0.031,0.013,1.018
"622",31,43,2,160843,336,2.089,0.522,0.261,0.044,0.044,0.006,0.068,0.012,0.131,0.075,0.044,0.118,0.087,0.019,0.255,0.404
"623",31,48,1,156708,254,1.621,0.262,0.14,0.019,0.013,0.006,0.096,0.026,0.083,0.019,0.006,0.083,0.051,0,0.026,0.791
"624",31,48,2,159390,205,1.286,0.194,0.289,0.038,0.006,0.006,0.05,0.019,0.069,0.044,0.019,0.044,0.063,0,0.1,0.345
"625",31,53,1,151846,198,1.304,0.079,0.211,0.026,0.033,0.02,0.046,0.013,0.079,0.033,0.013,0.04,0.04,0.007,0.046,0.619
"626",31,53,2,156272,135,0.864,0.07,0.23,0.019,0.051,0.006,0.019,0.019,0.058,0.019,0.006,0.026,0.058,0,0.122,0.16
"627",31,58,1,140309,205,1.461,0.043,0.235,0.007,0.093,0,0.05,0.043,0.15,0.021,0,0.014,0.071,0.014,0.029,0.691
"628",31,58,2,142940,127,0.888,0.021,0.259,0.028,0.035,0.007,0.056,0.021,0.084,0.014,0.021,0.014,0.077,0,0.077,0.175
"629",31,63,1,140353,160,1.14,0.014,0.192,0.007,0.028,0.007,0.043,0.036,0.071,0.021,0.021,0.007,0.05,0.021,0.028,0.591
"630",31,63,2,140327,117,0.834,0.007,0.356,0.014,0.05,0,0.029,0,0.1,0.014,0,0.007,0.036,0.007,0.007,0.207
"631",31,68,1,156785,181,1.154,0,0.236,0.019,0.013,0,0.013,0.038,0.077,0.013,0.013,0.026,0.045,0.045,0.032,0.587
"632",31,68,2,151700,115,0.758,0.007,0.25,0.02,0.02,0,0.026,0.026,0.026,0.007,0.007,0,0.013,0,0.04,0.316
"633",31,73,1,204870,206,1.006,0.005,0.161,0,0.034,0.01,0.02,0.039,0.088,0.005,0.034,0.02,0.005,0.029,0.005,0.552
"634",31,73,2,193735,125,0.645,0.01,0.237,0.005,0.021,0,0.015,0.021,0.031,0.021,0.01,0.005,0,0.021,0.01,0.237
"635",31,78,1,204613,257,1.256,0.015,0.176,0.005,0.02,0,0.02,0.01,0.059,0.02,0.029,0,0.005,0.029,0.024,0.845
"636",31,78,2,195325,140,0.717,0.02,0.205,0.005,0.041,0.005,0.01,0.041,0.026,0.031,0.026,0,0,0.01,0.015,0.282
"637",31,83,1,190358,287,1.508,0.026,0.11,0.011,0.026,0.005,0.089,0.047,0.058,0.021,0.074,0,0.005,0.068,0.026,0.94
"638",31,83,2,181538,121,0.667,0.006,0.165,0,0.033,0,0.011,0.05,0.044,0.017,0.022,0.011,0.006,0.017,0.011,0.275
