"","agr","per","sex","risk","dt","rt","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15"
"177",25,83,1,955015,1074,1.125,0.027,0.102,0.006,0.023,0,0.038,0.017,0.032,0.005,0.026,0.003,0.004,0.026,0.018,0.797
"178",30,83,1,953625,1499,1.572,0.028,0.179,0.006,0.055,0.002,0.062,0.033,0.071,0.022,0.08,0.006,0.008,0.059,0.025,0.935
"179",35,83,1,1040000,1998,1.924,0.042,0.311,0.01,0.061,0.004,0.076,0.052,0.208,0.037,0.13,0.011,0.013,0.085,0.021,0.865
"180",40,83,1,941404,2560,2.719,0.034,0.52,0.011,0.092,0.002,0.103,0.101,0.494,0.044,0.192,0.016,0.018,0.122,0.016,0.954
"181",45,83,1,741557,3406,4.593,0.043,1.022,0.023,0.12,0.008,0.177,0.166,1.208,0.128,0.326,0.045,0.03,0.264,0.036,0.997
"182",50,83,1,659502,5210,7.9,0.045,2.271,0.035,0.24,0.006,0.227,0.324,2.517,0.276,0.415,0.064,0.035,0.397,0.049,0.998
"183",55,83,1,640799,8364,13.052,0.059,4.107,0.056,0.321,0.008,0.32,0.502,4.618,0.568,0.588,0.097,0.078,0.62,0.056,1.053
"184",60,83,1,630387,13453,21.341,0.081,7.088,0.087,0.392,0.03,0.354,0.985,7.982,1.283,0.593,0.203,0.109,0.998,0.084,1.071
"185",65,83,1,548586,17919,32.664,0.098,10.72,0.108,0.583,0.018,0.454,1.837,12.882,2.326,0.567,0.399,0.221,1.245,0.122,1.083
"186",70,83,1,458830,23110,50.367,0.157,15.267,0.235,0.785,0.05,0.693,3.792,20.334,4.08,0.567,0.724,0.449,1.635,0.133,1.467
"187",75,83,1,319153,25320,79.335,0.207,21.256,0.376,1.072,0.091,1.018,7.363,32.787,7.454,0.639,1.238,0.971,2.4,0.191,2.272
"188",80,83,1,175771,20939,119.13,0.302,25.675,0.609,1.428,0.222,1.741,12.915,50.89,12.391,0.876,2.224,1.997,3.704,0.228,3.926
"189",85,83,1,77624,13916,179.27,0.554,30.261,0.812,2.216,0.399,2.448,19.337,81.341,19.092,1.275,3.8,4.187,6.377,0.245,6.931
"190",90,83,1,27337,7842,286.86,0.695,30.435,1.5,2.707,0.841,4.06,26.85,144.42,33.032,1.902,5.78,6.219,15.291,0.219,12.913
"191",0,88,1,512201,1291,2.52,0.078,0.057,0.006,0.041,0.002,0.078,0.006,0.006,0.047,0.004,0.01,0.002,0.519,1.503,0.162
"192",5,88,1,488501,134,0.274,0.01,0.063,0.002,0.008,0,0.018,0.002,0.002,0.004,0,0.002,0,0.002,0.016,0.143
"193",10,88,1,581909,145,0.249,0.003,0.038,0.005,0.005,0.002,0.021,0.003,0.005,0.009,0,0.002,0,0.002,0.022,0.132
"194",15,88,1,657321,445,0.677,0.015,0.059,0.005,0.003,0.003,0.024,0.008,0.012,0.011,0.002,0.002,0.002,0.006,0.02,0.507
"195",20,88,1,726762,764,1.051,0.015,0.098,0.006,0.014,0,0.041,0.011,0.026,0.011,0.003,0.003,0.003,0.021,0.017,0.784
"196",25,88,1,709373,892,1.257,0.082,0.106,0.008,0.014,0.003,0.052,0.011,0.035,0.013,0.014,0.003,0.003,0.041,0.023,0.85
"197",30,88,1,667153,1112,1.667,0.136,0.189,0.022,0.043,0.004,0.084,0.037,0.075,0.03,0.075,0.009,0.004,0.061,0.031,0.863
"198",35,88,1,663039,1508,2.274,0.143,0.276,0.014,0.074,0.005,0.106,0.078,0.192,0.033,0.173,0.009,0.006,0.131,0.023,1.012
"199",40,88,1,734042,2394,3.261,0.131,0.655,0.023,0.093,0.003,0.191,0.112,0.49,0.061,0.263,0.037,0.014,0.183,0.031,0.975
"200",45,88,1,619311,3067,4.952,0.136,1.158,0.021,0.173,0.006,0.262,0.176,1.071,0.071,0.379,0.034,0.018,0.363,0.037,1.048
"201",50,88,1,493849,4182,8.468,0.099,2.416,0.028,0.298,0.004,0.312,0.338,2.329,0.243,0.537,0.077,0.032,0.577,0.053,1.126
"202",55,88,1,435851,6174,14.165,0.099,4.628,0.073,0.385,0.014,0.434,0.622,4.545,0.608,0.668,0.151,0.064,0.835,0.064,0.975
"203",60,88,1,416847,9400,22.55,0.079,7.655,0.142,0.528,0.012,0.494,1.084,7.725,1.379,0.689,0.242,0.098,1.243,0.086,1.094
"204",65,88,1,391209,14126,36.109,0.1,12.165,0.233,0.693,0.015,0.708,2.045,13.026,2.73,0.698,0.452,0.194,1.715,0.115,1.219
"205",70,88,1,312551,17424,55.748,0.17,17.242,0.278,0.867,0.026,0.931,4.003,21.488,4.498,0.701,0.893,0.506,2.358,0.147,1.641
"206",75,88,1,237646,20862,87.786,0.24,23.691,0.501,1.178,0.084,1.485,8.298,34.61,8.109,0.8,1.448,1.035,3.249,0.265,2.794
"207",80,88,1,135664,18327,135.09,0.405,29.094,0.855,1.806,0.192,2.418,14.875,56.131,12.774,0.833,2.735,2.16,5.16,0.354,5.3
"208",85,88,1,59438,11807,198.64,0.572,34.069,1.06,2.658,0.471,3.197,21.013,87.419,20.475,1.06,4.711,3.752,9.237,0.555,8.395
"209",90,88,1,21193,7058,333.03,1.463,33.832,1.368,3.633,0.613,5.285,33.313,155.95,37.607,1.651,7.502,7.078,24.489,0.377,18.874
"210",0,38,2,952266,10332,10.85,1.243,0.081,0.028,0.072,0.049,0.382,0.003,0.051,2.268,0.013,0.964,0.046,0.263,4.93,0.455
"211",5,38,2,776344,524,0.675,0.157,0.041,0.022,0.009,0.004,0.05,0.005,0.053,0.022,0.005,0.055,0.014,0.004,0.014,0.219
"212",10,38,2,732006,451,0.616,0.169,0.038,0.018,0.014,0.003,0.041,0.005,0.068,0.034,0.004,0.056,0.025,0.005,0.018,0.117
"213",15,38,2,757644,834,1.101,0.376,0.054,0.016,0.024,0.018,0.079,0.004,0.053,0.036,0.004,0.077,0.049,0.007,0.063,0.242
"214",20,38,2,812427,1364,1.679,0.695,0.048,0.02,0.023,0.011,0.063,0.006,0.089,0.039,0.011,0.087,0.068,0.016,0.166,0.336
"215",25,38,2,795909,1562,1.963,0.633,0.148,0.035,0.034,0.01,0.063,0.008,0.099,0.072,0.034,0.084,0.077,0.02,0.24,0.406
"216",30,38,2,808565,1814,2.243,0.58,0.287,0.051,0.031,0.016,0.109,0.009,0.117,0.062,0.066,0.119,0.104,0.032,0.24,0.422
"217",35,38,2,785057,2243,2.857,0.493,0.601,0.106,0.052,0.023,0.122,0.02,0.197,0.116,0.102,0.129,0.155,0.036,0.282,0.423
"218",40,38,2,722733,2555,3.535,0.425,1.042,0.126,0.071,0.024,0.125,0.055,0.332,0.122,0.174,0.187,0.195,0.042,0.149,0.468
"219",45,38,2,662562,3473,5.242,0.462,1.779,0.198,0.127,0.05,0.193,0.104,0.669,0.211,0.302,0.231,0.287,0.06,0.068,0.501
"220",50,38,2,576041,4223,7.331,0.467,2.422,0.189,0.215,0.042,0.269,0.318,1.208,0.34,0.542,0.297,0.377,0.08,0.104,0.462
"221",55,38,2,507420,5725,11.283,0.487,3.733,0.235,0.485,0.075,0.371,0.579,2.369,0.524,0.731,0.43,0.489,0.136,0.15,0.491
"222",60,38,2,435702,7925,18.189,0.778,5.049,0.241,0.934,0.135,0.464,1.32,4.889,0.916,1.042,0.647,0.67,0.202,0.303,0.599
"223",65,38,2,351227,10668,30.374,0.891,7.212,0.33,1.458,0.285,1.031,2.543,10.119,1.686,1.358,0.954,1.014,0.342,0.367,0.786
"224",70,38,2,252503,12850,50.89,0.974,10.317,0.455,2.345,0.432,2.372,4.495,19.338,3.37,1.802,1.473,1.259,0.467,0.626,1.164
"225",75,38,2,163256,13389,82.012,1.225,13.678,0.717,2.297,0.851,7.246,7.032,33.046,6.628,2.119,1.85,1.519,0.717,0.888,2.199
"226",80,38,2,84687,11734,138.56,1.275,16.567,1.204,1.878,1.252,22.07,11.194,55.77,13.532,2.232,2.869,1.795,0.933,1.075,4.912
"227",85,38,2,31888,6954,218.08,1.004,19.035,1.599,1.38,1.788,53.343,14.331,80.689,22.61,2.509,3.606,2.916,1.254,1.223,10.788
"228",90,38,2,8678,2722,313.67,1.152,15.096,1.498,1.037,0.922,114.43,14.174,105.21,32.726,2.074,3.687,1.844,0.807,1.959,17.055
"229",0,43,2,952266,10332,10.85,1.243,0.081,0.028,0.072,0.049,0.382,0.003,0.051,2.268,0.013,0.964,0.046,0.263,4.93,0.455
"230",5,43,2,776344,524,0.675,0.157,0.041,0.022,0.009,0.004,0.05,0.005,0.053,0.022,0.005,0.055,0.014,0.004,0.014,0.219
"231",10,43,2,732006,451,0.616,0.169,0.038,0.018,0.014,0.003,0.041,0.005,0.068,0.034,0.004,0.056,0.025,0.005,0.018,0.117
"232",15,43,2,757644,834,1.101,0.376,0.054,0.016,0.024,0.018,0.079,0.004,0.053,0.036,0.004,0.077,0.049,0.007,0.063,0.242
"233",20,43,2,812427,1364,1.679,0.695,0.048,0.02,0.023,0.011,0.063,0.006,0.089,0.039,0.011,0.087,0.068,0.016,0.166,0.336
"234",25,43,2,795909,1562,1.963,0.633,0.148,0.035,0.034,0.01,0.063,0.008,0.099,0.072,0.034,0.084,0.077,0.02,0.24,0.406
"235",30,43,2,808565,1814,2.243,0.58,0.287,0.051,0.031,0.016,0.109,0.009,0.117,0.062,0.066,0.119,0.104,0.032,0.24,0.422
"236",35,43,2,785057,2243,2.857,0.493,0.601,0.106,0.052,0.023,0.122,0.02,0.197,0.116,0.102,0.129,0.155,0.036,0.282,0.423
"237",40,43,2,722733,2555,3.535,0.425,1.042,0.126,0.071,0.024,0.125,0.055,0.332,0.122,0.174,0.187,0.195,0.042,0.149,0.468
"238",45,43,2,662562,3473,5.242,0.462,1.779,0.198,0.127,0.05,0.193,0.104,0.669,0.211,0.302,0.231,0.287,0.06,0.068,0.501
"239",50,43,2,576041,4223,7.331,0.467,2.422,0.189,0.215,0.042,0.269,0.318,1.208,0.34,0.542,0.297,0.377,0.08,0.104,0.462
"240",55,43,2,507420,5725,11.283,0.487,3.733,0.235,0.485,0.075,0.371,0.579,2.369,0.524,0.731,0.43,0.489,0.136,0.15,0.491
"241",60,43,2,435702,7925,18.189,0.778,5.049,0.241,0.934,0.135,0.464,1.32,4.889,0.916,1.042,0.647,0.67,0.202,0.303,0.599
"242",65,43,2,351227,10668,30.374,0.891,7.212,0.33,1.458,0.285,1.031,2.543,10.119,1.686,1.358,0.954,1.014,0.342,0.367,0.786
"243",70,43,2,252503,12850,50.89,0.974,10.317,0.455,2.345,0.432,2.372,4.495,19.338,3.37,1.802,1.473,1.259,0.467,0.626,1.164
"244",75,43,2,163256,13389,82.012,1.225,13.678,0.717,2.297,0.851,7.246,7.032,33.046,6.628,2.119,1.85,1.519,0.717,0.888,2.199
"245",80,43,2,84687,11734,138.56,1.275,16.567,1.204,1.878,1.252,22.07,11.194,55.77,13.532,2.232,2.869,1.795,0.933,1.075,4.912
"246",85,43,2,31888,6954,218.08,1.004,19.035,1.599,1.38,1.788,53.343,14.331,80.689,22.61,2.509,3.606,2.916,1.254,1.223,10.788
"247",90,43,2,8678,2722,313.67,1.152,15.096,1.498,1.037,0.922,114.43,14.174,105.21,32.726,2.074,3.687,1.844,0.807,1.959,17.055
"248",0,48,2,1020000,6083,5.956,0.502,0.11,0.026,0.031,0.016,0.215,0.007,0.037,1.106,0.015,0.293,0.023,0.136,3.036,0.402
"249",5,48,2,945889,394,0.417,0.082,0.047,0.016,0.003,0.002,0.037,0.007,0.021,0.031,0.001,0.023,0.008,0.008,0.01,0.119
"250",10,48,2,773015,272,0.352,0.048,0.066,0.018,0.009,0.006,0.026,0.001,0.025,0.021,0.001,0.025,0.018,0.001,0.013,0.074
"251",15,48,2,722928,429,0.593,0.108,0.047,0.019,0.018,0.017,0.033,0.012,0.039,0.017,0.007,0.024,0.035,0.018,0.025,0.176
"252",20,48,2,740999,599,0.808,0.19,0.082,0.011,0.018,0.005,0.057,0.016,0.049,0.032,0.022,0.024,0.042,0.004,0.066,0.19
"253",25,48,2,800065,811,1.014,0.262,0.132,0.017,0.031,0.009,0.051,0.005,0.061,0.03,0.01,0.044,0.051,0.009,0.09,0.21
"254",30,48,2,785942,1074,1.367,0.266,0.299,0.045,0.024,0.009,0.061,0.017,0.079,0.038,0.028,0.042,0.059,0.003,0.103,0.295
"255",35,48,2,793024,1469,1.852,0.219,0.552,0.069,0.037,0.013,0.088,0.039,0.137,0.037,0.049,0.072,0.081,0.009,0.135,0.315
"256",40,48,2,770957,2041,2.647,0.206,1.023,0.097,0.045,0.017,0.1,0.071,0.287,0.073,0.073,0.086,0.134,0.019,0.069,0.348
"257",45,48,2,707229,2912,4.117,0.233,1.639,0.163,0.071,0.028,0.117,0.195,0.534,0.146,0.144,0.164,0.18,0.034,0.051,0.419
"258",50,48,2,642235,3878,6.038,0.213,2.42,0.201,0.125,0.033,0.145,0.459,1.021,0.179,0.237,0.195,0.26,0.039,0.051,0.461
"259",55,48,2,553701,4981,8.996,0.287,3.229,0.195,0.309,0.052,0.172,0.796,2.034,0.285,0.374,0.264,0.341,0.067,0.07,0.52
"260",60,48,2,474494,7261,15.303,0.327,4.679,0.221,0.695,0.152,0.204,1.741,4.403,0.582,0.601,0.403,0.544,0.084,0.107,0.561
"261",65,48,2,392057,9881,25.203,0.508,6.366,0.314,1.03,0.207,0.462,3.278,8.884,1.194,0.811,0.589,0.686,0.084,0.13,0.661
"262",70,48,2,292304,13095,44.799,0.739,9.364,0.499,1.574,0.356,0.804,6.712,17.321,2.576,1.211,0.958,1.05,0.216,0.178,1.242
"263",75,48,2,186304,14425,77.427,0.805,13.081,0.886,1.9,0.633,2.034,11.927,32.001,5.738,1.804,1.573,1.508,0.596,0.295,2.646
"264",80,48,2,98128,12448,126.85,0.744,16.244,1.386,1.855,1.07,5.87,18.975,55.142,11.424,2.14,2.14,2.048,2.354,0.357,5.106
"265",85,48,2,36671,7487,204.17,1.145,19.689,2.127,1.227,1.527,16.116,27.624,86.744,20.479,2.7,3.327,2.4,6.708,0.355,11.999
"266",90,48,2,10867,3618,332.93,1.38,17.576,2.669,1.012,1.288,38.649,31.655,133.52,34.968,2.853,3.957,2.945,17.944,22.177,20.337
"267",0,53,2,914945,4681,5.116,0.145,0.113,0.023,0.032,0.007,0.187,0.008,0.017,0.614,0.013,0.176,0.01,0.085,3.403,0.283
"268",5,53,2,1010000,301,0.297,0.022,0.063,0.005,0.005,0,0.027,0.001,0.006,0.018,0.001,0.009,0.005,0.001,0.027,0.108
"269",10,53,2,940734,240,0.255,0.017,0.055,0.005,0.002,0.005,0.024,0.005,0.016,0.019,0.001,0.004,0.017,0,0.014,0.069
"270",15,53,2,767592,328,0.427,0.017,0.081,0.01,0.005,0.001,0.025,0.007,0.022,0.018,0.005,0.007,0.027,0.003,0.042,0.158
"271",20,53,2,714880,366,0.512,0.035,0.076,0.013,0.015,0.006,0.024,0.007,0.032,0.018,0.01,0.022,0.029,0.004,0.064,0.157
"272",25,53,2,735660,588,0.799,0.061,0.179,0.016,0.026,0.005,0.037,0.019,0.048,0.03,0.02,0.029,0.053,0.012,0.076,0.188
"273",30,53,2,790608,883,1.117,0.07,0.34,0.023,0.038,0.006,0.051,0.024,0.073,0.029,0.022,0.032,0.065,0.009,0.087,0.249
"274",35,53,2,773427,1189,1.537,0.075,0.559,0.037,0.037,0.005,0.075,0.037,0.146,0.031,0.036,0.044,0.098,0.01,0.079,0.266
"275",40,53,2,782271,1818,2.324,0.086,1.014,0.051,0.041,0.015,0.091,0.075,0.254,0.049,0.07,0.066,0.125,0.013,0.075,0.298
"276",45,53,2,757543,2783,3.674,0.088,1.696,0.09,0.045,0.013,0.124,0.193,0.512,0.067,0.108,0.081,0.209,0.02,0.053,0.375
"277",50,53,2,688567,3728,5.414,0.103,2.453,0.086,0.071,0.015,0.137,0.453,0.855,0.094,0.257,0.139,0.244,0.016,0.06,0.431
"278",55,53,2,620106,5300,8.547,0.168,3.524,0.121,0.155,0.031,0.161,0.764,1.948,0.195,0.392,0.174,0.293,0.037,0.065,0.519
"279",60,53,2,521787,7085,13.578,0.222,4.738,0.169,0.291,0.067,0.238,1.75,3.668,0.32,0.604,0.349,0.466,0.038,0.08,0.579
"280",65,53,2,432098,10191,23.585,0.289,6.688,0.22,0.424,0.102,0.315,3.714,8.158,0.588,0.923,0.465,0.671,0.095,0.146,0.787
"281",70,53,2,331812,13880,41.831,0.38,9.099,0.341,0.497,0.184,0.567,7.944,16.326,1.227,1.332,0.808,1.055,0.232,0.163,1.679
"282",75,53,2,217880,16078,73.793,0.528,13.315,0.606,0.675,0.298,0.968,15.274,30.677,2.823,1.96,1.281,1.689,0.734,0.188,2.777
"283",80,53,2,113213,13936,123.1,0.618,17.975,0.998,0.565,0.565,1.74,24.812,53.669,5.909,2.509,2.12,2.358,2.853,0.203,6.201
"284",85,53,2,43709,8521,194.95,0.869,22.329,1.647,0.572,0.801,2.334,36.4,89.112,11.279,2.379,2.791,3.249,8.717,0.297,12.171
"285",90,53,2,12131,3751,309.21,0.659,22.092,2.885,0.082,1.237,4.451,45.586,148.05,22.175,3.38,3.545,4.039,27.203,0.33,23.494
"286",0,58,2,897613,3982,4.436,0.078,0.116,0.016,0.021,0.002,0.155,0,0.011,0.384,0.007,0.136,0.007,0.059,3.188,0.256
"287",5,58,2,908119,298,0.328,0.008,0.072,0.007,0.002,0.002,0.024,0.001,0.004,0.013,0.003,0.011,0.009,0.001,0.037,0.133
"288",10,58,2,1010000,222,0.22,0.005,0.045,0.005,0.006,0.001,0.028,0.003,0.007,0.008,0.003,0.004,0.013,0.001,0.034,0.059
"289",15,58,2,930872,336,0.361,0.002,0.073,0.006,0.009,0.001,0.016,0.011,0.017,0.017,0.004,0.015,0.02,0.001,0.027,0.141
"290",20,58,2,751291,344,0.458,0.005,0.077,0.011,0.008,0.003,0.013,0.015,0.036,0.017,0.003,0.017,0.023,0.005,0.051,0.174
"291",25,58,2,702837,449,0.639,0.02,0.158,0.01,0.027,0.006,0.024,0.017,0.044,0.027,0.009,0.013,0.063,0.003,0.064,0.155
"292",30,58,2,726781,723,0.995,0.032,0.311,0.021,0.032,0.001,0.039,0.026,0.081,0.019,0.015,0.018,0.105,0.01,0.076,0.211
"293",35,58,2,781961,1136,1.453,0.032,0.609,0.028,0.029,0.005,0.066,0.035,0.121,0.015,0.024,0.033,0.15,0.018,0.061,0.225
"294",40,58,2,764656,1642,2.147,0.043,1.023,0.035,0.037,0.008,0.082,0.063,0.238,0.05,0.042,0.018,0.177,0.016,0.059,0.258
"295",45,58,2,769921,2501,3.248,0.051,1.638,0.07,0.048,0.01,0.087,0.118,0.426,0.051,0.079,0.057,0.197,0.036,0.062,0.317
"296",50,58,2,740476,3726,5.032,0.061,2.375,0.061,0.076,0.018,0.119,0.316,0.82,0.113,0.139,0.086,0.307,0.045,0.053,0.444
"297",55,58,2,666221,5154,7.736,0.098,3.439,0.066,0.122,0.018,0.147,0.572,1.645,0.186,0.285,0.173,0.381,0.051,0.101,0.453
"298",60,58,2,588415,7364,12.515,0.104,4.56,0.11,0.252,0.039,0.199,1.287,3.545,0.299,0.496,0.28,0.586,0.107,0.114,0.537
"299",65,58,2,479953,10258,21.373,0.185,6.578,0.192,0.431,0.102,0.267,2.882,7.119,0.569,0.706,0.427,0.898,0.152,0.131,0.733
"300",70,58,2,371513,14440,38.868,0.25,8.961,0.261,0.614,0.175,0.361,6.517,15.039,1.419,1.3,0.729,1.4,0.28,0.205,1.359
"301",75,58,2,253238,17724,69.989,0.32,13.181,0.399,0.707,0.237,0.537,13.517,28.424,3.226,1.888,1.512,2.219,0.608,0.304,2.91
"302",80,58,2,136424,16519,121.09,0.491,18.589,0.85,0.77,0.388,0.77,22.987,52.674,6.824,2.551,2.375,2.954,2.199,0.345,6.319
"303",85,58,2,52140,10096,193.63,0.671,23.61,1.323,0.537,0.499,1.304,34.196,86.728,14.595,3.376,3.184,4.373,5.965,0.479,12.792
"304",90,58,2,14865,4558,306.63,0.471,21.729,1.278,0.269,0.605,2.085,47.763,149.82,31.08,2.691,3.565,4.642,18.634,0.471,21.527
"305",0,63,2,960453,3616,3.765,0.065,0.123,0.022,0.017,0.005,0.108,0.009,0.047,0.216,0.019,0.128,0.009,0.078,2.674,0.246
"306",5,63,2,900120,293,0.326,0.014,0.067,0.009,0.003,0.002,0.02,0.003,0.002,0.021,0.001,0.008,0.008,0,0.034,0.132
"307",10,63,2,910173,229,0.252,0.008,0.047,0.005,0.001,0.001,0.021,0.002,0.005,0.007,0.003,0.002,0.008,0.001,0.03,0.11
"308",15,63,2,1e+06,408,0.407,0.006,0.079,0.014,0.004,0.003,0.018,0.011,0.02,0.01,0.005,0.005,0.009,0.004,0.026,0.193
"309",20,63,2,921215,360,0.391,0.003,0.079,0.007,0.009,0.002,0.011,0.005,0.022,0.009,0.002,0.005,0.015,0.001,0.051,0.169
"310",25,63,2,748956,413,0.551,0.007,0.136,0.009,0.019,0.005,0.015,0.025,0.029,0.007,0.005,0.016,0.024,0.005,0.049,0.199
"311",30,63,2,702050,590,0.84,0.006,0.329,0.01,0.05,0.003,0.027,0.014,0.091,0.013,0.009,0.01,0.058,0.009,0.044,0.168
"312",35,63,2,724468,1044,1.441,0.021,0.623,0.017,0.063,0.004,0.059,0.047,0.112,0.023,0.023,0.022,0.12,0.015,0.058,0.233
"313",40,63,2,777145,1666,2.144,0.017,1.033,0.03,0.036,0.013,0.068,0.073,0.241,0.042,0.03,0.035,0.184,0.019,0.053,0.27
"314",45,63,2,754509,2432,3.223,0.038,1.621,0.041,0.038,0.009,0.068,0.134,0.42,0.065,0.065,0.062,0.212,0.037,0.065,0.347
"315",50,63,2,754771,3670,4.862,0.032,2.472,0.049,0.064,0.017,0.099,0.244,0.815,0.097,0.087,0.082,0.236,0.05,0.079,0.439
"316",55,63,2,717845,5366,7.475,0.063,3.341,0.042,0.159,0.018,0.138,0.486,1.704,0.191,0.194,0.132,0.327,0.061,0.128,0.492
"317",60,63,2,635885,7678,12.075,0.11,4.532,0.104,0.28,0.046,0.175,1.137,3.449,0.305,0.315,0.244,0.503,0.102,0.164,0.61
"318",65,63,2,542770,11311,20.839,0.16,6.434,0.173,0.512,0.063,0.217,2.471,7.394,0.597,0.582,0.389,0.731,0.17,0.214,0.733
"319",70,63,2,416746,15223,36.528,0.142,8.869,0.197,0.902,0.137,0.37,5.601,14.505,1.349,0.84,0.842,0.979,0.23,0.322,1.245
"320",75,63,2,287023,18710,65.186,0.223,12.055,0.425,0.958,0.174,0.512,11.626,27.97,2.982,1.46,1.516,1.641,0.554,0.404,2.686
"321",80,63,2,161714,18467,114.2,0.309,16.239,0.693,1.466,0.346,0.606,21.05,52.345,6.246,2.084,2.43,2.647,1.28,0.476,5.98
"322",85,63,2,64152,12043,187.73,0.452,20.67,1.185,1.263,0.624,1.091,33.639,91.361,11.566,2.899,2.962,4.193,3.492,0.655,11.675
"323",90,63,2,18246,5401,296.01,0.384,21.594,1.699,1.315,0.384,1.589,44.393,151.98,26.691,3.124,4.604,4.659,11.509,0.712,21.375
"324",0,68,2,943516,2551,2.704,0.089,0.096,0.01,0.023,0.003,0.07,0.007,0.029,0.121,0.006,0.042,0.005,0.073,1.907,0.222
"325",5,68,2,960096,326,0.34,0.008,0.072,0.001,0.006,0.002,0.015,0.003,0.001,0.02,0.002,0.004,0.003,0.002,0.028,0.172
"326",10,68,2,900822,231,0.256,0.003,0.036,0.006,0.003,0,0.017,0.004,0.006,0.009,0.001,0.002,0.003,0.002,0.028,0.137
"327",15,68,2,910369,367,0.403,0.001,0.065,0.01,0.004,0.004,0.011,0.007,0.012,0.013,0.004,0.002,0.007,0.007,0.02,0.236
"328",20,68,2,999395,439,0.439,0.006,0.07,0.007,0.008,0.002,0.024,0.016,0.018,0.012,0.002,0.01,0.007,0.006,0.033,0.218
"329",25,68,2,913663,496,0.543,0.004,0.138,0.005,0.012,0.003,0.014,0.018,0.024,0.014,0.003,0.01,0.014,0.008,0.035,0.24
"330",30,68,2,747400,597,0.799,0.009,0.265,0.009,0.036,0.001,0.023,0.029,0.048,0.019,0.009,0.005,0.02,0.011,0.035,0.278
"331",35,68,2,700165,962,1.374,0.01,0.571,0.011,0.043,0.003,0.05,0.046,0.106,0.047,0.023,0.027,0.063,0.026,0.027,0.321
"332",40,68,2,719784,1653,2.297,0.019,1.07,0.026,0.05,0.006,0.057,0.082,0.254,0.058,0.051,0.032,0.096,0.038,0.047,0.41
"333",45,68,2,767048,2624,3.421,0.035,1.73,0.027,0.074,0.005,0.078,0.159,0.402,0.107,0.057,0.052,0.119,0.055,0.061,0.459
"334",50,68,2,739190,3858,5.219,0.055,2.595,0.031,0.081,0.004,0.119,0.275,0.739,0.168,0.11,0.083,0.181,0.093,0.083,0.603
"335",55,68,2,732212,5355,7.313,0.06,3.347,0.036,0.183,0.019,0.107,0.411,1.513,0.276,0.178,0.096,0.27,0.111,0.09,0.617
"336",60,68,2,686043,7946,11.582,0.093,4.603,0.064,0.303,0.034,0.168,0.863,3.124,0.475,0.267,0.16,0.389,0.168,0.185,0.687
"337",65,68,2,590048,11157,18.909,0.146,6.079,0.086,0.569,0.037,0.225,1.964,6.33,0.891,0.458,0.302,0.552,0.28,0.224,0.764
"338",70,68,2,475807,15436,32.442,0.147,8.245,0.13,1.028,0.071,0.448,4.378,12.627,1.473,0.742,0.538,0.847,0.38,0.315,1.072
"339",75,68,2,331792,18137,54.664,0.286,10.886,0.214,1.314,0.115,0.612,8.611,23.521,2.673,1.157,0.952,1.338,0.747,0.404,1.832
"340",80,68,2,192155,18480,96.172,0.359,14.749,0.343,1.775,0.177,1.004,16.263,45.396,5.345,1.785,1.598,2.404,1.088,0.51,3.377
"341",85,68,2,82093,13094,159.5,0.499,17.614,0.694,1.852,0.475,1.852,25.678,80.896,11.402,2.607,2.546,3.654,2.412,0.731,6.59
"342",90,68,2,24769,6557,264.73,0.888,20.065,0.888,1.655,0.484,3.311,37.385,145.02,24.506,2.826,3.835,4.562,6.096,0.807,12.395
"343",0,73,2,874653,1741,1.991,0.067,0.074,0.009,0.014,0.003,0.079,0.006,0.014,0.062,0.007,0.011,0.003,0.107,1.389,0.144
"344",5,73,2,946610,265,0.28,0.006,0.06,0.002,0.006,0.002,0.016,0,0.002,0.007,0.001,0.004,0.002,0.001,0.044,0.125
"345",10,73,2,961871,225,0.234,0.003,0.05,0.007,0.006,0.002,0.015,0.001,0.007,0.005,0,0.002,0.004,0.001,0.021,0.109
"346",15,73,2,902210,304,0.337,0.006,0.051,0.003,0.003,0.003,0.012,0.006,0.008,0.006,0.002,0.001,0.001,0.001,0.019,0.215
"347",20,73,2,916767,371,0.405,0.003,0.056,0.003,0.01,0.001,0.02,0.014,0.015,0.014,0.007,0.004,0.002,0.008,0.037,0.211
"348",25,73,2,999495,448,0.448,0.003,0.13,0.006,0.01,0.002,0.014,0.015,0.018,0.009,0.006,0.005,0.001,0.005,0.03,0.194
"349",30,73,2,913558,674,0.738,0.007,0.252,0.007,0.013,0.002,0.016,0.039,0.049,0.022,0.012,0.007,0.01,0.019,0.015,0.268
"350",35,73,2,746601,859,1.151,0.007,0.482,0.005,0.036,0,0.029,0.066,0.104,0.032,0.025,0.02,0.023,0.013,0.025,0.281
"351",40,73,2,696040,1487,2.136,0.016,0.957,0.016,0.049,0.006,0.053,0.121,0.22,0.068,0.057,0.013,0.059,0.039,0.039,0.425
"352",45,73,2,710448,2476,3.485,0.025,1.679,0.03,0.061,0.004,0.077,0.208,0.397,0.106,0.11,0.039,0.104,0.082,0.055,0.508
"353",50,73,2,751236,3785,5.038,0.04,2.461,0.028,0.076,0.013,0.095,0.272,0.764,0.198,0.132,0.068,0.126,0.106,0.053,0.606
