"","year","month","m","f"
"819",1983,3,2364,2233
"820",1983,4,2353,2224
"821",1983,5,2243,2120
"822",1983,6,2324,2197
"823",1983,7,2300,2174
"824",1983,8,2310,2183
"825",1983,9,2232,2110
"826",1983,10,2153,2035
"827",1983,11,1962,1854
"828",1983,12,1915,1809
"829",1984,1,2043,1931
"830",1984,2,2061,1948
"831",1984,3,2392,2261
"832",1984,4,2350,2220
"833",1984,5,2377,2246
"834",1984,6,2309,2181
"835",1984,7,2337,2208
"836",1984,8,2337,2209
"837",1984,9,2231,2109
"838",1984,10,2184,2063
"839",1984,11,2070,1957
"840",1984,12,1941,1835
"841",1985,1,2087,1973
"842",1985,2,2032,1920
"843",1985,3,2397,2265
"844",1985,4,2534,2395
"845",1985,5,2485,2349
"846",1985,6,2367,2237
"847",1985,7,2481,2345
"848",1985,8,2444,2310
"849",1985,9,2381,2250
"850",1985,10,2274,2148
"851",1985,11,2076,1961
"852",1985,12,2076,1962
"853",1986,1,2098,1982
"854",1986,2,2211,2090
"855",1986,3,2443,2308
"856",1986,4,2586,2444
"857",1986,5,2533,2393
"858",1986,6,2412,2280
"859",1986,7,2567,2426
"860",1986,8,2427,2294
"861",1986,9,2515,2377
"862",1986,10,2331,2202
"863",1986,11,2120,2004
"864",1986,12,2195,2074
"865",1987,1,2400,2267
"866",1987,2,2086,1972
"867",1987,3,2540,2400
"868",1987,4,2570,2428
"869",1987,5,2571,2429
"870",1987,6,2628,2484
"871",1987,7,2622,2478
"872",1987,8,2533,2394
"873",1987,9,2396,2264
"874",1987,10,2282,2156
"875",1987,11,2200,2079
"876",1987,12,2232,2110
"877",1988,1,2314,2186
"878",1988,2,2299,2172
"879",1988,3,2674,2527
"880",1988,4,2602,2459
"881",1988,5,2658,2511
"882",1988,6,2565,2424
"883",1988,7,2653,2507
"884",1988,8,2719,2569
"885",1988,9,2652,2506
"886",1988,10,2425,2291
"887",1988,11,2300,2174
"888",1988,12,2394,2263
"889",1989,1,2420,2287
"890",1989,2,2391,2260
"891",1989,3,2721,2572
"892",1989,4,2725,2575
"893",1989,5,2868,2710
"894",1989,6,2693,2544
"895",1989,7,2821,2665
"896",1989,8,2788,2635
"897",1989,9,2712,2563
"898",1989,10,2492,2354
"899",1989,11,2427,2294
"900",1989,12,2485,2349
"901",1990,1,2535,2395
"902",1990,2,2468,2332
"903",1990,3,2822,2666
"904",1990,4,2790,2636
"905",1990,5,2851,2694
"906",1990,6,2753,2601
"907",1990,7,3022,2856
"908",1990,8,2855,2697
"909",1990,9,2832,2677
"910",1990,10,2766,2614
"911",1990,11,2453,2318
"912",1990,12,2468,2332
"913",1991,1,2646,2500
"914",1991,2,2527,2387
"915",1991,3,2799,2645
"916",1991,4,2900,2741
"917",1991,5,2966,2802
"918",1991,6,2822,2666
"919",1991,7,2991,2827
"920",1991,8,2890,2730
"921",1991,9,2770,2618
"922",1991,10,2638,2492
"923",1991,11,2548,2407
"924",1991,12,2594,2452
"925",1992,1,2696,2548
"926",1992,2,2755,2603
"927",1992,3,3008,2843
"928",1992,4,2951,2788
"929",1992,5,2944,2781
"930",1992,6,3059,2890
"931",1992,7,3165,2991
"932",1992,8,3053,2884
"933",1992,9,2984,2819
"934",1992,10,2886,2728
"935",1992,11,2626,2481
"936",1992,12,2696,2547
"937",1993,1,2848,2691
"938",1993,2,2656,2509
"939",1993,3,3054,2886
"940",1993,4,2973,2810
"941",1993,5,2926,2764
"942",1993,6,3004,2838
"943",1993,7,3141,2969
"944",1993,8,3030,2863
"945",1993,9,2996,2832
"946",1993,10,2784,2630
"947",1993,11,2551,2411
"948",1993,12,2675,2528
"949",1994,1,2756,2605
"950",1994,2,2667,2521
"951",1994,3,3040,2873
"952",1994,4,3079,2909
"953",1994,5,3109,2937
"954",1994,6,3101,2930
"955",1994,7,3207,3030
"956",1994,8,3057,2889
"957",1994,9,2942,2780
"958",1994,10,3018,2851
"959",1994,11,2933,2771
"960",1994,12,2911,2750
"961",1995,1,2935,2773
"962",1995,2,2794,2641
"963",1995,3,3168,2993
"964",1995,4,2998,2833
"965",1995,5,3007,2842
"966",1995,6,3041,2873
"967",1995,7,3235,3057
"968",1995,8,3239,3061
"969",1995,9,3063,2895
"970",1995,10,2947,2784
"971",1995,11,2778,2626
"972",1995,12,2667,2521
"973",1996,1,2840,2684
"974",1996,2,2735,2585
"975",1996,3,3028,2861
"976",1996,4,2892,2733
"977",1996,5,2845,2688
"978",1996,6,2886,2727
"979",1996,7,3041,2873
"980",1996,8,3046,2878
"981",1996,9,2940,2779
"982",1996,10,2869,2712
"983",1996,11,2839,2682
"984",1996,12,2815,2660
"985",1997,1,2856,2698
"986",1997,2,2749,2597
"987",1997,3,2952,2789
"988",1997,4,2948,2785
"989",1997,5,3056,2887
"990",1997,6,3021,2854
"991",1997,7,3178,3003
"992",1997,8,3101,2931
"993",1997,9,2964,2800
"994",1997,10,2856,2698
"995",1997,11,2482,2345
"996",1997,12,2615,2471
"997",1998,1,2762,2610
"998",1998,2,2549,2408
"999",1998,3,2919,2758
"1000",1998,4,2927,2765
"1001",1998,5,2847,2690
"1002",1998,6,2748,2596
"1003",1998,7,3130,2958
"1004",1998,8,3081,2911
"1005",1998,9,2987,2823
"1006",1998,10,2806,2652
"1007",1998,11,2621,2477
"1008",1998,12,2645,2500
"1009",1999,1,2733,2583
"1010",1999,2,2559,2418
"1011",1999,3,2974,2811
"1012",1999,4,2923,2763
"1013",1999,5,2989,2825
"1014",1999,6,2932,2771
"1015",1999,7,3058,2889
"1016",1999,8,3032,2865
"1017",1999,9,2958,2796
"1018",1999,10,2723,2574
"1019",1999,11,2581,2438
"1020",1999,12,2590,2447
"1021",2000,1,2796,2643
"1022",2000,2,2670,2523
"1023",2000,3,2868,2710
"1024",2000,4,2966,2802
"1025",2000,5,2939,2777
"1026",2000,6,2940,2778
"1027",2000,7,3066,2897
"1028",2000,8,3024,2857
"1029",2000,9,2925,2764
"1030",2000,10,2940,2779
"1031",2000,11,2706,2558
"1032",2000,12,2649,2504
"1033",2001,1,2867,2710
"1034",2001,2,2560,2420
"1035",2001,3,2882,2723
"1036",2001,4,2757,2606
"1037",2001,5,2989,2825
"1038",2001,6,2858,2701
"1039",2001,7,3013,2848
"1040",2001,8,3007,2841
"1041",2001,9,2791,2638
"1042",2001,10,2808,2654
"1043",2001,11,2620,2476
"1044",2001,12,2497,2359
"1213",2002,1,2719,2619
"1214",2002,2,2491,2449
"1215",2002,3,2795,2581
"1216",2002,4,2801,2585
"1217",2002,5,2799,2716
"1218",2002,6,2715,2629
"1219",2002,7,2932,2795
"1220",2002,8,2948,2745
"1221",2002,9,2882,2713
"1222",2002,10,2881,2574
"1223",2002,11,2530,2423
"1224",2002,12,2503,2324
"1225",2003,1,2716,2469
"1226",2003,2,2436,2317
"1227",2003,3,2741,2627
"1228",2003,4,2688,2649
"1229",2003,5,2732,2699
"1230",2003,6,2763,2600
"1231",2003,7,3196,2936
"1232",2003,8,3012,2865
"1233",2003,9,3010,2713
"1234",2003,10,2847,2772
"1235",2003,11,2640,2398
"1236",2003,12,2429,2427
"1237",2004,1,2698,2557
"1238",2004,2,2645,2466
"1239",2004,3,2705,2678
"1240",2004,4,2723,2558
"1241",2004,5,2706,2595
"1242",2004,6,2779,2764
"1243",2004,7,3017,2886
"1244",2004,8,3005,2875
"1245",2004,9,2810,2599
"1246",2004,10,2720,2586
"1247",2004,11,2636,2489
"1248",2004,12,2633,2479
"1249",2005,1,2738,2545
"1250",2005,2,2455,2388
"1251",2005,3,2678,2702
"1252",2005,4,2803,2567
"1253",2005,5,2802,2659
"1254",2005,6,2742,2666
"1255",2005,7,2918,2834
"1256",2005,8,2998,2824
"1257",2005,9,2900,2670
"1258",2005,10,2728,2728
"1259",2005,11,2563,2467
"1260",2005,12,2502,2405
"1261",2006,1,2621,2422
"1262",2006,2,2488,2339
"1263",2006,3,2838,2734
"1264",2006,4,2641,2546
"1265",2006,5,2996,2773
"1266",2006,6,2827,2731
"1267",2006,7,2953,2852
"1268",2006,8,3095,2838
"1269",2006,9,2991,2734
"1270",2006,10,2888,2669
"1271",2006,11,2593,2519
"1272",2006,12,2473,2423
"1273",2007,1,2583,2507
"1274",2007,2,2462,2358
"1275",2007,3,2738,2520
"1276",2007,4,2662,2452
"1277",2007,5,2754,2628
"1278",2007,6,2755,2627
"1279",2007,7,2858,2785
"1280",2007,8,2924,2929
"1281",2007,9,2928,2743
"1282",2007,10,2928,2745
"1283",2007,11,2666,2570
"1284",2007,12,2557,2403
"1285",2008,1,2732,2488
"1286",2008,2,2635,2585
"1287",2008,3,2717,2513
"1288",2008,4,2682,2550
"1289",2008,5,2746,2664
"1290",2008,6,2817,2665
"1291",2008,7,3172,2934
"1292",2008,8,3060,2826
"1293",2008,9,2849,2800
"1294",2008,10,2817,2637
"1295",2008,11,2737,2467
"1296",2008,12,2567,2378
"1297",2009,1,2649,2494
"1298",2009,2,2493,2233
"1299",2009,3,2715,2645
"1300",2009,4,2628,2498
"1301",2009,5,2710,2638
"1302",2009,6,2795,2569
"1303",2009,7,2898,2792
"1304",2009,8,2896,2698
"1305",2009,9,2704,2653
"1306",2009,10,2590,2490
"1307",2009,11,2547,2346
"1308",2009,12,2636,2501
