"","A","P","D","Y"
"865",54,1952,2,23635
"866",55,1952,0,23095
"867",56,1952,1,22414.333333333
"868",57,1952,1,21616.666666667
"869",58,1952,2,20646.1666666663
"870",59,1952,1,19760.6666666667
"871",60,1952,0,19020.8333333333
"872",61,1952,2,18394.1666666667
"873",62,1952,0,17829.5
"874",63,1952,0,17242
"875",64,1952,1,16654.6666666667
"876",65,1952,0,16103
"877",66,1952,1,15601
"878",67,1952,0,15011.3333333334
"879",68,1952,0,14232.6666666667
"880",69,1952,0,13334.3333333333
"881",70,1952,1,12517.5
"882",71,1952,0,11813.6666666667
"883",72,1952,0,11101.8333333333
"884",73,1952,0,10450
"885",74,1952,0,9768.6666666666
"886",75,1952,0,9001.8333333333
"887",76,1952,1,8133.1666666667
"888",77,1952,0,7182.3333333333
"889",78,1952,0,6289.6666666667
"890",79,1952,0,5492.3333333334
"891",80,1952,0,4774.6666666667
"892",81,1952,1,4051.8333333334
"893",82,1952,0,3387.3333333333
"894",83,1952,0,2816.3333333333
"895",84,1952,0,2317.3333333333
"896",85,1952,0,1914.00000000003
"897",86,1952,0,1533.66666666667
"898",87,1952,0,1217.16666666666
"899",88,1952,0,929.83333333333
"900",89,1952,0,644.39428263215
"901",0,1953,1,38939.5
"902",1,1953,0,38612.166666667
"903",2,1953,0,38640.166666667
"904",3,1953,0,39386.166666667
"905",4,1953,0,40934.666666667
"906",5,1953,0,43117
"907",6,1953,0,45102.833333334
"908",7,1953,1,45729.666666667
"909",8,1953,0,44588.333333333
"910",9,1953,0,42193.833333334
"911",10,1953,0,39169.333333333
"912",11,1953,0,36336.833333333
"913",12,1953,0,34219.5
"914",13,1953,0,32982.5
"915",14,1953,0,32319.666666667
"916",15,1953,0,31678.5
"917",16,1953,0,31093.5
"918",17,1953,1,30575
"919",18,1953,0,30032.166666667
"920",19,1953,1,29451.333333333
"921",20,1953,1,29057.833333333
"922",21,1953,0,28919.833333333
"923",22,1953,2,28792.833333333
"924",23,1953,0,28808
"925",24,1953,5,28946.833333333
"926",25,1953,3,29099
"927",26,1953,1,29358.833333333
"928",27,1953,2,29736.833333333
"929",28,1953,2,30281
"930",29,1953,2,30586.666666667
"931",30,1953,0,30944
"932",31,1953,4,31729.833333334
"933",32,1953,5,32127.166666666
"934",33,1953,4,31759.333333334
"935",34,1953,4,30746.333333333
"936",35,1953,1,30012.333333333
"937",36,1953,4,29823.5
"938",37,1953,4,29856.5
"939",38,1953,0,30291.333333333
"940",39,1953,2,30868.5
"941",40,1953,2,31290.166666667
"942",41,1953,3,31372.833333334
"943",42,1953,3,31409.166666667
"944",43,1953,4,31232.333333333
"945",44,1953,3,30753
"946",45,1953,1,29893.833333334
"947",46,1953,1,29023
"948",47,1953,2,28390.166666666
"949",48,1953,1,27770
"950",49,1953,1,27188
"951",50,1953,1,26558.333333333
"952",51,1953,1,25925
"953",52,1953,0,25212.166666667
"954",53,1953,1,24545.333333333
"955",54,1953,0,23951.666666666
"956",55,1953,0,23393
"957",56,1953,1,22848.5
"958",57,1953,0,22162.666666667
"959",58,1953,0,21357.5
"960",59,1953,1,20374.3333333337
"961",60,1953,1,19470.8333333333
"962",61,1953,0,18709.1666666667
"963",62,1953,1,18064.3333333333
"964",63,1953,0,17487.8333333333
"965",64,1953,0,16890.8333333334
"966",65,1953,0,16280.5
"967",66,1953,0,15687.1666666666
"968",67,1953,2,15166.1666666667
"969",68,1953,0,14568.1666666667
"970",69,1953,0,13770.5
"971",70,1953,0,12848
"972",71,1953,1,11982.5
"973",72,1953,0,11261.5
"974",73,1953,0,10545.1666666667
"975",74,1953,0,9854.5
"976",75,1953,0,9144.6666666666
"977",76,1953,0,8388.3333333333
"978",77,1953,0,7527
"979",78,1953,1,6578.5
"980",79,1953,0,5718.6666666667
"981",80,1953,1,4947.5
"982",81,1953,0,4254.3333333334
"983",82,1953,1,3552.8333333333
"984",83,1953,1,2923
"985",84,1953,0,2387.1666666666
"986",85,1953,0,1939.3333333333
"987",86,1953,0,1582.66666666667
"988",87,1953,0,1246.66666666667
"989",88,1953,0,961.16666666666
"990",89,1953,0,651.92901554404
"991",0,1954,0,38671.833333333
"992",1,1954,0,38576.666666666
"993",2,1954,0,38525.333333333
"994",3,1954,0,38597.666666666
"995",4,1954,0,39339.833333334
"996",5,1954,0,40893.666666666
"997",6,1954,0,43078.166666667
"998",7,1954,0,45072.333333334
"999",8,1954,0,45697
"1000",9,1954,0,44559.166666667
"1001",10,1954,0,42180.333333333
"1002",11,1954,0,39154.833333334
"1003",12,1954,0,36330.166666667
"1004",13,1954,0,34214.166666666
"1005",14,1954,0,32974.5
"1006",15,1954,0,32311.5
"1007",16,1954,0,31664.166666667
"1008",17,1954,1,31057.166666667
"1009",18,1954,1,30497
"1010",19,1954,3,29920.166666667
"1011",20,1954,0,29408.5
"1012",21,1954,4,29024.333333333
"1013",22,1954,1,28745.166666667
"1014",23,1954,5,28621.333333333
"1015",24,1954,2,28715.833333333
"1016",25,1954,2,28900.5
"1017",26,1954,1,29051.5
"1018",27,1954,1,29311.833333334
"1019",28,1954,2,29711.833333333
"1020",29,1954,4,30239.833333333
"1021",30,1954,6,30568.833333333
"1022",31,1954,1,30928.333333334
"1023",32,1954,5,31705
"1024",33,1954,1,32095.166666667
"1025",34,1954,2,31713.5
"1026",35,1954,1,30699.666666667
"1027",36,1954,2,29965.833333333
"1028",37,1954,5,29764.666666667
"1029",38,1954,2,29797.833333333
"1030",39,1954,2,30230.666666666
"1031",40,1954,6,30806.5
"1032",41,1954,6,31214.166666666
"1033",42,1954,1,31280
"1034",43,1954,1,31312.166666667
"1035",44,1954,3,31136
"1036",45,1954,3,30647.333333334
"1037",46,1954,0,29784.5
"1038",47,1954,2,28906.333333333
"1039",48,1954,2,28255
"1040",49,1954,2,27623.333333333
"1041",50,1954,1,27024.833333334
"1042",51,1954,2,26398.5
"1043",52,1954,1,25752.666666667
"1044",53,1954,3,25021.166666667
"1045",54,1954,1,24315
"1046",55,1954,0,23712.5
"1047",56,1954,0,23167.333333333
"1048",57,1954,0,22595.166666667
"1049",58,1954,1,21891.5
"1050",59,1954,0,21071.833333333
"1051",60,1954,1,20070.1666666663
"1052",61,1954,0,19152.8333333333
"1053",62,1954,0,18389.3333333333
"1054",63,1954,0,17728.3333333333
"1055",64,1954,0,17113.8333333334
"1056",65,1954,0,16499.3333333334
"1057",66,1954,0,15863.1666666666
"1058",67,1954,0,15254.1666666667
"1059",68,1954,2,14727.1666666667
"1060",69,1954,0,14090
"1061",70,1954,1,13262
"1062",71,1954,1,12317.3333333333
"1063",72,1954,0,11436.8333333333
"1064",73,1954,0,10676.8333333333
"1065",74,1954,0,9945.6666666667
"1066",75,1954,0,9261.3333333334
"1067",76,1954,0,8532.6666666666
"1068",77,1954,0,7761
"1069",78,1954,1,6899
"1070",79,1954,0,5987
"1071",80,1954,0,5139.6666666666
"1072",81,1954,0,4403
"1073",82,1954,0,3743.6666666667
"1074",83,1954,0,3065.3333333334
"1075",84,1954,0,2473.6666666667
"1076",85,1954,0,1986.3333333333
"1077",86,1954,0,1590.5
"1078",87,1954,0,1273.16666666667
"1079",88,1954,0,988.83333333333
"1080",89,1954,0,672.24142857143
"1081",0,1955,0,38654.666666667
"1082",1,1955,0,38564.666666667
"1083",2,1955,0,38457
"1084",3,1955,0,38443.833333333
"1085",4,1955,0,38532.833333334
"1086",5,1955,0,39290.5
"1087",6,1955,0,40843.666666666
"1088",7,1955,0,43040.833333333
"1089",8,1955,0,45040.333333333
"1090",9,1955,0,45666.833333334
"1091",10,1955,0,44531.833333333
"1092",11,1955,0,42152
"1093",12,1955,0,39137.166666667
"1094",13,1955,0,36314.333333334
"1095",14,1955,0,34199.666666666
"1096",15,1955,0,32959.666666666
"1097",16,1955,0,32291
"1098",17,1955,2,31601.5
"1099",18,1955,0,30932.833333333
"1100",19,1955,1,30311.5
"1101",20,1955,3,29784.666666667
"1102",21,1955,1,29190.5
"1103",22,1955,2,28608.833333334
"1104",23,1955,5,28344.833333333
"1105",24,1955,2,28332
"1106",25,1955,0,28489.5
"1107",26,1955,1,28715.5
"1108",27,1955,2,28877.5
"1109",28,1955,2,29145.666666667
"1110",29,1955,7,29573
"1111",30,1955,4,30132
"1112",31,1955,2,30457.333333333
"1113",32,1955,3,30811.166666667
"1114",33,1955,2,31613.166666667
"1115",34,1955,4,32015.166666666
"1116",35,1955,2,31627.333333333
"1117",36,1955,1,30606.333333333
"1118",37,1955,2,29869.833333333
"1119",38,1955,1,29671.833333334
"1120",39,1955,2,29716.833333333
"1121",40,1955,2,30151.666666667
"1122",41,1955,2,30708
"1123",42,1955,0,31115
"1124",43,1955,4,31164.833333333
"1125",44,1955,5,31196.666666666
"1126",45,1955,0,31014.166666667
"1127",46,1955,2,30529.5
"1128",47,1955,2,29640.833333334
"1129",48,1955,2,28761.5
"1130",49,1955,1,28099.5
"1131",50,1955,2,27452.5
"1132",51,1955,2,26848.5
"1133",52,1955,1,26206.833333333
"1134",53,1955,0,25539.5
"1135",54,1955,0,24783.166666667
"1136",55,1955,0,24077.166666667
"1137",56,1955,1,23475.666666666
"1138",57,1955,1,22902.666666666
"1139",58,1955,2,22321.666666667
"1140",59,1955,0,21588
"1141",60,1955,0,20756.166666667
"1142",61,1955,0,19758.6666666667
"1143",62,1955,1,18819.8333333333
"1144",63,1955,0,18023
"1145",64,1955,0,17335
"1146",65,1955,2,16707.6666666667
"1147",66,1955,0,16059.5
"1148",67,1955,0,15420.6666666667
"1149",68,1955,0,14781.1666666667
"1150",69,1955,0,14227.5
"1151",70,1955,0,13576.1666666667
"1152",71,1955,0,12724.6666666667
"1153",72,1955,0,11748.1666666667
"1154",73,1955,0,10851.1666666667
"1155",74,1955,0,10106.6666666666
"1156",75,1955,0,9352.6666666667
"1157",76,1955,0,8650.6666666666
"1158",77,1955,0,7896.6666666666
"1159",78,1955,0,7108.6666666666
"1160",79,1955,1,6274.3333333334
"1161",80,1955,0,5401
"1162",81,1955,0,4591.3333333333
"1163",82,1955,0,3873.8333333333
"1164",83,1955,0,3232.1666666667
"1165",84,1955,0,2603.1666666667
"1166",85,1955,0,2070.8333333333
"1167",86,1955,0,1650.66666666667
"1168",87,1955,0,1301.33333333334
"1169",88,1955,0,1024.66666666667
"1170",89,1955,0,762.18396226415
"1171",0,1956,1,38497
"1172",1,1956,0,38398.5
"1173",2,1956,1,38377.833333333
"1174",3,1956,0,38340.5
"1175",4,1956,0,38347.833333333
"1176",5,1956,0,38429.666666667
"1177",6,1956,0,39196.333333333
"1178",7,1956,0,40775
"1179",8,1956,0,42975.333333333
"1180",9,1956,0,44970.333333333
"1181",10,1956,0,45598.5
"1182",11,1956,0,44478.5
"1183",12,1956,0,42115.833333333
"1184",13,1956,0,39092.333333334
"1185",14,1956,2,36278.5
"1186",15,1956,0,34169
"1187",16,1956,0,32915.166666667
"1188",17,1956,0,32190.5
"1189",18,1956,1,31429.333333333
"1190",19,1956,0,30701.833333333
"1191",20,1956,1,30094.833333333
"1192",21,1956,2,29360
"1193",22,1956,2,28550.666666667
"1194",23,1956,1,28051
"1195",24,1956,2,27909.333333334
"1196",25,1956,2,27969.166666666
"1197",26,1956,3,28194.5
"1198",27,1956,5,28433.333333333
"1199",28,1956,0,28622
"1200",29,1956,1,28919.833333333
"1201",30,1956,1,29363.833333333
"1202",31,1956,3,29942.666666666
"1203",32,1956,2,30275.666666666
"1204",33,1956,5,30659.833333334
"1205",34,1956,3,31474.666666667
"1206",35,1956,4,31866
"1207",36,1956,0,31489.666666667
"1208",37,1956,2,30475
"1209",38,1956,1,29747.666666667
"1210",39,1956,2,29555.833333333
"1211",40,1956,4,29604.333333333
"1212",41,1956,3,30035
"1213",42,1956,3,30585.166666667
"1214",43,1956,1,30973.833333334
"1215",44,1956,1,31036.833333333
"1216",45,1956,2,31062.666666667
"1217",46,1956,3,30867
"1218",47,1956,3,30364
"1219",48,1956,1,29481.833333333
"1220",49,1956,1,28581.166666666
"1221",50,1956,0,27909.666666667
"1222",51,1956,0,27263
"1223",52,1956,0,26645.166666667
"1224",53,1956,1,25981.333333333
"1225",54,1956,2,25295.5
"1226",55,1956,2,24529.833333334
"1227",56,1956,0,23821.166666667
"1228",57,1956,2,23204.666666667
"1229",58,1956,0,22611
"1230",59,1956,2,21997.333333333
"1231",60,1956,0,21265.333333333
"1232",61,1956,4,20430.8333333337
"1233",62,1956,0,19413.3333333333
"1234",63,1956,0,18457
"1235",64,1956,1,17626.3333333333
"1236",65,1956,0,16913
"1237",66,1956,0,16271.1666666666
"1238",67,1956,1,15597
"1239",68,1956,0,14939.6666666667
"1240",69,1956,0,14285.3333333333
"1241",70,1956,0,13703.3333333333
"1242",71,1956,1,13030
"1243",72,1956,0,12172.1666666666
"1244",73,1956,0,11181.1666666667
"1245",74,1956,0,10263.6666666667
"1246",75,1956,1,9493.1666666667
"1247",76,1956,1,8748
"1248",77,1956,0,8009.8333333334
"1249",78,1956,0,7255
"1250",79,1956,2,6484.6666666667
"1251",80,1956,0,5673.3333333333
"1252",81,1956,0,4826.8333333333
"1253",82,1956,1,4041
"1254",83,1956,0,3347
"1255",84,1956,0,2763.3333333334
"1256",85,1956,0,2203.66666666663
"1257",86,1956,0,1717.83333333333
"1258",87,1956,0,1350.83333333333
"1259",88,1956,0,1052.16666666667
"1260",89,1956,0,712.45384165936
"1261",0,1957,0,38179.666666667
"1262",1,1957,0,38148.166666667
"1263",2,1957,1,38181.666666666
"1264",3,1957,0,38214
"1265",4,1957,0,38198.833333333
"1266",5,1957,0,38197.166666667
"1267",6,1957,0,38297.833333334
"1268",7,1957,0,39077.166666667
"1269",8,1957,0,40658.5
"1270",9,1957,0,42853.5
"1271",10,1957,0,44869.333333333
"1272",11,1957,0,45521.333333333
"1273",12,1957,0,44394.5
"1274",13,1957,0,42034.666666667
"1275",14,1957,0,39033.333333333
"1276",15,1957,0,36218
"1277",16,1957,1,34105.333333334
"1278",17,1957,0,32802.166666667
"1279",18,1957,0,32001.5
"1280",19,1957,1,31213.333333333
"1281",20,1957,0,30463.5
"1282",21,1957,1,29643.5
"1283",22,1957,3,28749.833333334
"1284",23,1957,0,28028.5
"1285",24,1957,1,27657.5
"1286",25,1957,4,27581.666666667
"1287",26,1957,5,27682.666666667
"1288",27,1957,2,27913.666666667
"1289",28,1957,4,28179
"1290",29,1957,5,28392.833333334
"1291",30,1957,3,28712.833333334
"1292",31,1957,2,29165
"1293",32,1957,6,29737.833333333
"1294",33,1957,7,30113.5
"1295",34,1957,3,30506
"1296",35,1957,2,31320.166666667
"1297",36,1957,7,31705
"1298",37,1957,0,31323.5
"1299",38,1957,2,30322.333333334
"1300",39,1957,5,29605
"1301",40,1957,1,29423.833333333
"1302",41,1957,3,29475.333333333
"1303",42,1957,0,29905
"1304",43,1957,0,30446.666666667
"1305",44,1957,4,30842.666666667
"1306",45,1957,2,30884.833333333
"1307",46,1957,0,30898
"1308",47,1957,2,30699.166666667
"1309",48,1957,1,30202.333333334
"1310",49,1957,0,29303.5
"1311",50,1957,0,28389.833333334
"1312",51,1957,0,27711.833333333
"1313",52,1957,0,27059.333333333
"1314",53,1957,1,26418.166666667
"1315",54,1957,2,25738.666666666
"1316",55,1957,0,25032.333333333
"1317",56,1957,0,24253.333333333
"1318",57,1957,1,23546.5
"1319",58,1957,2,22900.166666667
"1320",59,1957,0,22262.666666667
"1321",60,1957,0,21652.333333333
"1322",61,1957,1,20924.333333333
"1323",62,1957,0,20065.8333333333
"1324",63,1957,1,19027.3333333334
"1325",64,1957,0,18046.1666666666
"1326",65,1957,1,17197.1666666667
"1327",66,1957,1,16461.6666666666
"1328",67,1957,0,15802.3333333333
"1329",68,1957,0,15115.1666666667
"1330",69,1957,1,14414.5
"1331",70,1957,0,13723.3333333333
"1332",71,1957,0,13151.6666666667
"1333",72,1957,0,12458
"1334",73,1957,1,11559.1666666666
"1335",74,1957,0,10553.3333333333
"1336",75,1957,0,9637.8333333334
"1337",76,1957,0,8862.6666666666
"1338",77,1957,0,8104.3333333333
"1339",78,1957,0,7354.3333333333
"1340",79,1957,0,6586
"1341",80,1957,0,5853.1666666667
"1342",81,1957,1,5058
"1343",82,1957,0,4228.6666666667
"1344",83,1957,0,3496.6666666666
"1345",84,1957,0,2854.6666666667
"1346",85,1957,0,2323.3333333333
"1347",86,1957,0,1825.83333333337
"1348",87,1957,0,1395.16666666666
"1349",88,1957,0,1084.83333333334
"1350",89,1957,0,797.4395408988
"1351",0,1958,0,37786.5
"1352",1,1958,1,37925.833333334
"1353",2,1958,0,37986
"1354",3,1958,0,38060.666666667
"1355",4,1958,0,38116
"1356",5,1958,0,38085.166666666
"1357",6,1958,0,38102.5
"1358",7,1958,0,38211
"1359",8,1958,0,38994.5
"1360",9,1958,0,40582.833333334
"1361",10,1958,0,42792.166666667
"1362",11,1958,0,44797.833333333
"1363",12,1958,0,45443.833333333
"1364",13,1958,0,44334.833333333
"1365",14,1958,0,41973.666666666
"1366",15,1958,0,38982.666666666
"1367",16,1958,0,36162
"1368",17,1958,0,34001.5
"1369",18,1958,2,32662.333333334
"1370",19,1958,0,31879.833333333
"1371",20,1958,1,31063.666666667
"1372",21,1958,1,30164.333333333
"1373",22,1958,4,29267.666666666
"1374",23,1958,1,28463.833333334
"1375",24,1958,3,27856.333333333
"1376",25,1958,3,27510.666666667
"1377",26,1958,2,27449.166666666
"1378",27,1958,5,27561.5
"1379",28,1958,1,27809
"1380",29,1958,3,28064.5
"1381",30,1958,5,28288.333333334
"1382",31,1958,4,28606.5
"1383",32,1958,5,29075
"1384",33,1958,3,29672.166666667
"1385",34,1958,2,30032.166666666
"1386",35,1958,6,30408.5
"1387",36,1958,4,31205
"1388",37,1958,0,31586.666666666
"1389",38,1958,2,31224
"1390",39,1958,1,30221
"1391",40,1958,3,29496.5
"1392",41,1958,1,29330.666666666
"1393",42,1958,3,29371.333333333
"1394",43,1958,1,29796.333333333
"1395",44,1958,4,30332.166666667
"1396",45,1958,4,30705
"1397",46,1958,5,30757.166666666
"1398",47,1958,5,30769.833333333
"1399",48,1958,3,30568.333333333
"1400",49,1958,2,30031.166666666
"1401",50,1958,2,29114.833333333
"1402",51,1958,0,28188.666666667
"1403",52,1958,2,27502
"1404",53,1958,1,26833
"1405",54,1958,1,26172.833333334
"1406",55,1958,0,25478.333333333
"1407",56,1958,0,24781.166666667
"1408",57,1958,0,23975.166666667
"1409",58,1958,0,23231.833333333
"1410",59,1958,0,22565
"1411",60,1958,0,21929.833333334
"1412",61,1958,1,21289.5
"1413",62,1958,0,20533.166666666
"1414",63,1958,0,19656.9999999997
"1415",64,1958,1,18611.6666666667
"1416",65,1958,0,17612.8333333334
"1417",66,1958,0,16740.8333333334
"1418",67,1958,1,15992.3333333333
"1419",68,1958,0,15306.1666666667
"1420",69,1958,0,14582.6666666667
"1421",70,1958,0,13843.5
"1422",71,1958,0,13142.5
"1423",72,1958,0,12537.5
"1424",73,1958,0,11818.8333333334
"1425",74,1958,0,10913.1666666666
"1426",75,1958,0,9907.3333333334
"1427",76,1958,1,8986
"1428",77,1958,0,8209.3333333334
"1429",78,1958,0,7438.3333333334
"1430",79,1958,0,6697
"1431",80,1958,0,5938.6666666666
"1432",81,1958,1,5183.3333333333
"1433",82,1958,0,4421.1666666667
"1434",83,1958,0,3658.1666666667
"1435",84,1958,0,2981.8333333334
"1436",85,1958,0,2402
"1437",86,1958,0,1917.66666666667
"1438",87,1958,0,1474
"1439",88,1958,0,1115
"1440",89,1958,0,760.09135039718
"1441",0,1959,0,37390.833333333
"1442",1,1959,0,37615.166666667
"1443",2,1959,0,37878.833333333
"1444",3,1959,0,37959.5
"1445",4,1959,0,38029
"1446",5,1959,0,38089.5
"1447",6,1959,0,38072.666666667
"1448",7,1959,0,38093.166666667
"1449",8,1959,0,38197
"1450",9,1959,0,38980.666666667
"1451",10,1959,0,40562.5
"1452",11,1959,0,42762
"1453",12,1959,0,44773.666666667
"1454",13,1959,0,45420.166666667
"1455",14,1959,0,44306
"1456",15,1959,0,41951.5
"1457",16,1959,0,38941.166666667
"1458",17,1959,2,36091.5
"1459",18,1959,0,33919
"1460",19,1959,2,32601.666666666
"1461",20,1959,0,31791
"1462",21,1959,2,30888.333333334
"1463",22,1959,3,29986
"1464",23,1959,1,29170.666666667
"1465",24,1959,4,28469.666666666
"1466",25,1959,3,27927
"1467",26,1959,4,27564
"1468",27,1959,4,27484
"1469",28,1959,7,27608.5
"1470",29,1959,6,27836.5
"1471",30,1959,9,28102.166666667
"1472",31,1959,2,28330.666666667
"1473",32,1959,1,28625.666666666
"1474",33,1959,8,29075.833333334
"1475",34,1959,4,29670.166666666
"1476",35,1959,1,30020.5
"1477",36,1959,3,30388.333333334
"1478",37,1959,2,31167.833333334
"1479",38,1959,2,31561.833333334
"1480",39,1959,4,31175.666666667
"1481",40,1959,2,30170.333333334
"1482",41,1959,1,29452.5
"1483",42,1959,3,29262.166666667
"1484",43,1959,2,29288.833333333
"1485",44,1959,2,29694.5
"1486",45,1959,2,30226.833333334
"1487",46,1959,3,30601.666666667
"1488",47,1959,2,30642.833333333
"1489",48,1959,2,30636.666666667
"1490",49,1959,0,30413.666666667
"1491",50,1959,0,29864
"1492",51,1959,1,28926.666666666
"1493",52,1959,4,27993.5
"1494",53,1959,1,27287
"1495",54,1959,0,26603.166666667
"1496",55,1959,2,25936.166666667
"1497",56,1959,1,25225.833333333
"1498",57,1959,1,24489.166666667
"1499",58,1959,0,23677
"1500",59,1959,1,22917.5
"1501",60,1959,0,22224.5
"1502",61,1959,1,21560.166666667
"1503",62,1959,1,20900.5
"1504",63,1959,0,20122.3333333333
"1505",64,1959,0,19244.6666666666
"1506",65,1959,1,18184.8333333333
"1507",66,1959,1,17159.6666666667
"1508",67,1959,0,16266.6666666667
"1509",68,1959,0,15507.5
"1510",69,1959,1,14794.8333333333
"1511",70,1959,2,14013
"1512",71,1959,0,13257
"1513",72,1959,0,12547.6666666666
"1514",73,1959,0,11913.6666666667
"1515",74,1959,1,11166
"1516",75,1959,0,10241.1666666667
"1517",76,1959,2,9230.3333333333
"1518",77,1959,1,8336.6666666666
"1519",78,1959,1,7560.5
"1520",79,1959,0,6768.3333333334
"1521",80,1959,0,6023.1666666667
"1522",81,1959,0,5285.3333333333
"1523",82,1959,0,4562
"1524",83,1959,1,3834.8333333333
"1525",84,1959,0,3131.1666666666
"1526",85,1959,0,2514.1666666667
"1527",86,1959,0,1991.83333333333
"1528",87,1959,0,1563.5
"1529",88,1959,0,1165.83333333333
"1530",89,1959,0,781.50767640981
"1531",0,1960,2,37395.333333333
"1532",1,1960,1,37357.5
"1533",2,1960,1,37601.166666667
"1534",3,1960,0,37828.666666667
"1535",4,1960,1,37900.833333333
"1536",5,1960,0,38019.333333333
"1537",6,1960,0,38085
"1538",7,1960,0,38022.166666666
"1539",8,1960,0,38110.666666666
"1540",9,1960,0,38086
"1541",10,1960,0,39033.166666667
"1542",11,1960,0,40670.166666667
"1543",12,1960,0,42713.666666667
"1544",13,1960,0,44694.666666667
"1545",14,1960,0,45341.333333333
"1546",15,1960,0,44267.666666667
"1547",16,1960,0,41898.333333333
"1548",17,1960,0,38829.333333333
"1549",18,1960,0,35988.333333334
"1550",19,1960,1,33866.833333333
"1551",20,1960,3,32447.833333333
"1552",21,1960,3,31512.5
"1553",22,1960,0,30595.333333333
"1554",23,1960,2,29852.666666667
"1555",24,1960,2,29050.5
"1556",25,1960,3,28450.5
"1557",26,1960,3,27864.833333333
"1558",27,1960,3,27543.666666666
"1559",28,1960,2,27439.5
"1560",29,1960,3,27629
"1561",30,1960,5,27857.833333333
"1562",31,1960,1,28046.5
"1563",32,1960,2,28277.666666666
"1564",33,1960,5,28680.833333334
"1565",34,1960,3,29112.166666666
"1566",35,1960,1,29676.5
"1567",36,1960,3,30032
"1568",37,1960,1,30397.333333333
"1569",38,1960,3,31175.833333333
"1570",39,1960,3,31566.333333333
"1571",40,1960,1,31163.833333334
"1572",41,1960,3,30160.666666666
"1573",42,1960,2,29396
"1574",43,1960,2,29223.333333334
"1575",44,1960,2,29237.166666666
"1576",45,1960,4,29618.333333333
"1577",46,1960,3,30085.666666667
"1578",47,1960,1,30449.5
"1579",48,1960,0,30509.5
"1580",49,1960,2,30527.5
"1581",50,1960,3,30202.833333334
"1582",51,1960,0,29636.166666667
"1583",52,1960,3,28723.666666666
"1584",53,1960,1,27806.333333333
"1585",54,1960,0,27066.666666666
"1586",55,1960,3,26394
"1587",56,1960,0,25679
"1588",57,1960,1,24907.666666667
"1589",58,1960,1,24182.833333333
"1590",59,1960,0,23367.166666667
"1591",60,1960,0,22579.666666667
"1592",61,1960,1,21826.333333334
"1593",62,1960,1,21115.333333333
"1594",63,1960,2,20496.333333334
"1595",64,1960,0,19645.166666667
"1596",65,1960,0,18769.8333333333
"1597",66,1960,1,17732
"1598",67,1960,2,16684
"1599",68,1960,0,15717.1666666667
"1600",69,1960,0,14973.5
"1601",70,1960,0,14218.6666666667
"1602",71,1960,0,13428.1666666667
"1603",72,1960,0,12644.8333333333
"1604",73,1960,0,11892.3333333333
"1605",74,1960,0,11244.5
"1606",75,1960,0,10492.3333333333
"1607",76,1960,0,9537.5
"1608",77,1960,0,8559
"1609",78,1960,1,7640
"1610",79,1960,1,6855.8333333333
"1611",80,1960,0,6097.1666666667
"1612",81,1960,0,5367.5
"1613",82,1960,1,4640.6666666667
"1614",83,1960,0,3958.6666666667
"1615",84,1960,0,3301.8333333333
"1616",85,1960,0,2608.5
"1617",86,1960,0,2056.99999999997
"1618",87,1960,0,1636.66666666667
"1619",88,1960,0,1234.5
"1620",89,1960,0,833.81205673759
"1621",0,1961,0,37826.166666667
"1622",1,1961,0,37441.666666666
"1623",2,1961,0,37352.5
"1624",3,1961,0,37543
"1625",4,1961,0,37813.833333334
"1626",5,1961,0,37912.833333333
"1627",6,1961,0,38013.5
"1628",7,1961,0,38082.166666667
"1629",8,1961,0,38019.833333333
"1630",9,1961,0,38058.833333333
"1631",10,1961,0,38245.666666666
"1632",11,1961,0,39053.5
"1633",12,1961,0,40584.833333333
"1634",13,1961,0,42660.5
"1635",14,1961,0,44647.333333333
"1636",15,1961,1,45329
"1637",16,1961,1,44203.833333334
"1638",17,1961,0,41811.833333333
"1639",18,1961,1,38782.833333334
"1640",19,1961,2,35964.833333333
"1641",20,1961,1,33686.333333333
"1642",21,1961,2,32155.166666667
"1643",22,1961,1,31240.666666667
"1644",23,1961,2,30437.166666667
"1645",24,1961,1,29681.5
"1646",25,1961,2,28988
"1647",26,1961,2,28378.333333334
"1648",27,1961,6,27852.666666666
"1649",28,1961,3,27497.833333333
"1650",29,1961,5,27470.333333333
"1651",30,1961,2,27587.666666667
"1652",31,1961,4,27806.166666667
"1653",32,1961,2,28078.5
"1654",33,1961,4,28363.5
"1655",34,1961,3,28708.666666666
"1656",35,1961,3,29145.833333333
"1657",36,1961,3,29713.5
"1658",37,1961,0,30059.5
"1659",38,1961,1,30426.833333333
"1660",39,1961,5,31183
"1661",40,1961,2,31550.833333334
"1662",41,1961,3,31140.5
"1663",42,1961,3,30129.333333333
"1664",43,1961,2,29389.833333334
"1665",44,1961,3,29172
"1666",45,1961,1,29139
"1667",46,1961,1,29470.5
"1668",47,1961,1,29967.166666667
"1669",48,1961,3,30349.5
"1670",49,1961,1,30369.333333333
"1671",50,1961,1,30297
"1672",51,1961,1,30016.166666667
"1673",52,1961,0,29446.666666667
"1674",53,1961,0,28528.166666667
"1675",54,1961,2,27584.5
"1676",55,1961,3,26845.833333333
"1677",56,1961,1,26102.166666666
"1678",57,1961,0,25359.833333333
"1679",58,1961,1,24601
"1680",59,1961,4,23860.833333333
"1681",60,1961,1,23006.166666666
"1682",61,1961,0,22156
