"","sex","A","P","N"
"2084",2,41,1981,29854
"2085",1,42,1981,30729
"2086",2,42,1981,29965
"2087",1,43,1981,29696
"2088",2,43,1981,29594
"2089",1,44,1981,28901
"2090",2,44,1981,28701
"2091",1,45,1981,28050
"2092",2,45,1981,27919
"2093",1,46,1981,27575
"2094",2,46,1981,27759
"2095",1,47,1981,26923
"2096",2,47,1981,26761
"2097",1,48,1981,26683
"2098",2,48,1981,27340
"2099",1,49,1981,26632
"2100",2,49,1981,26941
"2101",1,50,1981,26860
"2102",2,50,1981,27524
"2103",1,51,1981,26122
"2104",2,51,1981,26858
"2105",1,52,1981,27250
"2106",2,52,1981,27694
"2107",1,53,1981,26640
"2108",2,53,1981,27423
"2109",1,54,1981,27050
"2110",2,54,1981,28277
"2111",1,55,1981,27044
"2112",2,55,1981,28519
"2113",1,56,1981,27633
"2114",2,56,1981,29061
"2115",1,57,1981,27381
"2116",2,57,1981,29200
"2117",1,58,1981,26687
"2118",2,58,1981,28226
"2119",1,59,1981,28041
"2120",2,59,1981,30246
"2121",1,60,1981,28680
"2122",2,60,1981,31077
"2123",1,61,1981,24657
"2124",2,61,1981,26364
"2125",1,62,1981,25212
"2126",2,62,1981,27209
"2127",1,63,1981,23850
"2128",2,63,1981,26407
"2129",1,64,1981,23601
"2130",2,64,1981,26103
"2131",1,65,1981,22814
"2132",2,65,1981,25559
"2133",1,66,1981,23248
"2134",2,66,1981,26825
"2135",1,67,1981,22671
"2136",2,67,1981,26443
"2137",1,68,1981,22544
"2138",2,68,1981,26205
"2139",1,69,1981,21173
"2140",2,69,1981,25266
"2141",1,70,1981,20401
"2142",2,70,1981,24812
"2143",1,71,1981,19766
"2144",2,71,1981,24763
"2145",1,72,1981,18011
"2146",2,72,1981,23428
"2147",1,73,1981,16392
"2148",2,73,1981,21953
"2149",1,74,1981,15175
"2150",2,74,1981,20934
"2151",1,75,1981,13961
"2152",2,75,1981,19783
"2153",1,76,1981,12849
"2154",2,76,1981,18924
"2155",1,77,1981,11555
"2156",2,77,1981,17505
"2157",1,78,1981,10684
"2158",2,78,1981,16679
"2159",1,79,1981,9448
"2160",2,79,1981,15393
"2161",1,80,1981,8346
"2162",2,80,1981,13859
"2163",1,81,1981,7173
"2164",2,81,1981,12503
"2165",1,82,1981,6626
"2166",2,82,1981,11443
"2167",1,83,1981,5624
"2168",2,83,1981,10046
"2169",1,84,1981,4908
"2170",2,84,1981,9130
"2171",1,85,1981,4192
"2172",2,85,1981,7688
"2173",1,86,1981,3507
"2174",2,86,1981,6460
"2175",1,87,1981,2855
"2176",2,87,1981,5489
"2177",1,88,1981,2092
"2178",2,88,1981,4399
"2179",1,89,1981,1801
"2180",2,89,1981,3548
"2181",1,90,1981,1338
"2182",2,90,1981,2760
"2183",1,91,1981,1009
"2184",2,91,1981,2066
"2185",1,92,1981,762
"2186",2,92,1981,1549
"2187",1,93,1981,556
"2188",2,93,1981,1179
"2189",1,94,1981,355
"2190",2,94,1981,782
"2191",1,95,1981,237
"2192",2,95,1981,582
"2193",1,96,1981,181
"2194",2,96,1981,367
"2195",1,97,1981,99
"2196",2,97,1981,263
"2197",1,98,1981,71
"2198",2,98,1981,161
"2199",1,99,1981,84
"2200",2,99,1981,214
"2201",1,0,1982,26987
"2202",2,0,1982,25994
"2203",1,1,1982,29217
"2204",2,1,1982,28078
"2205",1,2,1982,30390
"2206",2,2,1982,29062
"2207",1,3,1982,31831
"2208",2,3,1982,30368
"2209",1,4,1982,31750
"2210",2,4,1982,30350
"2211",1,5,1982,33665
"2212",2,5,1982,31844
"2213",1,6,1982,36619
"2214",2,6,1982,35491
"2215",1,7,1982,36235
"2216",2,7,1982,34922
"2217",1,8,1982,36482
"2218",2,8,1982,34983
"2219",1,9,1982,38191
"2220",2,9,1982,36808
"2221",1,10,1982,38479
"2222",2,10,1982,36342
"2223",1,11,1982,36200
"2224",2,11,1982,34627
"2225",1,12,1982,36517
"2226",2,12,1982,34494
"2227",1,13,1982,38024
"2228",2,13,1982,35882
"2229",1,14,1982,41107
"2230",2,14,1982,39408
"2231",1,15,1982,44688
"2232",2,15,1982,42571
"2233",1,16,1982,43297
"2234",2,16,1982,41197
"2235",1,17,1982,42307
"2236",2,17,1982,40023
"2237",1,18,1982,41662
"2238",2,18,1982,39721
"2239",1,19,1982,39155
"2240",2,19,1982,37377
"2241",1,20,1982,38461
"2242",2,20,1982,36904
"2243",1,21,1982,38327
"2244",2,21,1982,36956
"2245",1,22,1982,37234
"2246",2,22,1982,35831
"2247",1,23,1982,37655
"2248",2,23,1982,36077
"2249",1,24,1982,37949
"2250",2,24,1982,36059
"2251",1,25,1982,38341
"2252",2,25,1982,36594
"2253",1,26,1982,38397
"2254",2,26,1982,36347
"2255",1,27,1982,37616
"2256",2,27,1982,36102
"2257",1,28,1982,38685
"2258",2,28,1982,36801
"2259",1,29,1982,38004
"2260",2,29,1982,36413
"2261",1,30,1982,37734
"2262",2,30,1982,35672
"2263",1,31,1982,38565
"2264",2,31,1982,37437
"2265",1,32,1982,38625
"2266",2,32,1982,37172
"2267",1,33,1982,41121
"2268",2,33,1982,39196
"2269",1,34,1982,43884
"2270",2,34,1982,41858
"2271",1,35,1982,45668
"2272",2,35,1982,43111
"2273",1,36,1982,44696
"2274",2,36,1982,42070
"2275",1,37,1982,42534
"2276",2,37,1982,40380
"2277",1,38,1982,38943
"2278",2,38,1982,37611
"2279",1,39,1982,36901
"2280",2,39,1982,35422
"2281",1,40,1982,32950
"2282",2,40,1982,31782
"2283",1,41,1982,31963
"2284",2,41,1982,31082
"2285",1,42,1982,31006
"2286",2,42,1982,29801
"2287",1,43,1982,30618
"2288",2,43,1982,29893
"2289",1,44,1982,29584
"2290",2,44,1982,29516
"2291",1,45,1982,28778
"2292",2,45,1982,28605
"2293",1,46,1982,27920
"2294",2,46,1982,27853
"2295",1,47,1982,27441
"2296",2,47,1982,27663
"2297",1,48,1982,26745
"2298",2,48,1982,26652
"2299",1,49,1982,26519
"2300",2,49,1982,27219
"2301",1,50,1982,26480
"2302",2,50,1982,26835
"2303",1,51,1982,26667
"2304",2,51,1982,27417
"2305",1,52,1982,25931
"2306",2,52,1982,26726
"2307",1,53,1982,27008
"2308",2,53,1982,27535
"2309",1,54,1982,26389
"2310",2,54,1982,27239
"2311",1,55,1982,26761
"2312",2,55,1982,28084
"2313",1,56,1982,26743
"2314",2,56,1982,28326
"2315",1,57,1982,27312
"2316",2,57,1982,28825
"2317",1,58,1982,26971
"2318",2,58,1982,28957
"2319",1,59,1982,26226
"2320",2,59,1982,27982
"2321",1,60,1982,27510
"2322",2,60,1982,29984
"2323",1,61,1982,28186
"2324",2,61,1982,30771
"2325",1,62,1982,24140
"2326",2,62,1982,26085
"2327",1,63,1982,24621
"2328",2,63,1982,26883
"2329",1,64,1982,23267
"2330",2,64,1982,26064
"2331",1,65,1982,22968
"2332",2,65,1982,25764
"2333",1,66,1982,22179
"2334",2,66,1982,25171
"2335",1,67,1982,22533
"2336",2,67,1982,26402
"2337",1,68,1982,21863
"2338",2,68,1982,25996
"2339",1,69,1982,21710
"2340",2,69,1982,25694
"2341",1,70,1982,20286
"2342",2,70,1982,24729
"2343",1,71,1982,19447
"2344",2,71,1982,24265
"2345",1,72,1982,18733
"2346",2,72,1982,24140
"2347",1,73,1982,17052
"2348",2,73,1982,22757
"2349",1,74,1982,15445
"2350",2,74,1982,21248
"2351",1,75,1982,14187
"2352",2,75,1982,20241
"2353",1,76,1982,12986
"2354",2,76,1982,19035
"2355",1,77,1982,11845
"2356",2,77,1982,18066
"2357",1,78,1982,10534
"2358",2,78,1982,16643
"2359",1,79,1982,9722
"2360",2,79,1982,15783
"2361",1,80,1982,8488
"2362",2,80,1982,14502
"2363",1,81,1982,7420
"2364",2,81,1982,12881
"2365",1,82,1982,6358
"2366",2,82,1982,11561
"2367",1,83,1982,5819
"2368",2,83,1982,10511
"2369",1,84,1982,4876
"2370",2,84,1982,9059
"2371",1,85,1982,4204
"2372",2,85,1982,8196
"2373",1,86,1982,3549
"2374",2,86,1982,6776
"2375",1,87,1982,2935
"2376",2,87,1982,5649
"2377",1,88,1982,2350
"2378",2,88,1982,4734
"2379",1,89,1982,1678
"2380",2,89,1982,3736
"2381",1,90,1982,1435
"2382",2,90,1982,2915
"2383",1,91,1982,1026
"2384",2,91,1982,2229
"2385",1,92,1982,752
"2386",2,92,1982,1626
"2387",1,93,1982,539
"2388",2,93,1982,1192
"2389",1,94,1982,394
"2390",2,94,1982,878
"2391",1,95,1982,257
"2392",2,95,1982,569
"2393",1,96,1982,155
"2394",2,96,1982,422
"2395",1,97,1982,115
"2396",2,97,1982,249
"2397",1,98,1982,66
"2398",2,98,1982,191
"2399",1,99,1982,103
"2400",2,99,1982,253
"2401",1,0,1983,26965
"2402",2,0,1983,25679
"2403",1,1,1983,27032
"2404",2,1,1983,26100
"2405",1,2,1983,29277
"2406",2,2,1983,28096
"2407",1,3,1983,30344
"2408",2,3,1983,29083
"2409",1,4,1983,31801
"2410",2,4,1983,30366
"2411",1,5,1983,31703
"2412",2,5,1983,30351
"2413",1,6,1983,33651
"2414",2,6,1983,31823
"2415",1,7,1983,36603
"2416",2,7,1983,35449
"2417",1,8,1983,36196
"2418",2,8,1983,34878
"2419",1,9,1983,36460
"2420",2,9,1983,34959
"2421",1,10,1983,38180
"2422",2,10,1983,36810
"2423",1,11,1983,38455
"2424",2,11,1983,36345
"2425",1,12,1983,36184
"2426",2,12,1983,34630
"2427",1,13,1983,36514
"2428",2,13,1983,34492
"2429",1,14,1983,38032
"2430",2,14,1983,35877
"2431",1,15,1983,41136
"2432",2,15,1983,39446
"2433",1,16,1983,44711
"2434",2,16,1983,42627
"2435",1,17,1983,43326
"2436",2,17,1983,41170
"2437",1,18,1983,42408
"2438",2,18,1983,40080
"2439",1,19,1983,41630
"2440",2,19,1983,39508
"2441",1,20,1983,39155
"2442",2,20,1983,37413
"2443",1,21,1983,38377
"2444",2,21,1983,37011
"2445",1,22,1983,38283
"2446",2,22,1983,36973
"2447",1,23,1983,37201
"2448",2,23,1983,35804
"2449",1,24,1983,37654
"2450",2,24,1983,36007
"2451",1,25,1983,37879
"2452",2,25,1983,36067
"2453",1,26,1983,38258
"2454",2,26,1983,36550
"2455",1,27,1983,38270
"2456",2,27,1983,36290
"2457",1,28,1983,37556
"2458",2,28,1983,36114
"2459",1,29,1983,38619
"2460",2,29,1983,36752
"2461",1,30,1983,37925
"2462",2,30,1983,36373
"2463",1,31,1983,37635
"2464",2,31,1983,35635
"2465",1,32,1983,38465
"2466",2,32,1983,37406
"2467",1,33,1983,38544
"2468",2,33,1983,37135
"2469",1,34,1983,40965
"2470",2,34,1983,39140
"2471",1,35,1983,43751
"2472",2,35,1983,41789
"2473",1,36,1983,45612
"2474",2,36,1983,43045
"2475",1,37,1983,44573
"2476",2,37,1983,42010
"2477",1,38,1983,42399
"2478",2,38,1983,40323
"2479",1,39,1983,38851
"2480",2,39,1983,37537
"2481",1,40,1983,36812
"2482",2,40,1983,35352
"2483",1,41,1983,32825
"2484",2,41,1983,31733
"2485",1,42,1983,31855
"2486",2,42,1983,31025
"2487",1,43,1983,30885
"2488",2,43,1983,29738
"2489",1,44,1983,30495
"2490",2,44,1983,29800
"2491",1,45,1983,29451
"2492",2,45,1983,29440
"2493",1,46,1983,28655
"2494",2,46,1983,28520
"2495",1,47,1983,27774
"2496",2,47,1983,27779
"2497",1,48,1983,27299
"2498",2,48,1983,27575
"2499",1,49,1983,26566
"2500",2,49,1983,26551
"2501",1,50,1983,26387
"2502",2,50,1983,27102
"2503",1,51,1983,26287
"2504",2,51,1983,26695
"2505",1,52,1983,26444
"2506",2,52,1983,27271
"2507",1,53,1983,25700
"2508",2,53,1983,26564
"2509",1,54,1983,26762
"2510",2,54,1983,27381
"2511",1,55,1983,26137
"2512",2,55,1983,27058
"2513",1,56,1983,26456
"2514",2,56,1983,27903
"2515",1,57,1983,26430
"2516",2,57,1983,28108
"2517",1,58,1983,26959
"2518",2,58,1983,28599
"2519",1,59,1983,26542
"2520",2,59,1983,28722
"2521",1,60,1983,25803
"2522",2,60,1983,27719
"2523",1,61,1983,26992
"2524",2,61,1983,29704
"2525",1,62,1983,27650
"2526",2,62,1983,30432
"2527",1,63,1983,23637
"2528",2,63,1983,25760
"2529",1,64,1983,24049
"2530",2,64,1983,26526
"2531",1,65,1983,22666
"2532",2,65,1983,25689
"2533",1,66,1983,22350
"2534",2,66,1983,25389
"2535",1,67,1983,21502
"2536",2,67,1983,24769
"2537",1,68,1983,21789
"2538",2,68,1983,25941
"2539",1,69,1983,21104
"2540",2,69,1983,25517
"2541",1,70,1983,20841
"2542",2,70,1983,25169
"2543",1,71,1983,19428
"2544",2,71,1983,24144
"2545",1,72,1983,18480
"2546",2,72,1983,23660
"2547",1,73,1983,17791
"2548",2,73,1983,23488
"2549",1,74,1983,15999
"2550",2,74,1983,22064
"2551",1,75,1983,14490
"2552",2,75,1983,20527
"2553",1,76,1983,13200
"2554",2,76,1983,19443
"2555",1,77,1983,12017
"2556",2,77,1983,18238
"2557",1,78,1983,10859
"2558",2,78,1983,17177
"2559",1,79,1983,9585
"2560",2,79,1983,15785
"2561",1,80,1983,8798
"2562",2,80,1983,14843
"2563",1,81,1983,7601
"2564",2,81,1983,13533
"2565",1,82,1983,6624
"2566",2,82,1983,11921
"2567",1,83,1983,5569
"2568",2,83,1983,10618
"2569",1,84,1983,5077
"2570",2,84,1983,9520
"2571",1,85,1983,4217
"2572",2,85,1983,8153
"2573",1,86,1983,3570
"2574",2,86,1983,7279
"2575",1,87,1983,2982
"2576",2,87,1983,5939
"2577",1,88,1983,2446
"2578",2,88,1983,4890
"2579",1,89,1983,1903
"2580",2,89,1983,4035
"2581",1,90,1983,1337
"2582",2,90,1983,3127
"2583",1,91,1983,1144
"2584",2,91,1983,2391
"2585",1,92,1983,785
"2586",2,92,1983,1786
"2587",1,93,1983,556
"2588",2,93,1983,1304
"2589",1,94,1983,406
"2590",2,94,1983,924
"2591",1,95,1983,272
"2592",2,95,1983,681
"2593",1,96,1983,173
"2594",2,96,1983,418
"2595",1,97,1983,101
"2596",2,97,1983,288
"2597",1,98,1983,87
"2598",2,98,1983,182
"2599",1,99,1983,99
"2600",2,99,1983,279
"2601",1,0,1984,25930
"2602",2,0,1984,24915
"2603",1,1,1984,27042
"2604",2,1,1984,25776
"2605",1,2,1984,27018
"2606",2,2,1984,26113
"2607",1,3,1984,29262
"2608",2,3,1984,28156
"2609",1,4,1984,30308
"2610",2,4,1984,29075
"2611",1,5,1984,31788
"2612",2,5,1984,30329
"2613",1,6,1984,31711
"2614",2,6,1984,30353
"2615",1,7,1984,33651
"2616",2,7,1984,31810
"2617",1,8,1984,36566
"2618",2,8,1984,35409
"2619",1,9,1984,36212
"2620",2,9,1984,34854
"2621",1,10,1984,36451
"2622",2,10,1984,34954
"2623",1,11,1984,38202
"2624",2,11,1984,36823
"2625",1,12,1984,38471
"2626",2,12,1984,36356
"2627",1,13,1984,36200
"2628",2,13,1984,34650
"2629",1,14,1984,36518
"2630",2,14,1984,34503
"2631",1,15,1984,38045
"2632",2,15,1984,35923
"2633",1,16,1984,41199
"2634",2,16,1984,39549
"2635",1,17,1984,44787
"2636",2,17,1984,42628
"2637",1,18,1984,43364
"2638",2,18,1984,41249
"2639",1,19,1984,42429
"2640",2,19,1984,39796
"2641",1,20,1984,41663
"2642",2,20,1984,39640
"2643",1,21,1984,39119
"2644",2,21,1984,37590
"2645",1,22,1984,38478
"2646",2,22,1984,37087
"2647",1,23,1984,38295
"2648",2,23,1984,36964
"2649",1,24,1984,37213
"2650",2,24,1984,35780
"2651",1,25,1984,37657
"2652",2,25,1984,36022
"2653",1,26,1984,37857
"2654",2,26,1984,36048
"2655",1,27,1984,38195
"2656",2,27,1984,36511
"2657",1,28,1984,38190
"2658",2,28,1984,36222
"2659",1,29,1984,37505
"2660",2,29,1984,36060
"2661",1,30,1984,38569
"2662",2,30,1984,36701
"2663",1,31,1984,37855
"2664",2,31,1984,36320
"2665",1,32,1984,37557
"2666",2,32,1984,35597
"2667",1,33,1984,38410
"2668",2,33,1984,37366
"2669",1,34,1984,38476
"2670",2,34,1984,37096
"2671",1,35,1984,40884
"2672",2,35,1984,39134
"2673",1,36,1984,43704
"2674",2,36,1984,41742
"2675",1,37,1984,45534
"2676",2,37,1984,43057
"2677",1,38,1984,44418
"2678",2,38,1984,41990
"2679",1,39,1984,42329
"2680",2,39,1984,40281
"2681",1,40,1984,38796
"2682",2,40,1984,37488
"2683",1,41,1984,36705
"2684",2,41,1984,35306
"2685",1,42,1984,32725
"2686",2,42,1984,31691
"2687",1,43,1984,31782
"2688",2,43,1984,30966
"2689",1,44,1984,30776
"2690",2,44,1984,29675
"2691",1,45,1984,30330
"2692",2,45,1984,29720
"2693",1,46,1984,29334
"2694",2,46,1984,29381
"2695",1,47,1984,28502
"2696",2,47,1984,28430
"2697",1,48,1984,27611
"2698",2,48,1984,27676
"2699",1,49,1984,27148
"2700",2,49,1984,27459
"2701",1,50,1984,26378
"2702",2,50,1984,26455
"2703",1,51,1984,26186
"2704",2,51,1984,26987
"2705",1,52,1984,26084
"2706",2,52,1984,26558
"2707",1,53,1984,26228
"2708",2,53,1984,27103
"2709",1,54,1984,25467
"2710",2,54,1984,26411
"2711",1,55,1984,26453
"2712",2,55,1984,27225
"2713",1,56,1984,25841
"2714",2,56,1984,26874
"2715",1,57,1984,26147
"2716",2,57,1984,27683
"2717",1,58,1984,26080
"2718",2,58,1984,27874
"2719",1,59,1984,26569
"2720",2,59,1984,28350
"2721",1,60,1984,26124
"2722",2,60,1984,28457
"2723",1,61,1984,25361
"2724",2,61,1984,27452
"2725",1,62,1984,26437
"2726",2,62,1984,29349
"2727",1,63,1984,26999
"2728",2,63,1984,30080
"2729",1,64,1984,23037
"2730",2,64,1984,25421
"2731",1,65,1984,23398
"2732",2,65,1984,26152
"2733",1,66,1984,21997
"2734",2,66,1984,25310
"2735",1,67,1984,21616
"2736",2,67,1984,24985
"2737",1,68,1984,20778
"2738",2,68,1984,24334
"2739",1,69,1984,20974
"2740",2,69,1984,25492
"2741",1,70,1984,20294
"2742",2,70,1984,24999
"2743",1,71,1984,19945
"2744",2,71,1984,24544
"2745",1,72,1984,18532
"2746",2,72,1984,23545
"2747",1,73,1984,17512
"2748",2,73,1984,23005
"2749",1,74,1984,16752
"2750",2,74,1984,22755
"2751",1,75,1984,14933
"2752",2,75,1984,21323
"2753",1,76,1984,13496
"2754",2,76,1984,19701
"2755",1,77,1984,12161
"2756",2,77,1984,18681
"2757",1,78,1984,11047
"2758",2,78,1984,17367
"2759",1,79,1984,9926
"2760",2,79,1984,16306
"2761",1,80,1984,8663
"2762",2,80,1984,14810
"2763",1,81,1984,7890
"2764",2,81,1984,13847
"2765",1,82,1984,6726
"2766",2,82,1984,12571
"2767",1,83,1984,5869
"2768",2,83,1984,10872
"2769",1,84,1984,4861
"2770",2,84,1984,9663
"2771",1,85,1984,4348
"2772",2,85,1984,8507
"2773",1,86,1984,3551
"2774",2,86,1984,7254
"2775",1,87,1984,2978
"2776",2,87,1984,6405
"2777",1,88,1984,2430
"2778",2,88,1984,5121
"2779",1,89,1984,1985
"2780",2,89,1984,4138
"2781",1,90,1984,1528
"2782",2,90,1984,3343
"2783",1,91,1984,1041
"2784",2,91,1984,2545
"2785",1,92,1984,867
"2786",2,92,1984,1874
"2787",1,93,1984,572
"2788",2,93,1984,1386
"2789",1,94,1984,411
"2790",2,94,1984,1009
"2791",1,95,1984,281
"2792",2,95,1984,692
"2793",1,96,1984,191
"2794",2,96,1984,481
"2795",1,97,1984,111
"2796",2,97,1984,263
"2797",1,98,1984,58
"2798",2,98,1984,198
"2799",1,99,1984,118
"2800",2,99,1984,275
"2801",1,0,1985,26500
"2802",2,0,1985,25302
"2803",1,1,1985,25994
"2804",2,1,1985,24982
"2805",1,2,1985,27065
"2806",2,2,1985,25786
"2807",1,3,1985,27017
"2808",2,3,1985,26135
"2809",1,4,1985,29255
"2810",2,4,1985,28155
"2811",1,5,1985,30323
"2812",2,5,1985,29096
"2813",1,6,1985,31790
"2814",2,6,1985,30354
"2815",1,7,1985,31742
"2816",2,7,1985,30345
"2817",1,8,1985,33677
"2818",2,8,1985,31786
"2819",1,9,1985,36578
"2820",2,9,1985,35455
"2821",1,10,1985,36236
"2822",2,10,1985,34868
"2823",1,11,1985,36472
"2824",2,11,1985,34979
"2825",1,12,1985,38223
"2826",2,12,1985,36836
"2827",1,13,1985,38501
"2828",2,13,1985,36367
"2829",1,14,1985,36241
"2830",2,14,1985,34684
"2831",1,15,1985,36570
"2832",2,15,1985,34545
"2833",1,16,1985,38121
"2834",2,16,1985,36069
"2835",1,17,1985,41282
"2836",2,17,1985,39579
"2837",1,18,1985,44898
"2838",2,18,1985,42712
"2839",1,19,1985,43456
"2840",2,19,1985,40984
"2841",1,20,1985,42538
"2842",2,20,1985,39988
"2843",1,21,1985,41681
"2844",2,21,1985,39816
"2845",1,22,1985,39220
"2846",2,22,1985,37651
"2847",1,23,1985,38525
"2848",2,23,1985,37086
"2849",1,24,1985,38428
"2850",2,24,1985,36938
"2851",1,25,1985,37335
"2852",2,25,1985,35759
"2853",1,26,1985,37714
"2854",2,26,1985,35998
"2855",1,27,1985,37907
"2856",2,27,1985,36011
"2857",1,28,1985,38159
"2858",2,28,1985,36525
"2859",1,29,1985,38179
"2860",2,29,1985,36219
"2861",1,30,1985,37516
"2862",2,30,1985,36069
"2863",1,31,1985,38534
"2864",2,31,1985,36688
"2865",1,32,1985,37809
"2866",2,32,1985,36339
"2867",1,33,1985,37505
"2868",2,33,1985,35613
"2869",1,34,1985,38388
"2870",2,34,1985,37342
"2871",1,35,1985,38416
"2872",2,35,1985,37076
"2873",1,36,1985,40832
"2874",2,36,1985,39115
"2875",1,37,1985,43648
"2876",2,37,1985,41737
"2877",1,38,1985,45490
"2878",2,38,1985,43028
"2879",1,39,1985,44381
"2880",2,39,1985,41938
"2881",1,40,1985,42215
"2882",2,40,1985,40224
"2883",1,41,1985,38720
"2884",2,41,1985,37443
"2885",1,42,1985,36612
"2886",2,42,1985,35230
"2887",1,43,1985,32631
"2888",2,43,1985,31649
"2889",1,44,1985,31669
"2890",2,44,1985,30910
"2891",1,45,1985,30698
"2892",2,45,1985,29622
"2893",1,46,1985,30258
"2894",2,46,1985,29656
"2895",1,47,1985,29198
"2896",2,47,1985,29296
"2897",1,48,1985,28350
"2898",2,48,1985,28333
"2899",1,49,1985,27453
"2900",2,49,1985,27570
"2901",1,50,1985,27007
"2902",2,50,1985,27349
"2903",1,51,1985,26207
"2904",2,51,1985,26337
"2905",1,52,1985,25967
"2906",2,52,1985,26846
"2907",1,53,1985,25882
"2908",2,53,1985,26414
"2909",1,54,1985,25981
"2910",2,54,1985,26907
"2911",1,55,1985,25211
"2912",2,55,1985,26241
"2913",1,56,1985,26171
"2914",2,56,1985,27046
"2915",1,57,1985,25527
"2916",2,57,1985,26673
"2917",1,58,1985,25792
"2918",2,58,1985,27484
"2919",1,59,1985,25694
"2920",2,59,1985,27646
"2921",1,60,1985,26096
"2922",2,60,1985,28095
"2923",1,61,1985,25671
"2924",2,61,1985,28149
"2925",1,62,1985,24836
"2926",2,62,1985,27151
"2927",1,63,1985,25848
"2928",2,63,1985,29028
"2929",1,64,1985,26363
"2930",2,64,1985,29694
"2931",1,65,1985,22422
"2932",2,65,1985,25063
"2933",1,66,1985,22761
"2934",2,66,1985,25747
"2935",1,67,1985,21327
"2936",2,67,1985,24913
"2937",1,68,1985,20870
"2938",2,68,1985,24522
"2939",1,69,1985,20059
"2940",2,69,1985,23839
"2941",1,70,1985,20104
"2942",2,70,1985,24945
"2943",1,71,1985,19450
"2944",2,71,1985,24438
"2945",1,72,1985,18987
"2946",2,72,1985,23915
"2947",1,73,1985,17593
"2948",2,73,1985,22900
"2949",1,74,1985,16550
"2950",2,74,1985,22302
"2951",1,75,1985,15701
"2952",2,75,1985,21960
"2953",1,76,1985,13875
"2954",2,76,1985,20560
"2955",1,77,1985,12479
"2956",2,77,1985,18854
"2957",1,78,1985,11157
"2958",2,78,1985,17840
"2959",1,79,1985,10078
"2960",2,79,1985,16474
"2961",1,80,1985,8995
"2962",2,80,1985,15374
"2963",1,81,1985,7783
"2964",2,81,1985,13890
"2965",1,82,1985,7009
"2966",2,82,1985,12881
"2967",1,83,1985,5902
"2968",2,83,1985,11540
"2969",1,84,1985,5138
"2970",2,84,1985,9892
"2971",1,85,1985,4178
"2972",2,85,1985,8744
"2973",1,86,1985,3688
"2974",2,86,1985,7553
"2975",1,87,1985,2975
"2976",2,87,1985,6352
"2977",1,88,1985,2443
"2978",2,88,1985,5502
"2979",1,89,1985,1997
"2980",2,89,1985,4357
"2981",1,90,1985,1591
"2982",2,90,1985,3438
"2983",1,91,1985,1197
"2984",2,91,1985,2737
"2985",1,92,1985,793
"2986",2,92,1985,2022
"2987",1,93,1985,640
"2988",2,93,1985,1450
"2989",1,94,1985,411
"2990",2,94,1985,1068
"2991",1,95,1985,291
"2992",2,95,1985,751
"2993",1,96,1985,191
"2994",2,96,1985,501
"2995",1,97,1985,126
"2996",2,97,1985,330
"2997",1,98,1985,63
"2998",2,98,1985,182
"2999",1,99,1985,104
"3000",2,99,1985,312
"3001",1,0,1986,27445
"3002",2,0,1986,26387
"3003",1,1,1986,26604
"3004",2,1,1986,25447
"3005",1,2,1986,26076
"3006",2,2,1986,25062
"3007",1,3,1986,27147
"3008",2,3,1986,25885
"3009",1,4,1986,27107
"3010",2,4,1986,26189
"3011",1,5,1986,29307
"3012",2,5,1986,28193
"3013",1,6,1986,30395
"3014",2,6,1986,29142
"3015",1,7,1986,31839
"3016",2,7,1986,30381
"3017",1,8,1986,31756
"3018",2,8,1986,30389
"3019",1,9,1986,33685
"3020",2,9,1986,31855
"3021",1,10,1986,36631
"3022",2,10,1986,35472
"3023",1,11,1986,36270
"3024",2,11,1986,34880
"3025",1,12,1986,36518
"3026",2,12,1986,35019
"3027",1,13,1986,38259
"3028",2,13,1986,36876
"3029",1,14,1986,38516
"3030",2,14,1986,36428
"3031",1,15,1986,36317
"3032",2,15,1986,34745
"3033",1,16,1986,36701
"3034",2,16,1986,34709
"3035",1,17,1986,38284
"3036",2,17,1986,36141
"3037",1,18,1986,41440
"3038",2,18,1986,39665
"3039",1,19,1986,44948
"3040",2,19,1986,42458
"3041",1,20,1986,43670
"3042",2,20,1986,41270
"3043",1,21,1986,42738
"3044",2,21,1986,40232
"3045",1,22,1986,42022
"3046",2,22,1986,39920
"3047",1,23,1986,39675
"3048",2,23,1986,37755
"3049",1,24,1986,38960
"3050",2,24,1986,37160
"3051",1,25,1986,38894
"3052",2,25,1986,37018
"3053",1,26,1986,37689
"3054",2,26,1986,35809
"3055",1,27,1986,38068
"3056",2,27,1986,36041
"3057",1,28,1986,38153
"3058",2,28,1986,36036
"3059",1,29,1986,38396
"3060",2,29,1986,36580
"3061",1,30,1986,38278
"3062",2,30,1986,36271
"3063",1,31,1986,37586
"3064",2,31,1986,36123
"3065",1,32,1986,38578
"3066",2,32,1986,36708
"3067",1,33,1986,37821
"3068",2,33,1986,36339
"3069",1,34,1986,37510
"3070",2,34,1986,35633
"3071",1,35,1986,38355
"3072",2,35,1986,37332
"3073",1,36,1986,38414
"3074",2,36,1986,37108
"3075",1,37,1986,40782
"3076",2,37,1986,39096
"3077",1,38,1986,43558
"3078",2,38,1986,41711
"3079",1,39,1986,45456
"3080",2,39,1986,42973
"3081",1,40,1986,44322
"3082",2,40,1986,41884
"3083",1,41,1986,42165
"3084",2,41,1986,40152
"3085",1,42,1986,38598
"3086",2,42,1986,37394
"3087",1,43,1986,36542
