"","strata","income","books","sportDays"
"932","M_area4",32980,4,96
"933","M_area4",11592,24,88
"934","M_area4",37155,12,25
"935","M_area4",42072,5,4
"936","M_area4",44985,12,133
"937","M_area4",19433,24,6
"938","M_area4",17735,22,1
"939","M_area4",24572,5,67
"940","M_area4",45653,18,25
"941","M_area4",23483,2,2
"942","M_area4",34279,2,134
"943","M_area4",18910,14,81
"944","M_area4",13104,20,55
"945","M_area4",15377,9,85
"946","M_area4",7201,22,35
"947","M_area4",13681,17,9
"948","M_area4",9300,5,58
"949","M_area4",45385,12,31
"950","M_area4",43666,12,22
"951","M_area4",10303,20,116
"952","M_area4",25012,1,9
"953","M_area4",17270,18,47
"954","M_area4",26523,5,58
"955","M_area4",15804,19,85
"956","M_area4",36137,24,70
"957","M_area4",8188,2,47
"958","M_area4",12609,6,83
"959","M_area4",48069,10,16
"960","M_area4",36080,5,77
"961","F_area4",13429,25,98
"962","F_area4",8443,13,124
"963","F_area4",20400,20,84
"964","F_area4",30415,20,67
"965","F_area4",28289,13,16
"966","F_area4",38624,2,17
"967","F_area4",31828,2,138
"968","F_area4",35983,23,68
"969","F_area4",14037,2,38
"970","F_area4",21444,20,139
"971","F_area4",13857,12,36
"972","F_area4",28831,6,41
"973","F_area4",43389,25,15
"974","F_area4",23102,1,89
"975","F_area4",38774,23,74
"976","F_area4",42208,18,25
"977","F_area4",32934,4,33
"978","F_area4",49046,7,7
"979","F_area4",5591,23,116
"980","F_area4",12536,11,57
"981","F_area4",9742,1,10
"982","F_area4",13289,2,18
"983","F_area4",5201,25,36
"984","F_area4",20422,23,2
"985","F_area4",17637,14,58
"986","F_area4",10996,24,89
"987","F_area4",45850,20,4
"988","F_area4",47155,22,26
"989","F_area4",18775,15,72
"990","F_area4",20881,20,82
"991","F_area4",35295,21,3
"992","F_area4",18625,0,30
"993","F_area4",46792,22,9
"994","F_area4",40883,5,5
"995","F_area4",28094,13,5
"996","F_area4",30187,23,77
"997","F_area4",35591,6,31
"998","F_area4",41755,9,107
"999","F_area4",23225,4,77
"1000","F_area4",25025,22,16
