"","Symbol","ISIN","Code","Name"
"373","C8532T","CH0022617713","CH0022617713","SWX SB FLINEINS TR"
"374","C8534P","CH0022617960","CH0022617960","SWX SB INSBROKER PR"
"375","C8534T","CH0022617903","CH0022617903","SWX SB INSBROKER TR"
"376","C8536P","CH0022618067","CH0022618067","SWX SB PR&CASINS PR"
"377","C8536T","CH0022618034","CH0022618034","SWX SB PR&CASINS TR"
"378","C8538P","CH0022618125","CH0022618125","SWX SB REINSURE PR"
"379","C8538T","CH0022618109","CH0022618109","SWX SB REINSURE TR"
"380","C8570P","CH0022645110","CH0022645110","SWX SR LIFEINS PR"
"381","C8570T","CH0022645094","CH0022645094","SWX SR LIFEINS TR"
"382","C8575P","CH0022618216","CH0022618216","SWX SB LIFEINS4 PR"
"383","C8575T","CH0022618166","CH0022618166","SWX SB LIFEINS4 TR"
"384","C8700P","CH0022627779","CH0022627779","SWX SP FINSERV PR"
"385","C8700T","CH0022627845","CH0022627845","SWX SP FINSERV TR"
"386","C8730P","CH0022645177","CH0022645177","SWX SR REALESTAT PR"
"387","C8730T","CH0022645151","CH0022645151","SWX SR REALESTAT TR"
"388","C8733P","CH0022631607","CH0022631607","SWX SB REHLD&DEV PR"
"389","C8733T","CH0022631565","CH0022631565","SWX SB REHLD&DEV TR"
"390","C8737P","CH0022631714","CH0022631714","SWX SB REINVTRUS PR"
"391","C8737T","CH0022631649","CH0022631649","SWX SB REINVTRUS TR"
"392","C8770P","CH0022645219","CH0022645219","SWX SR GENFINANC PR"
"393","C8770T","CH0022645193","CH0022645193","SWX SR GENFINANC TR"
"394","C8771P","CH0022631763","CH0022631763","SWX SB ASSET MNGR PR"
"395","C8771T","CH0022631748","CH0022631748","SWX SB ASSETMNGR TR"
"396","C8773P","CH0022631870","CH0022631870","SWX SB CONSFIN PR"
"397","C8773T","CH0022631805","CH0022631805","SWX SB CONSFIN TR"
"398","C8775P","CH0022631961","CH0022631961","SWX SB SPECFIN PR"
"399","C8775T","CH0022631920","CH0022631920","SWX SB SPECFIN TR"
"400","C8777P","CH0022632043","CH0022632043","SWX SB INVSERV PR"
"401","C8777T","CH0022631995","CH0022631995","SWX SB INVSERV TR"
"402","C8779P","CH0022632118","CH0022632118","SWX SB MORTGFIN PR"
"403","C8779T","CH0022632068","CH0022632068","SWX SB MORTGFIN TR"
"404","C8980P","CH0023524223","CH0023524223","SWX SR EQINVINS PR"
"405","C8980T","CH0023524249","CH0023524249","SWX SR EQINVINS TR"
"406","C8985P","CH0023524314","CH0023524314","SWX SB EQINVIN2 PR"
"407","C8985T","CH0023524355","CH0023524355","SWX SB EQINVIN2 TR"
"408","C8990P","CH0023524272","CH0023524272","SWX SR NEQINVINS PR"
"409","C8990T","CH0023524298","CH0023524298","SWX SR NEQINVINS TR"
"410","C8995P","CH0023524397","CH0023524397","SWX SB NEQINVIN2 PR"
"411","C8995T","CH0023524421","CH0023524421","SWX SB NEQINVIN2 TR"
"412","C9000P","CH0022647942","CH0022647942","SWX ID TECH PR"
"413","C9000T","CH0022652785","CH0022652785","SWX ID TECH TR"
"414","C9500P","CH0022627886","CH0022627886","SWX SP TECH2 PR"
"415","C9500T","CH0022627951","CH0022627951","SWX SP TECH2 TR"
"416","C9530P","CH0022645292","CH0022645292","SWX SR SFT&CSERV PR"
"417","C9530T","CH0022645250","CH0022645250","SWX SR SFT&CSERV TR"
"418","C9533P","CH0022632175","CH0022632175","SWX SB COMPSERV PR"
"419","C9533T","CH0022632142","CH0022632142","SWX SB COMPSERV TR"
"420","C9535P","CH0022632217","CH0022632217","SWX SB INTERNET PR"
"421","C9535T","CH0022632191","CH0022632191","SWX SB INTERNET TR"
"422","C9537P","CH0022632381","CH0022632381","SWX SB SOFTWARE PR"
"423","C9537T","CH0022632282","CH0022632282","SWX SB SOFTWARE TR"
"424","C9570P","CH0022645334","CH0022645334","SWX SR TECHH&EQP PR"
"425","C9570T","CH0022645318","CH0022645318","SWX SR TECHH&EQP TR"
"426","C9572P","CH0022632480","CH0022632480","SWX SB COMPHWARE PR"
"427","C9572T","CH0022632464","CH0022632464","SWX SB COMPHWARE TR"
"428","C9574P","CH0022632563","CH0022632563","SWX SB ELOFFICEP PR"
"429","C9574T","CH0022632514","CH0022632514","SWX SB ELOFFICEP TR"
"430","C9576P","CH0022632662","CH0022632662","SWX SB SEMICOND PR"
"431","C9576T","CH0022632605","CH0022632605","SWX SB SEMICOND TR"
"432","C9578P","CH0022632720","CH0022632720","SWX SB TELECOMEP PR"
"433","C9578T","CH0022632688","CH0022632688","SWX SB TELECOMEP TR"
"434","CADN","ARP290071876","ARP290071876CHF4","CADELPLATA N"
"435","CALN","CH0009018133","CH0009018133CHF4","CALIDA N"
"436","CANN","CH0002233275","CH0002233275CHF4","CANON N"
"437","CARDG","CH0012815459","CH0012815459CHF4","CARD GUARD N"
"438","CASN","CH0005092751","CH0005092751CHF4","CASTLE ALT N"
"439","CAT","US1491231015","US1491231015CHF4","CATERPILLAR"
"440","CFR","CH0012731458","CH0012731458CHF1","RICHEMONT"
"441","CFT","CH0014345117","CH0014345117CHF4","CIE FIN TR I"
"442","CIBN","CH0005819724","CH0005819724CHF1","CIBA N"
"443","CICN","CH0008702190","CH0008702190CHF4","CICOR TECH N"
"444","CIE","CH0001625810","CH0001625810CHF4","CI COM SA"
"445","CKWN","CH0020603475","CH0020603475CHF4","CKW N"
"446","CL","US1941621039","US1941621039CHF4","COLGATE"
"447","CLN","CH0012142631","CH0012142631CHF1","CLARIANT N"
"448","CLTN","CH0025343259","CH0025343259CHF4","COLTENE N"
"449","CLXN","CH0011115703","CH0011115703CHF4","CREALOGIX N"
"450","COC","US20825C1045","US20825C1045CHF4","CONOCOPHILLIPS"
"451","COM","DE0008032004","DE0008032004CHF4","COMMERZBANK I"
"452","COPN","IT0004167463","IT0004167463CHF4","COSMO N"
"453","COTN","CH0003825756","CH0003825756CHF4","COMET N"
"454","CPB","US1344291091","US1344291091CHF4","CAMPBELL"
"455","CPE","CH0005978165","CH0005978165CHF4","CASTLE PRIVATE I"
"456","CPHN","CH0001624714","CH0001624714CHF4","CPH N"
"457","CRB","FR0010318998","FR0010318998USD4","LYXOR COMMODITIES CRB"
"458","CRE","CH0004422975","CH0004422975USD4","CREINVEST I"
"459","CRX","NL0000358562","NL0000358562CHF4","CRUCELL I"
"460","CSCO","US17275R1023","US17275R1023CHF4","CISCO SYSTEMS INC"
"461","CSGN","CH0012138530","CH0012138530CHF1","CS GROUP N"
"462","CSGNE","CH0021119745","CH0021119745CHF1","CS GROUP N 2.LINIE"
"463","CSLP","CH0031069328","CH0031069328CHF4","CS REF LIVING PLUS"
"464","CSS","CH0002013826","CH0002013826CHF4","COS I"
"465","CVX","US1667641005","US1667641005CHF4","CHEVRON CORP"
"466","CYTN","CH0011025217","CH0011025217CHF4","CYTOS N"
"467","CZH","CH0002657986","CH0002657986CHF4","Conzzeta AG"
"468","DAE","CH0030486770","CH0030486770CHF4","DAETWYLER I"
"469","DAI","DE0007100000","DE0007100000CHF4","DAIMLER N"
"470","DAN","FR0000120644","FR0000120644CHF4","DANONE GRP"
"471","DAYN","CH0010474218","CH0010474218CHF4","DAY N"
"472","DBN","DE0005140008","DE0005140008CHF4","DT BANK N"
"473","DD","US2635341090","US2635341090CHF4","DU PONT"
"474","DELL","US24702R1014","US24702R1014CHF4","DELL INC"
"475","DESN","CH0020739006","CH0020739006CHF4","DOTTIKON ES N"
"476","DJE","FR0007056841","FR0007056841EUR4","LYXOR DJ INDUSTRIAL"
"477","DJMC","IE00B02KXL92","IE00B02KXL92CHF4","ISHARES DJ EUMICAP"
"478","DJSC","IE00B02KXM00","IE00B02KXM00CHF4","ISHARES EUR SM CAP"
"479","DJSXE","DE0005933956","DE0005933956EUR4","ISHARES DJ EURO STOXX 50 (DE)"
"480","DJSXP","DE0005933949","DE0005933949EUR4","ISHARES DJ STOXX 50 (DE)"
"481","DNA","US3687104063","US3687104063CHF4","GENENTECH INC"
"482","DOW","US2605431038","US2605431038CHF4","DOW CHEM"
"483","DREF","CH0021588014","CH0021588014CHF4","DREF"
"484","DSM","NL0000009827","NL0000009827CHF4","KONINKLIJKE DSM N.V., HEERLEN"
"485","DTE","DE0005557508","DE0005557508CHF4","DEUTSCHE TELEKOM AG"
"486","DUFN","CH0023405456","CH0023405456CHF4","DUFRY N"
"487","EAUG","FR0000127771","FR0000127771CHF4","VIVENDI"
"488","EBAY","US2786421030","US2786421030CHF4","EBAY INC"
"489","EDHN","CH0039651184","CH0039651184CHF4","ENERGIEDIENST N"
"490","EDI","CH0003322598","CH0003322598CHF4","EDIPRESSE I"
"491","EDIN","CH0003322606","CH0003322606CHF4","EDIPRESSE N"
"492","EFGN","CH0022268228","CH0022268228CHF4","EFG INTERNATIONAL N"
"493","EGL","CH0003288229","CH0003288229CHF4","EG LAUFENBURG I"
"494","EIC","CH0007162958","CH0007162958CHF4","EIC I"
"495","EIN","CH0008531045","CH0008531045CHF4","EICHHOF N"
"496","EINE","CH0039611881","CH0039611881CHF4","EICHHOF N 2. LINIE"
"497","ELMN","CH0005319162","CH0005319162CHF4","ELMA ELECTRONIC N"
"498","EMMN","CH0012829898","CH0012829898CHF4","EMMI N"
"499","EMSN","CH0016440353","CH0016440353CHF1","EMS-CHEMIE N"
"500","EMV","FR0010168781","FR0010168781EUR4","LYXOR MSCI VALUE"
"501","EOA","DE0007614406","DE0007614406CHF4","E.ON AG"
"502","EPH","VGG290991014","VGG290991014USD4","EASTERN PROP HLD"
"503","EQQQ","IE0032077012","IE0032077012USD4","POWERSHARE EQQQ"
"504","ERI","SE0000108656","SE0000108656CHF4","ERICSSON LM-B"
"505","ESMN","CH0019624805","CH0019624805CHF4","ESMERTEC N"
"506","ESRI","CH0003583256","CH0003583256CHF4","ESCOR I N10"
"507","ETI","FR0010378570","FR0010378570USD4","EASYETF DJ ISLAMIC MT100"
"508","EUN","IE0008470928","IE0008470928CHF4","iSHARES DJ STOXX 50"
"509","EUNE","IE0008471009","IE0008471009CHF4","iSHARES DJ EUSTOXX50"
"510","F","US3453708600","US3453708600CHF4","FORD N"
"511","FDGETI","LU0147308422","LU0147308422EUR4","UBS-ETF MSCI EMU"
"512","FDJPHU","LU0136240974","LU0136240974CHF4","UBS-ETF MSCI JAPAN"
"513","FDUSIA","LU0136234654","LU0136234654CHF4","UBS-ETF MSCI USA"
"514","FFI","VGG3637V1094","VGG3637V1094CHF4","FORMULAFIRST I"
"515","FI-N","CH0001752309","CH0001752309CHF4","FISCHER N"
"516","FIR","CH0014586710","CH0014586710CHF4","FIR"
"517","FL","US3448491049","US3448491049CHF4","FOOT LOCKER"
"518","FOC","CH0002782263","CH0002782263CHF4","LA FONCIERE"
"519","FONC","CH0014420852","CH0014420852CHF4","UBS FONCIPARS"
"520","FOR","BE0003801181","BE0003801181CHF4","FORTIS"
"521","FORN","CH0003541510","CH0003541510CHF4","FORBO N"
"522","FORNE","CH0038372709","CH0038372709CHF4","FORBO N 2. LINIE"
"523","FPE","DE0005790406","DE0005790406CHF4","FUCHS PET ST"
"524","FPEV","DE0005790430","DE0005790430CHF4","FUCHS PET VZ"
"525","FRE","LU0155367302","LU0155367302EUR4","UBS-ETF EUSTOXX50 I"
"526","FRESMI","CH0017142719","CH0017142719CHF4","UBS-ETF SMI"
"527","FSEUFI","LU0136234068","LU0136234068EUR4","UBS-ETF EUSTOXX50"
"528","FTE","FR0000133308","FR0000133308CHF4","FRANCE TELECOM SA"
"529","FTON","CH0009320091","CH0009320091CHF4","FEINTOOL N"
"530","FUJ","CH0007618389","CH0007618389CHF4","FUJITSU CT-CH"
"531","FXC","IE00B02KXK85","IE00B02KXK85USD4","ISHARES FTSE XINHUA"
"532","GALN","CH0015536466","CH0015536466CHF4","GALENICA N"
"533","GAV","CH0011003594","CH0011003594CHF4","GAVAZZI I"
"534","GBMN","CH0004870942","CH0004870942CHF4","GOLDBACH MEDIA AG N"
"535","GE","US3696041033","US3696041033CHF4","GEN ELEC"
"536","GEBN","CH0030170408","CH0030170408CHF1","GEBERIT N"
"537","GEBNE","CH0038761075","CH0038761075CHF1","GEBERIT N 2. LINIE"
"538","GFMN","GG00B247Y973","GG00B247Y973CHF4","GOTTEX FUND N"
"539","GIVN","CH0010645932","CH0010645932CHF1","GIVAUDAN N"
"540","GM","US3704421052","US3704421052CHF4","GEN MOTORS"
"541","GMI","CH0012949464","CH0012949464CHF4","GMSA N"
"542","GNRI","CH0012703119","CH0012703119CHF4","Global Natural Resources"
"543","GOB","FR0000125007","FR0000125007CHF4","SAINT GOBAIN I"
"544","GOL","CH0001831830","CH0001831830CHF4","GOLAY-BUCHEL"
"545","GOLI","ZAE000018123","ZAE000018123CHF4","GOLD FI LI"
"546","GOLP","CH0001831863","CH0001831863CHF4","GOLAY-BUCHEL PS"
"547","GOOG","US38259P5089","US38259P5089CHF4","GOOGLE INC A"
"548","GRKP","CH0001340204","CH0001340204CHF4","GRAUB KB PS"
"549","GRO","CH0003471668","CH0003471668CHF4","GRO I"
"550","GSCID","LU0203243844","LU0203243844USD4","EASYETF S&amp;P USD"
"551","GT","US3825501014","US3825501014CHF4","GOODYEAR"
"552","GUR","CH0008012236","CH0008012236CHF4","GURIT I"
"553","GWT","FR0010168765","FR0010168765EUR4","LYXOR MSCI GROWTH"
"554","HAL","US4062161017","US4062161017CHF4","HALLIBURTON"
"555","HAM","ZAE000015228","ZAE000015228CHF4","HARMONY GOLD MIN"
"556","HAR","CH0001609848","CH0001609848CHF4","HARWANNE -B- I"
"557","HBLN","CH0001341608","CH0001341608CHF4","HYPO LENZB N"
"558","HBMN","CH0012627250","CH0012627250CHF4","HBM N"
"559","HEIN","NL0000009165","NL0000009165CHF4","HEINEKEN"
"560","HELN","CH0012271687","CH0012271687CHF4","HELVETIA HOLDING N"
"561","HEXN","SE0000103699","SE0000103699CHF4","HEXAGON AB"
"562","HIEN","CH0007186981","CH0007186981CHF4","HIESTAND N"
"563","HIT","CH0010892344","CH0010892344CHF4","MACH HITECH I"
"564","HM","SE0000106270","SE0000106270CHF4","HENNES &amp; MAURITZ AB"
"565","HOLN","CH0012214059","CH0012214059CHF1","HOLCIM N"
"566","HOND","JP3854600008","JP3854600008CHF4","HONDA MOTOR CO"
"567","HREN","CH0025607331","CH0025607331CHF4","ROMANDE ENERGIE N"
"568","HUBN","CH0030380734","CH0030380734CHF4","HUBER+SUHNER N"
"569","HUE","CH0004647951","CH0004647951CHF4","HUEGLI I"
"570","HUN","ANN4327C1220","ANN4327C1220CHF4","HUNTER DOUGLAS"
"571","IAPD","IE00B14X4T88","IE00B14X4T88USD4","ISHARES DJ ASIA/PACIFIC SELDIV"
"572","IASP","IE00B1FZS244","IE00B1FZS244USD4","ISHARES FTSE ASIA PROP"
"573","IBCI","IE00B0M62X26","IE00B0M62X26CHF4","ISHARES EUR INF LIN"
"574","IBCX","IE0032523478","IE0032523478CHF4","ISHARES EUR CORP"
"575","IBGL","IE00B1FZS913","IE00B1FZS913CHF4","ISHARES EURO GVMT BND 15-30"
"576","IBGM","IE00B1FZS806","IE00B1FZS806CHF4","ISHARES EURO GVMT BND 7-10"
"577","IBGS","IE00B14X4Q57","IE00B14X4Q57CHF4","ISHARES EURO GOVERNMENT BOND 1"
"578","IBGX","IE00B1FZS681","IE00B1FZS681CHF4","ISHARES EURO GVMT BND 3-5"
"579","IBM","US4592001014","US4592001014CHF4","IBM"
"580","IBTM","IE00B1FZS798","IE00B1FZS798USD4","ISHARES $ TRSRY BND 7-10"
"581","IBTS","IE00B14X4S71","IE00B14X4S71USD4","ISHARES $ TREASURY BOND 1-3"
"582","IBZL","IE00B0M63516","IE00B0M63516USD4","ISHARES MSCI BRAZIL"
"583","IDJG","IE00B0M62V02","IE00B0M62V02CHF4","ISHARES DJ EUR GRW"
"584","IDJV","IE00B0M62T89","IE00B0M62T89CHF4","ISHARES DJ EUR VAL"
"585","IDVY","IE00B0M62S72","IE00B0M62S72CHF4","ISHARES DJ EURO DVD"
"586","IEEM","IE00B0M63177","IE00B0M63177USD4","ISHARES MSCI EMG"
"587","IEER","IE00B0M63953","IE00B0M63953USD4","ISHARES MSCI EST EU"
"588","IEUR","IE0004855221","IE0004855221CHF4","iSHARES FTSEUROFIRST 80"
"589","IEUT","IE0030974079","IE0030974079CHF4","iSHARES FTSEUROFIRST 100"
"590","IEUX","IE00B14X4N27","IE00B14X4N27CHF4","ISHARES MSCI EUROPE EX-UK"
"591","IFCN","CH0011029946","CH0011029946CHF4","INFICON N"
"592","IFFF","IE00B0M63730","IE00B0M63730USD4","ISHARES MSCI FE JP"
"593","IFX","DE0006231004","DE0006231004CHF4","INFINEON TECH"
"594","IGSP","CH0009110583","CH0009110583","Investm. Index ohne Div.-Korr."
"595","IGSTR","CH0009110757","CH0009110757","Investment. Index mit Div.-Kor"
"596","IH2O","IE00B1TXK627","IE00B1TXK627USD4","ISHARES GLOBAL WATER"
"597","IHSN","CH0000140787","CH0000140787CHF4","INTERSPORT N"
"598","IJPN","IE00B02KXH56","IE00B02KXH56JPY4","ISHARES MSCI JAP FD"
"599","IKOR","IE00B0M63391","IE00B0M63391USD4","ISHARES MSCI KOREA"
"600","IM","CH0009778769","CH0009778769CHF4","IMMOFONDS"
"601","IMEU","IE00B1YZSC51","IE00B1YZSC51CHF4","ISHARES MSCI EUROPE"
"602","IMPN","CH0023868554","CH0023868554CHF4","IMPLENIA N"
"603","IMZ","CA4598751002","CA4598751002CHF4","INTL MINERALS N"
"604","INAA","IE00B14X4M10","IE00B14X4M10USD4","ISHARES MSCI NORTH AMERICA"
"605","INDN","CH0001931853","CH0001931853CHF4","INDUSTRIE N"
"606","INFR","IE00B1FZS467","IE00B1FZS467USD4","ISHARES FTSE GLOBAL INFRS100"
"607","ING","NL0000303600","NL0000303600CHF4","ING"
"608","INI","CH0007249102","CH0007249102CHF4","INFRANOR I"
"609","INRG","IE00B1XNHC34","IE00B1XNHC34USD4","ISHARES S&amp;P CLEAN ENERGY"
"610","INRN","CH0006372897","CH0006372897CHF4","INTERROLL N"
"611","INT","CH0002769351","CH0002769351CHF4","CS REF INTERSWISS"
"612","INTC","US4581401001","US4581401001CHF4","INTEL"
"613","INVN","US46122L1098","US46122L1098CHF4","INVENDA CORP"
"614","IP","US4601461035","US4601461035CHF4","INT PAPER"
"615","IPRP","IE00B0M63284","IE00B0M63284CHF4","ISHARES FTSE/EPRA"
"616","IPRV","IE00B1TXHL60","IE00B1TXHL60USD4","ISHARES S&amp;P PRIVATE EQUITY"
"617","IS","CH0017313948","CH0017313948CHF4","INTERSHOP I"
"618","ITKY","IE00B1FZS574","IE00B1FZS574USD4","ISHARES MSCI TURKEY"
"619","ITPS","IE00B1FZSC47","IE00B1FZSC47USD4","ISHARES $ TIPS"
"620","ITWN","IE00B0M63623","IE00B0M63623USD4","ISHARES MSCI TAIWAN"
"621","IUKD","IE00B0M63060","IE00B0M63060CHF4","ISHARES FTSE UK DVD"
"622","IUKP","IE00B1TXLS18","IE00B1TXLS18CHF4","ISHARES FTSE UK PROP"
"623","IUSA","IE0031442068","IE0031442068USD4","ISHARES S&amp;P 500"
"624","IUSP","IE00B1FZSF77","IE00B1FZSF77USD4","ISHARES FTSE US PROP"
"625","IWDP","IE00B1FZS350","IE00B1FZS350USD4","ISHARES FTSE GLOBAL PROP"
"626","IWRD","IE00B0M62Q58","IE00B0M62Q58USD4","ISHARES MSCI WORLD"
"627","JAVA","US8668102036","US8668102036CHF4","SUN MICROSYSTEMS"
"628","JEL","CH0000668464","CH0000668464CHF4","JELMOLI I"
"629","JELN","CH0000668472","CH0000668472CHF4","JELMOLI N"
"630","JFN","CH0017875789","CH0017875789CHF4","JUNGFRAUBAHN HLD N"
"631","JNJ","US4781601046","US4781601046CHF4","JOHNSON &amp; JOHNSON"
"632","KABN","CH0011795959","CH0011795959CHF4","KABA N"
"633","KAR","CH0018263415","CH0018263415CHF4","KARDEX I"
"634","KNIN","CH0025238863","CH0025238863CHF1","KUEHNE&amp;NAGEL INT N"
"635","KO","US1912161007","US1912161007CHF4","COCA COLA"
"636","KOMN","CH0010702154","CH0010702154CHF4","KOMAX N"
"637","KPN","NL0000009082","NL0000009082CHF4","KONINKLIJKE KPN"
"638","KUD","CH0012268360","CH0012268360CHF1","KUDELSKI I"
"639","KUNN","CH0003504856","CH0003504856CHF4","KUONI N"
"640","LBBN","CH0023497271","CH0023497271CHF4","LENZERHEIDE N"
"641","LECN","CH0016271550","CH0016271550CHF4","LECLANCHE N"
"642","LEHN","CH0022427626","CH0022427626CHF4","LEM N"
"643","LIN","DE0006483001","DE0006483001CHF4","LINDE I"
"644","LINN","CH0001307757","CH0001307757CHF4","BK LINTH N"
"645","LISN","CH0010570759","CH0010570759CHF4","LINDT N"
"646","LISP","CH0010570767","CH0010570767CHF4","LINDT PS"
"647","LLB","LI0030195247","LI0030195247CHF4","LIECHT LANDBK I"
"648","LLY","US5324571083","US5324571083CHF4","LILLY ELI"
"649","LOEP","CH0002045497","CH0002045497CHF4","LOEB PS"
"650","LOGN","CH0025751329","CH0025751329CHF1","LOGITECH N"
"651","LOHN","CH0026205861","CH0026205861CHF4","Looser Holding AG"
"652","LONN","CH0013841017","CH0013841017CHF1","LONZA N"
"653","LOUN","CH0001639159","CH0001639159CHF4","LO HLD OUC N"
"654","LQDE","IE0032895942","IE0032895942USD4","ISHARES $ CORP BND"
"655","LUKN","CH0011693600","CH0011693600CHF4","LUZERNER KB N"
"656","LVMH","FR0000121014","FR0000121014CHF4","LVMH MOET HENNESY"
"657","LYBWE","FR0010389205","FR0010389205EUR4","LYXOR ETF BUYWRITE"
"658","LYCEC","FR0010204073","FR0010204073EUR4","LYXOR EASTERN EUROPE"
"659","LYCRN","FR0010358887","FR0010358887USD4","LYXOR COMM NON-E"
"660","LYDAX","LU0252633754","LU0252633754EUR4","LYXOR DAX"
"661","LYINR","FR0010375766","FR0010375766USD4","LYXOR MSCI INDIA"
"662","LYJPN","FR0010377028","FR0010377028JPY4","LYXOR JAPAN TOPIX"
"663","LYMEU","FR0010261198","FR0010261198EUR4","LYXOR MSCI EUROPE"
"664","LYPVX","FR0010407197","FR0010407197EUR4","LYXOR PRIVEX"
"665","LYRIO","FR0010413294","FR0010413294USD4","LYXOR BRAZIL (IBOVESPA)"
"666","LYRUS","FR0010339457","FR0010339457USD4","LYXOR RUSSIA"
"667","LYSEL","FR0010378604","FR0010378604EUR4","LYXOR STOXX SELECT DIVIDEND"
"668","LYTUR","FR0010326256","FR0010326256EUR4","LYXOR TURKEY"
"669","LYUSA","FR0010372193","FR0010372193USD4","LYXOR MSCI USA"
"670","LYWLD","FR0010372201","FR0010372201USD4","LYXOR MSCI WORLD"
"671","MABI","LU0269999792","LU0269999792USD4","M ACC BRIC C"
"672","MAGB","LU0259322260","LU0259322260USD4","M ACC AM G B IND C"
"673","MAN","DE0005937007","DE0005937007CHF4","MAN I"
"674","MASN","CH0012337421","CH0012337421CHF4","MICRONAS N"
"675","MBTN","CH0027700852","CH0027700852CHF4","MEYER BURGER N"
"676","MCD","US5801351017","US5801351017CHF4","MC DONALDS"
"677","MCHN","CH0039542854","CH0039542854CHF4","MESSE SCHWEIZ N"
"678","MDAI","LU0259323235","LU0259323235USD4","M ACC ASIA C"
"679","MDJT","LU0269999362","LU0269999362USD4","M ACC DJ TURK TIT20"
"680","MDRI","LU0269999958","LU0269999958USD4","M ACC RUSSIA C"
"681","MEDEE","CH0026050895","CH0026050895CHF4","BB MEDTECH N 2. LINIE"
"682","MEDN","CH0038390016","CH0038390016CHF4","BB MEDTECH N"
"683","METN","CH0039821084","CH0039821084CHF4","METALL ZUG AG"
"684","MFAI","LU0270000028","LU0270000028USD4","M ACC AFR 40 C"
"685","MGT","FR0007075494","FR0007075494EUR4","LYXOR DJ GLOB TIT 50"
"686","MIFO","CH0002770102","CH0002770102CHF4","MI-FONDS IMMO"
"687","MIKN","CH0003390066","CH0003390066CHF4","MIKRON N"
"688","MIV","CH0007291542","CH0007291542CHF4","VONTOBEL INVEST"
"689","MMM","US88579Y1010","US88579Y1010CHF4","3M"
"690","MMMMN","CH0009115129","CH0009115129CHF4","4M N"
"691","MMS","FR0010168773","FR0010168773EUR4","LYXOR MSCI SMALLCAP"
"692","MO","US02209S1033","US02209S1033CHF4","ALTRIA GROUP N"
"693","MOB","CH0012583404","CH0012583404CHF4","MOBILEZONE I"
"694","MOBN","CH0011108872","CH0011108872CHF4","MOBIMO N"
"695","MOT","US6200761095","US6200761095CHF4","MOTOROLA INC"
"696","MRAI","LU0259321452","LU0259321452USD4","M ACC RICISMA IND C"
"697","MRIC","LU0249326488","LU0249326488USD4","M ACC J R II COMM C"
"698","MRK","US5893311077","US5893311077CHF4","MERCK &amp; CO INC"
"699","MRMI","LU0259320728","LU0259320728USD4","M ACC RICISMM IND C"
"700","MRO","US5658491064","US5658491064CHF4","MARATHON OIL"
"701","MSE","FR0007054358","FR0007054358EUR4","LYXOR DJ EUROSTOXX50"
"702","MSEI","LU0259329869","LU0259329869EUR4","M ACC STH-E EU C"
"703","MSFT","US5949181045","US5949181045CHF4","MICROSOFT CORP"
"704","MSSN","CH0010796842","CH0010796842CHF4","METRAUX N"
"705","MUV","DE0008430026","DE0008430026CHF4","MUENCHNER RUECK"
"706","NAAN","CH0003977193","CH0003977193CHF4","NEUE AARGAUER BK N"
"707","NATN","CH0010811971","CH0010811971CHF4","NATIONALV N"
"708","NBEN","CH0005059438","CH0005059438CHF4","NEBAG N"
"709","NEC","JP3733000008","JP3733000008CHF4","NEC CORP"
"710","NEM","US6516391066","US6516391066CHF4","NEWMONT"
"711","NESN","CH0038863350","CH0038863350CHF1","NESTLE N"
"712","NESNE","CH0043286878","CH0043286878CHF1","NESTLE N 2.LINIE"
"713","NEV","CH0007036830","CH0007036830CHF4","NEW VENTURE I"
"714","NEWN","CH0010819867","CH0010819867CHF4","NEW VALUE N"
"715","NH","NO0005052605","NO0005052605CHF4","NORSK HYDRO ASA"
"716","NOBN","CH0037851646","CH0037851646CHF1","NOBEL BIOCARE N"
"717","NOBNE","CH0039781528","CH0039781528CHF1","NOBEL BIOCARE N 2. LINIE"
"718","NOKI","FI0009000681","FI0009000681CHF4","NOKIA OYJ"
"719","NOVN","CH0012005267","CH0012005267CHF1","NOVARTIS N"
"720","NOVNEE","CH0038459415","CH0038459415CHF1","NOVARTIS N 2. LINIE"
"721","NWEN","CH0030417312","CH0030417312CHF4","NEWAVE N"
"722","NWRN","IT0004147952","IT0004147952CHF4","NEWRON PHARMA N"
"723","ODHN","CH0038285679","CH0038285679CHF4","ORASCOM DEVELOPMENT HLD AG N"
"724","OERL","CH0000816824","CH0000816824CHF1","OC OERLIKON N"
"725","OFN","CH0003420806","CH0003420806CHF4","O FUESSLI N"
"726","ORIDN","IL0010837818","IL0010837818CHF4","ORIDION N"
"727","OTI","CH0006326851","CH0006326851CHF4","OTI Energy AG"
"728","PARG","CH0021783391","CH0021783391CHF4","PARGESA I"
"729","PAXN","CH0002178348","CH0002178348CHF4","PAX N"
"730","PCG","US69331C1080","US69331C1080CHF4","PGE CORP"
"731","PED","CH0002906912","CH0002906912CHF4","PERROT DUVAL I"
"732","PEDP","CH0002906938","CH0002906938CHF4","PERROT DUVAL PS"
"733","PEHN","CH0006089921","CH0006089921CHF4","PRIVATE EQUITY N"
"734","PEL","CH0006328758","CH0006328758CHF4","PELIKAN I"
"735","PEP","US7134481081","US7134481081CHF4","PEPSICO"
"736","PFBI","CH0013335515","CH0013335515","CH-PFANDBRIEFIND T"
"737","PFBI1","CH0013335556","CH0013335556","CH-PFB-INDEX 1 T"
"738","PFBI1X","CH0013335937","CH0013335937","CH-PFB-INDEX 1 P"
