"","Symbol","Name","MarketCap","Exchange"
"426","FEV","Eaton Vance Florida Municipal Income Trust","$51.2","AMEX"
"427","FEX","First Trust Exchange-Traded Fund","$4.8","AMEX"
"428","FFI","Fortune Diversified Industries, Inc.","$14.2","AMEX"
"429","FFR","First Trust Exchange-Traded Fund II","$3.9","AMEX"
"430","FGD","First Trust Exchange-Traded Fund II","$2.3","AMEX"
"431","FHC","Female Health Company (The)","$63.8","AMEX"
"432","FLL","Full House Resorts, Inc.","$34.8","AMEX"
"433","FLT","Flight Safety Technologies, Inc.","$8.0","AMEX"
"434","FLT-WT","Flight Safety Technologies, Inc.","$0.0","AMEX"
"435","FNV-U","First Class Navigation Corporation",NA,"AMEX"
"436","FNX","First Trust Exchange-Traded Fund","$5.0","AMEX"
"437","FOA","Merrill Lynch & Co., Inc.",NA,"AMEX"
"438","FOH","Frederick's of Hollywood Group","$32.7","AMEX"
"439","FPB","Fountain Powerboat Industries, Inc.","$2.8","AMEX"
"440","FPI","First Trust Advantage Preferred Income Fund","$24.7","AMEX"
"441","FPP","FieldPoint Petroleum Corporation","$38.7","AMEX"
"442","FPU","Florida Public Utilities Company","$73.1","AMEX"
"443","FPX","First Trust IPOX-100 Index Fund","$20.7","AMEX"
"444","FRD","Friedman Industries Inc.","$53.6","AMEX"
"445","FRG","Fronteer Development Group Inc.","$389.4","AMEX"
"446","FRI","First Trust S&P REIT Index Fund","$2.1","AMEX"
"447","FRS","Frisch's Restaurants, Inc.","$110.0","AMEX"
"448","FSI","Flexible Solutions International Inc.","$30.9","AMEX"
"449","FSN","Fusion Telecommunications International, Inc.","$8.6","AMEX"
"450","FSN-WT","Fusion Telecommunications International, Inc.","$0.0","AMEX"
"451","FSP","Franklin Street Properties Corp.","$952.2","AMEX"
"452","FTA","First Trust Exchange-Traded Fund","$4.4","AMEX"
"453","FTC","First Trust Exchange-Traded Fund","$5.4","AMEX"
"454","FTF","Franklin Templeton Limited Duration Income Trust","$290.8","AMEX"
"455","FUE","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$4.7","AMEX"
"456","FVD","First Trust Value Line  Dividend Index Fund","$445.8","AMEX"
"457","FVE","Five Star Quality Care, Inc.","$127.6","AMEX"
"458","FVI","First Trust Value Line Equity Allocation Index(sm)Fund","$13.4","AMEX"
"459","FVL","First Trust Value Line  100 Exchange-Traded Fund","$274.4","AMEX"
"460","FWV","First West Virginia Bancorp, Inc.","$22.2","AMEX"
"461","FXD","First Trust Exchange-Traded Fund","$1.3","AMEX"
"462","FXG","First Trust Exchange-Traded Fund","$2.6","AMEX"
"463","FXH","First Trust Exchange-Traded Fund","$3.6","AMEX"
"464","FXL","First Trust Exchange-Traded Fund","$3.6","AMEX"
"465","FXN","First Trust Exchange-Traded Fund","$6.8","AMEX"
"466","FXO","First Trust Exchange-Traded Fund","$1.1","AMEX"
"467","FXP","ProShares Trust","$0.0","AMEX"
"468","FXR","First Trust Exchange-Traded Fund","$4.2","AMEX"
"469","FXU","First Trust Exchange-Traded Fund","$2.5","AMEX"
"470","FXX","FOXBY CORP","$6.3","AMEX"
"471","FXZ","First Trust Exchange-Traded Fund","$3.1","AMEX"
"472","FYR","Sapphire Industrials Corp.","$940.0","AMEX"
"473","FYR-U","Sapphire Industrials Corp.","$0.0","AMEX"
"474","FYR-WT","Sapphire Industrials Corp.","$0.0","AMEX"
"475","FYX","First Trust Exchange-Traded Fund","$4.6","AMEX"
"476","FZN","CUISINE SOLUTIONS INC","$36.9","AMEX"
"477","GAC","Geneva Acquisition Corporation","$80.5","AMEX"
"478","GAC-U","Geneva Acquisition Corporation","$0.0","AMEX"
"479","GAC-WT","Geneva Acquisition Corporation","$0.0","AMEX"
"480","GAF","SPDR Index Shares Fund","$25.3","AMEX"
"481","GAN","GAINSCO, Inc.","$78.8","AMEX"
"482","GBC","Morgan Stanley","$27.8","AMEX"
"483","GBH","Green Builders, Inc","$24.5","AMEX"
"484","GBI","MORGAN STANLEY","$21.6","AMEX"
"485","GBN","Great Basin Gold, Ltd.","$724.1","AMEX"
"486","GBO","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"487","GBR","New Concept Energy, Inc","$11.3","AMEX"
"488","GCC","GreenHaven Continuous Commodity Index Fund",NA,"AMEX"
"489","GDX","Market Vectors ETF Trust","$1,524.8","AMEX"
"490","GEE","Global Entertainment Corporation","$11.3","AMEX"
"491","GEL","Genesis Energy, L.P.","$675.2","AMEX"
"492","GFN","General Finance Corporation","$52.3","AMEX"
"493","GFN-U","General Finance Corporation","$53.9","AMEX"
"494","GFN-WT","General Finance Corporation","$0.0","AMEX"
"495","GGA","GSC Acquisition Company","$237.6","AMEX"
"496","GGA-U","GSC Acquisition Company","$0.0","AMEX"
"497","GGA-WT","GSC Acquisition Company","$0.0","AMEX"
"498","GGN","The Gabelli Global Goldn Natural Resources & Income Trust","$538.2","AMEX"
"499","GGN-PA","The Gabelli Global Goldn Natural Resources & Income Trust","$100.4","AMEX"
"500","GGR","GeoGlobal Resources Inc.","$172.6","AMEX"
"501","GGW","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"502","GHC","Global Consumer Acquisition Corp","$368.2","AMEX"
"503","GHC-U","Global Consumer Acquisition Corp","$0.0","AMEX"
"504","GHC-WT","Global Consumer Acquisition Corp","$0.0","AMEX"
"505","GHM","Graham Corporation","$403.5","AMEX"
"506","GHN","Granahan McCourt Acquisition Corporation","$114.1","AMEX"
"507","GHN-U","Granahan McCourt Acquisition Corporation","$0.0","AMEX"
"508","GHN-WT","Granahan McCourt Acquisition Corporation","$0.0","AMEX"
"509","GHQ","GHL Acquisition Corp","$449.1","AMEX"
"510","GHQ-U","GHL Acquisition Corp","$0.0","AMEX"
"511","GHQ-WT","GHL Acquisition Corp","$0.0","AMEX"
"512","GIA","Gulfstream International Group, Inc","$5.8","AMEX"
"513","GIC","MORGAN STANLEY","$39.1","AMEX"
"514","GII","streetTRACKS Index Shares Funds","$16.8","AMEX"
"515","GIT","MORGAN STANLEY","$18.6","AMEX"
"516","GIW","Wilber Corporation","$85.1","AMEX"
"517","GKO","Merrill Lynch","$0.0","AMEX"
"518","GLA","Clark Holdings Inc","$25.3","AMEX"
"519","GLA-U","Clark Holdings Inc","$0.0","AMEX"
"520","GLA-WT","Clark Holdings Inc","$0.0","AMEX"
"521","GLL","MORGAN STANLEY","$13.2","AMEX"
"522","GLO","Clough Global Opportunities Fund","$851.1","AMEX"
"523","GLQ","Clough Global Equity Fund","$324.9","AMEX"
"524","GLU","Gabelli Global Utility","$60.3","AMEX"
"525","GLV","Clough Global Allocation Fund","$208.1","AMEX"
"526","GMF","SPDR Index Shares Fund","$47.5","AMEX"
"527","GML","SPDR Index Shares Fund","$81.2","AMEX"
"528","GMM","SPDR Index Shares Fund","$39.9","AMEX"
"529","GMO","General Moly, Inc","$502.4","AMEX"
"530","GNB","New Generation Biofuels Holdings, Inc","$85.2","AMEX"
"531","GOC","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"532","GOE","Credit Suisse Group","$0.0","AMEX"
"533","GOK","Geokinetics, Inc.","$162.2","AMEX"
"534","GOV","Gouverneur Bancorp, Inc.","$17.9","AMEX"
"535","GPH","Golden Pond Healthcare, Inc","$155.0","AMEX"
"536","GPH-U","Golden Pond Healthcare, Inc","$0.0","AMEX"
"537","GPH-WT","Golden Pond Healthcare, Inc","$0.0","AMEX"
"538","GPR","GEOPETRO RESOURCES CO","$89.9","AMEX"
"539","GQN","Global Brands Acquisition Corp","$334.2","AMEX"
"540","GQN-U","Global Brands Acquisition Corp","$0.0","AMEX"
"541","GQN-WT","Global Brands Acquisition Corp","$0.0","AMEX"
"542","GRC","Gorman-Rupp Company (The)","$663.9","AMEX"
"543","GRF","Eagle Capital Growth Fund, Inc.","$18.4","AMEX"
"544","GRH","GreenHunter Energy Inc","$247.0","AMEX"
"545","GRI","ALPS ETF Trust",NA,"AMEX"
"546","GRS","Gammon Lake Resources, Inc.","$1,197.8","AMEX"
"547","GRU","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$8.3","AMEX"
"548","GRZ","Gold Reserve Inc","$86.7","AMEX"
"549","GSB","GlobalSCAPE, Inc.","$30.4","AMEX"
"550","GSS","Golden Star Resources, Ltd","$589.9","AMEX"
"551","GST","Gastar Exploration","$520.5","AMEX"
"552","GSX","GASCO ENERGY INC","$413.9","AMEX"
"553","GTA","Golf Trust of America, Inc.","$11.8","AMEX"
"554","GTE","Gran Tierra Energy Inc.","$665.5","AMEX"
"555","GTF","Cytomedix, Inc. New","$22.4","AMEX"
"556","GTU","Central Gold Trust","$148.4","AMEX"
"557","GUR","SPDR Index Shares Fund","$37.6","AMEX"
"558","GV","Goldfield Corporation (The)","$13.2","AMEX"
"559","GVP","GSE Systems, Inc.","$137.8","AMEX"
"560","GW","Grey Wolf, Inc.","$1,604.2","AMEX"
"561","GWL","SPDR Index Shares Fund","$17.3","AMEX"
"562","GWX","SPDR Index Shares Fund","$280.0","AMEX"
"563","GXC","streetTracks Index Shares Funds","$150.0","AMEX"
"564","GZV","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"565","HAO","Claymore Exchange-Traded Fund Trust 2","$0.0","AMEX"
"566","HBE","Henry Bros. Electronics, Inc.","$34.1","AMEX"
"567","HCM","Hanover Capital Mortgage Holdings, Inc.","$0.9","AMEX"
"568","HDJ","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"569","HDS","Alpha Security Group Corporation","$72.8","AMEX"
"570","HDS-U","Alpha Security Group Corporation","$0.0","AMEX"
"571","HDS-WT","Alpha Security Group Corporation","$0.0","AMEX"
"572","HDY","HyperDynamics Corporation","$90.7","AMEX"
"573","HEB","Hemispherx BioPharma, Inc.","$65.1","AMEX"
"574","HEV","Ener1 Inc","$665.4","AMEX"
"575","HFB","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"576","HGI","Claymore Exchange-Traded Fund Trust 2","$7.9","AMEX"
"577","HH","Hooper Holmes, Inc.","$67.3","AMEX"
"578","HHH","Merrill Lynch Internet HOLDRS","$270.3","AMEX"
"579","HIA","Highlands Acquisition Corp","$159.4","AMEX"
"580","HIA-U","Highlands Acquisition Corp","$149.1","AMEX"
"581","HIA-WT","Highlands Acquisition Corp","$0.0","AMEX"
"582","HKN","HKN, Inc.","$89.1","AMEX"
"583","HLD","Secure America Acquisition Corporation","$92.3","AMEX"
"584","HLD-U","Secure America Acquisition Corporation","$0.0","AMEX"
"585","HLD-WT","Secure America Acquisition Corporation","$0.0","AMEX"
"586","HLM-P","Hillman Group Capital Trust","$125.7","AMEX"
"587","HMG","HMG/Courtland Properties, Inc.","$7.4","AMEX"
"588","HMR","Sports Properties Acquisition","$253.3","AMEX"
"589","HMR-U","Sports Properties Acquisition","$0.0","AMEX"
"590","HMR-WT","Sports Properties Acquisition","$0.0","AMEX"
"591","HNW","Pioneer Diversified High Income Trust","$152.9","AMEX"
"592","HOL","China Holdings Acquisition Corporation","$147.0","AMEX"
"593","HOL-U","China Holdings Acquisition Corporation","$0.0","AMEX"
"594","HOL-WT","China Holdings Acquisition Corporation","$0.0","AMEX"
"595","HPB","MORGAN STANLEY","$16,500.0","AMEX"
"596","HPD","MORGAN STANLEY","$14.8","AMEX"
"597","HPJ","Hong Kong Highpower Technology",NA,"AMEX"
"598","HQS","HQ Sustainable Maritime Industries, Inc.","$175.6","AMEX"
"599","HRO","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"600","HRT","Arrhythmia Research Technology Inc.","$12.6","AMEX"
"601","HSJ","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"602","HSR","Hi-Shear Technology Corp.","$79.0","AMEX"
"603","HTC","Hungarian Telephone & Cable Corp.","$322.0","AMEX"
"604","HTM","U.S. Geothermal Inc.","$144.5","AMEX"
"605","HWG","Hallwood Group Incorporated","$99.1","AMEX"
"606","HWK","Hawk Corporation","$139.5","AMEX"
"607","HX","Halifax Corporation","$2.3","AMEX"
"608","HYG","iShares Trust","$18.5","AMEX"
"609","IAF","Aberdeen Australia Equity Fund Inc","$272.1","AMEX"
"610","IAH","Merrill Lynch Internet Architecture HOLDRS","$70.2","AMEX"
"611","IAN","Inter-Atlantic Financial, Inc.","$81.9","AMEX"
"612","IAN-U","Inter-Atlantic Financial, Inc.","$0.0","AMEX"
"613","IAN-WT","Inter-Atlantic Financial, Inc.","$0.0","AMEX"
"614","IAO","IA Global, Inc.","$39.1","AMEX"
"615","IAU","iShares COMEX Gold Trust","$1,980.8","AMEX"
"616","IAX","International Absorbents Inc.","$18.0","AMEX"
"617","IBB","iShares NASDAQ Biotechnology Index Fund","$754.8","AMEX"
"618","IBF","Citigroup Inc.","$16.8","AMEX"
"619","ICH","Investors Capital Holdings, Ltd.","$30.8","AMEX"
"620","ICT","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"621","IDI","Ideation Acquisition Corp",NA,"AMEX"
"622","IDI-U","Ideation Acquisition Corp",NA,"AMEX"
"623","IDI-WT","Ideation Acquisition Corp",NA,"AMEX"
"624","IDJ","Citigroup Inc.","$19.7","AMEX"
"625","IDN","Intelli-Check, Inc.","$41.8","AMEX"
"626","IEL","Citigroup Inc.","$19.7","AMEX"
"627","IF","Indonesia Fund, Inc. (The)","$76.0","AMEX"
"628","IFK","International Finance Corp.",NA,"AMEX"
"629","IG","IGI Laboratories, Inc.","$28.3","AMEX"
"630","IGC","India Globalization Capital Inc.","$42.8","AMEX"
"631","IGC-U","India Globalization Capital Inc.","$126.2","AMEX"
"632","IGC-WT","India Globalization Capital Inc.","$0.0","AMEX"
"633","IHT","InnSuites Hospitality Trust","$10.0","AMEX"
"634","IIG","IMERGENT INC","$110.0","AMEX"
"635","IIH","Merrill Lynch Internet Infrastructure HOLDRS","$34.9","AMEX"
"636","IIL","MORGAN STANLEY","$30.0","AMEX"
"637","ILC","iLinc Communications, Inc.","$6.8","AMEX"
"638","ILE","ISOLAGEN INC","$15.1","AMEX"
"639","ILI","Interleukin Genetics, Inc.","$38.5","AMEX"
"640","ILX","ILX Resorts Incorporated","$13.8","AMEX"
"641","IMA","Inverness Medical Innovations, Inc.","$2,385.0","AMEX"
"642","IMA-PB","Inverness Medical Innovations, Inc.","$0.0","AMEX"
"643","IMM","Immtech Pharmaceuticals, Inc.","$13.8","AMEX"
"644","IMO","Imperial Oil Limited","$46,043.4","AMEX"
"645","IMR","IMA Exploration, Inc.","$16.2","AMEX"
"646","IMW","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"647","IMX","Implant Sciences Corporation","$10.1","AMEX"
"648","INO","Inovio Biomedical Corporation","$43.4","AMEX"
"649","INS","Intelligent Systems Corporation","$14.6","AMEX"
"650","INY","SPDR Series Trust","$13.1","AMEX"
"651","IOC","Interoil Corp","$885.5","AMEX"
"652","IOT","Income Opportunity Realty Trust","$22.9","AMEX"
"653","IPB","Merrill Lynch & Co., Inc.","$26.7","AMEX"
"654","IPE","SPDR Series Trust","$10.4","AMEX"
"655","IPT","iParty Corporation","$5.7","AMEX"
"656","IRO","Claymore Exchange-Traded Fund Trust","$2.6","AMEX"
"657","ISL","First Israel Fund, Inc. (The)","$73.6","AMEX"
"658","ISO","ISCO INTERNATIONAL INC","$28.8","AMEX"
"659","ISR","IsoRay, Inc.","$14.7","AMEX"
"660","ISV","InSite Vision Incorporated","$43.5","AMEX"
"661","ITE","SPDR Series Trust","$11.1","AMEX"
"662","ITI","Iteris, Inc.","$77.6","AMEX"
"663","ITL","NETS Trust",NA,"AMEX"
"664","ITM","Market Vectors ETF Trust","$10.3","AMEX"
"665","IVA","ValueRich, Inc.","$1.5","AMEX"
"666","IVD","IVAX Diagnostics, Inc.","$0.3","AMEX"
"667","IWK","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$15.5","AMEX"
"668","JAV","Javelin Pharmaceuticals, Inc.","$117.8","AMEX"
"669","JAZ","Jazz Technologies, Inc","$20.9","AMEX"
"670","JAZ-U","Jazz Technologies, Inc","$0.0","AMEX"
"671","JAZ-WT","Jazz Technologies, Inc","$0.0","AMEX"
"672","JDO","JED Oil Inc","$4.8","AMEX"
"673","JEM","Barclays PLC","$0.0","AMEX"
"674","JEN","Jennifer Convertibles, Inc.","$9.1","AMEX"
"675","JFT","J P Morgan Chase & Co","$0.0","AMEX"
"676","JLI","Jesup & Lamont, Inc","$12.0","AMEX"
"677","JNB","NETS Trust",NA,"AMEX"
"678","JNK","SPDR Series Trust","$165.1","AMEX"
"679","JOB","General Employment Enterprises, Inc.","$4.1","AMEX"
"680","JPK","MORGAN STANLEY","$44.5","AMEX"
"681","JPP","streetTracks Index Shares Funds","$36.5","AMEX"
"682","JRS","Nuveen Real Estate Fund","$371.3","AMEX"
"683","JSC","streetTRACKS Index Shares Funds","$84.4","AMEX"
"684","JST","Jinpan International Limited","$258.2","AMEX"
"685","JVA","Coffee Holding Co., Inc.","$11.5","AMEX"
"686","JVI","Velocity Asset Management, Inc.","$18.6","AMEX"
"687","JVI-P","Velocity Asset Management, Inc.","$9.7","AMEX"
"688","KAD","Arcadia Resources, Inc.","$60.0","AMEX"
"689","KAL","Callisto Pharmaceuticals, Inc.","$9.9","AMEX"
"690","KAZ","BMB Munai, Inc.","$268.7","AMEX"
"691","KBE","SPDR Series Trust","$222.8","AMEX"
"692","KBX","Kimber Resources Inc","$74.1","AMEX"
"693","KCE","SPDR Series Trust","$95.1","AMEX"
"694","KGN","Keegan Resources Inc",NA,"AMEX"
"695","KHA","KBL Healthcare Acquisition Corp. III","$156.7","AMEX"
"696","KHA-U","KBL Healthcare Acquisition Corp. III","$0.0","AMEX"
"697","KHA-WT","KBL Healthcare Acquisition Corp. III","$0.0","AMEX"
"698","KIE","SPDR Series Trust","$63.0","AMEX"
"699","KOG","Kodiak Oil","$353.0","AMEX"
"700","KRE","SPDR Series Trust","$104.3","AMEX"
"701","KRU","Crusader Energy Group Inc.","$140.1","AMEX"
"702","KRY","Crystallex International Corporation","$240.7","AMEX"
"703","KUN","China Shenghuo Pharmaceutical Holdings, Inc","$45.9","AMEX"
"704","KWT","Market Vectors ETF Trust",NA,"AMEX"
"705","LAG","SPDR Series Trust","$10.7","AMEX"
"706","LAQ","Latin America Equity Fund, Inc. (The)","$293.5","AMEX"
"707","LB","LaBarge, Inc.","$199.7","AMEX"
"708","LCI","Lannett Co Inc","$87.2","AMEX"
"709","LDB","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"710","LDN","NETS Trust",NA,"AMEX"
"711","LEI","Lucas Energy, Inc.","$35.9","AMEX"
"712","LGL","LGL Group, Inc.","$14.3","AMEX"
"713","LGN","Lodgian, Inc.","$160.9","AMEX"
"714","LIA","Liberty Acquisition Holdings Corp","$1,190.3","AMEX"
"715","LIA-U","Liberty Acquisition Holdings Corp","$0.0","AMEX"
"716","LIA-WT","Liberty Acquisition Holdings Corp","$0.0","AMEX"
"717","LKI","Lazare Kaplan International, Inc.","$70.2","AMEX"
"718","LNG","Cheniere Energy, Inc.","$165.0","AMEX"
"719","LOV","Spark Networks Plc","$98.1","AMEX"
"720","LRP","Lorus Therapeutics, Inc.","$29.7","AMEX"
"721","LSO","Credit Suisse Group","$0.0","AMEX"
"722","LTL","ProShares Trust",NA,"AMEX"
"723","LTS","Ladenburg Thalmann Financial Services Inc","$278.2","AMEX"
"724","LVL","Claymore Exchange-Traded Fund Trust","$3.2","AMEX"
"725","LXU","Lsb Industries Inc.","$374.3","AMEX"
"726","MAB","Eaton Vance Insured Massachusetts Municipal Bond Fund","$24.1","AMEX"
"727","MAM","Maine & Maritimes Corporation","$76.4","AMEX"
"728","MAO","Merrill Lynch & Co., Inc.",NA,"AMEX"
"729","MAQ","Marathon Acquisition Corp","$375.0","AMEX"
"730","MAQ-U","Marathon Acquisition Corp","$0.0","AMEX"
"731","MAQ-WT","MARATHON ACQUISITION CORP","$0.0","AMEX"
"732","MBA","CIBT Education Group Inc.","$108.0","AMEX"
"733","MBB","iShares Trust","$20.2","AMEX"
"734","MBH","MBF Healthcare Acquisition Corp.","$209.3","AMEX"
"735","MBH-U","MBF Healthcare Acquisition Corp.","$0.0","AMEX"
"736","MBH-WT","MBF Healthcare Acquisition Corp.","$0.0","AMEX"
"737","MBJ","MORGAN STANLEY","$262.3","AMEX"
"738","MBK","Morgan Stanley Dean Witter & Co.","$23.2","AMEX"
"739","MBP","Mid Penn Bancorp","$80.4","AMEX"
"740","MBR","Mercantile Bancorp, Inc. (Quincey, IL)","$138.5","AMEX"
"741","MBS","MORGAN STANLEY","$134.4","AMEX"
"742","MCB","Morgan Stanley Dean Witter & Co.","$21.5","AMEX"
"743","MCF","Contango Oil & Gas Company","$1,530.5","AMEX"
"744","MCP","Merrill Lynch & Co., Inc.","$28.8","AMEX"
"745","MCZ","Mad Catz Interactive Inc","$28.0","AMEX"
"746","MDD","SPDR Index Shares Fund","$6.2","AMEX"
"747","MDF","Metropolitan Health Networks, Inc.","$96.0","AMEX"
"748","MDM","Mountain Province Diamonds Inc.","$266.7","AMEX"
"749","MDW","Midway Gold Corporation","$87.4","AMEX"
"750","MDY","MidCap SPDR Trust Series I","$8,850.1","AMEX"
"751","MEA","METALICO INC","$522.9","AMEX"
"752","MEJ","Santa Monica Media Corporation","$123.5","AMEX"
"753","MEJ-U","Santa Monica Media Corporation","$0.0","AMEX"
"754","MEJ-WT","Santa Monica Media Corporation","$0.0","AMEX"
"755","MFN","MineFinders Corp. Ltd.","$567.9","AMEX"
"756","MFY","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"757","MGH","Minco Gold Corporation","$42.9","AMEX"
"758","MGN","Mines Management, Inc.","$64.4","AMEX"
"759","MGT","MGT Capital Investments Inc","$65.1","AMEX"
"760","MHE","Massachusetts Health and Education Tax-Exempt Trust","$27.5","AMEX"
"761","MHG","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$32.1","AMEX"
"762","MHJ","Man Sang Holdings Inc","$35.7","AMEX"
"763","MHR","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"764","MHT","Morgan Stanley Dean Witter & Co.","$102.6","AMEX"
"765","MHU","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"766","MIB","MORGAN STANLEY","$0.0","AMEX"
"767","MIF","Merrill Lynch & Co., Inc.","$30.3","AMEX"
"768","MIS","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$16.7","AMEX"
"769","MIW","Eaton Vance Insure Michigan Municipal Bond Fund","$20.6","AMEX"
"770","MIX","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"771","MJP","Morgan Stanley Dean Witter & Co.","$64.9","AMEX"
"772","MKH","Merrill Lynch Market 2000+ HOLDRS","$32.2","AMEX"
"773","MKO","Merrill Lynch & Co., Inc.","$11.2","AMEX"
"774","MKP","Merrill Lynch & Co., Inc.","$11.6","AMEX"
"775","MLB","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"776","MLN","Market Vectors ETF Trust","$14.4","AMEX"
"777","MLV","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"778","MLW","Merrill Lynch & Co., Inc.","$11.3","AMEX"
"779","MMF","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"780","MMG","Metalline Mining Company","$47.6","AMEX"
"781","MMV","Eaton Vance Massachusetts Municipal Income Trust","$36.4","AMEX"
"782","MMZ-PK","SiM Internal Test 6",NA,"AMEX"
"783","MNK","Merrill Lynch & Co., Inc.","$29.2","AMEX"
"784","MNL","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"785","MNM","Morgan Stanley","$0.0","AMEX"
"786","MOC","Command Security Corporation","$30.3","AMEX"
"787","MOO","Market Vectors ETF Trust","$717.7","AMEX"
"788","MOR","MORGAN STANLEY","$16.1","AMEX"
"789","MPP","MTS Medication Technologies, Inc.","$35.7","AMEX"
"790","MPZ","MPC Corporation","$9.6","AMEX"
"791","MPZ-WT","MPC CORPORATION","$0.0","AMEX"
"792","MRM","Merrimac Industries, Inc.","$15.2","AMEX"
"793","MRP","Morgan Stanley Dean Witter & Co.","$182.4","AMEX"
"794","MRY","Memry Corporation","$72.7","AMEX"
"795","MSL","MidSouth Bancorp","$104.2","AMEX"
"796","MSN","Emerson Radio Corporation","$32.6","AMEX"
"797","MSS","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"798","MST","MORGAN STANLEY","$9.2","AMEX"
"799","MSU","Morgan Stanley Dean Witter & Co.","$123.3","AMEX"
"800","MTK","streetTRACKS Morgan Stanley Technology Index Fund","$231.4","AMEX"
"801","MUB","iShares Trust","$330.7","AMEX"
"802","MVE","Smart Move, Inc.","$3.7","AMEX"
"803","MVE-WT","Smart Move, Inc.","$0.0","AMEX"
"804","MVF","MuniVest Fund, Inc.","$525.2","AMEX"
"805","MVG","Mag Silver Corporation","$422.4","AMEX"
"806","MVI","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"807","MVV","ProShares Trust","$66.9","AMEX"
"808","MWL","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"809","MXA","Minnesota Municipal Income Portfolio Inc.","$54.4","AMEX"
"810","MXC","Mexco Energy Corporation","$54.0","AMEX"
"811","MXH","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"812","MXM","MAXXAM Inc.","$98.1","AMEX"
"813","MXN","First American Minnesota Municipal Income Fund II, Inc.","$19.4","AMEX"
"814","MYX","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"815","MYY","ProShares Trust","$243.7","AMEX"
"816","MZA","MuniYield Arizona Fund, Inc.","$59.6","AMEX"
"817","MZP","Merrill Lynch & Co., Inc.","$53.5","AMEX"
"818","MZZ","ProShares Trust","$196.3","AMEX"
"819","NAK","Northern Dynasty Minerals, Ltd.","$702.4","AMEX"
"820","NAO","North American Insurance Leaders, Inc.","$142.7","AMEX"
"821","NAO-U","North American Insurance Leaders, Inc.","$0.0","AMEX"
"822","NAO-WT","North American Insurance Leaders, Inc.","$0.0","AMEX"
"823","NAQ","NRDC Acquisition Corp","$483.9","AMEX"
"824","NAQ-U","NRDC Acquisition Corp","$0.0","AMEX"
"825","NAQ-WT","NRDC Acquisition Corp","$0.0","AMEX"
"826","NAS","Citigroup Inc.","$284.9","AMEX"
"827","NBF","Nova Biosource Fuels, Inc.","$50.6","AMEX"
"828","NBH","Neuberger Berman Intermediate Municipal Fund Inc.","$261.5","AMEX"
"829","NBJ","Nuveen Ohio Dividend Advantage Municipal Fund 2","$39.4","AMEX"
"830","NBO","Neuberger Berman New York Intermediate Municipal Fund Inc.","$70.3","AMEX"
"831","NBS","Neostem, Inc.","$4.2","AMEX"
"832","NBS-WT","Neostem, Inc.","$0.0","AMEX"
"833","NBW","Neuberger Berman California Intermediate Municipal Fund Inc.","$85.6","AMEX"
"834","NBY","NovaBay Pharmaceuticals, Inc.","$42.8","AMEX"
"835","NCU","Nuveen California Premium Income Municipal Fund","$71.7","AMEX"
"836","NDD","Neuberger Berman Dividend Advantage","$80.8","AMEX"
"837","NEA","Nuveen Insured Tax-Free Advantage Municipal Fund","$244.4","AMEX"
"838","NEH","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$115.8","AMEX"
"839","NEN","New England Realty Associates Limited Partnership","$77.8","AMEX"
"840","NEP","Nephros, Inc.","$21.0","AMEX"
"841","NFC","Nuveen Connecticut Dividend Advantage Municipal Fund","$38.2","AMEX"
"842","NFM","Nuveen Maryland Dividend Advantage Municipal Fund","$60.7","AMEX"
"843","NFO","Claymore Exchange-Traded Fund Trust","$23.8","AMEX"
"844","NFZ","Nuveen Arizona Dividend Advantage Municipal Fund","$20.9","AMEX"
"845","NG","Novagold Resources Inc New","$790.9","AMEX"
"846","NGB","Nuveen Virginia Dividend Advantage Municipal Fund","$42.6","AMEX"
