"","avgage","technology","badballots","size","Republican","npa","white","bla","his","int","new"
"427",79,"Votomatic",42,476,76,60,518,1,6,8,11
"428",49.45,"Votomatic",73,886,153,103,403,391,35,10,44
"429",48.97,"Votomatic",33,1338,683,236,1313,35,60,21,83
"430",50.4,"Votomatic",27,1076,532,167,1053,34,42,18,35
"431",51.07,"Votomatic",47,1255,638,227,1207,39,47,23,69
"432",53.12,"Votomatic",6,223,118,44,222,3,3,1,9
"433",51.05,"Datapunch",56,1346,726,229,1283,52,50,31,116
"434",47.45,"Votomatic",35,1156,537,205,1099,38,49,19,77
"435",50.04,"Votomatic",0,70,43,6,67,2,2,2,1
"436",47.71,"Votomatic",0,19,10,3,18,1,1,2,5
"437",48.43,"Datapunch",58,1975,1008,424,1902,60,50,47,157
"438",50.16,"Votomatic",31,842,385,143,772,59,34,19,71
"439",48.4,"Votomatic",40,1065,404,233,884,65,73,25,164
"440",50.9,"Votomatic",28,970,457,196,896,49,45,28,124
"441",47.8,"Votomatic",7,682,377,114,694,16,26,7,50
"442",50.26,"Votomatic",28,878,443,155,849,32,37,10,37
"443",54.39,"Votomatic",2,154,97,16,164,6,3,2,5
"444",76.88,"Votomatic",98,1203,127,105,1383,2,16,13,24
"445",74.26,"Datapunch",143,1744,254,208,1910,14,6,30,56
"446",76.68,"Votomatic",88,886,151,100,971,2,4,9,24
"447",74.16,"Votomatic",28,754,160,131,837,1,2,19,22
"448",68.88,"Datapunch",256,1589,348,279,1722,7,9,49,50
"449",67.44,"Votomatic",64,1375,368,227,1424,24,13,53,156
"450",73.52,"Datapunch",247,1981,208,188,2129,6,8,36,108
"451",75.18,"Votomatic",4,159,28,28,180,23,8,6,6
"452",70.44,"Votomatic",14,207,187,28,233,12,5,4,1
"453",70.24,"Datapunch",176,2181,443,437,2356,2,15,134,77
"454",65.66,"Datapunch",158,1576,379,232,1644,27,16,55,106
"455",67.89,"Votomatic",35,630,108,107,683,1,5,48,106
"456",49.92,"Votomatic",4,382,170,67,376,11,1,3,28
"457",76.14,"Votomatic",55,498,116,49,551,3,1,13,10
"458",76.18,"Votomatic",42,397,205,42,404,1,3,7,8
"459",77.97,"Votomatic",95,910,74,83,993,22,5,25,24
"460",75.71,"Votomatic",15,320,54,16,374,3,2,8,3
"461",64.44,"Datapunch",193,2102,615,313,2171,83,20,61,93
"462",46.97,"Votomatic",47,470,52,40,85,365,7,8,50
"463",46.96,"Votomatic",38,545,97,65,264,252,19,6,49
"464",49.84,"Votomatic",0,65,24,15,62,2,2,3,21
"465",51.66,"Votomatic",1,24,8,5,22,1,2,1,2
"466",48.1,"Votomatic",1,20,7,5,18,2,26,1,2
"467",66.75,"Votomatic",1,3,2,5,4,2,1,4,12
"468",76.5,"Votomatic",0,2,2,6,1,56,1,3,6
"469",57.83,"Datapunch",160,1738,849,306,1859,38,20,73,125
"470",51.98,"Votomatic",20,277,59,48,164,72,21,13,29
"471",61.16,"Votomatic",40,976,472,156,958,20,15,29,92
"472",46.66,"Votomatic",2,49,14,10,38,11,1,2,8
"473",65.64,"Datapunch",85,1243,494,217,1337,24,15,40,54
"474",57.62,"Votomatic",55,771,360,111,809,19,9,17,30
"475",54.37,"Votomatic",32,410,140,64,358,33,12,8,28
"476",65.87,"Datapunch",136,1829,872,328,1879,4,28,40,115
"477",53.22,"Datapunch",77,1853,652,387,1777,16,73,37,152
"478",68.01,"Votomatic",89,1817,505,454,1964,1,5,36,93
"479",64.33,"Datapunch",183,1456,705,256,1524,11,18,40,114
"480",60.6,"Datapunch",162,1459,546,288,1489,9,38,33,133
"481",54.08,"Datapunch",87,1111,436,235,1069,17,33,28,141
"482",66.02,"Datapunch",143,1414,382,172,1457,24,15,28,82
"483",63.34,"Datapunch",107,1898,801,456,2146,6,18,66,105
"484",64.43,"Votomatic",24,526,204,114,556,2,9,9,24
"485",74.04,"Datapunch",173,1619,209,187,1795,1,3,9,37
"486",57.36,"Votomatic",70,1219,380,188,1201,17,52,30,102
"487",75.6,"Votomatic",30,470,78,81,508,1,37,17,3
"488",59.6,"Datapunch",104,1339,492,288,1414,21,18,64,120
"489",54.25,"Votomatic",19,607,302,116,612,16,17,11,45
"490",59,"Votomatic",0,7,4,6,8,9,2,1,4
"491",48.67,"Votomatic",45,1143,445,193,953,55,75,23,126
"492",49.39,"Votomatic",23,396,130,98,295,46,33,12,48
"493",59.56,"Votomatic",9,410,278,66,460,16,5,7,20
"494",51.78,"Votomatic",28,888,506,154,876,6,36,25,70
"495",46.58,"Votomatic",37,1153,504,212,1103,26,53,12,85
"496",60.34,"Datapunch",134,1735,593,358,1687,48,70,26,89
"497",59.8,"Datapunch",123,1794,537,306,1838,40,37,33,117
"498",53.84,"Votomatic",34,1198,425,231,1176,6,36,36,90
"499",50.41,"Votomatic",18,626,233,114,616,4,18,10,48
"500",45.95,"Datapunch",77,2026,875,373,1908,56,62,74,167
"501",50.32,"Datapunch",84,2208,808,465,2095,32,50,57,223
"502",48.87,"Votomatic",30,1149,484,227,1088,27,47,35,101
"503",48.61,"Datapunch",78,1681,662,330,1542,46,76,33,143
"504",68.78,"Datapunch",119,1925,693,457,2143,5,10,58,85
"505",60.46,"Datapunch",59,1271,417,254,1355,8,49,23,128
"506",67.27,"Datapunch",180,1539,479,267,1642,10,30,19,89
"507",50.35,"Votomatic",38,992,507,190,963,35,26,17,75
"508",40.94,"Votomatic",5,269,78,64,193,41,20,5,52
"509",48.61,"Votomatic",8,467,262,82,464,9,16,5,41
"510",61.78,"Votomatic",31,1055,439,240,1171,6,3,38,65
"511",48.66,"Votomatic",15,1215,511,259,1239,10,28,26,99
"512",51.24,"Datapunch",99,1707,724,389,1746,9,18,57,178
"513",47.48,"Votomatic",13,1004,484,216,1028,12,14,43,109
"514",59.67,"Votomatic",15,457,179,118,492,1,5,14,30
"515",46.36,"Datapunch",76,1100,449,226,1035,28,53,29,142
"516",55.8,"Datapunch",74,1240,445,229,1214,21,52,27,85
