"","PlateDay","Read","Description","Concentration","Signal"
"445","Plate 4 (Day 2)","2","Quality Control Samples",19.5,0.422
"446","Plate 4 (Day 2)","2","Quality Control Samples",19.5,0.448
"447","Plate 4 (Day 2)","2","Quality Control Samples",13,0.409
"448","Plate 4 (Day 2)","2","Quality Control Samples",13,0.403
"449","Plate 4 (Day 2)","2","Quality Control Samples",9.75,0.404
"450","Plate 4 (Day 2)","2","Quality Control Samples",9.75,0.431
"451","Plate 4 (Day 2)","2","Patient 4",NA,1.223
"452","Plate 4 (Day 2)","2","Patient 4",NA,1.293
"453","Plate 4 (Day 2)","2","Patient 5",NA,0.709
"454","Plate 4 (Day 2)","2","Patient 5",NA,0.767
"455","Plate 4 (Day 2)","2","Patient 6",NA,0.574
"456","Plate 4 (Day 2)","2","Patient 6",NA,0.555
"457","Plate 4 (Day 2)","2","Patient 1",NA,0.545
"458","Plate 4 (Day 2)","2","Patient 1",NA,0.574
"459","Plate 4 (Day 2)","2","Patient 2",NA,0.676
"460","Plate 4 (Day 2)","2","Patient 2",NA,0.695
"461","Plate 4 (Day 2)","2","Patient 3",NA,0.824
"462","Plate 4 (Day 2)","2","Patient 3",NA,0.814
"463","Plate 4 (Day 2)","3","Standard",500,2.666
"464","Plate 4 (Day 2)","3","Standard",500,2.817
"465","Plate 4 (Day 2)","3","Standard",200,1.388
"466","Plate 4 (Day 2)","3","Standard",200,1.568
"467","Plate 4 (Day 2)","3","Standard",80,0.823
"468","Plate 4 (Day 2)","3","Standard",80,0.796
"469","Plate 4 (Day 2)","3","Standard",32,0.499
"470","Plate 4 (Day 2)","3","Standard",32,0.498
"471","Plate 4 (Day 2)","3","Standard",12.8,0.398
"472","Plate 4 (Day 2)","3","Standard",12.8,0.411
"473","Plate 4 (Day 2)","3","Standard",5.12,0.371
"474","Plate 4 (Day 2)","3","Standard",5.12,0.372
"475","Plate 4 (Day 2)","3","Standard",2.048,0.293
"476","Plate 4 (Day 2)","3","Standard",2.048,0.329
"477","Plate 4 (Day 2)","3","BLANK",0,0.338
"478","Plate 4 (Day 2)","3","BLANK",0,0.334
"479","Plate 4 (Day 2)","3","Quality Control Samples",312.5,2.154
"480","Plate 4 (Day 2)","3","Quality Control Samples",312.5,2.047
"481","Plate 4 (Day 2)","3","Quality Control Samples",156.25,1.171
"482","Plate 4 (Day 2)","3","Quality Control Samples",156.25,1.19
"483","Plate 4 (Day 2)","3","Quality Control Samples",78.125,0.776
"484","Plate 4 (Day 2)","3","Quality Control Samples",78.125,0.738
"485","Plate 4 (Day 2)","3","Quality Control Samples",39.1,0.516
"486","Plate 4 (Day 2)","3","Quality Control Samples",39.1,0.546
"487","Plate 4 (Day 2)","3","Quality Control Samples",19.5,0.423
"488","Plate 4 (Day 2)","3","Quality Control Samples",19.5,0.45
"489","Plate 4 (Day 2)","3","Quality Control Samples",13,0.409
"490","Plate 4 (Day 2)","3","Quality Control Samples",13,0.404
"491","Plate 4 (Day 2)","3","Quality Control Samples",9.75,0.404
"492","Plate 4 (Day 2)","3","Quality Control Samples",9.75,0.42
"493","Plate 4 (Day 2)","3","Patient 4",NA,1.221
"494","Plate 4 (Day 2)","3","Patient 4",NA,1.293
"495","Plate 4 (Day 2)","3","Patient 5",NA,0.709
"496","Plate 4 (Day 2)","3","Patient 5",NA,0.769
"497","Plate 4 (Day 2)","3","Patient 6",NA,0.574
"498","Plate 4 (Day 2)","3","Patient 6",NA,0.556
"499","Plate 4 (Day 2)","3","Patient 1",NA,0.544
"500","Plate 4 (Day 2)","3","Patient 1",NA,0.574
"501","Plate 4 (Day 2)","3","Patient 2",NA,0.676
"502","Plate 4 (Day 2)","3","Patient 2",NA,0.696
"503","Plate 4 (Day 2)","3","Patient 3",NA,0.825
"504","Plate 4 (Day 2)","3","Patient 3",NA,0.815
