"","s.v.n.x.y"
"2389","4,1,4,723.953,169.253"
"2390","4,1,4,733.872,176.144"
"2391","4,1,4,743.703,183.24"
"2392","4,1,4,753.439,190.533"
"2393","4,1,4,763.072,198.015"
"2394","4,1,4,772.594,205.676"
"2395","4,1,4,781.996,213.508"
"2396","4,1,4,791.271,221.502"
"2397","4,1,4,800.41,229.651"
"2398","4,1,4,809.406,237.944"
"2399","4,1,4,818.25,246.375"
"2400","4,1,4,826.934,254.934"
"2401","4,1,4,835.451,263.612"
"2402","4,1,4,843.792,272.401"
"2403","4,1,4,851.949,281.293"
"2404","4,1,4,859.914,290.279"
"2405","4,1,4,867.68,299.35"
"2406","4,1,4,875.237,308.497"
"2407","4,1,4,882.578,317.713"
"2408","4,1,4,889.695,326.988"
"2409","4,1,4,896.58,336.314"
"2410","4,1,4,903.225,345.683"
"2411","4,1,4,909.621,355.085"
"2412","4,1,4,915.761,364.512"
"2413","4,1,4,921.637,373.956"
"2414","4,1,4,927.24,383.408"
"2415","4,1,4,932.562,392.859"
"2416","4,1,4,937.597,402.302"
"2417","4,1,4,942.334,411.726"
"2418","4,1,4,946.767,421.124"
"2419","4,1,4,950.887,430.488"
"2420","4,1,4,954.686,439.807"
"2421","4,1,4,958.156,449.075"
"2422","4,1,4,961.29,458.282"
"2423","4,1,4,964.078,467.42"
"2424","4,1,4,966.514,476.48"
"2425","4,1,4,968.588,485.454"
"2426","4,1,4,970.293,494.332"
"2427","4,1,4,971.621,503.107"
"2428","4,1,4,972.564,511.77"
"2429","4,1,4,973.113,520.312"
"2430","4,1,4,973.261,528.725"
"2431","4,1,4,973,537"
"2432","4,1,4,972.45,542.442"
"2433","4,1,4,971.742,547.708"
"2434","4,1,4,970.877,552.799"
"2435","4,1,4,969.859,557.717"
"2436","4,1,4,968.691,562.465"
"2437","4,1,4,967.378,567.045"
"2438","4,1,4,965.921,571.458"
"2439","4,1,4,964.324,575.707"
"2440","4,1,4,962.591,579.794"
"2441","4,1,4,960.724,583.72"
"2442","4,1,4,958.728,587.489"
"2443","4,1,4,956.604,591.101"
"2444","4,1,4,954.357,594.559"
"2445","4,1,4,951.989,597.866"
"2446","4,1,4,949.505,601.022"
"2447","4,1,4,946.906,604.031"
"2448","4,1,4,944.197,606.894"
"2449","4,1,4,941.381,609.614"
"2450","4,1,4,938.46,612.191"
"2451","4,1,4,935.439,614.629"
"2452","4,1,4,932.32,616.93"
"2453","4,1,4,929.107,619.095"
"2454","4,1,4,925.802,621.127"
"2455","4,1,4,922.41,623.027"
"2456","4,1,4,918.933,624.799"
"2457","4,1,4,915.375,626.442"
"2458","4,1,4,908.028,629.357"
"2459","4,1,4,900.394,631.787"
"2460","4,1,4,892.5,633.75"
"2461","4,1,4,884.372,635.262"
"2462","4,1,4,876.035,636.338"
"2463","4,1,4,867.515,636.997"
"2464","4,1,4,858.84,637.254"
"2465","4,1,4,850.034,637.126"
"2466","4,1,4,841.124,636.628"
"2467","4,1,4,832.135,635.779"
"2468","4,1,4,823.094,634.594"
"2469","4,1,4,814.026,633.089"
"2470","4,1,4,804.958,631.282"
"2471","4,1,4,795.916,629.188"
"2472","4,1,4,786.926,626.824"
"2473","4,1,4,778.013,624.207"
"2474","4,1,4,769.204,621.353"
"2475","4,1,4,760.524,618.279"
"2476","4,1,4,752,615"
"2477","4,1,4,752,615"
"2478","4,1,4,738.137,609.354"
"2479","4,1,4,724.906,603.578"
"2480","4,1,4,712.098,597.545"
"2481","4,1,4,699.5,591.125"
"2482","4,1,4,686.902,584.189"
"2483","4,1,4,674.094,576.609"
"2484","4,1,4,660.863,568.256"
"2485","4,1,4,647,559"
"2486","4,1,4,647,559"
"2487","4,1,4,636.648,552.047"
"2488","4,1,4,626.574,545.047"
"2489","4,1,4,616.752,537.977"
"2490","4,1,4,607.156,530.812"
"2491","4,1,4,597.759,523.531"
"2492","4,1,4,588.535,516.109"
"2493","4,1,4,579.458,508.523"
"2494","4,1,4,570.5,500.75"
"2495","4,1,4,561.636,492.766"
"2496","4,1,4,552.84,484.547"
"2497","4,1,4,544.084,476.07"
"2498","4,1,4,535.344,467.312"
"2499","4,1,4,526.591,458.25"
"2500","4,1,4,517.801,448.859"
"2501","4,1,4,508.946,439.117"
"2502","4,1,4,500,429"
"2503","4,1,4,500,429"
"2504","4,1,4,489.699,416.344"
"2505","4,1,4,479.094,402.938"
"2506","4,1,4,468.254,388.5"
"2507","4,1,4,462.768,380.807"
"2508","4,1,4,457.25,372.75"
"2509","4,1,4,451.708,364.295"
"2510","4,1,4,446.152,355.406"
"2511","4,1,4,440.59,346.049"
"2512","4,1,4,435.031,336.188"
"2513","4,1,4,429.484,325.787"
"2514","4,1,4,423.957,314.812"
"2515","4,1,4,418.459,303.229"
"2516","4,1,4,413,291"
"2517","4,1,4,413,291"
"2518","4,1,4,409.941,283.579"
"2519","4,1,4,407.135,276.305"
"2520","4,1,4,404.578,269.159"
"2521","4,1,4,402.266,262.125"
"2522","4,1,4,400.194,255.185"
"2523","4,1,4,398.357,248.32"
"2524","4,1,4,396.753,241.515"
"2525","4,1,4,395.375,234.75"
"2526","4,1,4,394.22,228.009"
"2527","4,1,4,393.283,221.273"
"2528","4,1,4,392.56,214.526"
"2529","4,1,4,392.047,207.75"
"2530","4,1,4,391.739,200.927"
"2531","4,1,4,391.631,194.039"
"2532","4,1,4,391.719,187.069"
"2533","4,1,4,392,180"
"2534","4,1,4,392,180"
"2535","4,1,4,392.602,174.457"
"2536","4,1,4,393.466,169.079"
"2537","4,1,4,394.582,163.866"
"2538","4,1,4,395.943,158.818"
"2539","4,1,4,397.541,153.937"
"2540","4,1,4,399.367,149.223"
"2541","4,1,4,401.414,144.676"
"2542","4,1,4,403.672,140.297"
"2543","4,1,4,406.134,136.086"
"2544","4,1,4,408.791,132.045"
"2545","4,1,4,411.635,128.173"
"2546","4,1,4,414.658,124.471"
"2547","4,1,4,417.852,120.939"
"2548","4,1,4,421.208,117.579"
"2549","4,1,4,424.719,114.391"
"2550","4,1,4,428.375,111.375"
"2551","4,1,4,432.169,108.532"
"2552","4,1,4,436.093,105.862"
"2553","4,1,4,440.137,103.366"
"2554","4,1,4,444.295,101.045"
"2555","4,1,4,448.557,98.899"
"2556","4,1,4,452.916,96.928"
"2557","4,1,4,457.363,95.133"
"2558","4,1,4,461.891,93.516"
"2559","4,1,4,466.49,92.075"
"2560","4,1,4,471.152,90.812"
"2561","4,1,4,475.87,89.728"
"2562","4,1,4,480.635,88.822"
"2563","4,1,4,485.438,88.096"
"2564","4,1,4,490.273,87.55"
"2565","4,1,4,495.129,87.184"
"2566","4,1,4,500,87"
"2567","4,1,4,NA,NA"
"2568","5,0,1,348.9,830.6"
"2569","5,0,1,338.574,832.804"
"2570","5,0,1,328.231,834.509"
"2571","5,0,1,317.885,835.721"
"2572","5,0,1,307.553,836.447"
"2573","5,0,1,297.249,836.693"
"2574","5,0,1,286.988,836.467"
"2575","5,0,1,276.785,835.775"
"2576","5,0,1,266.656,834.623"
"2577","5,0,1,256.615,833.02"
"2578","5,0,1,246.678,830.97"
"2579","5,0,1,236.859,828.481"
"2580","5,0,1,227.174,825.56"
"2581","5,0,1,217.638,822.214"
"2582","5,0,1,208.265,818.448"
"2583","5,0,1,199.072,814.271"
"2584","5,0,1,190.072,809.688"
"2585","5,0,1,181.282,804.706"
"2586","5,0,1,172.716,799.332"
"2587","5,0,1,164.389,793.573"
"2588","5,0,1,156.317,787.435"
"2589","5,0,1,148.514,780.925"
"2590","5,0,1,140.996,774.051"
"2591","5,0,1,133.777,766.818"
"2592","5,0,1,126.873,759.233"
"2593","5,0,1,120.299,751.303"
"2594","5,0,1,114.069,743.035"
"2595","5,0,1,108.2,734.435"
"2596","5,0,1,102.705,725.511"
"2597","5,0,1,97.601,716.269"
"2598","5,0,1,92.902,706.715"
"2599","5,0,1,88.623,696.856"
"2600","5,0,1,84.78,686.7"
"2601","5,0,1,82.38,679.627"
"2602","5,0,1,80.231,672.528"
"2603","5,0,1,78.33,665.41"
"2604","5,0,1,76.674,658.276"
"2605","5,0,1,75.261,651.132"
"2606","5,0,1,74.09,643.983"
"2607","5,0,1,73.157,636.834"
"2608","5,0,1,72.46,629.689"
"2609","5,0,1,71.997,622.554"
"2610","5,0,1,71.765,615.433"
"2611","5,0,1,71.763,608.332"
"2612","5,0,1,71.988,601.254"
"2613","5,0,1,72.437,594.207"
"2614","5,0,1,73.108,587.193"
"2615","5,0,1,73.999,580.218"
"2616","5,0,1,75.108,573.288"
"2617","5,0,1,76.431,566.406"
"2618","5,0,1,77.967,559.578"
"2619","5,0,1,79.714,552.809"
"2620","5,0,1,81.669,546.103"
"2621","5,0,1,83.829,539.467"
"2622","5,0,1,86.193,532.903"
"2623","5,0,1,88.758,526.419"
"2624","5,0,1,91.522,520.017"
"2625","5,0,1,94.481,513.704"
"2626","5,0,1,97.635,507.484"
"2627","5,0,1,100.981,501.363"
"2628","5,0,1,104.515,495.344"
"2629","5,0,1,108.237,489.434"
"2630","5,0,1,112.143,483.636"
"2631","5,0,1,116.232,477.957"
"2632","5,0,1,120.5,472.4"
"2633","5,0,1,120.5,472.4"
"2634","5,0,1,127.585,465.013"
"2635","5,0,1,134.675,457.998"
"2636","5,0,1,141.784,451.345"
"2637","5,0,1,148.925,445.045"
"2638","5,0,1,156.113,439.091"
"2639","5,0,1,163.363,433.473"
"2640","5,0,1,170.687,428.183"
"2641","5,0,1,178.1,423.212"
"2642","5,0,1,185.616,418.552"
"2643","5,0,1,193.25,414.194"
"2644","5,0,1,201.015,410.129"
"2645","5,0,1,208.925,406.348"
"2646","5,0,1,216.995,402.844"
"2647","5,0,1,225.238,399.607"
"2648","5,0,1,233.668,396.628"
"2649","5,0,1,242.3,393.9"
"2650","5,0,1,242.3,393.9"
"2651","5,0,1,253.301,390.764"
"2652","5,0,1,263.895,388.091"
"2653","5,0,1,274.108,385.853"
"2654","5,0,1,283.962,384.025"
"2655","5,0,1,293.485,382.582"
"2656","5,0,1,302.698,381.497"
"2657","5,0,1,311.629,380.745"
"2658","5,0,1,320.3,380.3"
"2659","5,0,1,320.3,380.3"
"2660","5,0,1,327.539,380.164"
"2661","5,0,1,334.601,380.234"
"2662","5,0,1,341.5,380.495"
"2663","5,0,1,348.25,380.933"
"2664","5,0,1,354.864,381.533"
"2665","5,0,1,361.355,382.281"
"2666","5,0,1,374.025,384.163"
"2667","5,0,1,386.366,386.461"
"2668","5,0,1,398.488,389.061"
"2669","5,0,1,422.5,394.7"
"2670","5,0,1,422.5,394.7"
"2671","5,0,1,431.288,397.001"
"2672","5,0,1,439.959,399.033"
"2673","5,0,1,448.528,400.806"
"2674","5,0,1,457.006,402.327"
"2675","5,0,1,465.407,403.604"
"2676","5,0,1,473.744,404.647"
"2677","5,0,1,482.029,405.464"
"2678","5,0,1,490.275,406.062"
"2679","5,0,1,498.496,406.451"
"2680","5,0,1,506.703,406.638"
"2681","5,0,1,514.911,406.633"
"2682","5,0,1,523.131,406.442"
"2683","5,0,1,531.378,406.075"
"2684","5,0,1,539.663,405.54"
"2685","5,0,1,556.4,404"
"2686","5,0,1,556.4,404"
"2687","5,0,1,579.198,401.375"
"2688","5,0,1,602.062,398.825"
"2689","5,0,1,613.411,397.754"
"2690","5,0,1,624.645,396.913"
"2691","5,0,1,635.723,396.371"
"2692","5,0,1,646.6,396.2"
"2693","5,0,1,646.6,396.2"
"2694","5,0,1,653.612,396.313"
"2695","5,0,1,660.5,396.629"
"2696","5,0,1,667.253,397.167"
"2697","5,0,1,673.856,397.947"
"2698","5,0,1,680.298,398.988"
"2699","5,0,1,686.566,400.31"
"2700","5,0,1,692.646,401.932"
"2701","5,0,1,698.525,403.875"
"2702","5,0,1,704.191,406.158"
"2703","5,0,1,709.631,408.8"
"2704","5,0,1,714.832,411.821"
"2705","5,0,1,719.781,415.241"
"2706","5,0,1,724.465,419.079"
"2707","5,0,1,728.872,423.355"
"2708","5,0,1,732.988,428.089"
"2709","5,0,1,736.8,433.3"
"2710","5,0,1,736.8,433.3"
"2711","5,0,1,739.442,437.406"
"2712","5,0,1,741.857,441.49"
"2713","5,0,1,744.046,445.553"
"2714","5,0,1,746.012,449.594"
"2715","5,0,1,747.757,453.612"
"2716","5,0,1,749.282,457.605"
"2717","5,0,1,750.589,461.573"
"2718","5,0,1,751.68,465.516"
"2719","5,0,1,752.557,469.431"
"2720","5,0,1,753.222,473.32"
"2721","5,0,1,753.676,477.18"
"2722","5,0,1,753.923,481.011"
"2723","5,0,1,753.963,484.811"
"2724","5,0,1,753.798,488.581"
"2725","5,0,1,753.431,492.319"
"2726","5,0,1,752.862,496.025"
"2727","5,0,1,752.095,499.697"
"2728","5,0,1,751.131,503.335"
"2729","5,0,1,749.972,506.938"
"2730","5,0,1,748.619,510.505"
"2731","5,0,1,747.075,514.035"
"2732","5,0,1,745.342,517.528"
"2733","5,0,1,743.421,520.982"
"2734","5,0,1,741.314,524.397"
"2735","5,0,1,739.023,527.772"
"2736","5,0,1,736.551,531.105"
"2737","5,0,1,733.898,534.397"
"2738","5,0,1,731.067,537.646"
"2739","5,0,1,728.06,540.852"
"2740","5,0,1,724.879,544.014"
"2741","5,0,1,718,550.2"
"2742","5,0,1,718,550.2"
"2743","5,0,1,713.316,554.386"
"2744","5,0,1,708.427,558.509"
"2745","5,0,1,703.347,562.575"
"2746","5,0,1,698.094,566.591"
"2747","5,0,1,687.133,574.489"
"2748","5,0,1,675.675,582.25"
"2749","5,0,1,663.852,589.917"
"2750","5,0,1,651.794,597.534"
"2751","5,0,1,627.5,612.8"
"2752","5,0,1,627.5,612.8"
"2753","5,0,1,616.156,620.199"
"2754","5,0,1,605.28,627.669"
"2755","5,0,1,594.842,635.279"
"2756","5,0,1,584.812,643.1"
"2757","5,0,1,575.163,651.202"
"2758","5,0,1,565.864,659.656"
"2759","5,0,1,556.886,668.532"
"2760","5,0,1,548.2,677.9"
"2761","5,0,1,548.2,677.9"
"2762","5,0,1,542.247,684.715"
"2763","5,0,1,536.573,691.505"
"2764","5,0,1,525.837,704.988"
"2765","5,0,1,515.533,718.302"
"2766","5,0,1,505.2,731.4"
"2767","5,0,1,505.2,731.4"
"2768","5,0,1,497.022,741.18"
"2769","5,0,1,488.911,750.363"
"2770","5,0,1,480.807,758.973"
"2771","5,0,1,472.65,767.037"
"2772","5,0,1,464.381,774.582"
"2773","5,0,1,455.939,781.631"
"2774","5,0,1,447.265,788.212"
"2775","5,0,1,438.3,794.35"
"2776","5,0,1,428.983,800.071"
"2777","5,0,1,419.255,805.4"
"2778","5,0,1,409.055,810.364"
"2779","5,0,1,398.325,814.988"
"2780","5,0,1,387.004,819.297"
"2781","5,0,1,375.033,823.319"
"2782","5,0,1,362.351,827.078"
"2783","5,0,1,348.9,830.6"
"2784","5,0,1,NA,NA"
"2785","5,0,2,757,723.2"
"2786","5,0,2,755.883,733.898"
"2787","5,0,2,754.267,744.441"
"2788","5,0,2,752.163,754.816"
"2789","5,0,2,749.583,765.011"
"2790","5,0,2,746.541,775.014"
"2791","5,0,2,743.047,784.814"
"2792","5,0,2,739.114,794.397"
"2793","5,0,2,734.755,803.753"
"2794","5,0,2,729.981,812.869"
"2795","5,0,2,724.805,821.732"
"2796","5,0,2,719.239,830.332"
"2797","5,0,2,713.296,838.655"
"2798","5,0,2,706.986,846.689"
"2799","5,0,2,700.324,854.423"
"2800","5,0,2,693.32,861.845"
"2801","5,0,2,685.987,868.942"
"2802","5,0,2,678.338,875.703"
"2803","5,0,2,670.384,882.115"
"2804","5,0,2,662.138,888.166"
"2805","5,0,2,653.612,893.845"
"2806","5,0,2,644.818,899.138"
"2807","5,0,2,635.769,904.034"
"2808","5,0,2,626.476,908.522"
"2809","5,0,2,616.952,912.588"
"2810","5,0,2,607.208,916.221"
"2811","5,0,2,597.258,919.409"
"2812","5,0,2,587.114,922.14"
"2813","5,0,2,576.787,924.401"
"2814","5,0,2,566.29,926.18"
"2815","5,0,2,555.635,927.467"
"2816","5,0,2,544.834,928.247"
"2817","5,0,2,533.9,928.51"
"2818","5,0,2,526.727,928.397"
"2819","5,0,2,519.609,928.06"
"2820","5,0,2,512.55,927.502"
"2821","5,0,2,505.554,926.727"
"2822","5,0,2,498.623,925.738"
"2823","5,0,2,491.762,924.539"
"2824","5,0,2,484.973,923.133"
"2825","5,0,2,478.261,921.522"
"2826","5,0,2,471.628,919.712"
"2827","5,0,2,465.078,917.705"
"2828","5,0,2,458.615,915.504"
"2829","5,0,2,452.241,913.114"
"2830","5,0,2,445.96,910.536"
"2831","5,0,2,439.776,907.775"
"2832","5,0,2,433.693,904.835"
"2833","5,0,2,427.712,901.718"
"2834","5,0,2,421.839,898.427"
"2835","5,0,2,416.076,894.967"
"2836","5,0,2,410.427,891.34"
"2837","5,0,2,404.895,887.551"
"2838","5,0,2,399.484,883.602"
"2839","5,0,2,394.197,879.497"
"2840","5,0,2,389.037,875.239"
"2841","5,0,2,384.008,870.831"
"2842","5,0,2,379.113,866.278"
"2843","5,0,2,374.356,861.582"
"2844","5,0,2,369.741,856.746"
"2845","5,0,2,365.27,851.775"
"2846","5,0,2,360.947,846.672"
"2847","5,0,2,356.775,841.439"
"2848","5,0,2,352.758,836.081"
"2849","5,0,2,348.9,830.6"
"2850","5,0,2,348.9,830.6"
"2851","5,0,2,343.857,822.706"
"2852","5,0,2,339.186,814.929"
"2853","5,0,2,334.884,807.223"
"2854","5,0,2,330.945,799.542"
"2855","5,0,2,327.366,791.84"
"2856","5,0,2,324.141,784.069"
"2857","5,0,2,321.267,776.184"
"2858","5,0,2,318.738,768.137"
"2859","5,0,2,316.549,759.884"
"2860","5,0,2,314.698,751.376"
"2861","5,0,2,313.178,742.569"
"2862","5,0,2,311.986,733.414"
"2863","5,0,2,311.117,723.866"
"2864","5,0,2,310.565,713.879"
"2865","5,0,2,310.328,703.406"
"2866","5,0,2,310.4,692.4"
"2867","5,0,2,310.4,692.4"
"2868","5,0,2,310.862,680.212"
"2869","5,0,2,311.639,668.605"
"2870","5,0,2,312.719,657.548"
"2871","5,0,2,314.087,647.012"
"2872","5,0,2,315.733,636.969"
"2873","5,0,2,317.642,627.389"
"2874","5,0,2,319.802,618.242"
"2875","5,0,2,322.2,609.5"
"2876","5,0,2,322.2,609.5"
"2877","5,0,2,324.313,602.647"
"2878","5,0,2,326.558,596.026"
"2879","5,0,2,328.926,589.622"
"2880","5,0,2,331.411,583.419"
"2881","5,0,2,334.003,577.401"
"2882","5,0,2,336.693,571.552"
"2883","5,0,2,342.337,560.3"
"2884","5,0,2,348.277,549.535"
"2885","5,0,2,354.445,539.131"
"2886","5,0,2,360.775,528.962"
"2887","5,0,2,367.2,518.9"
"2888","5,0,2,367.2,518.9"
"2889","5,0,2,372.381,511.164"
"2890","5,0,2,377.283,503.506"
"2891","5,0,2,381.915,495.91"
"2892","5,0,2,386.289,488.356"
"2893","5,0,2,390.415,480.829"
"2894","5,0,2,394.304,473.309"
"2895","5,0,2,397.966,465.781"
"2896","5,0,2,401.413,458.225"
"2897","5,0,2,404.654,450.625"
"2898","5,0,2,407.701,442.962"
"2899","5,0,2,410.564,435.221"
"2900","5,0,2,413.255,427.381"
"2901","5,0,2,415.783,419.427"
"2902","5,0,2,418.159,411.341"
"2903","5,0,2,420.395,403.104"
"2904","5,0,2,422.5,394.7"
"2905","5,0,2,422.5,394.7"
"2906","5,0,2,427.489,373.175"
"2907","5,0,2,432.488,351.5"
"2908","5,0,2,435.099,340.747"
"2909","5,0,2,437.842,330.125"
"2910","5,0,2,440.762,319.691"
"2911","5,0,2,443.9,309.5"
"2912","5,0,2,443.9,309.5"
"2913","5,0,2,446.056,303.025"
"2914","5,0,2,448.332,296.696"
"2915","5,0,2,450.739,290.531"
"2916","5,0,2,453.291,284.545"
"2917","5,0,2,455.998,278.755"
"2918","5,0,2,458.873,273.175"
"2919","5,0,2,461.928,267.822"
"2920","5,0,2,465.175,262.712"
"2921","5,0,2,468.626,257.862"
"2922","5,0,2,472.293,253.286"
"2923","5,0,2,476.187,249.001"
"2924","5,0,2,480.322,245.023"
"2925","5,0,2,484.708,241.368"
"2926","5,0,2,489.359,238.052"
"2927","5,0,2,494.285,235.091"
"2928","5,0,2,499.5,232.5"
"2929","5,0,2,499.5,232.5"
"2930","5,0,2,504.509,230.718"
"2931","5,0,2,509.431,229.211"
"2932","5,0,2,514.266,227.974"
"2933","5,0,2,519.013,227.002"
"2934","5,0,2,523.671,226.288"
"2935","5,0,2,528.242,225.827"
"2936","5,0,2,532.725,225.613"
"2937","5,0,2,537.119,225.641"
"2938","5,0,2,541.424,225.904"
"2939","5,0,2,545.642,226.398"
"2940","5,0,2,549.77,227.116"
"2941","5,0,2,553.809,228.053"
"2942","5,0,2,557.76,229.203"
"2943","5,0,2,561.621,230.56"
"2944","5,0,2,565.393,232.12"
"2945","5,0,2,569.075,233.875"
"2946","5,0,2,572.668,235.821"
"2947","5,0,2,576.171,237.951"
"2948","5,0,2,579.583,240.261"
"2949","5,0,2,582.906,242.744"
"2950","5,0,2,586.139,245.395"
"2951","5,0,2,589.281,248.208"
"2952","5,0,2,592.333,251.177"
"2953","5,0,2,595.294,254.297"
"2954","5,0,2,598.164,257.562"
"2955","5,0,2,600.943,260.966"
"2956","5,0,2,603.631,264.504"
"2957","5,0,2,606.228,268.17"
"2958","5,0,2,611.147,275.863"
"2959","5,0,2,615.7,284"
"2960","5,0,2,615.7,284"
"2961","5,0,2,618.303,290.12"
"2962","5,0,2,620.756,296.434"
"2963","5,0,2,623.073,302.924"
"2964","5,0,2,625.267,309.575"
"2965","5,0,2,629.335,323.298"
"2966","5,0,2,633.062,337.475"
"2967","5,0,2,636.551,351.98"
"2968","5,0,2,639.902,366.688"
"2969","5,0,2,646.6,396.2"
"2970","5,0,2,646.6,396.2"
"2971","5,0,2,649.683,408.981"
"2972","5,0,2,653.092,421.459"
"2973","5,0,2,656.846,433.652"
"2974","5,0,2,660.962,445.575"
"2975","5,0,2,665.458,457.245"
"2976","5,0,2,670.352,468.678"
"2977","5,0,2,675.66,479.891"
"2978","5,0,2,681.4,490.9"
"2979","5,0,2,681.4,490.9"
"2980","5,0,2,685.967,498.85"
"2981","5,0,2,690.578,506.536"
"2982","5,0,2,699.85,521.337"
"2983","5,0,2,709.047,535.745"
"2984","5,0,2,718,550.2"
"2985","5,0,2,718,550.2"
"2986","5,0,2,723.449,560.113"
"2987","5,0,2,728.506,569.606"
"2988","5,0,2,733.171,578.794"
"2989","5,0,2,737.439,587.792"
"2990","5,0,2,741.31,596.717"
"2991","5,0,2,744.78,605.685"
"2992","5,0,2,747.849,614.812"
"2993","5,0,2,750.513,624.212"
"2994","5,0,2,752.77,634.003"
"2995","5,0,2,754.618,644.301"
"2996","5,0,2,756.056,655.22"
"2997","5,0,2,757.08,666.877"
"2998","5,0,2,757.688,679.387"
"2999","5,0,2,757.879,692.867"
"3000","5,0,2,757.651,707.433"
"3001","5,0,2,757,723.2"
"3002","5,0,2,NA,NA"
"3003","5,0,3,787.8,298.1"
"3004","5,0,3,797.668,302.322"
"3005","5,0,3,807.241,306.972"
"3006","5,0,3,816.513,312.035"
"3007","5,0,3,825.474,317.496"
"3008","5,0,3,834.117,323.339"
"3009","5,0,3,842.435,329.55"
"3010","5,0,3,850.419,336.114"
"3011","5,0,3,858.061,343.016"
"3012","5,0,3,865.354,350.24"
"3013","5,0,3,872.29,357.771"
"3014","5,0,3,878.86,365.595"
"3015","5,0,3,885.058,373.696"
"3016","5,0,3,890.875,382.06"
"3017","5,0,3,896.303,390.671"
"3018","5,0,3,901.335,399.515"
"3019","5,0,3,905.962,408.575"
"3020","5,0,3,910.178,417.838"
"3021","5,0,3,913.973,427.287"
"3022","5,0,3,917.34,436.909"
"3023","5,0,3,920.272,446.688"
"3024","5,0,3,922.76,456.609"
"3025","5,0,3,924.796,466.656"
"3026","5,0,3,926.373,476.816"
"3027","5,0,3,927.483,487.072"
"3028","5,0,3,928.118,497.41"
"3029","5,0,3,928.27,507.815"
"3030","5,0,3,927.931,518.271"
"3031","5,0,3,927.093,528.764"
"3032","5,0,3,925.749,539.278"
"3033","5,0,3,923.891,549.799"
"3034","5,0,3,921.51,560.311"
"3035","5,0,3,918.6,570.8"
"3036","5,0,3,916.254,578.093"
"3037","5,0,3,913.683,585.25"
"3038","5,0,3,910.89,592.27"
"3039","5,0,3,907.883,599.148"
"3040","5,0,3,904.665,605.883"
"3041","5,0,3,901.242,612.472"
"3042","5,0,3,897.618,618.911"
"3043","5,0,3,893.8,625.198"
"3044","5,0,3,889.792,631.331"
"3045","5,0,3,885.599,637.306"
"3046","5,0,3,881.227,643.12"
"3047","5,0,3,876.68,648.771"
"3048","5,0,3,871.963,654.256"
"3049","5,0,3,867.083,659.573"
"3050","5,0,3,862.043,664.717"
"3051","5,0,3,856.85,669.688"
"3052","5,0,3,851.508,674.48"
"3053","5,0,3,846.022,679.093"
"3054","5,0,3,840.397,683.523"
"3055","5,0,3,834.639,687.768"
"3056","5,0,3,828.753,691.824"
"3057","5,0,3,822.743,695.688"
"3058","5,0,3,816.616,699.359"
"3059","5,0,3,810.375,702.833"
"3060","5,0,3,804.027,706.107"
"3061","5,0,3,797.576,709.179"
"3062","5,0,3,791.027,712.045"
"3063","5,0,3,784.386,714.703"
"3064","5,0,3,777.658,717.151"
"3065","5,0,3,770.847,719.385"
"3066","5,0,3,763.959,721.402"
"3067","5,0,3,757,723.2"
"3068","5,0,3,757,723.2"
"3069","5,0,3,747.538,724.688"
"3070","5,0,3,738.367,725.958"
"3071","5,0,3,729.451,726.994"
"3072","5,0,3,720.755,727.786"
"3073","5,0,3,712.243,728.319"
"3074","5,0,3,703.881,728.581"
"3075","5,0,3,695.632,728.558"
"3076","5,0,3,687.462,728.238"
"3077","5,0,3,679.336,727.607"
"3078","5,0,3,671.218,726.652"
"3079","5,0,3,663.072,725.361"
"3080","5,0,3,654.864,723.72"
"3081","5,0,3,646.558,721.717"
"3082","5,0,3,638.119,719.338"
"3083","5,0,3,629.511,716.57"
"3084","5,0,3,620.7,713.4"
"3085","5,0,3,620.7,713.4"
"3086","5,0,3,609.726,709.36"
"3087","5,0,3,599.359,705.195"
"3088","5,0,3,589.569,700.911"
"3089","5,0,3,580.325,696.512"
"3090","5,0,3,571.596,692.006"
"3091","5,0,3,563.353,687.398"
"3092","5,0,3,555.564,682.694"
"3093","5,0,3,548.2,677.9"
"3094","5,0,3,548.2,677.9"
"3095","5,0,3,542.37,673.821"
"3096","5,0,3,536.795,669.687"
"3097","5,0,3,531.455,665.501"
"3098","5,0,3,526.333,661.267"
"3099","5,0,3,521.411,656.988"
"3100","5,0,3,516.67,652.667"
"3101","5,0,3,507.663,643.913"
"3102","5,0,3,499.166,635.032"
"3103","5,0,3,491.036,626.052"
"3104","5,0,3,475.3,607.9"
"3105","5,0,3,475.3,607.9"
"3106","5,0,3,469.26,600.6"
"3107","5,0,3,463.137,593.613"
"3108","5,0,3,456.929,586.921"
"3109","5,0,3,450.633,580.508"
"3110","5,0,3,444.246,574.355"
"3111","5,0,3,437.765,568.446"
"3112","5,0,3,431.189,562.762"
"3113","5,0,3,424.512,557.288"
"3114","5,0,3,417.734,552.004"
"3115","5,0,3,410.852,546.893"
"3116","5,0,3,403.861,541.939"
"3117","5,0,3,396.761,537.123"
"3118","5,0,3,389.547,532.429"
"3119","5,0,3,382.218,527.839"
"3120","5,0,3,367.2,518.9"
"3121","5,0,3,367.2,518.9"
"3122","5,0,3,348.623,508.283"
"3123","5,0,3,330.113,497.488"
"3124","5,0,3,321.031,491.979"
"3125","5,0,3,312.145,486.373"
"3126","5,0,3,303.515,480.653"
"3127","5,0,3,295.2,474.8"
"3128","5,0,3,295.2,474.8"
