"","s.v.i.x.y"
"4346","5,0,6,246.583,364.708"
"4347","5,0,6,247.909,360.936"
"4348","5,0,6,249.406,357.269"
"4349","5,0,6,251.072,353.709"
"4350","5,0,6,252.903,350.258"
"4351","5,0,6,254.896,346.919"
"4352","5,0,6,257.051,343.693"
"4353","5,0,6,259.363,340.582"
"4354","5,0,6,261.83,337.588"
"4355","5,0,6,264.45,334.712"
"4356","5,0,6,267.22,331.958"
"4357","5,0,6,270.137,329.327"
"4358","5,0,6,273.199,326.821"
"4359","5,0,6,276.404,324.442"
"4360","5,0,6,279.747,322.192"
"4361","5,0,6,283.228,320.072"
"4362","5,0,6,286.844,318.085"
"4363","5,0,6,290.591,316.233"
"4364","5,0,6,294.467,314.517"
"4365","5,0,6,298.47,312.94"
"4366","5,0,6,302.597,311.504"
"4367","5,0,6,306.845,310.21"
"4368","5,0,6,311.212,309.061"
"4369","5,0,6,315.695,308.058"
"4370","5,0,6,320.292,307.204"
"4371","5,0,6,325,306.5"
"4372","5,0,6,325,306.5"
"4373","5,0,6,324.339,315.52"
"4374","5,0,6,323.816,324.528"
"4375","5,0,6,322.95,342.65"
"4376","5,0,6,321.934,361.147"
"4377","5,0,6,321.224,370.624"
"4378","5,0,6,320.3,380.3"
"4379","5,0,6,320.3,380.3"
"4380","5,0,6,311.629,380.745"
"4381","5,0,6,302.698,381.497"
"4382","5,0,6,293.485,382.582"
"4383","5,0,6,283.962,384.025"
"4384","5,0,6,274.108,385.853"
"4385","5,0,6,263.895,388.091"
"4386","5,0,6,253.301,390.764"
"4387","5,0,6,242.3,393.9"
"4388","5,0,6,NA,NA"
"4389","NA,NA,NA,NA,NA"
"4390","5,0,7,615.7,284"
"4391","5,0,7,629.813,281.611"
"4392","5,0,7,643.106,279.688"
"4393","5,0,7,655.659,278.226"
"4394","5,0,7,667.552,277.217"
"4395","5,0,7,678.863,276.656"
"4396","5,0,7,689.674,276.535"
"4397","5,0,7,700.064,276.847"
"4398","5,0,7,710.112,277.587"
"4399","5,0,7,719.9,278.748"
"4400","5,0,7,729.506,280.323"
"4401","5,0,7,739.01,282.306"
"4402","5,0,7,748.492,284.689"
"4403","5,0,7,758.033,287.467"
"4404","5,0,7,767.711,290.632"
"4405","5,0,7,777.607,294.179"
"4406","5,0,7,787.8,298.1"
"4407","5,0,7,787.8,298.1"
"4408","5,0,7,786.443,308.169"
"4409","5,0,7,784.879,317.982"
"4410","5,0,7,783.099,327.547"
"4411","5,0,7,781.097,336.873"
"4412","5,0,7,778.864,345.97"
"4413","5,0,7,776.392,354.844"
"4414","5,0,7,773.673,363.505"
"4415","5,0,7,770.7,371.962"
"4416","5,0,7,767.464,380.224"
"4417","5,0,7,763.958,388.298"
"4418","5,0,7,760.174,396.194"
"4419","5,0,7,756.103,403.92"
"4420","5,0,7,751.738,411.485"
"4421","5,0,7,747.071,418.898"
"4422","5,0,7,742.095,426.167"
"4423","5,0,7,736.8,433.3"
"4424","5,0,7,736.8,433.3"
"4425","5,0,7,732.988,428.089"
"4426","5,0,7,728.872,423.355"
"4427","5,0,7,724.465,419.079"
"4428","5,0,7,719.781,415.241"
"4429","5,0,7,714.832,411.821"
"4430","5,0,7,709.631,408.8"
"4431","5,0,7,704.191,406.158"
"4432","5,0,7,698.525,403.875"
"4433","5,0,7,692.646,401.932"
"4434","5,0,7,686.566,400.31"
"4435","5,0,7,680.298,398.988"
"4436","5,0,7,673.856,397.947"
"4437","5,0,7,667.253,397.167"
"4438","5,0,7,660.5,396.629"
"4439","5,0,7,653.612,396.313"
"4440","5,0,7,646.6,396.2"
"4441","5,0,7,646.6,396.2"
"4442","5,0,7,639.902,366.688"
"4443","5,0,7,636.551,351.98"
"4444","5,0,7,633.062,337.475"
"4445","5,0,7,629.335,323.298"
"4446","5,0,7,625.267,309.575"
"4447","5,0,7,623.073,302.924"
"4448","5,0,7,620.756,296.434"
"4449","5,0,7,618.303,290.12"
"4450","5,0,7,615.7,284"
"4451","5,0,7,NA,NA"
"4452","NA,NA,NA,NA,NA"
"4453","5,0,8,325,306.5"
"4454","5,0,8,331.701,305.748"
"4455","5,0,8,338.558,305.206"
"4456","5,0,8,345.559,304.854"
"4457","5,0,8,352.691,304.677"
"4458","5,0,8,367.296,304.769"
"4459","5,0,8,382.275,305.337"
"4460","5,0,8,397.525,306.239"
"4461","5,0,8,412.947,307.33"
"4462","5,0,8,443.9,309.5"
"4463","5,0,8,443.9,309.5"
"4464","5,0,8,440.762,319.691"
"4465","5,0,8,437.842,330.125"
"4466","5,0,8,435.099,340.747"
"4467","5,0,8,432.488,351.5"
"4468","5,0,8,427.489,373.175"
"4469","5,0,8,422.5,394.7"
"4470","5,0,8,422.5,394.7"
"4471","5,0,8,398.488,389.061"
"4472","5,0,8,386.366,386.461"
"4473","5,0,8,374.025,384.163"
"4474","5,0,8,361.355,382.281"
"4475","5,0,8,354.864,381.533"
"4476","5,0,8,348.25,380.933"
"4477","5,0,8,341.5,380.495"
"4478","5,0,8,334.601,380.234"
"4479","5,0,8,327.539,380.164"
"4480","5,0,8,320.3,380.3"
"4481","5,0,8,320.3,380.3"
"4482","5,0,8,321.224,370.624"
"4483","5,0,8,321.934,361.147"
"4484","5,0,8,322.95,342.65"
"4485","5,0,8,323.816,324.528"
"4486","5,0,8,324.339,315.52"
"4487","5,0,8,325,306.5"
"4488","5,0,8,NA,NA"
"4489","NA,NA,NA,NA,NA"
"4490","5,0,9,757,723.2"
"4491","5,0,9,747.538,724.688"
"4492","5,0,9,738.367,725.958"
"4493","5,0,9,729.451,726.994"
"4494","5,0,9,720.755,727.786"
"4495","5,0,9,712.243,728.319"
"4496","5,0,9,703.881,728.581"
"4497","5,0,9,695.632,728.558"
"4498","5,0,9,687.462,728.238"
"4499","5,0,9,679.336,727.607"
"4500","5,0,9,671.218,726.652"
"4501","5,0,9,663.072,725.361"
"4502","5,0,9,654.864,723.72"
"4503","5,0,9,646.558,721.717"
"4504","5,0,9,638.119,719.338"
"4505","5,0,9,629.511,716.57"
"4506","5,0,9,620.7,713.4"
"4507","5,0,9,620.7,713.4"
"4508","5,0,9,616.933,717.711"
"4509","5,0,9,613.17,721.689"
"4510","5,0,9,609.412,725.343"
"4511","5,0,9,605.66,728.681"
"4512","5,0,9,601.913,731.713"
"4513","5,0,9,598.173,734.448"
"4514","5,0,9,594.439,736.895"
"4515","5,0,9,590.714,739.064"
"4516","5,0,9,586.997,740.964"
"4517","5,0,9,583.289,742.603"
"4518","5,0,9,579.59,743.991"
"4519","5,0,9,575.902,745.137"
"4520","5,0,9,572.225,746.051"
"4521","5,0,9,568.558,746.741"
"4522","5,0,9,564.904,747.217"
"4523","5,0,9,561.263,747.488"
"4524","5,0,9,557.634,747.562"
"4525","5,0,9,554.019,747.45"
"4526","5,0,9,550.419,747.16"
"4527","5,0,9,546.834,746.702"
"4528","5,0,9,543.264,746.084"
"4529","5,0,9,539.711,745.316"
"4530","5,0,9,532.655,743.367"
"4531","5,0,9,525.671,740.928"
"4532","5,0,9,518.764,738.071"
"4533","5,0,9,511.939,734.871"
"4534","5,0,9,505.2,731.4"
"4535","5,0,9,505.2,731.4"
"4536","5,0,9,497.022,741.18"
"4537","5,0,9,488.911,750.363"
"4538","5,0,9,480.807,758.973"
"4539","5,0,9,472.65,767.037"
"4540","5,0,9,464.381,774.582"
"4541","5,0,9,455.939,781.631"
"4542","5,0,9,447.265,788.212"
"4543","5,0,9,438.3,794.35"
"4544","5,0,9,428.983,800.071"
"4545","5,0,9,419.255,805.4"
"4546","5,0,9,409.055,810.364"
"4547","5,0,9,398.325,814.988"
"4548","5,0,9,387.004,819.297"
"4549","5,0,9,375.033,823.319"
"4550","5,0,9,362.351,827.078"
"4551","5,0,9,348.9,830.6"
"4552","5,0,9,348.9,830.6"
"4553","5,0,9,352.758,836.081"
"4554","5,0,9,356.775,841.439"
"4555","5,0,9,360.947,846.672"
"4556","5,0,9,365.27,851.775"
"4557","5,0,9,369.741,856.746"
"4558","5,0,9,374.356,861.582"
"4559","5,0,9,379.113,866.278"
"4560","5,0,9,384.008,870.831"
"4561","5,0,9,389.037,875.239"
"4562","5,0,9,394.197,879.497"
"4563","5,0,9,399.484,883.602"
"4564","5,0,9,404.895,887.551"
"4565","5,0,9,410.427,891.34"
"4566","5,0,9,416.076,894.967"
"4567","5,0,9,421.839,898.427"
"4568","5,0,9,427.712,901.718"
"4569","5,0,9,433.693,904.835"
"4570","5,0,9,439.776,907.775"
"4571","5,0,9,445.96,910.536"
"4572","5,0,9,452.241,913.114"
"4573","5,0,9,458.615,915.504"
"4574","5,0,9,465.078,917.705"
"4575","5,0,9,471.628,919.712"
"4576","5,0,9,478.261,921.522"
"4577","5,0,9,484.973,923.133"
"4578","5,0,9,491.762,924.539"
"4579","5,0,9,498.623,925.738"
"4580","5,0,9,505.554,926.727"
"4581","5,0,9,512.55,927.502"
"4582","5,0,9,519.609,928.06"
"4583","5,0,9,526.727,928.397"
"4584","5,0,9,533.9,928.51"
"4585","5,0,9,544.834,928.247"
"4586","5,0,9,555.635,927.467"
"4587","5,0,9,566.29,926.18"
"4588","5,0,9,576.787,924.401"
"4589","5,0,9,587.114,922.14"
"4590","5,0,9,597.258,919.409"
"4591","5,0,9,607.208,916.221"
"4592","5,0,9,616.952,912.588"
"4593","5,0,9,626.476,908.522"
"4594","5,0,9,635.769,904.034"
"4595","5,0,9,644.818,899.138"
"4596","5,0,9,653.612,893.845"
"4597","5,0,9,662.138,888.166"
"4598","5,0,9,670.384,882.115"
"4599","5,0,9,678.338,875.703"
"4600","5,0,9,685.987,868.942"
"4601","5,0,9,693.32,861.845"
"4602","5,0,9,700.324,854.423"
"4603","5,0,9,706.986,846.689"
"4604","5,0,9,713.296,838.655"
"4605","5,0,9,719.239,830.332"
"4606","5,0,9,724.805,821.732"
"4607","5,0,9,729.981,812.869"
"4608","5,0,9,734.755,803.753"
"4609","5,0,9,739.114,794.397"
"4610","5,0,9,743.047,784.814"
"4611","5,0,9,746.541,775.014"
"4612","5,0,9,749.583,765.011"
"4613","5,0,9,752.163,754.816"
"4614","5,0,9,754.267,744.441"
"4615","5,0,9,755.883,733.898"
"4616","5,0,9,757,723.2"
"4617","5,0,9,NA,NA"
"4618","NA,NA,NA,NA,NA"
"4619","5,0,10,620.7,713.4"
"4620","5,0,10,609.726,709.36"
"4621","5,0,10,599.359,705.195"
"4622","5,0,10,589.569,700.911"
"4623","5,0,10,580.325,696.512"
"4624","5,0,10,571.596,692.006"
"4625","5,0,10,563.353,687.398"
"4626","5,0,10,555.564,682.694"
"4627","5,0,10,548.2,677.9"
"4628","5,0,10,548.2,677.9"
"4629","5,0,10,542.247,684.715"
"4630","5,0,10,536.573,691.505"
"4631","5,0,10,525.837,704.988"
"4632","5,0,10,515.533,718.302"
"4633","5,0,10,505.2,731.4"
"4634","5,0,10,505.2,731.4"
"4635","5,0,10,511.939,734.871"
"4636","5,0,10,518.764,738.071"
"4637","5,0,10,525.671,740.928"
"4638","5,0,10,532.655,743.367"
"4639","5,0,10,539.711,745.316"
"4640","5,0,10,543.264,746.084"
"4641","5,0,10,546.834,746.702"
"4642","5,0,10,550.419,747.16"
"4643","5,0,10,554.019,747.45"
"4644","5,0,10,557.634,747.562"
"4645","5,0,10,561.263,747.488"
"4646","5,0,10,564.904,747.217"
"4647","5,0,10,568.558,746.741"
"4648","5,0,10,572.225,746.051"
"4649","5,0,10,575.902,745.137"
"4650","5,0,10,579.59,743.991"
"4651","5,0,10,583.289,742.603"
"4652","5,0,10,586.997,740.964"
"4653","5,0,10,590.714,739.064"
"4654","5,0,10,594.439,736.895"
"4655","5,0,10,598.173,734.448"
"4656","5,0,10,601.913,731.713"
"4657","5,0,10,605.66,728.681"
"4658","5,0,10,609.412,725.343"
"4659","5,0,10,613.17,721.689"
"4660","5,0,10,616.933,717.711"
"4661","5,0,10,620.7,713.4"
"4662","5,0,10,NA,NA"
"4663","NA,NA,NA,NA,NA"
"4664","5,0,11,538,304.3"
"4665","5,0,11,548.385,302.046"
"4666","5,0,11,558.438,299.595"
"4667","5,0,11,568.227,297.007"
"4668","5,0,11,577.825,294.337"
"4669","5,0,11,596.725,288.986"
"4670","5,0,11,606.168,286.419"
"4671","5,0,11,615.7,284"
"4672","5,0,11,615.7,284"
"4673","5,0,11,611.147,275.863"
"4674","5,0,11,606.228,268.17"
"4675","5,0,11,603.631,264.504"
"4676","5,0,11,600.943,260.966"
"4677","5,0,11,598.164,257.562"
"4678","5,0,11,595.294,254.297"
"4679","5,0,11,592.333,251.177"
"4680","5,0,11,589.281,248.208"
"4681","5,0,11,586.139,245.395"
"4682","5,0,11,582.906,242.744"
"4683","5,0,11,579.583,240.261"
"4684","5,0,11,576.171,237.951"
"4685","5,0,11,572.668,235.821"
"4686","5,0,11,569.075,233.875"
"4687","5,0,11,565.393,232.12"
"4688","5,0,11,561.621,230.56"
"4689","5,0,11,557.76,229.203"
"4690","5,0,11,553.809,228.053"
"4691","5,0,11,549.77,227.116"
"4692","5,0,11,545.642,226.398"
"4693","5,0,11,541.424,225.904"
"4694","5,0,11,537.119,225.641"
"4695","5,0,11,532.725,225.613"
"4696","5,0,11,528.242,225.827"
"4697","5,0,11,523.671,226.288"
"4698","5,0,11,519.013,227.002"
"4699","5,0,11,514.266,227.974"
"4700","5,0,11,509.431,229.211"
"4701","5,0,11,504.509,230.718"
"4702","5,0,11,499.5,232.5"
"4703","5,0,11,499.5,232.5"
"4704","5,0,11,506.199,242.263"
"4705","5,0,11,512.294,251.763"
"4706","5,0,11,517.816,261.019"
"4707","5,0,11,522.8,270.05"
"4708","5,0,11,527.277,278.875"
"4709","5,0,11,531.281,287.513"
"4710","5,0,11,534.845,295.981"
"4711","5,0,11,538,304.3"
"4712","5,0,11,NA,NA"
"4713","NA,NA,NA,NA,NA"
"4714","5,0,12,443.9,309.5"
"4715","5,0,12,456.204,310.109"
"4716","5,0,12,468.306,310.417"
"4717","5,0,12,480.23,310.395"
"4718","5,0,12,492,310.013"
"4719","5,0,12,503.638,309.241"
"4720","5,0,12,515.169,308.052"
"4721","5,0,12,526.615,306.414"
"4722","5,0,12,538,304.3"
"4723","5,0,12,538,304.3"
"4724","5,0,12,534.845,295.981"
"4725","5,0,12,531.281,287.513"
"4726","5,0,12,527.277,278.875"
"4727","5,0,12,522.8,270.05"
"4728","5,0,12,517.816,261.019"
"4729","5,0,12,512.294,251.763"
"4730","5,0,12,506.199,242.263"
"4731","5,0,12,499.5,232.5"
"4732","5,0,12,499.5,232.5"
"4733","5,0,12,494.285,235.091"
"4734","5,0,12,489.359,238.052"
"4735","5,0,12,484.708,241.368"
"4736","5,0,12,480.322,245.023"
"4737","5,0,12,476.187,249.001"
"4738","5,0,12,472.293,253.286"
"4739","5,0,12,468.626,257.862"
"4740","5,0,12,465.175,262.712"
"4741","5,0,12,461.928,267.822"
"4742","5,0,12,458.873,273.175"
"4743","5,0,12,455.998,278.755"
"4744","5,0,12,453.291,284.545"
"4745","5,0,12,450.739,290.531"
"4746","5,0,12,448.332,296.696"
"4747","5,0,12,446.056,303.025"
"4748","5,0,12,443.9,309.5"
"4749","5,0,12,NA,NA"
"4750","NA,NA,NA,NA,NA"
"4751","5,0,13,757,723.2"
"4752","5,0,13,747.538,724.688"
"4753","5,0,13,738.367,725.958"
"4754","5,0,13,729.451,726.994"
"4755","5,0,13,720.755,727.786"
"4756","5,0,13,712.243,728.319"
"4757","5,0,13,703.881,728.581"
"4758","5,0,13,695.632,728.558"
"4759","5,0,13,687.462,728.238"
"4760","5,0,13,679.336,727.607"
"4761","5,0,13,671.218,726.652"
"4762","5,0,13,663.072,725.361"
"4763","5,0,13,654.864,723.72"
"4764","5,0,13,646.558,721.717"
"4765","5,0,13,638.119,719.338"
"4766","5,0,13,629.511,716.57"
"4767","5,0,13,620.7,713.4"
"4768","5,0,13,620.7,713.4"
"4769","5,0,13,624.76,708.016"
"4770","5,0,13,628.219,702.482"
"4771","5,0,13,631.102,696.804"
"4772","5,0,13,633.434,690.988"
"4773","5,0,13,635.24,685.04"
"4774","5,0,13,636.545,678.968"
"4775","5,0,13,637.373,672.777"
"4776","5,0,13,637.75,666.475"
"4777","5,0,13,637.7,660.067"
"4778","5,0,13,637.249,653.56"
"4779","5,0,13,636.421,646.961"
"4780","5,0,13,635.241,640.275"
"4781","5,0,13,633.734,633.51"
"4782","5,0,13,631.925,626.671"
"4783","5,0,13,629.838,619.766"
"4784","5,0,13,627.5,612.8"
"4785","5,0,13,627.5,612.8"
"4786","5,0,13,651.794,597.534"
"4787","5,0,13,663.852,589.917"
"4788","5,0,13,675.675,582.25"
"4789","5,0,13,687.133,574.489"
"4790","5,0,13,698.094,566.591"
"4791","5,0,13,703.347,562.575"
"4792","5,0,13,708.427,558.509"
"4793","5,0,13,713.316,554.386"
"4794","5,0,13,718,550.2"
"4795","5,0,13,718,550.2"
"4796","5,0,13,723.449,560.113"
"4797","5,0,13,728.506,569.606"
"4798","5,0,13,733.171,578.794"
"4799","5,0,13,737.439,587.792"
"4800","5,0,13,741.31,596.717"
"4801","5,0,13,744.78,605.685"
"4802","5,0,13,747.849,614.812"
"4803","5,0,13,750.513,624.212"
"4804","5,0,13,752.77,634.003"
"4805","5,0,13,754.618,644.301"
"4806","5,0,13,756.056,655.22"
"4807","5,0,13,757.08,666.877"
"4808","5,0,13,757.688,679.387"
"4809","5,0,13,757.879,692.867"
"4810","5,0,13,757.651,707.433"
"4811","5,0,13,757,723.2"
"4812","5,0,13,NA,NA"
"4813","NA,NA,NA,NA,NA"
"4814","5,0,14,620.7,713.4"
"4815","5,0,14,609.726,709.36"
"4816","5,0,14,599.359,705.195"
"4817","5,0,14,589.569,700.911"
"4818","5,0,14,580.325,696.512"
"4819","5,0,14,571.596,692.006"
"4820","5,0,14,563.353,687.398"
"4821","5,0,14,555.564,682.694"
"4822","5,0,14,548.2,677.9"
"4823","5,0,14,548.2,677.9"
"4824","5,0,14,556.886,668.532"
"4825","5,0,14,565.864,659.656"
"4826","5,0,14,575.163,651.202"
"4827","5,0,14,584.812,643.1"
"4828","5,0,14,594.842,635.279"
"4829","5,0,14,605.28,627.669"
"4830","5,0,14,616.156,620.199"
"4831","5,0,14,627.5,612.8"
"4832","5,0,14,627.5,612.8"
"4833","5,0,14,629.838,619.766"
"4834","5,0,14,631.925,626.671"
"4835","5,0,14,633.734,633.51"
"4836","5,0,14,635.241,640.275"
"4837","5,0,14,636.421,646.961"
"4838","5,0,14,637.249,653.56"
"4839","5,0,14,637.7,660.067"
"4840","5,0,14,637.75,666.475"
"4841","5,0,14,637.373,672.777"
"4842","5,0,14,636.545,678.968"
"4843","5,0,14,635.24,685.04"
"4844","5,0,14,633.434,690.988"
"4845","5,0,14,631.102,696.804"
"4846","5,0,14,628.219,702.482"
"4847","5,0,14,624.76,708.016"
"4848","5,0,14,620.7,713.4"
"4849","5,0,14,NA,NA"
"4850","NA,NA,NA,NA,NA"
"4851","5,0,15,538,304.3"
"4852","5,0,15,548.385,302.046"
"4853","5,0,15,558.438,299.595"
"4854","5,0,15,568.227,297.007"
"4855","5,0,15,577.825,294.337"
"4856","5,0,15,596.725,288.986"
"4857","5,0,15,606.168,286.419"
"4858","5,0,15,615.7,284"
"4859","5,0,15,615.7,284"
"4860","5,0,15,618.303,290.12"
"4861","5,0,15,620.756,296.434"
"4862","5,0,15,623.073,302.924"
"4863","5,0,15,625.267,309.575"
"4864","5,0,15,629.335,323.298"
"4865","5,0,15,633.062,337.475"
"4866","5,0,15,636.551,351.98"
"4867","5,0,15,639.902,366.688"
"4868","5,0,15,646.6,396.2"
"4869","5,0,15,646.6,396.2"
"4870","5,0,15,635.723,396.371"
"4871","5,0,15,624.645,396.913"
"4872","5,0,15,613.411,397.754"
"4873","5,0,15,602.062,398.825"
"4874","5,0,15,579.198,401.375"
"4875","5,0,15,556.4,404"
"4876","5,0,15,556.4,404"
"4877","5,0,15,554.003,379.83"
"4878","5,0,15,552.6,367.699"
"4879","5,0,15,550.875,355.462"
"4880","5,0,15,548.691,343.062"
"4881","5,0,15,547.384,336.782"
"4882","5,0,15,545.909,330.439"
"4883","5,0,15,544.251,324.027"
"4884","5,0,15,542.392,317.538"
"4885","5,0,15,540.314,310.964"
"4886","5,0,15,538,304.3"
"4887","5,0,15,NA,NA"
"4888","NA,NA,NA,NA,NA"
"4889","5,0,16,443.9,309.5"
"4890","5,0,16,456.204,310.109"
"4891","5,0,16,468.306,310.417"
"4892","5,0,16,480.23,310.395"
"4893","5,0,16,492,310.013"
"4894","5,0,16,503.638,309.241"
"4895","5,0,16,515.169,308.052"
"4896","5,0,16,526.615,306.414"
"4897","5,0,16,538,304.3"
"4898","5,0,16,538,304.3"
"4899","5,0,16,540.314,310.964"
"4900","5,0,16,542.392,317.538"
"4901","5,0,16,544.251,324.027"
"4902","5,0,16,545.909,330.439"
"4903","5,0,16,547.384,336.782"
"4904","5,0,16,548.691,343.062"
"4905","5,0,16,550.875,355.462"
"4906","5,0,16,552.6,367.699"
"4907","5,0,16,554.003,379.83"
"4908","5,0,16,556.4,404"
"4909","5,0,16,556.4,404"
"4910","5,0,16,539.663,405.54"
"4911","5,0,16,531.378,406.075"
"4912","5,0,16,523.131,406.442"
"4913","5,0,16,514.911,406.633"
"4914","5,0,16,506.703,406.638"
"4915","5,0,16,498.496,406.451"
"4916","5,0,16,490.275,406.062"
"4917","5,0,16,482.029,405.464"
"4918","5,0,16,473.744,404.647"
"4919","5,0,16,465.407,403.604"
"4920","5,0,16,457.006,402.327"
"4921","5,0,16,448.528,400.806"
"4922","5,0,16,439.959,399.033"
"4923","5,0,16,431.288,397.001"
"4924","5,0,16,422.5,394.7"
"4925","5,0,16,422.5,394.7"
"4926","5,0,16,427.489,373.175"
"4927","5,0,16,432.488,351.5"
"4928","5,0,16,435.099,340.747"
"4929","5,0,16,437.842,330.125"
"4930","5,0,16,440.762,319.691"
"4931","5,0,16,443.9,309.5"
"4932","5,0,16,NA,NA"
"4933","NA,NA,NA,NA,NA"
"4934","5,0,17,310.4,692.4"
"4935","5,0,17,310.328,703.406"
"4936","5,0,17,310.565,713.879"
"4937","5,0,17,311.117,723.866"
"4938","5,0,17,311.986,733.414"
"4939","5,0,17,313.178,742.569"
"4940","5,0,17,314.698,751.376"
"4941","5,0,17,316.549,759.884"
"4942","5,0,17,318.738,768.137"
"4943","5,0,17,321.267,776.184"
"4944","5,0,17,324.141,784.069"
"4945","5,0,17,327.366,791.84"
"4946","5,0,17,330.945,799.542"
"4947","5,0,17,334.884,807.223"
"4948","5,0,17,339.186,814.929"
"4949","5,0,17,343.857,822.706"
"4950","5,0,17,348.9,830.6"
"4951","5,0,17,348.9,830.6"
"4952","5,0,17,338.574,832.804"
"4953","5,0,17,328.231,834.509"
"4954","5,0,17,317.885,835.721"
"4955","5,0,17,307.553,836.447"
"4956","5,0,17,297.249,836.693"
"4957","5,0,17,286.988,836.467"
"4958","5,0,17,276.785,835.775"
"4959","5,0,17,266.656,834.623"
"4960","5,0,17,256.615,833.02"
"4961","5,0,17,246.678,830.97"
"4962","5,0,17,236.859,828.481"
"4963","5,0,17,227.174,825.56"
"4964","5,0,17,217.638,822.214"
"4965","5,0,17,208.265,818.448"
"4966","5,0,17,199.072,814.271"
"4967","5,0,17,190.072,809.688"
"4968","5,0,17,181.282,804.706"
"4969","5,0,17,172.716,799.332"
"4970","5,0,17,164.389,793.573"
"4971","5,0,17,156.317,787.435"
"4972","5,0,17,148.514,780.925"
"4973","5,0,17,140.996,774.051"
"4974","5,0,17,133.777,766.818"
"4975","5,0,17,126.873,759.233"
"4976","5,0,17,120.299,751.303"
"4977","5,0,17,114.069,743.035"
"4978","5,0,17,108.2,734.435"
"4979","5,0,17,102.705,725.511"
"4980","5,0,17,97.601,716.269"
"4981","5,0,17,92.902,706.715"
"4982","5,0,17,88.623,696.856"
"4983","5,0,17,84.78,686.7"
"4984","5,0,17,82.38,679.627"
"4985","5,0,17,80.231,672.528"
"4986","5,0,17,78.33,665.41"
"4987","5,0,17,76.674,658.276"
"4988","5,0,17,75.261,651.132"
"4989","5,0,17,74.09,643.983"
"4990","5,0,17,73.157,636.834"
"4991","5,0,17,72.46,629.689"
"4992","5,0,17,71.997,622.554"
"4993","5,0,17,71.765,615.433"
"4994","5,0,17,71.763,608.332"
"4995","5,0,17,71.988,601.254"
"4996","5,0,17,72.437,594.207"
"4997","5,0,17,73.108,587.193"
"4998","5,0,17,73.999,580.218"
"4999","5,0,17,75.108,573.288"
"5000","5,0,17,76.431,566.406"
"5001","5,0,17,77.967,559.578"
"5002","5,0,17,79.714,552.809"
"5003","5,0,17,81.669,546.103"
"5004","5,0,17,83.829,539.467"
"5005","5,0,17,86.193,532.903"
"5006","5,0,17,88.758,526.419"
"5007","5,0,17,91.522,520.017"
"5008","5,0,17,94.481,513.704"
"5009","5,0,17,97.635,507.484"
"5010","5,0,17,100.981,501.363"
"5011","5,0,17,104.515,495.344"
"5012","5,0,17,108.237,489.434"
"5013","5,0,17,112.143,483.636"
"5014","5,0,17,116.232,477.957"
"5015","5,0,17,120.5,472.4"
"5016","5,0,17,120.5,472.4"
"5017","5,0,17,127.263,483.296"
"5018","5,0,17,134.044,493.247"
"5019","5,0,17,140.887,502.344"
"5020","5,0,17,147.834,510.68"
"5021","5,0,17,154.931,518.347"
"5022","5,0,17,162.22,525.438"
"5023","5,0,17,169.745,532.046"
"5024","5,0,17,177.55,538.262"
"5025","5,0,17,185.678,544.18"
"5026","5,0,17,194.174,549.891"
"5027","5,0,17,203.08,555.488"
"5028","5,0,17,212.441,561.064"
"5029","5,0,17,232.7,572.521"
"5030","5,0,17,255.3,585"
"5031","5,0,17,255.3,585"
"5032","5,0,17,254.303,589.8"
"5033","5,0,17,253.486,594.505"
"5034","5,0,17,252.85,599.117"
"5035","5,0,17,252.393,603.634"
"5036","5,0,17,252.115,608.057"
"5037","5,0,17,252.016,612.387"
"5038","5,0,17,252.094,616.623"
"5039","5,0,17,252.35,620.766"
"5040","5,0,17,252.783,624.815"
"5041","5,0,17,253.392,628.77"
"5042","5,0,17,254.178,632.633"
"5043","5,0,17,255.138,636.402"
"5044","5,0,17,256.274,640.078"
"5045","5,0,17,257.584,643.662"
"5046","5,0,17,259.068,647.152"
"5047","5,0,17,260.725,650.55"
"5048","5,0,17,262.555,653.855"
"5049","5,0,17,264.558,657.068"
"5050","5,0,17,266.732,660.189"
"5051","5,0,17,269.077,663.217"
"5052","5,0,17,271.594,666.153"
"5053","5,0,17,274.28,668.997"
"5054","5,0,17,277.137,671.749"
"5055","5,0,17,280.163,674.409"
"5056","5,0,17,283.357,676.978"
"5057","5,0,17,286.72,679.455"
"5058","5,0,17,290.25,681.841"
"5059","5,0,17,293.948,684.135"
"5060","5,0,17,297.812,686.338"
"5061","5,0,17,301.842,688.449"
"5062","5,0,17,306.039,690.47"
"5063","5,0,17,310.4,692.4"
"5064","5,0,17,NA,NA"
"5065","NA,NA,NA,NA,NA"
"5066","5,0,18,295.2,474.8"
"5067","5,0,18,289.633,470.618"
"5068","5,0,18,284.273,466.353"
"5069","5,0,18,279.138,461.998"
"5070","5,0,18,274.25,457.547"
"5071","5,0,18,269.629,452.991"
"5072","5,0,18,265.296,448.324"
"5073","5,0,18,261.271,443.538"
"5074","5,0,18,257.575,438.625"
"5075","5,0,18,254.228,433.579"
"5076","5,0,18,251.251,428.392"
"5077","5,0,18,248.664,423.056"
"5078","5,0,18,246.488,417.566"
"5079","5,0,18,244.742,411.912"
"5080","5,0,18,243.449,406.088"
"5081","5,0,18,242.628,400.086"
"5082","5,0,18,242.3,393.9"
"5083","5,0,18,242.3,393.9"
"5084","5,0,18,233.668,396.628"
"5085","5,0,18,225.238,399.607"
