"","Plant.id","Env","Gen","Fam","Site","Year","varb","resp","id","root","fit"
"338.Surv","S07011903","SF 2007","X","X.589","SF","2007","Surv",0,338,1,0
"339.Surv","S07012001","SF 2007","X","X.589","SF","2007","Surv",0,339,1,0
"340.Surv","S07011016","SF 2007","X","X.000","SF","2007","Surv",1,340,1,0
"341.Surv","S07010209","SF 2007","X","X.187","SF","2007","Surv",1,341,1,0
"342.Surv","S07010617","SF 2007","X","X.489","SF","2007","Surv",1,342,1,0
"343.Surv","S07011419","SF 2007","X","X.187","SF","2007","Surv",1,343,1,0
"344.Surv","S07010511","SF 2007","X","X.000","SF","2007","Surv",1,344,1,0
"345.Surv","S07010619","SF 2007","X","X.187","SF","2007","Surv",1,345,1,0
"346.Surv","S07021018","SF 2007","M","M.389","SF","2007","Surv",0,346,1,0
"347.Surv","S07020406","SF 2007","M","M.389","SF","2007","Surv",0,347,1,0
"348.Surv","S07020511","SF 2007","M","M.686","SF","2007","Surv",1,348,1,0
"349.Surv","S07020518","SF 2007","M","M.2084","SF","2007","Surv",1,349,1,0
"350.Surv","S07021911","SF 2007","M","M.289","SF","2007","Surv",1,350,1,0
"351.Surv","S07020603","SF 2007","M","M.2084","SF","2007","Surv",1,351,1,0
"352.Surv","S07021712","SF 2007","M","M.000","SF","2007","Surv",1,352,1,0
"353.Surv","S07020410","SF 2007","M","M.000","SF","2007","Surv",1,353,1,0
"354.Surv","S07021901","SF 2007","M","M.1086","SF","2007","Surv",1,354,1,0
"355.Surv","S07020708","SF 2007","M","M.686","SF","2007","Surv",1,355,1,0
"356.Surv","S07021809","SF 2007","M","M.2084","SF","2007","Surv",1,356,1,0
"357.Surv","S07020316","SF 2007","M","M.289","SF","2007","Surv",1,357,1,0
"358.Surv","S07020613","SF 2007","M","M.1086","SF","2007","Surv",1,358,1,0
"359.Surv","S07021202","SF 2007","M","M.000","SF","2007","Surv",1,359,1,0
"360.Surv","S07020501","SF 2007","M","M.686","SF","2007","Surv",1,360,1,0
"361.Surv","S07020102","SF 2007","M","M.289","SF","2007","Surv",1,361,1,0
"362.Surv","S07020220","SF 2007","X","X.187","SF","2007","Surv",0,362,1,0
"363.Surv","S07020807","SF 2007","X","X.000","SF","2007","Surv",0,363,1,0
"364.Surv","S07020808","SF 2007","X","X.589","SF","2007","Surv",0,364,1,0
"365.Surv","S07020907","SF 2007","X","X.489","SF","2007","Surv",0,365,1,0
"366.Surv","S07021206","SF 2007","X","X.000","SF","2007","Surv",0,366,1,0
"367.Surv","S07021210","SF 2007","X","X.287","SF","2007","Surv",0,367,1,0
"368.Surv","S07021216","SF 2007","X","X.489","SF","2007","Surv",0,368,1,0
"369.Surv","S07021303","SF 2007","X","X.589","SF","2007","Surv",0,369,1,0
"370.Surv","S07021401","SF 2007","X","X.187","SF","2007","Surv",0,370,1,0
"371.Surv","S07021408","SF 2007","X","X.187","SF","2007","Surv",0,371,1,0
"372.Surv","S07021413","SF 2007","X","X.189","SF","2007","Surv",0,372,1,0
"373.Surv","S07021915","SF 2007","X","X.189","SF","2007","Surv",0,373,1,0
"374.Surv","S07022004","SF 2007","X","X.489","SF","2007","Surv",0,374,1,0
"375.Surv","S07021802","SF 2007","X","X.000","SF","2007","Surv",1,375,1,0
"376.Surv","S07021215","SF 2007","X","X.287","SF","2007","Surv",1,376,1,0
"377.Surv","S07020713","SF 2007","X","X.287","SF","2007","Surv",1,377,1,0
"378.Surv","S07021513","SF 2007","X","X.589","SF","2007","Surv",1,378,1,0
"379.Surv","S07020413","SF 2007","X","X.189","SF","2007","Surv",1,379,1,0
"380.Surv","S07031509","SF 2007","M","M.686","SF","2007","Surv",0,380,1,0
"381.Surv","S07031414","SF 2007","M","M.1086","SF","2007","Surv",0,381,1,0
"382.Surv","S07030314","SF 2007","M","M.289","SF","2007","Surv",0,382,1,0
"383.Surv","S07030413","SF 2007","M","M.389","SF","2007","Surv",0,383,1,0
"384.Surv","S07030909","SF 2007","M","M.2084","SF","2007","Surv",0,384,1,0
"385.Surv","S07031415","SF 2007","M","M.389","SF","2007","Surv",0,385,1,0
"386.Surv","S07031417","SF 2007","M","M.000","SF","2007","Surv",1,386,1,0
"387.Surv","S07031715","SF 2007","M","M.1086","SF","2007","Surv",1,387,1,0
"388.Surv","S07030515","SF 2007","M","M.289","SF","2007","Surv",1,388,1,0
"389.Surv","S07031701","SF 2007","M","M.000","SF","2007","Surv",1,389,1,0
"390.Surv","S07030719","SF 2007","M","M.686","SF","2007","Surv",1,390,1,0
"391.Surv","S07030804","SF 2007","M","M.2084","SF","2007","Surv",1,391,1,0
"392.Surv","S07031711","SF 2007","M","M.2084","SF","2007","Surv",1,392,1,0
"393.Surv","S07030101","SF 2007","M","M.686","SF","2007","Surv",1,393,1,0
"394.Surv","S07030613","SF 2007","M","M.1086","SF","2007","Surv",1,394,1,0
"395.Surv","S07031409","SF 2007","M","M.389","SF","2007","Surv",1,395,1,0
"396.Surv","S07030616","SF 2007","X","X.189","SF","2007","Surv",0,396,1,0
"397.Surv","S07030112","SF 2007","X","X.287","SF","2007","Surv",0,397,1,0
"398.Surv","S07030306","SF 2007","X","X.589","SF","2007","Surv",0,398,1,0
"399.Surv","S07030310","SF 2007","X","X.189","SF","2007","Surv",0,399,1,0
"400.Surv","S07030518","SF 2007","X","X.489","SF","2007","Surv",0,400,1,0
"401.Surv","S07030716","SF 2007","X","X.187","SF","2007","Surv",0,401,1,0
"402.Surv","S07030915","SF 2007","X","X.287","SF","2007","Surv",0,402,1,0
"403.Surv","S07031002","SF 2007","X","X.589","SF","2007","Surv",0,403,1,0
"404.Surv","S07031010","SF 2007","X","X.489","SF","2007","Surv",0,404,1,0
"405.Surv","S07031117","SF 2007","X","X.187","SF","2007","Surv",0,405,1,0
"406.Surv","S07031510","SF 2007","X","X.189","SF","2007","Surv",0,406,1,0
"407.Surv","S07031808","SF 2007","X","X.000","SF","2007","Surv",0,407,1,0
"408.Surv","S07030606","SF 2007","X","X.287","SF","2007","Surv",1,408,1,0
"409.Surv","S07030115","SF 2007","X","X.489","SF","2007","Surv",1,409,1,0
"410.Surv","S07032019","SF 2007","X","X.187","SF","2007","Surv",1,410,1,0
"411.Surv","S07030517","SF 2007","X","X.589","SF","2007","Surv",1,411,1,0
"412.Surv","S07031016","SF 2007","X","X.000","SF","2007","Surv",1,412,1,0
"413.Surv","H031735","Hop2003","M","M.2084","Hop","2003","Surv",0,413,1,0
"414.Surv","H031537","Hop2003","M","M.686","Hop","2003","Surv",1,414,1,0
"415.Surv","H031736","Hop2003","M","M.389","Hop","2003","Surv",1,415,1,0
"416.Surv","H031214","Hop2003","M","M.286","Hop","2003","Surv",1,416,1,0
"417.Surv","H031464","Hop2003","M","M.286","Hop","2003","Surv",1,417,1,0
"418.Surv","H031146","Hop2003","M","M.389","Hop","2003","Surv",1,418,1,0
"419.Surv","H031463","Hop2003","M","M.286","Hop","2003","Surv",1,419,1,0
"420.Surv","H031767","Hop2003","M","M.686","Hop","2003","Surv",1,420,1,0
"421.Surv","H031262","Hop2003","M","M.2084","Hop","2003","Surv",1,421,1,0
"422.Surv","H031113","Hop2003","M","M.289","Hop","2003","Surv",1,422,1,0
"423.Surv","H031371","Hop2003","M","M.1086","Hop","2003","Surv",1,423,1,0
"424.Surv","H031576","Hop2003","M","M.1086","Hop","2003","Surv",1,424,1,0
"425.Surv","H031123","Hop2003","M","M.286","Hop","2003","Surv",1,425,1,0
"426.Surv","H031177","Hop2003","M","M.289","Hop","2003","Surv",1,426,1,0
"427.Surv","H031467","Hop2003","M","M.686","Hop","2003","Surv",1,427,1,0
"428.Surv","H031431","Hop2003","M","M.686","Hop","2003","Surv",1,428,1,0
"429.Surv","H031662","Hop2003","X","X.489","Hop","2003","Surv",0,429,1,0
"430.Surv","H031264","Hop2003","X","X.287","Hop","2003","Surv",0,430,1,0
"431.Surv","H031273","Hop2003","X","X.187","Hop","2003","Surv",0,431,1,0
"432.Surv","H031355","Hop2003","X","X.187","Hop","2003","Surv",0,432,1,0
"433.Surv","H031645","Hop2003","X","X.589","Hop","2003","Surv",0,433,1,0
"434.Surv","H031741","Hop2003","X","X.287","Hop","2003","Surv",0,434,1,0
"435.Surv","H031724","Hop2003","X","X.189","Hop","2003","Surv",1,435,1,0
"436.Surv","H031437","Hop2003","X","X.589","Hop","2003","Surv",1,436,1,0
"437.Surv","H031723","Hop2003","X","X.489","Hop","2003","Surv",1,437,1,0
"438.Surv","H031637","Hop2003","X","X.189","Hop","2003","Surv",1,438,1,0
"439.Surv","H031242","Hop2003","X","X.189","Hop","2003","Surv",1,439,1,0
"440.Surv","H031564","Hop2003","X","X.187","Hop","2003","Surv",1,440,1,0
"441.Surv","H031223","Hop2003","X","X.187","Hop","2003","Surv",1,441,1,0
"442.Surv","H031234","Hop2003","X","X.589","Hop","2003","Surv",1,442,1,0
"443.Surv","H031141","Hop2003","X","X.287","Hop","2003","Surv",1,443,1,0
"444.Surv","H031215","Hop2003","X","X.489","Hop","2003","Surv",1,444,1,0
"445.Surv","H032477","Hop2003","M","M.289","Hop","2003","Surv",0,445,1,0
"446.Surv","H032561","Hop2003","M","M.1086","Hop","2003","Surv",0,446,1,0
"447.Surv","H032726","Hop2003","M","M.389","Hop","2003","Surv",0,447,1,0
"448.Surv","H032664","Hop2003","M","M.289","Hop","2003","Surv",1,448,1,0
"449.Surv","H032547","Hop2003","M","M.686","Hop","2003","Surv",1,449,1,0
"450.Surv","H032525","Hop2003","M","M.286","Hop","2003","Surv",1,450,1,0
"451.Surv","H032274","Hop2003","M","M.289","Hop","2003","Surv",1,451,1,0
"452.Surv","H032442","Hop2003","M","M.2084","Hop","2003","Surv",1,452,1,0
"453.Surv","H032575","Hop2003","M","M.1086","Hop","2003","Surv",1,453,1,0
"454.Surv","H032323","Hop2003","M","M.686","Hop","2003","Surv",1,454,1,0
"455.Surv","H032776","Hop2003","M","M.389","Hop","2003","Surv",1,455,1,0
"456.Surv","H032723","Hop2003","M","M.1086","Hop","2003","Surv",1,456,1,0
"457.Surv","H032457","Hop2003","M","M.1086","Hop","2003","Surv",1,457,1,0
"458.Surv","H032113","Hop2003","M","M.286","Hop","2003","Surv",1,458,1,0
"459.Surv","H032174","Hop2003","M","M.289","Hop","2003","Surv",1,459,1,0
"460.Surv","H032365","Hop2003","M","M.2084","Hop","2003","Surv",1,460,1,0
"461.Surv","H032665","Hop2003","X","X.489","Hop","2003","Surv",0,461,1,0
"462.Surv","H032367","Hop2003","X","X.489","Hop","2003","Surv",0,462,1,0
"463.Surv","H032131","Hop2003","X","X.287","Hop","2003","Surv",0,463,1,0
"464.Surv","H032421","Hop2003","X","X.187","Hop","2003","Surv",0,464,1,0
"465.Surv","H032517","Hop2003","X","X.489","Hop","2003","Surv",0,465,1,0
"466.Surv","H032566","Hop2003","X","X.187","Hop","2003","Surv",0,466,1,0
"467.Surv","H032644","Hop2003","X","X.189","Hop","2003","Surv",0,467,1,0
"468.Surv","H032653","Hop2003","X","X.189","Hop","2003","Surv",0,468,1,0
"469.Surv","H032713","Hop2003","X","X.287","Hop","2003","Surv",0,469,1,0
"470.Surv","H032725","Hop2003","X","X.589","Hop","2003","Surv",0,470,1,0
"471.Surv","H032732","Hop2003","X","X.187","Hop","2003","Surv",0,471,1,0
"472.Surv","H032434","Hop2003","X","X.589","Hop","2003","Surv",1,472,1,0
"473.Surv","H032272","Hop2003","X","X.489","Hop","2003","Surv",1,473,1,0
"474.Surv","H032621","Hop2003","X","X.189","Hop","2003","Surv",1,474,1,0
"475.Surv","H032166","Hop2003","X","X.589","Hop","2003","Surv",1,475,1,0
"476.Surv","H032117","Hop2003","X","X.287","Hop","2003","Surv",1,476,1,0
"477.Surv","H033115","Hop2003","M","M.389","Hop","2003","Surv",0,477,1,0
"478.Surv","H033152","Hop2003","M","M.2084","Hop","2003","Surv",0,478,1,0
"479.Surv","H033431","Hop2003","M","M.389","Hop","2003","Surv",0,479,1,0
"480.Surv","H033441","Hop2003","M","M.289","Hop","2003","Surv",0,480,1,0
"481.Surv","H033572","Hop2003","M","M.2084","Hop","2003","Surv",0,481,1,0
"482.Surv","H033726","Hop2003","M","M.289","Hop","2003","Surv",1,482,1,0
"483.Surv","H033623","Hop2003","M","M.389","Hop","2003","Surv",1,483,1,0
"484.Surv","H033144","Hop2003","M","M.2084","Hop","2003","Surv",1,484,1,0
"485.Surv","H033763","Hop2003","M","M.286","Hop","2003","Surv",1,485,1,0
"486.Surv","H033567","Hop2003","M","M.1086","Hop","2003","Surv",1,486,1,0
"487.Surv","H033517","Hop2003","M","M.389","Hop","2003","Surv",1,487,1,0
"488.Surv","H033344","Hop2003","M","M.286","Hop","2003","Surv",1,488,1,0
"489.Surv","H033253","Hop2003","M","M.2084","Hop","2003","Surv",1,489,1,0
"490.Surv","H033673","Hop2003","M","M.1086","Hop","2003","Surv",1,490,1,0
"491.Surv","H033333","Hop2003","M","M.686","Hop","2003","Surv",1,491,1,0
"492.Surv","H033166","Hop2003","M","M.686","Hop","2003","Surv",1,492,1,0
"493.Surv","H033345","Hop2003","X","X.187","Hop","2003","Surv",0,493,1,0
"494.Surv","H033146","Hop2003","X","X.589","Hop","2003","Surv",0,494,1,0
"495.Surv","H033451","Hop2003","X","X.589","Hop","2003","Surv",0,495,1,0
"496.Surv","H033512","Hop2003","X","X.187","Hop","2003","Surv",0,496,1,0
"497.Surv","H033531","Hop2003","X","X.589","Hop","2003","Surv",0,497,1,0
"498.Surv","H033611","Hop2003","X","X.287","Hop","2003","Surv",0,498,1,0
"499.Surv","H033746","Hop2003","X","X.489","Hop","2003","Surv",0,499,1,0
"500.Surv","H033712","Hop2003","X","X.189","Hop","2003","Surv",1,500,1,0
"501.Surv","H033436","Hop2003","X","X.589","Hop","2003","Surv",1,501,1,0
"502.Surv","H033514","Hop2003","X","X.189","Hop","2003","Surv",1,502,1,0
"503.Surv","H033322","Hop2003","X","X.287","Hop","2003","Surv",1,503,1,0
"504.Surv","H033561","Hop2003","X","X.489","Hop","2003","Surv",1,504,1,0
"505.Surv","H033221","Hop2003","X","X.187","Hop","2003","Surv",1,505,1,0
"506.Surv","H033367","Hop2003","X","X.189","Hop","2003","Surv",1,506,1,0
"507.Surv","H033277","Hop2003","X","X.489","Hop","2003","Surv",1,507,1,0
"508.Surv","H033341","Hop2003","X","X.287","Hop","2003","Surv",1,508,1,0
"509.Surv","H033232","Hop2003","X","X.287","Hop","2003","Surv",1,509,1,0
"510.Surv","H041332","Hop2004","M","M.1086","Hop","2004","Surv",0,510,1,0
"511.Surv","H041126","Hop2004","M","M.2084","Hop","2004","Surv",0,511,1,0
"512.Surv","H041153","Hop2004","M","M.286","Hop","2004","Surv",0,512,1,0
"513.Surv","H041222","Hop2004","M","M.286","Hop","2004","Surv",0,513,1,0
"514.Surv","H041237","Hop2004","M","M.2084","Hop","2004","Surv",0,514,1,0
"515.Surv","H041374","Hop2004","M","M.389","Hop","2004","Surv",0,515,1,0
"516.Surv","H041376","Hop2004","M","M.686","Hop","2004","Surv",0,516,1,0
"517.Surv","H041412","Hop2004","M","M.389","Hop","2004","Surv",0,517,1,0
"518.Surv","H041434","Hop2004","M","M.686","Hop","2004","Surv",0,518,1,0
"519.Surv","H041517","Hop2004","M","M.1086","Hop","2004","Surv",0,519,1,0
"520.Surv","H041525","Hop2004","M","M.1086","Hop","2004","Surv",0,520,1,0
"521.Surv","H041532","Hop2004","M","M.289","Hop","2004","Surv",0,521,1,0
"522.Surv","H041621","Hop2004","M","M.289","Hop","2004","Surv",0,522,1,0
"523.Surv","H041643","Hop2004","M","M.2084","Hop","2004","Surv",0,523,1,0
"524.Surv","H041646","Hop2004","M","M.1086","Hop","2004","Surv",0,524,1,0
"525.Surv","H041651","Hop2004","M","M.686","Hop","2004","Surv",0,525,1,0
"526.Surv","H041652","Hop2004","M","M.389","Hop","2004","Surv",0,526,1,0
"527.Surv","H041523","Hop2004","M","M.389","Hop","2004","Surv",1,527,1,0
"528.Surv","H041512","Hop2004","M","M.286","Hop","2004","Surv",1,528,1,0
"529.Surv","H041546","Hop2004","M","M.289","Hop","2004","Surv",1,529,1,0
"530.Surv","H041647","Hop2004","M","M.2084","Hop","2004","Surv",1,530,1,0
"531.Surv","H041172","Hop2004","M","M.686","Hop","2004","Surv",1,531,1,0
"532.Surv","H041173","Hop2004","X","X.187","Hop","2004","Surv",0,532,1,0
"533.Surv","H041175","Hop2004","X","X.189","Hop","2004","Surv",0,533,1,0
"534.Surv","H041177","Hop2004","X","X.287","Hop","2004","Surv",0,534,1,0
"535.Surv","H041221","Hop2004","X","X.489","Hop","2004","Surv",0,535,1,0
"536.Surv","H041253","Hop2004","X","X.589","Hop","2004","Surv",0,536,1,0
"537.Surv","H041273","Hop2004","X","X.287","Hop","2004","Surv",0,537,1,0
"538.Surv","H041333","Hop2004","X","X.187","Hop","2004","Surv",0,538,1,0
"539.Surv","H041346","Hop2004","X","X.287","Hop","2004","Surv",0,539,1,0
"540.Surv","H041351","Hop2004","X","X.187","Hop","2004","Surv",0,540,1,0
"541.Surv","H041511","Hop2004","X","X.189","Hop","2004","Surv",0,541,1,0
"542.Surv","H041615","Hop2004","X","X.489","Hop","2004","Surv",0,542,1,0
"543.Surv","H041644","Hop2004","X","X.589","Hop","2004","Surv",0,543,1,0
"544.Surv","H041656","Hop2004","X","X.189","Hop","2004","Surv",0,544,1,0
"545.Surv","H041661","Hop2004","X","X.287","Hop","2004","Surv",0,545,1,0
"546.Surv","H041735","Hop2004","X","X.589","Hop","2004","Surv",0,546,1,0
"547.Surv","H041534","Hop2004","X","X.189","Hop","2004","Surv",1,547,1,0
"548.Surv","H042157","Hop2004","M","M.389","Hop","2004","Surv",0,548,1,0
"549.Surv","H042163","Hop2004","M","M.389","Hop","2004","Surv",0,549,1,0
"550.Surv","H042236","Hop2004","M","M.286","Hop","2004","Surv",0,550,1,0
"551.Surv","H042245","Hop2004","M","M.289","Hop","2004","Surv",0,551,1,0
"552.Surv","H042413","Hop2004","M","M.286","Hop","2004","Surv",0,552,1,0
"553.Surv","H042414","Hop2004","M","M.1086","Hop","2004","Surv",0,553,1,0
"554.Surv","H042421","Hop2004","M","M.1086","Hop","2004","Surv",0,554,1,0
"555.Surv","H042457","Hop2004","M","M.286","Hop","2004","Surv",0,555,1,0
"556.Surv","H042534","Hop2004","M","M.1086","Hop","2004","Surv",0,556,1,0
"557.Surv","H042556","Hop2004","M","M.686","Hop","2004","Surv",0,557,1,0
"558.Surv","H042566","Hop2004","M","M.286","Hop","2004","Surv",0,558,1,0
"559.Surv","H042654","Hop2004","M","M.2084","Hop","2004","Surv",0,559,1,0
"560.Surv","H042666","Hop2004","M","M.289","Hop","2004","Surv",0,560,1,0
"561.Surv","H042736","Hop2004","M","M.289","Hop","2004","Surv",0,561,1,0
"562.Surv","H042261","Hop2004","M","M.389","Hop","2004","Surv",1,562,1,0
"563.Surv","H042244","Hop2004","M","M.2084","Hop","2004","Surv",1,563,1,0
"564.Surv","H042114","Hop2004","M","M.2084","Hop","2004","Surv",1,564,1,0
"565.Surv","H042246","Hop2004","M","M.686","Hop","2004","Surv",1,565,1,0
"566.Surv","H042653","Hop2004","M","M.289","Hop","2004","Surv",1,566,1,0
"567.Surv","H042553","Hop2004","M","M.686","Hop","2004","Surv",1,567,1,0
"568.Surv","H042364","Hop2004","M","M.686","Hop","2004","Surv",1,568,1,0
"569.Surv","H042156","Hop2004","X","X.589","Hop","2004","Surv",0,569,1,0
"570.Surv","H042222","Hop2004","X","X.187","Hop","2004","Surv",0,570,1,0
"571.Surv","H042314","Hop2004","X","X.489","Hop","2004","Surv",0,571,1,0
"572.Surv","H042353","Hop2004","X","X.589","Hop","2004","Surv",0,572,1,0
"573.Surv","H042357","Hop2004","X","X.489","Hop","2004","Surv",0,573,1,0
"574.Surv","H042361","Hop2004","X","X.489","Hop","2004","Surv",0,574,1,0
"575.Surv","H042374","Hop2004","X","X.287","Hop","2004","Surv",0,575,1,0
"576.Surv","H042425","Hop2004","X","X.189","Hop","2004","Surv",0,576,1,0
"577.Surv","H042427","Hop2004","X","X.489","Hop","2004","Surv",0,577,1,0
"578.Surv","H042471","Hop2004","X","X.287","Hop","2004","Surv",0,578,1,0
"579.Surv","H042562","Hop2004","X","X.187","Hop","2004","Surv",0,579,1,0
"580.Surv","H042563","Hop2004","X","X.189","Hop","2004","Surv",0,580,1,0
"581.Surv","H042663","Hop2004","X","X.189","Hop","2004","Surv",0,581,1,0
"582.Surv","H042172","Hop2004","X","X.589","Hop","2004","Surv",0,582,1,0
"583.Surv","H042155","Hop2004","X","X.187","Hop","2004","Surv",1,583,1,0
"584.Surv","H043211","Hop2004","M","M.389","Hop","2004","Surv",0,584,1,0
"585.Surv","H043273","Hop2004","M","M.286","Hop","2004","Surv",0,585,1,0
"586.Surv","H043354","Hop2004","M","M.1086","Hop","2004","Surv",0,586,1,0
"587.Surv","H043414","Hop2004","M","M.389","Hop","2004","Surv",0,587,1,0
"588.Surv","H043442","Hop2004","M","M.686","Hop","2004","Surv",0,588,1,0
"589.Surv","H043446","Hop2004","M","M.389","Hop","2004","Surv",0,589,1,0
"590.Surv","H043521","Hop2004","M","M.2084","Hop","2004","Surv",0,590,1,0
"591.Surv","H043535","Hop2004","M","M.286","Hop","2004","Surv",0,591,1,0
"592.Surv","H043547","Hop2004","M","M.1086","Hop","2004","Surv",0,592,1,0
"593.Surv","H043573","Hop2004","M","M.1086","Hop","2004","Surv",0,593,1,0
"594.Surv","H043622","Hop2004","M","M.289","Hop","2004","Surv",0,594,1,0
"595.Surv","H043654","Hop2004","M","M.2084","Hop","2004","Surv",0,595,1,0
"596.Surv","H043655","Hop2004","M","M.2084","Hop","2004","Surv",0,596,1,0
"597.Surv","H043661","Hop2004","M","M.686","Hop","2004","Surv",0,597,1,0
"598.Surv","H043731","Hop2004","M","M.286","Hop","2004","Surv",0,598,1,0
"599.Surv","H043524","Hop2004","M","M.289","Hop","2004","Surv",1,599,1,0
"600.Surv","H043134","Hop2004","M","M.289","Hop","2004","Surv",1,600,1,0
"601.Surv","H043121","Hop2004","X","X.287","Hop","2004","Surv",0,601,1,0
"602.Surv","H043136","Hop2004","X","X.189","Hop","2004","Surv",0,602,1,0
"603.Surv","H043262","Hop2004","X","X.489","Hop","2004","Surv",0,603,1,0
"604.Surv","H043274","Hop2004","X","X.287","Hop","2004","Surv",0,604,1,0
"605.Surv","H043311","Hop2004","X","X.589","Hop","2004","Surv",0,605,1,0
"606.Surv","H043323","Hop2004","X","X.189","Hop","2004","Surv",0,606,1,0
"607.Surv","H043353","Hop2004","X","X.187","Hop","2004","Surv",0,607,1,0
"608.Surv","H043361","Hop2004","X","X.287","Hop","2004","Surv",0,608,1,0
"609.Surv","H043365","Hop2004","X","X.189","Hop","2004","Surv",0,609,1,0
"610.Surv","H043376","Hop2004","X","X.589","Hop","2004","Surv",0,610,1,0
"611.Surv","H043455","Hop2004","X","X.489","Hop","2004","Surv",0,611,1,0
"612.Surv","H043476","Hop2004","X","X.187","Hop","2004","Surv",0,612,1,0
"613.Surv","H043512","Hop2004","X","X.489","Hop","2004","Surv",0,613,1,0
"614.Surv","H043537","Hop2004","X","X.489","Hop","2004","Surv",0,614,1,0
"615.Surv","H043554","Hop2004","X","X.187","Hop","2004","Surv",0,615,1,0
"616.Surv","H043555","Hop2004","X","X.287","Hop","2004","Surv",0,616,1,0
"617.Surv","H061575","Hop2006","M","M.686","Hop","2006","Surv",0,617,1,0
"618.Surv","H061534","Hop2006","M","M.289","Hop","2006","Surv",1,618,1,0
"619.Surv","H061536","Hop2006","M","M.289","Hop","2006","Surv",1,619,1,0
"620.Surv","H061526","Hop2006","M","M.686","Hop","2006","Surv",1,620,1,0
"621.Surv","H061532","Hop2006","M","M.289","Hop","2006","Surv",1,621,1,0
"622.Surv","H061417","Hop2006","M","M.389","Hop","2006","Surv",1,622,1,0
"623.Surv","H061416","Hop2006","M","M.289","Hop","2006","Surv",1,623,1,0
"624.Surv","H061265","Hop2006","M","M.2084","Hop","2006","Surv",1,624,1,0
"625.Surv","H061146","Hop2006","M","M.286","Hop","2006","Surv",1,625,1,0
"626.Surv","H061426","Hop2006","M","M.389","Hop","2006","Surv",1,626,1,0
"627.Surv","H061117","Hop2006","M","M.389","Hop","2006","Surv",1,627,1,0
"628.Surv","H061111","Hop2006","M","M.286","Hop","2006","Surv",1,628,1,0
"629.Surv","H061314","Hop2006","M","M.2084","Hop","2006","Surv",1,629,1,0
"630.Surv","H061336","Hop2006","M","M.1086","Hop","2006","Surv",1,630,1,0
"631.Surv","H061143","Hop2006","M","M.686","Hop","2006","Surv",1,631,1,0
"632.Surv","H061133","Hop2006","M","M.2084","Hop","2006","Surv",1,632,1,0
"633.Surv","H061364","Hop2006","X","X.189","Hop","2006","Surv",0,633,1,0
"634.Surv","H061414","Hop2006","X","X.589","Hop","2006","Surv",0,634,1,0
"635.Surv","H061377","Hop2006","X","X.189","Hop","2006","Surv",1,635,1,0
"636.Surv","H061434","Hop2006","X","X.287","Hop","2006","Surv",1,636,1,0
"637.Surv","H061432","Hop2006","X","X.189","Hop","2006","Surv",1,637,1,0
"638.Surv","H061516","Hop2006","X","X.187","Hop","2006","Surv",1,638,1,0
"639.Surv","H061125","Hop2006","X","X.287","Hop","2006","Surv",1,639,1,0
"640.Surv","H061353","Hop2006","X","X.589","Hop","2006","Surv",1,640,1,0
"641.Surv","H061551","Hop2006","X","X.489","Hop","2006","Surv",1,641,1,0
"642.Surv","H061447","Hop2006","X","X.189","Hop","2006","Surv",1,642,1,0
"643.Surv","H061574","Hop2006","X","X.489","Hop","2006","Surv",1,643,1,0
"644.Surv","H061352","Hop2006","X","X.187","Hop","2006","Surv",1,644,1,0
"645.Surv","H061424","Hop2006","X","X.187","Hop","2006","Surv",1,645,1,0
"646.Surv","H061134","Hop2006","X","X.287","Hop","2006","Surv",1,646,1,0
"647.Surv","H061175","Hop2006","X","X.489","Hop","2006","Surv",1,647,1,0
"648.Surv","H061241","Hop2006","X","X.187","Hop","2006","Surv",1,648,1,0
"649.Surv","H061154","Hop2006","X","X.287","Hop","2006","Surv",1,649,1,0
"650.Surv","H061122","Hop2006","X","X.187","Hop","2006","Surv",1,650,1,0
"651.Surv","H062556","Hop2006","M","M.2084","Hop","2006","Surv",1,651,1,0
"652.Surv","H062427","Hop2006","M","M.389","Hop","2006","Surv",1,652,1,0
"653.Surv","H062125","Hop2006","M","M.286","Hop","2006","Surv",1,653,1,0
"654.Surv","H062117","Hop2006","M","M.1086","Hop","2006","Surv",1,654,1,0
"655.Surv","H062536","Hop2006","M","M.1086","Hop","2006","Surv",1,655,1,0
"656.Surv","H062546","Hop2006","M","M.686","Hop","2006","Surv",1,656,1,0
"657.Surv","H062126","Hop2006","M","M.1086","Hop","2006","Surv",1,657,1,0
"658.Surv","H062561","Hop2006","M","M.389","Hop","2006","Surv",1,658,1,0
"659.Surv","H062373","Hop2006","M","M.389","Hop","2006","Surv",1,659,1,0
"660.Surv","H062362","Hop2006","M","M.286","Hop","2006","Surv",1,660,1,0
"661.Surv","H062224","Hop2006","M","M.2084","Hop","2006","Surv",1,661,1,0
"662.Surv","H062564","Hop2006","M","M.2084","Hop","2006","Surv",1,662,1,0
"663.Surv","H062342","Hop2006","M","M.289","Hop","2006","Surv",1,663,1,0
"664.Surv","H062511","Hop2006","M","M.686","Hop","2006","Surv",1,664,1,0
"665.Surv","H062211","Hop2006","M","M.286","Hop","2006","Surv",1,665,1,0
"666.Surv","H062253","Hop2006","M","M.686","Hop","2006","Surv",1,666,1,0
"667.Surv","H062312","Hop2006","M","M.289","Hop","2006","Surv",1,667,1,0
"668.Surv","H062175","Hop2006","X","X.489","Hop","2006","Surv",0,668,1,0
