"","SIRE","DAM","POP","SITE","ROW","BLK","varb","resp","id","root","fit"
"2651.fecund","2094","2008","2","M",7,"4","fecund",1,2651,1,0
"2652.fecund","2174","2143","2","M",7,"4","fecund",1,2652,1,0
"2653.fecund","2094","2036","2","M",7,"4","fecund",1,2653,1,0
"2654.fecund","2056","2018","2","M",7,"4","fecund",1,2654,1,0
"2655.fecund","2079","2066","2","M",7,"4","fecund",1,2655,1,0
"2656.fecund","1029","1035","1","M",7,"4","fecund",1,2656,1,0
"2657.fecund","1127","1058","1","M",7,"4","fecund",1,2657,1,0
"2658.fecund","1033","1143","1","M",7,"4","fecund",1,2658,1,0
"2659.fecund","2049","2078","2","M",7,"4","fecund",1,2659,1,0
"2660.fecund","2134","2193","2","M",7,"4","fecund",1,2660,1,0
"2661.fecund","3041","3079","3","M",7,"4","fecund",1,2661,1,0
"2662.fecund","1040","1115","1","M",7,"4","fecund",1,2662,1,0
"2663.fecund","3199","3167","3","M",7,"4","fecund",1,2663,1,0
"2664.fecund","2003","2083","2","M",7,"4","fecund",1,2664,1,0
"2665.fecund","1030","1006","1","M",7,"4","fecund",1,2665,1,0
"2666.fecund","3194","3022","3","M",7,"4","fecund",1,2666,1,0
"2667.fecund","3148","3044","3","M",7,"4","fecund",1,2667,1,0
"2668.fecund","3004","3190","3","M",7,"4","fecund",1,2668,1,0
"2669.fecund","2124","2199","2","M",7,"4","fecund",1,2669,1,0
"2670.fecund","1120","1067","1","M",7,"4","fecund",1,2670,1,0
"2671.fecund","3049","3033","3","M",7,"4","fecund",1,2671,1,0
"2672.fecund","3102","3154","3","M",8,"4","fecund",1,2672,1,0
"2673.fecund","2173","2052","2","M",8,"4","fecund",1,2673,1,0
"2674.fecund","2117","2119","2","M",8,"4","fecund",1,2674,1,0
"2675.fecund","1134","1024","1","M",8,"4","fecund",1,2675,1,0
"2676.fecund","1122","1186","1","M",8,"4","fecund",1,2676,1,0
"2677.fecund","3197","3063","3","M",8,"4","fecund",1,2677,1,0
"2678.fecund","1045","1037","1","M",8,"4","fecund",1,2678,1,0
"2679.fecund","1077","1066","1","M",8,"4","fecund",1,2679,1,0
"2680.fecund","1085","1064","1","M",8,"4","fecund",1,2680,1,0
"2681.fecund","1118","1055","1","M",8,"4","fecund",1,2681,1,0
"2682.fecund","1041","1105","1","M",8,"4","fecund",1,2682,1,0
"2683.fecund","1076","1174","1","M",8,"4","fecund",1,2683,1,0
"2684.fecund","1021","1179","1","M",8,"4","fecund",1,2684,1,0
"2685.fecund","3057","3092","3","M",8,"4","fecund",0,2685,1,0
"2686.fecund","1082","1158","1","M",8,"4","fecund",1,2686,1,0
"2687.fecund","3077","3143","3","M",8,"4","fecund",1,2687,1,0
"2688.fecund","2087","2025","2","M",8,"4","fecund",1,2688,1,0
"2689.fecund","1111","1080","1","M",8,"4","fecund",1,2689,1,0
"2690.fecund","1040","1010","1","M",8,"4","fecund",1,2690,1,0
"2691.fecund","2010","2158","2","M",8,"4","fecund",1,2691,1,0
"2692.fecund","2102","2217","2","M",8,"4","fecund",1,2692,1,0
"2693.fecund","3140","3120","3","M",8,"4","fecund",1,2693,1,0
"2694.fecund","2192","2053","2","M",8,"4","fecund",1,2694,1,0
"2695.fecund","2001","2112","2","M",8,"4","fecund",1,2695,1,0
"2696.fecund","2049","2161","2","M",8,"4","fecund",1,2696,1,0
"2697.fecund","2150","2096","2","M",8,"4","fecund",1,2697,1,0
"2698.fecund","3014","3099","3","M",8,"4","fecund",1,2698,1,0
"2699.fecund","2195","2057","2","M",8,"4","fecund",1,2699,1,0
"2700.fecund","3128","3184","3","M",8,"4","fecund",0,2700,1,0
"2701.fecund","2016","2028","2","M",8,"4","fecund",1,2701,1,0
"2702.fecund","2215","2030","2","M",8,"4","fecund",1,2702,1,0
"2703.fecund","2093","2041","2","M",8,"4","fecund",1,2703,1,0
"2704.fecund","1107","1068","1","M",8,"4","fecund",1,2704,1,0
"2705.fecund","3050","3144","3","M",8,"4","fecund",1,2705,1,0
"2706.fecund","2085","2208","2","M",8,"4","fecund",1,2706,1,0
"2707.fecund","2141","2144","2","M",8,"4","fecund",1,2707,1,0
"2708.fecund","2082","2205","2","M",8,"4","fecund",1,2708,1,0
"2709.fecund","3128","3019","3","M",8,"4","fecund",1,2709,1,0
"2710.fecund","1138","1089","1","M",8,"4","fecund",1,2710,1,0
"2711.fecund","2204","2188","2","M",8,"4","fecund",1,2711,1,0
"2712.fecund","3030","3054","3","M",8,"4","fecund",1,2712,1,0
"2713.fecund","2141","2026","2","M",8,"4","fecund",1,2713,1,0
"2714.fecund","2184","2211","2","M",8,"4","fecund",1,2714,1,0
"2715.fecund","1133","1119","1","M",8,"4","fecund",1,2715,1,0
"2716.fecund","2166","2207","2","M",8,"4","fecund",1,2716,1,0
"2717.fecund","1041","1124","1","M",8,"4","fecund",1,2717,1,0
"2718.fecund","1085","1152","1","M",8,"4","fecund",1,2718,1,0
"2719.fecund","3151","3018","3","M",8,"4","fecund",1,2719,1,0
"2720.fecund","3014","3106","3","M",9,"4","fecund",1,2720,1,0
"2721.fecund","3014","3106","3","M",9,"4","fecund",1,2721,1,0
"2722.fecund","1101","1172","1","M",9,"4","fecund",1,2722,1,0
"2723.fecund","2072","2037","2","M",9,"4","fecund",1,2723,1,0
"2724.fecund","2166","2034","2","M",9,"4","fecund",1,2724,1,0
"2725.fecund","3136","3032","3","M",9,"4","fecund",1,2725,1,0
"2726.fecund","2151","2213","2","M",9,"4","fecund",1,2726,1,0
"2727.fecund","2173","2127","2","M",9,"4","fecund",1,2727,1,0
"2728.fecund","3175","3008","3","M",9,"4","fecund",1,2728,1,0
"2729.fecund","2150","2223","2","M",9,"4","fecund",1,2729,1,0
"2730.fecund","2174","2216","2","M",9,"4","fecund",1,2730,1,0
"2731.fecund","1072","1137","1","M",9,"4","fecund",1,2731,1,0
"2732.fecund","2116","2142","2","M",9,"4","fecund",1,2732,1,0
"2733.fecund","2038","2021","2","M",9,"4","fecund",1,2733,1,0
"2734.fecund","3017","3115","3","M",9,"4","fecund",1,2734,1,0
"2735.fecund","1026","1131","1","M",9,"4","fecund",1,2735,1,0
"2736.fecund","2133","2105","2","M",9,"4","fecund",1,2736,1,0
"2737.fecund","2084","2181","2","M",9,"4","fecund",1,2737,1,0
"2738.fecund","3140","3163","3","M",9,"4","fecund",1,2738,1,0
"2739.fecund","3180","3098","3","M",9,"4","fecund",1,2739,1,0
"2740.fecund","2020","2210","2","M",9,"4","fecund",1,2740,1,0
"2741.fecund","2087","2025","2","M",9,"4","fecund",1,2741,1,0
"2742.fecund","3084","3088","3","M",9,"4","fecund",1,2742,1,0
"2743.fecund","2204","2135","2","M",9,"4","fecund",1,2743,1,0
"2744.fecund","2200","2044","2","M",9,"4","fecund",1,2744,1,0
"2745.fecund","2089","2120","2","M",9,"4","fecund",1,2745,1,0
"2746.fecund","1146","1036","1","M",9,"4","fecund",1,2746,1,0
"2747.fecund","3021","3189","3","M",9,"4","fecund",1,2747,1,0
"2748.fecund","1160","1117","1","M",9,"4","fecund",1,2748,1,0
"2749.fecund","1040","1115","1","M",9,"4","fecund",1,2749,1,0
"2750.fecund","3035","3129","3","M",9,"4","fecund",1,2750,1,0
"2751.fecund","2108","2088","2","M",9,"4","fecund",1,2751,1,0
"2752.fecund","3005","3147","3","M",9,"4","fecund",1,2752,1,0
"2753.fecund","1073","1087","1","M",9,"4","fecund",1,2753,1,0
"2754.fecund","1146","1036","1","M",9,"4","fecund",1,2754,1,0
"2755.fecund","1192","1128","1","M",9,"4","fecund",1,2755,1,0
"2756.fecund","3050","3116","3","M",9,"4","fecund",1,2756,1,0
"2757.fecund","2134","2046","2","M",9,"4","fecund",1,2757,1,0
"2758.fecund","2134","2046","2","M",9,"4","fecund",1,2758,1,0
"2759.fecund","1129","1099","1","M",9,"4","fecund",1,2759,1,0
"2760.fecund","1091","1188","1","M",9,"4","fecund",1,2760,1,0
"2761.fecund","2049","2078","2","M",9,"4","fecund",1,2761,1,0
"2762.fecund","3166","3040","3","M",9,"4","fecund",1,2762,1,0
"2763.fecund","2016","2149","2","M",9,"4","fecund",1,2763,1,0
"2764.fecund","3037","3013","3","M",9,"4","fecund",1,2764,1,0
"2765.fecund","1134","1024","1","M",9,"4","fecund",1,2765,1,0
"2766.fecund","2074","2107","2","M",9,"4","fecund",1,2766,1,0
"2767.fecund","2195","2218","2","M",9,"4","fecund",1,2767,1,0
"2768.fecund","1109","1166","1","M",9,"4","fecund",1,2768,1,0
"2769.fecund","2089","2065","2","M",9,"4","fecund",1,2769,1,0
"2770.fecund","1145","1195","1","M",10,"4","fecund",1,2770,1,0
"2771.fecund","2001","2146","2","M",10,"4","fecund",1,2771,1,0
"2772.fecund","1102","1157","1","M",10,"4","fecund",1,2772,1,0
"2773.fecund","1039","1025","1","M",10,"4","fecund",1,2773,1,0
"2774.fecund","3014","3161","3","M",10,"4","fecund",1,2774,1,0
"2775.fecund","1004","1169","1","M",10,"4","fecund",1,2775,1,0
"2776.fecund","3110","3114","3","M",10,"4","fecund",1,2776,1,0
"2777.fecund","1061","1155","1","M",10,"4","fecund",1,2777,1,0
"2778.fecund","2084","2179","2","M",10,"4","fecund",1,2778,1,0
"2779.fecund","3021","3058","3","M",10,"4","fecund",1,2779,1,0
"2780.fecund","2224","2206","2","M",10,"4","fecund",1,2780,1,0
"2781.fecund","1175","1193","1","M",10,"4","fecund",1,2781,1,0
"2782.fecund","2151","2213","2","M",10,"4","fecund",1,2782,1,0
"2783.fecund","3173","3026","3","M",10,"4","fecund",1,2783,1,0
"2784.fecund","1033","1097","1","M",10,"4","fecund",1,2784,1,0
"2785.fecund","1122","1186","1","M",10,"4","fecund",1,2785,1,0
"2786.fecund","1181","1088","1","M",10,"4","fecund",1,2786,1,0
"2787.fecund","3198","3155","3","M",10,"4","fecund",1,2787,1,0
"2788.fecund","1189","1190","1","M",10,"4","fecund",1,2788,1,0
"2789.fecund","1120","1075","1","M",10,"4","fecund",1,2789,1,0
"2790.fecund","2102","2212","2","M",10,"4","fecund",1,2790,1,0
"2791.fecund","3187","3123","3","M",10,"4","fecund",1,2791,1,0
"2792.fecund","2117","2160","2","M",10,"4","fecund",1,2792,1,0
"2793.fecund","3187","3165","3","M",10,"4","fecund",1,2793,1,0
"2794.fecund","2191","2050","2","M",10,"4","fecund",1,2794,1,0
"2795.fecund","2085","2147","2","M",10,"4","fecund",1,2795,1,0
"2796.fecund","2200","2118","2","M",10,"4","fecund",1,2796,1,0
"2797.fecund","1071","1162","1","M",10,"4","fecund",1,2797,1,0
"2798.fecund","3046","3168","3","M",10,"4","fecund",1,2798,1,0
"2799.fecund","3110","3176","3","M",10,"4","fecund",1,2799,1,0
"2800.fecund","2133","2197","2","M",10,"4","fecund",1,2800,1,0
"2801.fecund","3198","3155","3","M",10,"4","fecund",1,2801,1,0
"2802.fecund","3151","3138","3","M",10,"4","fecund",1,2802,1,0
"2803.fecund","2141","2086","2","M",10,"4","fecund",1,2803,1,0
"2804.fecund","2108","2148","2","M",10,"4","fecund",1,2804,1,0
"2805.fecund","2214","2222","2","M",10,"4","fecund",1,2805,1,0
"2806.fecund","3194","3095","3","M",10,"4","fecund",1,2806,1,0
"2807.fecund","1127","1135","1","M",10,"4","fecund",1,2807,1,0
"2808.fecund","3181","3196","3","M",10,"4","fecund",1,2808,1,0
"2809.fecund","1033","1108","1","M",10,"4","fecund",1,2809,1,0
"2810.fecund","1026","1191","1","M",10,"4","fecund",1,2810,1,0
"2811.fecund","2224","2114","2","M",10,"4","fecund",1,2811,1,0
"2812.fecund","2051","2209","2","M",10,"4","fecund",1,2812,1,0
"2813.fecund","2079","2219","2","M",10,"4","fecund",1,2813,1,0
"2814.fecund","1129","1086","1","M",10,"4","fecund",1,2814,1,0
"2815.fecund","3005","3075","3","M",10,"4","fecund",1,2815,1,0
"2816.fecund","3180","3098","3","M",10,"4","fecund",1,2816,1,0
"2817.fecund","1056","1148","1","M",10,"4","fecund",1,2817,1,0
"2818.fecund","3055","3177","3","M",10,"4","fecund",1,2818,1,0
"2819.fecund","1034","1081","1","M",11,"4","fecund",1,2819,1,0
"2820.fecund","2010","2121","2","M",11,"4","fecund",1,2820,1,0
"2821.fecund","1071","1182","1","M",11,"4","fecund",1,2821,1,0
"2822.fecund","3175","3201","3","M",11,"4","fecund",1,2822,1,0
"2823.fecund","2031","2071","2","M",11,"4","fecund",1,2823,1,0
"2824.fecund","2038","2077","2","M",11,"4","fecund",1,2824,1,0
"2825.fecund","2094","2157","2","M",11,"4","fecund",1,2825,1,0
"2826.fecund","3089","3043","3","M",11,"4","fecund",1,2826,1,0
"2827.fecund","3136","3119","3","M",11,"4","fecund",1,2827,1,0
"2828.fecund","3055","3164","3","M",11,"4","fecund",1,2828,1,0
"2829.fecund","3037","3125","3","M",11,"4","fecund",1,2829,1,0
"2830.fecund","1118","1110","1","M",11,"4","fecund",1,2830,1,0
"2831.fecund","3055","3087","3","M",11,"4","fecund",1,2831,1,0
"2832.fecund","2049","2221","2","M",11,"4","fecund",1,2832,1,0
"2833.fecund","3041","3132","3","M",11,"4","fecund",1,2833,1,0
"2834.fecund","2215","2002","2","M",11,"4","fecund",1,2834,1,0
"2835.fecund","2134","2193","2","M",11,"4","fecund",1,2835,1,0
"2836.fecund","2010","2101","2","M",11,"4","fecund",1,2836,1,0
"2837.fecund","2173","2128","2","M",11,"4","fecund",1,2837,1,0
"2838.fecund","2056","2018","2","M",11,"4","fecund",1,2838,1,0
"2839.fecund","3037","3152","3","M",11,"4","fecund",1,2839,1,0
"2840.fecund","2117","2013","2","M",11,"4","fecund",1,2840,1,0
"2841.fecund","2192","2159","2","M",11,"4","fecund",1,2841,1,0
"2842.fecund","1041","1125","1","M",11,"4","fecund",1,2842,1,0
"2843.fecund","2191","2050","2","M",11,"4","fecund",1,2843,1,0
"2844.fecund","2116","2201","2","M",11,"4","fecund",1,2844,1,0
"2845.fecund","2031","2061","2","M",11,"4","fecund",1,2845,1,0
"2846.fecund","2089","2120","2","M",11,"4","fecund",1,2846,1,0
"2847.fecund","2098","2169","2","M",11,"4","fecund",1,2847,1,0
"2848.fecund","2108","2175","2","M",11,"4","fecund",1,2848,1,0
"2849.fecund","1145","1092","1","M",11,"4","fecund",1,2849,1,0
"2850.fecund","2020","2073","2","M",11,"4","fecund",1,2850,1,0
"2851.fecund","1109","1016","1","M",11,"4","fecund",1,2851,1,0
"2852.fecund","1030","1180","1","M",11,"4","fecund",1,2852,1,0
"2853.fecund","2087","2007","2","M",11,"4","fecund",1,2853,1,0
"2854.fecund","2024","2106","2","M",11,"4","fecund",1,2854,1,0
"2855.fecund","3102","3103","3","M",11,"4","fecund",1,2855,1,0
"2856.fecund","1077","1154","1","M",11,"4","fecund",1,2856,1,0
"2857.fecund","1192","1128","1","M",11,"4","fecund",1,2857,1,0
"2858.fecund","1101","1103","1","M",11,"4","fecund",1,2858,1,0
"2859.fecund","2049","2161","2","M",11,"4","fecund",1,2859,1,0
"2860.fecund","1042","1053","1","M",11,"4","fecund",1,2860,1,0
"2861.fecund","2204","2022","2","M",11,"4","fecund",1,2861,1,0
"2862.fecund","3050","3144","3","M",11,"4","fecund",1,2862,1,0
"2863.fecund","2082","2113","2","M",11,"4","fecund",1,2863,1,0
"2864.fecund","3174","3025","3","M",11,"4","fecund",1,2864,1,0
"2865.fecund","2095","2039","2","M",11,"4","fecund",1,2865,1,0
"2866.fecund","3005","3147","3","M",11,"4","fecund",1,2866,1,0
"2867.fecund","3003","3117","3","M",11,"4","fecund",1,2867,1,0
"2868.fecund","2095","2139","2","M",11,"4","fecund",1,2868,1,0
"2869.fecund","3016","3024","3","M",12,"4","fecund",1,2869,1,0
"2870.fecund","2133","2063","2","M",12,"4","fecund",1,2870,1,0
"2871.fecund","2003","2130","2","M",12,"4","fecund",1,2871,1,0
"2872.fecund","3197","3034","3","M",12,"4","fecund",1,2872,1,0
"2873.fecund","2012","2091","2","M",12,"4","fecund",1,2873,1,0
"2874.fecund","3110","3114","3","M",12,"4","fecund",1,2874,1,0
"2875.fecund","1106","1007","1","M",12,"4","fecund",1,2875,1,0
"2876.fecund","3166","3134","3","M",12,"4","fecund",1,2876,1,0
"2877.fecund","2010","2158","2","M",12,"4","fecund",1,2877,1,0
"2878.fecund","1065","1070","1","M",12,"4","fecund",1,2878,1,0
"2879.fecund","3059","3146","3","M",12,"4","fecund",1,2879,1,0
"2880.fecund","3070","3028","3","M",12,"4","fecund",0,2880,1,0
"2881.fecund","2093","2041","2","M",12,"4","fecund",1,2881,1,0
"2882.fecund","1138","1057","1","M",12,"4","fecund",1,2882,1,0
"2883.fecund","1192","1183","1","M",12,"4","fecund",1,2883,1,0
"2884.fecund","2038","2021","2","M",12,"4","fecund",1,2884,1,0
"2885.fecund","1077","1066","1","M",12,"4","fecund",1,2885,1,0
"2886.fecund","1041","1125","1","M",12,"4","fecund",1,2886,1,0
"2887.fecund","1122","1003","1","M",12,"4","fecund",1,2887,1,0
"2888.fecund","2172","2156","2","M",12,"4","fecund",1,2888,1,0
"2889.fecund","2178","2165","2","M",12,"4","fecund",1,2889,1,0
"2890.fecund","2012","2011","2","M",12,"4","fecund",1,2890,1,0
"2891.fecund","1033","1108","1","M",12,"4","fecund",1,2891,1,0
"2892.fecund","1106","1098","1","M",12,"4","fecund",1,2892,1,0
"2893.fecund","1106","1007","1","M",12,"4","fecund",1,2893,1,0
"2894.fecund","1040","1010","1","M",12,"4","fecund",1,2894,1,0
"2895.fecund","2084","2043","2","M",12,"4","fecund",1,2895,1,0
"2896.fecund","3077","3051","3","M",12,"4","fecund",1,2896,1,0
"2897.fecund","1106","1168","1","M",12,"4","fecund",1,2897,1,0
"2898.fecund","3183","3009","3","M",12,"4","fecund",1,2898,1,0
"2899.fecund","1129","1044","1","M",12,"4","fecund",1,2899,1,0
"2900.fecund","1022","1078","1","M",12,"4","fecund",1,2900,1,0
"2901.fecund","1109","1016","1","M",12,"4","fecund",1,2901,1,0
"2902.fecund","1073","1165","1","M",12,"4","fecund",1,2902,1,0
"2903.fecund","3004","3159","3","M",12,"4","fecund",1,2903,1,0
"2904.fecund","3007","3185","3","M",12,"4","fecund",1,2904,1,0
"2905.fecund","1072","1013","1","M",12,"4","fecund",1,2905,1,0
"2906.fecund","2151","2081","2","M",12,"4","fecund",1,2906,1,0
"2907.fecund","2215","2189","2","M",12,"4","fecund",1,2907,1,0
"2908.fecund","3031","3113","3","M",12,"4","fecund",1,2908,1,0
"2909.fecund","2102","2212","2","M",12,"4","fecund",1,2909,1,0
"2910.fecund","3156","3158","3","M",12,"4","fecund",1,2910,1,0
"2911.fecund","2124","2199","2","M",12,"4","fecund",1,2911,1,0
"2912.fecund","1084","1038","1","M",12,"4","fecund",1,2912,1,0
"2913.fecund","3110","3015","3","M",12,"4","fecund",1,2913,1,0
"2914.fecund","2016","2028","2","M",12,"4","fecund",1,2914,1,0
"2915.fecund","2016","2152","2","M",12,"4","fecund",1,2915,1,0
"2916.fecund","1094","1185","1","M",13,"4","fecund",1,2916,1,0
"2917.fecund","3174","3025","3","M",13,"4","fecund",1,2917,1,0
"2918.fecund","2098","2140","2","M",13,"4","fecund",1,2918,1,0
"2919.fecund","2093","2123","2","M",13,"4","fecund",1,2919,1,0
"2920.fecund","1039","1025","1","M",13,"4","fecund",1,2920,1,0
"2921.fecund","3183","3178","3","M",13,"4","fecund",1,2921,1,0
"2922.fecund","3041","3132","3","M",13,"4","fecund",1,2922,1,0
"2923.fecund","2038","2077","2","M",13,"4","fecund",1,2923,1,0
"2924.fecund","2010","2101","2","M",13,"4","fecund",1,2924,1,0
"2925.fecund","3181","3196","3","M",13,"4","fecund",1,2925,1,0
"2926.fecund","2003","2099","2","M",13,"4","fecund",1,2926,1,0
"2927.fecund","2085","2059","2","M",13,"4","fecund",1,2927,1,0
"2928.fecund","1091","1114","1","M",13,"4","fecund",1,2928,1,0
"2929.fecund","1101","1052","1","M",13,"4","fecund",1,2929,1,0
"2930.fecund","3156","3038","3","M",13,"4","fecund",0,2930,1,0
"2931.fecund","3021","3189","3","M",13,"4","fecund",1,2931,1,0
"2932.fecund","1160","1194","1","M",13,"4","fecund",1,2932,1,0
"2933.fecund","2098","2169","2","M",13,"4","fecund",1,2933,1,0
"2934.fecund","2045","2122","2","M",13,"4","fecund",1,2934,1,0
"2935.fecund","1160","1095","1","M",13,"4","fecund",1,2935,1,0
"2936.fecund","2074","2107","2","M",13,"4","fecund",1,2936,1,0
"2937.fecund","1116","1001","1","M",13,"4","fecund",1,2937,1,0
"2938.fecund","3017","3115","3","M",13,"4","fecund",1,2938,1,0
"2939.fecund","1029","1139","1","M",13,"4","fecund",1,2939,1,0
"2940.fecund","2195","2218","2","M",13,"4","fecund",1,2940,1,0
"2941.fecund","3136","3032","3","M",13,"4","fecund",1,2941,1,0
"2942.fecund","2020","2164","2","M",13,"4","fecund",1,2942,1,0
"2943.fecund","2094","2036","2","M",13,"4","fecund",1,2943,1,0
"2944.fecund","3081","3061","3","M",13,"4","fecund",1,2944,1,0
"2945.fecund","3003","3111","3","M",13,"4","fecund",1,2945,1,0
"2946.fecund","3035","3129","3","M",13,"4","fecund",1,2946,1,0
"2947.fecund","2085","2147","2","M",13,"4","fecund",1,2947,1,0
"2948.fecund","2191","2163","2","M",13,"4","fecund",1,2948,1,0
"2949.fecund","3081","3101","3","M",13,"4","fecund",1,2949,1,0
"2950.fecund","1111","1196","1","M",13,"4","fecund",1,2950,1,0
"2951.fecund","2098","2140","2","M",13,"4","fecund",1,2951,1,0
"2952.fecund","3005","3171","3","M",13,"4","fecund",1,2952,1,0
"2953.fecund","2150","2177","2","M",13,"4","fecund",1,2953,1,0
"2954.fecund","1107","1093","1","M",13,"4","fecund",1,2954,1,0
"2955.fecund","1118","1055","1","M",13,"4","fecund",1,2955,1,0
"2956.fecund","1181","1159","1","M",13,"4","fecund",1,2956,1,0
"2957.fecund","3017","3169","3","M",13,"4","fecund",1,2957,1,0
"2958.fecund","2134","2190","2","M",13,"4","fecund",1,2958,1,0
"2959.fecund","1082","1167","1","M",13,"4","fecund",1,2959,1,0
"2960.fecund","2045","2004","2","M",13,"4","fecund",1,2960,1,0
"2961.fecund","1091","1114","1","M",13,"4","fecund",1,2961,1,0
"2962.fecund","3065","3118","3","M",13,"4","fecund",1,2962,1,0
"2963.fecund","1039","1164","1","M",13,"4","fecund",1,2963,1,0
"2964.fecund","1129","1099","1","M",13,"4","fecund",1,2964,1,0
"2965.fecund","1127","1015","1","M",13,"4","fecund",1,2965,1,0
"2966.fecund","3128","3184","3","M",13,"4","fecund",1,2966,1,0
"2967.fecund","1056","1170","1","M",13,"4","fecund",1,2967,1,0
"2968.fecund","1065","1104","1","M",14,"4","fecund",1,2968,1,0
"2969.fecund","2196","2029","2","M",14,"4","fecund",1,2969,1,0
"2970.fecund","2082","2070","2","M",14,"4","fecund",1,2970,1,0
"2971.fecund","3081","3060","3","M",14,"4","fecund",1,2971,1,0
"2972.fecund","3102","3154","3","M",14,"4","fecund",1,2972,1,0
"2973.fecund","3059","3096","3","M",14,"4","fecund",1,2973,1,0
"2974.fecund","3148","3052","3","M",14,"4","fecund",1,2974,1,0
"2975.fecund","3148","3052","3","M",14,"4","fecund",1,2975,1,0
"2976.fecund","2024","2067","2","M",14,"4","fecund",1,2976,1,0
"2977.fecund","1065","1070","1","M",14,"4","fecund",1,2977,1,0
"2978.fecund","1111","1197","1","M",14,"4","fecund",1,2978,1,0
"2979.fecund","3081","3101","3","M",14,"4","fecund",1,2979,1,0
"2980.fecund","2108","2148","2","M",14,"4","fecund",1,2980,1,0
"2981.fecund","2056","2132","2","M",14,"4","fecund",1,2981,1,0
"2982.fecund","1029","1142","1","M",14,"4","fecund",1,2982,1,0
"2983.fecund","2184","2211","2","M",14,"4","fecund",1,2983,1,0
"2984.fecund","2141","2144","2","M",14,"4","fecund",1,2984,1,0
"2985.fecund","3057","3092","3","M",14,"4","fecund",1,2985,1,0
"2986.fecund","2084","2043","2","M",14,"4","fecund",1,2986,1,0
"2987.fecund","1116","1001","1","M",14,"4","fecund",1,2987,1,0
"2988.fecund","2215","2030","2","M",14,"4","fecund",1,2988,1,0
"2989.fecund","3174","3012","3","M",14,"4","fecund",1,2989,1,0
"2990.fecund","1175","1147","1","M",14,"4","fecund",1,2990,1,0
"2991.fecund","2150","2096","2","M",14,"4","fecund",1,2991,1,0
"2992.fecund","3160","3045","3","M",14,"4","fecund",1,2992,1,0
"2993.fecund","1111","1080","1","M",14,"4","fecund",1,2993,1,0
"2994.fecund","3003","3117","3","M",14,"4","fecund",1,2994,1,0
"2995.fecund","1109","1062","1","M",14,"4","fecund",1,2995,1,0
"2996.fecund","2079","2219","2","M",14,"4","fecund",1,2996,1,0
"2997.fecund","3140","3188","3","M",14,"4","fecund",1,2997,1,0
"2998.fecund","1056","1148","1","M",14,"4","fecund",1,2998,1,0
"2999.fecund","3140","3120","3","M",14,"4","fecund",1,2999,1,0
"3000.fecund","2079","2109","2","M",14,"4","fecund",1,3000,1,0
"3001.fecund","2089","2065","2","M",14,"4","fecund",1,3001,1,0
"3002.fecund","1106","1098","1","M",14,"4","fecund",1,3002,1,0
"3003.fecund","3091","3076","3","M",14,"4","fecund",1,3003,1,0
"3004.fecund","1045","1176","1","M",14,"4","fecund",1,3004,1,0
"3005.fecund","1039","1054","1","M",14,"4","fecund",1,3005,1,0
"3006.fecund","1076","1018","1","M",14,"4","fecund",1,3006,1,0
"3007.fecund","2214","2092","2","M",14,"4","fecund",1,3007,1,0
"3008.fecund","2072","2187","2","M",14,"4","fecund",1,3008,1,0
"3009.fecund","2087","2007","2","M",14,"4","fecund",1,3009,1,0
"3010.fecund","1118","1130","1","M",14,"4","fecund",1,3010,1,0
"3011.fecund","2085","2059","2","M",14,"4","fecund",1,3011,1,0
"3012.fecund","1039","1054","1","M",14,"4","fecund",1,3012,1,0
"3013.fecund","1146","1112","1","M",14,"4","fecund",1,3013,1,0
"3014.fecund","1160","1117","1","M",14,"4","fecund",1,3014,1,0
"3015.fecund","3199","3195","3","M",14,"4","fecund",1,3015,1,0
"3016.fecund","3084","3082","3","M",14,"4","fecund",1,3016,1,0
"3017.fecund","3089","3172","3","M",15,"4","fecund",1,3017,1,0
"3018.fecund","2049","2221","2","M",15,"4","fecund",1,3018,1,0
"3019.fecund","1127","1135","1","M",15,"4","fecund",1,3019,1,0
"3020.fecund","1138","1089","1","M",15,"4","fecund",1,3020,1,0
"3021.fecund","2102","2202","2","M",15,"4","fecund",1,3021,1,0
"3022.fecund","1076","1023","1","M",15,"4","fecund",1,3022,1,0
"3023.fecund","3021","3074","3","M",15,"4","fecund",1,3023,1,0
"3024.fecund","3199","3047","3","M",15,"4","fecund",1,3024,1,0
"3025.fecund","2178","2058","2","M",15,"4","fecund",1,3025,1,0
"3026.fecund","1021","1156","1","M",15,"4","fecund",1,3026,1,0
"3027.fecund","3104","3066","3","M",15,"4","fecund",1,3027,1,0
"3028.fecund","3031","3097","3","M",15,"4","fecund",1,3028,1,0
"3029.fecund","2124","2176","2","M",15,"4","fecund",1,3029,1,0
"3030.fecund","1127","1058","1","M",15,"4","fecund",1,3030,1,0
"3031.fecund","2020","2210","2","M",15,"4","fecund",1,3031,1,0
"3032.fecund","1061","1059","1","M",15,"4","fecund",1,3032,1,0
"3033.fecund","2089","2131","2","M",15,"4","fecund",1,3033,1,0
"3034.fecund","1061","1141","1","M",15,"4","fecund",1,3034,1,0
"3035.fecund","1181","1159","1","M",15,"4","fecund",1,3035,1,0
"3036.fecund","2224","2155","2","M",15,"4","fecund",1,3036,1,0
"3037.fecund","2087","2054","2","M",15,"4","fecund",1,3037,1,0
