"","hdct02","hdct03","hdct04","pop","ewloc","nsloc","ld02","fl02","ld03","fl03","ld04","fl04"
"440",0,1,0,"Eriley",-6,-2,1,0,1,1,1,0
"441",0,1,2,"AA",-6,-1,1,0,1,1,1,1
"442",0,0,0,"NWLF",-6,0,1,0,1,0,1,0
"443",0,0,0,"Nessman",-6,1,1,0,1,0,1,0
"444",0,0,1,"Eriley",-6,2,1,0,1,0,1,1
"445",0,1,0,"NWLF",-6,3,1,0,1,1,1,0
"446",2,0,3,"NWLF",-6,4,1,1,1,0,1,1
"447",0,0,0,"AA",-6,5,0,0,0,0,0,0
"448",0,0,2,"Lf",-6,6,1,0,1,0,1,1
"449",0,0,2,"Stevens",-6,7,1,0,1,0,1,1
"450",0,1,1,"SPP",-6,8,1,0,1,1,1,1
"451",2,2,3,"NWLF",-6,9,1,1,1,1,1,1
"452",0,0,0,"NWLF",-6,10,0,0,0,0,0,0
"453",1,0,2,"Eriley",-6,11,1,1,1,0,1,1
"454",0,1,0,"SPP",-6,12,1,0,1,1,1,0
"455",0,0,0,"Eriley",-2,-12,1,0,1,0,1,0
"456",0,0,0,"SPP",-2,-11,0,0,0,0,0,0
"457",0,0,0,"Eriley",-2,-10,0,0,0,0,0,0
"458",1,0,0,"AA",-2,-8,1,1,1,0,0,0
"459",0,0,0,"Lf",-2,-7,1,0,0,0,0,0
"460",0,0,4,"SPP",-2,-6,1,0,1,0,1,1
"461",2,0,1,"Nessman",-2,-5,1,1,1,0,1,1
"462",0,0,0,"Nessman",-2,-4,1,0,1,0,1,0
"463",0,0,0,"Lf",-2,-3,1,0,1,0,1,0
"464",0,0,1,"Lf",-2,-2,1,0,1,0,1,1
"465",1,0,1,"Eriley",-2,-1,1,1,1,0,1,1
"466",1,0,1,"Eriley",-2,0,1,1,1,0,1,1
"467",0,0,0,"SPP",-2,1,0,0,0,0,0,0
"468",4,1,1,"SPP",-2,2,1,1,1,1,1,1
"469",2,1,1,"Eriley",-2,3,1,1,1,1,1,1
"470",4,2,0,"Nessman",-2,4,1,1,1,1,1,0
"471",2,1,1,"Eriley",-2,5,1,1,1,1,1,1
"472",0,2,0,"Eriley",-2,6,1,0,1,1,1,0
"473",2,0,3,"Eriley",-2,7,1,1,1,0,1,1
"474",1,0,3,"AA",-2,8,1,1,1,0,1,1
"475",0,0,1,"SPP",-2,10,1,0,1,0,1,1
"476",0,1,4,"SPP",-2,11,1,0,1,1,1,1
"477",1,0,4,"SPP",-2,12,1,1,1,0,1,1
"478",0,0,0,"Stevens",0,-12,1,0,1,0,0,0
"479",0,0,0,"NWLF",0,-11,0,0,0,0,0,0
"480",0,0,0,"SPP",0,-10,0,0,0,0,0,0
"481",0,0,0,"Stevens",0,-9,1,0,0,0,0,0
"482",0,0,0,"Lf",0,-8,1,0,1,0,1,0
"483",1,0,3,"Stevens",0,-7,1,1,1,0,1,1
"484",0,0,0,"Stevens",0,-6,0,0,0,0,0,0
"485",0,0,0,"NWLF",0,-5,0,0,0,0,0,0
"486",2,0,0,"Stevens",0,-4,1,1,0,0,0,0
"487",0,0,0,"Stevens",0,-3,1,0,1,0,1,0
"488",3,3,7,"Stevens",0,-2,1,1,1,1,1,1
"489",1,2,8,"NWLF",0,-1,1,1,1,1,1,1
"490",4,1,4,"NWLF",0,0,1,1,1,1,1,1
"491",2,2,2,"Lf",0,1,1,1,1,1,1,1
"492",0,0,0,"Stevens",0,2,0,0,0,0,0,0
"493",0,0,5,"NWLF",0,3,1,0,1,0,1,1
"494",3,2,0,"NWLF",0,4,1,1,1,1,1,0
"495",0,3,2,"NWLF",0,5,1,0,1,1,1,1
"496",2,0,4,"NWLF",0,6,1,1,1,0,1,1
"497",2,0,2,"NWLF",0,7,1,1,1,0,1,1
"498",3,1,3,"AA",0,8,1,1,1,1,1,1
"499",1,0,2,"NWLF",0,9,1,1,1,0,1,1
"500",0,0,0,"Stevens",0,10,0,0,0,0,0,0
"501",0,0,0,"Stevens",0,11,0,0,0,0,0,0
"502",2,0,0,"Stevens",0,12,1,1,1,0,0,0
"503",0,0,0,"NWLF",3,-12,1,0,0,0,0,0
"504",0,0,0,"SPP",3,-11,1,0,1,0,1,0
"505",0,0,1,"Eriley",3,-10,1,0,1,0,1,1
"506",0,0,0,"Stevens",3,-9,0,0,0,0,0,0
"507",1,1,0,"NWLF",3,-8,1,1,1,1,0,0
"508",1,0,2,"SPP",3,-7,1,1,1,0,1,1
"509",1,1,2,"SPP",3,-5,1,1,1,1,1,1
"510",0,0,0,"Eriley",3,-4,0,0,0,0,0,0
"511",0,0,1,"Eriley",3,-3,1,0,1,0,1,1
"512",1,0,4,"NWLF",3,-2,1,1,1,0,1,1
"513",0,0,0,"NWLF",3,-1,0,0,0,0,0,0
"514",0,1,1,"Lf",3,0,1,0,1,1,1,1
"515",0,1,0,"SPP",3,1,1,0,1,1,1,0
"516",0,1,5,"Stevens",3,2,1,0,1,1,1,1
"517",1,0,1,"NWLF",3,3,1,1,1,0,1,1
"518",0,0,0,"Stevens",3,4,0,0,0,0,0,0
"519",0,0,0,"Stevens",3,5,0,0,0,0,0,0
"520",1,0,0,"NWLF",3,6,1,1,1,0,1,0
"521",0,0,0,"Eriley",7,-12,1,0,1,0,1,0
"522",0,0,5,"Lf",7,-11,1,0,1,0,1,1
"523",0,0,0,"SPP",7,-10,1,0,1,0,1,0
"524",0,0,0,"Eriley",7,-9,0,0,0,0,0,0
"525",0,0,0,"Eriley",7,-8,1,0,1,0,1,0
"526",2,0,3,"Eriley",7,-7,1,1,1,0,1,1
"527",2,1,3,"Nessman",7,-6,1,1,1,1,1,1
"528",0,1,0,"Eriley",7,-5,1,0,1,1,1,0
"529",2,5,6,"SPP",7,-4,1,1,1,1,1,1
"530",0,0,4,"Eriley",7,-3,1,0,1,0,1,1
"531",1,3,1,"AA",7,-2,1,1,1,1,1,1
"532",0,0,1,"Eriley",7,-1,1,0,1,0,1,1
"533",3,3,3,"Eriley",7,0,1,1,1,1,1,1
"534",1,0,0,"SPP",7,1,1,1,1,0,1,0
"535",1,1,0,"Eriley",7,2,1,1,1,1,1,0
"536",1,0,0,"SPP",7,3,1,1,1,0,1,0
"537",1,0,1,"SPP",7,4,1,1,1,0,1,1
"538",0,0,3,"Nessman",7,5,1,0,1,0,1,1
"539",0,0,2,"AA",7,6,1,0,1,0,1,1
"540",0,0,0,"Eriley",7,7,1,0,1,0,1,0
"541",0,0,0,"Lf",7,8,0,0,0,0,0,0
"542",1,2,0,"Eriley",7,9,1,1,1,1,1,0
"543",0,0,1,"Nessman",7,10,1,0,1,0,1,1
"544",0,1,2,"SPP",7,11,1,0,1,1,1,1
"545",1,1,1,"SPP",7,12,1,1,1,1,1,1
"546",0,0,0,"NWLF",-10,-12,0,0,0,0,0,0
"547",0,0,0,"Lf",-10,-11,1,0,1,0,1,0
"548",0,0,0,"Stevens",-10,-10,0,0,0,0,0,0
"549",0,0,0,"NWLF",-10,-9,0,0,0,0,0,0
"550",0,0,0,"NWLF",-10,-8,0,0,0,0,0,0
"551",0,0,0,"NWLF",-10,-6,0,0,0,0,0,0
"552",0,0,0,"NWLF",-10,-5,1,0,1,0,1,0
"553",0,0,0,"Stevens",-10,-4,1,0,1,0,1,0
"554",1,0,2,"SPP",-10,-3,1,1,1,0,1,1
"555",0,0,0,"Stevens",-10,-2,0,0,0,0,0,0
"556",0,0,0,"NWLF",-10,-1,1,0,1,0,1,0
"557",0,0,0,"Stevens",-10,0,1,0,1,0,0,0
"558",0,0,0,"Stevens",-10,1,1,0,1,0,1,0
"559",0,0,0,"NWLF",-10,2,1,0,1,0,1,0
"560",0,0,0,"Stevens",-10,3,1,0,1,0,0,0
"561",0,0,0,"NWLF",-10,4,1,0,0,0,0,0
"562",0,0,1,"NWLF",-10,5,1,0,1,0,1,1
"563",0,0,1,"Lf",-10,7,1,0,1,0,1,1
"564",0,0,2,"AA",-10,8,1,0,1,0,1,1
"565",0,1,5,"Stevens",-10,9,1,0,1,1,1,1
"566",0,0,3,"Stevens",-10,10,1,0,1,0,1,1
"567",0,0,1,"NWLF",-10,11,1,0,1,0,1,1
"568",0,0,2,"Stevens",-10,12,1,0,1,0,1,1
"569",0,0,0,"Stevens",-10,6,0,0,0,0,0,0
"570",0,0,0,"Stevens",-10,-7,0,0,0,0,0,0
