"","isle","site","block","plot","trt","ears","yield"
"497","StVincent","UISV","B4",29,"T111",NA,22.5
"498","StVincent","UISV","B4",30,"T200",NA,22.2
"499","StVincent","UISV","B4",31,"T311",NA,26.8
"500","StVincent","UISV","B4",32,"T131",NA,23
"501","StVincent","UISV","B4",33,"T002",NA,11.4
"502","StVincent","UISV","B4",34,"T020",NA,19.5
"503","StVincent","UISV","B4",35,"T222",NA,25.5
"504","StVincent","UISV","B4",36,"T111",NA,19.8
"505","StVincent","OOSV","B1",1,"T111",NA,16
"506","StVincent","OOSV","B1",2,"T000",NA,12
"507","StVincent","OOSV","B1",3,"T113",NA,21.1
"508","StVincent","OOSV","B1",4,"T311",NA,22.1
"509","StVincent","OOSV","B1",5,"T111",NA,20
"510","StVincent","OOSV","B1",6,"T220",NA,23.2
"511","StVincent","OOSV","B1",7,"T202",NA,20.6
"512","StVincent","OOSV","B1",8,"T131",NA,12.8
"513","StVincent","OOSV","B1",9,"T022",NA,9
"514","StVincent","OOSV","B2",10,"T020",NA,12.3
"515","StVincent","OOSV","B2",11,"T002",NA,11
"516","StVincent","OOSV","B2",12,"T111",NA,17
"517","StVincent","OOSV","B2",13,"T113",NA,24
"518","StVincent","OOSV","B2",14,"T311",NA,28.5
"519","StVincent","OOSV","B2",15,"T200",NA,25.7
"520","StVincent","OOSV","B2",16,"T111",NA,13.1
"521","StVincent","OOSV","B2",17,"T222",NA,16.3
"522","StVincent","OOSV","B2",18,"T131",NA,15
"523","StVincent","OOSV","B3",19,"T131",NA,13.1
"524","StVincent","OOSV","B3",20,"T022",NA,10
"525","StVincent","OOSV","B3",21,"T202",NA,14
"526","StVincent","OOSV","B3",22,"T220",NA,18.8
"527","StVincent","OOSV","B3",23,"T111",NA,14
"528","StVincent","OOSV","B3",24,"T113",NA,11
"529","StVincent","OOSV","B3",25,"T111",NA,18.1
"530","StVincent","OOSV","B3",26,"T000",NA,12.1
"531","StVincent","OOSV","B3",27,"T311",NA,28
"532","StVincent","OOSV","B4",28,"T311",NA,20.6
"533","StVincent","OOSV","B4",29,"T113",NA,10.1
"534","StVincent","OOSV","B4",30,"T200",NA,19.2
"535","StVincent","OOSV","B4",31,"T002",NA,7.6
"536","StVincent","OOSV","B4",32,"T020",NA,8.2
"537","StVincent","OOSV","B4",33,"T222",NA,23.1
"538","StVincent","OOSV","B4",34,"T111",NA,15.8
"539","StVincent","OOSV","B4",35,"T111",NA,18.6
"540","StVincent","OOSV","B4",36,"T113",NA,20
"541","StVincent","OTSV","B1",1,"T022",NA,12.2
"542","StVincent","OTSV","B1",2,"T113",NA,19.8
"543","StVincent","OTSV","B1",3,"T131",NA,19.9
"544","StVincent","OTSV","B1",4,"T311",NA,25.3
"545","StVincent","OTSV","B1",5,"T111",NA,19
"546","StVincent","OTSV","B1",6,"T111",NA,20.5
"547","StVincent","OTSV","B1",7,"T000",NA,7.8
"548","StVincent","OTSV","B1",8,"T202",NA,17.8
"549","StVincent","OTSV","B1",9,"T220",NA,19.7
"550","StVincent","OTSV","B2",10,"T020",NA,13.1
"551","StVincent","OTSV","B2",11,"T311",NA,22.4
"552","StVincent","OTSV","B2",12,"T113",NA,23.2
"553","StVincent","OTSV","B2",13,"T111",NA,17.8
"554","StVincent","OTSV","B2",14,"T200",NA,20
"555","StVincent","OTSV","B2",15,"T002",NA,20
"556","StVincent","OTSV","B2",16,"T131",NA,15.6
"557","StVincent","OTSV","B2",17,"T222",NA,15.7
"558","StVincent","OTSV","B2",18,"T111",NA,29.1
"559","StVincent","OTSV","B3",19,"T311",NA,13.1
"560","StVincent","OTSV","B3",20,"T022",NA,20.4
"561","StVincent","OTSV","B3",21,"T111",NA,10.8
"562","StVincent","OTSV","B3",22,"T000",NA,18.4
"563","StVincent","OTSV","B3",23,"T220",NA,14
"564","StVincent","OTSV","B3",24,"T131",NA,14.2
"565","StVincent","OTSV","B3",25,"T111",NA,14.1
"566","StVincent","OTSV","B3",26,"T113",NA,18.4
"567","StVincent","OTSV","B3",27,"T202",NA,20.5
"568","StVincent","OTSV","B4",28,"T113",NA,13
"569","StVincent","OTSV","B4",29,"T020",NA,8.4
"570","StVincent","OTSV","B4",30,"T002",NA,10
"571","StVincent","OTSV","B4",31,"T311",NA,14.1
"572","StVincent","OTSV","B4",32,"T200",NA,18.1
"573","StVincent","OTSV","B4",33,"T222",NA,22.2
"574","StVincent","OTSV","B4",34,"T131",NA,14.2
"575","StVincent","OTSV","B4",35,"T111",NA,12.1
"576","StVincent","OTSV","B4",36,"T111",NA,13
"577","StVincent","LPSV","B1",1,"T311",NA,14.2
"578","StVincent","LPSV","B1",2,"T111",NA,8.2
"579","StVincent","LPSV","B1",3,"T220",NA,3.5
"580","StVincent","LPSV","B1",4,"T022",NA,7.2
"581","StVincent","LPSV","B1",5,"T131",NA,9.2
"582","StVincent","LPSV","B1",6,"T202",NA,8.5
"583","StVincent","LPSV","B1",7,"T111",NA,6.7
"584","StVincent","LPSV","B1",8,"T000",NA,7.5
"585","StVincent","LPSV","B1",9,"T113",NA,14.2
"586","StVincent","LPSV","B2",10,"T111",NA,4.5
"587","StVincent","LPSV","B2",11,"T200",NA,8
"588","StVincent","LPSV","B2",12,"T222",NA,5.5
"589","StVincent","LPSV","B2",13,"T131",NA,9.1
"590","StVincent","LPSV","B2",14,"T111",NA,7.2
"591","StVincent","LPSV","B2",15,"T311",NA,8.7
"592","StVincent","LPSV","B2",16,"T020",NA,6.1
"593","StVincent","LPSV","B2",17,"T113",NA,16.3
"594","StVincent","LPSV","B2",18,"T002",NA,15.2
"595","StVincent","LPSV","B3",19,"T111",NA,7.1
"596","StVincent","LPSV","B3",20,"T000",NA,6.1
"597","StVincent","LPSV","B3",21,"T220",NA,16
"598","StVincent","LPSV","B3",22,"T202",NA,16.8
"599","StVincent","LPSV","B3",23,"T131",NA,13.5
"600","StVincent","LPSV","B3",24,"T022",NA,8.8
"601","StVincent","LPSV","B3",25,"T111",NA,18.2
"602","StVincent","LPSV","B3",26,"T311",NA,13.5
"603","StVincent","LPSV","B3",27,"T113",NA,15.9
"604","StVincent","LPSV","B4",28,"T111",NA,17.5
"605","StVincent","LPSV","B4",29,"T113",NA,11
"606","StVincent","LPSV","B4",30,"T131",NA,11.4
"607","StVincent","LPSV","B4",31,"T111",NA,14.9
"608","StVincent","LPSV","B4",32,"T200",NA,24.5
"609","StVincent","LPSV","B4",33,"T002",NA,9
"610","StVincent","LPSV","B4",34,"T020",NA,7.1
"611","StVincent","LPSV","B4",35,"T222",NA,12.9
"612","StVincent","LPSV","B4",36,"T311",NA,6.8
