"","yield","rep","gen","env"
"777",2432,"R3","Well","A77"
"778",3218,"R3","Evan","C77"
"779",2747,"R3","Wilk","C77"
"780",1307,"R3","Chip","C77"
"781",2203,"R3","Hodg","C77"
"782",1115,"R3","S200","C77"
"783",1864,"R3","Cors","C77"
"784",912,"R3","Well","C77"
"785",2466,"R3","Evan","V77"
"786",1123,"R3","Wilk","V77"
"787",2440,"R3","Chip","V77"
"788",2473,"R3","Hodg","V77"
"789",3337,"R3","S200","V77"
"790",2719,"R3","Cors","V77"
"791",2327,"R3","Well","V77"
"792",1490,"R3","Evan","V78"
"793",1263,"R3","Wilk","V78"
"794",1389,"R3","Chip","V78"
"795",1459,"R3","Hodg","V78"
"796",2162,"R3","S200","V78"
"797",1565,"R3","Cors","V78"
"798",1295,"R3","Well","V78"
"799",3046,"R3","Evan","A79"
"800",2289,"R3","Wilk","A79"
"801",2590,"R3","Chip","A79"
"802",2790,"R3","Hodg","A79"
"803",3367,"R3","S200","A79"
"804",2823,"R3","Cors","A79"
"805",2654,"R3","Well","A79"
"806",2658,"R3","Evan","C79"
"807",2619,"R3","Wilk","C79"
"808",1787,"R3","Chip","C79"
"809",1999,"R3","Hodg","C79"
"810",1296,"R3","S200","C79"
"811",1467,"R3","Cors","C79"
"812",1167,"R3","Well","C79"
"813",2369,"R3","Evan","G79"
"814",2440,"R3","Wilk","G79"
"815",2382,"R3","Chip","G79"
"816",2906,"R3","Hodg","G79"
"817",1674,"R3","Evan","R79"
"818",1839,"R3","Wilk","R79"
"819",1576,"R3","Chip","R79"
"820",2203,"R3","Hodg","R79"
"821",2165,"R3","S200","R79"
"822",2155,"R3","Cors","R79"
"823",2223,"R3","Well","R79"
"824",1013,"R3","Evan","V79"
"825",381,"R3","Wilk","V79"
"826",1390,"R3","Chip","V79"
"827",1646,"R3","Hodg","V79"
"828",1932,"R3","S200","V79"
"829",1463,"R3","Cors","V79"
"830",2079,"R3","Well","V79"
"831",3020,"R3","Evan","A80"
"832",3130,"R3","Wilk","A80"
"833",2449,"R3","Chip","A80"
"834",3485,"R3","Hodg","A80"
"835",2366,"R3","S200","A80"
"836",3523,"R3","Cors","A80"
"837",2023,"R3","Well","A80"
"838",2991,"R3","Evan","C80"
"839",3305,"R3","Wilk","C80"
"840",2282,"R3","Chip","C80"
"841",2945,"R3","Hodg","C80"
"842",2231,"R3","S200","C80"
"843",2230,"R3","Cors","C80"
"844",1935,"R3","Well","C80"
"845",3041,"R3","Evan","G80"
"846",2958,"R3","Wilk","G80"
"847",3565,"R3","Chip","G80"
"848",4389,"R3","Hodg","G80"
"849",3702,"R3","S200","G80"
"850",4788,"R3","Cors","G80"
"851",3147,"R3","Well","G80"
"852",1866,"R3","Evan","D80"
"853",1483,"R3","Wilk","D80"
"854",1747,"R3","Chip","D80"
"855",1829,"R3","Hodg","D80"
"856",1798,"R3","S200","D80"
"857",2816,"R3","Cors","D80"
"858",1385,"R3","Well","D80"
"859",2193,"R3","Evan","R80"
"860",1698,"R3","Wilk","R80"
"861",2180,"R3","Chip","R80"
"862",2942,"R3","Hodg","R80"
"863",2736,"R3","S200","R80"
"864",2565,"R3","Cors","R80"
"865",2189,"R3","Well","R80"
"866",3078,"R3","Evan","V80"
"867",2128,"R3","Wilk","V80"
"868",1807,"R3","Chip","V80"
"869",1658,"R3","Hodg","V80"
"870",1188,"R3","S200","V80"
"871",2595,"R3","Cors","V80"
"872",1740,"R3","Well","V80"
"873",3214,"R3","Evan","A81"
"874",2664,"R3","Wilk","A81"
"875",2731,"R3","Chip","A81"
"876",2701,"R3","Hodg","A81"
"877",2421,"R3","S200","A81"
"878",3017,"R3","Cors","A81"
"879",3257,"R3","Well","A81"
"880",3098,"R3","Evan","C81"
"881",3094,"R3","Wilk","C81"
"882",1966,"R3","Chip","C81"
"883",2414,"R3","Hodg","C81"
"884",1379,"R3","S200","C81"
"885",1409,"R3","Cors","C81"
"886",1618,"R3","Well","C81"
"887",3694,"R3","Evan","G81"
"888",3520,"R3","Wilk","G81"
"889",3265,"R3","Chip","G81"
"890",4165,"R3","Hodg","G81"
"891",2839,"R3","S200","G81"
"892",4289,"R3","Cors","G81"
"893",3783,"R3","Well","G81"
"894",2965,"R3","Evan","L81"
"895",2409,"R3","Wilk","L81"
"896",2673,"R3","Chip","L81"
"897",2977,"R3","Hodg","L81"
"898",2520,"R3","S200","L81"
"899",2710,"R3","Cors","L81"
"900",3144,"R3","Well","L81"
"901",2642,"R3","Evan","D81"
"902",2016,"R3","Wilk","D81"
"903",2395,"R3","Chip","D81"
"904",3358,"R3","Hodg","D81"
"905",2919,"R3","S200","D81"
"906",2212,"R3","Cors","D81"
"907",1983,"R3","Well","D81"
"908",1968,"R3","Evan","R81"
"909",1091,"R3","Wilk","R81"
"910",2198,"R3","Chip","R81"
"911",2742,"R3","Hodg","R81"
"912",2520,"R3","S200","R81"
"913",2825,"R3","Cors","R81"
"914",2428,"R3","Well","R81"
"915",3206,"R3","Evan","V81"
"916",3272,"R3","Wilk","V81"
"917",2265,"R3","Chip","V81"
"918",2404,"R3","Hodg","V81"
"919",2230,"R3","S200","V81"
"920",2346,"R3","Cors","V81"
"921",2286,"R3","Well","V81"
"922",1938,"R3","Evan","A82"
"923",2112,"R3","Wilk","A82"
"924",1888,"R3","Chip","A82"
"925",2122,"R3","Hodg","A82"
"926",2281,"R3","S200","A82"
"927",2726,"R3","Cors","A82"
"928",2446,"R3","Well","A82"
"929",3966,"R3","Evan","G82"
"930",3566,"R3","Wilk","G82"
"931",2786,"R3","Chip","G82"
"932",3632,"R3","Hodg","G82"
"933",3897,"R3","S200","G82"
"934",4309,"R3","Cors","G82"
"935",3195,"R3","Well","G82"
"936",2130,"R3","Evan","V82"
"937",1895,"R3","Wilk","V82"
"938",1251,"R3","Chip","V82"
"939",1463,"R3","Hodg","V82"
"940",1222,"R3","S200","V82"
"941",1245,"R3","Cors","V82"
"942",2091,"R3","Well","V82"
"943",1717,"R3","Evan","A83"
"944",1416,"R3","Wilk","A83"
"945",2194,"R3","Chip","A83"
"946",2583,"R3","Hodg","A83"
"947",2386,"R3","S200","A83"
"948",1831,"R3","Cors","A83"
"949",2079,"R3","Well","A83"
"950",885,"R3","Evan","I83"
"951",954,"R3","Wilk","I83"
"952",1650,"R3","Chip","I83"
"953",1952,"R3","Hodg","I83"
"954",2192,"R3","S200","I83"
"955",2229,"R3","Cors","I83"
"956",2184,"R3","Well","I83"
"957",4394,"R3","Evan","G83"
"958",3950,"R3","Wilk","G83"
"959",3009,"R3","Chip","G83"
"960",4729,"R3","Hodg","G83"
"961",3810,"R3","S200","G83"
"962",4237,"R3","Cors","G83"
"963",3521,"R3","Well","G83"
"964",3274,"R3","Evan","A84"
"965",3037,"R3","Wilk","A84"
"966",3255,"R3","Chip","A84"
"967",3947,"R3","Hodg","A84"
"968",3666,"R3","S200","A84"
"969",3565,"R3","Cors","A84"
"970",2957,"R3","Well","A84"
"971",2928,"R3","Evan","N84"
"972",2618,"R3","Wilk","N84"
"973",2534,"R3","Chip","N84"
"974",3025,"R3","Hodg","N84"
"975",3573,"R3","S200","N84"
"976",2944,"R3","Cors","N84"
"977",2646,"R3","Well","N84"
"978",3016,"R3","Evan","C84"
"979",2736,"R3","Wilk","C84"
"980",2363,"R3","Chip","C84"
"981",3148,"R3","Hodg","C84"
"982",2612,"R3","S200","C84"
"983",2429,"R3","Cors","C84"
"984",2746,"R3","Well","C84"
"985",2106,"R3","Evan","I84"
"986",2067,"R3","Wilk","I84"
"987",2156,"R3","Chip","I84"
"988",2237,"R3","Hodg","I84"
"989",2291,"R3","S200","I84"
"990",2130,"R3","Cors","I84"
"991",2102,"R3","Well","I84"
"992",3031,"R3","Chip","G84"
"993",4071,"R3","Hodg","G84"
"994",4290,"R3","S200","G84"
"995",4272,"R3","Cors","G84"
"996",3598,"R3","Well","G84"
"997",1236,"R3","Evan","A85"
"998",951,"R3","Chip","A85"
"999",1455,"R3","Hodg","A85"
"1000",1072,"R3","S200","A85"
"1001",837,"R3","Cors","A85"
"1002",1043,"R3","Well","A85"
"1003",2196,"R3","Evan","N85"
"1004",1521,"R3","Wilk","N85"
"1005",2296,"R3","Chip","N85"
"1006",2105,"R3","Hodg","N85"
"1007",2548,"R3","S200","N85"
"1008",2662,"R3","Cors","N85"
"1009",2168,"R3","Well","N85"
"1010",3022,"R3","Evan","C85"
"1011",3097,"R3","Wilk","C85"
"1012",2610,"R3","Chip","C85"
"1013",2841,"R3","Hodg","C85"
"1014",3238,"R3","S200","C85"
"1015",2957,"R3","Cors","C85"
"1016",2482,"R3","Well","C85"
"1017",1609,"R3","Evan","I85"
"1018",1416,"R3","Wilk","I85"
"1019",1591,"R3","Chip","I85"
"1020",1825,"R3","Hodg","I85"
"1021",1414,"R3","S200","I85"
"1022",1615,"R3","Cors","I85"
"1023",1508,"R3","Well","I85"
"1024",3489,"R3","Evan","G85"
"1025",3263,"R3","Wilk","G85"
"1026",2742,"R3","Chip","G85"
"1027",3213,"R3","Hodg","G85"
"1028",3569,"R3","S200","G85"
"1029",3275,"R3","Cors","G85"
"1030",3305,"R3","Well","G85"
"1031",3105,"R3","Evan","A86"
"1032",2835,"R3","Wilk","A86"
"1033",2815,"R3","Chip","A86"
"1034",3276,"R3","Hodg","A86"
"1035",3188,"R3","S200","A86"
"1036",3613,"R3","Cors","A86"
"1037",3353,"R3","Well","A86"
"1038",2812,"R3","Evan","C86"
"1039",2434,"R3","Wilk","C86"
"1040",1970,"R3","Chip","C86"
"1041",2143,"R3","Hodg","C86"
"1042",1860,"R3","S200","C86"
"1043",1713,"R3","Cors","C86"
"1044",1639,"R3","Well","C86"
"1045",3561,"R3","Evan","G86"
"1046",3035,"R3","Wilk","G86"
"1047",3161,"R3","Chip","G86"
"1048",3490,"R3","Hodg","G86"
"1049",2963,"R3","S200","G86"
"1050",3066,"R3","Cors","G86"
"1051",3342,"R3","Well","G86"
"1052",2239,"R3","Evan","E86"
"1053",1741,"R3","Wilk","E86"
"1054",2412,"R3","Chip","E86"
"1055",2979,"R3","Hodg","E86"
"1056",2411,"R3","S200","E86"
"1057",3079,"R3","Cors","E86"
"1058",2875,"R3","Well","E86"
"1059",2550,"R3","Evan","N86"
"1060",2128,"R3","Wilk","N86"
"1061",2873,"R3","Chip","N86"
"1062",2308,"R3","Hodg","N86"
"1063",1517,"R3","S200","N86"
"1064",1866,"R3","Cors","N86"
"1065",1703,"R3","Well","N86"
"1066",2872,"R3","Evan","A87"
"1067",2122,"R3","Wilk","A87"
"1068",2316,"R3","Chip","A87"
"1069",2188,"R3","Hodg","A87"
"1070",2762,"R3","S200","A87"
"1071",2544,"R3","Cors","A87"
"1072",2709,"R3","Well","A87"
"1073",2495,"R3","Evan","N87"
"1074",2138,"R3","Wilk","N87"
"1075",2443,"R3","Chip","N87"
"1076",2941,"R3","Hodg","N87"
"1077",2786,"R3","S200","N87"
"1078",3067,"R3","Cors","N87"
"1079",2580,"R3","Well","N87"
"1080",3470,"R3","Evan","C87"
"1081",3169,"R3","Wilk","C87"
"1082",2357,"R3","Chip","C87"
"1083",2302,"R3","Hodg","C87"
"1084",1257,"R3","S200","C87"
"1085",1998,"R3","Cors","C87"
"1086",1577,"R3","Well","C87"
"1087",3150,"R3","Evan","E87"
"1088",2104,"R3","Wilk","E87"
"1089",2748,"R3","Chip","E87"
"1090",2946,"R3","Hodg","E87"
"1091",2753,"R3","S200","E87"
"1092",2578,"R3","Cors","E87"
"1093",1680,"R3","Well","E87"
"1094",3063,"R3","Evan","G87"
"1095",3081,"R3","Wilk","G87"
"1096",2866,"R3","Chip","G87"
"1097",3307,"R3","Hodg","G87"
"1098",1876,"R3","S200","G87"
"1099",1513,"R3","Cors","G87"
"1100",2605,"R3","Well","G87"
"1101",2947,"R3","Evan","A88"
"1102",2104,"R3","Wilk","A88"
"1103",2712,"R3","Chip","A88"
"1104",3205,"R3","Hodg","A88"
"1105",3455,"R3","S200","A88"
"1106",2791,"R3","Cors","A88"
"1107",2991,"R3","Well","A88"
"1108",3283,"R3","Evan","N88"
"1109",3063,"R3","Wilk","N88"
"1110",2363,"R3","Chip","N88"
"1111",3529,"R3","Hodg","N88"
"1112",3391,"R3","S200","N88"
"1113",4208,"R3","Cors","N88"
"1114",3315,"R3","Well","N88"
"1115",3818,"R3","Evan","C88"
"1116",3532,"R3","Wilk","C88"
"1117",3042,"R3","Chip","C88"
"1118",3362,"R3","Hodg","C88"
"1119",2353,"R3","S200","C88"
"1120",2666,"R3","Cors","C88"
"1121",3005,"R3","Well","C88"
"1122",2888,"R3","Evan","E88"
"1123",2781,"R3","Wilk","E88"
"1124",2737,"R3","Chip","E88"
"1125",2894,"R3","Hodg","E88"
"1126",2022,"R3","S200","E88"
"1127",2073,"R3","Cors","E88"
"1128",2405,"R3","Well","E88"
"1129",4273,"R3","Evan","G88"
"1130",4749,"R3","Wilk","G88"
"1131",3492,"R3","Chip","G88"
"1132",5522,"R3","Hodg","G88"
"1133",4243,"R3","S200","G88"
"1134",3790,"R3","Cors","G88"
"1135",2750,"R3","Well","G88"
"1136",2832,"R4","Evan","A77"
"1137",2528,"R4","Wilk","A77"
"1138",2079,"R4","Chip","A77"
"1139",3218,"R4","Hodg","A77"
"1140",2641,"R4","S200","A77"
"1141",2823,"R4","Cors","A77"
"1142",2866,"R4","Well","A77"
"1143",2732,"R4","Evan","C77"
"1144",2839,"R4","Wilk","C77"
"1145",1757,"R4","Chip","C77"
"1146",2483,"R4","Hodg","C77"
"1147",1114,"R4","S200","C77"
"1148",1453,"R4","Cors","C77"
"1149",1137,"R4","Well","C77"
"1150",1613,"R4","Evan","V78"
"1151",1377,"R4","Wilk","V78"
"1152",1341,"R4","Chip","V78"
"1153",1663,"R4","Hodg","V78"
"1154",2520,"R4","S200","V78"
"1155",2335,"R4","Cors","V78"
"1156",1924,"R4","Well","V78"
"1157",3274,"R4","Evan","A79"
"1158",2473,"R4","Chip","A79"
"1159",3516,"R4","Hodg","A79"
"1160",3683,"R4","S200","A79"
"1161",2817,"R4","Well","A79"
"1162",2759,"R4","Evan","C79"
"1163",2571,"R4","Wilk","C79"
"1164",2109,"R4","Hodg","C79"
"1165",2266,"R4","S200","C79"
"1166",1856,"R4","Cors","C79"
"1167",1280,"R4","Well","C79"
"1168",3469,"R4","Evan","G79"
"1169",2038,"R4","Wilk","G79"
"1170",3310,"R4","Hodg","G79"
"1171",1404,"R4","Evan","R79"
"1172",813,"R4","Wilk","R79"
"1173",1749,"R4","Chip","R79"
"1174",2198,"R4","Hodg","R79"
"1175",2131,"R4","S200","R79"
"1176",1917,"R4","Cors","R79"
"1177",1995,"R4","Well","R79"
"1178",1004,"R4","Evan","V79"
"1179",616,"R4","Wilk","V79"
"1180",1178,"R4","Chip","V79"
"1181",1568,"R4","Hodg","V79"
"1182",1486,"R4","S200","V79"
"1183",981,"R4","Cors","V79"
"1184",1472,"R4","Well","V79"
"1185",3098,"R4","Evan","A80"
"1186",2771,"R4","Wilk","A80"
"1187",2309,"R4","Chip","A80"
"1188",3495,"R4","Hodg","A80"
"1189",3104,"R4","S200","A80"
"1190",3164,"R4","Cors","A80"
"1191",1930,"R4","Well","A80"
"1192",4061,"R4","Evan","G80"
"1193",2960,"R4","Wilk","G80"
"1194",3204,"R4","Chip","G80"
"1195",4241,"R4","Hodg","G80"
"1196",4112,"R4","S200","G80"
"1197",3993,"R4","Cors","G80"
"1198",3501,"R4","Well","G80"
"1199",2073,"R4","Evan","D80"
"1200",1326,"R4","Wilk","D80"
"1201",1671,"R4","Chip","D80"
"1202",2279,"R4","Hodg","D80"
"1203",2170,"R4","S200","D80"
"1204",1990,"R4","Cors","D80"
"1205",2848,"R4","Well","D80"
"1206",2419,"R4","Evan","V80"
"1207",2442,"R4","Wilk","V80"
"1208",1871,"R4","Chip","V80"
"1209",1944,"R4","Hodg","V80"
"1210",1821,"R4","S200","V80"
"1211",1898,"R4","Cors","V80"
"1212",2076,"R4","Well","V80"
"1213",2545,"R4","Evan","A81"
"1214",2404,"R4","Wilk","A81"
"1215",2535,"R4","Chip","A81"
"1216",3555,"R4","Hodg","A81"
"1217",2798,"R4","S200","A81"
"1218",3487,"R4","Cors","A81"
"1219",2785,"R4","Well","A81"
"1220",3144,"R4","Evan","C81"
"1221",3170,"R4","Wilk","C81"
"1222",1431,"R4","Chip","C81"
"1223",2677,"R4","Hodg","C81"
"1224",1707,"R4","S200","C81"
"1225",2470,"R4","Cors","C81"
"1226",1441,"R4","Well","C81"
"1227",2661,"R4","Evan","G81"
"1228",2415,"R4","Wilk","G81"
"1229",3273,"R4","Chip","G81"
"1230",3915,"R4","Hodg","G81"
"1231",3961,"R4","S200","G81"
"1232",4221,"R4","Cors","G81"
"1233",2966,"R4","Well","G81"
"1234",3310,"R4","Evan","L81"
"1235",2654,"R4","Wilk","L81"
"1236",2585,"R4","Chip","L81"
"1237",2742,"R4","Hodg","L81"
"1238",2671,"R4","S200","L81"
"1239",2957,"R4","Cors","L81"
"1240",2716,"R4","Well","L81"
"1241",2642,"R4","Evan","D81"
"1242",2333,"R4","Wilk","D81"
"1243",2968,"R4","Chip","D81"
"1244",2845,"R4","Hodg","D81"
"1245",2467,"R4","Cors","D81"
"1246",2255,"R4","Well","D81"
"1247",2309,"R4","Evan","R81"
"1248",1545,"R4","Wilk","R81"
"1249",1920,"R4","Chip","R81"
"1250",3028,"R4","Hodg","R81"
"1251",2650,"R4","S200","R81"
"1252",3750,"R4","Cors","R81"
"1253",2757,"R4","Well","R81"
"1254",2912,"R4","Evan","V81"
"1255",3807,"R4","Wilk","V81"
"1256",2452,"R4","Chip","V81"
"1257",1921,"R4","Hodg","V81"
"1258",2580,"R4","S200","V81"
"1259",2279,"R4","Cors","V81"
"1260",1697,"R4","Well","V81"
"1261",2285,"R4","Evan","A82"
"1262",1770,"R4","Wilk","A82"
"1263",1765,"R4","Chip","A82"
"1264",2413,"R4","Hodg","A82"
"1265",2556,"R4","Cors","A82"
"1266",2605,"R4","Well","A82"
"1267",3897,"R4","Evan","G82"
"1268",3159,"R4","Wilk","G82"
"1269",2738,"R4","Chip","G82"
"1270",3797,"R4","Hodg","G82"
"1271",4204,"R4","S200","G82"
"1272",3905,"R4","Cors","G82"
"1273",3134,"R4","Well","G82"
"1274",1812,"R4","Evan","V82"
"1275",1579,"R4","Wilk","V82"
"1276",2447,"R4","Hodg","V82"
"1277",1190,"R4","S200","V82"
"1278",1384,"R4","Cors","V82"
"1279",1083,"R4","Well","V82"
"1280",3432,"R4","Evan","A83"
"1281",2272,"R4","Wilk","A83"
"1282",1808,"R4","Chip","A83"
"1283",2305,"R4","Hodg","A83"
"1284",2074,"R4","S200","A83"
"1285",2045,"R4","Cors","A83"
"1286",1866,"R4","Well","A83"
"1287",1602,"R4","Evan","I83"
"1288",1032,"R4","Wilk","I83"
"1289",2222,"R4","Chip","I83"
"1290",1536,"R4","Hodg","I83"
"1291",2130,"R4","S200","I83"
"1292",1789,"R4","Cors","I83"
"1293",1925,"R4","Well","I83"
"1294",4778,"R4","Evan","G83"
"1295",3881,"R4","Wilk","G83"
"1296",3529,"R4","Chip","G83"
"1297",4402,"R4","Hodg","G83"
"1298",3564,"R4","S200","G83"
"1299",3506,"R4","Cors","G83"
"1300",3409,"R4","Well","G83"
"1301",2898,"R4","Evan","A84"
"1302",2764,"R4","Wilk","A84"
"1303",3255,"R4","Chip","A84"
"1304",3682,"R4","Hodg","A84"
"1305",3239,"R4","S200","A84"
"1306",3719,"R4","Cors","A84"
"1307",3681,"R4","Well","A84"
"1308",3010,"R4","Evan","N84"
"1309",2627,"R4","Wilk","N84"
"1310",2828,"R4","Chip","N84"
"1311",3107,"R4","Hodg","N84"
"1312",3241,"R4","S200","N84"
"1313",3422,"R4","Cors","N84"
"1314",2601,"R4","Well","N84"
"1315",2983,"R4","Evan","C84"
"1316",2834,"R4","Wilk","C84"
"1317",2375,"R4","Chip","C84"
"1318",2989,"R4","Hodg","C84"
"1319",2930,"R4","S200","C84"
"1320",2721,"R4","Cors","C84"
"1321",2244,"R4","Well","C84"
"1322",1450,"R4","Evan","I84"
"1323",1449,"R4","Wilk","I84"
"1324",2112,"R4","Chip","I84"
"1325",2297,"R4","Hodg","I84"
"1326",1997,"R4","S200","I84"
"1327",2305,"R4","Cors","I84"
"1328",2179,"R4","Well","I84"
"1329",4557,"R4","S200","G84"
"1330",4006,"R4","Cors","G84"
"1331",3996,"R4","Well","G84"
"1332",838,"R4","Evan","A85"
"1333",2279,"R4","Evan","N85"
"1334",1529,"R4","Wilk","N85"
"1335",1827,"R4","Chip","N85"
"1336",2326,"R4","Hodg","N85"
"1337",2498,"R4","S200","N85"
"1338",2504,"R4","Cors","N85"
"1339",2128,"R4","Well","N85"
"1340",3304,"R4","Evan","C85"
"1341",2734,"R4","Wilk","C85"
"1342",3023,"R4","Chip","C85"
"1343",2786,"R4","Hodg","C85"
"1344",2377,"R4","S200","C85"
"1345",2479,"R4","Well","C85"
"1346",1593,"R4","Evan","I85"
"1347",1574,"R4","Wilk","I85"
"1348",1637,"R4","Chip","I85"
"1349",1870,"R4","Hodg","I85"
"1350",1262,"R4","S200","I85"
"1351",1797,"R4","Cors","I85"
"1352",1593,"R4","Well","I85"
"1353",3263,"R4","Evan","G85"
"1354",3121,"R4","Wilk","G85"
"1355",3207,"R4","Chip","G85"
"1356",3709,"R4","Hodg","G85"
"1357",3589,"R4","S200","G85"
"1358",3207,"R4","Cors","G85"
"1359",2992,"R4","Well","G85"
"1360",2922,"R4","Evan","A86"
"1361",2570,"R4","Wilk","A86"
"1362",2794,"R4","Chip","A86"
"1363",3727,"R4","Hodg","A86"
"1364",3367,"R4","S200","A86"
"1365",3677,"R4","Cors","A86"
"1366",3650,"R4","Well","A86"
"1367",2965,"R4","Evan","C86"
"1368",2309,"R4","Wilk","C86"
"1369",2145,"R4","Chip","C86"
"1370",2461,"R4","Hodg","C86"
"1371",1617,"R4","S200","C86"
"1372",1900,"R4","Cors","C86"
"1373",1973,"R4","Well","C86"
"1374",3799,"R4","Wilk","G86"
"1375",3010,"R4","Hodg","G86"
"1376",2916,"R4","S200","G86"
"1377",2236,"R4","Cors","G86"
"1378",3222,"R4","Well","G86"
"1379",1934,"R4","Evan","E86"
"1380",2415,"R4","Chip","E86"
"1381",3172,"R4","Hodg","E86"
"1382",2358,"R4","Evan","N86"
"1383",2571,"R4","Wilk","N86"
"1384",1925,"R4","Chip","N86"
"1385",2110,"R4","Hodg","N86"
"1386",1593,"R4","S200","N86"
"1387",2118,"R4","Cors","N86"
"1388",1718,"R4","Well","N86"
"1389",2383,"R4","Evan","A87"
"1390",2225,"R4","Wilk","A87"
"1391",2424,"R4","Chip","A87"
"1392",3827,"R4","Hodg","A87"
"1393",2786,"R4","S200","A87"
"1394",2496,"R4","Cors","A87"
"1395",3136,"R4","Well","A87"
"1396",2793,"R4","Evan","N87"
"1397",2617,"R4","Wilk","N87"
"1398",2752,"R4","Chip","N87"
"1399",3122,"R4","Hodg","N87"
"1400",2655,"R4","S200","N87"
"1401",2438,"R4","Cors","N87"
"1402",2484,"R4","Well","N87"
"1403",3307,"R4","Evan","C87"
"1404",3139,"R4","Wilk","C87"
"1405",2429,"R4","Chip","C87"
"1406",3041,"R4","Hodg","C87"
"1407",1207,"R4","S200","C87"
"1408",1363,"R4","Cors","C87"
"1409",1932,"R4","Well","C87"
"1410",2347,"R4","Evan","E87"
"1411",2727,"R4","Wilk","E87"
"1412",2532,"R4","Chip","E87"
"1413",2693,"R4","Hodg","E87"
"1414",3219,"R4","S200","E87"
"1415",2615,"R4","Cors","E87"
"1416",3175,"R4","Evan","G87"
"1417",3167,"R4","Wilk","G87"
"1418",2440,"R4","Chip","G87"
"1419",2598,"R4","Hodg","G87"
"1420",3018,"R4","S200","G87"
"1421",3591,"R4","Cors","G87"
"1422",3027,"R4","Well","G87"
"1423",2538,"R4","Evan","A88"
"1424",2292,"R4","Wilk","A88"
"1425",2679,"R4","Chip","A88"
"1426",3069,"R4","Hodg","A88"
"1427",3666,"R4","S200","A88"
"1428",3029,"R4","Cors","A88"
"1429",2833,"R4","Well","A88"
"1430",3666,"R4","Evan","N88"
"1431",2914,"R4","Wilk","N88"
"1432",2922,"R4","Chip","N88"
"1433",3451,"R4","Hodg","N88"
"1434",3611,"R4","S200","N88"
"1435",3718,"R4","Cors","N88"
"1436",3780,"R4","Evan","C88"
"1437",3461,"R4","Wilk","C88"
"1438",2861,"R4","Chip","C88"
"1439",3111,"R4","Hodg","C88"
"1440",2633,"R4","S200","C88"
"1441",2350,"R4","Cors","C88"
"1442",2626,"R4","Well","C88"
"1443",2330,"R4","Chip","E88"
"1444",3008,"R4","Hodg","E88"
"1445",1752,"R4","S200","E88"
"1446",2815,"R4","Cors","E88"
"1447",2829,"R4","Well","E88"
"1448",4750,"R4","Evan","G88"
"1449",4347,"R4","Wilk","G88"
"1450",3090,"R4","Chip","G88"
"1451",4578,"R4","Hodg","G88"
"1452",4392,"R4","S200","G88"
"1453",3328,"R4","Cors","G88"
"1454",4053,"R4","Well","G88"
