"","loc","gen","yield","stand","rootlodge","stalklodge","earht","flower","moisture"
"305","ClayCenter,NE","Crow's W54",198.6,90.7,1.6,4.8,NA,88,18.3
"306","ClayCenter,NE","Crow's W55",165.6,91.7,0.5,3.8,NA,87.7,17.4
"307","ClayCenter,NE","Crow's EX551",183.3,99,1.5,10.3,NA,86,16.7
"308","ClayCenter,NE","Crow's EX552",200,98,10.5,4.6,NA,87,17.4
"309","ClayCenter,NE","DEKALB Genetics DK703W",167.4,94.6,23.1,10.3,NA,86.3,18
"310","ClayCenter,NE","DEKALB Genetics DK631W",175.9,97.1,0,1.5,NA,84.3,16.7
"311","ClayCenter,NE","DEKALB Genetics EXP564W",169.3,92.2,0.5,3.7,NA,89,17.3
"312","ClayCenter,NE","Golden Harvest EX-106W",173.6,91.7,13.8,7,NA,87.3,17.7
"313","ClayCenter,NE","Hoegemeyer 1125W",177.1,97.1,10.4,8.8,NA,89,18.7
"314","ClayCenter,NE","Hoegemeyer 1131W",163.8,95.1,0.6,4.6,NA,89,17.6
"315","ClayCenter,NE","Hoegemeyer 1142W",166.2,94.1,11.5,9.4,NA,88,21.8
"316","ClayCenter,NE","ICI Seeds 8320W",174.6,89.7,4.6,5.7,NA,89,17.7
"317","ClayCenter,NE","ICI Seeds N3527W",178.6,100.5,1.4,3.3,NA,83,15.8
"318","ClayCenter,NE","IFSI 90-1",195.9,95.1,1.6,6.1,NA,89,17.7
"319","ClayCenter,NE","IFSI 93-4",149,100,5.6,9.2,NA,86.3,16.8
"320","ClayCenter,NE","IFSI 95-2",192.6,94.1,5.7,9.9,NA,87.3,17
"321","ClayCenter,NE","LG Seeds NB571W",153.9,79.4,5.1,1.9,NA,83.3,15.5
"322","ClayCenter,NE","LG Seeds NB710W",179.6,82.8,18.8,8.7,NA,84,16.3
"323","ClayCenter,NE","LG Seeds NB739W",166.3,91.7,6.9,6.5,NA,85.3,18.2
"324","ClayCenter,NE","LG Seeds NB742W",165.4,89.2,7.2,5.2,NA,84,18.6
"325","ClayCenter,NE","LG Seeds NB749W",153,86.8,3.7,5.3,NA,89,18.5
"326","ClayCenter,NE","Mycogen 7860W",175.1,94.6,5.2,4.3,NA,87.3,17.8
"327","ClayCenter,NE","Mycogen X6688W",180.5,93.1,1.1,17,NA,89,17.1
"328","ClayCenter,NE","NC+ 5633W",168.7,93.1,8.5,10.4,NA,87.7,18.2
"329","ClayCenter,NE","NC+ 6555W",170.4,102.9,10.9,5.8,NA,89,18.4
"330","ClayCenter,NE","Northrup King X6545W",165.6,86.3,6,9.6,NA,87.3,17
"331","ClayCenter,NE","Northrup King X6955W",182.6,84.3,1.8,10.4,NA,86.3,17.3
"332","ClayCenter,NE","Pioneer 3287W",155.6,94.1,8.1,3.1,NA,84.3,17.9
"333","ClayCenter,NE","Pioneer 3392W",161.5,96.6,6.8,4.6,NA,88.3,15.5
"334","ClayCenter,NE","Pioneer 3443W",142,106.9,2.7,15.2,NA,85,16.1
"335","ClayCenter,NE","Pioneer 3463W",174.2,105.9,2.8,0.5,NA,83.3,15.9
"336","ClayCenter,NE","Pioneer X1155FW",198.2,95.6,4.1,7.7,NA,84.7,17.9
"337","ClayCenter,NE","SeedTec ST-7545W",150.1,98.5,0.5,2,NA,89,16.4
"338","ClayCenter,NE","Sturdy Grow SG730W",171.7,86.8,6.2,8.3,NA,87,17.6
"339","ClayCenter,NE","Sturdy Grow SG765W",159.7,99.5,4.9,17.2,NA,86.7,17.1
"340","ClayCenter,NE","Sturdy Grow SG777W",155.4,91.7,7.2,8.2,NA,88.3,17.7
"341","ClayCenter,NE","Sturdy Grow SG781W",185,95.1,3.9,4.9,NA,88.3,16.9
"342","ClayCenter,NE","Sturdy Grow SG797W",183.1,102.5,4.3,10.9,NA,88,18.9
"343","ClayCenter,NE","Trisler T4113W",176.8,89.7,3.1,10.2,NA,85.7,16.6
"344","ClayCenter,NE","Trisler T4211W",188.6,98,8.4,7.5,NA,87.7,17.5
"345","ClayCenter,NE","Vineyard V413W",160.8,95.1,0.5,12.3,NA,88,17
"346","ClayCenter,NE","Vineyard V414W",146.5,96.6,1.5,7.1,NA,86.3,17.3
"347","ClayCenter,NE","Vineyard V424W",196.1,100,6.1,5.5,NA,86.7,18.2
"348","ClayCenter,NE","Vineyard V438W",173.6,101.5,3.3,5.9,NA,85,17.3
"349","ClayCenter,NE","Vineyard V448W",180.9,94.6,4.1,9.2,NA,87,19
"350","ClayCenter,NE","Vineyard V449W",165.1,97.1,3,10.3,NA,85.7,18.6
"351","ClayCenter,NE","Whisnand 50W",190.05,97.5,8.3,8.5,NA,88,17.15
"352","ClayCenter,NE","Whisnand 51AW",199.5,102,10.7,12.1,NA,89,18
"353","ClayCenter,NE","Whisnand 52AW",168.4,86.3,3.3,15,NA,85,16.5
"354","ClayCenter,NE","Wilson 1780W",203.6,100,1.8,2,NA,88.3,19.9
"355","ClayCenter,NE","Wilson 1790W",203.55,98.5,8.2,3.5,NA,87.7,19.1
"356","ClayCenter,NE","Wilson E1732",195.9,87.7,4.2,0.6,NA,89,17.7
"357","ClayCenter,NE","Wilson E1789",180,93.1,2,4.6,NA,89,18.8
"358","ClayCenter,NE","Zimmerman Z73W",177.9,92.6,4.5,3.7,NA,89,17
"359","ClayCenter,NE","Yellow check B73xMo17",168.7,81.9,5.6,6.2,NA,86.3,16.4
"360","ClayCenter,NE","Yellow check Pioneer 3394",205.4,102,1.4,4.8,NA,86.3,16.1
"361","Gothenburg,NE","AgriGold A6680W",102.9,108.7,NA,16.3,NA,NA,17.8
"362","Gothenburg,NE","AgriGold XA4323W",90.8,45.3,NA,7.7,NA,NA,16.2
"363","Gothenburg,NE","Asgrow XP7555W",99.5,110.3,NA,13.6,NA,NA,15.7
"364","Gothenburg,NE","Beck Ex2251",112.9,101.7,NA,19.2,NA,NA,15.6
"365","Gothenburg,NE","Crow's W54",105.7,81,NA,12.3,NA,NA,16.2
"366","Gothenburg,NE","Crow's W55",97.9,96.3,NA,12.4,NA,NA,16.6
"367","Gothenburg,NE","Crow's EX551",108.7,98.7,NA,13.9,NA,NA,15.9
"368","Gothenburg,NE","Crow's EX552",119.9,96,NA,19.6,NA,NA,15.8
"369","Gothenburg,NE","DEKALB Genetics DK703W",115.6,101.7,NA,13,NA,NA,17.7
"370","Gothenburg,NE","DEKALB Genetics DK631W",139.4,98,NA,7.4,NA,NA,16.7
"371","Gothenburg,NE","DEKALB Genetics EXP564W",84.2,91.3,NA,9.8,NA,NA,15.3
"372","Gothenburg,NE","Golden Harvest EX-106W",110.2,101.3,NA,20.4,NA,NA,15.2
"373","Gothenburg,NE","Hoegemeyer 1125W",116.4,104.7,NA,17,NA,NA,17.8
"374","Gothenburg,NE","Hoegemeyer 1131W",97.3,89,NA,8.9,NA,NA,17.8
"375","Gothenburg,NE","Hoegemeyer 1142W",117.9,109.3,NA,14.3,NA,NA,22.2
"376","Gothenburg,NE","ICI Seeds 8320W",96.2,95,NA,14.5,NA,NA,15.5
"377","Gothenburg,NE","ICI Seeds N3527W",126,95,NA,9.1,NA,NA,15.6
"378","Gothenburg,NE","IFSI 90-1",119.1,96.7,NA,19.3,NA,NA,15.5
"379","Gothenburg,NE","IFSI 93-4",97.7,101,NA,14.8,NA,NA,16
"380","Gothenburg,NE","IFSI 95-2",127.6,99,NA,13.8,NA,NA,15.6
"381","Gothenburg,NE","LG Seeds NB571W",113.2,86.3,NA,17.4,NA,NA,14.8
"382","Gothenburg,NE","LG Seeds NB710W",107.9,80.7,NA,17,NA,NA,18.4
"383","Gothenburg,NE","LG Seeds NB739W",128.5,96.7,NA,10.7,NA,NA,21.9
"384","Gothenburg,NE","LG Seeds NB742W",94.8,95,NA,15.5,NA,NA,19.3
"385","Gothenburg,NE","LG Seeds NB749W",116.6,102,NA,15.7,NA,NA,17.8
"386","Gothenburg,NE","Mycogen 7860W",96.3,103.7,NA,18.3,NA,NA,15.5
"387","Gothenburg,NE","Mycogen X6688W",115.1,100.3,NA,19.6,NA,NA,15.5
"388","Gothenburg,NE","NC+ 5633W",104.7,106,NA,25.8,NA,NA,17.1
"389","Gothenburg,NE","NC+ 6555W",99.6,108,NA,17.1,NA,NA,18.9
"390","Gothenburg,NE","Northrup King X6545W",81,102.3,NA,25.4,NA,NA,15.8
"391","Gothenburg,NE","Northrup King X6955W",111.1,99.3,NA,18.7,NA,NA,17
"392","Gothenburg,NE","Pioneer 3287W",149.5,108,NA,6.8,NA,NA,17.5
"393","Gothenburg,NE","Pioneer 3392W",99.2,102.7,NA,12.7,NA,NA,14.2
"394","Gothenburg,NE","Pioneer 3443W",89.3,108,NA,21.9,NA,NA,13.3
"395","Gothenburg,NE","Pioneer 3463W",122,106,NA,8.9,NA,NA,14.7
"396","Gothenburg,NE","Pioneer X1155FW",138,105.3,NA,12.7,NA,NA,16
"397","Gothenburg,NE","SeedTec ST-7545W",81,98.7,NA,11.6,NA,NA,15.5
"398","Gothenburg,NE","Sturdy Grow SG730W",97.4,101,NA,20.1,NA,NA,15.7
"399","Gothenburg,NE","Sturdy Grow SG765W",105.8,94.3,NA,22.2,NA,NA,16.4
"400","Gothenburg,NE","Sturdy Grow SG777W",96.6,97.3,NA,16.6,NA,NA,16
"401","Gothenburg,NE","Sturdy Grow SG781W",98.1,104,NA,19.5,NA,NA,18.3
"402","Gothenburg,NE","Sturdy Grow SG797W",80.4,109.7,NA,19.3,NA,NA,18.7
"403","Gothenburg,NE","Trisler T4113W",112.8,91,NA,8.1,NA,NA,15.7
"404","Gothenburg,NE","Trisler T4211W",123.1,94.7,NA,18.9,NA,NA,15.2
"405","Gothenburg,NE","Vineyard V413W",97,93.3,NA,13.4,NA,NA,15.5
"406","Gothenburg,NE","Vineyard V414W",92.2,107,NA,24.3,NA,NA,15.7
"407","Gothenburg,NE","Vineyard V424W",113,98.7,NA,10.3,NA,NA,18.7
"408","Gothenburg,NE","Vineyard V438W",105.5,103,NA,12.5,NA,NA,17.1
"409","Gothenburg,NE","Vineyard V448W",106.2,101,NA,16.2,NA,NA,19.3
"410","Gothenburg,NE","Vineyard V449W",122.4,102.7,NA,14.8,NA,NA,20.2
"411","Gothenburg,NE","Whisnand 50W",128.9,100.3,NA,16.9,NA,NA,15.3
"412","Gothenburg,NE","Whisnand 51AW",105.8,105,NA,16.9,NA,NA,15.5
"413","Gothenburg,NE","Whisnand 52AW",109.1,84,NA,12.3,NA,NA,15.6
"414","Gothenburg,NE","Wilson 1780W",149.1,109,NA,9.9,NA,NA,22.5
"415","Gothenburg,NE","Wilson 1790W",144.7,102.3,NA,8.2,NA,NA,22.4
"416","Gothenburg,NE","Wilson E1732",131.2,94,NA,12.6,NA,NA,19.9
"417","Gothenburg,NE","Wilson E1789",88.6,105.7,NA,14.8,NA,NA,20.7
"418","Gothenburg,NE","Zimmerman Z73W",82.9,96,NA,7.7,NA,NA,15.6
"419","Gothenburg,NE","Yellow check B73xMo17",127.7,97.7,NA,12.4,NA,NA,16.8
"420","Gothenburg,NE","Yellow check Pioneer 3394",152.5,96.3,NA,15.1,NA,NA,14.6
"421","Hoytville,OH","AgriGold A6680W",81,120.2,0,94.6,48.7,83.3,24.1
"422","Hoytville,OH","AgriGold XA4323W",87.6,89.1,0,89.3,40.3,79.7,19.6
"423","Hoytville,OH","Asgrow XP7555W",89.7,108.9,0,97.1,38.7,79.7,19.1
"424","Hoytville,OH","Beck Ex2251",90.1,109.3,0,99,48.7,79.7,18.9
"425","Hoytville,OH","Crow's W54",81.2,94.2,0,96.8,44,79.7,19.2
"426","Hoytville,OH","Crow's W55",78.8,97.3,0,94.6,41,78.7,19.3
"427","Hoytville,OH","Crow's EX551",84.4,100.8,0,100,46.7,80.3,19.2
"428","Hoytville,OH","Crow's EX552",82.4,101.2,0,94.9,49.3,80.7,18.3
"429","Hoytville,OH","DEKALB Genetics DK703W",79.8,100.4,0,95.4,42.7,80.3,20
"430","Hoytville,OH","DEKALB Genetics DK631W",92,104.3,0,100,37,77,18.5
"431","Hoytville,OH","DEKALB Genetics EXP564W",67.1,107.8,0,86.3,46.3,82,17.6
"432","Hoytville,OH","Golden Harvest EX-106W",72.1,99.6,0,100,49,78,16.7
"433","Hoytville,OH","Hoegemeyer 1125W",81.4,105.4,0,99,45.3,81.3,20.7
"434","Hoytville,OH","Hoegemeyer 1131W",103.1,101.6,0,97.6,46.7,79.7,19
"435","Hoytville,OH","Hoegemeyer 1142W",98.5,100,0,91.2,39.7,79.7,23.4
"436","Hoytville,OH","ICI Seeds 8320W",84.9,110.9,0,97.3,43.7,80.7,20
"437","Hoytville,OH","ICI Seeds N3527W",85.5,90.7,0,91.3,45,74.7,15.8
"438","Hoytville,OH","IFSI 90-1",82.7,91.1,0,93.4,48.3,80.3,19
"439","Hoytville,OH","IFSI 93-4",91.5,99.6,0,97.7,41.7,77,16.7
"440","Hoytville,OH","IFSI 95-2",80.1,102.3,0,100,50.3,79,16.7
"441","Hoytville,OH","LG Seeds NB571W",92.6,101.2,0,92.8,37,76.7,16.5
"442","Hoytville,OH","LG Seeds NB710W",80.9,95.7,0,94,43.3,80,19.7
"443","Hoytville,OH","LG Seeds NB739W",90.8,90.7,0,91.9,43.3,80,19.5
"444","Hoytville,OH","LG Seeds NB742W",83.9,89.9,0,94.5,35.7,78.3,18.1
"445","Hoytville,OH","LG Seeds NB749W",84.2,90.7,0,100,43,78.7,18.5
"446","Hoytville,OH","Mycogen 7860W",77.3,116.3,0,91.3,47,82,19.9
"447","Hoytville,OH","Mycogen X6688W",87.3,105,0,96.5,51,80.3,17.1
"448","Hoytville,OH","NC+ 5633W",83,116.7,0,95.7,46,81,21
"449","Hoytville,OH","NC+ 6555W",66.5,114,0,95.2,45,80.3,20.5
"450","Hoytville,OH","Northrup King X6545W",74.8,101.9,0,99.6,46,79,18.5
"451","Hoytville,OH","Northrup King X6955W",78.9,103.1,0,96.6,47.3,80.3,20.2
"452","Hoytville,OH","Pioneer 3287W",86.4,106.6,0,96.8,38.7,75,19.2
"453","Hoytville,OH","Pioneer 3392W",86.2,105,0,93.4,39.3,79.7,19.1
"454","Hoytville,OH","Pioneer 3443W",76.8,114.3,0,93.9,37.3,74.7,16.4
"455","Hoytville,OH","Pioneer 3463W",77,111.6,0,97.7,39.3,76,17.9
"456","Hoytville,OH","Pioneer X1155FW",86.9,102.3,0,98.9,43,79.3,17.4
"457","Hoytville,OH","SeedTec ST-7545W",76,102.7,0,96.6,50,81.3,19.7
"458","Hoytville,OH","Sturdy Grow SG730W",88.5,109.7,0,93.7,49.3,79.3,17.2
"459","Hoytville,OH","Sturdy Grow SG765W",92.2,107.8,0,91.1,45.3,80.3,21.1
"460","Hoytville,OH","Sturdy Grow SG777W",86,107,0,85.2,52.3,81.7,19.6
"461","Hoytville,OH","Sturdy Grow SG781W",85.6,108.1,0,91.3,43.3,78.7,21.1
"462","Hoytville,OH","Sturdy Grow SG797W",74.2,118.6,0,95.7,44.7,83.3,21.7
"463","Hoytville,OH","Trisler T4113W",82.3,100,0,92.8,43.7,80.7,19.8
"464","Hoytville,OH","Trisler T4211W",89.3,95.7,0,98.3,45,79.7,19.4
"465","Hoytville,OH","Vineyard V413W",76.7,103.5,0,97,46,80,17.7
"466","Hoytville,OH","Vineyard V414W",77.2,102.7,0,95.9,44.7,79.3,18.6
"467","Hoytville,OH","Vineyard V424W",85.7,98.4,0,94.6,42,78.7,19.8
"468","Hoytville,OH","Vineyard V438W",77,108.1,0,97.4,45.3,81.3,19.3
"469","Hoytville,OH","Vineyard V448W",99.9,106.2,0,84.1,45.3,81.3,21.7
"470","Hoytville,OH","Vineyard V449W",84.8,111.6,0,88.7,44.3,82,21.5
"471","Hoytville,OH","Whisnand 50W",93.1,100.8,0,100,50.7,79,16.9
"472","Hoytville,OH","Whisnand 51AW",88.4,100.8,0,99.2,44.3,79,18.7
"473","Hoytville,OH","Whisnand 52AW",97.9,99.6,0,97.9,46,79,19.1
"474","Hoytville,OH","Wilson 1780W",77.3,112,0,98.5,44.7,81,20.4
"475","Hoytville,OH","Wilson 1790W",75.8,108.5,0,97.3,44.7,80.7,20.5
"476","Hoytville,OH","Wilson E1732",96.7,89.5,0,88.2,50.7,80.3,23.5
"477","Hoytville,OH","Wilson E1789",84.5,111.2,0,98.6,46.3,80.7,19.8
"478","Hoytville,OH","Zimmerman Z73W",75,95.7,0,100,42.3,80.3,18.9
"479","Hoytville,OH","Yellow check B73xMo17",93.3,110.5,0,99.6,48.7,79,18.5
"480","Hoytville,OH","Yellow check Pioneer 3394",88.3,96.5,0,95.3,42.7,78.3,19.8
"481","Marion,IA","AgriGold A6680W",184.9,NA,NA,NA,56,91.7,33.1
"482","Marion,IA","AgriGold XA4323W",113.7,NA,NA,NA,52,91.7,34.1
"483","Marion,IA","Asgrow XP7555W",203.6,NA,NA,NA,54,91.3,33.5
"484","Marion,IA","Beck Ex2251",214,NA,NA,NA,60,92,31.7
"485","Marion,IA","Crow's W54",135.5,NA,NA,NA,55.3,93.3,31.9
"486","Marion,IA","Crow's W55",171.8,NA,NA,NA,56,91.3,33
"487","Marion,IA","Crow's EX551",205.3,NA,NA,NA,55,90.3,33.1
"488","Marion,IA","Crow's EX552",207.1,NA,NA,NA,56,91.3,31.6
"489","Marion,IA","DEKALB Genetics DK703W",222.1,NA,NA,NA,52.7,91,28.7
"490","Marion,IA","DEKALB Genetics DK631W",184.2,NA,NA,NA,35.7,87,29.2
"491","Marion,IA","DEKALB Genetics EXP564W",167.5,NA,NA,NA,58,93,33.8
"492","Marion,IA","Golden Harvest EX-106W",201.4,NA,NA,NA,59,91,32.2
"493","Marion,IA","Hoegemeyer 1125W",186.8,NA,NA,NA,55,93,33
"494","Marion,IA","Hoegemeyer 1131W",114.4,NA,NA,NA,55,92.3,33.7
"495","Marion,IA","Hoegemeyer 1142W",154.2,NA,NA,NA,52,91.3,34.2
"496","Marion,IA","ICI Seeds 8320W",185,NA,NA,NA,57,93,32.1
"497","Marion,IA","ICI Seeds N3527W",177.2,NA,NA,NA,44,86,27.5
"498","Marion,IA","IFSI 90-1",211.3,NA,NA,NA,57.3,91.7,31.3
"499","Marion,IA","IFSI 93-4",192.6,NA,NA,NA,55,91,33.2
"500","Marion,IA","IFSI 95-2",207.6,NA,NA,NA,58,91.3,32.5
"501","Marion,IA","LG Seeds NB571W",181.5,NA,NA,NA,46,89,30
"502","Marion,IA","LG Seeds NB710W",147.8,NA,NA,NA,51.3,88.7,33.1
"503","Marion,IA","LG Seeds NB739W",164.8,NA,NA,NA,40.3,89,33.7
"504","Marion,IA","LG Seeds NB742W",182.9,NA,NA,NA,45,89,32.6
"505","Marion,IA","LG Seeds NB749W",207.2,NA,NA,NA,54,92,32.3
"506","Marion,IA","Mycogen 7860W",194.4,NA,NA,NA,60,92.7,31.7
"507","Marion,IA","Mycogen X6688W",202.8,NA,NA,NA,58,92,32
"508","Marion,IA","NC+ 5633W",202.7,NA,NA,NA,57,91.3,32
"509","Marion,IA","NC+ 6555W",204.2,NA,NA,NA,57,92.3,33
"510","Marion,IA","Northrup King X6545W",204.6,NA,NA,NA,56,91.3,31.2
"511","Marion,IA","Northrup King X6955W",196.7,NA,NA,NA,55,91.3,33.1
"512","Marion,IA","Pioneer 3287W",164.9,NA,NA,NA,52,89,30.8
"513","Marion,IA","Pioneer 3392W",197.6,NA,NA,NA,53.7,92,28.5
"514","Marion,IA","Pioneer 3443W",197.5,NA,NA,NA,50,89,29.4
"515","Marion,IA","Pioneer 3463W",185.2,NA,NA,NA,50,88.3,26.9
"516","Marion,IA","Pioneer X1155FW",167.8,NA,NA,NA,53,88.7,30
"517","Marion,IA","SeedTec ST-7545W",154.7,NA,NA,NA,52,94.3,34
"518","Marion,IA","Sturdy Grow SG730W",178.4,NA,NA,NA,52.3,91.3,32
"519","Marion,IA","Sturdy Grow SG765W",186.3,NA,NA,NA,55,91.3,32
"520","Marion,IA","Sturdy Grow SG777W",197.8,NA,NA,NA,54,92,32.7
"521","Marion,IA","Sturdy Grow SG781W",191.5,NA,NA,NA,53.3,91.3,34.1
"522","Marion,IA","Sturdy Grow SG797W",179.9,NA,NA,NA,57,94,32.5
"523","Marion,IA","Trisler T4113W",188.6,NA,NA,NA,50,90.7,33.3
"524","Marion,IA","Trisler T4211W",185.4,NA,NA,NA,56,91.3,31.7
"525","Marion,IA","Vineyard V413W",154.7,NA,NA,NA,54.7,91.7,30.7
"526","Marion,IA","Vineyard V414W",190.9,NA,NA,NA,46,91,28
"527","Marion,IA","Vineyard V424W",169.8,NA,NA,NA,58,91,33.8
"528","Marion,IA","Vineyard V438W",161.2,NA,NA,NA,49,91.3,33.3
"529","Marion,IA","Vineyard V448W",160.8,NA,NA,NA,51,92,34.4
"530","Marion,IA","Vineyard V449W",181.5,NA,NA,NA,49,91.7,31.4
"531","Marion,IA","Whisnand 50W",211.9,NA,NA,NA,58,91.3,32
"532","Marion,IA","Whisnand 51AW",208.9,NA,NA,NA,56.7,93.3,31.5
"533","Marion,IA","Whisnand 52AW",129.6,NA,NA,NA,50,91.7,34.7
"534","Marion,IA","Wilson 1780W",174.8,NA,NA,NA,51.7,91.7,33.8
"535","Marion,IA","Wilson 1790W",192.5,NA,NA,NA,52,92,33.4
"536","Marion,IA","Wilson E1732",176.6,NA,NA,NA,51.7,93.3,34.3
"537","Marion,IA","Wilson E1789",181,NA,NA,NA,58,94.7,34.7
"538","Marion,IA","Zimmerman Z73W",132.6,NA,NA,NA,59,93.7,33.4
"539","Marion,IA","Yellow check B73xMo17",223.4,NA,NA,NA,52,89.7,32.7
"540","Marion,IA","Yellow check Pioneer 3394",196.8,NA,NA,NA,48,90.3,26.7
